,group,variable,month,OTRAS ACCIONES CANTIDAD,OTRAS ACCIONES CANTIDAD,TOTALES,TOTALES,TOTALES
CHIMORE,atencion odontologica,otras acciones,2013-01-01,16,42,16,42,58
CHIPAYA,atencion odontologica,otras acciones,2013-01-01,5,4,5,4,9
CHOQUE COTA,atencion odontologica,otras acciones,2013-01-01,11,0,11,0,11
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,otras acciones,2013-01-01,4,16,4,16,20
CHUMA,atencion odontologica,otras acciones,2013-01-01,17,33,17,33,50
CKOCHAS,atencion odontologica,otras acciones,2013-01-01,24,32,24,32,56
CLIZA,atencion odontologica,otras acciones,2013-01-01,39,128,39,128,167
COBIJA,atencion odontologica,otras acciones,2013-01-01,58,96,58,96,154
COCAPATA,atencion odontologica,otras acciones,2013-01-01,0,2,0,2,2
COCHABAMBA,atencion odontologica,otras acciones,2013-01-01,2289,3101,2289,3101,5390
COIPASA,atencion odontologica,otras acciones,2013-01-01,2,4,2,4,6
COLCAPIRHUA,atencion odontologica,otras acciones,2013-01-01,52,80,52,80,132
"COLCHA ""K""",atencion odontologica,otras acciones,2013-01-01,3,3,3,3,6
COLLANA,atencion odontologica,otras acciones,2013-01-01,20,44,20,44,64
COLOMI,atencion odontologica,otras acciones,2013-01-01,4,12,4,12,16
COLQUECHACA,atencion odontologica,otras acciones,2013-01-01,94,187,94,187,281
COLQUIRI,atencion odontologica,otras acciones,2013-01-01,72,77,72,77,149
COMANCHE,atencion odontologica,otras acciones,2013-01-01,7,7,7,7,14
COMARAPA,atencion odontologica,otras acciones,2013-01-01,21,43,21,43,64
COPACABANA,atencion odontologica,otras acciones,2013-01-01,7,11,7,11,18
CORIPATA,atencion odontologica,otras acciones,2013-01-01,8,14,8,14,22
CORO CORO,atencion odontologica,otras acciones,2013-01-01,2,5,2,5,7
COROICO,atencion odontologica,otras acciones,2013-01-01,23,35,23,35,58
CORQUE,atencion odontologica,otras acciones,2013-01-01,4,15,4,15,19
COTAGAITA,atencion odontologica,otras acciones,2013-01-01,83,187,83,187,270
CUATRO CAÑADAS,atencion odontologica,otras acciones,2013-01-01,17,63,17,63,80
CUEVO,atencion odontologica,otras acciones,2013-01-01,17,29,17,29,46
CULPINA,atencion odontologica,otras acciones,2013-01-01,30,68,30,68,98
CURAHUARA DE CARANGAS,atencion odontologica,otras acciones,2013-01-01,29,40,29,40,69
CURVA,atencion odontologica,otras acciones,2013-01-01,8,9,8,9,17
DESAGUADERO,atencion odontologica,otras acciones,2013-01-01,38,39,38,39,77
EL ALTO,atencion odontologica,otras acciones,2013-01-01,2071,2981,2071,2981,5052
EL PUENTE(STC),atencion odontologica,otras acciones,2013-01-01,16,21,16,21,37
EL PUENTE(TJA),atencion odontologica,otras acciones,2013-01-01,14,41,14,41,55
EL TORNO,atencion odontologica,otras acciones,2013-01-01,0,2,0,2,2
EL VILLAR,atencion odontologica,otras acciones,2013-01-01,5,5,5,5,10
ENTRE RIOS TRJ,atencion odontologica,otras acciones,2013-01-01,30,66,30,66,96
ENTRE RIOS CBBA,atencion odontologica,otras acciones,2013-01-01,44,84,44,84,128
ESCOMA,atencion odontologica,otras acciones,2013-01-01,2,3,2,3,5
EUCALIPTUS,atencion odontologica,otras acciones,2013-01-01,16,25,16,25,41
FERNANDEZ ALONSO,atencion odontologica,otras acciones,2013-01-01,7,10,7,10,17
FILADELFIA,atencion odontologica,otras acciones,2013-01-01,9,5,9,5,14
GENERAL SAAVEDRA,atencion odontologica,otras acciones,2013-01-01,1,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,otras acciones,2013-01-01,6,14,6,14,20
GUAQUI,atencion odontologica,otras acciones,2013-01-01,45,86,45,86,131
GUAYARAMERIN,atencion odontologica,otras acciones,2013-01-01,191,318,191,318,509
GUTIERREZ,atencion odontologica,otras acciones,2013-01-01,29,34,29,34,63
HUACARETA,atencion odontologica,otras acciones,2013-01-01,18,39,18,39,57
HUACAYA (VILLA DE HUACAYA),atencion odontologica,otras acciones,2013-01-01,6,12,6,12,18
HUACHACALLA,atencion odontologica,otras acciones,2013-01-01,11,13,11,13,24
HUANUNI,atencion odontologica,otras acciones,2013-01-01,95,152,95,152,247
HUATAJATA,atencion odontologica,otras acciones,2013-01-01,85,79,85,79,164
HUAYLLAMARCA,atencion odontologica,otras acciones,2013-01-01,34,61,34,61,95
HUMANATA,atencion odontologica,otras acciones,2013-01-01,7,6,7,6,13
ICHOCA,atencion odontologica,otras acciones,2013-01-01,5,6,5,6,11
ICLA,atencion odontologica,otras acciones,2013-01-01,3,5,3,5,8
INCAHUASI,atencion odontologica,otras acciones,2013-01-01,12,55,12,55,67
INGAVI (HUMAITA),atencion odontologica,otras acciones,2013-01-01,4,21,4,21,25
INQUISIVI,atencion odontologica,otras acciones,2013-01-01,11,12,11,12,23
IRUPANA (VILLA DE LANZA),atencion odontologica,otras acciones,2013-01-01,7,13,7,13,20
IXIAMAS,atencion odontologica,otras acciones,2013-01-01,21,44,21,44,65
JESUS DE MACHACA,atencion odontologica,otras acciones,2013-01-01,33,62,33,62,95
LA ASUNTA,atencion odontologica,otras acciones,2013-01-01,43,79,43,79,122
LA GUARDIA,atencion odontologica,otras acciones,2013-01-01,85,159,85,159,244
LA PAZ,atencion odontologica,otras acciones,2013-01-01,3590,4895,3590,4895,8485
LAJA,atencion odontologica,otras acciones,2013-01-01,5,10,5,10,15
LICOMA PAMPA,atencion odontologica,otras acciones,2013-01-01,4,5,4,5,9
LLALLAGUA,atencion odontologica,otras acciones,2013-01-01,115,206,115,206,321
LURIBAY,atencion odontologica,otras acciones,2013-01-01,1,7,1,7,8
MACHACAMARCA,atencion odontologica,otras acciones,2013-01-01,28,42,28,42,70
MACHARETI,atencion odontologica,otras acciones,2013-01-01,1,15,1,15,16
MAGDALENA,atencion odontologica,otras acciones,2013-01-01,13,12,13,12,25
MAIRANA,atencion odontologica,otras acciones,2013-01-01,29,80,29,80,109
MALLA,atencion odontologica,otras acciones,2013-01-01,4,4,4,4,8
MAPIRI,atencion odontologica,otras acciones,2013-01-01,4,15,4,15,19
MECAPACA,atencion odontologica,otras acciones,2013-01-01,4,8,4,8,12
MINEROS,atencion odontologica,otras acciones,2013-01-01,12,20,12,20,32
MIZQUE,atencion odontologica,otras acciones,2013-01-01,15,30,15,30,45
MOCOMOCO,atencion odontologica,otras acciones,2013-01-01,12,12,12,12,24
MOJOCOYA,atencion odontologica,otras acciones,2013-01-01,10,10,10,10,20
MONTEAGUDO,atencion odontologica,otras acciones,2013-01-01,34,85,34,85,119
MONTERO,atencion odontologica,otras acciones,2013-01-01,152,325,152,325,477
MOROCHATA,atencion odontologica,otras acciones,2013-01-01,11,32,11,32,43
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,otras acciones,2013-01-01,27,28,27,28,55
OCURI,atencion odontologica,otras acciones,2013-01-01,3,2,3,2,5
OMEREQUE,atencion odontologica,otras acciones,2013-01-01,4,12,4,12,16
ORURO,atencion odontologica,otras acciones,2013-01-01,916,1382,916,1382,2298
PADCAYA,atencion odontologica,otras acciones,2013-01-01,55,92,55,92,147
PADILLA,atencion odontologica,otras acciones,2013-01-01,12,26,12,26,38
PAILON,atencion odontologica,otras acciones,2013-01-01,22,43,22,43,65
PALCA,atencion odontologica,otras acciones,2013-01-01,14,15,14,15,29
PALOS BLANCOS,atencion odontologica,otras acciones,2013-01-01,3,1,3,1,4
PAMPA AULLAGAS,atencion odontologica,otras acciones,2013-01-01,8,12,8,12,20
PAMPA GRANDE,atencion odontologica,otras acciones,2013-01-01,4,12,4,12,16
PAPEL PAMPA,atencion odontologica,otras acciones,2013-01-01,11,10,11,10,21
PASORAPA,atencion odontologica,otras acciones,2013-01-01,0,6,0,6,6
PATACAMAYA,atencion odontologica,otras acciones,2013-01-01,67,88,67,88,155
PAZÑA,atencion odontologica,otras acciones,2013-01-01,11,15,11,15,26
PELECHUCO,atencion odontologica,otras acciones,2013-01-01,6,1,6,1,7
POCOATA,atencion odontologica,otras acciones,2013-01-01,15,28,15,28,43
POCONA,atencion odontologica,otras acciones,2013-01-01,12,31,12,31,43
POJO (CBBA),atencion odontologica,otras acciones,2013-01-01,31,82,31,82,113
POOPO,atencion odontologica,otras acciones,2013-01-01,30,41,30,41,71
PORCO,atencion odontologica,otras acciones,2013-01-01,25,72,25,72,97
POROMA,atencion odontologica,otras acciones,2013-01-01,7,2,7,2,9
PORONGO,atencion odontologica,otras acciones,2013-01-01,2,4,2,4,6
PORTACHUELO,atencion odontologica,otras acciones,2013-01-01,33,65,33,65,98
PORVENIR,atencion odontologica,otras acciones,2013-01-01,32,56,32,56,88
POSTRER VALLE,atencion odontologica,otras acciones,2013-01-01,4,4,4,4,8
POTOSI,atencion odontologica,otras acciones,2013-01-01,306,599,306,599,905
PUCARANI,atencion odontologica,otras acciones,2013-01-01,42,82,42,82,124
PUERTO ACOSTA,atencion odontologica,otras acciones,2013-01-01,1,0,1,0,1
PUERTO CARABUCO,atencion odontologica,otras acciones,2013-01-01,7,24,7,24,31
PUERTO GONZALO MORENO,atencion odontologica,otras acciones,2013-01-01,11,12,11,12,23
PUERTO QUIJARRO,atencion odontologica,otras acciones,2013-01-01,21,14,21,14,35
PUERTO RICO,atencion odontologica,otras acciones,2013-01-01,26,39,26,39,65
PUERTO SUAREZ,atencion odontologica,otras acciones,2013-01-01,18,40,18,40,58
PUERTO VILLARROEL,atencion odontologica,otras acciones,2013-01-01,19,27,19,27,46
PUNA,atencion odontologica,otras acciones,2013-01-01,43,75,43,75,118
PUNATA,atencion odontologica,otras acciones,2013-01-01,20,40,20,40,60
QUIABAYA,atencion odontologica,otras acciones,2013-01-01,1,0,1,0,1
QUILLACOLLO,atencion odontologica,otras acciones,2013-01-01,80,106,80,106,186
QUIME,atencion odontologica,otras acciones,2013-01-01,9,14,9,14,23
QUIRUSILLAS,atencion odontologica,otras acciones,2013-01-01,1,3,1,3,4
RAVELO,atencion odontologica,otras acciones,2013-01-01,7,10,7,10,17
REYES,atencion odontologica,otras acciones,2013-01-01,4,11,4,11,15
RIBERALTA,atencion odontologica,otras acciones,2013-01-01,6,14,6,14,20
ROBORE,atencion odontologica,otras acciones,2013-01-01,0,1,0,1,1
RURRENABAQUE,atencion odontologica,otras acciones,2013-01-01,10,13,10,13,23
SABAYA,atencion odontologica,otras acciones,2013-01-01,54,54,54,54,108
SACABA,atencion odontologica,otras acciones,2013-01-01,100,112,100,112,212
SACABAMBA,atencion odontologica,otras acciones,2013-01-01,9,24,9,24,33
SACACA,atencion odontologica,otras acciones,2013-01-01,11,6,11,6,17
SAIPINA,atencion odontologica,otras acciones,2013-01-01,5,28,5,28,33
SALINAS DE GARCI MENDOZA,atencion odontologica,otras acciones,2013-01-01,8,10,8,10,18
SAMAIPATA,atencion odontologica,otras acciones,2013-01-01,7,39,7,39,46
SAN AGUSTIN,atencion odontologica,otras acciones,2013-01-01,1,6,1,6,7
SAN ANDRES,atencion odontologica,otras acciones,2013-01-01,1,9,1,9,10
SAN ANDRES DE MACHACA,atencion odontologica,otras acciones,2013-01-01,11,12,11,12,23
SAN ANTONIO DE ESMORUCO,atencion odontologica,otras acciones,2013-01-01,7,17,7,17,24
SAN ANTONIO DE LOMERIO,atencion odontologica,otras acciones,2013-01-01,1,0,1,0,1
SAN BENITO,atencion odontologica,otras acciones,2013-01-01,24,10,24,10,34
SAN BORJA,atencion odontologica,otras acciones,2013-01-01,6,10,6,10,16
SAN BUENA VENTURA,atencion odontologica,otras acciones,2013-01-01,7,10,7,10,17
SAN CARLOS,atencion odontologica,otras acciones,2013-01-01,8,16,8,16,24
SAN IGNACIO,atencion odontologica,otras acciones,2013-01-01,16,28,16,28,44
SAN IGNACIO DE VELASCO,atencion odontologica,otras acciones,2013-01-01,7,15,7,15,22
SAN JOAQUIN,atencion odontologica,otras acciones,2013-01-01,9,11,9,11,20
SAN JOSE DE CHIQUITOS,atencion odontologica,otras acciones,2013-01-01,4,4,4,4,8
SAN JUAN DE YAPACANI,atencion odontologica,otras acciones,2013-01-01,1,9,1,9,10
SAN LORENZO(PND),atencion odontologica,otras acciones,2013-01-01,0,5,0,5,5
SAN LORENZO(TJA),atencion odontologica,otras acciones,2013-01-01,81,225,81,225,306
SAN LUCAS,atencion odontologica,otras acciones,2013-01-01,7,27,7,27,34
SAN MIGUEL DE VELASCO,atencion odontologica,otras acciones,2013-01-01,54,104,54,104,158
SAN PEDRO,atencion odontologica,otras acciones,2013-01-01,2,2,2,2,4
SAN PEDRO DE BUENA VISTA,atencion odontologica,otras acciones,2013-01-01,19,20,19,20,39
SAN PEDRO DE CURAHUARA,atencion odontologica,otras acciones,2013-01-01,2,2,2,2,4
SAN PEDRO DE TIQUINA,atencion odontologica,otras acciones,2013-01-01,3,11,3,11,14
SAN RAFAEL,atencion odontologica,otras acciones,2013-01-01,8,3,8,3,11
SANTA ANA,atencion odontologica,otras acciones,2013-01-01,137,111,137,111,248
SANTA CRUZ DE LA SIERRA,atencion odontologica,otras acciones,2013-01-01,1291,2076,1291,2076,3367
SANTA ROSA DEL SARA,atencion odontologica,otras acciones,2013-01-01,24,46,24,46,70
SANTIAGO DE CALLAPA,atencion odontologica,otras acciones,2013-01-01,5,9,5,9,14
SANTIAGO DE HUARI,atencion odontologica,otras acciones,2013-01-01,91,133,91,133,224
SANTIAGO DE HUATA,atencion odontologica,otras acciones,2013-01-01,0,4,0,4,4
SANTIAGO DE MACHACA,atencion odontologica,otras acciones,2013-01-01,5,2,5,2,7
SANTIVAÑES,atencion odontologica,otras acciones,2013-01-01,25,35,25,35,60
SANTUARIO DE QUILLACAS,atencion odontologica,otras acciones,2013-01-01,13,1,13,1,14
SAPAHAQUI,atencion odontologica,otras acciones,2013-01-01,1,0,1,0,1
SENA,atencion odontologica,otras acciones,2013-01-01,9,27,9,27,36
SHINAOTA,atencion odontologica,otras acciones,2013-01-01,28,55,28,55,83
SICA SICA (VILLA AROMA),atencion odontologica,otras acciones,2013-01-01,7,9,7,9,16
SICAYA,atencion odontologica,otras acciones,2013-01-01,2,11,2,11,13
SIPE SIPE,atencion odontologica,otras acciones,2013-01-01,22,30,22,30,52
SOPACHUY,atencion odontologica,otras acciones,2013-01-01,29,142,29,142,171
SORACACHI,atencion odontologica,otras acciones,2013-01-01,19,24,19,24,43
SORATA,atencion odontologica,otras acciones,2013-01-01,35,43,35,43,78
SUCRE,atencion odontologica,otras acciones,2013-01-01,890,1363,890,1363,2253
TACACOMA,atencion odontologica,otras acciones,2013-01-01,1,0,1,0,1
TACOBAMBA,atencion odontologica,otras acciones,2013-01-01,1,8,1,8,9
TAHUA,atencion odontologica,otras acciones,2013-01-01,2,2,2,2,4
TAPACARI,atencion odontologica,otras acciones,2013-01-01,27,21,27,21,48
TARABUCO,atencion odontologica,otras acciones,2013-01-01,35,72,35,72,107
TARACO,atencion odontologica,otras acciones,2013-01-01,43,33,43,33,76
TARATA,atencion odontologica,otras acciones,2013-01-01,16,25,16,25,41
TARIJA,atencion odontologica,otras acciones,2013-01-01,514,998,514,998,1512
TARVITA,atencion odontologica,otras acciones,2013-01-01,33,70,33,70,103
TEOPONTE,atencion odontologica,otras acciones,2013-01-01,22,25,22,25,47
TIAWANACU,atencion odontologica,otras acciones,2013-01-01,57,78,57,78,135
TINGUIPAYA,atencion odontologica,otras acciones,2013-01-01,5,20,5,20,25
TIPUANI,atencion odontologica,otras acciones,2013-01-01,4,2,4,2,6
TIQUIPAYA,atencion odontologica,otras acciones,2013-01-01,153,282,153,282,435
TIRAQUE (CBBA),atencion odontologica,otras acciones,2013-01-01,45,57,45,57,102
TOCO,atencion odontologica,otras acciones,2013-01-01,8,29,8,29,37
TOLATA,atencion odontologica,otras acciones,2013-01-01,17,34,17,34,51
TOLEDO,atencion odontologica,otras acciones,2013-01-01,0,1,0,1,1
TOMAVE,atencion odontologica,otras acciones,2013-01-01,26,63,26,63,89
TOMINA,atencion odontologica,otras acciones,2013-01-01,237,521,237,521,758
TORO TORO,atencion odontologica,otras acciones,2013-01-01,42,81,42,81,123
TOTORA(CBBA),atencion odontologica,otras acciones,2013-01-01,32,62,32,62,94
TOTORA(ORR),atencion odontologica,otras acciones,2013-01-01,7,3,7,3,10
TRINIDAD,atencion odontologica,otras acciones,2013-01-01,87,102,87,102,189
TUPIZA,atencion odontologica,otras acciones,2013-01-01,57,100,57,100,157
TURCO,atencion odontologica,otras acciones,2013-01-01,0,1,0,1,1
UMALA,atencion odontologica,otras acciones,2013-01-01,3,5,3,5,8
URIONDO (A. CONCEPCION),atencion odontologica,otras acciones,2013-01-01,68,264,68,264,332
URUBICHA,atencion odontologica,otras acciones,2013-01-01,1,5,1,5,6
VACAS,atencion odontologica,otras acciones,2013-01-01,9,28,9,28,37
VALLEGRANDE,atencion odontologica,otras acciones,2013-01-01,3,7,3,7,10
VIACHA,atencion odontologica,otras acciones,2013-01-01,163,134,163,134,297
VILA VILA,atencion odontologica,otras acciones,2013-01-01,0,2,0,2,2
VILLA CHARCAS,atencion odontologica,otras acciones,2013-01-01,14,14,14,14,28
VILLA MONTES,atencion odontologica,otras acciones,2013-01-01,146,313,146,313,459
VILLA NUEVA (LOMA ALTA),atencion odontologica,otras acciones,2013-01-01,61,114,61,114,175
VILLA SERRANO,atencion odontologica,otras acciones,2013-01-01,18,38,18,38,56
VILLA TUNARI,atencion odontologica,otras acciones,2013-01-01,37,53,37,53,90
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,otras acciones,2013-01-01,10,15,10,15,25
VILLAZON,atencion odontologica,otras acciones,2013-01-01,125,144,125,144,269
VINTO,atencion odontologica,otras acciones,2013-01-01,22,62,22,62,84
VITICHI,atencion odontologica,otras acciones,2013-01-01,33,39,33,39,72
WARNES,atencion odontologica,otras acciones,2013-01-01,5,14,5,14,19
YACO,atencion odontologica,otras acciones,2013-01-01,12,15,12,15,27
YACUIBA,atencion odontologica,otras acciones,2013-01-01,46,81,46,81,127
YAMPARAEZ,atencion odontologica,otras acciones,2013-01-01,44,67,44,67,111
YANACACHI,atencion odontologica,otras acciones,2013-01-01,5,6,5,6,11
YAPACANI,atencion odontologica,otras acciones,2013-01-01,13,29,13,29,42
YOTALA,atencion odontologica,otras acciones,2013-01-01,19,86,19,86,105
YUNCHARA,atencion odontologica,otras acciones,2013-01-01,6,14,6,14,20
ZUDAÑEZ,atencion odontologica,otras acciones,2013-01-01,10,22,10,22,32
ACACIO,atencion odontologica,otras acciones,2013-02-01,4,5,4,5,9
ACHACACHI,atencion odontologica,otras acciones,2013-02-01,68,122,68,122,190
ACHOCALLA,atencion odontologica,otras acciones,2013-02-01,37,62,37,62,99
AIQUILE,atencion odontologica,otras acciones,2013-02-01,0,6,0,6,6
ALALAY,atencion odontologica,otras acciones,2013-02-01,2,5,2,5,7
ALCALA,atencion odontologica,otras acciones,2013-02-01,8,24,8,24,32
ALTO BENI,atencion odontologica,otras acciones,2013-02-01,3,2,3,2,5
ANCORAIMES,atencion odontologica,otras acciones,2013-02-01,3,2,3,2,5
ANDAMARCA,atencion odontologica,otras acciones,2013-02-01,16,23,16,23,39
ANTEQUERA,atencion odontologica,otras acciones,2013-02-01,22,29,22,29,51
ANZALDO,atencion odontologica,otras acciones,2013-02-01,5,7,5,7,12
APOLO,atencion odontologica,otras acciones,2013-02-01,2,4,2,4,6
ARAMPAMPA,atencion odontologica,otras acciones,2013-02-01,1,8,1,8,9
ARANI,atencion odontologica,otras acciones,2013-02-01,41,53,41,53,94
ARBIETO,atencion odontologica,otras acciones,2013-02-01,2,40,2,40,42
ARQUE,atencion odontologica,otras acciones,2013-02-01,6,15,6,15,21
ASCENCION DE GUARAYOS,atencion odontologica,otras acciones,2013-02-01,1,12,1,12,13
ATOCHA,atencion odontologica,otras acciones,2013-02-01,131,173,131,173,304
AYATA,atencion odontologica,otras acciones,2013-02-01,6,7,6,7,13
AYO AYO,atencion odontologica,otras acciones,2013-02-01,8,9,8,9,17
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,otras acciones,2013-02-01,37,57,37,57,94
AZURDUY,atencion odontologica,otras acciones,2013-02-01,6,19,6,19,25
BAURES,atencion odontologica,otras acciones,2013-02-01,15,15,15,15,30
BELEN DE URMIRI,atencion odontologica,otras acciones,2013-02-01,1,9,1,9,10
BERMEJO,atencion odontologica,otras acciones,2013-02-01,33,45,33,45,78
BETANZOS,atencion odontologica,otras acciones,2013-02-01,18,29,18,29,47
BOLIVAR,atencion odontologica,otras acciones,2013-02-01,5,10,5,10,15
BUENA VISTA,atencion odontologica,otras acciones,2013-02-01,5,16,5,16,21
CABEZAS,atencion odontologica,otras acciones,2013-02-01,36,46,36,46,82
"CAIZA ""D""",atencion odontologica,otras acciones,2013-02-01,38,47,38,47,85
CAJUATA,atencion odontologica,otras acciones,2013-02-01,3,12,3,12,15
CALACOTO,atencion odontologica,otras acciones,2013-02-01,2,4,2,4,6
CALAMARCA,atencion odontologica,otras acciones,2013-02-01,24,54,24,54,78
CAMARGO,atencion odontologica,otras acciones,2013-02-01,82,187,82,187,269
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,otras acciones,2013-02-01,13,46,13,46,59
CAMIRI,atencion odontologica,otras acciones,2013-02-01,66,172,66,172,238
CAPINOTA,atencion odontologica,otras acciones,2013-02-01,16,14,16,14,30
CAQUIAVIRI,atencion odontologica,otras acciones,2013-02-01,15,15,15,15,30
CARACOLLO,atencion odontologica,otras acciones,2013-02-01,48,113,48,113,161
CARANAVI,atencion odontologica,otras acciones,2013-02-01,22,28,22,28,50
CARAPARI,atencion odontologica,otras acciones,2013-02-01,20,41,20,41,61
CARIPUYO,atencion odontologica,otras acciones,2013-02-01,13,12,13,12,25
CARMEN RIVERO TORREZ,atencion odontologica,otras acciones,2013-02-01,9,10,9,10,19
CHALLAPATA,atencion odontologica,otras acciones,2013-02-01,50,103,50,103,153
CHAQUI,atencion odontologica,otras acciones,2013-02-01,4,6,4,6,10
CHARAGUA,atencion odontologica,otras acciones,2013-02-01,11,6,11,6,17
CHARAÑA,atencion odontologica,otras acciones,2013-02-01,6,6,6,6,12
CHAYANTA,atencion odontologica,otras acciones,2013-02-01,3,20,3,20,23
CHIMORE,atencion odontologica,otras acciones,2013-02-01,17,69,17,69,86
CHIPAYA,atencion odontologica,otras acciones,2013-02-01,1,5,1,5,6
CHOQUE COTA,atencion odontologica,otras acciones,2013-02-01,10,24,10,24,34
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,otras acciones,2013-02-01,7,19,7,19,26
CHUMA,atencion odontologica,otras acciones,2013-02-01,32,35,32,35,67
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,otras acciones,2013-02-01,0,4,0,4,4
CKOCHAS,atencion odontologica,otras acciones,2013-02-01,5,9,5,9,14
CLIZA,atencion odontologica,otras acciones,2013-02-01,97,89,97,89,186
COBIJA,atencion odontologica,otras acciones,2013-02-01,70,149,70,149,219
COCAPATA,atencion odontologica,otras acciones,2013-02-01,4,4,4,4,8
COCHABAMBA,atencion odontologica,otras acciones,2013-02-01,2236,2916,2236,2916,5152
COIPASA,atencion odontologica,otras acciones,2013-02-01,1,3,1,3,4
COLCAPIRHUA,atencion odontologica,otras acciones,2013-02-01,72,107,72,107,179
"COLCHA ""K""",atencion odontologica,otras acciones,2013-02-01,13,2,13,2,15
COLLANA,atencion odontologica,otras acciones,2013-02-01,20,13,20,13,33
