,group,variable,month,ACCIONES PREVENTIVAS FUERA DEL ESTABLECIMIENTO CANTIDAD,ACCIONES PREVENTIVAS FUERA DEL ESTABLECIMIENTO CANTIDAD,TOTALES,TOTALES,TOTALES
EL ALTO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,20,25,20,25,45
ENTRE RIOS CBBA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,18,24,18,24,42
FERNANDEZ ALONSO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,7,10,7,10,17
FILADELFIA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,51,60,51,60,111
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,19,8,19,8,27
GUAYARAMERIN,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,1,1,1,1,2
GUTIERREZ,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,54,72,54,72,126
HUACARETA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,10,25,10,25,35
HUACAYA (VILLA DE HUACAYA),atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,6,2,6,2,8
HUATAJATA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,1,1,1,1,2
ICHOCA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,29,22,29,22,51
ICLA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,22,32,22,32,54
INCAHUASI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,34,27,34,27,61
INGAVI (HUMAITA),atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,2,2,2,2,4
LA ASUNTA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,6,8,6,8,14
LA GUARDIA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,61,118,61,118,179
LA PAZ,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,150,196,150,196,346
LORETO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,19,46,19,46,65
MACHARETI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,15,3,15,3,18
MECAPACA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,8,0,8,0,8
MIZQUE,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,5,9,5,9,14
MOCOMOCO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,1,2,1,2,3
MOJOCOYA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,2,1,2,1,3
MONTEAGUDO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,16,10,16,10,26
MONTERO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,6,4,6,4,10
MORO MORO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,29,23,29,23,52
MOROCHATA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,14,18,14,18,32
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,26,26,26,26,52
OCURI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,1,1,1,1,2
OKINAWA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,8,10,8,10,18
OMEREQUE,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,3,3,3,3,6
PADCAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,2,2,2,2,4
PAILON,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,3,2,3,2,5
PALOS BLANCOS,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,6,6,6,6,12
PAPEL PAMPA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,1,2,1,2,3
POJO (CBBA),atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,12,7,12,7,19
POROMA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,1,0,1,0,1
PORVENIR,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,0,5,0,5,5
POSTRER VALLE,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,12,16,12,16,28
POTOSI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,12,24,12,24,36
PUCARA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,1,2,1,2,3
PUCARANI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,9,6,9,6,15
PUERTO GONZALO MORENO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,15,20,15,20,35
PUERTO PEREZ,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,0,4,0,4,4
PUERTO QUIJARRO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,1,1,1,1,2
PUERTO RICO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,61,39,61,39,100
PUERTO SUAREZ,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,5,5,5,5,10
PUERTO VILLARROEL,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,143,204,143,204,347
PUNATA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,2,6,2,6,8
QUIABAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,11,7,11,7,18
QUILLACOLLO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,402,646,402,646,1048
RIBERALTA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,6,0,6,0,6
SACACA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,22,17,22,17,39
SAMAIPATA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,6,4,6,4,10
SAN CARLOS,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,1,1,1,1,2
SAN IGNACIO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,44,64,44,64,108
SAN JAVIER(STC),atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,10,20,10,20,30
SAN JOAQUIN,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,9,10,9,10,19
SAN JULIAN,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,14,17,14,17,31
SAN LORENZO(PND),atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,18,26,18,26,44
SAN LORENZO(TJA),atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,8,15,8,15,23
SAN LUCAS,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,7,5,7,5,12
SAN PEDRO DE CURAHUARA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,13,10,13,10,23
SAN RAMON SCZ,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,4,6,4,6,10
SANTA CRUZ DE LA SIERRA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,161,157,161,157,318
SANTIAGO DE MACHACA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,5,2,5,2,7
SAPAHAQUI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,1,1,1,1,2
SENA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,69,106,69,106,175
SHINAOTA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,20,10,20,10,30
SICA SICA (VILLA AROMA),atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,27,15,27,15,42
SICAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,12,17,12,17,29
SIPE SIPE,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,6,19,6,19,25
SORACACHI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,0,5,0,5,5
SORATA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,3,2,3,2,5
SUCRE,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,17,25,17,25,42
TACOPAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,11,17,11,17,28
TAPACARI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,0,19,0,19,19
TARABUCO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,50,49,50,49,99
TARIJA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,82,49,82,49,131
TEOPONTE,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,9,4,9,4,13
TIQUIPAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,83,92,83,92,175
TIRAQUE (CBBA),atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,1,4,1,4,5
TOCO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,77,159,77,159,236
TOMAVE,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,1,0,1,0,1
TOMINA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,64,79,64,79,143
TORO TORO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,2,5,2,5,7
TRINIDAD,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,2,3,2,3,5
TUPIZA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,6,16,6,16,22
UMALA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,45,34,45,34,79
UNCIA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,23,42,23,42,65
URIONDO (A. CONCEPCION),atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,4,2,4,2,6
URUBICHA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,1,1,1,1,2
VACAS,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,113,166,113,166,279
VALLEGRANDE,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,22,8,22,8,30
VIACHA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,29,29,29,29,58
VILA VILA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,13,12,13,12,25
VILLA MONTES,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,3,6,3,6,9
VILLA NUEVA (LOMA ALTA),atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,25,36,25,36,61
VILLA SERRANO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,15,12,15,12,27
VILLA TUNARI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,62,34,62,34,96
VINTO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,96,143,96,143,239
YACUIBA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,11,35,11,35,46
YAMPARAEZ,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,11,17,11,17,28
YAPACANI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,2,1,2,1,3
YUNCHARA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,2,1,2,1,3
ACHACACHI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,36,78,36,78,114
ACHOCALLA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,25,23,25,23,48
AIQUILE,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,380,408,380,408,788
ALALAY,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,2,10,2,10,12
ALCALA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,11,11,11,11,22
ALTO BENI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,16,27,16,27,43
ANCORAIMES,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,1,1,1,1,2
APOLO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,0,2,0,2,2
ARBIETO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,0,5,0,5,5
ARQUE,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,40,46,40,46,86
AYATA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,5,0,5,0,5
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,5,6,5,6,11
BAURES,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,12,18,12,18,30
BELLA FLOR,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,31,30,31,30,61
BERMEJO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,19,23,19,23,42
BETANZOS,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,1,1,1,1,2
BOLIVAR,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,10,7,10,7,17
BOYUIBE,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,5,2,5,2,7
CABEZAS,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,9,4,9,4,13
"CAIZA ""D""",atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,4,1,4,1,5
CAJUATA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,22,22,22,22,44
CAMIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,148,151,148,151,299
CAPINOTA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,18,15,18,15,33
CARANAVI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,202,251,202,251,453
CARAPARI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,1,1,1,1,2
CARIPUYO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,4,0,4,0,4
CHALLAPATA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,10,25,10,25,35
CHARAGUA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,47,55,47,55,102
CHIMORE,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,58,102,58,102,160
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,59,53,59,53,112
COBIJA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,35,58,35,58,93
COCAPATA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,6,9,6,9,15
COCHABAMBA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,10,11,10,11,21
COLCAPIRHUA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,1,1,1,1,2
COLLANA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,9,10,9,10,19
COLOMI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,126,143,126,143,269
COLPA BELGICA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,10,13,10,13,23
COLQUECHACA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,13,17,13,17,30
COMARAPA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,12,12,12,12,24
CONCEPCION,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,26,80,26,80,106
COPACABANA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,154,100,154,100,254
CORO CORO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,11,9,11,9,20
COTAGAITA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,0,3,0,3,3
CUATRO CAÑADAS,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,10,6,10,6,16
CUEVO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,3,4,3,4,7
CULPINA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,21,41,21,41,62
DESAGUADERO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,10,20,10,20,30
EL ALTO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,7,11,7,11,18
EL TORNO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,111,129,111,129,240
ENTRE RIOS TRJ,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,4,8,4,8,12
ENTRE RIOS CBBA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,15,15,15,15,30
FILADELFIA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,15,15,15,15,30
GUANAY,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,14,10,14,10,24
GUTIERREZ,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,48,55,48,55,103
HUACARETA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,10,25,10,25,35
HUACAYA (VILLA DE HUACAYA),atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,0,1,0,1,1
HUATAJATA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,6,15,6,15,21
ICHOCA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,18,26,18,26,44
ICLA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,12,17,12,17,29
INCAHUASI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,4,6,4,6,10
IRUPANA (VILLA DE LANZA),atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,2,2,2,2,4
LA ASUNTA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,81,79,81,79,160
LA GUARDIA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,164,175,164,175,339
LA PAZ,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,176,180,176,180,356
LORETO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,50,66,50,66,116
MACHACAMARCA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,4,0,4,0,4
MACHARETI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,2,7,2,7,9
MAPIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,25,7,25,7,32
MECAPACA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,0,2,0,2,2
MIZQUE,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,264,215,264,215,479
MOCOMOCO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,36,35,36,35,71
MONTEAGUDO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,4,1,4,1,5
MONTERO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,120,90,120,90,210
MORO MORO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,13,14,13,14,27
MOROCHATA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,18,23,18,23,41
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,3,8,3,8,11
OCURI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,1,1,1,1,2
OMEREQUE,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,278,256,278,256,534
ORURO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,0,1,0,1,1
PADILLA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,3,6,3,6,9
PALCA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,40,60,40,60,100
PALOS BLANCOS,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,4,9,4,9,13
PAMPA GRANDE,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,2,14,2,14,16
POCOATA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,0,1,0,1,1
POCONA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,15,19,15,19,34
POJO (CBBA),atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,88,108,88,108,196
POROMA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,0,3,0,3,3
PORONGO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,185,140,185,140,325
PORVENIR,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,34,31,34,31,65
POSTRER VALLE,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,0,3,0,3,3
PUCARA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,28,26,28,26,54
PUERTO CARABUCO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,19,14,19,14,33
PUERTO GONZALO MORENO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,23,33,23,33,56
PUERTO PEREZ,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,7,2,7,2,9
PUERTO QUIJARRO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,2,3,2,3,5
PUERTO RICO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,25,27,25,27,52
PUERTO VILLARROEL,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,223,205,223,205,428
QUIABAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,23,4,23,4,27
QUILLACOLLO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,1217,1237,1217,1237,2454
RAVELO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,0,9,0,9,9
SACABA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,42,9,42,9,51
SACABAMBA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,97,84,97,84,181
SACACA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,6,1,6,1,7
SAMAIPATA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,29,19,29,19,48
SAN ANDRES DE MACHACA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,33,7,33,7,40
SAN BENITO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,7,19,7,19,26
SAN BUENA VENTURA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,20,33,20,33,53
SAN CARLOS,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,20,29,20,29,49
SAN IGNACIO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,2,6,2,6,8
SAN IGNACIO DE VELASCO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,162,212,162,212,374
SAN JAVIER(STC),atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,20,25,20,25,45
SAN JULIAN,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,14,19,14,19,33
SAN LORENZO(PND),atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,11,8,11,8,19
SAN LORENZO(TJA),atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,20,27,20,27,47
SAN LUCAS,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,8,2,8,2,10
SAN RAMON BENI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,47,55,47,55,102
SANTA CRUZ DE LA SIERRA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,999,1481,999,1481,2480
SANTIAGO DE HUARI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,0,2,0,2,2
SENA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,8,11,8,11,19
SHINAOTA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,8,15,8,15,23
SICA SICA (VILLA AROMA),atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,107,114,107,114,221
SICAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,30,36,30,36,66
SIPE SIPE,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,216,313,216,313,529
SORACACHI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,0,5,0,5,5
SUCRE,atencion odontologica,acciones preventivas fuera del establecimiento,2013-02-01,408,417,408,417,825
