,group,variable,month,ENDODONCIAS CANTIDAD,ENDODONCIAS CANTIDAD,TOTALES,TOTALES,TOTALES
COLCAPIRHUA,atencion odontologica,endodoncias,2013-01-01,24,23,24,23,47
COLLANA,atencion odontologica,endodoncias,2013-01-01,1,0,1,0,1
COLOMI,atencion odontologica,endodoncias,2013-01-01,5,5,5,5,10
COLPA BELGICA,atencion odontologica,endodoncias,2013-01-01,0,1,0,1,1
COLQUECHACA,atencion odontologica,endodoncias,2013-01-01,10,10,10,10,20
COLQUENCHA,atencion odontologica,endodoncias,2013-01-01,0,6,0,6,6
COLQUIRI,atencion odontologica,endodoncias,2013-01-01,9,11,9,11,20
COMARAPA,atencion odontologica,endodoncias,2013-01-01,9,31,9,31,40
CONCEPCION,atencion odontologica,endodoncias,2013-01-01,0,2,0,2,2
COPACABANA,atencion odontologica,endodoncias,2013-01-01,2,11,2,11,13
CORO CORO,atencion odontologica,endodoncias,2013-01-01,3,13,3,13,16
COROICO,atencion odontologica,endodoncias,2013-01-01,31,16,31,16,47
CORQUE,atencion odontologica,endodoncias,2013-01-01,1,3,1,3,4
COTAGAITA,atencion odontologica,endodoncias,2013-01-01,27,40,27,40,67
COTOCA,atencion odontologica,endodoncias,2013-01-01,0,1,0,1,1
CUATRO CAÑADAS,atencion odontologica,endodoncias,2013-01-01,1,5,1,5,6
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,endodoncias,2013-01-01,0,1,0,1,1
CUEVO,atencion odontologica,endodoncias,2013-01-01,0,1,0,1,1
CULPINA,atencion odontologica,endodoncias,2013-01-01,1,9,1,9,10
CURAHUARA DE CARANGAS,atencion odontologica,endodoncias,2013-01-01,1,1,1,1,2
CURVA,atencion odontologica,endodoncias,2013-01-01,1,0,1,0,1
DESAGUADERO,atencion odontologica,endodoncias,2013-01-01,3,5,3,5,8
EL ALTO,atencion odontologica,endodoncias,2013-01-01,498,692,498,692,1190
EL PUENTE(STC),atencion odontologica,endodoncias,2013-01-01,1,0,1,0,1
EL PUENTE(TJA),atencion odontologica,endodoncias,2013-01-01,8,29,8,29,37
EL TORNO,atencion odontologica,endodoncias,2013-01-01,7,36,7,36,43
EL VILLAR,atencion odontologica,endodoncias,2013-01-01,1,2,1,2,3
ENTRE RIOS TRJ,atencion odontologica,endodoncias,2013-01-01,6,25,6,25,31
ENTRE RIOS CBBA,atencion odontologica,endodoncias,2013-01-01,2,11,2,11,13
ESCOMA,atencion odontologica,endodoncias,2013-01-01,2,3,2,3,5
EUCALIPTUS,atencion odontologica,endodoncias,2013-01-01,6,0,6,0,6
FERNANDEZ ALONSO,atencion odontologica,endodoncias,2013-01-01,8,11,8,11,19
FILADELFIA,atencion odontologica,endodoncias,2013-01-01,2,1,2,1,3
GENERAL SAAVEDRA,atencion odontologica,endodoncias,2013-01-01,1,2,1,2,3
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,endodoncias,2013-01-01,3,3,3,3,6
GUANAY,atencion odontologica,endodoncias,2013-01-01,3,19,3,19,22
GUAQUI,atencion odontologica,endodoncias,2013-01-01,10,5,10,5,15
GUAYARAMERIN,atencion odontologica,endodoncias,2013-01-01,13,21,13,21,34
GUTIERREZ,atencion odontologica,endodoncias,2013-01-01,11,22,11,22,33
HUACARETA,atencion odontologica,endodoncias,2013-01-01,3,3,3,3,6
HUACHACALLA,atencion odontologica,endodoncias,2013-01-01,1,2,1,2,3
HUANUNI,atencion odontologica,endodoncias,2013-01-01,5,8,5,8,13
HUARACAJE,atencion odontologica,endodoncias,2013-01-01,0,1,0,1,1
HUARINA,atencion odontologica,endodoncias,2013-01-01,2,4,2,4,6
HUATAJATA,atencion odontologica,endodoncias,2013-01-01,13,29,13,29,42
HUAYLLAMARCA,atencion odontologica,endodoncias,2013-01-01,1,3,1,3,4
HUMANATA,atencion odontologica,endodoncias,2013-01-01,0,1,0,1,1
ICLA,atencion odontologica,endodoncias,2013-01-01,8,19,8,19,27
INCAHUASI,atencion odontologica,endodoncias,2013-01-01,7,17,7,17,24
IRUPANA (VILLA DE LANZA),atencion odontologica,endodoncias,2013-01-01,0,1,0,1,1
IXIAMAS,atencion odontologica,endodoncias,2013-01-01,2,6,2,6,8
JESUS DE MACHACA,atencion odontologica,endodoncias,2013-01-01,8,21,8,21,29
LA ASUNTA,atencion odontologica,endodoncias,2013-01-01,4,4,4,4,8
LA GUARDIA,atencion odontologica,endodoncias,2013-01-01,6,22,6,22,28
LA PAZ,atencion odontologica,endodoncias,2013-01-01,793,1038,793,1038,1831
LAGUNILLAS,atencion odontologica,endodoncias,2013-01-01,1,5,1,5,6
LAJA,atencion odontologica,endodoncias,2013-01-01,3,8,3,8,11
LAS CARRERAS,atencion odontologica,endodoncias,2013-01-01,4,7,4,7,11
LICOMA PAMPA,atencion odontologica,endodoncias,2013-01-01,1,5,1,5,6
LLALLAGUA,atencion odontologica,endodoncias,2013-01-01,19,61,19,61,80
MACHACAMARCA,atencion odontologica,endodoncias,2013-01-01,1,3,1,3,4
MACHARETI,atencion odontologica,endodoncias,2013-01-01,0,2,0,2,2
MAGDALENA,atencion odontologica,endodoncias,2013-01-01,6,8,6,8,14
MAIRANA,atencion odontologica,endodoncias,2013-01-01,1,5,1,5,6
MALLA,atencion odontologica,endodoncias,2013-01-01,4,3,4,3,7
MAPIRI,atencion odontologica,endodoncias,2013-01-01,2,9,2,9,11
MECAPACA,atencion odontologica,endodoncias,2013-01-01,4,2,4,2,6
MINEROS,atencion odontologica,endodoncias,2013-01-01,2,6,2,6,8
MIZQUE,atencion odontologica,endodoncias,2013-01-01,4,9,4,9,13
MOCOMOCO,atencion odontologica,endodoncias,2013-01-01,3,5,3,5,8
MOJOCOYA,atencion odontologica,endodoncias,2013-01-01,4,6,4,6,10
MONTEAGUDO,atencion odontologica,endodoncias,2013-01-01,27,24,27,24,51
MONTERO,atencion odontologica,endodoncias,2013-01-01,33,64,33,64,97
MOROCHATA,atencion odontologica,endodoncias,2013-01-01,2,7,2,7,9
OCURI,atencion odontologica,endodoncias,2013-01-01,0,2,0,2,2
OKINAWA,atencion odontologica,endodoncias,2013-01-01,0,2,0,2,2
OMEREQUE,atencion odontologica,endodoncias,2013-01-01,1,8,1,8,9
ORURO,atencion odontologica,endodoncias,2013-01-01,311,433,311,433,744
PADCAYA,atencion odontologica,endodoncias,2013-01-01,20,18,20,18,38
PADILLA,atencion odontologica,endodoncias,2013-01-01,10,8,10,8,18
PAILON,atencion odontologica,endodoncias,2013-01-01,1,1,1,1,2
PALCA,atencion odontologica,endodoncias,2013-01-01,0,1,0,1,1
PALOS BLANCOS,atencion odontologica,endodoncias,2013-01-01,17,14,17,14,31
PAMPA AULLAGAS,atencion odontologica,endodoncias,2013-01-01,2,3,2,3,5
PAPEL PAMPA,atencion odontologica,endodoncias,2013-01-01,3,6,3,6,9
PATACAMAYA,atencion odontologica,endodoncias,2013-01-01,18,25,18,25,43
PAZÑA,atencion odontologica,endodoncias,2013-01-01,2,3,2,3,5
PELECHUCO,atencion odontologica,endodoncias,2013-01-01,12,9,12,9,21
POCONA,atencion odontologica,endodoncias,2013-01-01,4,5,4,5,9
POJO (CBBA),atencion odontologica,endodoncias,2013-01-01,8,27,8,27,35
POOPO,atencion odontologica,endodoncias,2013-01-01,3,7,3,7,10
PORCO,atencion odontologica,endodoncias,2013-01-01,7,10,7,10,17
POROMA,atencion odontologica,endodoncias,2013-01-01,1,2,1,2,3
PORTACHUELO,atencion odontologica,endodoncias,2013-01-01,4,6,4,6,10
PORVENIR,atencion odontologica,endodoncias,2013-01-01,4,8,4,8,12
POTOSI,atencion odontologica,endodoncias,2013-01-01,263,174,263,174,437
PUERTO ACOSTA,atencion odontologica,endodoncias,2013-01-01,0,3,0,3,3
PUERTO CARABUCO,atencion odontologica,endodoncias,2013-01-01,0,3,0,3,3
PUERTO GONZALO MORENO,atencion odontologica,endodoncias,2013-01-01,2,2,2,2,4
PUERTO RICO,atencion odontologica,endodoncias,2013-01-01,3,10,3,10,13
PUERTO SUAREZ,atencion odontologica,endodoncias,2013-01-01,1,0,1,0,1
PUERTO VILLARROEL,atencion odontologica,endodoncias,2013-01-01,50,71,50,71,121
PUNATA,atencion odontologica,endodoncias,2013-01-01,21,39,21,39,60
QUIABAYA,atencion odontologica,endodoncias,2013-01-01,4,3,4,3,7
QUILLACOLLO,atencion odontologica,endodoncias,2013-01-01,98,152,98,152,250
QUIME,atencion odontologica,endodoncias,2013-01-01,1,4,1,4,5
QUIRUSILLAS,atencion odontologica,endodoncias,2013-01-01,0,1,0,1,1
RAVELO,atencion odontologica,endodoncias,2013-01-01,7,13,7,13,20
RIBERALTA,atencion odontologica,endodoncias,2013-01-01,3,16,3,16,19
ROBORE,atencion odontologica,endodoncias,2013-01-01,2,2,2,2,4
SABAYA,atencion odontologica,endodoncias,2013-01-01,1,2,1,2,3
SACABA,atencion odontologica,endodoncias,2013-01-01,49,42,49,42,91
SACABAMBA,atencion odontologica,endodoncias,2013-01-01,1,3,1,3,4
SACACA,atencion odontologica,endodoncias,2013-01-01,0,3,0,3,3
SAIPINA,atencion odontologica,endodoncias,2013-01-01,4,13,4,13,17
SALINAS DE GARCI MENDOZA,atencion odontologica,endodoncias,2013-01-01,13,15,13,15,28
SAMAIPATA,atencion odontologica,endodoncias,2013-01-01,1,4,1,4,5
SAN ANDRES DE MACHACA,atencion odontologica,endodoncias,2013-01-01,4,4,4,4,8
SAN ANTONIO DE ESMORUCO,atencion odontologica,endodoncias,2013-01-01,3,2,3,2,5
SAN BENITO,atencion odontologica,endodoncias,2013-01-01,16,3,16,3,19
SAN BORJA,atencion odontologica,endodoncias,2013-01-01,8,16,8,16,24
SAN BUENA VENTURA,atencion odontologica,endodoncias,2013-01-01,6,11,6,11,17
SAN CARLOS,atencion odontologica,endodoncias,2013-01-01,10,25,10,25,35
SAN IGNACIO,atencion odontologica,endodoncias,2013-01-01,2,13,2,13,15
SAN IGNACIO DE VELASCO,atencion odontologica,endodoncias,2013-01-01,3,6,3,6,9
SAN JAVIER(STC),atencion odontologica,endodoncias,2013-01-01,0,1,0,1,1
SAN JOAQUIN,atencion odontologica,endodoncias,2013-01-01,0,6,0,6,6
SAN JOSE DE CHIQUITOS,atencion odontologica,endodoncias,2013-01-01,0,1,0,1,1
SAN JULIAN,atencion odontologica,endodoncias,2013-01-01,6,18,6,18,24
SAN LORENZO(TJA),atencion odontologica,endodoncias,2013-01-01,12,34,12,34,46
SAN LUCAS,atencion odontologica,endodoncias,2013-01-01,8,6,8,6,14
SAN MATIAS,atencion odontologica,endodoncias,2013-01-01,2,8,2,8,10
SAN MIGUEL DE VELASCO,atencion odontologica,endodoncias,2013-01-01,21,44,21,44,65
SAN PEDRO,atencion odontologica,endodoncias,2013-01-01,5,5,5,5,10
SAN PEDRO DE BUENA VISTA,atencion odontologica,endodoncias,2013-01-01,9,12,9,12,21
SAN PEDRO DE CURAHUARA,atencion odontologica,endodoncias,2013-01-01,6,3,6,3,9
SAN RAFAEL,atencion odontologica,endodoncias,2013-01-01,0,2,0,2,2
SAN RAMON BENI,atencion odontologica,endodoncias,2013-01-01,1,6,1,6,7
SAN RAMON SCZ,atencion odontologica,endodoncias,2013-01-01,2,2,2,2,4
SANTA ANA,atencion odontologica,endodoncias,2013-01-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,endodoncias,2013-01-01,486,703,486,703,1189
SANTA ROSA DEL SARA,atencion odontologica,endodoncias,2013-01-01,2,7,2,7,9
SANTIAGO DE CALLAPA,atencion odontologica,endodoncias,2013-01-01,0,2,0,2,2
SANTIAGO DE HUARI,atencion odontologica,endodoncias,2013-01-01,6,11,6,11,17
SANTIAGO DE HUATA,atencion odontologica,endodoncias,2013-01-01,7,18,7,18,25
SANTIAGO DE MACHACA,atencion odontologica,endodoncias,2013-01-01,8,15,8,15,23
SANTIVAÑES,atencion odontologica,endodoncias,2013-01-01,3,5,3,5,8
SANTUARIO DE QUILLACAS,atencion odontologica,endodoncias,2013-01-01,1,0,1,0,1
SAPAHAQUI,atencion odontologica,endodoncias,2013-01-01,1,7,1,7,8
SENA,atencion odontologica,endodoncias,2013-01-01,0,6,0,6,6
SHINAOTA,atencion odontologica,endodoncias,2013-01-01,5,13,5,13,18
SICA SICA (VILLA AROMA),atencion odontologica,endodoncias,2013-01-01,4,3,4,3,7
SIPE SIPE,atencion odontologica,endodoncias,2013-01-01,42,44,42,44,86
SOPACHUY,atencion odontologica,endodoncias,2013-01-01,10,26,10,26,36
SORACACHI,atencion odontologica,endodoncias,2013-01-01,6,10,6,10,16
SORATA,atencion odontologica,endodoncias,2013-01-01,8,11,8,11,19
SUCRE,atencion odontologica,endodoncias,2013-01-01,512,761,512,761,1273
TACACOMA,atencion odontologica,endodoncias,2013-01-01,2,7,2,7,9
TACOPAYA,atencion odontologica,endodoncias,2013-01-01,1,2,1,2,3
TAPACARI,atencion odontologica,endodoncias,2013-01-01,7,10,7,10,17
TARABUCO,atencion odontologica,endodoncias,2013-01-01,0,6,0,6,6
TARATA,atencion odontologica,endodoncias,2013-01-01,1,7,1,7,8
TARIJA,atencion odontologica,endodoncias,2013-01-01,386,451,386,451,837
TARVITA,atencion odontologica,endodoncias,2013-01-01,3,9,3,9,12
TEOPONTE,atencion odontologica,endodoncias,2013-01-01,5,1,5,1,6
TIAWANACU,atencion odontologica,endodoncias,2013-01-01,5,7,5,7,12
TINGUIPAYA,atencion odontologica,endodoncias,2013-01-01,0,1,0,1,1
TIQUIPAYA,atencion odontologica,endodoncias,2013-01-01,57,58,57,58,115
TIRAQUE (CBBA),atencion odontologica,endodoncias,2013-01-01,4,17,4,17,21
TOCO,atencion odontologica,endodoncias,2013-01-01,0,4,0,4,4
TOLATA,atencion odontologica,endodoncias,2013-01-01,9,10,9,10,19
TOLEDO,atencion odontologica,endodoncias,2013-01-01,0,2,0,2,2
TOMAVE,atencion odontologica,endodoncias,2013-01-01,5,3,5,3,8
TOMINA,atencion odontologica,endodoncias,2013-01-01,10,7,10,7,17
TORO TORO,atencion odontologica,endodoncias,2013-01-01,0,4,0,4,4
TOTORA(CBBA),atencion odontologica,endodoncias,2013-01-01,5,12,5,12,17
TOTORA(ORR),atencion odontologica,endodoncias,2013-01-01,0,1,0,1,1
TRINIDAD,atencion odontologica,endodoncias,2013-01-01,119,164,119,164,283
TUPIZA,atencion odontologica,endodoncias,2013-01-01,149,94,149,94,243
UNCIA,atencion odontologica,endodoncias,2013-01-01,5,9,5,9,14
URIONDO (A. CONCEPCION),atencion odontologica,endodoncias,2013-01-01,32,49,32,49,81
URUBICHA,atencion odontologica,endodoncias,2013-01-01,0,2,0,2,2
UYUNI,atencion odontologica,endodoncias,2013-01-01,8,21,8,21,29
VACAS,atencion odontologica,endodoncias,2013-01-01,11,20,11,20,31
VALLEGRANDE,atencion odontologica,endodoncias,2013-01-01,7,14,7,14,21
VIACHA,atencion odontologica,endodoncias,2013-01-01,25,26,25,26,51
VILLA CHARCAS,atencion odontologica,endodoncias,2013-01-01,0,6,0,6,6
VILLA MONTES,atencion odontologica,endodoncias,2013-01-01,32,79,32,79,111
VILLA SERRANO,atencion odontologica,endodoncias,2013-01-01,6,18,6,18,24
VILLA TUNARI,atencion odontologica,endodoncias,2013-01-01,27,37,27,37,64
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,endodoncias,2013-01-01,10,4,10,4,14
VILLAZON,atencion odontologica,endodoncias,2013-01-01,106,80,106,80,186
VINTO,atencion odontologica,endodoncias,2013-01-01,21,30,21,30,51
VITICHI,atencion odontologica,endodoncias,2013-01-01,4,3,4,3,7
WARNES,atencion odontologica,endodoncias,2013-01-01,6,6,6,6,12
YACUIBA,atencion odontologica,endodoncias,2013-01-01,38,75,38,75,113
YAMPARAEZ,atencion odontologica,endodoncias,2013-01-01,4,9,4,9,13
YANACACHI,atencion odontologica,endodoncias,2013-01-01,0,3,0,3,3
YAPACANI,atencion odontologica,endodoncias,2013-01-01,5,20,5,20,25
YOTALA,atencion odontologica,endodoncias,2013-01-01,1,19,1,19,20
YUNCHARA,atencion odontologica,endodoncias,2013-01-01,3,9,3,9,12
ZUDAÑEZ,atencion odontologica,endodoncias,2013-01-01,0,1,0,1,1
ACACIO,atencion odontologica,endodoncias,2013-02-01,1,0,1,0,1
ACHACACHI,atencion odontologica,endodoncias,2013-02-01,33,39,33,39,72
ACHOCALLA,atencion odontologica,endodoncias,2013-02-01,7,1,7,1,8
AIQUILE,atencion odontologica,endodoncias,2013-02-01,9,14,9,14,23
ALCALA,atencion odontologica,endodoncias,2013-02-01,2,3,2,3,5
ANCORAIMES,atencion odontologica,endodoncias,2013-02-01,0,1,0,1,1
ANTEQUERA,atencion odontologica,endodoncias,2013-02-01,4,3,4,3,7
ANZALDO,atencion odontologica,endodoncias,2013-02-01,0,4,0,4,4
APOLO,atencion odontologica,endodoncias,2013-02-01,2,1,2,1,3
ARANI,atencion odontologica,endodoncias,2013-02-01,12,35,12,35,47
ARBIETO,atencion odontologica,endodoncias,2013-02-01,5,2,5,2,7
ARQUE,atencion odontologica,endodoncias,2013-02-01,0,2,0,2,2
ASCENCION DE GUARAYOS,atencion odontologica,endodoncias,2013-02-01,4,1,4,1,5
ATOCHA,atencion odontologica,endodoncias,2013-02-01,93,121,93,121,214
AYATA,atencion odontologica,endodoncias,2013-02-01,2,3,2,3,5
AYO AYO,atencion odontologica,endodoncias,2013-02-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,endodoncias,2013-02-01,27,43,27,43,70
AZURDUY,atencion odontologica,endodoncias,2013-02-01,6,5,6,5,11
BATALLAS,atencion odontologica,endodoncias,2013-02-01,2,0,2,0,2
BAURES,atencion odontologica,endodoncias,2013-02-01,3,3,3,3,6
BELEN DE ANDAMARCA,atencion odontologica,endodoncias,2013-02-01,5,3,5,3,8
BERMEJO,atencion odontologica,endodoncias,2013-02-01,23,58,23,58,81
BETANZOS,atencion odontologica,endodoncias,2013-02-01,2,8,2,8,10
BOLIVAR,atencion odontologica,endodoncias,2013-02-01,4,8,4,8,12
BOYUIBE,atencion odontologica,endodoncias,2013-02-01,0,2,0,2,2
BUENA VISTA,atencion odontologica,endodoncias,2013-02-01,0,3,0,3,3
CABEZAS,atencion odontologica,endodoncias,2013-02-01,0,1,0,1,1
"CAIZA ""D""",atencion odontologica,endodoncias,2013-02-01,1,2,1,2,3
CALAMARCA,atencion odontologica,endodoncias,2013-02-01,9,20,9,20,29
CAMARGO,atencion odontologica,endodoncias,2013-02-01,9,22,9,22,31
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,endodoncias,2013-02-01,0,4,0,4,4
CAMIRI,atencion odontologica,endodoncias,2013-02-01,22,54,22,54,76
CAPINOTA,atencion odontologica,endodoncias,2013-02-01,23,22,23,22,45
CAQUIAVIRI,atencion odontologica,endodoncias,2013-02-01,3,5,3,5,8
CARACOLLO,atencion odontologica,endodoncias,2013-02-01,4,9,4,9,13
CARANAVI,atencion odontologica,endodoncias,2013-02-01,16,16,16,16,32
CARAPARI,atencion odontologica,endodoncias,2013-02-01,26,29,26,29,55
CHALLAPATA,atencion odontologica,endodoncias,2013-02-01,11,19,11,19,30
CHAQUI,atencion odontologica,endodoncias,2013-02-01,0,1,0,1,1
CHARAGUA,atencion odontologica,endodoncias,2013-02-01,3,5,3,5,8
CHARAÑA,atencion odontologica,endodoncias,2013-02-01,2,1,2,1,3
CHAYANTA,atencion odontologica,endodoncias,2013-02-01,1,2,1,2,3
CHIMORE,atencion odontologica,endodoncias,2013-02-01,7,19,7,19,26
CHIPAYA,atencion odontologica,endodoncias,2013-02-01,1,0,1,0,1
CHOQUE COTA,atencion odontologica,endodoncias,2013-02-01,0,3,0,3,3
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,endodoncias,2013-02-01,9,8,9,8,17
CHUMA,atencion odontologica,endodoncias,2013-02-01,6,7,6,7,13
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,endodoncias,2013-02-01,0,4,0,4,4
CKOCHAS,atencion odontologica,endodoncias,2013-02-01,0,3,0,3,3
CLIZA,atencion odontologica,endodoncias,2013-02-01,6,6,6,6,12
COBIJA,atencion odontologica,endodoncias,2013-02-01,13,33,13,33,46
COCAPATA,atencion odontologica,endodoncias,2013-02-01,1,2,1,2,3
COCHABAMBA,atencion odontologica,endodoncias,2013-02-01,802,965,802,965,1767
COIPASA,atencion odontologica,endodoncias,2013-02-01,1,3,1,3,4
COLCAPIRHUA,atencion odontologica,endodoncias,2013-02-01,11,19,11,19,30
COLOMI,atencion odontologica,endodoncias,2013-02-01,5,5,5,5,10
COLPA BELGICA,atencion odontologica,endodoncias,2013-02-01,1,8,1,8,9
COLQUECHACA,atencion odontologica,endodoncias,2013-02-01,0,4,0,4,4
COLQUENCHA,atencion odontologica,endodoncias,2013-02-01,12,6,12,6,18
COLQUIRI,atencion odontologica,endodoncias,2013-02-01,4,9,4,9,13
COMARAPA,atencion odontologica,endodoncias,2013-02-01,9,20,9,20,29
COMBAYA,atencion odontologica,endodoncias,2013-02-01,0,3,0,3,3
CONCEPCION,atencion odontologica,endodoncias,2013-02-01,1,1,1,1,2
COPACABANA,atencion odontologica,endodoncias,2013-02-01,5,3,5,3,8
CORIPATA,atencion odontologica,endodoncias,2013-02-01,3,0,3,0,3
CORO CORO,atencion odontologica,endodoncias,2013-02-01,5,4,5,4,9
COROICO,atencion odontologica,endodoncias,2013-02-01,18,10,18,10,28
CORQUE,atencion odontologica,endodoncias,2013-02-01,1,2,1,2,3
COTAGAITA,atencion odontologica,endodoncias,2013-02-01,41,38,41,38,79
COTOCA,atencion odontologica,endodoncias,2013-02-01,2,2,2,2,4
CUATRO CAÑADAS,atencion odontologica,endodoncias,2013-02-01,5,1,5,1,6
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,endodoncias,2013-02-01,0,3,0,3,3
CUEVO,atencion odontologica,endodoncias,2013-02-01,0,1,0,1,1
CULPINA,atencion odontologica,endodoncias,2013-02-01,3,11,3,11,14
DESAGUADERO,atencion odontologica,endodoncias,2013-02-01,5,1,5,1,6
EL ALTO,atencion odontologica,endodoncias,2013-02-01,642,546,642,546,1188
EL PUENTE(TJA),atencion odontologica,endodoncias,2013-02-01,8,16,8,16,24
EL TORNO,atencion odontologica,endodoncias,2013-02-01,24,47,24,47,71
ENTRE RIOS TRJ,atencion odontologica,endodoncias,2013-02-01,4,13,4,13,17
ENTRE RIOS CBBA,atencion odontologica,endodoncias,2013-02-01,1,8,1,8,9
FERNANDEZ ALONSO,atencion odontologica,endodoncias,2013-02-01,2,5,2,5,7
FILADELFIA,atencion odontologica,endodoncias,2013-02-01,3,2,3,2,5
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,endodoncias,2013-02-01,0,3,0,3,3
GUANAY,atencion odontologica,endodoncias,2013-02-01,8,8,8,8,16
GUAQUI,atencion odontologica,endodoncias,2013-02-01,1,16,1,16,17
GUAYARAMERIN,atencion odontologica,endodoncias,2013-02-01,3,20,3,20,23
HUACARETA,atencion odontologica,endodoncias,2013-02-01,2,3,2,3,5
HUACAYA (VILLA DE HUACAYA),atencion odontologica,endodoncias,2013-02-01,2,8,2,8,10
HUACHACALLA,atencion odontologica,endodoncias,2013-02-01,2,2,2,2,4
HUANUNI,atencion odontologica,endodoncias,2013-02-01,3,6,3,6,9
HUARACAJE,atencion odontologica,endodoncias,2013-02-01,1,3,1,3,4
