,group,variable,month,CONSULTAS NUEVAS DE 5 A 59 AÑOS CANTIDAD,CONSULTAS NUEVAS DE 5 A 59 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
CALAMARCA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,97,202,97,202,299
CAMARGO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,67,213,67,213,280
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,54,124,54,124,178
CAMIRI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,177,362,177,362,539
CAPINOTA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,156,256,156,256,412
CAQUIAVIRI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,29,59,29,59,88
CARACOLLO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,116,270,116,270,386
CARANAVI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,47,49,47,49,96
CARAPARI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,225,375,225,375,600
CARIPUYO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,26,42,26,42,68
CARMEN RIVERO TORREZ,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,24,30,24,30,54
CATACORA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,14,19,14,19,33
CHACARILLA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,1,0,1,0,1
CHALLAPATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,171,229,171,229,400
CHAQUI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,2,14,2,14,16
CHARAGUA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,91,181,91,181,272
CHARAÑA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,13,14,13,14,27
CHAYANTA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,24,44,24,44,68
CHIMORE,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,49,63,49,63,112
CHIPAYA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,5,15,5,15,20
CHOQUE COTA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,15,26,15,26,41
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,30,127,30,127,157
CHUMA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,82,171,82,171,253
CKOCHAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,35,45,35,45,80
CLIZA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,205,377,205,377,582
COBIJA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,370,511,370,511,881
COCAPATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,36,71,36,71,107
COCHABAMBA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,1985,3503,1985,3503,5488
COIPASA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,14,20,14,20,34
COLCAPIRHUA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,80,161,80,161,241
"COLCHA ""K""",atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,5,6,5,6,11
COLLANA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,26,52,26,52,78
COLOMI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,14,23,14,23,37
COLPA BELGICA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,70,77,70,77,147
COLQUECHACA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,120,182,120,182,302
COLQUENCHA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,13,22,13,22,35
COLQUIRI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,116,143,116,143,259
COMANCHE,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,12,39,12,39,51
COMARAPA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,39,135,39,135,174
CONCEPCION,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,5,25,5,25,30
COPACABANA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,45,119,45,119,164
CORIPATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,17,59,17,59,76
CORO CORO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,32,51,32,51,83
COROICO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,127,166,127,166,293
CORQUE,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,22,42,22,42,64
COTAGAITA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,230,385,230,385,615
COTOCA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,17,155,17,155,172
CUATRO CAÑADAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,57,140,57,140,197
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,14,16,14,16,30
CUEVO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,20,42,20,42,62
CULPINA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,64,121,64,121,185
CURAHUARA DE CARANGAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,17,25,17,25,42
CURVA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,2,43,2,43,45
DESAGUADERO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,76,82,76,82,158
EL ALTO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,5579,8135,5579,8135,13714
EL PUENTE(STC),atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,26,24,26,24,50
EL PUENTE(TJA),atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,76,258,76,258,334
EL TORNO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,82,190,82,190,272
EL VILLAR,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,13,14,13,14,27
ENTRE RIOS TRJ,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,101,312,101,312,413
ENTRE RIOS CBBA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,8,23,8,23,31
ESCOMA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,61,66,61,66,127
EUCALIPTUS,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,39,51,39,51,90
FERNANDEZ ALONSO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,76,115,76,115,191
FILADELFIA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,94,160,94,160,254
GENERAL SAAVEDRA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,42,52,42,52,94
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,50,93,50,93,143
GUANAY,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,27,90,27,90,117
GUAQUI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,82,150,82,150,232
GUAYARAMERIN,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,291,483,291,483,774
GUTIERREZ,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,104,136,104,136,240
HUACARETA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,56,134,56,134,190
HUACAYA (VILLA DE HUACAYA),atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,24,82,24,82,106
HUACHACALLA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,33,51,33,51,84
HUANUNI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,92,156,92,156,248
HUARACAJE,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,6,12,6,12,18
HUARINA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,19,53,19,53,72
HUATAJATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,55,111,55,111,166
HUAYLLAMARCA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,61,93,61,93,154
HUMANATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,27,44,27,44,71
ICHOCA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,12,36,12,36,48
ICLA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,43,51,43,51,94
INCAHUASI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,47,196,47,196,243
INGAVI (HUMAITA),atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,11,27,11,27,38
INQUISIVI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,78,146,78,146,224
IRUPANA (VILLA DE LANZA),atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,48,87,48,87,135
IXIAMAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,64,119,64,119,183
JESUS DE MACHACA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,46,134,46,134,180
LA ASUNTA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,35,37,35,37,72
LA GUARDIA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,67,224,67,224,291
LA PAZ,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,7616,10113,7616,10113,17729
LAGUNILLAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,18,51,18,51,69
LAJA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,32,87,32,87,119
LAS CARRERAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,27,51,27,51,78
LICOMA PAMPA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,27,33,27,33,60
LLALLAGUA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,102,241,102,241,343
LORETO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,6,6,6,6,12
LURIBAY,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,6,30,6,30,36
MACHACAMARCA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,45,54,45,54,99
MACHARETI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,12,51,12,51,63
MAGDALENA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,114,233,114,233,347
MAIRANA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,49,86,49,86,135
MALLA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,16,29,16,29,45
MAPIRI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,52,102,52,102,154
MECAPACA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,45,63,45,63,108
MINEROS,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,17,85,17,85,102
MIZQUE,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,50,102,50,102,152
MOCOMOCO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,83,90,83,90,173
MOJOCOYA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,30,69,30,69,99
MONTEAGUDO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,178,329,178,329,507
MONTERO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,313,442,313,442,755
MORO MORO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,6,12,6,12,18
MOROCHATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,13,31,13,31,44
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,119,98,119,98,217
OCURI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,33,68,33,68,101
OKINAWA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,21,9,21,9,30
OMEREQUE,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,11,23,11,23,34
ORURO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,1703,2679,1703,2679,4382
PADCAYA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,133,269,133,269,402
PADILLA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,138,256,138,256,394
PAILON,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,39,85,39,85,124
PALCA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,53,93,53,93,146
PALOS BLANCOS,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,59,68,59,68,127
PAMPA AULLAGAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,22,39,22,39,61
PAMPA GRANDE,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,18,84,18,84,102
PAPEL PAMPA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,37,45,37,45,82
PASORAPA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,7,14,7,14,21
PATACAMAYA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,52,109,52,109,161
PAZÑA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,22,48,22,48,70
PELECHUCO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,20,56,20,56,76
POCOATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,28,56,28,56,84
POCONA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,49,97,49,97,146
POJO (CBBA),atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,154,230,154,230,384
POOPO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,65,79,65,79,144
PORCO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,29,62,29,62,91
POROMA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,35,89,35,89,124
PORONGO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,14,30,14,30,44
PORTACHUELO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,93,174,93,174,267
PORVENIR,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,122,186,122,186,308
POSTRER VALLE,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,18,76,18,76,94
POTOSI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,947,1742,947,1742,2689
PRESTO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,31,71,31,71,102
PUCARA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,3,2,3,2,5
PUCARANI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,129,240,129,240,369
PUERTO ACOSTA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,25,39,25,39,64
PUERTO CARABUCO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,81,173,81,173,254
PUERTO GONZALO MORENO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,56,79,56,79,135
PUERTO PEREZ,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,13,40,13,40,53
PUERTO QUIJARRO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,15,20,15,20,35
PUERTO RICO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,188,228,188,228,416
PUERTO SUAREZ,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,5,51,5,51,56
PUERTO VILLARROEL,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,59,325,59,325,384
PUNA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,69,146,69,146,215
PUNATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,224,475,224,475,699
QUIABAYA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,44,4,44,4,48
QUILLACOLLO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,448,555,448,555,1003
QUIME,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,89,191,89,191,280
QUIRUSILLAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,9,22,9,22,31
RAVELO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,23,56,23,56,79
REYES,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,22,40,22,40,62
RIBERALTA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,204,380,204,380,584
ROBORE,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,79,91,79,91,170
RURRENABAQUE,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,19,19,19,19,38
SABAYA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,68,64,68,64,132
SACABA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,203,598,203,598,801
SACABAMBA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,22,51,22,51,73
SACACA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,36,28,36,28,64
SAIPINA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,44,72,44,72,116
SALINAS DE GARCI MENDOZA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,90,90,90,90,180
SAMAIPATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,27,51,27,51,78
SAN AGUSTIN,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,11,23,11,23,34
SAN ANDRES,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,55,94,55,94,149
SAN ANDRES DE MACHACA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,25,39,25,39,64
SAN ANTONIO DE ESMORUCO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,2,19,2,19,21
SAN ANTONIO DE LOMERIO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,5,5,5,5,10
SAN BORJA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,40,90,40,90,130
SAN BUENA VENTURA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,17,42,17,42,59
SAN CARLOS,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,81,143,81,143,224
SAN IGNACIO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,280,421,280,421,701
SAN IGNACIO DE VELASCO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,52,80,52,80,132
SAN JAVIER(BNI),atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,5,7,5,7,12
SAN JAVIER(STC),atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,70,73,70,73,143
SAN JOAQUIN,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,14,24,14,24,38
SAN JOSE DE CHIQUITOS,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,52,75,52,75,127
SAN JUAN DE YAPACANI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,37,59,37,59,96
SAN JULIAN,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,27,84,27,84,111
SAN LORENZO(PND),atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,9,8,9,8,17
SAN LORENZO(TJA),atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,279,598,279,598,877
SAN LUCAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,40,130,40,130,170
SAN MATIAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,5,27,5,27,32
SAN MIGUEL DE VELASCO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,94,144,94,144,238
SAN PEDRO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,68,103,68,103,171
SAN PEDRO DE BUENA VISTA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,52,90,52,90,142
SAN PEDRO DE CURAHUARA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,35,103,35,103,138
SAN PEDRO DE TIQUINA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,21,39,21,39,60
SAN RAFAEL,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,6,38,6,38,44
SAN RAMON BENI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,20,26,20,26,46
SAN RAMON SCZ,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,26,31,26,31,57
SANTA ANA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,306,417,306,417,723
SANTA CRUZ DE LA SIERRA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,2884,5408,2884,5408,8292
SANTA ROSA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,54,86,54,86,140
SANTA ROSA DEL SARA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,76,125,76,125,201
SANTIAGO DE CALLAPA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,9,19,9,19,28
SANTIAGO DE HUARI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,243,306,243,306,549
SANTIAGO DE HUATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,22,34,22,34,56
SANTIAGO DE MACHACA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,34,90,34,90,124
SANTIVAÑES,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,48,72,48,72,120
SANTUARIO DE QUILLACAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,10,13,10,13,23
SAPAHAQUI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,30,53,30,53,83
SENA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,49,108,49,108,157
SHINAOTA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,0,1,0,1,1
SICA SICA (VILLA AROMA),atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,50,79,50,79,129
SICAYA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,9,39,9,39,48
SIPE SIPE,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,98,209,98,209,307
SOPACHUY,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,60,172,60,172,232
SORACACHI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,30,41,30,41,71
SORATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,52,74,52,74,126
SUCRE,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,3572,5894,3572,5894,9466
TACACOMA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,52,84,52,84,136
TACOBAMBA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,5,14,5,14,19
TACOPAYA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,14,36,14,36,50
TAHUA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,5,6,5,6,11
TAPACARI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,102,100,102,100,202
TARABUCO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,64,175,64,175,239
