,group,variable,month,CONSULTAS NUEVAS A MUJER EMBARAZADA O PUÉRPERA CANTIDAD,CONSULTAS NUEVAS A MUJER EMBARAZADA O PUÉRPERA CANTIDAD,TOTALES,TOTALES,TOTALES
CALACOTO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,14,0,14,14
CALAMARCA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,57,0,57,57
CAMARGO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,50,0,50,50
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,22,0,22,22
CAMIRI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,121,0,121,121
CAPINOTA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,56,0,56,56
CAQUIAVIRI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,19,0,19,19
CARACOLLO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,20,0,20,20
CARANAVI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,9,0,9,9
CARAPARI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,4,0,4,4
CARIPUYO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,33,0,33,33
CARMEN RIVERO TORREZ,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,1,0,1,1
CATACORA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,5,0,5,5
CHALLAPATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,93,0,93,93
CHAQUI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,6,0,6,6
CHARAGUA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,52,0,52,52
CHARAÑA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,4,0,4,4
CHAYANTA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,1,0,1,1
CHIMORE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,94,0,94,94
CHIPAYA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,13,0,13,13
CHOQUE COTA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,3,0,3,3
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,80,0,80,80
CHUMA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,34,0,34,34
CKOCHAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,21,0,21,21
CLIZA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,56,0,56,56
COBIJA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,138,0,138,138
COCAPATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,27,0,27,27
COCHABAMBA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,779,0,779,779
COIPASA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,6,0,6,6
COLCAPIRHUA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,172,0,172,172
COLLANA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,1,0,1,1
COLOMI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,27,0,27,27
COLPA BELGICA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,28,0,28,28
COLQUECHACA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,63,0,63,63
COLQUIRI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,16,0,16,16
COMANCHE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,15,0,15,15
COMARAPA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,42,0,42,42
CONCEPCION,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,7,0,7,7
COPACABANA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,21,0,21,21
CORIPATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,4,0,4,4
CORO CORO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,12,0,12,12
COROICO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,15,0,15,15
CORQUE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,2,0,2,2
COTAGAITA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,34,0,34,34
COTOCA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,75,0,75,75
CUATRO CAÑADAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,85,0,85,85
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,2,0,2,2
CUEVO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,6,0,6,6
CULPINA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,47,0,47,47
CURAHUARA DE CARANGAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,13,0,13,13
CURVA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,37,0,37,37
DESAGUADERO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,26,0,26,26
EL ALTO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,821,0,821,821
EL PUENTE(STC),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,15,0,15,15
EL PUENTE(TJA),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,7,0,7,7
EL TORNO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,25,0,25,25
EL VILLAR,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,11,0,11,11
ENTRE RIOS TRJ,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,16,0,16,16
ENTRE RIOS CBBA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,84,0,84,84
ESCOMA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,2,0,2,2
EUCALIPTUS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,23,0,23,23
FERNANDEZ ALONSO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,32,0,32,32
FILADELFIA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,15,0,15,15
GENERAL SAAVEDRA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,25,0,25,25
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,24,0,24,24
GUANAY,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,19,0,19,19
GUAQUI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,15,0,15,15
GUAYARAMERIN,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,154,0,154,154
GUTIERREZ,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,51,0,51,51
HUACARETA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,22,0,22,22
HUACAYA (VILLA DE HUACAYA),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,22,0,22,22
HUACHACALLA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,1,0,1,1
HUANUNI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,8,0,8,8
HUARACAJE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,11,0,11,11
HUATAJATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,28,0,28,28
HUAYLLAMARCA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,5,0,5,5
ICHOCA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,18,0,18,18
ICLA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,53,0,53,53
INCAHUASI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,11,0,11,11
INGAVI (HUMAITA),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,7,0,7,7
INQUISIVI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,39,0,39,39
IRUPANA (VILLA DE LANZA),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,4,0,4,4
IXIAMAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,9,0,9,9
JESUS DE MACHACA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,14,0,14,14
LA GUARDIA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,107,0,107,107
LA PAZ,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,1063,0,1063,1063
LAGUNILLAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,15,0,15,15
LAJA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,17,0,17,17
LAS CARRERAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,4,0,4,4
LICOMA PAMPA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,19,0,19,19
LLALLAGUA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,116,0,116,116
LORETO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,12,0,12,12
LURIBAY,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,8,0,8,8
MACHACAMARCA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,5,0,5,5
MACHARETI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,29,0,29,29
MAGDALENA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,15,0,15,15
MAIRANA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,52,0,52,52
MALLA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,16,0,16,16
MAPIRI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,10,0,10,10
MECAPACA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,16,0,16,16
MINEROS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,11,0,11,11
MIZQUE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,31,0,31,31
MOCOMOCO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,5,0,5,5
MOJOCOYA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,9,0,9,9
MONTEAGUDO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,137,0,137,137
MONTERO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,105,0,105,105
MORO MORO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,8,0,8,8
MOROCHATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,48,0,48,48
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,9,0,9,9
OCURI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,15,0,15,15
OKINAWA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,9,0,9,9
OMEREQUE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,7,0,7,7
ORURO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,340,0,340,340
PADCAYA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,1,0,1,1
PADILLA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,43,0,43,43
PAILON,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,36,0,36,36
PALCA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,14,0,14,14
PALOS BLANCOS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,29,0,29,29
PAMPA AULLAGAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,3,0,3,3
PAMPA GRANDE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,58,0,58,58
PAPEL PAMPA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,13,0,13,13
PASORAPA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,2,0,2,2
PATACAMAYA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,37,0,37,37
PAZÑA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,2,0,2,2
PELECHUCO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,34,0,34,34
POCOATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,21,0,21,21
POCONA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,25,0,25,25
POJO (CBBA),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,56,0,56,56
POOPO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,5,0,5,5
PORCO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,18,0,18,18
POROMA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,3,0,3,3
PORONGO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,5,0,5,5
PORTACHUELO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,35,0,35,35
PORVENIR,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,48,0,48,48
POSTRER VALLE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,6,0,6,6
POTOSI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,367,0,367,367
PRESTO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,14,0,14,14
PUCARA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,1,0,1,1
PUCARANI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,21,0,21,21
PUERTO ACOSTA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,4,0,4,4
PUERTO CARABUCO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,13,0,13,13
PUERTO GONZALO MORENO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,25,0,25,25
PUERTO PEREZ,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,5,0,5,5
PUERTO QUIJARRO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,24,0,24,24
PUERTO RICO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,19,0,19,19
PUERTO SUAREZ,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,86,0,86,86
PUERTO VILLARROEL,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,222,0,222,222
PUNA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,11,0,11,11
PUNATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,200,0,200,200
QUILLACOLLO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,348,0,348,348
QUIME,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,33,0,33,33
QUIRUSILLAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,2,0,2,2
RAVELO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,23,0,23,23
REYES,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,9,0,9,9
RIBERALTA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,160,0,160,160
RURRENABAQUE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,10,0,10,10
SABAYA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,26,0,26,26
SACABA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,340,0,340,340
SACABAMBA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,11,0,11,11
SACACA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,15,0,15,15
SAIPINA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,19,0,19,19
SALINAS DE GARCI MENDOZA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,43,0,43,43
SAMAIPATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,26,0,26,26
SAN ANDRES,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,4,0,4,4
SAN ANDRES DE MACHACA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,9,0,9,9
SAN ANTONIO DE LOMERIO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,3,0,3,3
SAN BENITO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,37,0,37,37
SAN BORJA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,29,0,29,29
SAN BUENA VENTURA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,30,0,30,30
SAN CARLOS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,57,0,57,57
SAN IGNACIO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,22,0,22,22
SAN IGNACIO DE VELASCO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,31,0,31,31
SAN JAVIER(BNI),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,2,0,2,2
SAN JAVIER(STC),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,11,0,11,11
SAN JOAQUIN,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,15,0,15,15
SAN JOSE DE CHIQUITOS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,7,0,7,7
SAN JUAN DE YAPACANI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,11,0,11,11
SAN JULIAN,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,15,0,15,15
SAN LORENZO(PND),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,11,0,11,11
SAN LORENZO(TJA),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,4,0,4,4
SAN LUCAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,37,0,37,37
SAN MATIAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,11,0,11,11
SAN MIGUEL DE VELASCO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,52,0,52,52
SAN PEDRO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,15,0,15,15
SAN PEDRO DE BUENA VISTA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,38,0,38,38
SAN PEDRO DE CURAHUARA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,17,0,17,17
SAN PEDRO DE TIQUINA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,5,0,5,5
SAN RAFAEL,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,19,0,19,19
SAN RAMON BENI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,11,0,11,11
SAN RAMON SCZ,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,28,0,28,28
SANTA ANA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,47,0,47,47
SANTA CRUZ DE LA SIERRA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,1962,0,1962,1962
SANTA ROSA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,5,0,5,5
SANTA ROSA DEL SARA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,49,0,49,49
SANTIAGO DE CALLAPA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,5,0,5,5
SANTIAGO DE HUARI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,35,0,35,35
SANTIAGO DE HUATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,13,0,13,13
SANTIAGO DE MACHACA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,6,0,6,6
SANTIVAÑES,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,3,0,3,3
SANTUARIO DE QUILLACAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,2,0,2,2
SAPAHAQUI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,15,0,15,15
SENA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,16,0,16,16
SHINAOTA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,70,0,70,70
SICA SICA (VILLA AROMA),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,13,0,13,13
SICAYA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,5,0,5,5
SIPE SIPE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,144,0,144,144
SOPACHUY,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,52,0,52,52
SORACACHI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,16,0,16,16
SORATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,78,0,78,78
SUCRE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,1107,0,1107,1107
TACACOMA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,2,0,2,2
