,group,variable,month,CIRUGIA BUCAL MENOR CANTIDAD,CIRUGIA BUCAL MENOR CANTIDAD,TOTALES,TOTALES,TOTALES
CARIPUYO,atencion odontologica,cirugia bucal menor,2013-01-01,15,25,15,25,40
CARMEN RIVERO TORREZ,atencion odontologica,cirugia bucal menor,2013-01-01,18,23,18,23,41
CATACORA,atencion odontologica,cirugia bucal menor,2013-01-01,8,10,8,10,18
CHACARILLA,atencion odontologica,cirugia bucal menor,2013-01-01,2,0,2,0,2
CHALLAPATA,atencion odontologica,cirugia bucal menor,2013-01-01,81,129,81,129,210
CHAQUI,atencion odontologica,cirugia bucal menor,2013-01-01,1,10,1,10,11
CHARAGUA,atencion odontologica,cirugia bucal menor,2013-01-01,59,136,59,136,195
CHARAÑA,atencion odontologica,cirugia bucal menor,2013-01-01,4,7,4,7,11
CHAYANTA,atencion odontologica,cirugia bucal menor,2013-01-01,13,19,13,19,32
CHIMORE,atencion odontologica,cirugia bucal menor,2013-01-01,21,46,21,46,67
CHIPAYA,atencion odontologica,cirugia bucal menor,2013-01-01,4,4,4,4,8
CHOQUE COTA,atencion odontologica,cirugia bucal menor,2013-01-01,5,3,5,3,8
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,cirugia bucal menor,2013-01-01,30,27,30,27,57
CHUMA,atencion odontologica,cirugia bucal menor,2013-01-01,60,117,60,117,177
CKOCHAS,atencion odontologica,cirugia bucal menor,2013-01-01,12,19,12,19,31
CLIZA,atencion odontologica,cirugia bucal menor,2013-01-01,31,51,31,51,82
COBIJA,atencion odontologica,cirugia bucal menor,2013-01-01,174,130,174,130,304
COCAPATA,atencion odontologica,cirugia bucal menor,2013-01-01,13,48,13,48,61
COCHABAMBA,atencion odontologica,cirugia bucal menor,2013-01-01,500,668,500,668,1168
COIPASA,atencion odontologica,cirugia bucal menor,2013-01-01,5,1,5,1,6
COLCAPIRHUA,atencion odontologica,cirugia bucal menor,2013-01-01,17,43,17,43,60
"COLCHA ""K""",atencion odontologica,cirugia bucal menor,2013-01-01,4,2,4,2,6
COLLANA,atencion odontologica,cirugia bucal menor,2013-01-01,14,34,14,34,48
COLOMI,atencion odontologica,cirugia bucal menor,2013-01-01,8,15,8,15,23
COLPA BELGICA,atencion odontologica,cirugia bucal menor,2013-01-01,14,18,14,18,32
COLQUECHACA,atencion odontologica,cirugia bucal menor,2013-01-01,49,83,49,83,132
COLQUENCHA,atencion odontologica,cirugia bucal menor,2013-01-01,10,13,10,13,23
COLQUIRI,atencion odontologica,cirugia bucal menor,2013-01-01,68,102,68,102,170
COMANCHE,atencion odontologica,cirugia bucal menor,2013-01-01,5,7,5,7,12
COMARAPA,atencion odontologica,cirugia bucal menor,2013-01-01,11,18,11,18,29
CONCEPCION,atencion odontologica,cirugia bucal menor,2013-01-01,18,27,18,27,45
COPACABANA,atencion odontologica,cirugia bucal menor,2013-01-01,25,37,25,37,62
CORIPATA,atencion odontologica,cirugia bucal menor,2013-01-01,14,45,14,45,59
CORO CORO,atencion odontologica,cirugia bucal menor,2013-01-01,29,36,29,36,65
COROICO,atencion odontologica,cirugia bucal menor,2013-01-01,43,54,43,54,97
CORQUE,atencion odontologica,cirugia bucal menor,2013-01-01,11,19,11,19,30
COTAGAITA,atencion odontologica,cirugia bucal menor,2013-01-01,49,86,49,86,135
COTOCA,atencion odontologica,cirugia bucal menor,2013-01-01,21,77,21,77,98
CUATRO CAÑADAS,atencion odontologica,cirugia bucal menor,2013-01-01,22,33,22,33,55
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,cirugia bucal menor,2013-01-01,12,14,12,14,26
CUEVO,atencion odontologica,cirugia bucal menor,2013-01-01,2,6,2,6,8
CULPINA,atencion odontologica,cirugia bucal menor,2013-01-01,12,41,12,41,53
CURAHUARA DE CARANGAS,atencion odontologica,cirugia bucal menor,2013-01-01,6,8,6,8,14
CURVA,atencion odontologica,cirugia bucal menor,2013-01-01,11,15,11,15,26
DESAGUADERO,atencion odontologica,cirugia bucal menor,2013-01-01,48,38,48,38,86
EL ALTO,atencion odontologica,cirugia bucal menor,2013-01-01,1589,2047,1589,2047,3636
EL PUENTE(STC),atencion odontologica,cirugia bucal menor,2013-01-01,9,11,9,11,20
EL PUENTE(TJA),atencion odontologica,cirugia bucal menor,2013-01-01,22,86,22,86,108
EL TORNO,atencion odontologica,cirugia bucal menor,2013-01-01,30,44,30,44,74
EL VILLAR,atencion odontologica,cirugia bucal menor,2013-01-01,8,1,8,1,9
ENTRE RIOS TRJ,atencion odontologica,cirugia bucal menor,2013-01-01,51,140,51,140,191
ENTRE RIOS CBBA,atencion odontologica,cirugia bucal menor,2013-01-01,10,37,10,37,47
ESCOMA,atencion odontologica,cirugia bucal menor,2013-01-01,50,43,50,43,93
EUCALIPTUS,atencion odontologica,cirugia bucal menor,2013-01-01,17,25,17,25,42
FERNANDEZ ALONSO,atencion odontologica,cirugia bucal menor,2013-01-01,27,33,27,33,60
FILADELFIA,atencion odontologica,cirugia bucal menor,2013-01-01,17,13,17,13,30
GENERAL SAAVEDRA,atencion odontologica,cirugia bucal menor,2013-01-01,8,12,8,12,20
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,cirugia bucal menor,2013-01-01,38,66,38,66,104
GUANAY,atencion odontologica,cirugia bucal menor,2013-01-01,15,26,15,26,41
GUAQUI,atencion odontologica,cirugia bucal menor,2013-01-01,47,62,47,62,109
GUAYARAMERIN,atencion odontologica,cirugia bucal menor,2013-01-01,20,42,20,42,62
GUTIERREZ,atencion odontologica,cirugia bucal menor,2013-01-01,42,63,42,63,105
HUACARETA,atencion odontologica,cirugia bucal menor,2013-01-01,21,42,21,42,63
HUACAYA (VILLA DE HUACAYA),atencion odontologica,cirugia bucal menor,2013-01-01,13,37,13,37,50
HUACHACALLA,atencion odontologica,cirugia bucal menor,2013-01-01,15,14,15,14,29
HUANUNI,atencion odontologica,cirugia bucal menor,2013-01-01,45,81,45,81,126
HUARACAJE,atencion odontologica,cirugia bucal menor,2013-01-01,3,11,3,11,14
HUARINA,atencion odontologica,cirugia bucal menor,2013-01-01,19,17,19,17,36
HUATAJATA,atencion odontologica,cirugia bucal menor,2013-01-01,20,20,20,20,40
HUAYLLAMARCA,atencion odontologica,cirugia bucal menor,2013-01-01,18,30,18,30,48
HUMANATA,atencion odontologica,cirugia bucal menor,2013-01-01,27,44,27,44,71
ICHOCA,atencion odontologica,cirugia bucal menor,2013-01-01,8,23,8,23,31
ICLA,atencion odontologica,cirugia bucal menor,2013-01-01,12,25,12,25,37
INCAHUASI,atencion odontologica,cirugia bucal menor,2013-01-01,20,39,20,39,59
INGAVI (HUMAITA),atencion odontologica,cirugia bucal menor,2013-01-01,10,7,10,7,17
INQUISIVI,atencion odontologica,cirugia bucal menor,2013-01-01,67,128,67,128,195
IRUPANA (VILLA DE LANZA),atencion odontologica,cirugia bucal menor,2013-01-01,24,32,24,32,56
IXIAMAS,atencion odontologica,cirugia bucal menor,2013-01-01,31,45,31,45,76
JESUS DE MACHACA,atencion odontologica,cirugia bucal menor,2013-01-01,47,92,47,92,139
LA ASUNTA,atencion odontologica,cirugia bucal menor,2013-01-01,23,22,23,22,45
LA GUARDIA,atencion odontologica,cirugia bucal menor,2013-01-01,27,66,27,66,93
LA PAZ,atencion odontologica,cirugia bucal menor,2013-01-01,765,1148,765,1148,1913
LAGUNILLAS,atencion odontologica,cirugia bucal menor,2013-01-01,8,23,8,23,31
LAJA,atencion odontologica,cirugia bucal menor,2013-01-01,50,78,50,78,128
LAS CARRERAS,atencion odontologica,cirugia bucal menor,2013-01-01,10,16,10,16,26
LICOMA PAMPA,atencion odontologica,cirugia bucal menor,2013-01-01,3,7,3,7,10
LLALLAGUA,atencion odontologica,cirugia bucal menor,2013-01-01,40,70,40,70,110
LORETO,atencion odontologica,cirugia bucal menor,2013-01-01,9,8,9,8,17
LURIBAY,atencion odontologica,cirugia bucal menor,2013-01-01,8,23,8,23,31
MACHACAMARCA,atencion odontologica,cirugia bucal menor,2013-01-01,5,10,5,10,15
MACHARETI,atencion odontologica,cirugia bucal menor,2013-01-01,2,13,2,13,15
MAGDALENA,atencion odontologica,cirugia bucal menor,2013-01-01,40,78,40,78,118
MAIRANA,atencion odontologica,cirugia bucal menor,2013-01-01,9,20,9,20,29
MALLA,atencion odontologica,cirugia bucal menor,2013-01-01,12,4,12,4,16
MAPIRI,atencion odontologica,cirugia bucal menor,2013-01-01,32,41,32,41,73
MECAPACA,atencion odontologica,cirugia bucal menor,2013-01-01,16,24,16,24,40
MINEROS,atencion odontologica,cirugia bucal menor,2013-01-01,8,9,8,9,17
MIZQUE,atencion odontologica,cirugia bucal menor,2013-01-01,8,41,8,41,49
MOCOMOCO,atencion odontologica,cirugia bucal menor,2013-01-01,55,58,55,58,113
MOJOCOYA,atencion odontologica,cirugia bucal menor,2013-01-01,13,28,13,28,41
MONTEAGUDO,atencion odontologica,cirugia bucal menor,2013-01-01,43,58,43,58,101
MONTERO,atencion odontologica,cirugia bucal menor,2013-01-01,74,95,74,95,169
MORO MORO,atencion odontologica,cirugia bucal menor,2013-01-01,1,7,1,7,8
MOROCHATA,atencion odontologica,cirugia bucal menor,2013-01-01,6,18,6,18,24
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,cirugia bucal menor,2013-01-01,28,28,28,28,56
OCURI,atencion odontologica,cirugia bucal menor,2013-01-01,28,54,28,54,82
OKINAWA,atencion odontologica,cirugia bucal menor,2013-01-01,8,9,8,9,17
OMEREQUE,atencion odontologica,cirugia bucal menor,2013-01-01,4,12,4,12,16
ORURO,atencion odontologica,cirugia bucal menor,2013-01-01,423,635,423,635,1058
PADCAYA,atencion odontologica,cirugia bucal menor,2013-01-01,33,93,33,93,126
PADILLA,atencion odontologica,cirugia bucal menor,2013-01-01,30,45,30,45,75
PAILON,atencion odontologica,cirugia bucal menor,2013-01-01,10,21,10,21,31
PALCA,atencion odontologica,cirugia bucal menor,2013-01-01,32,55,32,55,87
PALOS BLANCOS,atencion odontologica,cirugia bucal menor,2013-01-01,28,21,28,21,49
PAMPA AULLAGAS,atencion odontologica,cirugia bucal menor,2013-01-01,4,10,4,10,14
PAMPA GRANDE,atencion odontologica,cirugia bucal menor,2013-01-01,7,5,7,5,12
PAPEL PAMPA,atencion odontologica,cirugia bucal menor,2013-01-01,16,16,16,16,32
PASORAPA,atencion odontologica,cirugia bucal menor,2013-01-01,10,8,10,8,18
PATACAMAYA,atencion odontologica,cirugia bucal menor,2013-01-01,19,40,19,40,59
PAZÑA,atencion odontologica,cirugia bucal menor,2013-01-01,12,17,12,17,29
PELECHUCO,atencion odontologica,cirugia bucal menor,2013-01-01,21,38,21,38,59
POCOATA,atencion odontologica,cirugia bucal menor,2013-01-01,13,34,13,34,47
POCONA,atencion odontologica,cirugia bucal menor,2013-01-01,22,38,22,38,60
POJO (CBBA),atencion odontologica,cirugia bucal menor,2013-01-01,29,53,29,53,82
POOPO,atencion odontologica,cirugia bucal menor,2013-01-01,24,18,24,18,42
PORCO,atencion odontologica,cirugia bucal menor,2013-01-01,6,19,6,19,25
POROMA,atencion odontologica,cirugia bucal menor,2013-01-01,8,22,8,22,30
PORONGO,atencion odontologica,cirugia bucal menor,2013-01-01,7,13,7,13,20
PORTACHUELO,atencion odontologica,cirugia bucal menor,2013-01-01,31,42,31,42,73
PORVENIR,atencion odontologica,cirugia bucal menor,2013-01-01,20,17,20,17,37
POSTRER VALLE,atencion odontologica,cirugia bucal menor,2013-01-01,4,18,4,18,22
POTOSI,atencion odontologica,cirugia bucal menor,2013-01-01,147,450,147,450,597
PRESTO,atencion odontologica,cirugia bucal menor,2013-01-01,6,28,6,28,34
PUCARA,atencion odontologica,cirugia bucal menor,2013-01-01,2,1,2,1,3
PUCARANI,atencion odontologica,cirugia bucal menor,2013-01-01,106,151,106,151,257
PUERTO ACOSTA,atencion odontologica,cirugia bucal menor,2013-01-01,21,37,21,37,58
PUERTO CARABUCO,atencion odontologica,cirugia bucal menor,2013-01-01,58,100,58,100,158
PUERTO GONZALO MORENO,atencion odontologica,cirugia bucal menor,2013-01-01,35,21,35,21,56
PUERTO PEREZ,atencion odontologica,cirugia bucal menor,2013-01-01,13,15,13,15,28
PUERTO QUIJARRO,atencion odontologica,cirugia bucal menor,2013-01-01,33,6,33,6,39
PUERTO RICO,atencion odontologica,cirugia bucal menor,2013-01-01,54,51,54,51,105
PUERTO SUAREZ,atencion odontologica,cirugia bucal menor,2013-01-01,4,28,4,28,32
PUERTO VILLARROEL,atencion odontologica,cirugia bucal menor,2013-01-01,34,55,34,55,89
PUNA,atencion odontologica,cirugia bucal menor,2013-01-01,22,46,22,46,68
PUNATA,atencion odontologica,cirugia bucal menor,2013-01-01,58,107,58,107,165
QUIABAYA,atencion odontologica,cirugia bucal menor,2013-01-01,23,42,23,42,65
QUILLACOLLO,atencion odontologica,cirugia bucal menor,2013-01-01,143,157,143,157,300
QUIME,atencion odontologica,cirugia bucal menor,2013-01-01,64,119,64,119,183
QUIRUSILLAS,atencion odontologica,cirugia bucal menor,2013-01-01,2,4,2,4,6
RAVELO,atencion odontologica,cirugia bucal menor,2013-01-01,16,32,16,32,48
REYES,atencion odontologica,cirugia bucal menor,2013-01-01,15,41,15,41,56
RIBERALTA,atencion odontologica,cirugia bucal menor,2013-01-01,107,200,107,200,307
ROBORE,atencion odontologica,cirugia bucal menor,2013-01-01,12,18,12,18,30
RURRENABAQUE,atencion odontologica,cirugia bucal menor,2013-01-01,10,12,10,12,22
SABAYA,atencion odontologica,cirugia bucal menor,2013-01-01,35,23,35,23,58
SACABA,atencion odontologica,cirugia bucal menor,2013-01-01,63,78,63,78,141
SACABAMBA,atencion odontologica,cirugia bucal menor,2013-01-01,15,11,15,11,26
SACACA,atencion odontologica,cirugia bucal menor,2013-01-01,23,27,23,27,50
SAIPINA,atencion odontologica,cirugia bucal menor,2013-01-01,7,9,7,9,16
SALINAS DE GARCI MENDOZA,atencion odontologica,cirugia bucal menor,2013-01-01,25,28,25,28,53
SAMAIPATA,atencion odontologica,cirugia bucal menor,2013-01-01,8,12,8,12,20
SAN AGUSTIN,atencion odontologica,cirugia bucal menor,2013-01-01,5,11,5,11,16
SAN ANDRES,atencion odontologica,cirugia bucal menor,2013-01-01,25,37,25,37,62
SAN ANDRES DE MACHACA,atencion odontologica,cirugia bucal menor,2013-01-01,15,16,15,16,31
SAN ANTONIO DE ESMORUCO,atencion odontologica,cirugia bucal menor,2013-01-01,1,12,1,12,13
SAN ANTONIO DE LOMERIO,atencion odontologica,cirugia bucal menor,2013-01-01,4,8,4,8,12
SAN BENITO,atencion odontologica,cirugia bucal menor,2013-01-01,3,2,3,2,5
SAN BORJA,atencion odontologica,cirugia bucal menor,2013-01-01,19,31,19,31,50
SAN BUENA VENTURA,atencion odontologica,cirugia bucal menor,2013-01-01,12,28,12,28,40
SAN CARLOS,atencion odontologica,cirugia bucal menor,2013-01-01,23,26,23,26,49
SAN IGNACIO,atencion odontologica,cirugia bucal menor,2013-01-01,85,78,85,78,163
SAN IGNACIO DE VELASCO,atencion odontologica,cirugia bucal menor,2013-01-01,27,26,27,26,53
SAN JAVIER(BNI),atencion odontologica,cirugia bucal menor,2013-01-01,3,5,3,5,8
SAN JAVIER(STC),atencion odontologica,cirugia bucal menor,2013-01-01,15,25,15,25,40
SAN JOAQUIN,atencion odontologica,cirugia bucal menor,2013-01-01,23,47,23,47,70
SAN JOSE DE CHIQUITOS,atencion odontologica,cirugia bucal menor,2013-01-01,40,42,40,42,82
SAN JUAN DE YAPACANI,atencion odontologica,cirugia bucal menor,2013-01-01,4,10,4,10,14
SAN JULIAN,atencion odontologica,cirugia bucal menor,2013-01-01,10,34,10,34,44
SAN LORENZO(PND),atencion odontologica,cirugia bucal menor,2013-01-01,5,6,5,6,11
SAN LORENZO(TJA),atencion odontologica,cirugia bucal menor,2013-01-01,57,140,57,140,197
SAN LUCAS,atencion odontologica,cirugia bucal menor,2013-01-01,13,60,13,60,73
SAN MIGUEL DE VELASCO,atencion odontologica,cirugia bucal menor,2013-01-01,29,41,29,41,70
SAN PEDRO,atencion odontologica,cirugia bucal menor,2013-01-01,35,44,35,44,79
SAN PEDRO DE BUENA VISTA,atencion odontologica,cirugia bucal menor,2013-01-01,32,38,32,38,70
SAN PEDRO DE CURAHUARA,atencion odontologica,cirugia bucal menor,2013-01-01,15,24,15,24,39
SAN PEDRO DE TIQUINA,atencion odontologica,cirugia bucal menor,2013-01-01,24,27,24,27,51
SAN RAFAEL,atencion odontologica,cirugia bucal menor,2013-01-01,1,15,1,15,16
SAN RAMON BENI,atencion odontologica,cirugia bucal menor,2013-01-01,19,10,19,10,29
SAN RAMON SCZ,atencion odontologica,cirugia bucal menor,2013-01-01,3,4,3,4,7
SANTA ANA,atencion odontologica,cirugia bucal menor,2013-01-01,78,92,78,92,170
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucal menor,2013-01-01,521,839,521,839,1360
SANTA ROSA,atencion odontologica,cirugia bucal menor,2013-01-01,14,20,14,20,34
SANTA ROSA DEL SARA,atencion odontologica,cirugia bucal menor,2013-01-01,41,86,41,86,127
SANTIAGO DE CALLAPA,atencion odontologica,cirugia bucal menor,2013-01-01,9,8,9,8,17
SANTIAGO DE HUARI,atencion odontologica,cirugia bucal menor,2013-01-01,30,56,30,56,86
SANTIAGO DE HUATA,atencion odontologica,cirugia bucal menor,2013-01-01,32,28,32,28,60
SANTIAGO DE MACHACA,atencion odontologica,cirugia bucal menor,2013-01-01,4,16,4,16,20
SANTIVAÑES,atencion odontologica,cirugia bucal menor,2013-01-01,11,13,11,13,24
SANTUARIO DE QUILLACAS,atencion odontologica,cirugia bucal menor,2013-01-01,4,2,4,2,6
SAPAHAQUI,atencion odontologica,cirugia bucal menor,2013-01-01,25,32,25,32,57
SENA,atencion odontologica,cirugia bucal menor,2013-01-01,2,16,2,16,18
SHINAOTA,atencion odontologica,cirugia bucal menor,2013-01-01,2,4,2,4,6
SICA SICA (VILLA AROMA),atencion odontologica,cirugia bucal menor,2013-01-01,37,46,37,46,83
SICAYA,atencion odontologica,cirugia bucal menor,2013-01-01,2,5,2,5,7
SIPE SIPE,atencion odontologica,cirugia bucal menor,2013-01-01,41,63,41,63,104
SOPACHUY,atencion odontologica,cirugia bucal menor,2013-01-01,22,49,22,49,71
SORACACHI,atencion odontologica,cirugia bucal menor,2013-01-01,22,37,22,37,59
SORATA,atencion odontologica,cirugia bucal menor,2013-01-01,41,50,41,50,91
SUCRE,atencion odontologica,cirugia bucal menor,2013-01-01,663,875,663,875,1538
TACACOMA,atencion odontologica,cirugia bucal menor,2013-01-01,27,33,27,33,60
TACOBAMBA,atencion odontologica,cirugia bucal menor,2013-01-01,0,11,0,11,11
TACOPAYA,atencion odontologica,cirugia bucal menor,2013-01-01,11,23,11,23,34
TAHUA,atencion odontologica,cirugia bucal menor,2013-01-01,3,3,3,3,6
TAPACARI,atencion odontologica,cirugia bucal menor,2013-01-01,45,51,45,51,96
TARABUCO,atencion odontologica,cirugia bucal menor,2013-01-01,13,32,13,32,45
TARACO,atencion odontologica,cirugia bucal menor,2013-01-01,38,28,38,28,66
TARATA,atencion odontologica,cirugia bucal menor,2013-01-01,22,23,22,23,45
TARIJA,atencion odontologica,cirugia bucal menor,2013-01-01,420,687,420,687,1107
TARVITA,atencion odontologica,cirugia bucal menor,2013-01-01,23,118,23,118,141
TEOPONTE,atencion odontologica,cirugia bucal menor,2013-01-01,24,28,24,28,52
TIAWANACU,atencion odontologica,cirugia bucal menor,2013-01-01,53,33,53,33,86
TINGUIPAYA,atencion odontologica,cirugia bucal menor,2013-01-01,8,31,8,31,39
TIPUANI,atencion odontologica,cirugia bucal menor,2013-01-01,16,20,16,20,36
TIQUIPAYA,atencion odontologica,cirugia bucal menor,2013-01-01,58,106,58,106,164
TIRAQUE (CBBA),atencion odontologica,cirugia bucal menor,2013-01-01,9,19,9,19,28
TOCO,atencion odontologica,cirugia bucal menor,2013-01-01,4,24,4,24,28
TOLATA,atencion odontologica,cirugia bucal menor,2013-01-01,32,43,32,43,75
TOLEDO,atencion odontologica,cirugia bucal menor,2013-01-01,14,29,14,29,43
TOMAVE,atencion odontologica,cirugia bucal menor,2013-01-01,29,65,29,65,94
TOMINA,atencion odontologica,cirugia bucal menor,2013-01-01,20,42,20,42,62
TORO TORO,atencion odontologica,cirugia bucal menor,2013-01-01,26,50,26,50,76
TOTORA(CBBA),atencion odontologica,cirugia bucal menor,2013-01-01,31,30,31,30,61
TOTORA(ORR),atencion odontologica,cirugia bucal menor,2013-01-01,1,12,1,12,13
TRIGAL,atencion odontologica,cirugia bucal menor,2013-01-01,2,0,2,0,2
TRINIDAD,atencion odontologica,cirugia bucal menor,2013-01-01,198,313,198,313,511
TUPIZA,atencion odontologica,cirugia bucal menor,2013-01-01,87,126,87,126,213
TURCO,atencion odontologica,cirugia bucal menor,2013-01-01,7,6,7,6,13
UMALA,atencion odontologica,cirugia bucal menor,2013-01-01,0,25,0,25,25
UNCIA,atencion odontologica,cirugia bucal menor,2013-01-01,17,30,17,30,47
URIONDO (A. CONCEPCION),atencion odontologica,cirugia bucal menor,2013-01-01,63,112,63,112,175
URUBICHA,atencion odontologica,cirugia bucal menor,2013-01-01,9,12,9,12,21
UYUNI,atencion odontologica,cirugia bucal menor,2013-01-01,37,57,37,57,94
VACAS,atencion odontologica,cirugia bucal menor,2013-01-01,24,36,24,36,60
VALLEGRANDE,atencion odontologica,cirugia bucal menor,2013-01-01,32,42,32,42,74
VIACHA,atencion odontologica,cirugia bucal menor,2013-01-01,107,164,107,164,271
VILLA CHARCAS,atencion odontologica,cirugia bucal menor,2013-01-01,9,20,9,20,29
VILLA MONTES,atencion odontologica,cirugia bucal menor,2013-01-01,193,285,193,285,478
VILLA NUEVA (LOMA ALTA),atencion odontologica,cirugia bucal menor,2013-01-01,9,17,9,17,26
VILLA SERRANO,atencion odontologica,cirugia bucal menor,2013-01-01,29,53,29,53,82
VILLA TUNARI,atencion odontologica,cirugia bucal menor,2013-01-01,71,137,71,137,208
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,cirugia bucal menor,2013-01-01,6,6,6,6,12
VILLAZON,atencion odontologica,cirugia bucal menor,2013-01-01,83,149,83,149,232
VINTO,atencion odontologica,cirugia bucal menor,2013-01-01,13,25,13,25,38
VITICHI,atencion odontologica,cirugia bucal menor,2013-01-01,17,35,17,35,52
WALDO BALLIVIAN,atencion odontologica,cirugia bucal menor,2013-01-01,2,14,2,14,16
WARNES,atencion odontologica,cirugia bucal menor,2013-01-01,16,32,16,32,48
YACO,atencion odontologica,cirugia bucal menor,2013-01-01,17,24,17,24,41
YACUIBA,atencion odontologica,cirugia bucal menor,2013-01-01,170,263,170,263,433
YAMPARAEZ,atencion odontologica,cirugia bucal menor,2013-01-01,5,35,5,35,40
YANACACHI,atencion odontologica,cirugia bucal menor,2013-01-01,13,5,13,5,18
YAPACANI,atencion odontologica,cirugia bucal menor,2013-01-01,15,41,15,41,56
YOTALA,atencion odontologica,cirugia bucal menor,2013-01-01,18,43,18,43,61
YUNCHARA,atencion odontologica,cirugia bucal menor,2013-01-01,28,78,28,78,106
ZUDAÑEZ,atencion odontologica,cirugia bucal menor,2013-01-01,12,18,12,18,30
ACACIO,atencion odontologica,cirugia bucal menor,2013-02-01,6,9,6,9,15
ACHACACHI,atencion odontologica,cirugia bucal menor,2013-02-01,84,141,84,141,225
