,group,variable,month,PERIODONCIAS CANTIDAD,PERIODONCIAS CANTIDAD,TOTALES,TOTALES,TOTALES
COLQUECHACA,atencion odontologica,periodoncias,2013-01-01,0,9,0,9,9
COMARAPA,atencion odontologica,periodoncias,2013-01-01,0,1,0,1,1
CONCEPCION,atencion odontologica,periodoncias,2013-01-01,0,2,0,2,2
COPACABANA,atencion odontologica,periodoncias,2013-01-01,1,1,1,1,2
CORO CORO,atencion odontologica,periodoncias,2013-01-01,1,0,1,0,1
COROICO,atencion odontologica,periodoncias,2013-01-01,1,7,1,7,8
COTAGAITA,atencion odontologica,periodoncias,2013-01-01,16,9,16,9,25
COTOCA,atencion odontologica,periodoncias,2013-01-01,0,12,0,12,12
CUATRO CAÑADAS,atencion odontologica,periodoncias,2013-01-01,1,7,1,7,8
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,periodoncias,2013-01-01,3,1,3,1,4
CUEVO,atencion odontologica,periodoncias,2013-01-01,0,1,0,1,1
CULPINA,atencion odontologica,periodoncias,2013-01-01,1,3,1,3,4
DESAGUADERO,atencion odontologica,periodoncias,2013-01-01,5,6,5,6,11
EL ALTO,atencion odontologica,periodoncias,2013-01-01,238,333,238,333,571
EL PUENTE(TJA),atencion odontologica,periodoncias,2013-01-01,7,3,7,3,10
EL TORNO,atencion odontologica,periodoncias,2013-01-01,8,26,8,26,34
EL VILLAR,atencion odontologica,periodoncias,2013-01-01,1,5,1,5,6
ENTRE RIOS TRJ,atencion odontologica,periodoncias,2013-01-01,0,2,0,2,2
ENTRE RIOS CBBA,atencion odontologica,periodoncias,2013-01-01,2,16,2,16,18
EUCALIPTUS,atencion odontologica,periodoncias,2013-01-01,2,3,2,3,5
FERNANDEZ ALONSO,atencion odontologica,periodoncias,2013-01-01,4,6,4,6,10
FILADELFIA,atencion odontologica,periodoncias,2013-01-01,2,7,2,7,9
GENERAL SAAVEDRA,atencion odontologica,periodoncias,2013-01-01,5,4,5,4,9
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,periodoncias,2013-01-01,1,5,1,5,6
GUANAY,atencion odontologica,periodoncias,2013-01-01,2,7,2,7,9
GUAQUI,atencion odontologica,periodoncias,2013-01-01,3,1,3,1,4
GUAYARAMERIN,atencion odontologica,periodoncias,2013-01-01,28,37,28,37,65
GUTIERREZ,atencion odontologica,periodoncias,2013-01-01,5,8,5,8,13
HUACAYA (VILLA DE HUACAYA),atencion odontologica,periodoncias,2013-01-01,0,1,0,1,1
HUACHACALLA,atencion odontologica,periodoncias,2013-01-01,2,1,2,1,3
HUANUNI,atencion odontologica,periodoncias,2013-01-01,4,6,4,6,10
HUARACAJE,atencion odontologica,periodoncias,2013-01-01,0,2,0,2,2
HUARINA,atencion odontologica,periodoncias,2013-01-01,1,5,1,5,6
HUATAJATA,atencion odontologica,periodoncias,2013-01-01,3,3,3,3,6
HUAYLLAMARCA,atencion odontologica,periodoncias,2013-01-01,1,1,1,1,2
HUMANATA,atencion odontologica,periodoncias,2013-01-01,0,1,0,1,1
ICHOCA,atencion odontologica,periodoncias,2013-01-01,0,1,0,1,1
ICLA,atencion odontologica,periodoncias,2013-01-01,0,1,0,1,1
INCAHUASI,atencion odontologica,periodoncias,2013-01-01,1,9,1,9,10
INGAVI (HUMAITA),atencion odontologica,periodoncias,2013-01-01,1,1,1,1,2
INQUISIVI,atencion odontologica,periodoncias,2013-01-01,1,3,1,3,4
IRUPANA (VILLA DE LANZA),atencion odontologica,periodoncias,2013-01-01,0,3,0,3,3
JESUS DE MACHACA,atencion odontologica,periodoncias,2013-01-01,0,3,0,3,3
LA GUARDIA,atencion odontologica,periodoncias,2013-01-01,5,41,5,41,46
LA PAZ,atencion odontologica,periodoncias,2013-01-01,450,659,450,659,1109
LAGUNILLAS,atencion odontologica,periodoncias,2013-01-01,0,13,0,13,13
LAJA,atencion odontologica,periodoncias,2013-01-01,1,6,1,6,7
LICOMA PAMPA,atencion odontologica,periodoncias,2013-01-01,0,1,0,1,1
LLALLAGUA,atencion odontologica,periodoncias,2013-01-01,3,4,3,4,7
MACHACAMARCA,atencion odontologica,periodoncias,2013-01-01,3,4,3,4,7
MAGDALENA,atencion odontologica,periodoncias,2013-01-01,4,17,4,17,21
MAIRANA,atencion odontologica,periodoncias,2013-01-01,3,9,3,9,12
MALLA,atencion odontologica,periodoncias,2013-01-01,0,1,0,1,1
MAPIRI,atencion odontologica,periodoncias,2013-01-01,0,2,0,2,2
MECAPACA,atencion odontologica,periodoncias,2013-01-01,2,3,2,3,5
MINEROS,atencion odontologica,periodoncias,2013-01-01,0,1,0,1,1
MIZQUE,atencion odontologica,periodoncias,2013-01-01,3,5,3,5,8
MOCOMOCO,atencion odontologica,periodoncias,2013-01-01,2,0,2,0,2
MOJOCOYA,atencion odontologica,periodoncias,2013-01-01,1,5,1,5,6
MONTEAGUDO,atencion odontologica,periodoncias,2013-01-01,6,5,6,5,11
MONTERO,atencion odontologica,periodoncias,2013-01-01,23,102,23,102,125
MOROCHATA,atencion odontologica,periodoncias,2013-01-01,0,9,0,9,9
OCURI,atencion odontologica,periodoncias,2013-01-01,0,1,0,1,1
OMEREQUE,atencion odontologica,periodoncias,2013-01-01,0,1,0,1,1
ORURO,atencion odontologica,periodoncias,2013-01-01,120,182,120,182,302
PADCAYA,atencion odontologica,periodoncias,2013-01-01,9,11,9,11,20
PADILLA,atencion odontologica,periodoncias,2013-01-01,3,16,3,16,19
PAILON,atencion odontologica,periodoncias,2013-01-01,3,6,3,6,9
PALCA,atencion odontologica,periodoncias,2013-01-01,1,2,1,2,3
PALOS BLANCOS,atencion odontologica,periodoncias,2013-01-01,4,4,4,4,8
PAMPA AULLAGAS,atencion odontologica,periodoncias,2013-01-01,1,2,1,2,3
PAMPA GRANDE,atencion odontologica,periodoncias,2013-01-01,0,6,0,6,6
PAPEL PAMPA,atencion odontologica,periodoncias,2013-01-01,1,1,1,1,2
PASORAPA,atencion odontologica,periodoncias,2013-01-01,0,1,0,1,1
PATACAMAYA,atencion odontologica,periodoncias,2013-01-01,7,4,7,4,11
PAZÑA,atencion odontologica,periodoncias,2013-01-01,2,0,2,0,2
PELECHUCO,atencion odontologica,periodoncias,2013-01-01,0,4,0,4,4
POCOATA,atencion odontologica,periodoncias,2013-01-01,0,1,0,1,1
POCONA,atencion odontologica,periodoncias,2013-01-01,1,8,1,8,9
POJO (CBBA),atencion odontologica,periodoncias,2013-01-01,5,23,5,23,28
POOPO,atencion odontologica,periodoncias,2013-01-01,2,2,2,2,4
PORCO,atencion odontologica,periodoncias,2013-01-01,0,1,0,1,1
POROMA,atencion odontologica,periodoncias,2013-01-01,0,2,0,2,2
PORONGO,atencion odontologica,periodoncias,2013-01-01,0,1,0,1,1
PORTACHUELO,atencion odontologica,periodoncias,2013-01-01,3,6,3,6,9
PORVENIR,atencion odontologica,periodoncias,2013-01-01,3,4,3,4,7
POSTRER VALLE,atencion odontologica,periodoncias,2013-01-01,4,2,4,2,6
POTOSI,atencion odontologica,periodoncias,2013-01-01,36,67,36,67,103
PRESTO,atencion odontologica,periodoncias,2013-01-01,0,6,0,6,6
PUCARANI,atencion odontologica,periodoncias,2013-01-01,0,1,0,1,1
PUERTO ACOSTA,atencion odontologica,periodoncias,2013-01-01,2,1,2,1,3
PUERTO CARABUCO,atencion odontologica,periodoncias,2013-01-01,9,7,9,7,16
PUERTO GONZALO MORENO,atencion odontologica,periodoncias,2013-01-01,0,4,0,4,4
PUERTO QUIJARRO,atencion odontologica,periodoncias,2013-01-01,0,1,0,1,1
PUERTO RICO,atencion odontologica,periodoncias,2013-01-01,4,8,4,8,12
PUERTO SUAREZ,atencion odontologica,periodoncias,2013-01-01,0,4,0,4,4
PUERTO VILLARROEL,atencion odontologica,periodoncias,2013-01-01,9,107,9,107,116
PUNA,atencion odontologica,periodoncias,2013-01-01,1,0,1,0,1
PUNATA,atencion odontologica,periodoncias,2013-01-01,15,39,15,39,54
QUILLACOLLO,atencion odontologica,periodoncias,2013-01-01,73,102,73,102,175
QUIME,atencion odontologica,periodoncias,2013-01-01,3,0,3,0,3
QUIRUSILLAS,atencion odontologica,periodoncias,2013-01-01,0,2,0,2,2
REYES,atencion odontologica,periodoncias,2013-01-01,2,3,2,3,5
RIBERALTA,atencion odontologica,periodoncias,2013-01-01,15,53,15,53,68
ROBORE,atencion odontologica,periodoncias,2013-01-01,3,5,3,5,8
SABAYA,atencion odontologica,periodoncias,2013-01-01,2,4,2,4,6
SACABA,atencion odontologica,periodoncias,2013-01-01,14,35,14,35,49
SACABAMBA,atencion odontologica,periodoncias,2013-01-01,0,2,0,2,2
SAIPINA,atencion odontologica,periodoncias,2013-01-01,1,3,1,3,4
SALINAS DE GARCI MENDOZA,atencion odontologica,periodoncias,2013-01-01,2,2,2,2,4
SAN ANDRES DE MACHACA,atencion odontologica,periodoncias,2013-01-01,1,2,1,2,3
SAN BENITO,atencion odontologica,periodoncias,2013-01-01,7,13,7,13,20
SAN BORJA,atencion odontologica,periodoncias,2013-01-01,17,23,17,23,40
SAN BUENA VENTURA,atencion odontologica,periodoncias,2013-01-01,1,9,1,9,10
SAN CARLOS,atencion odontologica,periodoncias,2013-01-01,6,17,6,17,23
SAN IGNACIO,atencion odontologica,periodoncias,2013-01-01,10,10,10,10,20
SAN IGNACIO DE VELASCO,atencion odontologica,periodoncias,2013-01-01,2,3,2,3,5
SAN JAVIER(STC),atencion odontologica,periodoncias,2013-01-01,4,8,4,8,12
SAN JOSE DE CHIQUITOS,atencion odontologica,periodoncias,2013-01-01,0,1,0,1,1
SAN JULIAN,atencion odontologica,periodoncias,2013-01-01,3,6,3,6,9
SAN LORENZO(TJA),atencion odontologica,periodoncias,2013-01-01,9,28,9,28,37
SAN LUCAS,atencion odontologica,periodoncias,2013-01-01,2,5,2,5,7
SAN MIGUEL DE VELASCO,atencion odontologica,periodoncias,2013-01-01,4,20,4,20,24
SAN PEDRO,atencion odontologica,periodoncias,2013-01-01,2,4,2,4,6
SAN RAFAEL,atencion odontologica,periodoncias,2013-01-01,7,29,7,29,36
SAN RAMON SCZ,atencion odontologica,periodoncias,2013-01-01,3,7,3,7,10
SANTA CRUZ DE LA SIERRA,atencion odontologica,periodoncias,2013-01-01,494,1156,494,1156,1650
SANTA ROSA,atencion odontologica,periodoncias,2013-01-01,6,3,6,3,9
SANTA ROSA DEL SARA,atencion odontologica,periodoncias,2013-01-01,0,16,0,16,16
SANTIAGO DE HUARI,atencion odontologica,periodoncias,2013-01-01,0,2,0,2,2
SANTIAGO DE HUATA,atencion odontologica,periodoncias,2013-01-01,5,5,5,5,10
SANTIAGO DE MACHACA,atencion odontologica,periodoncias,2013-01-01,2,4,2,4,6
SAPAHAQUI,atencion odontologica,periodoncias,2013-01-01,1,0,1,0,1
SHINAOTA,atencion odontologica,periodoncias,2013-01-01,0,13,0,13,13
SICA SICA (VILLA AROMA),atencion odontologica,periodoncias,2013-01-01,0,1,0,1,1
SIPE SIPE,atencion odontologica,periodoncias,2013-01-01,15,23,15,23,38
SOPACHUY,atencion odontologica,periodoncias,2013-01-01,1,0,1,0,1
SORACACHI,atencion odontologica,periodoncias,2013-01-01,0,1,0,1,1
SORATA,atencion odontologica,periodoncias,2013-01-01,2,5,2,5,7
SUCRE,atencion odontologica,periodoncias,2013-01-01,224,354,224,354,578
TACACOMA,atencion odontologica,periodoncias,2013-01-01,1,0,1,0,1
TACOPAYA,atencion odontologica,periodoncias,2013-01-01,0,4,0,4,4
TAHUA,atencion odontologica,periodoncias,2013-01-01,2,4,2,4,6
TAPACARI,atencion odontologica,periodoncias,2013-01-01,1,5,1,5,6
TARABUCO,atencion odontologica,periodoncias,2013-01-01,0,16,0,16,16
TARATA,atencion odontologica,periodoncias,2013-01-01,7,11,7,11,18
TARIJA,atencion odontologica,periodoncias,2013-01-01,108,186,108,186,294
TARVITA,atencion odontologica,periodoncias,2013-01-01,10,22,10,22,32
TIAWANACU,atencion odontologica,periodoncias,2013-01-01,3,3,3,3,6
TINGUIPAYA,atencion odontologica,periodoncias,2013-01-01,0,1,0,1,1
TIPUANI,atencion odontologica,periodoncias,2013-01-01,1,1,1,1,2
TIQUIPAYA,atencion odontologica,periodoncias,2013-01-01,11,74,11,74,85
TIRAQUE (CBBA),atencion odontologica,periodoncias,2013-01-01,1,8,1,8,9
TOCO,atencion odontologica,periodoncias,2013-01-01,7,7,7,7,14
TOLATA,atencion odontologica,periodoncias,2013-01-01,34,73,34,73,107
TOMINA,atencion odontologica,periodoncias,2013-01-01,8,16,8,16,24
TORO TORO,atencion odontologica,periodoncias,2013-01-01,5,4,5,4,9
TOTORA(CBBA),atencion odontologica,periodoncias,2013-01-01,4,8,4,8,12
TRIGAL,atencion odontologica,periodoncias,2013-01-01,2,2,2,2,4
TRINIDAD,atencion odontologica,periodoncias,2013-01-01,64,94,64,94,158
TUPIZA,atencion odontologica,periodoncias,2013-01-01,17,13,17,13,30
UMALA,atencion odontologica,periodoncias,2013-01-01,0,2,0,2,2
UNCIA,atencion odontologica,periodoncias,2013-01-01,3,6,3,6,9
URIONDO (A. CONCEPCION),atencion odontologica,periodoncias,2013-01-01,5,13,5,13,18
URUBICHA,atencion odontologica,periodoncias,2013-01-01,6,9,6,9,15
VACAS,atencion odontologica,periodoncias,2013-01-01,4,3,4,3,7
VALLEGRANDE,atencion odontologica,periodoncias,2013-01-01,10,15,10,15,25
VIACHA,atencion odontologica,periodoncias,2013-01-01,17,28,17,28,45
VILLA CHARCAS,atencion odontologica,periodoncias,2013-01-01,0,1,0,1,1
VILLA MONTES,atencion odontologica,periodoncias,2013-01-01,46,75,46,75,121
VILLA RIVERO,atencion odontologica,periodoncias,2013-01-01,0,2,0,2,2
VILLA SERRANO,atencion odontologica,periodoncias,2013-01-01,2,4,2,4,6
VILLA TUNARI,atencion odontologica,periodoncias,2013-01-01,30,68,30,68,98
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,periodoncias,2013-01-01,1,0,1,0,1
VILLAZON,atencion odontologica,periodoncias,2013-01-01,4,7,4,7,11
VINTO,atencion odontologica,periodoncias,2013-01-01,8,8,8,8,16
VITICHI,atencion odontologica,periodoncias,2013-01-01,3,0,3,0,3
WARNES,atencion odontologica,periodoncias,2013-01-01,5,17,5,17,22
YACUIBA,atencion odontologica,periodoncias,2013-01-01,35,208,35,208,243
YAMPARAEZ,atencion odontologica,periodoncias,2013-01-01,0,5,0,5,5
YANACACHI,atencion odontologica,periodoncias,2013-01-01,2,5,2,5,7
YAPACANI,atencion odontologica,periodoncias,2013-01-01,38,104,38,104,142
YOTALA,atencion odontologica,periodoncias,2013-01-01,0,17,0,17,17
YUNCHARA,atencion odontologica,periodoncias,2013-01-01,2,5,2,5,7
ZUDAÑEZ,atencion odontologica,periodoncias,2013-01-01,3,2,3,2,5
ACACIO,atencion odontologica,periodoncias,2013-02-01,0,2,0,2,2
ACHACACHI,atencion odontologica,periodoncias,2013-02-01,9,28,9,28,37
ACHOCALLA,atencion odontologica,periodoncias,2013-02-01,1,4,1,4,5
AIQUILE,atencion odontologica,periodoncias,2013-02-01,11,6,11,6,17
ALCALA,atencion odontologica,periodoncias,2013-02-01,0,6,0,6,6
ANCORAIMES,atencion odontologica,periodoncias,2013-02-01,2,3,2,3,5
ANDAMARCA,atencion odontologica,periodoncias,2013-02-01,0,1,0,1,1
ANTEQUERA,atencion odontologica,periodoncias,2013-02-01,0,2,0,2,2
ANZALDO,atencion odontologica,periodoncias,2013-02-01,1,9,1,9,10
APOLO,atencion odontologica,periodoncias,2013-02-01,0,4,0,4,4
ARANI,atencion odontologica,periodoncias,2013-02-01,5,10,5,10,15
ARBIETO,atencion odontologica,periodoncias,2013-02-01,2,22,2,22,24
ARQUE,atencion odontologica,periodoncias,2013-02-01,0,1,0,1,1
ASCENCION DE GUARAYOS,atencion odontologica,periodoncias,2013-02-01,0,3,0,3,3
ATOCHA,atencion odontologica,periodoncias,2013-02-01,27,26,27,26,53
AYATA,atencion odontologica,periodoncias,2013-02-01,0,2,0,2,2
AYO AYO,atencion odontologica,periodoncias,2013-02-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,periodoncias,2013-02-01,8,7,8,7,15
AZURDUY,atencion odontologica,periodoncias,2013-02-01,1,0,1,0,1
BELEN DE ANDAMARCA,atencion odontologica,periodoncias,2013-02-01,0,2,0,2,2
BERMEJO,atencion odontologica,periodoncias,2013-02-01,28,39,28,39,67
BETANZOS,atencion odontologica,periodoncias,2013-02-01,2,1,2,1,3
BOLIVAR,atencion odontologica,periodoncias,2013-02-01,1,1,1,1,2
BOLPEBRA,atencion odontologica,periodoncias,2013-02-01,0,4,0,4,4
BUENA VISTA,atencion odontologica,periodoncias,2013-02-01,1,0,1,0,1
CABEZAS,atencion odontologica,periodoncias,2013-02-01,26,29,26,29,55
CAIROMA,atencion odontologica,periodoncias,2013-02-01,2,0,2,0,2
"CAIZA ""D""",atencion odontologica,periodoncias,2013-02-01,0,3,0,3,3
CAMARGO,atencion odontologica,periodoncias,2013-02-01,4,18,4,18,22
CAMIRI,atencion odontologica,periodoncias,2013-02-01,17,30,17,30,47
CAPINOTA,atencion odontologica,periodoncias,2013-02-01,10,13,10,13,23
CARACOLLO,atencion odontologica,periodoncias,2013-02-01,1,11,1,11,12
CARANAVI,atencion odontologica,periodoncias,2013-02-01,46,56,46,56,102
CARAPARI,atencion odontologica,periodoncias,2013-02-01,20,10,20,10,30
CARIPUYO,atencion odontologica,periodoncias,2013-02-01,0,1,0,1,1
CARMEN RIVERO TORREZ,atencion odontologica,periodoncias,2013-02-01,1,6,1,6,7
CHALLAPATA,atencion odontologica,periodoncias,2013-02-01,4,3,4,3,7
CHARAGUA,atencion odontologica,periodoncias,2013-02-01,2,9,2,9,11
CHAYANTA,atencion odontologica,periodoncias,2013-02-01,0,3,0,3,3
CHIMORE,atencion odontologica,periodoncias,2013-02-01,4,2,4,2,6
CHIPAYA,atencion odontologica,periodoncias,2013-02-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,periodoncias,2013-02-01,3,7,3,7,10
CHUMA,atencion odontologica,periodoncias,2013-02-01,3,7,3,7,10
CKOCHAS,atencion odontologica,periodoncias,2013-02-01,4,0,4,0,4
CLIZA,atencion odontologica,periodoncias,2013-02-01,7,17,7,17,24
COBIJA,atencion odontologica,periodoncias,2013-02-01,5,12,5,12,17
COCAPATA,atencion odontologica,periodoncias,2013-02-01,0,12,0,12,12
COCHABAMBA,atencion odontologica,periodoncias,2013-02-01,1644,2395,1644,2395,4039
COIPASA,atencion odontologica,periodoncias,2013-02-01,1,4,1,4,5
COLCAPIRHUA,atencion odontologica,periodoncias,2013-02-01,10,7,10,7,17
"COLCHA ""K""",atencion odontologica,periodoncias,2013-02-01,2,3,2,3,5
COLOMI,atencion odontologica,periodoncias,2013-02-01,2,14,2,14,16
COLPA BELGICA,atencion odontologica,periodoncias,2013-02-01,0,7,0,7,7
COLQUECHACA,atencion odontologica,periodoncias,2013-02-01,0,5,0,5,5
COMARAPA,atencion odontologica,periodoncias,2013-02-01,2,2,2,2,4
CONCEPCION,atencion odontologica,periodoncias,2013-02-01,5,3,5,3,8
COPACABANA,atencion odontologica,periodoncias,2013-02-01,2,5,2,5,7
CORO CORO,atencion odontologica,periodoncias,2013-02-01,1,0,1,0,1
COROICO,atencion odontologica,periodoncias,2013-02-01,2,11,2,11,13
CORQUE,atencion odontologica,periodoncias,2013-02-01,0,1,0,1,1
COTAGAITA,atencion odontologica,periodoncias,2013-02-01,8,20,8,20,28
COTOCA,atencion odontologica,periodoncias,2013-02-01,0,4,0,4,4
CUATRO CAÑADAS,atencion odontologica,periodoncias,2013-02-01,0,4,0,4,4
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,periodoncias,2013-02-01,0,3,0,3,3
CUEVO,atencion odontologica,periodoncias,2013-02-01,0,1,0,1,1
CULPINA,atencion odontologica,periodoncias,2013-02-01,0,1,0,1,1
DESAGUADERO,atencion odontologica,periodoncias,2013-02-01,4,2,4,2,6
EL ALTO,atencion odontologica,periodoncias,2013-02-01,211,312,211,312,523
EL PUENTE(TJA),atencion odontologica,periodoncias,2013-02-01,2,7,2,7,9
EL TORNO,atencion odontologica,periodoncias,2013-02-01,19,48,19,48,67
EL VILLAR,atencion odontologica,periodoncias,2013-02-01,7,19,7,19,26
ENTRE RIOS TRJ,atencion odontologica,periodoncias,2013-02-01,3,10,3,10,13
ENTRE RIOS CBBA,atencion odontologica,periodoncias,2013-02-01,0,12,0,12,12
EUCALIPTUS,atencion odontologica,periodoncias,2013-02-01,0,4,0,4,4
FERNANDEZ ALONSO,atencion odontologica,periodoncias,2013-02-01,3,1,3,1,4
FILADELFIA,atencion odontologica,periodoncias,2013-02-01,0,2,0,2,2
GENERAL SAAVEDRA,atencion odontologica,periodoncias,2013-02-01,0,4,0,4,4
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,periodoncias,2013-02-01,1,1,1,1,2
GUANAY,atencion odontologica,periodoncias,2013-02-01,3,0,3,0,3
GUAQUI,atencion odontologica,periodoncias,2013-02-01,1,2,1,2,3
GUAYARAMERIN,atencion odontologica,periodoncias,2013-02-01,13,54,13,54,67
GUTIERREZ,atencion odontologica,periodoncias,2013-02-01,0,2,0,2,2
HUANUNI,atencion odontologica,periodoncias,2013-02-01,1,0,1,0,1
HUARACAJE,atencion odontologica,periodoncias,2013-02-01,1,13,1,13,14
HUATAJATA,atencion odontologica,periodoncias,2013-02-01,0,1,0,1,1
HUAYLLAMARCA,atencion odontologica,periodoncias,2013-02-01,0,1,0,1,1
HUMANATA,atencion odontologica,periodoncias,2013-02-01,0,3,0,3,3
ICLA,atencion odontologica,periodoncias,2013-02-01,0,2,0,2,2
INCAHUASI,atencion odontologica,periodoncias,2013-02-01,0,6,0,6,6
INQUISIVI,atencion odontologica,periodoncias,2013-02-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),atencion odontologica,periodoncias,2013-02-01,0,3,0,3,3
IXIAMAS,atencion odontologica,periodoncias,2013-02-01,1,0,1,0,1
JESUS DE MACHACA,atencion odontologica,periodoncias,2013-02-01,5,4,5,4,9
LA ASUNTA,atencion odontologica,periodoncias,2013-02-01,3,3,3,3,6
LA GUARDIA,atencion odontologica,periodoncias,2013-02-01,2,43,2,43,45
LA PAZ,atencion odontologica,periodoncias,2013-02-01,376,639,376,639,1015
LAGUNILLAS,atencion odontologica,periodoncias,2013-02-01,0,8,0,8,8
LAS CARRERAS,atencion odontologica,periodoncias,2013-02-01,0,1,0,1,1
LICOMA PAMPA,atencion odontologica,periodoncias,2013-02-01,0,1,0,1,1
LLALLAGUA,atencion odontologica,periodoncias,2013-02-01,0,9,0,9,9
LLICA,atencion odontologica,periodoncias,2013-02-01,6,0,6,0,6
MACHACAMARCA,atencion odontologica,periodoncias,2013-02-01,2,1,2,1,3
MAGDALENA,atencion odontologica,periodoncias,2013-02-01,6,8,6,8,14
MAIRANA,atencion odontologica,periodoncias,2013-02-01,1,3,1,3,4
MAPIRI,atencion odontologica,periodoncias,2013-02-01,1,1,1,1,2
MECAPACA,atencion odontologica,periodoncias,2013-02-01,3,16,3,16,19
MINEROS,atencion odontologica,periodoncias,2013-02-01,0,1,0,1,1
MIZQUE,atencion odontologica,periodoncias,2013-02-01,0,2,0,2,2
MOCOMOCO,atencion odontologica,periodoncias,2013-02-01,0,4,0,4,4
