,group,variable,month,ACCIONES PREVENTIVAS DENTRO DEL ESTABLECIMIENTO CANTIDAD,ACCIONES PREVENTIVAS DENTRO DEL ESTABLECIMIENTO CANTIDAD,TOTALES,TOTALES,TOTALES
CAPINOTA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,295,342,295,342,637
CAQUIAVIRI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,10,15,10,15,25
CARACOLLO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,23,26,23,26,49
CARANAVI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,56,56,56,56,112
CARAPARI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,12,17,12,17,29
CARIPUYO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,25,34,25,34,59
CARMEN RIVERO TORREZ,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,14,21,14,21,35
CATACORA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,1,1,1,1,2
CHALLAPATA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,95,90,95,90,185
CHAQUI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,0,2,0,2,2
CHARAGUA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,15,10,15,10,25
CHARAÑA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,3,0,3,0,3
CHIMORE,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,53,118,53,118,171
CHOQUE COTA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,4,1,4,1,5
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,38,21,38,21,59
CHUMA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,6,5,6,5,11
CKOCHAS,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,4,21,4,21,25
CLIZA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,88,135,88,135,223
COBIJA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,357,536,357,536,893
COCAPATA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,13,26,13,26,39
COCHABAMBA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,3436,4636,3436,4636,8072
COIPASA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,4,2,4,2,6
COLCAPIRHUA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,68,118,68,118,186
COLLANA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,6,9,6,9,15
COLOMI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,36,50,36,50,86
COLPA BELGICA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,107,118,107,118,225
COLQUECHACA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,52,20,52,20,72
COLQUIRI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,2,4,2,4,6
COMANCHE,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,0,1,0,1,1
COMARAPA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,15,34,15,34,49
CONCEPCION,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,2,3,2,3,5
COPACABANA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,30,9,30,9,39
CORIPATA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,4,2,4,2,6
CORO CORO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,5,3,5,3,8
COROICO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,2,2,2,2,4
CORQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,2,3,2,3,5
COTAGAITA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,47,102,47,102,149
COTOCA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,43,78,43,78,121
CUATRO CAÑADAS,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,15,51,15,51,66
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,8,0,8,0,8
CUEVO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,2,3,2,3,5
CULPINA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,3,16,3,16,19
CURVA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,47,44,47,44,91
DESAGUADERO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,15,20,15,20,35
EL ALTO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,2546,2900,2546,2900,5446
EL PUENTE(STC),atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,1,0,1,0,1
EL PUENTE(TJA),atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,6,11,6,11,17
EL TORNO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,74,63,74,63,137
EL VILLAR,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,5,4,5,4,9
ENTRE RIOS TRJ,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,29,36,29,36,65
ENTRE RIOS CBBA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,203,306,203,306,509
ESCOMA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,3,5,3,5,8
EUCALIPTUS,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,1,6,1,6,7
FERNANDEZ ALONSO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,20,45,20,45,65
FILADELFIA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,22,22,22,22,44
GENERAL SAAVEDRA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,6,6,6,6,12
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,7,9,7,9,16
GUANAY,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,13,28,13,28,41
GUAQUI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,18,11,18,11,29
GUAYARAMERIN,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,188,343,188,343,531
GUTIERREZ,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,10,10,10,10,20
HUACARETA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,8,7,8,7,15
HUACAYA (VILLA DE HUACAYA),atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,19,32,19,32,51
HUACHACALLA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,0,1,0,1,1
HUANUNI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,176,167,176,167,343
HUARACAJE,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,10,13,10,13,23
HUATAJATA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,12,11,12,11,23
HUAYLLAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,32,15,32,15,47
HUMANATA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,1,0,1,0,1
ICLA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,146,158,146,158,304
INCAHUASI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,6,29,6,29,35
INQUISIVI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,21,13,21,13,34
IRUPANA (VILLA DE LANZA),atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,2,6,2,6,8
IXIAMAS,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,29,45,29,45,74
JESUS DE MACHACA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,3,4,3,4,7
LA ASUNTA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,1,1,1,1,2
LA GUARDIA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,143,192,143,192,335
LA PAZ,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,4804,1821,4804,1821,6625
LAGUNILLAS,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,50,38,50,38,88
LAJA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,6,11,6,11,17
LAS CARRERAS,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,4,2,4,2,6
LLALLAGUA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,75,107,75,107,182
LORETO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,19,46,19,46,65
LURIBAY,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,38,30,38,30,68
MACHACAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,9,5,9,5,14
MACHARETI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,4,4,4,4,8
MAGDALENA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,13,30,13,30,43
MAIRANA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,9,25,9,25,34
MALLA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,3,5,3,5,8
MAPIRI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,11,59,11,59,70
MECAPACA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,15,9,15,9,24
MIZQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,11,59,11,59,70
MOCOMOCO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,4,8,4,8,12
MOJOCOYA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,1,4,1,4,5
MONTEAGUDO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,94,52,94,52,146
MONTERO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,221,253,221,253,474
MORO MORO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,24,39,24,39,63
MOROCHATA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,5,16,5,16,21
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,5,10,5,10,15
OCURI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,4,3,4,3,7
OKINAWA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,1,7,1,7,8
OMEREQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,15,18,15,18,33
ORURO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,766,786,766,786,1552
PADCAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,11,21,11,21,32
PADILLA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,8,8,8,8,16
PAILON,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,30,41,30,41,71
PALCA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,15,19,15,19,34
PALOS BLANCOS,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,16,20,16,20,36
PAMPA AULLAGAS,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,9,19,9,19,28
PAMPA GRANDE,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,10,27,10,27,37
PAPEL PAMPA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,12,0,12,0,12
PASORAPA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,0,1,0,1,1
PATACAMAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,118,119,118,119,237
PAZÑA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,4,10,4,10,14
PELECHUCO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,41,59,41,59,100
POCOATA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,7,2,7,2,9
POCONA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,16,25,16,25,41
POJO (CBBA),atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,76,59,76,59,135
POOPO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,54,80,54,80,134
PORCO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,16,17,16,17,33
POROMA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,10,4,10,4,14
PORONGO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,11,10,11,10,21
PORTACHUELO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,9,21,9,21,30
PORVENIR,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,34,39,34,39,73
POSTRER VALLE,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,6,8,6,8,14
POTOSI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,375,335,375,335,710
PRESTO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,22,24,22,24,46
PUCARANI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,15,18,15,18,33
PUERTO CARABUCO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,6,13,6,13,19
PUERTO GONZALO MORENO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,8,7,8,7,15
PUERTO PEREZ,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,11,26,11,26,37
PUERTO QUIJARRO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,57,51,57,51,108
PUERTO RICO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,70,49,70,49,119
PUERTO SUAREZ,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,5,4,5,4,9
PUERTO VILLARROEL,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,119,141,119,141,260
PUNA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,1,6,1,6,7
PUNATA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,220,377,220,377,597
QUIABAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,2,0,2,0,2
QUILLACOLLO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,881,1147,881,1147,2028
QUIME,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,38,63,38,63,101
QUIRUSILLAS,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,0,2,0,2,2
RAVELO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,6,17,6,17,23
REYES,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,7,11,7,11,18
RIBERALTA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,72,220,72,220,292
ROBORE,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,4,4,4,4,8
RURRENABAQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,30,32,30,32,62
SABAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,9,2,9,2,11
SACABA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,286,660,286,660,946
SACABAMBA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,0,7,0,7,7
SACACA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,1,1,1,1,2
SAIPINA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,1,5,1,5,6
SALINAS DE GARCI MENDOZA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,72,85,72,85,157
SAMAIPATA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,17,18,17,18,35
SAN AGUSTIN,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,4,6,4,6,10
SAN ANDRES,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,23,32,23,32,55
SAN ANDRES DE MACHACA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,14,2,14,2,16
SAN BENITO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,52,43,52,43,95
SAN BORJA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,23,41,23,41,64
SAN BUENA VENTURA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,0,2,0,2,2
SAN CARLOS,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,20,33,20,33,53
SAN IGNACIO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,32,42,32,42,74
SAN IGNACIO DE VELASCO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,42,41,42,41,83
SAN JAVIER(STC),atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,10,11,10,11,21
SAN JUAN DE YAPACANI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,4,1,4,1,5
SAN JULIAN,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,23,42,23,42,65
SAN LORENZO(PND),atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,10,20,10,20,30
SAN LORENZO(TJA),atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,29,47,29,47,76
SAN LUCAS,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,14,17,14,17,31
SAN MIGUEL DE VELASCO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,9,34,9,34,43
SAN PEDRO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,25,32,25,32,57
SAN PEDRO DE BUENA VISTA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,18,11,18,11,29
SAN PEDRO DE CURAHUARA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,1,1,1,1,2
SAN PEDRO DE TIQUINA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,0,4,0,4,4
SAN RAFAEL,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,7,29,7,29,36
SAN RAMON BENI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,1,0,1,0,1
SAN RAMON SCZ,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,9,7,9,7,16
SANTA ANA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,54,170,54,170,224
SANTA CRUZ DE LA SIERRA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,1766,2569,1766,2569,4335
SANTA ROSA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,45,18,45,18,63
SANTA ROSA DEL SARA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,10,26,10,26,36
SANTIAGO DE CALLAPA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,0,6,0,6,6
SANTIAGO DE HUARI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,247,239,247,239,486
SANTIAGO DE HUATA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,6,5,6,5,11
SANTIAGO DE MACHACA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,1,5,1,5,6
SANTIVAÑES,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,9,20,9,20,29
SANTUARIO DE QUILLACAS,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,2,9,2,9,11
SAPAHAQUI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,0,5,0,5,5
SENA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,4,9,4,9,13
SHINAOTA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,28,79,28,79,107
SICA SICA (VILLA AROMA),atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,11,12,11,12,23
SICAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,1,5,1,5,6
SIPE SIPE,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,79,113,79,113,192
SOPACHUY,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,75,96,75,96,171
SORACACHI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,1,6,1,6,7
SORATA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,19,24,19,24,43
SUCRE,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,1457,1706,1457,1706,3163
TACACOMA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,5,4,5,4,9
TACOPAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,5,28,5,28,33
TAPACARI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,41,65,41,65,106
TARABUCO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,18,24,18,24,42
TARACO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,55,53,55,53,108
TARATA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,97,151,97,151,248
TARIJA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,397,670,397,670,1067
TARVITA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,54,62,54,62,116
TEOPONTE,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,29,20,29,20,49
TIAWANACU,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,5,5,5,5,10
TINGUIPAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,0,8,0,8,8
TIPUANI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,3,4,3,4,7
TIQUIPAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,591,662,591,662,1253
TIRAQUE (CBBA),atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,24,48,24,48,72
TOCO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,79,147,79,147,226
TOLATA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,44,106,44,106,150
TOLEDO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,2,6,2,6,8
TOMAVE,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,8,14,8,14,22
TOMINA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,2,1,2,1,3
TORO TORO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,36,68,36,68,104
TOTORA(CBBA),atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,11,25,11,25,36
TOTORA(ORR),atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,0,1,0,1,1
TRIGAL,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,13,6,13,6,19
TRINIDAD,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,228,308,228,308,536
TUPIZA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,98,90,98,90,188
TURCO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,1,3,1,3,4
UNCIA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,101,110,101,110,211
URIONDO (A. CONCEPCION),atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,34,62,34,62,96
URUBICHA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,1,6,1,6,7
UYUNI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,32,29,32,29,61
VACAS,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,39,46,39,46,85
VALLEGRANDE,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,215,227,215,227,442
VIACHA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,111,107,111,107,218
