,group,variable,month,CONSULTAS NUEVAS MENORES DE 5 AÑOS CANTIDAD,CONSULTAS NUEVAS MENORES DE 5 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
CAPINOTA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,114,92,114,92,206
CAQUIAVIRI,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,7,2,7,2,9
CARACOLLO,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,30,36,30,36,66
CARANAVI,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,72,57,72,57,129
CARAPARI,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,10,7,10,7,17
CARIPUYO,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,45,31,45,31,76
CARMEN RIVERO TORREZ,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,6,10,6,10,16
CATACORA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,1,11,1,11,12
CHACARILLA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,3,4,3,4,7
CHALLAPATA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,150,163,150,163,313
CHAQUI,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,3,1,3,1,4
CHARAGUA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,20,35,20,35,55
CHARAÑA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,1,0,1,0,1
CHAYANTA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,3,13,3,13,16
CHIMORE,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,71,68,71,68,139
CHIPAYA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,0,2,0,2,2
CHOQUE COTA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,2,6,2,6,8
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,81,60,81,60,141
CHUMA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,17,17,17,17,34
CKOCHAS,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,19,14,19,14,33
CLIZA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,142,113,142,113,255
COBIJA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,208,241,208,241,449
COCAPATA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,7,20,7,20,27
COCHABAMBA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,1654,1558,1654,1558,3212
COIPASA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,8,6,8,6,14
COLCAPIRHUA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,162,229,162,229,391
"COLCHA ""K""",atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,6,0,6,0,6
COLLANA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,19,17,19,17,36
COLOMI,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,55,65,55,65,120
COLPA BELGICA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,29,18,29,18,47
COLQUECHACA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,73,50,73,50,123
COLQUENCHA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,2,0,2,0,2
COLQUIRI,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,54,29,54,29,83
COMANCHE,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,7,4,7,4,11
COMARAPA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,6,28,6,28,34
CONCEPCION,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,2,3,2,3,5
COPACABANA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,72,53,72,53,125
CORIPATA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,7,19,7,19,26
CORO CORO,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,9,18,9,18,27
COROICO,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,13,33,13,33,46
CORQUE,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,3,3,3,3,6
COTAGAITA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,38,47,38,47,85
COTOCA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,39,15,39,15,54
CUATRO CAÑADAS,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,69,57,69,57,126
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,9,0,9,0,9
CUEVO,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,8,4,8,4,12
CULPINA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,49,107,49,107,156
CURAHUARA DE CARANGAS,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,26,17,26,17,43
CURVA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,69,29,69,29,98
DESAGUADERO,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,35,26,35,26,61
EL ALTO,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,1984,2552,1984,2552,4536
EL PUENTE(STC),atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,4,4,4,4,8
EL PUENTE(TJA),atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,5,5,5,5,10
EL TORNO,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,40,45,40,45,85
EL VILLAR,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,21,27,21,27,48
ENTRE RIOS TRJ,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,45,42,45,42,87
ENTRE RIOS CBBA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,68,65,68,65,133
ESCOMA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,12,11,12,11,23
EUCALIPTUS,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,4,12,4,12,16
FERNANDEZ ALONSO,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,19,28,19,28,47
FILADELFIA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,56,47,56,47,103
GENERAL SAAVEDRA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,14,37,14,37,51
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,31,17,31,17,48
GUANAY,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,14,14,14,14,28
GUAQUI,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,11,9,11,9,20
GUAYARAMERIN,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,39,60,39,60,99
GUTIERREZ,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,57,88,57,88,145
HUACARETA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,10,21,10,21,31
HUACAYA (VILLA DE HUACAYA),atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,33,23,33,23,56
HUACHACALLA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,2,0,2,0,2
HUANUNI,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,46,59,46,59,105
HUARACAJE,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,11,12,11,12,23
HUARINA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,3,10,3,10,13
HUATAJATA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,24,34,24,34,58
HUAYLLAMARCA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,26,18,26,18,44
HUMANATA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,0,1,0,1,1
ICHOCA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,50,26,50,26,76
ICLA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,189,193,189,193,382
INCAHUASI,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,53,42,53,42,95
INGAVI (HUMAITA),atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,5,5,5,5,10
INQUISIVI,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,45,30,45,30,75
IRUPANA (VILLA DE LANZA),atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,21,21,21,21,42
IXIAMAS,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,15,27,15,27,42
JESUS DE MACHACA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,20,22,20,22,42
LA ASUNTA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,5,1,5,1,6
LA GUARDIA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,104,131,104,131,235
LA PAZ,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,3248,3271,3248,3271,6519
LAGUNILLAS,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,25,21,25,21,46
LAJA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,12,26,12,26,38
LAS CARRERAS,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,2,0,2,0,2
LICOMA PAMPA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,5,5,5,5,10
LLALLAGUA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,151,190,151,190,341
LURIBAY,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,46,27,46,27,73
MACHACAMARCA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,0,16,0,16,16
MACHARETI,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,30,27,30,27,57
MAGDALENA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,7,12,7,12,19
MAIRANA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,29,61,29,61,90
MALLA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,8,3,8,3,11
MAPIRI,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,13,31,13,31,44
MECAPACA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,26,17,26,17,43
MINEROS,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,46,26,46,26,72
MIZQUE,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,47,82,47,82,129
MOCOMOCO,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,4,8,4,8,12
MOJOCOYA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,5,3,5,3,8
MONTEAGUDO,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,82,115,82,115,197
MONTERO,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,297,271,297,271,568
MORO MORO,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,53,58,53,58,111
MOROCHATA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,31,28,31,28,59
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,9,7,9,7,16
OCURI,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,4,4,4,4,8
OKINAWA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,16,14,16,14,30
OMEREQUE,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,0,6,0,6,6
ORURO,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,1145,1072,1145,1072,2217
PADCAYA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,9,1,9,1,10
PADILLA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,55,64,55,64,119
PAILON,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,54,67,54,67,121
PALCA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,58,62,58,62,120
PALOS BLANCOS,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,44,24,44,24,68
PAMPA AULLAGAS,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,34,26,34,26,60
PAMPA GRANDE,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,15,34,15,34,49
PAPEL PAMPA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,24,6,24,6,30
PASORAPA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,2,0,2,0,2
PATACAMAYA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,124,146,124,146,270
PAZÑA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,11,24,11,24,35
PELECHUCO,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,46,38,46,38,84
POCOATA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,10,7,10,7,17
POCONA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,33,29,33,29,62
POJO (CBBA),atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,141,112,141,112,253
POOPO,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,21,30,21,30,51
PORCO,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,27,28,27,28,55
POROMA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,17,9,17,9,26
PORONGO,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,11,8,11,8,19
PORTACHUELO,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,24,18,24,18,42
PORVENIR,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,56,76,56,76,132
POSTRER VALLE,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,34,42,34,42,76
POTOSI,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,622,678,622,678,1300
PRESTO,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,24,26,24,26,50
PUCARA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,1,2,1,2,3
PUCARANI,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,39,62,39,62,101
PUERTO ACOSTA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,2,3,2,3,5
PUERTO CARABUCO,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,10,10,10,10,20
PUERTO GONZALO MORENO,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,104,116,104,116,220
PUERTO PEREZ,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,20,10,20,10,30
PUERTO QUIJARRO,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,53,56,53,56,109
PUERTO RICO,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,14,35,14,35,49
PUERTO SUAREZ,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,51,20,51,20,71
PUERTO VILLARROEL,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,213,153,213,153,366
PUNA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,7,18,7,18,25
PUNATA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,166,101,166,101,267
QUIABAYA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,11,7,11,7,18
QUILLACOLLO,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,699,878,699,878,1577
QUIME,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,35,59,35,59,94
QUIRUSILLAS,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,1,4,1,4,5
RAVELO,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,16,9,16,9,25
REYES,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,7,5,7,5,12
RIBERALTA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,29,64,29,64,93
ROBORE,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,1,2,1,2,3
RURRENABAQUE,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,13,14,13,14,27
SABAYA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,13,12,13,12,25
SACABA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,362,233,362,233,595
SACABAMBA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,4,9,4,9,13
SACACA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,22,27,22,27,49
SAIPINA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,16,6,16,6,22
SALINAS DE GARCI MENDOZA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,117,152,117,152,269
SAMAIPATA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,25,29,25,29,54
SAN AGUSTIN,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,2,2,2,2,4
SAN ANDRES,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,7,12,7,12,19
SAN ANDRES DE MACHACA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,12,8,12,8,20
SAN ANTONIO DE ESMORUCO,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,4,1,4,1,5
SAN ANTONIO DE LOMERIO,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,0,1,0,1,1
SAN BENITO,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,132,70,132,70,202
SAN BORJA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,38,33,38,33,71
SAN BUENA VENTURA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,16,29,16,29,45
SAN CARLOS,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,17,35,17,35,52
SAN IGNACIO,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,35,29,35,29,64
SAN IGNACIO DE VELASCO,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,25,28,25,28,53
SAN JAVIER(BNI),atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,3,5,3,5,8
SAN JAVIER(STC),atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,12,18,12,18,30
SAN JOAQUIN,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,5,5,5,5,10
SAN JOSE DE CHIQUITOS,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,10,8,10,8,18
SAN JUAN DE YAPACANI,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,10,8,10,8,18
SAN JULIAN,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,24,23,24,23,47
SAN LORENZO(PND),atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,33,33,33,33,66
SAN LORENZO(TJA),atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,33,49,33,49,82
SAN LUCAS,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,30,41,30,41,71
SAN MATIAS,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,4,10,4,10,14
SAN MIGUEL DE VELASCO,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,10,39,10,39,49
SAN PEDRO,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,19,15,19,15,34
SAN PEDRO DE BUENA VISTA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,38,27,38,27,65
SAN PEDRO DE CURAHUARA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,7,1,7,1,8
SAN PEDRO DE TIQUINA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,1,5,1,5,6
SAN RAFAEL,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,3,8,3,8,11
SAN RAMON BENI,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,2,1,2,1,3
SAN RAMON SCZ,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,21,28,21,28,49
SANTA ANA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,17,12,17,12,29
SANTA CRUZ DE LA SIERRA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,2151,2271,2151,2271,4422
SANTA ROSA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,17,18,17,18,35
SANTA ROSA DEL SARA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,15,13,15,13,28
SANTIAGO DE CALLAPA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,2,7,2,7,9
SANTIAGO DE HUARI,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,77,47,77,47,124
SANTIAGO DE HUATA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,11,26,11,26,37
SANTIAGO DE MACHACA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,5,19,5,19,24
SANTIVAÑES,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,12,14,12,14,26
SANTUARIO DE QUILLACAS,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,7,4,7,4,11
SAPAHAQUI,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,6,12,6,12,18
SENA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,36,36,36,36,72
SHINAOTA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,111,193,111,193,304
SICA SICA (VILLA AROMA),atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,29,26,29,26,55
SICAYA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,4,3,4,3,7
SIPE SIPE,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,187,154,187,154,341
SOPACHUY,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,83,97,83,97,180
SORACACHI,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,23,39,23,39,62
SORATA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,53,63,53,63,116
SUCRE,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,1166,1238,1166,1238,2404
TACACOMA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,2,1,2,1,3
TACOBAMBA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,0,1,0,1,1
TACOPAYA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,5,2,5,2,7
TAHUA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,2,2,2,2,4
TAPACARI,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,36,42,36,42,78
TARABUCO,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,86,78,86,78,164
TARACO,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,85,77,85,77,162
TARATA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,26,22,26,22,48
TARIJA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,261,419,261,419,680
TARVITA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,77,65,77,65,142
TEOPONTE,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,13,8,13,8,21
TIAWANACU,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,21,25,21,25,46
TINGUIPAYA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,1,9,1,9,10
TIPUANI,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,11,9,11,9,20
TIQUIPAYA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,1007,821,1007,821,1828
TIRAQUE (CBBA),atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,37,25,37,25,62
TOCO,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,27,29,27,29,56
TOLATA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,33,48,33,48,81
TOLEDO,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,7,8,7,8,15
