,group,variable,month,PRIMERA CONSULTA CANTIDAD,PRIMERA CONSULTA CANTIDAD,TOTALES,TOTALES,TOTALES
CHAQUI,atencion odontologica,primera consulta,2013-01-01,4,14,4,14,18
CHARAGUA,atencion odontologica,primera consulta,2013-01-01,101,188,101,188,289
CHARAÑA,atencion odontologica,primera consulta,2013-01-01,14,14,14,14,28
CHAYANTA,atencion odontologica,primera consulta,2013-01-01,20,37,20,37,57
CHIMORE,atencion odontologica,primera consulta,2013-01-01,67,99,67,99,166
CHIPAYA,atencion odontologica,primera consulta,2013-01-01,6,22,6,22,28
CHOQUE COTA,atencion odontologica,primera consulta,2013-01-01,12,18,12,18,30
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,primera consulta,2013-01-01,60,76,60,76,136
CHUMA,atencion odontologica,primera consulta,2013-01-01,79,112,79,112,191
CKOCHAS,atencion odontologica,primera consulta,2013-01-01,36,46,36,46,82
CLIZA,atencion odontologica,primera consulta,2013-01-01,89,130,89,130,219
COBIJA,atencion odontologica,primera consulta,2013-01-01,266,381,266,381,647
COCAPATA,atencion odontologica,primera consulta,2013-01-01,25,71,25,71,96
COCHABAMBA,atencion odontologica,primera consulta,2013-01-01,2369,3665,2369,3665,6034
COIPASA,atencion odontologica,primera consulta,2013-01-01,4,6,4,6,10
COLCAPIRHUA,atencion odontologica,primera consulta,2013-01-01,67,88,67,88,155
"COLCHA ""K""",atencion odontologica,primera consulta,2013-01-01,11,6,11,6,17
COLLANA,atencion odontologica,primera consulta,2013-01-01,23,53,23,53,76
COLOMI,atencion odontologica,primera consulta,2013-01-01,28,51,28,51,79
COLPA BELGICA,atencion odontologica,primera consulta,2013-01-01,7,13,7,13,20
COLQUECHACA,atencion odontologica,primera consulta,2013-01-01,121,188,121,188,309
COLQUENCHA,atencion odontologica,primera consulta,2013-01-01,12,20,12,20,32
COLQUIRI,atencion odontologica,primera consulta,2013-01-01,94,121,94,121,215
COMANCHE,atencion odontologica,primera consulta,2013-01-01,8,23,8,23,31
COMARAPA,atencion odontologica,primera consulta,2013-01-01,17,64,17,64,81
CONCEPCION,atencion odontologica,primera consulta,2013-01-01,30,74,30,74,104
COPACABANA,atencion odontologica,primera consulta,2013-01-01,44,71,44,71,115
CORIPATA,atencion odontologica,primera consulta,2013-01-01,26,63,26,63,89
CORO CORO,atencion odontologica,primera consulta,2013-01-01,38,57,38,57,95
CORQUE,atencion odontologica,primera consulta,2013-01-01,17,28,17,28,45
COTAGAITA,atencion odontologica,primera consulta,2013-01-01,148,294,148,294,442
COTOCA,atencion odontologica,primera consulta,2013-01-01,38,136,38,136,174
CUATRO CAÑADAS,atencion odontologica,primera consulta,2013-01-01,87,137,87,137,224
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,primera consulta,2013-01-01,7,9,7,9,16
CUEVO,atencion odontologica,primera consulta,2013-01-01,31,46,31,46,77
CULPINA,atencion odontologica,primera consulta,2013-01-01,83,164,83,164,247
CURAHUARA DE CARANGAS,atencion odontologica,primera consulta,2013-01-01,34,48,34,48,82
CURVA,atencion odontologica,primera consulta,2013-01-01,80,75,80,75,155
DESAGUADERO,atencion odontologica,primera consulta,2013-01-01,148,167,148,167,315
EL ALTO,atencion odontologica,primera consulta,2013-01-01,2744,3715,2744,3715,6459
EL PUENTE(STC),atencion odontologica,primera consulta,2013-01-01,15,21,15,21,36
EL PUENTE(TJA),atencion odontologica,primera consulta,2013-01-01,53,160,53,160,213
EL TORNO,atencion odontologica,primera consulta,2013-01-01,107,219,107,219,326
EL VILLAR,atencion odontologica,primera consulta,2013-01-01,37,41,37,41,78
ENTRE RIOS TRJ,atencion odontologica,primera consulta,2013-01-01,125,298,125,298,423
ENTRE RIOS CBBA,atencion odontologica,primera consulta,2013-01-01,33,72,33,72,105
ESCOMA,atencion odontologica,primera consulta,2013-01-01,80,90,80,90,170
EUCALIPTUS,atencion odontologica,primera consulta,2013-01-01,31,52,31,52,83
FERNANDEZ ALONSO,atencion odontologica,primera consulta,2013-01-01,84,93,84,93,177
FILADELFIA,atencion odontologica,primera consulta,2013-01-01,4,8,4,8,12
GENERAL SAAVEDRA,atencion odontologica,primera consulta,2013-01-01,39,76,39,76,115
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,primera consulta,2013-01-01,82,109,82,109,191
GUANAY,atencion odontologica,primera consulta,2013-01-01,43,106,43,106,149
GUAQUI,atencion odontologica,primera consulta,2013-01-01,103,150,103,150,253
GUAYARAMERIN,atencion odontologica,primera consulta,2013-01-01,277,517,277,517,794
GUTIERREZ,atencion odontologica,primera consulta,2013-01-01,112,131,112,131,243
HUACARETA,atencion odontologica,primera consulta,2013-01-01,46,77,46,77,123
HUACAYA (VILLA DE HUACAYA),atencion odontologica,primera consulta,2013-01-01,54,77,54,77,131
HUACHACALLA,atencion odontologica,primera consulta,2013-01-01,32,43,32,43,75
HUANUNI,atencion odontologica,primera consulta,2013-01-01,124,196,124,196,320
HUARACAJE,atencion odontologica,primera consulta,2013-01-01,3,5,3,5,8
HUARINA,atencion odontologica,primera consulta,2013-01-01,27,43,27,43,70
HUATAJATA,atencion odontologica,primera consulta,2013-01-01,27,60,27,60,87
HUAYLLAMARCA,atencion odontologica,primera consulta,2013-01-01,54,84,54,84,138
HUMANATA,atencion odontologica,primera consulta,2013-01-01,4,4,4,4,8
ICHOCA,atencion odontologica,primera consulta,2013-01-01,32,40,32,40,72
ICLA,atencion odontologica,primera consulta,2013-01-01,117,162,117,162,279
INCAHUASI,atencion odontologica,primera consulta,2013-01-01,73,163,73,163,236
INGAVI (HUMAITA),atencion odontologica,primera consulta,2013-01-01,24,45,24,45,69
INQUISIVI,atencion odontologica,primera consulta,2013-01-01,105,141,105,141,246
IRUPANA (VILLA DE LANZA),atencion odontologica,primera consulta,2013-01-01,7,5,7,5,12
IXIAMAS,atencion odontologica,primera consulta,2013-01-01,43,72,43,72,115
JESUS DE MACHACA,atencion odontologica,primera consulta,2013-01-01,80,171,80,171,251
LA ASUNTA,atencion odontologica,primera consulta,2013-01-01,38,47,38,47,85
LA GUARDIA,atencion odontologica,primera consulta,2013-01-01,161,321,161,321,482
LA PAZ,atencion odontologica,primera consulta,2013-01-01,4417,5740,4417,5740,10157
LAGUNILLAS,atencion odontologica,primera consulta,2013-01-01,51,100,51,100,151
LAJA,atencion odontologica,primera consulta,2013-01-01,49,117,49,117,166
LAS CARRERAS,atencion odontologica,primera consulta,2013-01-01,26,42,26,42,68
LICOMA PAMPA,atencion odontologica,primera consulta,2013-01-01,16,21,16,21,37
LLALLAGUA,atencion odontologica,primera consulta,2013-01-01,83,184,83,184,267
LORETO,atencion odontologica,primera consulta,2013-01-01,5,6,5,6,11
LURIBAY,atencion odontologica,primera consulta,2013-01-01,14,33,14,33,47
MACHACAMARCA,atencion odontologica,primera consulta,2013-01-01,19,36,19,36,55
MACHARETI,atencion odontologica,primera consulta,2013-01-01,25,45,25,45,70
MAGDALENA,atencion odontologica,primera consulta,2013-01-01,42,66,42,66,108
MAIRANA,atencion odontologica,primera consulta,2013-01-01,32,93,32,93,125
MALLA,atencion odontologica,primera consulta,2013-01-01,18,20,18,20,38
MAPIRI,atencion odontologica,primera consulta,2013-01-01,50,95,50,95,145
MECAPACA,atencion odontologica,primera consulta,2013-01-01,85,79,85,79,164
MINEROS,atencion odontologica,primera consulta,2013-01-01,18,31,18,31,49
MIZQUE,atencion odontologica,primera consulta,2013-01-01,49,80,49,80,129
MOCOMOCO,atencion odontologica,primera consulta,2013-01-01,76,71,76,71,147
MOJOCOYA,atencion odontologica,primera consulta,2013-01-01,51,92,51,92,143
MONTEAGUDO,atencion odontologica,primera consulta,2013-01-01,96,150,96,150,246
MONTERO,atencion odontologica,primera consulta,2013-01-01,429,498,429,498,927
MORO MORO,atencion odontologica,primera consulta,2013-01-01,57,69,57,69,126
MOROCHATA,atencion odontologica,primera consulta,2013-01-01,33,53,33,53,86
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,primera consulta,2013-01-01,28,28,28,28,56
OCURI,atencion odontologica,primera consulta,2013-01-01,38,65,38,65,103
OKINAWA,atencion odontologica,primera consulta,2013-01-01,33,55,33,55,88
OMEREQUE,atencion odontologica,primera consulta,2013-01-01,2,7,2,7,9
ORURO,atencion odontologica,primera consulta,2013-01-01,1107,1583,1107,1583,2690
PADCAYA,atencion odontologica,primera consulta,2013-01-01,75,144,75,144,219
PADILLA,atencion odontologica,primera consulta,2013-01-01,148,215,148,215,363
PAILON,atencion odontologica,primera consulta,2013-01-01,82,91,82,91,173
PALCA,atencion odontologica,primera consulta,2013-01-01,65,89,65,89,154
PALOS BLANCOS,atencion odontologica,primera consulta,2013-01-01,74,84,74,84,158
PAMPA AULLAGAS,atencion odontologica,primera consulta,2013-01-01,17,28,17,28,45
PAMPA GRANDE,atencion odontologica,primera consulta,2013-01-01,17,20,17,20,37
PAPEL PAMPA,atencion odontologica,primera consulta,2013-01-01,33,31,33,31,64
PASORAPA,atencion odontologica,primera consulta,2013-01-01,8,9,8,9,17
PATACAMAYA,atencion odontologica,primera consulta,2013-01-01,84,140,84,140,224
PAZÑA,atencion odontologica,primera consulta,2013-01-01,23,45,23,45,68
PELECHUCO,atencion odontologica,primera consulta,2013-01-01,40,52,40,52,92
POCOATA,atencion odontologica,primera consulta,2013-01-01,15,28,15,28,43
POCONA,atencion odontologica,primera consulta,2013-01-01,57,88,57,88,145
POJO (CBBA),atencion odontologica,primera consulta,2013-01-01,100,171,100,171,271
POOPO,atencion odontologica,primera consulta,2013-01-01,80,68,80,68,148
PORCO,atencion odontologica,primera consulta,2013-01-01,45,71,45,71,116
POROMA,atencion odontologica,primera consulta,2013-01-01,39,64,39,64,103
PORONGO,atencion odontologica,primera consulta,2013-01-01,16,32,16,32,48
PORTACHUELO,atencion odontologica,primera consulta,2013-01-01,76,117,76,117,193
PORVENIR,atencion odontologica,primera consulta,2013-01-01,60,65,60,65,125
POSTRER VALLE,atencion odontologica,primera consulta,2013-01-01,26,56,26,56,82
POTOSI,atencion odontologica,primera consulta,2013-01-01,554,889,554,889,1443
PRESTO,atencion odontologica,primera consulta,2013-01-01,42,70,42,70,112
PUCARA,atencion odontologica,primera consulta,2013-01-01,4,5,4,5,9
PUCARANI,atencion odontologica,primera consulta,2013-01-01,130,211,130,211,341
PUERTO ACOSTA,atencion odontologica,primera consulta,2013-01-01,1,2,1,2,3
PUERTO CARABUCO,atencion odontologica,primera consulta,2013-01-01,67,109,67,109,176
PUERTO GONZALO MORENO,atencion odontologica,primera consulta,2013-01-01,107,138,107,138,245
PUERTO PEREZ,atencion odontologica,primera consulta,2013-01-01,25,45,25,45,70
PUERTO QUIJARRO,atencion odontologica,primera consulta,2013-01-01,100,48,100,48,148
PUERTO RICO,atencion odontologica,primera consulta,2013-01-01,68,78,68,78,146
PUERTO SUAREZ,atencion odontologica,primera consulta,2013-01-01,38,70,38,70,108
PUERTO VILLARROEL,atencion odontologica,primera consulta,2013-01-01,111,188,111,188,299
PUNA,atencion odontologica,primera consulta,2013-01-01,45,77,45,77,122
PUNATA,atencion odontologica,primera consulta,2013-01-01,183,281,183,281,464
QUIABAYA,atencion odontologica,primera consulta,2013-01-01,7,9,7,9,16
QUILLACOLLO,atencion odontologica,primera consulta,2013-01-01,435,555,435,555,990
QUIME,atencion odontologica,primera consulta,2013-01-01,132,259,132,259,391
QUIRUSILLAS,atencion odontologica,primera consulta,2013-01-01,5,19,5,19,24
RAVELO,atencion odontologica,primera consulta,2013-01-01,26,57,26,57,83
REYES,atencion odontologica,primera consulta,2013-01-01,14,39,14,39,53
RIBERALTA,atencion odontologica,primera consulta,2013-01-01,135,389,135,389,524
ROBORE,atencion odontologica,primera consulta,2013-01-01,80,93,80,93,173
RURRENABAQUE,atencion odontologica,primera consulta,2013-01-01,17,24,17,24,41
SABAYA,atencion odontologica,primera consulta,2013-01-01,66,50,66,50,116
SACABA,atencion odontologica,primera consulta,2013-01-01,237,355,237,355,592
SACABAMBA,atencion odontologica,primera consulta,2013-01-01,18,31,18,31,49
SACACA,atencion odontologica,primera consulta,2013-01-01,61,54,61,54,115
SAIPINA,atencion odontologica,primera consulta,2013-01-01,28,43,28,43,71
SALINAS DE GARCI MENDOZA,atencion odontologica,primera consulta,2013-01-01,61,85,61,85,146
SAMAIPATA,atencion odontologica,primera consulta,2013-01-01,23,39,23,39,62
SAN AGUSTIN,atencion odontologica,primera consulta,2013-01-01,2,3,2,3,5
SAN ANDRES,atencion odontologica,primera consulta,2013-01-01,33,63,33,63,96
SAN ANDRES DE MACHACA,atencion odontologica,primera consulta,2013-01-01,32,39,32,39,71
SAN ANTONIO DE ESMORUCO,atencion odontologica,primera consulta,2013-01-01,6,11,6,11,17
SAN ANTONIO DE LOMERIO,atencion odontologica,primera consulta,2013-01-01,5,12,5,12,17
SAN BENITO,atencion odontologica,primera consulta,2013-01-01,26,19,26,19,45
SAN BORJA,atencion odontologica,primera consulta,2013-01-01,57,79,57,79,136
SAN BUENA VENTURA,atencion odontologica,primera consulta,2013-01-01,38,72,38,72,110
SAN CARLOS,atencion odontologica,primera consulta,2013-01-01,83,132,83,132,215
SAN IGNACIO,atencion odontologica,primera consulta,2013-01-01,273,364,273,364,637
SAN IGNACIO DE VELASCO,atencion odontologica,primera consulta,2013-01-01,96,152,96,152,248
SAN JAVIER(STC),atencion odontologica,primera consulta,2013-01-01,60,28,60,28,88
SAN JOAQUIN,atencion odontologica,primera consulta,2013-01-01,251,30,251,30,281
SAN JOSE DE CHIQUITOS,atencion odontologica,primera consulta,2013-01-01,74,105,74,105,179
SAN JUAN DE YAPACANI,atencion odontologica,primera consulta,2013-01-01,47,78,47,78,125
SAN JULIAN,atencion odontologica,primera consulta,2013-01-01,43,75,43,75,118
SAN LORENZO(PND),atencion odontologica,primera consulta,2013-01-01,35,46,35,46,81
SAN LORENZO(TJA),atencion odontologica,primera consulta,2013-01-01,183,358,183,358,541
SAN LUCAS,atencion odontologica,primera consulta,2013-01-01,68,168,68,168,236
SAN MATIAS,atencion odontologica,primera consulta,2013-01-01,42,83,42,83,125
SAN MIGUEL DE VELASCO,atencion odontologica,primera consulta,2013-01-01,64,122,64,122,186
SAN PEDRO,atencion odontologica,primera consulta,2013-01-01,60,75,60,75,135
SAN PEDRO DE BUENA VISTA,atencion odontologica,primera consulta,2013-01-01,59,77,59,77,136
SAN PEDRO DE CURAHUARA,atencion odontologica,primera consulta,2013-01-01,68,108,68,108,176
SAN PEDRO DE TIQUINA,atencion odontologica,primera consulta,2013-01-01,19,28,19,28,47
SAN RAFAEL,atencion odontologica,primera consulta,2013-01-01,7,29,7,29,36
SAN RAMON BENI,atencion odontologica,primera consulta,2013-01-01,24,41,24,41,65
SAN RAMON SCZ,atencion odontologica,primera consulta,2013-01-01,49,68,49,68,117
SANTA ANA,atencion odontologica,primera consulta,2013-01-01,101,150,101,150,251
SANTA CRUZ DE LA SIERRA,atencion odontologica,primera consulta,2013-01-01,4075,6856,4075,6856,10931
SANTA ROSA,atencion odontologica,primera consulta,2013-01-01,43,62,43,62,105
SANTA ROSA DEL SARA,atencion odontologica,primera consulta,2013-01-01,53,138,53,138,191
SANTIAGO DE CALLAPA,atencion odontologica,primera consulta,2013-01-01,11,22,11,22,33
SANTIAGO DE HUARI,atencion odontologica,primera consulta,2013-01-01,123,154,123,154,277
SANTIAGO DE HUATA,atencion odontologica,primera consulta,2013-01-01,51,66,51,66,117
SANTIAGO DE MACHACA,atencion odontologica,primera consulta,2013-01-01,58,126,58,126,184
SANTIVAÑES,atencion odontologica,primera consulta,2013-01-01,3,7,3,7,10
SANTUARIO DE QUILLACAS,atencion odontologica,primera consulta,2013-01-01,9,9,9,9,18
SAPAHAQUI,atencion odontologica,primera consulta,2013-01-01,36,59,36,59,95
SENA,atencion odontologica,primera consulta,2013-01-01,76,134,76,134,210
SHINAOTA,atencion odontologica,primera consulta,2013-01-01,11,25,11,25,36
SICA SICA (VILLA AROMA),atencion odontologica,primera consulta,2013-01-01,63,70,63,70,133
SICAYA,atencion odontologica,primera consulta,2013-01-01,27,26,27,26,53
SIPE SIPE,atencion odontologica,primera consulta,2013-01-01,81,170,81,170,251
SOPACHUY,atencion odontologica,primera consulta,2013-01-01,111,238,111,238,349
SORACACHI,atencion odontologica,primera consulta,2013-01-01,37,48,37,48,85
SORATA,atencion odontologica,primera consulta,2013-01-01,30,46,30,46,76
SUCRE,atencion odontologica,primera consulta,2013-01-01,2228,3398,2228,3398,5626
TACACOMA,atencion odontologica,primera consulta,2013-01-01,46,50,46,50,96
TACOBAMBA,atencion odontologica,primera consulta,2013-01-01,4,14,4,14,18
TACOPAYA,atencion odontologica,primera consulta,2013-01-01,25,65,25,65,90
TAHUA,atencion odontologica,primera consulta,2013-01-01,5,5,5,5,10
TAPACARI,atencion odontologica,primera consulta,2013-01-01,54,82,54,82,136
TARABUCO,atencion odontologica,primera consulta,2013-01-01,119,247,119,247,366
TARACO,atencion odontologica,primera consulta,2013-01-01,70,73,70,73,143
TARATA,atencion odontologica,primera consulta,2013-01-01,88,141,88,141,229
TARIJA,atencion odontologica,primera consulta,2013-01-01,1080,1771,1080,1771,2851
TARVITA,atencion odontologica,primera consulta,2013-01-01,143,281,143,281,424
TEOPONTE,atencion odontologica,primera consulta,2013-01-01,52,45,52,45,97
TIAWANACU,atencion odontologica,primera consulta,2013-01-01,118,179,118,179,297
TINGUIPAYA,atencion odontologica,primera consulta,2013-01-01,14,53,14,53,67
TIPUANI,atencion odontologica,primera consulta,2013-01-01,33,29,33,29,62
TIQUIPAYA,atencion odontologica,primera consulta,2013-01-01,291,387,291,387,678
TIRAQUE (CBBA),atencion odontologica,primera consulta,2013-01-01,36,57,36,57,93
TOCO,atencion odontologica,primera consulta,2013-01-01,33,55,33,55,88
TOLATA,atencion odontologica,primera consulta,2013-01-01,30,65,30,65,95
TOLEDO,atencion odontologica,primera consulta,2013-01-01,32,50,32,50,82
TOMAVE,atencion odontologica,primera consulta,2013-01-01,42,61,42,61,103
TOMINA,atencion odontologica,primera consulta,2013-01-01,144,180,144,180,324
TORO TORO,atencion odontologica,primera consulta,2013-01-01,48,115,48,115,163
TOTORA(CBBA),atencion odontologica,primera consulta,2013-01-01,49,104,49,104,153
TOTORA(ORR),atencion odontologica,primera consulta,2013-01-01,1,2,1,2,3
TRIGAL,atencion odontologica,primera consulta,2013-01-01,23,21,23,21,44
TRINIDAD,atencion odontologica,primera consulta,2013-01-01,590,948,590,948,1538
TUPIZA,atencion odontologica,primera consulta,2013-01-01,212,309,212,309,521
TURCO,atencion odontologica,primera consulta,2013-01-01,4,7,4,7,11
UMALA,atencion odontologica,primera consulta,2013-01-01,24,25,24,25,49
UNCIA,atencion odontologica,primera consulta,2013-01-01,103,147,103,147,250
URIONDO (A. CONCEPCION),atencion odontologica,primera consulta,2013-01-01,187,363,187,363,550
URUBICHA,atencion odontologica,primera consulta,2013-01-01,17,38,17,38,55
UYUNI,atencion odontologica,primera consulta,2013-01-01,136,177,136,177,313
VACAS,atencion odontologica,primera consulta,2013-01-01,52,67,52,67,119
VALLEGRANDE,atencion odontologica,primera consulta,2013-01-01,169,183,169,183,352
VIACHA,atencion odontologica,primera consulta,2013-01-01,241,306,241,306,547
VILLA CHARCAS,atencion odontologica,primera consulta,2013-01-01,26,44,26,44,70
VILLA MONTES,atencion odontologica,primera consulta,2013-01-01,464,798,464,798,1262
VILLA NUEVA (LOMA ALTA),atencion odontologica,primera consulta,2013-01-01,61,114,61,114,175
VILLA SERRANO,atencion odontologica,primera consulta,2013-01-01,87,123,87,123,210
VILLA TUNARI,atencion odontologica,primera consulta,2013-01-01,154,338,154,338,492
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,primera consulta,2013-01-01,54,59,54,59,113
VILLAZON,atencion odontologica,primera consulta,2013-01-01,169,230,169,230,399
VINTO,atencion odontologica,primera consulta,2013-01-01,52,87,52,87,139
VITICHI,atencion odontologica,primera consulta,2013-01-01,37,42,37,42,79
WALDO BALLIVIAN,atencion odontologica,primera consulta,2013-01-01,4,13,4,13,17
WARNES,atencion odontologica,primera consulta,2013-01-01,41,91,41,91,132
YACO,atencion odontologica,primera consulta,2013-01-01,35,39,35,39,74
YACUIBA,atencion odontologica,primera consulta,2013-01-01,415,703,415,703,1118
YAMPARAEZ,atencion odontologica,primera consulta,2013-01-01,65,117,65,117,182
YANACACHI,atencion odontologica,primera consulta,2013-01-01,28,21,28,21,49
YAPACANI,atencion odontologica,primera consulta,2013-01-01,24,69,24,69,93
YOTALA,atencion odontologica,primera consulta,2013-01-01,57,142,57,142,199
YUNCHARA,atencion odontologica,primera consulta,2013-01-01,66,118,66,118,184
ZUDAÑEZ,atencion odontologica,primera consulta,2013-01-01,25,42,25,42,67
ACACIO,atencion odontologica,primera consulta,2013-02-01,13,23,13,23,36
ACHACACHI,atencion odontologica,primera consulta,2013-02-01,219,292,219,292,511
ACHOCALLA,atencion odontologica,primera consulta,2013-02-01,53,88,53,88,141
AIQUILE,atencion odontologica,primera consulta,2013-02-01,31,119,31,119,150
ALALAY,atencion odontologica,primera consulta,2013-02-01,5,12,5,12,17
ALCALA,atencion odontologica,primera consulta,2013-02-01,35,65,35,65,100
ALTO BENI,atencion odontologica,primera consulta,2013-02-01,24,23,24,23,47
ANCORAIMES,atencion odontologica,primera consulta,2013-02-01,12,15,12,15,27
ANDAMARCA,atencion odontologica,primera consulta,2013-02-01,18,19,18,19,37
ANTEQUERA,atencion odontologica,primera consulta,2013-02-01,21,31,21,31,52
ANZALDO,atencion odontologica,primera consulta,2013-02-01,17,22,17,22,39
APOLO,atencion odontologica,primera consulta,2013-02-01,19,51,19,51,70
ARAMPAMPA,atencion odontologica,primera consulta,2013-02-01,5,5,5,5,10
ARANI,atencion odontologica,primera consulta,2013-02-01,37,49,37,49,86
ARBIETO,atencion odontologica,primera consulta,2013-02-01,26,48,26,48,74
ARQUE,atencion odontologica,primera consulta,2013-02-01,13,34,13,34,47
ASCENCION DE GUARAYOS,atencion odontologica,primera consulta,2013-02-01,14,31,14,31,45
ATOCHA,atencion odontologica,primera consulta,2013-02-01,223,264,223,264,487
AYATA,atencion odontologica,primera consulta,2013-02-01,37,53,37,53,90
AYO AYO,atencion odontologica,primera consulta,2013-02-01,16,27,16,27,43
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,primera consulta,2013-02-01,60,99,60,99,159
AZURDUY,atencion odontologica,primera consulta,2013-02-01,13,35,13,35,48
BATALLAS,atencion odontologica,primera consulta,2013-02-01,38,63,38,63,101
BELEN DE ANDAMARCA,atencion odontologica,primera consulta,2013-02-01,7,3,7,3,10
BELEN DE URMIRI,atencion odontologica,primera consulta,2013-02-01,3,10,3,10,13
BELLA FLOR,atencion odontologica,primera consulta,2013-02-01,34,36,34,36,70
BERMEJO,atencion odontologica,primera consulta,2013-02-01,162,305,162,305,467
BETANZOS,atencion odontologica,primera consulta,2013-02-01,74,83,74,83,157
BOLIVAR,atencion odontologica,primera consulta,2013-02-01,25,30,25,30,55
BOLPEBRA,atencion odontologica,primera consulta,2013-02-01,19,25,19,25,44
BOYUIBE,atencion odontologica,primera consulta,2013-02-01,15,23,15,23,38
BUENA VISTA,atencion odontologica,primera consulta,2013-02-01,14,27,14,27,41
CABEZAS,atencion odontologica,primera consulta,2013-02-01,104,126,104,126,230
CAIROMA,atencion odontologica,primera consulta,2013-02-01,37,38,37,38,75
