,group,variable,month,RESTAURACIONES CANTIDAD,RESTAURACIONES CANTIDAD,TOTALES,TOTALES,TOTALES
CHIMORE,atencion odontologica,restauraciones,2011-01-01,41,118,41,118,159
CHIPAYA,atencion odontologica,restauraciones,2011-01-01,0,2,0,2,2
CHOQUE COTA,atencion odontologica,restauraciones,2011-01-01,16,7,16,7,23
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,restauraciones,2011-01-01,24,99,24,99,123
CHUMA,atencion odontologica,restauraciones,2011-01-01,19,32,19,32,51
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,restauraciones,2011-01-01,12,41,12,41,53
CKOCHAS,atencion odontologica,restauraciones,2011-01-01,9,8,9,8,17
CLIZA,atencion odontologica,restauraciones,2011-01-01,131,212,131,212,343
COBIJA,atencion odontologica,restauraciones,2011-01-01,96,194,96,194,290
COCAPATA,atencion odontologica,restauraciones,2011-01-01,4,0,4,0,4
COCHABAMBA,atencion odontologica,restauraciones,2011-01-01,2872,4263,2872,4263,7135
COIPASA,atencion odontologica,restauraciones,2011-01-01,10,17,10,17,27
COLCAPIRHUA,atencion odontologica,restauraciones,2011-01-01,173,260,173,260,433
"COLCHA ""K""",atencion odontologica,restauraciones,2011-01-01,17,38,17,38,55
COLLANA,atencion odontologica,restauraciones,2011-01-01,3,9,3,9,12
COLOMI,atencion odontologica,restauraciones,2011-01-01,6,49,6,49,55
COLPA BELGICA,atencion odontologica,restauraciones,2011-01-01,15,13,15,13,28
COLQUECHACA,atencion odontologica,restauraciones,2011-01-01,29,44,29,44,73
COLQUENCHA,atencion odontologica,restauraciones,2011-01-01,7,39,7,39,46
COLQUIRI,atencion odontologica,restauraciones,2011-01-01,13,20,13,20,33
COMANCHE,atencion odontologica,restauraciones,2011-01-01,5,22,5,22,27
COMARAPA,atencion odontologica,restauraciones,2011-01-01,61,114,61,114,175
CONCEPCION,atencion odontologica,restauraciones,2011-01-01,53,62,53,62,115
COPACABANA,atencion odontologica,restauraciones,2011-01-01,9,24,9,24,33
CORIPATA,atencion odontologica,restauraciones,2011-01-01,3,2,3,2,5
CORO CORO,atencion odontologica,restauraciones,2011-01-01,13,12,13,12,25
COROICO,atencion odontologica,restauraciones,2011-01-01,27,49,27,49,76
CORQUE,atencion odontologica,restauraciones,2011-01-01,16,30,16,30,46
COTAGAITA,atencion odontologica,restauraciones,2011-01-01,149,241,149,241,390
COTOCA,atencion odontologica,restauraciones,2011-01-01,17,90,17,90,107
CUATRO CAÑADAS,atencion odontologica,restauraciones,2011-01-01,20,68,20,68,88
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,restauraciones,2011-01-01,6,13,6,13,19
CUEVO,atencion odontologica,restauraciones,2011-01-01,6,23,6,23,29
CULPINA,atencion odontologica,restauraciones,2011-01-01,9,19,9,19,28
CURAHUARA DE CARANGAS,atencion odontologica,restauraciones,2011-01-01,19,36,19,36,55
DESAGUADERO,atencion odontologica,restauraciones,2011-01-01,9,16,9,16,25
EL ALTO,atencion odontologica,restauraciones,2011-01-01,3494,5180,3494,5180,8674
EL CHORO,atencion odontologica,restauraciones,2011-01-01,14,22,14,22,36
EL PUENTE(STC),atencion odontologica,restauraciones,2011-01-01,3,7,3,7,10
EL PUENTE(TJA),atencion odontologica,restauraciones,2011-01-01,13,71,13,71,84
EL TORNO,atencion odontologica,restauraciones,2011-01-01,74,171,74,171,245
EL VILLAR,atencion odontologica,restauraciones,2011-01-01,25,20,25,20,45
ENTRE RIOS TRJ,atencion odontologica,restauraciones,2011-01-01,32,115,32,115,147
ENTRE RIOS CBBA,atencion odontologica,restauraciones,2011-01-01,37,57,37,57,94
ESCOMA,atencion odontologica,restauraciones,2011-01-01,54,61,54,61,115
EUCALIPTUS,atencion odontologica,restauraciones,2011-01-01,17,21,17,21,38
FERNANDEZ ALONSO,atencion odontologica,restauraciones,2011-01-01,72,62,72,62,134
FILADELFIA,atencion odontologica,restauraciones,2011-01-01,4,2,4,2,6
GENERAL SAAVEDRA,atencion odontologica,restauraciones,2011-01-01,6,13,6,13,19
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,restauraciones,2011-01-01,14,48,14,48,62
GUANAY,atencion odontologica,restauraciones,2011-01-01,56,108,56,108,164
GUAQUI,atencion odontologica,restauraciones,2011-01-01,18,35,18,35,53
GUAYARAMERIN,atencion odontologica,restauraciones,2011-01-01,148,236,148,236,384
GUTIERREZ,atencion odontologica,restauraciones,2011-01-01,14,40,14,40,54
HUACARETA,atencion odontologica,restauraciones,2011-01-01,12,48,12,48,60
HUACHACALLA,atencion odontologica,restauraciones,2011-01-01,8,10,8,10,18
HUANUNI,atencion odontologica,restauraciones,2011-01-01,22,56,22,56,78
HUARACAJE,atencion odontologica,restauraciones,2011-01-01,14,19,14,19,33
HUARINA,atencion odontologica,restauraciones,2011-01-01,16,7,16,7,23
HUAYLLAMARCA,atencion odontologica,restauraciones,2011-01-01,22,22,22,22,44
HUMANATA,atencion odontologica,restauraciones,2011-01-01,10,26,10,26,36
ICHOCA,atencion odontologica,restauraciones,2011-01-01,0,1,0,1,1
ICLA,atencion odontologica,restauraciones,2011-01-01,43,38,43,38,81
INCAHUASI,atencion odontologica,restauraciones,2011-01-01,14,15,14,15,29
INQUISIVI,atencion odontologica,restauraciones,2011-01-01,6,26,6,26,32
IRUPANA (VILLA DE LANZA),atencion odontologica,restauraciones,2011-01-01,31,48,31,48,79
IXIAMAS,atencion odontologica,restauraciones,2011-01-01,15,22,15,22,37
JESUS DE MACHACA,atencion odontologica,restauraciones,2011-01-01,32,31,32,31,63
LA ASUNTA,atencion odontologica,restauraciones,2011-01-01,25,40,25,40,65
LA GUARDIA,atencion odontologica,restauraciones,2011-01-01,71,147,71,147,218
LA PAZ,atencion odontologica,restauraciones,2011-01-01,5990,6278,5990,6278,12268
LAGUNILLAS,atencion odontologica,restauraciones,2011-01-01,3,6,3,6,9
LAJA,atencion odontologica,restauraciones,2011-01-01,19,17,19,17,36
LAS CARRERAS,atencion odontologica,restauraciones,2011-01-01,8,9,8,9,17
LICOMA PAMPA,atencion odontologica,restauraciones,2011-01-01,6,18,6,18,24
LLALLAGUA,atencion odontologica,restauraciones,2011-01-01,77,154,77,154,231
LLICA,atencion odontologica,restauraciones,2011-01-01,6,17,6,17,23
LURIBAY,atencion odontologica,restauraciones,2011-01-01,5,17,5,17,22
MACHACAMARCA,atencion odontologica,restauraciones,2011-01-01,27,39,27,39,66
MACHARETI,atencion odontologica,restauraciones,2011-01-01,24,39,24,39,63
MAGDALENA,atencion odontologica,restauraciones,2011-01-01,14,20,14,20,34
MAIRANA,atencion odontologica,restauraciones,2011-01-01,15,76,15,76,91
MALLA,atencion odontologica,restauraciones,2011-01-01,0,3,0,3,3
MAPIRI,atencion odontologica,restauraciones,2011-01-01,26,85,26,85,111
MECAPACA,atencion odontologica,restauraciones,2011-01-01,6,16,6,16,22
MINEROS,atencion odontologica,restauraciones,2011-01-01,45,128,45,128,173
MIZQUE,atencion odontologica,restauraciones,2011-01-01,2,64,2,64,66
MOCOMOCO,atencion odontologica,restauraciones,2011-01-01,8,2,8,2,10
MOJOCOYA,atencion odontologica,restauraciones,2011-01-01,7,20,7,20,27
MONTEAGUDO,atencion odontologica,restauraciones,2011-01-01,100,150,100,150,250
MONTERO,atencion odontologica,restauraciones,2011-01-01,146,193,146,193,339
MORO MORO,atencion odontologica,restauraciones,2011-01-01,2,6,2,6,8
MOROCHATA,atencion odontologica,restauraciones,2011-01-01,7,49,7,49,56
OCURI,atencion odontologica,restauraciones,2011-01-01,5,7,5,7,12
OKINAWA,atencion odontologica,restauraciones,2011-01-01,8,36,8,36,44
OMEREQUE,atencion odontologica,restauraciones,2011-01-01,6,5,6,5,11
ORURO,atencion odontologica,restauraciones,2011-01-01,1013,1465,1013,1465,2478
PADCAYA,atencion odontologica,restauraciones,2011-01-01,70,125,70,125,195
PADILLA,atencion odontologica,restauraciones,2011-01-01,68,117,68,117,185
PAILON,atencion odontologica,restauraciones,2011-01-01,44,173,44,173,217
PALCA,atencion odontologica,restauraciones,2011-01-01,9,19,9,19,28
PALOS BLANCOS,atencion odontologica,restauraciones,2011-01-01,43,57,43,57,100
PAMPA AULLAGAS,atencion odontologica,restauraciones,2011-01-01,12,10,12,10,22
PAMPA GRANDE,atencion odontologica,restauraciones,2011-01-01,0,14,0,14,14
PAPEL PAMPA,atencion odontologica,restauraciones,2011-01-01,0,13,0,13,13
PASORAPA,atencion odontologica,restauraciones,2011-01-01,8,42,8,42,50
PATACAMAYA,atencion odontologica,restauraciones,2011-01-01,17,36,17,36,53
PAZÑA,atencion odontologica,restauraciones,2011-01-01,19,36,19,36,55
PELECHUCO,atencion odontologica,restauraciones,2011-01-01,5,42,5,42,47
POCOATA,atencion odontologica,restauraciones,2011-01-01,8,39,8,39,47
POCONA,atencion odontologica,restauraciones,2011-01-01,24,21,24,21,45
POJO (CBBA),atencion odontologica,restauraciones,2011-01-01,34,77,34,77,111
POOPO,atencion odontologica,restauraciones,2011-01-01,21,58,21,58,79
PORCO,atencion odontologica,restauraciones,2011-01-01,8,34,8,34,42
POROMA,atencion odontologica,restauraciones,2011-01-01,5,14,5,14,19
PORONGO,atencion odontologica,restauraciones,2011-01-01,6,7,6,7,13
PORTACHUELO,atencion odontologica,restauraciones,2011-01-01,83,184,83,184,267
PORVENIR,atencion odontologica,restauraciones,2011-01-01,17,33,17,33,50
POSTRER VALLE,atencion odontologica,restauraciones,2011-01-01,6,21,6,21,27
POTOSI,atencion odontologica,restauraciones,2011-01-01,673,1050,673,1050,1723
PRESTO,atencion odontologica,restauraciones,2011-01-01,1,4,1,4,5
PUCARA,atencion odontologica,restauraciones,2011-01-01,6,6,6,6,12
PUCARANI,atencion odontologica,restauraciones,2011-01-01,13,44,13,44,57
PUERTO ACOSTA,atencion odontologica,restauraciones,2011-01-01,21,13,21,13,34
PUERTO CARABUCO,atencion odontologica,restauraciones,2011-01-01,4,10,4,10,14
PUERTO GONZALO MORENO,atencion odontologica,restauraciones,2011-01-01,22,69,22,69,91
PUERTO QUIJARRO,atencion odontologica,restauraciones,2011-01-01,23,45,23,45,68
PUERTO RICO,atencion odontologica,restauraciones,2011-01-01,11,36,11,36,47
PUERTO SUAREZ,atencion odontologica,restauraciones,2011-01-01,15,62,15,62,77
PUERTO VILLARROEL,atencion odontologica,restauraciones,2011-01-01,170,244,170,244,414
PUNA,atencion odontologica,restauraciones,2011-01-01,17,33,17,33,50
PUNATA,atencion odontologica,restauraciones,2011-01-01,81,164,81,164,245
QUIABAYA,atencion odontologica,restauraciones,2011-01-01,2,13,2,13,15
QUILLACOLLO,atencion odontologica,restauraciones,2011-01-01,233,417,233,417,650
QUIME,atencion odontologica,restauraciones,2011-01-01,25,51,25,51,76
QUIRUSILLAS,atencion odontologica,restauraciones,2011-01-01,10,24,10,24,34
RAVELO,atencion odontologica,restauraciones,2011-01-01,1,20,1,20,21
REYES,atencion odontologica,restauraciones,2011-01-01,16,34,16,34,50
RIBERALTA,atencion odontologica,restauraciones,2011-01-01,76,65,76,65,141
ROBORE,atencion odontologica,restauraciones,2011-01-01,26,82,26,82,108
RURRENABAQUE,atencion odontologica,restauraciones,2011-01-01,3,1,3,1,4
SABAYA,atencion odontologica,restauraciones,2011-01-01,19,26,19,26,45
SACABA,atencion odontologica,restauraciones,2011-01-01,603,1281,603,1281,1884
SACABAMBA,atencion odontologica,restauraciones,2011-01-01,2,11,2,11,13
SACACA,atencion odontologica,restauraciones,2011-01-01,15,34,15,34,49
SAIPINA,atencion odontologica,restauraciones,2011-01-01,12,43,12,43,55
SALINAS DE GARCI MENDOZA,atencion odontologica,restauraciones,2011-01-01,49,88,49,88,137
SAMAIPATA,atencion odontologica,restauraciones,2011-01-01,25,34,25,34,59
SAN AGUSTIN,atencion odontologica,restauraciones,2011-01-01,0,4,0,4,4
SAN ANDRES,atencion odontologica,restauraciones,2011-01-01,6,4,6,4,10
SAN ANDRES DE MACHACA,atencion odontologica,restauraciones,2011-01-01,9,32,9,32,41
SAN ANTONIO DE LOMERIO,atencion odontologica,restauraciones,2011-01-01,12,18,12,18,30
SAN BENITO,atencion odontologica,restauraciones,2011-01-01,104,88,104,88,192
SAN BORJA,atencion odontologica,restauraciones,2011-01-01,61,108,61,108,169
SAN BUENA VENTURA,atencion odontologica,restauraciones,2011-01-01,4,7,4,7,11
SAN CARLOS,atencion odontologica,restauraciones,2011-01-01,59,101,59,101,160
SAN IGNACIO,atencion odontologica,restauraciones,2011-01-01,104,239,104,239,343
SAN IGNACIO DE VELASCO,atencion odontologica,restauraciones,2011-01-01,36,68,36,68,104
SAN JAVIER(BNI),atencion odontologica,restauraciones,2011-01-01,7,8,7,8,15
SAN JAVIER(STC),atencion odontologica,restauraciones,2011-01-01,8,20,8,20,28
SAN JOAQUIN,atencion odontologica,restauraciones,2011-01-01,13,10,13,10,23
SAN JOSE DE CHIQUITOS,atencion odontologica,restauraciones,2011-01-01,32,66,32,66,98
SAN JUAN DE YAPACANI,atencion odontologica,restauraciones,2011-01-01,19,42,19,42,61
SAN JULIAN,atencion odontologica,restauraciones,2011-01-01,53,81,53,81,134
SAN LORENZO(PND),atencion odontologica,restauraciones,2011-01-01,1,5,1,5,6
SAN LORENZO(TJA),atencion odontologica,restauraciones,2011-01-01,86,133,86,133,219
SAN LUCAS,atencion odontologica,restauraciones,2011-01-01,18,23,18,23,41
SAN MATIAS,atencion odontologica,restauraciones,2011-01-01,55,26,55,26,81
SAN MIGUEL DE VELASCO,atencion odontologica,restauraciones,2011-01-01,31,90,31,90,121
SAN PEDRO,atencion odontologica,restauraciones,2011-01-01,66,104,66,104,170
SAN PEDRO DE BUENA VISTA,atencion odontologica,restauraciones,2011-01-01,14,38,14,38,52
SAN PEDRO DE CURAHUARA,atencion odontologica,restauraciones,2011-01-01,13,12,13,12,25
SAN PEDRO DE TIQUINA,atencion odontologica,restauraciones,2011-01-01,4,7,4,7,11
SAN RAFAEL,atencion odontologica,restauraciones,2011-01-01,9,36,9,36,45
SAN RAMON BENI,atencion odontologica,restauraciones,2011-01-01,3,10,3,10,13
SAN RAMON SCZ,atencion odontologica,restauraciones,2011-01-01,8,45,8,45,53
SANTA ANA,atencion odontologica,restauraciones,2011-01-01,17,225,17,225,242
SANTA CRUZ DE LA SIERRA,atencion odontologica,restauraciones,2011-01-01,2331,3632,2331,3632,5963
SANTA ROSA,atencion odontologica,restauraciones,2011-01-01,47,87,47,87,134
SANTA ROSA DEL SARA,atencion odontologica,restauraciones,2011-01-01,11,43,11,43,54
SANTIAGO DE CALLAPA,atencion odontologica,restauraciones,2011-01-01,4,10,4,10,14
SANTIAGO DE HUARI,atencion odontologica,restauraciones,2011-01-01,74,139,74,139,213
SANTIAGO DE MACHACA,atencion odontologica,restauraciones,2011-01-01,10,39,10,39,49
SANTIVAÑES,atencion odontologica,restauraciones,2011-01-01,18,24,18,24,42
SANTUARIO DE QUILLACAS,atencion odontologica,restauraciones,2011-01-01,13,14,13,14,27
SAPAHAQUI,atencion odontologica,restauraciones,2011-01-01,11,14,11,14,25
SENA,atencion odontologica,restauraciones,2011-01-01,1,1,1,1,2
SHINAOTA,atencion odontologica,restauraciones,2011-01-01,18,24,18,24,42
SICA SICA (VILLA AROMA),atencion odontologica,restauraciones,2011-01-01,34,42,34,42,76
SICAYA,atencion odontologica,restauraciones,2011-01-01,6,8,6,8,14
SIPE SIPE,atencion odontologica,restauraciones,2011-01-01,115,278,115,278,393
SOPACHUY,atencion odontologica,restauraciones,2011-01-01,22,45,22,45,67
SORACACHI,atencion odontologica,restauraciones,2011-01-01,6,9,6,9,15
SORATA,atencion odontologica,restauraciones,2011-01-01,41,98,41,98,139
SUCRE,atencion odontologica,restauraciones,2011-01-01,1911,3230,1911,3230,5141
TACACOMA,atencion odontologica,restauraciones,2011-01-01,16,34,16,34,50
TACOPAYA,atencion odontologica,restauraciones,2011-01-01,0,11,0,11,11
TAHUA,atencion odontologica,restauraciones,2011-01-01,2,4,2,4,6
TAPACARI,atencion odontologica,restauraciones,2011-01-01,16,34,16,34,50
TARABUCO,atencion odontologica,restauraciones,2011-01-01,34,37,34,37,71
TARACO,atencion odontologica,restauraciones,2011-01-01,22,16,22,16,38
TARATA,atencion odontologica,restauraciones,2011-01-01,33,85,33,85,118
TARIJA,atencion odontologica,restauraciones,2011-01-01,1081,1250,1081,1250,2331
TARVITA,atencion odontologica,restauraciones,2011-01-01,11,51,11,51,62
TEOPONTE,atencion odontologica,restauraciones,2011-01-01,7,22,7,22,29
TIAWANACU,atencion odontologica,restauraciones,2011-01-01,10,34,10,34,44
TINGUIPAYA,atencion odontologica,restauraciones,2011-01-01,4,9,4,9,13
TIPUANI,atencion odontologica,restauraciones,2011-01-01,9,30,9,30,39
TIQUIPAYA,atencion odontologica,restauraciones,2011-01-01,362,669,362,669,1031
TIRAQUE (CBBA),atencion odontologica,restauraciones,2011-01-01,22,50,22,50,72
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,restauraciones,2011-01-01,4,6,4,6,10
TOCO,atencion odontologica,restauraciones,2011-01-01,19,38,19,38,57
TOLATA,atencion odontologica,restauraciones,2011-01-01,24,48,24,48,72
TOLEDO,atencion odontologica,restauraciones,2011-01-01,35,57,35,57,92
TOMAVE,atencion odontologica,restauraciones,2011-01-01,31,21,31,21,52
TOMINA,atencion odontologica,restauraciones,2011-01-01,20,29,20,29,49
TORO TORO,atencion odontologica,restauraciones,2011-01-01,1,18,1,18,19
TOTORA(CBBA),atencion odontologica,restauraciones,2011-01-01,26,60,26,60,86
TOTORA(ORR),atencion odontologica,restauraciones,2011-01-01,1,3,1,3,4
TRIGAL,atencion odontologica,restauraciones,2011-01-01,6,17,6,17,23
TRINIDAD,atencion odontologica,restauraciones,2011-01-01,282,526,282,526,808
TUPIZA,atencion odontologica,restauraciones,2011-01-01,150,181,150,181,331
TURCO,atencion odontologica,restauraciones,2011-01-01,37,44,37,44,81
UMALA,atencion odontologica,restauraciones,2011-01-01,0,2,0,2,2
UNCIA,atencion odontologica,restauraciones,2011-01-01,55,57,55,57,112
URIONDO (A. CONCEPCION),atencion odontologica,restauraciones,2011-01-01,49,173,49,173,222
URUBICHA,atencion odontologica,restauraciones,2011-01-01,3,16,3,16,19
UYUNI,atencion odontologica,restauraciones,2011-01-01,66,105,66,105,171
VACAS,atencion odontologica,restauraciones,2011-01-01,13,19,13,19,32
VALLEGRANDE,atencion odontologica,restauraciones,2011-01-01,95,162,95,162,257
VIACHA,atencion odontologica,restauraciones,2011-01-01,58,28,58,28,86
VILA VILA,atencion odontologica,restauraciones,2011-01-01,5,4,5,4,9
VILLA MONTES,atencion odontologica,restauraciones,2011-01-01,165,250,165,250,415
VILLA NUEVA (LOMA ALTA),atencion odontologica,restauraciones,2011-01-01,5,2,5,2,7
VILLA RIVERO,atencion odontologica,restauraciones,2011-01-01,19,81,19,81,100
VILLA SERRANO,atencion odontologica,restauraciones,2011-01-01,25,78,25,78,103
VILLA TUNARI,atencion odontologica,restauraciones,2011-01-01,211,441,211,441,652
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,restauraciones,2011-01-01,9,45,9,45,54
VILLAZON,atencion odontologica,restauraciones,2011-01-01,77,174,77,174,251
VINTO,atencion odontologica,restauraciones,2011-01-01,43,73,43,73,116
VITICHI,atencion odontologica,restauraciones,2011-01-01,6,39,6,39,45
WALDO BALLIVIAN,atencion odontologica,restauraciones,2011-01-01,4,7,4,7,11
WARNES,atencion odontologica,restauraciones,2011-01-01,50,91,50,91,141
YACO,atencion odontologica,restauraciones,2011-01-01,0,1,0,1,1
YACUIBA,atencion odontologica,restauraciones,2011-01-01,168,372,168,372,540
YAMPARAEZ,atencion odontologica,restauraciones,2011-01-01,7,7,7,7,14
YANACACHI,atencion odontologica,restauraciones,2011-01-01,9,23,9,23,32
YAPACANI,atencion odontologica,restauraciones,2011-01-01,63,204,63,204,267
YOTALA,atencion odontologica,restauraciones,2011-01-01,51,114,51,114,165
YUNCHARA,atencion odontologica,restauraciones,2011-01-01,1,11,1,11,12
ZUDAÑEZ,atencion odontologica,restauraciones,2011-01-01,7,10,7,10,17
ACACIO,atencion odontologica,restauraciones,2011-02-01,4,5,4,5,9
ACHACACHI,atencion odontologica,restauraciones,2011-02-01,52,68,52,68,120
ACHOCALLA,atencion odontologica,restauraciones,2011-02-01,30,29,30,29,59
AIQUILE,atencion odontologica,restauraciones,2011-02-01,57,88,57,88,145
ALCALA,atencion odontologica,restauraciones,2011-02-01,26,44,26,44,70
ALTO BENI,atencion odontologica,restauraciones,2011-02-01,7,26,7,26,33
ANCORAIMES,atencion odontologica,restauraciones,2011-02-01,2,14,2,14,16
ANDAMARCA,atencion odontologica,restauraciones,2011-02-01,5,15,5,15,20
ANTEQUERA,atencion odontologica,restauraciones,2011-02-01,5,30,5,30,35
ANZALDO,atencion odontologica,restauraciones,2011-02-01,10,29,10,29,39
APOLO,atencion odontologica,restauraciones,2011-02-01,16,57,16,57,73
ARAMPAMPA,atencion odontologica,restauraciones,2011-02-01,5,12,5,12,17
ARANI,atencion odontologica,restauraciones,2011-02-01,43,106,43,106,149
ARBIETO,atencion odontologica,restauraciones,2011-02-01,32,41,32,41,73
ARQUE,atencion odontologica,restauraciones,2011-02-01,13,21,13,21,34
ASCENCION DE GUARAYOS,atencion odontologica,restauraciones,2011-02-01,9,36,9,36,45
ATOCHA,atencion odontologica,restauraciones,2011-02-01,134,187,134,187,321
AYATA,atencion odontologica,restauraciones,2011-02-01,5,33,5,33,38
AYO AYO,atencion odontologica,restauraciones,2011-02-01,21,25,21,25,46
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,restauraciones,2011-02-01,32,80,32,80,112
AZURDUY,atencion odontologica,restauraciones,2011-02-01,21,15,21,15,36
BATALLAS,atencion odontologica,restauraciones,2011-02-01,24,36,24,36,60
BAURES,atencion odontologica,restauraciones,2011-02-01,2,5,2,5,7
BELEN DE ANDAMARCA,atencion odontologica,restauraciones,2011-02-01,1,7,1,7,8
BELEN DE URMIRI,atencion odontologica,restauraciones,2011-02-01,2,1,2,1,3
BERMEJO,atencion odontologica,restauraciones,2011-02-01,171,268,171,268,439
BETANZOS,atencion odontologica,restauraciones,2011-02-01,26,78,26,78,104
BOLIVAR,atencion odontologica,restauraciones,2011-02-01,109,0,109,0,109
BOYUIBE,atencion odontologica,restauraciones,2011-02-01,8,14,8,14,22
BUENA VISTA,atencion odontologica,restauraciones,2011-02-01,26,60,26,60,86
CABEZAS,atencion odontologica,restauraciones,2011-02-01,29,50,29,50,79
CAIROMA,atencion odontologica,restauraciones,2011-02-01,12,51,12,51,63
"CAIZA ""D""",atencion odontologica,restauraciones,2011-02-01,3,17,3,17,20
CAJUATA,atencion odontologica,restauraciones,2011-02-01,7,5,7,5,12
CALACOTO,atencion odontologica,restauraciones,2011-02-01,17,10,17,10,27
CALAMARCA,atencion odontologica,restauraciones,2011-02-01,47,77,47,77,124
CAMARGO,atencion odontologica,restauraciones,2011-02-01,43,107,43,107,150
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,restauraciones,2011-02-01,8,4,8,4,12
CAMIRI,atencion odontologica,restauraciones,2011-02-01,78,195,78,195,273
CAPINOTA,atencion odontologica,restauraciones,2011-02-01,99,83,99,83,182
CAQUIAVIRI,atencion odontologica,restauraciones,2011-02-01,5,20,5,20,25
CARACOLLO,atencion odontologica,restauraciones,2011-02-01,35,82,35,82,117
