,group,variable,month,OTRAS ACCIONES CANTIDAD,OTRAS ACCIONES CANTIDAD,TOTALES,TOTALES,TOTALES
COCHABAMBA,atencion odontologica,otras acciones,2011-01-01,1706,2341,1706,2341,4047
COIPASA,atencion odontologica,otras acciones,2011-01-01,2,4,2,4,6
COLCAPIRHUA,atencion odontologica,otras acciones,2011-01-01,110,167,110,167,277
"COLCHA ""K""",atencion odontologica,otras acciones,2011-01-01,2,8,2,8,10
COLLANA,atencion odontologica,otras acciones,2011-01-01,3,7,3,7,10
COLOMI,atencion odontologica,otras acciones,2011-01-01,9,36,9,36,45
COLQUECHACA,atencion odontologica,otras acciones,2011-01-01,23,28,23,28,51
COLQUIRI,atencion odontologica,otras acciones,2011-01-01,119,160,119,160,279
COMANCHE,atencion odontologica,otras acciones,2011-01-01,14,17,14,17,31
COMARAPA,atencion odontologica,otras acciones,2011-01-01,38,69,38,69,107
COMBAYA,atencion odontologica,otras acciones,2011-01-01,5,4,5,4,9
COPACABANA,atencion odontologica,otras acciones,2011-01-01,19,43,19,43,62
CORO CORO,atencion odontologica,otras acciones,2011-01-01,6,4,6,4,10
COROICO,atencion odontologica,otras acciones,2011-01-01,12,18,12,18,30
CORQUE,atencion odontologica,otras acciones,2011-01-01,9,9,9,9,18
COTAGAITA,atencion odontologica,otras acciones,2011-01-01,94,149,94,149,243
CUATRO CAÑADAS,atencion odontologica,otras acciones,2011-01-01,12,75,12,75,87
CUEVO,atencion odontologica,otras acciones,2011-01-01,3,3,3,3,6
CULPINA,atencion odontologica,otras acciones,2011-01-01,31,37,31,37,68
CURAHUARA DE CARANGAS,atencion odontologica,otras acciones,2011-01-01,15,44,15,44,59
DESAGUADERO,atencion odontologica,otras acciones,2011-01-01,3,16,3,16,19
EL ALTO,atencion odontologica,otras acciones,2011-01-01,1728,2478,1728,2478,4206
EL CHORO,atencion odontologica,otras acciones,2011-01-01,9,15,9,15,24
EL PUENTE(STC),atencion odontologica,otras acciones,2011-01-01,4,31,4,31,35
EL PUENTE(TJA),atencion odontologica,otras acciones,2011-01-01,1,8,1,8,9
EL TORNO,atencion odontologica,otras acciones,2011-01-01,10,22,10,22,32
EL VILLAR,atencion odontologica,otras acciones,2011-01-01,2,2,2,2,4
ENTRE RIOS TRJ,atencion odontologica,otras acciones,2011-01-01,20,88,20,88,108
ENTRE RIOS CBBA,atencion odontologica,otras acciones,2011-01-01,5,17,5,17,22
ESCOMA,atencion odontologica,otras acciones,2011-01-01,16,22,16,22,38
EUCALIPTUS,atencion odontologica,otras acciones,2011-01-01,24,47,24,47,71
FERNANDEZ ALONSO,atencion odontologica,otras acciones,2011-01-01,2,2,2,2,4
FILADELFIA,atencion odontologica,otras acciones,2011-01-01,2,2,2,2,4
GENERAL SAAVEDRA,atencion odontologica,otras acciones,2011-01-01,3,9,3,9,12
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,otras acciones,2011-01-01,9,15,9,15,24
GUAQUI,atencion odontologica,otras acciones,2011-01-01,65,73,65,73,138
GUAYARAMERIN,atencion odontologica,otras acciones,2011-01-01,0,2,0,2,2
GUTIERREZ,atencion odontologica,otras acciones,2011-01-01,77,140,77,140,217
HUACARETA,atencion odontologica,otras acciones,2011-01-01,7,18,7,18,25
HUACHACALLA,atencion odontologica,otras acciones,2011-01-01,15,21,15,21,36
HUANUNI,atencion odontologica,otras acciones,2011-01-01,72,111,72,111,183
HUARACAJE,atencion odontologica,otras acciones,2011-01-01,1,2,1,2,3
HUARINA,atencion odontologica,otras acciones,2011-01-01,6,8,6,8,14
HUAYLLAMARCA,atencion odontologica,otras acciones,2011-01-01,17,27,17,27,44
HUMANATA,atencion odontologica,otras acciones,2011-01-01,2,4,2,4,6
ICLA,atencion odontologica,otras acciones,2011-01-01,18,34,18,34,52
INCAHUASI,atencion odontologica,otras acciones,2011-01-01,14,16,14,16,30
INQUISIVI,atencion odontologica,otras acciones,2011-01-01,3,5,3,5,8
IRUPANA (VILLA DE LANZA),atencion odontologica,otras acciones,2011-01-01,15,47,15,47,62
IXIAMAS,atencion odontologica,otras acciones,2011-01-01,28,26,28,26,54
JESUS DE MACHACA,atencion odontologica,otras acciones,2011-01-01,18,28,18,28,46
LA ASUNTA,atencion odontologica,otras acciones,2011-01-01,12,29,12,29,41
LA PAZ,atencion odontologica,otras acciones,2011-01-01,4214,3938,4214,3938,8152
LAJA,atencion odontologica,otras acciones,2011-01-01,5,12,5,12,17
LLALLAGUA,atencion odontologica,otras acciones,2011-01-01,112,198,112,198,310
LLICA,atencion odontologica,otras acciones,2011-01-01,33,73,33,73,106
LURIBAY,atencion odontologica,otras acciones,2011-01-01,20,11,20,11,31
MACHACAMARCA,atencion odontologica,otras acciones,2011-01-01,27,17,27,17,44
MACHARETI,atencion odontologica,otras acciones,2011-01-01,0,1,0,1,1
MAGDALENA,atencion odontologica,otras acciones,2011-01-01,61,36,61,36,97
MAIRANA,atencion odontologica,otras acciones,2011-01-01,23,42,23,42,65
MALLA,atencion odontologica,otras acciones,2011-01-01,0,2,0,2,2
MAPIRI,atencion odontologica,otras acciones,2011-01-01,27,44,27,44,71
MECAPACA,atencion odontologica,otras acciones,2011-01-01,6,10,6,10,16
MINEROS,atencion odontologica,otras acciones,2011-01-01,8,27,8,27,35
MOCOMOCO,atencion odontologica,otras acciones,2011-01-01,4,3,4,3,7
MOJOCOYA,atencion odontologica,otras acciones,2011-01-01,12,15,12,15,27
MONTEAGUDO,atencion odontologica,otras acciones,2011-01-01,21,127,21,127,148
MONTERO,atencion odontologica,otras acciones,2011-01-01,17,27,17,27,44
MOROCHATA,atencion odontologica,otras acciones,2011-01-01,2,6,2,6,8
OCURI,atencion odontologica,otras acciones,2011-01-01,3,12,3,12,15
OMEREQUE,atencion odontologica,otras acciones,2011-01-01,2,0,2,0,2
ORURO,atencion odontologica,otras acciones,2011-01-01,1214,1974,1214,1974,3188
PADCAYA,atencion odontologica,otras acciones,2011-01-01,16,29,16,29,45
PADILLA,atencion odontologica,otras acciones,2011-01-01,3,2,3,2,5
PAILON,atencion odontologica,otras acciones,2011-01-01,1,4,1,4,5
PALCA,atencion odontologica,otras acciones,2011-01-01,25,19,25,19,44
PALOS BLANCOS,atencion odontologica,otras acciones,2011-01-01,14,19,14,19,33
PAMPA AULLAGAS,atencion odontologica,otras acciones,2011-01-01,4,12,4,12,16
PAMPA GRANDE,atencion odontologica,otras acciones,2011-01-01,0,2,0,2,2
PATACAMAYA,atencion odontologica,otras acciones,2011-01-01,32,75,32,75,107
PAZÑA,atencion odontologica,otras acciones,2011-01-01,6,20,6,20,26
PELECHUCO,atencion odontologica,otras acciones,2011-01-01,10,12,10,12,22
POCOATA,atencion odontologica,otras acciones,2011-01-01,0,1,0,1,1
POCONA,atencion odontologica,otras acciones,2011-01-01,20,20,20,20,40
POJO (CBBA),atencion odontologica,otras acciones,2011-01-01,18,62,18,62,80
POOPO,atencion odontologica,otras acciones,2011-01-01,41,89,41,89,130
PORCO,atencion odontologica,otras acciones,2011-01-01,18,67,18,67,85
POROMA,atencion odontologica,otras acciones,2011-01-01,1,2,1,2,3
PORONGO,atencion odontologica,otras acciones,2011-01-01,2,3,2,3,5
PORTACHUELO,atencion odontologica,otras acciones,2011-01-01,36,47,36,47,83
PORVENIR,atencion odontologica,otras acciones,2011-01-01,8,21,8,21,29
POSTRER VALLE,atencion odontologica,otras acciones,2011-01-01,2,4,2,4,6
POTOSI,atencion odontologica,otras acciones,2011-01-01,323,563,323,563,886
PRESTO,atencion odontologica,otras acciones,2011-01-01,3,2,3,2,5
PUCARA,atencion odontologica,otras acciones,2011-01-01,1,7,1,7,8
PUCARANI,atencion odontologica,otras acciones,2011-01-01,25,35,25,35,60
PUERTO ACOSTA,atencion odontologica,otras acciones,2011-01-01,7,2,7,2,9
PUERTO CARABUCO,atencion odontologica,otras acciones,2011-01-01,15,6,15,6,21
PUERTO QUIJARRO,atencion odontologica,otras acciones,2011-01-01,79,116,79,116,195
PUERTO RICO,atencion odontologica,otras acciones,2011-01-01,9,8,9,8,17
PUERTO SUAREZ,atencion odontologica,otras acciones,2011-01-01,3,16,3,16,19
PUERTO VILLARROEL,atencion odontologica,otras acciones,2011-01-01,36,65,36,65,101
PUNA,atencion odontologica,otras acciones,2011-01-01,23,55,23,55,78
PUNATA,atencion odontologica,otras acciones,2011-01-01,52,88,52,88,140
QUIABAYA,atencion odontologica,otras acciones,2011-01-01,3,2,3,2,5
QUILLACOLLO,atencion odontologica,otras acciones,2011-01-01,117,237,117,237,354
QUIME,atencion odontologica,otras acciones,2011-01-01,35,51,35,51,86
RAVELO,atencion odontologica,otras acciones,2011-01-01,13,31,13,31,44
REYES,atencion odontologica,otras acciones,2011-01-01,11,4,11,4,15
RIBERALTA,atencion odontologica,otras acciones,2011-01-01,0,7,0,7,7
ROBORE,atencion odontologica,otras acciones,2011-01-01,14,30,14,30,44
RURRENABAQUE,atencion odontologica,otras acciones,2011-01-01,15,20,15,20,35
SABAYA,atencion odontologica,otras acciones,2011-01-01,46,64,46,64,110
SACABA,atencion odontologica,otras acciones,2011-01-01,318,667,318,667,985
SACABAMBA,atencion odontologica,otras acciones,2011-01-01,4,6,4,6,10
SAIPINA,atencion odontologica,otras acciones,2011-01-01,7,15,7,15,22
SALINAS DE GARCI MENDOZA,atencion odontologica,otras acciones,2011-01-01,33,33,33,33,66
SAMAIPATA,atencion odontologica,otras acciones,2011-01-01,7,26,7,26,33
SAN AGUSTIN,atencion odontologica,otras acciones,2011-01-01,7,6,7,6,13
SAN ANDRES,atencion odontologica,otras acciones,2011-01-01,2,6,2,6,8
SAN ANDRES DE MACHACA,atencion odontologica,otras acciones,2011-01-01,21,24,21,24,45
SAN ANTONIO DE LOMERIO,atencion odontologica,otras acciones,2011-01-01,12,17,12,17,29
SAN BENITO,atencion odontologica,otras acciones,2011-01-01,25,39,25,39,64
SAN BORJA,atencion odontologica,otras acciones,2011-01-01,14,14,14,14,28
SAN BUENA VENTURA,atencion odontologica,otras acciones,2011-01-01,2,1,2,1,3
SAN CARLOS,atencion odontologica,otras acciones,2011-01-01,12,21,12,21,33
SAN IGNACIO,atencion odontologica,otras acciones,2011-01-01,5,6,5,6,11
SAN IGNACIO DE VELASCO,atencion odontologica,otras acciones,2011-01-01,6,8,6,8,14
SAN JOSE DE CHIQUITOS,atencion odontologica,otras acciones,2011-01-01,35,76,35,76,111
SAN JUAN DE YAPACANI,atencion odontologica,otras acciones,2011-01-01,4,7,4,7,11
SAN LORENZO(PND),atencion odontologica,otras acciones,2011-01-01,1,0,1,0,1
SAN LORENZO(TJA),atencion odontologica,otras acciones,2011-01-01,47,84,47,84,131
SAN LUCAS,atencion odontologica,otras acciones,2011-01-01,10,22,10,22,32
SAN MATIAS,atencion odontologica,otras acciones,2011-01-01,4,5,4,5,9
SAN MIGUEL DE VELASCO,atencion odontologica,otras acciones,2011-01-01,39,93,39,93,132
SAN PEDRO,atencion odontologica,otras acciones,2011-01-01,2,6,2,6,8
SAN PEDRO DE BUENA VISTA,atencion odontologica,otras acciones,2011-01-01,14,25,14,25,39
SAN PEDRO DE CURAHUARA,atencion odontologica,otras acciones,2011-01-01,7,9,7,9,16
SAN PEDRO DE TIQUINA,atencion odontologica,otras acciones,2011-01-01,6,3,6,3,9
SAN RAFAEL,atencion odontologica,otras acciones,2011-01-01,0,5,0,5,5
SANTA CRUZ DE LA SIERRA,atencion odontologica,otras acciones,2011-01-01,1764,1491,1764,1491,3255
SANTA ROSA,atencion odontologica,otras acciones,2011-01-01,16,39,16,39,55
SANTA ROSA DEL SARA,atencion odontologica,otras acciones,2011-01-01,8,17,8,17,25
SANTIAGO DE CALLAPA,atencion odontologica,otras acciones,2011-01-01,1,6,1,6,7
SANTIAGO DE HUARI,atencion odontologica,otras acciones,2011-01-01,51,74,51,74,125
SANTIAGO DE MACHACA,atencion odontologica,otras acciones,2011-01-01,7,7,7,7,14
SANTIVAÑES,atencion odontologica,otras acciones,2011-01-01,14,21,14,21,35
SANTUARIO DE QUILLACAS,atencion odontologica,otras acciones,2011-01-01,7,13,7,13,20
SAPAHAQUI,atencion odontologica,otras acciones,2011-01-01,8,9,8,9,17
SENA,atencion odontologica,otras acciones,2011-01-01,1,10,1,10,11
SICA SICA (VILLA AROMA),atencion odontologica,otras acciones,2011-01-01,9,12,9,12,21
SICAYA,atencion odontologica,otras acciones,2011-01-01,4,11,4,11,15
SIPE SIPE,atencion odontologica,otras acciones,2011-01-01,53,71,53,71,124
SOPACHUY,atencion odontologica,otras acciones,2011-01-01,22,55,22,55,77
SORACACHI,atencion odontologica,otras acciones,2011-01-01,47,46,47,46,93
SORATA,atencion odontologica,otras acciones,2011-01-01,53,133,53,133,186
SUCRE,atencion odontologica,otras acciones,2011-01-01,955,1330,955,1330,2285
TACACOMA,atencion odontologica,otras acciones,2011-01-01,7,18,7,18,25
TACOPAYA,atencion odontologica,otras acciones,2011-01-01,5,2,5,2,7
TAHUA,atencion odontologica,otras acciones,2011-01-01,4,2,4,2,6
TAPACARI,atencion odontologica,otras acciones,2011-01-01,7,7,7,7,14
TARABUCO,atencion odontologica,otras acciones,2011-01-01,8,7,8,7,15
TARACO,atencion odontologica,otras acciones,2011-01-01,11,22,11,22,33
TARATA,atencion odontologica,otras acciones,2011-01-01,1,2,1,2,3
TARIJA,atencion odontologica,otras acciones,2011-01-01,528,626,528,626,1154
TIAWANACU,atencion odontologica,otras acciones,2011-01-01,34,44,34,44,78
TINGUIPAYA,atencion odontologica,otras acciones,2011-01-01,6,28,6,28,34
TIQUIPAYA,atencion odontologica,otras acciones,2011-01-01,136,286,136,286,422
TIRAQUE (CBBA),atencion odontologica,otras acciones,2011-01-01,32,69,32,69,101
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,otras acciones,2011-01-01,1,0,1,0,1
TOCO,atencion odontologica,otras acciones,2011-01-01,11,17,11,17,28
TOLATA,atencion odontologica,otras acciones,2011-01-01,49,125,49,125,174
TOLEDO,atencion odontologica,otras acciones,2011-01-01,6,16,6,16,22
TOMAVE,atencion odontologica,otras acciones,2011-01-01,14,33,14,33,47
TOMINA,atencion odontologica,otras acciones,2011-01-01,161,189,161,189,350
TORO TORO,atencion odontologica,otras acciones,2011-01-01,12,24,12,24,36
TOTORA(CBBA),atencion odontologica,otras acciones,2011-01-01,20,127,20,127,147
TOTORA(ORR),atencion odontologica,otras acciones,2011-01-01,3,1,3,1,4
TRINIDAD,atencion odontologica,otras acciones,2011-01-01,30,40,30,40,70
TUPIZA,atencion odontologica,otras acciones,2011-01-01,62,59,62,59,121
TURCO,atencion odontologica,otras acciones,2011-01-01,55,43,55,43,98
URIONDO (A. CONCEPCION),atencion odontologica,otras acciones,2011-01-01,41,102,41,102,143
UYUNI,atencion odontologica,otras acciones,2011-01-01,4,4,4,4,8
VACAS,atencion odontologica,otras acciones,2011-01-01,10,11,10,11,21
VALLEGRANDE,atencion odontologica,otras acciones,2011-01-01,28,28,28,28,56
VIACHA,atencion odontologica,otras acciones,2011-01-01,40,38,40,38,78
VILLA MONTES,atencion odontologica,otras acciones,2011-01-01,33,33,33,33,66
VILLA NUEVA (LOMA ALTA),atencion odontologica,otras acciones,2011-01-01,3,3,3,3,6
VILLA RIVERO,atencion odontologica,otras acciones,2011-01-01,30,44,30,44,74
VILLA SERRANO,atencion odontologica,otras acciones,2011-01-01,16,26,16,26,42
VILLA TUNARI,atencion odontologica,otras acciones,2011-01-01,89,162,89,162,251
VILLAZON,atencion odontologica,otras acciones,2011-01-01,119,187,119,187,306
VINTO,atencion odontologica,otras acciones,2011-01-01,1,8,1,8,9
VITICHI,atencion odontologica,otras acciones,2011-01-01,28,114,28,114,142
WARNES,atencion odontologica,otras acciones,2011-01-01,42,36,42,36,78
YACO,atencion odontologica,otras acciones,2011-01-01,12,8,12,8,20
YACUIBA,atencion odontologica,otras acciones,2011-01-01,37,66,37,66,103
YANACACHI,atencion odontologica,otras acciones,2011-01-01,18,28,18,28,46
YOTALA,atencion odontologica,otras acciones,2011-01-01,47,103,47,103,150
YUNCHARA,atencion odontologica,otras acciones,2011-01-01,2,23,2,23,25
ZUDAÑEZ,atencion odontologica,otras acciones,2011-01-01,6,7,6,7,13
ACACIO,atencion odontologica,otras acciones,2011-02-01,3,2,3,2,5
ACHACACHI,atencion odontologica,otras acciones,2011-02-01,62,64,62,64,126
ACHOCALLA,atencion odontologica,otras acciones,2011-02-01,11,24,11,24,35
ALCALA,atencion odontologica,otras acciones,2011-02-01,14,21,14,21,35
ALTO BENI,atencion odontologica,otras acciones,2011-02-01,6,10,6,10,16
ANCORAIMES,atencion odontologica,otras acciones,2011-02-01,4,8,4,8,12
ANDAMARCA,atencion odontologica,otras acciones,2011-02-01,8,18,8,18,26
ANTEQUERA,atencion odontologica,otras acciones,2011-02-01,40,40,40,40,80
ANZALDO,atencion odontologica,otras acciones,2011-02-01,5,15,5,15,20
APOLO,atencion odontologica,otras acciones,2011-02-01,34,51,34,51,85
ARAMPAMPA,atencion odontologica,otras acciones,2011-02-01,3,4,3,4,7
ARANI,atencion odontologica,otras acciones,2011-02-01,11,9,11,9,20
ARBIETO,atencion odontologica,otras acciones,2011-02-01,1,0,1,0,1
ARQUE,atencion odontologica,otras acciones,2011-02-01,7,6,7,6,13
ASCENCION DE GUARAYOS,atencion odontologica,otras acciones,2011-02-01,0,1,0,1,1
ATOCHA,atencion odontologica,otras acciones,2011-02-01,79,79,79,79,158
AYATA,atencion odontologica,otras acciones,2011-02-01,6,13,6,13,19
AYO AYO,atencion odontologica,otras acciones,2011-02-01,4,9,4,9,13
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,otras acciones,2011-02-01,32,44,32,44,76
AZURDUY,atencion odontologica,otras acciones,2011-02-01,19,38,19,38,57
BATALLAS,atencion odontologica,otras acciones,2011-02-01,1,5,1,5,6
BAURES,atencion odontologica,otras acciones,2011-02-01,1,14,1,14,15
BELEN DE URMIRI,atencion odontologica,otras acciones,2011-02-01,2,6,2,6,8
BERMEJO,atencion odontologica,otras acciones,2011-02-01,144,143,144,143,287
BETANZOS,atencion odontologica,otras acciones,2011-02-01,6,13,6,13,19
BOLIVAR,atencion odontologica,otras acciones,2011-02-01,7,0,7,0,7
BOYUIBE,atencion odontologica,otras acciones,2011-02-01,0,3,0,3,3
BUENA VISTA,atencion odontologica,otras acciones,2011-02-01,3,6,3,6,9
CABEZAS,atencion odontologica,otras acciones,2011-02-01,13,24,13,24,37
CAIROMA,atencion odontologica,otras acciones,2011-02-01,14,37,14,37,51
"CAIZA ""D""",atencion odontologica,otras acciones,2011-02-01,12,42,12,42,54
CALACOTO,atencion odontologica,otras acciones,2011-02-01,2,5,2,5,7
CALAMARCA,atencion odontologica,otras acciones,2011-02-01,63,60,63,60,123
CAMARGO,atencion odontologica,otras acciones,2011-02-01,64,130,64,130,194
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,otras acciones,2011-02-01,37,48,37,48,85
CAMIRI,atencion odontologica,otras acciones,2011-02-01,59,52,59,52,111
CAPINOTA,atencion odontologica,otras acciones,2011-02-01,56,59,56,59,115
CAQUIAVIRI,atencion odontologica,otras acciones,2011-02-01,13,17,13,17,30
CARACOLLO,atencion odontologica,otras acciones,2011-02-01,65,146,65,146,211
CARANAVI,atencion odontologica,otras acciones,2011-02-01,19,45,19,45,64
CARAPARI,atencion odontologica,otras acciones,2011-02-01,6,4,6,4,10
CARIPUYO,atencion odontologica,otras acciones,2011-02-01,18,89,18,89,107
CARMEN RIVERO TORREZ,atencion odontologica,otras acciones,2011-02-01,4,8,4,8,12
CATACORA,atencion odontologica,otras acciones,2011-02-01,0,3,0,3,3
CHACARILLA,atencion odontologica,otras acciones,2011-02-01,4,3,4,3,7
CHALLAPATA,atencion odontologica,otras acciones,2011-02-01,10,15,10,15,25
CHAQUI,atencion odontologica,otras acciones,2011-02-01,3,6,3,6,9
CHARAGUA,atencion odontologica,otras acciones,2011-02-01,4,5,4,5,9
CHAYANTA,atencion odontologica,otras acciones,2011-02-01,23,53,23,53,76
CHIMORE,atencion odontologica,otras acciones,2011-02-01,38,43,38,43,81
CHOQUE COTA,atencion odontologica,otras acciones,2011-02-01,2,4,2,4,6
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,otras acciones,2011-02-01,41,65,41,65,106
CHUMA,atencion odontologica,otras acciones,2011-02-01,19,32,19,32,51
CKOCHAS,atencion odontologica,otras acciones,2011-02-01,11,14,11,14,25
CLIZA,atencion odontologica,otras acciones,2011-02-01,44,184,44,184,228
COBIJA,atencion odontologica,otras acciones,2011-02-01,35,59,35,59,94
COCAPATA,atencion odontologica,otras acciones,2011-02-01,12,13,12,13,25
COCHABAMBA,atencion odontologica,otras acciones,2011-02-01,1736,1936,1736,1936,3672
COIPASA,atencion odontologica,otras acciones,2011-02-01,2,3,2,3,5
COLCAPIRHUA,atencion odontologica,otras acciones,2011-02-01,144,164,144,164,308
"COLCHA ""K""",atencion odontologica,otras acciones,2011-02-01,3,6,3,6,9
COLLANA,atencion odontologica,otras acciones,2011-02-01,8,19,8,19,27
COLOMI,atencion odontologica,otras acciones,2011-02-01,5,19,5,19,24
COLQUECHACA,atencion odontologica,otras acciones,2011-02-01,18,20,18,20,38
COLQUIRI,atencion odontologica,otras acciones,2011-02-01,62,60,62,60,122
COMANCHE,atencion odontologica,otras acciones,2011-02-01,20,25,20,25,45
COMARAPA,atencion odontologica,otras acciones,2011-02-01,41,32,41,32,73
COMBAYA,atencion odontologica,otras acciones,2011-02-01,27,30,27,30,57
CONCEPCION,atencion odontologica,otras acciones,2011-02-01,7,73,7,73,80
COPACABANA,atencion odontologica,otras acciones,2011-02-01,11,22,11,22,33
CORIPATA,atencion odontologica,otras acciones,2011-02-01,32,36,32,36,68
CORO CORO,atencion odontologica,otras acciones,2011-02-01,4,4,4,4,8
CORQUE,atencion odontologica,otras acciones,2011-02-01,1,9,1,9,10
COTAGAITA,atencion odontologica,otras acciones,2011-02-01,88,111,88,111,199
CUATRO CAÑADAS,atencion odontologica,otras acciones,2011-02-01,22,38,22,38,60
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,otras acciones,2011-02-01,1,2,1,2,3
CUEVO,atencion odontologica,otras acciones,2011-02-01,0,1,0,1,1
CULPINA,atencion odontologica,otras acciones,2011-02-01,26,32,26,32,58
CURAHUARA DE CARANGAS,atencion odontologica,otras acciones,2011-02-01,9,29,9,29,38
CURVA,atencion odontologica,otras acciones,2011-02-01,0,1,0,1,1
DESAGUADERO,atencion odontologica,otras acciones,2011-02-01,9,8,9,8,17
EL ALTO,atencion odontologica,otras acciones,2011-02-01,1038,1570,1038,1570,2608
EL CHORO,atencion odontologica,otras acciones,2011-02-01,9,5,9,5,14
EL PUENTE(STC),atencion odontologica,otras acciones,2011-02-01,13,24,13,24,37
EL PUENTE(TJA),atencion odontologica,otras acciones,2011-02-01,3,6,3,6,9
EL TORNO,atencion odontologica,otras acciones,2011-02-01,5,8,5,8,13
EL VILLAR,atencion odontologica,otras acciones,2011-02-01,3,3,3,3,6
ENTRE RIOS TRJ,atencion odontologica,otras acciones,2011-02-01,37,65,37,65,102
ENTRE RIOS CBBA,atencion odontologica,otras acciones,2011-02-01,14,22,14,22,36
ESCOMA,atencion odontologica,otras acciones,2011-02-01,12,13,12,13,25
EUCALIPTUS,atencion odontologica,otras acciones,2011-02-01,23,31,23,31,54
FILADELFIA,atencion odontologica,otras acciones,2011-02-01,11,7,11,7,18
