,group,variable,month,CONSULTAS NUEVAS MENORES DE 5 AÑOS CANTIDAD,CONSULTAS NUEVAS MENORES DE 5 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
CARANAVI,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,27,45,27,45,72
CARAPARI,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,8,10,8,10,18
CARIPUYO,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,47,68,47,68,115
CARMEN RIVERO TORREZ,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,26,31,26,31,57
CATACORA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,5,8,5,8,13
CHACARILLA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,2,2,2,2,4
CHALLAPATA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,86,84,86,84,170
CHAQUI,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,5,3,5,3,8
CHARAGUA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,23,22,23,22,45
CHAYANTA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,14,20,14,20,34
CHIMORE,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,31,34,31,34,65
CHIPAYA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,1,0,1,0,1
CHOQUE COTA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,3,6,3,6,9
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,55,91,55,91,146
CHUMA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,5,5,5,5,10
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,16,16,16,16,32
CKOCHAS,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,7,9,7,9,16
CLIZA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,84,95,84,95,179
COBIJA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,271,284,271,284,555
COCAPATA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,11,0,11,0,11
COCHABAMBA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,1940,1959,1940,1959,3899
COIPASA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,1,4,1,4,5
COLCAPIRHUA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,212,221,212,221,433
"COLCHA ""K""",atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,29,18,29,18,47
COLLANA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,5,5,5,5,10
COLOMI,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,59,66,59,66,125
COLPA BELGICA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,29,28,29,28,57
COLQUECHACA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,80,57,80,57,137
COLQUENCHA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,6,5,6,5,11
COLQUIRI,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,9,0,9,0,9
COMANCHE,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,11,9,11,9,20
COMARAPA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,44,10,44,10,54
COMBAYA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,1,2,1,2,3
CONCEPCION,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,50,55,50,55,105
COPACABANA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,34,79,34,79,113
CORIPATA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,8,11,8,11,19
CORO CORO,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,27,31,27,31,58
COROICO,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,9,10,9,10,19
CORQUE,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,9,20,9,20,29
COTAGAITA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,54,45,54,45,99
COTOCA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,31,25,31,25,56
CUATRO CAÑADAS,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,27,38,27,38,65
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,6,4,6,4,10
CUEVO,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,21,29,21,29,50
CULPINA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,6,0,6,0,6
CURAHUARA DE CARANGAS,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,16,17,16,17,33
DESAGUADERO,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,10,7,10,7,17
EL ALTO,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,1546,1508,1546,1508,3054
EL CHORO,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,5,3,5,3,8
EL PUENTE(STC),atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,1,3,1,3,4
EL PUENTE(TJA),atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,1,1,1,1,2
EL TORNO,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,60,56,60,56,116
EL VILLAR,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,16,14,16,14,30
ENTRE RIOS TRJ,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,1,3,1,3,4
ENTRE RIOS CBBA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,3,7,3,7,10
ESCOMA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,19,27,19,27,46
EUCALIPTUS,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,22,5,22,5,27
FERNANDEZ ALONSO,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,44,12,44,12,56
FILADELFIA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,6,2,6,2,8
GENERAL SAAVEDRA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,28,30,28,30,58
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,16,18,16,18,34
GUANAY,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,49,27,49,27,76
GUAQUI,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,24,10,24,10,34
GUAYARAMERIN,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,73,60,73,60,133
GUTIERREZ,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,59,58,59,58,117
HUACARETA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,0,12,0,12,12
HUACHACALLA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,2,1,2,1,3
HUANUNI,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,61,41,61,41,102
HUARACAJE,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,9,14,9,14,23
HUARINA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,4,5,4,5,9
HUAYLLAMARCA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,10,11,10,11,21
HUMANATA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,9,1,9,1,10
ICLA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,112,117,112,117,229
INCAHUASI,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,16,12,16,12,28
INQUISIVI,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,5,2,5,2,7
IRUPANA (VILLA DE LANZA),atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,30,48,30,48,78
IXIAMAS,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,12,14,12,14,26
JESUS DE MACHACA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,15,15,15,15,30
LA ASUNTA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,19,21,19,21,40
LA GUARDIA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,54,42,54,42,96
LA PAZ,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,2401,2696,2401,2696,5097
LAGUNILLAS,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,3,4,3,4,7
LAJA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,35,15,35,15,50
LAS CARRERAS,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,9,7,9,7,16
LICOMA PAMPA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,8,1,8,1,9
LLALLAGUA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,174,165,174,165,339
LLICA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,8,10,8,10,18
LURIBAY,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,14,12,14,12,26
MACHACAMARCA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,7,4,7,4,11
MACHARETI,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,30,17,30,17,47
MAGDALENA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,39,11,39,11,50
MAIRANA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,34,36,34,36,70
MALLA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,2,0,2,0,2
MAPIRI,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,9,10,9,10,19
MECAPACA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,6,14,6,14,20
MINEROS,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,35,47,35,47,82
MIZQUE,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,36,15,36,15,51
MOCOMOCO,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,1,0,1,0,1
MOJOCOYA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,4,1,4,1,5
MONTEAGUDO,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,41,42,41,42,83
MONTERO,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,196,203,196,203,399
MORO MORO,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,3,9,3,9,12
MOROCHATA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,14,53,14,53,67
OCURI,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,1,3,1,3,4
OKINAWA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,4,8,4,8,12
ORURO,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,799,839,799,839,1638
PADCAYA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,1,3,1,3,4
PADILLA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,6,1,6,1,7
PAILON,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,64,46,64,46,110
PALCA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,21,15,21,15,36
PALOS BLANCOS,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,20,18,20,18,38
PAMPA AULLAGAS,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,4,11,4,11,15
PAMPA GRANDE,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,3,2,3,2,5
PAPEL PAMPA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,0,6,0,6,6
PASORAPA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,5,9,5,9,14
PATACAMAYA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,149,125,149,125,274
PAZÑA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,9,11,9,11,20
PELECHUCO,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,8,32,8,32,40
POCOATA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,20,43,20,43,63
POCONA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,5,20,5,20,25
POJO (CBBA),atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,25,16,25,16,41
POOPO,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,28,39,28,39,67
PORCO,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,31,55,31,55,86
POROMA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,0,1,0,1,1
PORONGO,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,1,10,1,10,11
PORTACHUELO,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,33,28,33,28,61
PORVENIR,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,49,44,49,44,93
POSTRER VALLE,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,8,11,8,11,19
POTOSI,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,545,602,545,602,1147
PRESTO,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,2,4,2,4,6
PUCARA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,3,6,3,6,9
PUCARANI,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,66,50,66,50,116
PUERTO ACOSTA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,16,3,16,3,19
PUERTO CARABUCO,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,2,3,2,3,5
PUERTO GONZALO MORENO,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,12,15,12,15,27
PUERTO PEREZ,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,8,5,8,5,13
PUERTO QUIJARRO,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,35,30,35,30,65
PUERTO RICO,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,46,54,46,54,100
PUERTO SUAREZ,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,22,31,22,31,53
PUERTO VILLARROEL,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,158,130,158,130,288
PUNA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,3,9,3,9,12
PUNATA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,74,59,74,59,133
QUIABAYA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,14,10,14,10,24
QUILLACOLLO,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,317,399,317,399,716
QUIME,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,14,28,14,28,42
QUIRUSILLAS,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,5,6,5,6,11
RAVELO,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,30,62,30,62,92
REYES,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,8,12,8,12,20
RIBERALTA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,63,57,63,57,120
ROBORE,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,0,14,0,14,14
RURRENABAQUE,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,4,2,4,2,6
SABAYA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,3,6,3,6,9
SACABA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,271,295,271,295,566
SACABAMBA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,7,8,7,8,15
SACACA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,5,5,5,5,10
SAIPINA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,7,8,7,8,15
SALINAS DE GARCI MENDOZA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,35,40,35,40,75
SAMAIPATA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,11,20,11,20,31
SAN AGUSTIN,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,0,3,0,3,3
SAN ANDRES,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,3,2,3,2,5
SAN ANDRES DE MACHACA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,10,19,10,19,29
SAN ANTONIO DE LOMERIO,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,3,4,3,4,7
SAN BENITO,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,142,66,142,66,208
SAN BORJA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,21,31,21,31,52
SAN BUENA VENTURA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,3,8,3,8,11
SAN CARLOS,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,30,55,30,55,85
SAN IGNACIO,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,36,33,36,33,69
SAN IGNACIO DE VELASCO,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,18,30,18,30,48
SAN JAVIER(STC),atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,8,9,8,9,17
SAN JOAQUIN,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,11,9,11,9,20
SAN JUAN DE YAPACANI,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,23,29,23,29,52
SAN JULIAN,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,73,65,73,65,138
SAN LORENZO(PND),atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,10,17,10,17,27
SAN LORENZO(TJA),atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,10,26,10,26,36
SAN LUCAS,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,8,11,8,11,19
SAN MATIAS,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,7,5,7,5,12
SAN MIGUEL DE VELASCO,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,9,13,9,13,22
SAN PEDRO,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,35,40,35,40,75
SAN PEDRO DE BUENA VISTA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,33,21,33,21,54
SAN PEDRO DE CURAHUARA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,13,10,13,10,23
SAN PEDRO DE TIQUINA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,1,2,1,2,3
SAN RAFAEL,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,8,18,8,18,26
SAN RAMON BENI,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,0,4,0,4,4
SAN RAMON SCZ,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,51,96,51,96,147
SANTA ANA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,46,97,46,97,143
SANTA CRUZ DE LA SIERRA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,2010,2134,2010,2134,4144
SANTA ROSA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,46,30,46,30,76
SANTA ROSA DEL SARA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,12,17,12,17,29
SANTIAGO DE CALLAPA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,0,6,0,6,6
SANTIAGO DE HUARI,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,33,55,33,55,88
SANTIAGO DE HUATA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,12,3,12,3,15
SANTIAGO DE MACHACA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,10,23,10,23,33
SANTIVAÑES,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,4,7,4,7,11
SANTUARIO DE QUILLACAS,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,21,14,21,14,35
SAPAHAQUI,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,22,15,22,15,37
SENA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,2,0,2,0,2
SICA SICA (VILLA AROMA),atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,22,19,22,19,41
SICAYA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,7,3,7,3,10
SIPE SIPE,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,122,139,122,139,261
SOPACHUY,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,16,24,16,24,40
SORACACHI,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,41,51,41,51,92
SORATA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,33,54,33,54,87
SUCRE,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,605,692,605,692,1297
TACACOMA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,5,6,5,6,11
TACOPAYA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,1,4,1,4,5
TAHUA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,2,4,2,4,6
TAPACARI,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,4,8,4,8,12
TARABUCO,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,60,62,60,62,122
TARACO,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,25,23,25,23,48
TARATA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,22,35,22,35,57
TARIJA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,119,156,119,156,275
TARVITA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,31,30,31,30,61
TEOPONTE,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,2,4,2,4,6
TIAWANACU,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,19,26,19,26,45
TINGUIPAYA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,15,1,15,1,16
TIPUANI,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,6,14,6,14,20
TIQUIPAYA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,593,696,593,696,1289
TIRAQUE (CBBA),atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,23,40,23,40,63
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,0,9,0,9,9
TOCO,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,5,7,5,7,12
TOLATA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,6,20,6,20,26
TOLEDO,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,1,21,1,21,22
TOMAVE,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,18,5,18,5,23
TOMINA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,12,20,12,20,32
TORO TORO,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,0,14,0,14,14
TOTORA(CBBA),atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,22,27,22,27,49
TOTORA(ORR),atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,1,0,1,0,1
TRIGAL,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,20,18,20,18,38
TRINIDAD,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,42,42,42,42,84
TUPIZA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,36,24,36,24,60
TURCO,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,5,10,5,10,15
UMALA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,10,8,10,8,18
UNCIA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,34,22,34,22,56
