,group,variable,month,PRIMERA CONSULTA CANTIDAD,PRIMERA CONSULTA CANTIDAD,TOTALES,TOTALES,TOTALES
CHARAÑA,atencion odontologica,primera consulta,2011-01-01,6,0,6,0,6
CHAYANTA,atencion odontologica,primera consulta,2011-01-01,7,10,7,10,17
CHIMORE,atencion odontologica,primera consulta,2011-01-01,54,77,54,77,131
CHIPAYA,atencion odontologica,primera consulta,2011-01-01,7,8,7,8,15
CHOQUE COTA,atencion odontologica,primera consulta,2011-01-01,26,29,26,29,55
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,primera consulta,2011-01-01,86,134,86,134,220
CHUMA,atencion odontologica,primera consulta,2011-01-01,84,113,84,113,197
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,primera consulta,2011-01-01,25,38,25,38,63
CKOCHAS,atencion odontologica,primera consulta,2011-01-01,20,25,20,25,45
CLIZA,atencion odontologica,primera consulta,2011-01-01,53,99,53,99,152
COBIJA,atencion odontologica,primera consulta,2011-01-01,315,464,315,464,779
COCAPATA,atencion odontologica,primera consulta,2011-01-01,5,13,5,13,18
COCHABAMBA,atencion odontologica,primera consulta,2011-01-01,2693,3438,2693,3438,6131
COLCAPIRHUA,atencion odontologica,primera consulta,2011-01-01,86,138,86,138,224
"COLCHA ""K""",atencion odontologica,primera consulta,2011-01-01,35,35,35,35,70
COLLANA,atencion odontologica,primera consulta,2011-01-01,12,38,12,38,50
COLOMI,atencion odontologica,primera consulta,2011-01-01,50,103,50,103,153
COLPA BELGICA,atencion odontologica,primera consulta,2011-01-01,47,70,47,70,117
COLQUECHACA,atencion odontologica,primera consulta,2011-01-01,83,108,83,108,191
COLQUIRI,atencion odontologica,primera consulta,2011-01-01,150,144,150,144,294
COMANCHE,atencion odontologica,primera consulta,2011-01-01,61,63,61,63,124
COMARAPA,atencion odontologica,primera consulta,2011-01-01,61,109,61,109,170
COMBAYA,atencion odontologica,primera consulta,2011-01-01,8,10,8,10,18
CONCEPCION,atencion odontologica,primera consulta,2011-01-01,1,4,1,4,5
COPACABANA,atencion odontologica,primera consulta,2011-01-01,49,67,49,67,116
CORIPATA,atencion odontologica,primera consulta,2011-01-01,45,41,45,41,86
CORO CORO,atencion odontologica,primera consulta,2011-01-01,52,68,52,68,120
COROICO,atencion odontologica,primera consulta,2011-01-01,79,102,79,102,181
CORQUE,atencion odontologica,primera consulta,2011-01-01,32,32,32,32,64
COTAGAITA,atencion odontologica,primera consulta,2011-01-01,214,298,214,298,512
COTOCA,atencion odontologica,primera consulta,2011-01-01,54,221,54,221,275
CUATRO CAÑADAS,atencion odontologica,primera consulta,2011-01-01,47,101,47,101,148
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,primera consulta,2011-01-01,6,6,6,6,12
CUEVO,atencion odontologica,primera consulta,2011-01-01,23,67,23,67,90
CULPINA,atencion odontologica,primera consulta,2011-01-01,38,49,38,49,87
CURAHUARA DE CARANGAS,atencion odontologica,primera consulta,2011-01-01,2,0,2,0,2
CURVA,atencion odontologica,primera consulta,2011-01-01,3,4,3,4,7
DESAGUADERO,atencion odontologica,primera consulta,2011-01-01,33,54,33,54,87
EL ALTO,atencion odontologica,primera consulta,2011-01-01,3079,3635,3079,3635,6714
EL CHORO,atencion odontologica,primera consulta,2011-01-01,11,17,11,17,28
EL PUENTE(STC),atencion odontologica,primera consulta,2011-01-01,25,44,25,44,69
EL PUENTE(TJA),atencion odontologica,primera consulta,2011-01-01,37,106,37,106,143
EL TORNO,atencion odontologica,primera consulta,2011-01-01,52,118,52,118,170
EL VILLAR,atencion odontologica,primera consulta,2011-01-01,5,8,5,8,13
ENTRE RIOS TRJ,atencion odontologica,primera consulta,2011-01-01,65,149,65,149,214
ENTRE RIOS CBBA,atencion odontologica,primera consulta,2011-01-01,15,18,15,18,33
ESCOMA,atencion odontologica,primera consulta,2011-01-01,125,152,125,152,277
EUCALIPTUS,atencion odontologica,primera consulta,2011-01-01,39,39,39,39,78
FERNANDEZ ALONSO,atencion odontologica,primera consulta,2011-01-01,50,67,50,67,117
FILADELFIA,atencion odontologica,primera consulta,2011-01-01,11,6,11,6,17
GENERAL SAAVEDRA,atencion odontologica,primera consulta,2011-01-01,48,76,48,76,124
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,primera consulta,2011-01-01,71,103,71,103,174
GUANAY,atencion odontologica,primera consulta,2011-01-01,56,96,56,96,152
GUAQUI,atencion odontologica,primera consulta,2011-01-01,97,155,97,155,252
GUAYARAMERIN,atencion odontologica,primera consulta,2011-01-01,162,188,162,188,350
GUTIERREZ,atencion odontologica,primera consulta,2011-01-01,84,128,84,128,212
HUACARETA,atencion odontologica,primera consulta,2011-01-01,27,60,27,60,87
HUACHACALLA,atencion odontologica,primera consulta,2011-01-01,25,70,25,70,95
HUANUNI,atencion odontologica,primera consulta,2011-01-01,78,113,78,113,191
HUARACAJE,atencion odontologica,primera consulta,2011-01-01,5,4,5,4,9
HUARINA,atencion odontologica,primera consulta,2011-01-01,66,37,66,37,103
HUAYLLAMARCA,atencion odontologica,primera consulta,2011-01-01,38,62,38,62,100
HUMANATA,atencion odontologica,primera consulta,2011-01-01,8,7,8,7,15
ICHOCA,atencion odontologica,primera consulta,2011-01-01,8,12,8,12,20
ICLA,atencion odontologica,primera consulta,2011-01-01,146,194,146,194,340
INCAHUASI,atencion odontologica,primera consulta,2011-01-01,34,59,34,59,93
INQUISIVI,atencion odontologica,primera consulta,2011-01-01,23,45,23,45,68
IRUPANA (VILLA DE LANZA),atencion odontologica,primera consulta,2011-01-01,69,105,69,105,174
IXIAMAS,atencion odontologica,primera consulta,2011-01-01,47,49,47,49,96
JESUS DE MACHACA,atencion odontologica,primera consulta,2011-01-01,123,124,123,124,247
LA ASUNTA,atencion odontologica,primera consulta,2011-01-01,73,110,73,110,183
LA GUARDIA,atencion odontologica,primera consulta,2011-01-01,140,223,140,223,363
LA PAZ,atencion odontologica,primera consulta,2011-01-01,3520,5573,3520,5573,9093
LAGUNILLAS,atencion odontologica,primera consulta,2011-01-01,17,33,17,33,50
LAJA,atencion odontologica,primera consulta,2011-01-01,100,151,100,151,251
LAS CARRERAS,atencion odontologica,primera consulta,2011-01-01,32,40,32,40,72
LICOMA PAMPA,atencion odontologica,primera consulta,2011-01-01,15,18,15,18,33
LLALLAGUA,atencion odontologica,primera consulta,2011-01-01,103,166,103,166,269
LLICA,atencion odontologica,primera consulta,2011-01-01,17,30,17,30,47
LURIBAY,atencion odontologica,primera consulta,2011-01-01,8,18,8,18,26
MACHACAMARCA,atencion odontologica,primera consulta,2011-01-01,11,19,11,19,30
MACHARETI,atencion odontologica,primera consulta,2011-01-01,20,45,20,45,65
MAGDALENA,atencion odontologica,primera consulta,2011-01-01,44,33,44,33,77
MAIRANA,atencion odontologica,primera consulta,2011-01-01,30,74,30,74,104
MALLA,atencion odontologica,primera consulta,2011-01-01,10,18,10,18,28
MAPIRI,atencion odontologica,primera consulta,2011-01-01,23,53,23,53,76
MECAPACA,atencion odontologica,primera consulta,2011-01-01,25,10,25,10,35
MINEROS,atencion odontologica,primera consulta,2011-01-01,27,105,27,105,132
MIZQUE,atencion odontologica,primera consulta,2011-01-01,17,51,17,51,68
MOCOMOCO,atencion odontologica,primera consulta,2011-01-01,175,35,175,35,210
MOJOCOYA,atencion odontologica,primera consulta,2011-01-01,31,44,31,44,75
MONTEAGUDO,atencion odontologica,primera consulta,2011-01-01,48,82,48,82,130
MONTERO,atencion odontologica,primera consulta,2011-01-01,372,563,372,563,935
MORO MORO,atencion odontologica,primera consulta,2011-01-01,9,15,9,15,24
MOROCHATA,atencion odontologica,primera consulta,2011-01-01,6,20,6,20,26
OCURI,atencion odontologica,primera consulta,2011-01-01,30,81,30,81,111
OKINAWA,atencion odontologica,primera consulta,2011-01-01,49,100,49,100,149
ORURO,atencion odontologica,primera consulta,2011-01-01,1289,1788,1289,1788,3077
PADCAYA,atencion odontologica,primera consulta,2011-01-01,34,66,34,66,100
PADILLA,atencion odontologica,primera consulta,2011-01-01,88,128,88,128,216
PAILON,atencion odontologica,primera consulta,2011-01-01,110,165,110,165,275
PALCA,atencion odontologica,primera consulta,2011-01-01,7,6,7,6,13
PALOS BLANCOS,atencion odontologica,primera consulta,2011-01-01,85,126,85,126,211
PAMPA AULLAGAS,atencion odontologica,primera consulta,2011-01-01,8,8,8,8,16
PAMPA GRANDE,atencion odontologica,primera consulta,2011-01-01,5,9,5,9,14
PAPEL PAMPA,atencion odontologica,primera consulta,2011-01-01,3,7,3,7,10
PASORAPA,atencion odontologica,primera consulta,2011-01-01,6,9,6,9,15
PATACAMAYA,atencion odontologica,primera consulta,2011-01-01,150,171,150,171,321
PAZÑA,atencion odontologica,primera consulta,2011-01-01,14,20,14,20,34
PELECHUCO,atencion odontologica,primera consulta,2011-01-01,30,67,30,67,97
POCOATA,atencion odontologica,primera consulta,2011-01-01,26,52,26,52,78
POCONA,atencion odontologica,primera consulta,2011-01-01,47,57,47,57,104
POJO (CBBA),atencion odontologica,primera consulta,2011-01-01,57,105,57,105,162
POOPO,atencion odontologica,primera consulta,2011-01-01,55,85,55,85,140
PORCO,atencion odontologica,primera consulta,2011-01-01,43,106,43,106,149
POROMA,atencion odontologica,primera consulta,2011-01-01,17,53,17,53,70
PORONGO,atencion odontologica,primera consulta,2011-01-01,21,38,21,38,59
PORTACHUELO,atencion odontologica,primera consulta,2011-01-01,65,94,65,94,159
PORVENIR,atencion odontologica,primera consulta,2011-01-01,80,116,80,116,196
POSTRER VALLE,atencion odontologica,primera consulta,2011-01-01,10,22,10,22,32
POTOSI,atencion odontologica,primera consulta,2011-01-01,749,1310,749,1310,2059
PRESTO,atencion odontologica,primera consulta,2011-01-01,13,12,13,12,25
PUCARA,atencion odontologica,primera consulta,2011-01-01,9,20,9,20,29
PUCARANI,atencion odontologica,primera consulta,2011-01-01,149,210,149,210,359
PUERTO ACOSTA,atencion odontologica,primera consulta,2011-01-01,1,7,1,7,8
PUERTO CARABUCO,atencion odontologica,primera consulta,2011-01-01,10,29,10,29,39
PUERTO GONZALO MORENO,atencion odontologica,primera consulta,2011-01-01,24,44,24,44,68
PUERTO PEREZ,atencion odontologica,primera consulta,2011-01-01,12,8,12,8,20
PUERTO QUIJARRO,atencion odontologica,primera consulta,2011-01-01,77,49,77,49,126
PUERTO RICO,atencion odontologica,primera consulta,2011-01-01,175,169,175,169,344
PUERTO SUAREZ,atencion odontologica,primera consulta,2011-01-01,33,90,33,90,123
PUERTO VILLARROEL,atencion odontologica,primera consulta,2011-01-01,103,192,103,192,295
PUNA,atencion odontologica,primera consulta,2011-01-01,44,107,44,107,151
PUNATA,atencion odontologica,primera consulta,2011-01-01,142,184,142,184,326
QUIABAYA,atencion odontologica,primera consulta,2011-01-01,22,26,22,26,48
QUILLACOLLO,atencion odontologica,primera consulta,2011-01-01,249,397,249,397,646
QUIME,atencion odontologica,primera consulta,2011-01-01,174,176,174,176,350
QUIRUSILLAS,atencion odontologica,primera consulta,2011-01-01,12,14,12,14,26
RAVELO,atencion odontologica,primera consulta,2011-01-01,22,68,22,68,90
REYES,atencion odontologica,primera consulta,2011-01-01,1,1,1,1,2
RIBERALTA,atencion odontologica,primera consulta,2011-01-01,165,217,165,217,382
ROBORE,atencion odontologica,primera consulta,2011-01-01,39,82,39,82,121
RURRENABAQUE,atencion odontologica,primera consulta,2011-01-01,12,18,12,18,30
SABAYA,atencion odontologica,primera consulta,2011-01-01,26,29,26,29,55
SACABA,atencion odontologica,primera consulta,2011-01-01,179,323,179,323,502
SACABAMBA,atencion odontologica,primera consulta,2011-01-01,11,21,11,21,32
SACACA,atencion odontologica,primera consulta,2011-01-01,31,46,31,46,77
SAIPINA,atencion odontologica,primera consulta,2011-01-01,20,36,20,36,56
SALINAS DE GARCI MENDOZA,atencion odontologica,primera consulta,2011-01-01,74,81,74,81,155
SAMAIPATA,atencion odontologica,primera consulta,2011-01-01,23,39,23,39,62
SAN AGUSTIN,atencion odontologica,primera consulta,2011-01-01,2,2,2,2,4
SAN ANDRES,atencion odontologica,primera consulta,2011-01-01,10,20,10,20,30
SAN ANDRES DE MACHACA,atencion odontologica,primera consulta,2011-01-01,52,73,52,73,125
SAN ANTONIO DE LOMERIO,atencion odontologica,primera consulta,2011-01-01,42,48,42,48,90
SAN BENITO,atencion odontologica,primera consulta,2011-01-01,102,89,102,89,191
SAN BORJA,atencion odontologica,primera consulta,2011-01-01,72,168,72,168,240
SAN BUENA VENTURA,atencion odontologica,primera consulta,2011-01-01,12,18,12,18,30
SAN CARLOS,atencion odontologica,primera consulta,2011-01-01,83,132,83,132,215
SAN IGNACIO,atencion odontologica,primera consulta,2011-01-01,144,270,144,270,414
SAN IGNACIO DE VELASCO,atencion odontologica,primera consulta,2011-01-01,69,169,69,169,238
SAN JAVIER(STC),atencion odontologica,primera consulta,2011-01-01,17,39,17,39,56
SAN JOSE DE CHIQUITOS,atencion odontologica,primera consulta,2011-01-01,51,108,51,108,159
SAN JUAN DE YAPACANI,atencion odontologica,primera consulta,2011-01-01,23,57,23,57,80
SAN JULIAN,atencion odontologica,primera consulta,2011-01-01,69,112,69,112,181
SAN LORENZO(PND),atencion odontologica,primera consulta,2011-01-01,10,31,10,31,41
SAN LORENZO(TJA),atencion odontologica,primera consulta,2011-01-01,121,290,121,290,411
SAN LUCAS,atencion odontologica,primera consulta,2011-01-01,32,54,32,54,86
SAN MATIAS,atencion odontologica,primera consulta,2011-01-01,34,41,34,41,75
SAN MIGUEL DE VELASCO,atencion odontologica,primera consulta,2011-01-01,44,87,44,87,131
SAN PEDRO,atencion odontologica,primera consulta,2011-01-01,78,142,78,142,220
SAN PEDRO DE BUENA VISTA,atencion odontologica,primera consulta,2011-01-01,41,85,41,85,126
SAN PEDRO DE CURAHUARA,atencion odontologica,primera consulta,2011-01-01,43,58,43,58,101
SAN PEDRO DE TIQUINA,atencion odontologica,primera consulta,2011-01-01,35,39,35,39,74
SAN RAFAEL,atencion odontologica,primera consulta,2011-01-01,8,32,8,32,40
SAN RAMON SCZ,atencion odontologica,primera consulta,2011-01-01,56,133,56,133,189
SANTA ANA,atencion odontologica,primera consulta,2011-01-01,223,60,223,60,283
SANTA CRUZ DE LA SIERRA,atencion odontologica,primera consulta,2011-01-01,4033,5547,4033,5547,9580
SANTA ROSA,atencion odontologica,primera consulta,2011-01-01,135,191,135,191,326
SANTA ROSA DEL SARA,atencion odontologica,primera consulta,2011-01-01,59,108,59,108,167
SANTIAGO DE CALLAPA,atencion odontologica,primera consulta,2011-01-01,13,27,13,27,40
SANTIAGO DE HUARI,atencion odontologica,primera consulta,2011-01-01,31,39,31,39,70
SANTIAGO DE HUATA,atencion odontologica,primera consulta,2011-01-01,41,24,41,24,65
SANTIAGO DE MACHACA,atencion odontologica,primera consulta,2011-01-01,39,68,39,68,107
SANTIVAÑES,atencion odontologica,primera consulta,2011-01-01,3,10,3,10,13
SANTUARIO DE QUILLACAS,atencion odontologica,primera consulta,2011-01-01,7,15,7,15,22
SAPAHAQUI,atencion odontologica,primera consulta,2011-01-01,46,45,46,45,91
SENA,atencion odontologica,primera consulta,2011-01-01,42,20,42,20,62
SHINAOTA,atencion odontologica,primera consulta,2011-01-01,13,17,13,17,30
SICA SICA (VILLA AROMA),atencion odontologica,primera consulta,2011-01-01,85,120,85,120,205
SICAYA,atencion odontologica,primera consulta,2011-01-01,4,11,4,11,15
SIPE SIPE,atencion odontologica,primera consulta,2011-01-01,107,159,107,159,266
SOPACHUY,atencion odontologica,primera consulta,2011-01-01,37,78,37,78,115
SORACACHI,atencion odontologica,primera consulta,2011-01-01,51,70,51,70,121
SORATA,atencion odontologica,primera consulta,2011-01-01,85,135,85,135,220
SUCRE,atencion odontologica,primera consulta,2011-01-01,1380,2065,1380,2065,3445
TACACOMA,atencion odontologica,primera consulta,2011-01-01,61,82,61,82,143
TACOPAYA,atencion odontologica,primera consulta,2011-01-01,0,1,0,1,1
TAHUA,atencion odontologica,primera consulta,2011-01-01,6,8,6,8,14
TAPACARI,atencion odontologica,primera consulta,2011-01-01,22,33,22,33,55
TARABUCO,atencion odontologica,primera consulta,2011-01-01,154,146,154,146,300
TARACO,atencion odontologica,primera consulta,2011-01-01,41,48,41,48,89
TARATA,atencion odontologica,primera consulta,2011-01-01,22,14,22,14,36
TARIJA,atencion odontologica,primera consulta,2011-01-01,742,1177,742,1177,1919
TARVITA,atencion odontologica,primera consulta,2011-01-01,47,135,47,135,182
TEOPONTE,atencion odontologica,primera consulta,2011-01-01,13,8,13,8,21
TIAWANACU,atencion odontologica,primera consulta,2011-01-01,99,154,99,154,253
TINGUIPAYA,atencion odontologica,primera consulta,2011-01-01,17,34,17,34,51
TIPUANI,atencion odontologica,primera consulta,2011-01-01,13,24,13,24,37
TIQUIPAYA,atencion odontologica,primera consulta,2011-01-01,235,344,235,344,579
TIRAQUE (CBBA),atencion odontologica,primera consulta,2011-01-01,4,27,4,27,31
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,primera consulta,2011-01-01,9,25,9,25,34
TOCO,atencion odontologica,primera consulta,2011-01-01,26,45,26,45,71
TOLATA,atencion odontologica,primera consulta,2011-01-01,240,55,240,55,295
TOLEDO,atencion odontologica,primera consulta,2011-01-01,57,74,57,74,131
TOMAVE,atencion odontologica,primera consulta,2011-01-01,38,64,38,64,102
TOMINA,atencion odontologica,primera consulta,2011-01-01,40,53,40,53,93
TORO TORO,atencion odontologica,primera consulta,2011-01-01,67,113,67,113,180
TOTORA(CBBA),atencion odontologica,primera consulta,2011-01-01,44,102,44,102,146
TOTORA(ORR),atencion odontologica,primera consulta,2011-01-01,5,6,5,6,11
TRIGAL,atencion odontologica,primera consulta,2011-01-01,27,40,27,40,67
TRINIDAD,atencion odontologica,primera consulta,2011-01-01,351,535,351,535,886
TUPIZA,atencion odontologica,primera consulta,2011-01-01,70,114,70,114,184
TURCO,atencion odontologica,primera consulta,2011-01-01,26,37,26,37,63
UMALA,atencion odontologica,primera consulta,2011-01-01,20,15,20,15,35
UNCIA,atencion odontologica,primera consulta,2011-01-01,34,60,34,60,94
URIONDO (A. CONCEPCION),atencion odontologica,primera consulta,2011-01-01,52,119,52,119,171
URUBICHA,atencion odontologica,primera consulta,2011-01-01,8,19,8,19,27
UYUNI,atencion odontologica,primera consulta,2011-01-01,119,206,119,206,325
VACAS,atencion odontologica,primera consulta,2011-01-01,21,13,21,13,34
VALLEGRANDE,atencion odontologica,primera consulta,2011-01-01,123,136,123,136,259
VIACHA,atencion odontologica,primera consulta,2011-01-01,24,59,24,59,83
VILA VILA,atencion odontologica,primera consulta,2011-01-01,5,10,5,10,15
VILLA MONTES,atencion odontologica,primera consulta,2011-01-01,312,508,312,508,820
VILLA NUEVA (LOMA ALTA),atencion odontologica,primera consulta,2011-01-01,26,21,26,21,47
VILLA RIVERO,atencion odontologica,primera consulta,2011-01-01,22,43,22,43,65
VILLA SERRANO,atencion odontologica,primera consulta,2011-01-01,24,57,24,57,81
VILLA TUNARI,atencion odontologica,primera consulta,2011-01-01,231,369,231,369,600
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,primera consulta,2011-01-01,11,32,11,32,43
VILLAZON,atencion odontologica,primera consulta,2011-01-01,144,211,144,211,355
VINTO,atencion odontologica,primera consulta,2011-01-01,35,63,35,63,98
VITICHI,atencion odontologica,primera consulta,2011-01-01,34,77,34,77,111
WALDO BALLIVIAN,atencion odontologica,primera consulta,2011-01-01,17,24,17,24,41
WARNES,atencion odontologica,primera consulta,2011-01-01,78,156,78,156,234
YACO,atencion odontologica,primera consulta,2011-01-01,20,23,20,23,43
YACUIBA,atencion odontologica,primera consulta,2011-01-01,258,383,258,383,641
YAMPARAEZ,atencion odontologica,primera consulta,2011-01-01,10,13,10,13,23
YANACACHI,atencion odontologica,primera consulta,2011-01-01,24,50,24,50,74
YAPACANI,atencion odontologica,primera consulta,2011-01-01,51,91,51,91,142
YOTALA,atencion odontologica,primera consulta,2011-01-01,43,86,43,86,129
YUNCHARA,atencion odontologica,primera consulta,2011-01-01,7,38,7,38,45
ZUDAÑEZ,atencion odontologica,primera consulta,2011-01-01,15,20,15,20,35
ACACIO,atencion odontologica,primera consulta,2011-02-01,10,23,10,23,33
ACHACACHI,atencion odontologica,primera consulta,2011-02-01,230,293,230,293,523
ACHOCALLA,atencion odontologica,primera consulta,2011-02-01,84,96,84,96,180
AIQUILE,atencion odontologica,primera consulta,2011-02-01,59,68,59,68,127
ALCALA,atencion odontologica,primera consulta,2011-02-01,49,97,49,97,146
ALTO BENI,atencion odontologica,primera consulta,2011-02-01,28,42,28,42,70
ANCORAIMES,atencion odontologica,primera consulta,2011-02-01,31,26,31,26,57
ANDAMARCA,atencion odontologica,primera consulta,2011-02-01,14,24,14,24,38
ANTEQUERA,atencion odontologica,primera consulta,2011-02-01,44,56,44,56,100
ANZALDO,atencion odontologica,primera consulta,2011-02-01,12,35,12,35,47
APOLO,atencion odontologica,primera consulta,2011-02-01,42,53,42,53,95
ARAMPAMPA,atencion odontologica,primera consulta,2011-02-01,5,2,5,2,7
ARANI,atencion odontologica,primera consulta,2011-02-01,15,44,15,44,59
ARBIETO,atencion odontologica,primera consulta,2011-02-01,48,68,48,68,116
ARQUE,atencion odontologica,primera consulta,2011-02-01,62,54,62,54,116
ASCENCION DE GUARAYOS,atencion odontologica,primera consulta,2011-02-01,19,58,19,58,77
ATOCHA,atencion odontologica,primera consulta,2011-02-01,357,371,357,371,728
AYATA,atencion odontologica,primera consulta,2011-02-01,30,50,30,50,80
AYO AYO,atencion odontologica,primera consulta,2011-02-01,23,44,23,44,67
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,primera consulta,2011-02-01,75,134,75,134,209
AZURDUY,atencion odontologica,primera consulta,2011-02-01,17,49,17,49,66
BATALLAS,atencion odontologica,primera consulta,2011-02-01,43,86,43,86,129
BAURES,atencion odontologica,primera consulta,2011-02-01,5,18,5,18,23
BELEN DE ANDAMARCA,atencion odontologica,primera consulta,2011-02-01,6,9,6,9,15
BELEN DE URMIRI,atencion odontologica,primera consulta,2011-02-01,4,6,4,6,10
BERMEJO,atencion odontologica,primera consulta,2011-02-01,264,289,264,289,553
BETANZOS,atencion odontologica,primera consulta,2011-02-01,89,163,89,163,252
BOLIVAR,atencion odontologica,primera consulta,2011-02-01,62,64,62,64,126
BOYUIBE,atencion odontologica,primera consulta,2011-02-01,26,26,26,26,52
BUENA VISTA,atencion odontologica,primera consulta,2011-02-01,35,45,35,45,80
CABEZAS,atencion odontologica,primera consulta,2011-02-01,69,111,69,111,180
CAIROMA,atencion odontologica,primera consulta,2011-02-01,69,89,69,89,158
"CAIZA ""D""",atencion odontologica,primera consulta,2011-02-01,12,23,12,23,35
CAJUATA,atencion odontologica,primera consulta,2011-02-01,7,14,7,14,21
CALACOTO,atencion odontologica,primera consulta,2011-02-01,20,38,20,38,58
CALAMARCA,atencion odontologica,primera consulta,2011-02-01,111,156,111,156,267
CAMARGO,atencion odontologica,primera consulta,2011-02-01,111,172,111,172,283
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,primera consulta,2011-02-01,17,40,17,40,57
CAMIRI,atencion odontologica,primera consulta,2011-02-01,166,224,166,224,390
CAPINOTA,atencion odontologica,primera consulta,2011-02-01,235,213,235,213,448
CAQUIAVIRI,atencion odontologica,primera consulta,2011-02-01,34,65,34,65,99
CARACOLLO,atencion odontologica,primera consulta,2011-02-01,40,62,40,62,102
