,group,variable,month,PERIODONCIAS CANTIDAD,PERIODONCIAS CANTIDAD,TOTALES,TOTALES,TOTALES
COLLANA,atencion odontologica,periodoncias,2011-01-01,1,0,1,0,1
COLOMI,atencion odontologica,periodoncias,2011-01-01,2,14,2,14,16
COLPA BELGICA,atencion odontologica,periodoncias,2011-01-01,4,26,4,26,30
COLQUECHACA,atencion odontologica,periodoncias,2011-01-01,0,9,0,9,9
COLQUIRI,atencion odontologica,periodoncias,2011-01-01,10,9,10,9,19
COMANCHE,atencion odontologica,periodoncias,2011-01-01,3,13,3,13,16
COMARAPA,atencion odontologica,periodoncias,2011-01-01,0,2,0,2,2
COROICO,atencion odontologica,periodoncias,2011-01-01,1,6,1,6,7
CORQUE,atencion odontologica,periodoncias,2011-01-01,1,1,1,1,2
COTAGAITA,atencion odontologica,periodoncias,2011-01-01,1,2,1,2,3
COTOCA,atencion odontologica,periodoncias,2011-01-01,3,74,3,74,77
CUATRO CAÑADAS,atencion odontologica,periodoncias,2011-01-01,1,2,1,2,3
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,periodoncias,2011-01-01,3,3,3,3,6
CULPINA,atencion odontologica,periodoncias,2011-01-01,0,1,0,1,1
DESAGUADERO,atencion odontologica,periodoncias,2011-01-01,1,3,1,3,4
EL ALTO,atencion odontologica,periodoncias,2011-01-01,158,272,158,272,430
EL CHORO,atencion odontologica,periodoncias,2011-01-01,0,1,0,1,1
EL PUENTE(STC),atencion odontologica,periodoncias,2011-01-01,1,0,1,0,1
EL PUENTE(TJA),atencion odontologica,periodoncias,2011-01-01,0,3,0,3,3
EL TORNO,atencion odontologica,periodoncias,2011-01-01,9,19,9,19,28
EL VILLAR,atencion odontologica,periodoncias,2011-01-01,6,2,6,2,8
ENTRE RIOS TRJ,atencion odontologica,periodoncias,2011-01-01,1,10,1,10,11
ENTRE RIOS CBBA,atencion odontologica,periodoncias,2011-01-01,1,3,1,3,4
EUCALIPTUS,atencion odontologica,periodoncias,2011-01-01,1,3,1,3,4
FERNANDEZ ALONSO,atencion odontologica,periodoncias,2011-01-01,3,6,3,6,9
FILADELFIA,atencion odontologica,periodoncias,2011-01-01,1,0,1,0,1
GENERAL SAAVEDRA,atencion odontologica,periodoncias,2011-01-01,0,2,0,2,2
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,periodoncias,2011-01-01,0,1,0,1,1
GUANAY,atencion odontologica,periodoncias,2011-01-01,1,5,1,5,6
GUAYARAMERIN,atencion odontologica,periodoncias,2011-01-01,23,31,23,31,54
GUTIERREZ,atencion odontologica,periodoncias,2011-01-01,3,10,3,10,13
HUACARETA,atencion odontologica,periodoncias,2011-01-01,1,1,1,1,2
HUACHACALLA,atencion odontologica,periodoncias,2011-01-01,0,2,0,2,2
HUANUNI,atencion odontologica,periodoncias,2011-01-01,2,2,2,2,4
HUARACAJE,atencion odontologica,periodoncias,2011-01-01,1,3,1,3,4
HUARINA,atencion odontologica,periodoncias,2011-01-01,1,0,1,0,1
HUAYLLAMARCA,atencion odontologica,periodoncias,2011-01-01,1,1,1,1,2
HUMANATA,atencion odontologica,periodoncias,2011-01-01,0,1,0,1,1
ICLA,atencion odontologica,periodoncias,2011-01-01,3,0,3,0,3
INQUISIVI,atencion odontologica,periodoncias,2011-01-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),atencion odontologica,periodoncias,2011-01-01,3,2,3,2,5
JESUS DE MACHACA,atencion odontologica,periodoncias,2011-01-01,0,3,0,3,3
LA ASUNTA,atencion odontologica,periodoncias,2011-01-01,2,3,2,3,5
LA GUARDIA,atencion odontologica,periodoncias,2011-01-01,10,21,10,21,31
LA PAZ,atencion odontologica,periodoncias,2011-01-01,637,670,637,670,1307
LAGUNILLAS,atencion odontologica,periodoncias,2011-01-01,3,9,3,9,12
LAJA,atencion odontologica,periodoncias,2011-01-01,2,5,2,5,7
LAS CARRERAS,atencion odontologica,periodoncias,2011-01-01,2,4,2,4,6
LICOMA PAMPA,atencion odontologica,periodoncias,2011-01-01,0,1,0,1,1
LLALLAGUA,atencion odontologica,periodoncias,2011-01-01,4,15,4,15,19
LURIBAY,atencion odontologica,periodoncias,2011-01-01,0,1,0,1,1
MACHACAMARCA,atencion odontologica,periodoncias,2011-01-01,2,1,2,1,3
MACHARETI,atencion odontologica,periodoncias,2011-01-01,3,1,3,1,4
MAGDALENA,atencion odontologica,periodoncias,2011-01-01,2,1,2,1,3
MAIRANA,atencion odontologica,periodoncias,2011-01-01,1,7,1,7,8
MAPIRI,atencion odontologica,periodoncias,2011-01-01,0,2,0,2,2
MECAPACA,atencion odontologica,periodoncias,2011-01-01,5,3,5,3,8
MINEROS,atencion odontologica,periodoncias,2011-01-01,0,7,0,7,7
MIZQUE,atencion odontologica,periodoncias,2011-01-01,0,4,0,4,4
MOJOCOYA,atencion odontologica,periodoncias,2011-01-01,0,1,0,1,1
MONTEAGUDO,atencion odontologica,periodoncias,2011-01-01,2,2,2,2,4
MONTERO,atencion odontologica,periodoncias,2011-01-01,28,38,28,38,66
MOROCHATA,atencion odontologica,periodoncias,2011-01-01,0,2,0,2,2
OKINAWA,atencion odontologica,periodoncias,2011-01-01,3,4,3,4,7
OMEREQUE,atencion odontologica,periodoncias,2011-01-01,0,1,0,1,1
ORURO,atencion odontologica,periodoncias,2011-01-01,64,79,64,79,143
PADCAYA,atencion odontologica,periodoncias,2011-01-01,5,6,5,6,11
PADILLA,atencion odontologica,periodoncias,2011-01-01,7,10,7,10,17
PALCA,atencion odontologica,periodoncias,2011-01-01,2,6,2,6,8
PALOS BLANCOS,atencion odontologica,periodoncias,2011-01-01,1,5,1,5,6
PAMPA AULLAGAS,atencion odontologica,periodoncias,2011-01-01,1,0,1,0,1
PAMPA GRANDE,atencion odontologica,periodoncias,2011-01-01,2,5,2,5,7
PATACAMAYA,atencion odontologica,periodoncias,2011-01-01,4,11,4,11,15
PAZÑA,atencion odontologica,periodoncias,2011-01-01,0,1,0,1,1
PELECHUCO,atencion odontologica,periodoncias,2011-01-01,1,0,1,0,1
POCOATA,atencion odontologica,periodoncias,2011-01-01,1,5,1,5,6
POCONA,atencion odontologica,periodoncias,2011-01-01,4,0,4,0,4
POJO (CBBA),atencion odontologica,periodoncias,2011-01-01,6,15,6,15,21
POOPO,atencion odontologica,periodoncias,2011-01-01,0,8,0,8,8
PORTACHUELO,atencion odontologica,periodoncias,2011-01-01,4,11,4,11,15
PORVENIR,atencion odontologica,periodoncias,2011-01-01,1,1,1,1,2
POTOSI,atencion odontologica,periodoncias,2011-01-01,16,38,16,38,54
PUCARA,atencion odontologica,periodoncias,2011-01-01,0,1,0,1,1
PUCARANI,atencion odontologica,periodoncias,2011-01-01,0,1,0,1,1
PUERTO CARABUCO,atencion odontologica,periodoncias,2011-01-01,1,1,1,1,2
PUERTO GONZALO MORENO,atencion odontologica,periodoncias,2011-01-01,1,1,1,1,2
PUERTO RICO,atencion odontologica,periodoncias,2011-01-01,6,0,6,0,6
PUERTO SUAREZ,atencion odontologica,periodoncias,2011-01-01,7,29,7,29,36
PUERTO VILLARROEL,atencion odontologica,periodoncias,2011-01-01,19,41,19,41,60
PUNA,atencion odontologica,periodoncias,2011-01-01,1,2,1,2,3
PUNATA,atencion odontologica,periodoncias,2011-01-01,5,17,5,17,22
QUILLACOLLO,atencion odontologica,periodoncias,2011-01-01,0,25,0,25,25
QUIME,atencion odontologica,periodoncias,2011-01-01,1,10,1,10,11
QUIRUSILLAS,atencion odontologica,periodoncias,2011-01-01,4,0,4,0,4
REYES,atencion odontologica,periodoncias,2011-01-01,9,5,9,5,14
RIBERALTA,atencion odontologica,periodoncias,2011-01-01,11,24,11,24,35
ROBORE,atencion odontologica,periodoncias,2011-01-01,4,14,4,14,18
RURRENABAQUE,atencion odontologica,periodoncias,2011-01-01,0,4,0,4,4
SACABA,atencion odontologica,periodoncias,2011-01-01,80,142,80,142,222
SACABAMBA,atencion odontologica,periodoncias,2011-01-01,5,1,5,1,6
SACACA,atencion odontologica,periodoncias,2011-01-01,0,2,0,2,2
SAIPINA,atencion odontologica,periodoncias,2011-01-01,1,3,1,3,4
SALINAS DE GARCI MENDOZA,atencion odontologica,periodoncias,2011-01-01,4,2,4,2,6
SAMAIPATA,atencion odontologica,periodoncias,2011-01-01,3,5,3,5,8
SAN AGUSTIN,atencion odontologica,periodoncias,2011-01-01,1,0,1,0,1
SAN ANDRES DE MACHACA,atencion odontologica,periodoncias,2011-01-01,0,2,0,2,2
SAN ANTONIO DE LOMERIO,atencion odontologica,periodoncias,2011-01-01,1,0,1,0,1
SAN BENITO,atencion odontologica,periodoncias,2011-01-01,12,20,12,20,32
SAN BORJA,atencion odontologica,periodoncias,2011-01-01,4,8,4,8,12
SAN BUENA VENTURA,atencion odontologica,periodoncias,2011-01-01,1,0,1,0,1
SAN CARLOS,atencion odontologica,periodoncias,2011-01-01,4,22,4,22,26
SAN IGNACIO,atencion odontologica,periodoncias,2011-01-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,atencion odontologica,periodoncias,2011-01-01,2,5,2,5,7
SAN JAVIER(STC),atencion odontologica,periodoncias,2011-01-01,3,9,3,9,12
SAN JOSE DE CHIQUITOS,atencion odontologica,periodoncias,2011-01-01,1,2,1,2,3
SAN JULIAN,atencion odontologica,periodoncias,2011-01-01,1,4,1,4,5
SAN LORENZO(PND),atencion odontologica,periodoncias,2011-01-01,0,5,0,5,5
SAN LORENZO(TJA),atencion odontologica,periodoncias,2011-01-01,8,3,8,3,11
SAN LUCAS,atencion odontologica,periodoncias,2011-01-01,5,2,5,2,7
SAN MIGUEL DE VELASCO,atencion odontologica,periodoncias,2011-01-01,5,6,5,6,11
SAN PEDRO,atencion odontologica,periodoncias,2011-01-01,4,19,4,19,23
SAN PEDRO DE BUENA VISTA,atencion odontologica,periodoncias,2011-01-01,0,3,0,3,3
SAN RAFAEL,atencion odontologica,periodoncias,2011-01-01,8,32,8,32,40
SAN RAMON SCZ,atencion odontologica,periodoncias,2011-01-01,1,8,1,8,9
SANTA CRUZ DE LA SIERRA,atencion odontologica,periodoncias,2011-01-01,620,1012,620,1012,1632
SANTA ROSA,atencion odontologica,periodoncias,2011-01-01,1,3,1,3,4
SANTA ROSA DEL SARA,atencion odontologica,periodoncias,2011-01-01,0,1,0,1,1
SANTIAGO DE HUARI,atencion odontologica,periodoncias,2011-01-01,2,0,2,0,2
SANTIAGO DE HUATA,atencion odontologica,periodoncias,2011-01-01,39,26,39,26,65
SANTIVAÑES,atencion odontologica,periodoncias,2011-01-01,0,1,0,1,1
SANTUARIO DE QUILLACAS,atencion odontologica,periodoncias,2011-01-01,0,3,0,3,3
SAPAHAQUI,atencion odontologica,periodoncias,2011-01-01,1,1,1,1,2
SHINAOTA,atencion odontologica,periodoncias,2011-01-01,7,9,7,9,16
SICA SICA (VILLA AROMA),atencion odontologica,periodoncias,2011-01-01,8,13,8,13,21
SICAYA,atencion odontologica,periodoncias,2011-01-01,1,4,1,4,5
SIPE SIPE,atencion odontologica,periodoncias,2011-01-01,15,26,15,26,41
SOPACHUY,atencion odontologica,periodoncias,2011-01-01,1,4,1,4,5
SORACACHI,atencion odontologica,periodoncias,2011-01-01,0,2,0,2,2
SORATA,atencion odontologica,periodoncias,2011-01-01,4,9,4,9,13
SUCRE,atencion odontologica,periodoncias,2011-01-01,209,276,209,276,485
TAHUA,atencion odontologica,periodoncias,2011-01-01,2,2,2,2,4
TAPACARI,atencion odontologica,periodoncias,2011-01-01,0,4,0,4,4
TARABUCO,atencion odontologica,periodoncias,2011-01-01,0,16,0,16,16
TARACO,atencion odontologica,periodoncias,2011-01-01,7,7,7,7,14
TARIJA,atencion odontologica,periodoncias,2011-01-01,95,149,95,149,244
TARVITA,atencion odontologica,periodoncias,2011-01-01,0,2,0,2,2
TIAWANACU,atencion odontologica,periodoncias,2011-01-01,1,3,1,3,4
TIPUANI,atencion odontologica,periodoncias,2011-01-01,5,5,5,5,10
TIQUIPAYA,atencion odontologica,periodoncias,2011-01-01,22,145,22,145,167
TIRAQUE (CBBA),atencion odontologica,periodoncias,2011-01-01,5,21,5,21,26
TOCO,atencion odontologica,periodoncias,2011-01-01,1,2,1,2,3
TOLEDO,atencion odontologica,periodoncias,2011-01-01,0,6,0,6,6
TOMINA,atencion odontologica,periodoncias,2011-01-01,7,12,7,12,19
TORO TORO,atencion odontologica,periodoncias,2011-01-01,1,0,1,0,1
TOTORA(CBBA),atencion odontologica,periodoncias,2011-01-01,3,11,3,11,14
TRIGAL,atencion odontologica,periodoncias,2011-01-01,0,2,0,2,2
TRINIDAD,atencion odontologica,periodoncias,2011-01-01,47,100,47,100,147
TUPIZA,atencion odontologica,periodoncias,2011-01-01,87,90,87,90,177
TURCO,atencion odontologica,periodoncias,2011-01-01,1,0,1,0,1
UNCIA,atencion odontologica,periodoncias,2011-01-01,0,1,0,1,1
URIONDO (A. CONCEPCION),atencion odontologica,periodoncias,2011-01-01,1,3,1,3,4
URUBICHA,atencion odontologica,periodoncias,2011-01-01,1,0,1,0,1
UYUNI,atencion odontologica,periodoncias,2011-01-01,3,7,3,7,10
VACAS,atencion odontologica,periodoncias,2011-01-01,1,0,1,0,1
VALLEGRANDE,atencion odontologica,periodoncias,2011-01-01,0,4,0,4,4
VIACHA,atencion odontologica,periodoncias,2011-01-01,31,30,31,30,61
VILA VILA,atencion odontologica,periodoncias,2011-01-01,1,1,1,1,2
VILLA MONTES,atencion odontologica,periodoncias,2011-01-01,13,27,13,27,40
VILLA RIVERO,atencion odontologica,periodoncias,2011-01-01,3,8,3,8,11
VILLA SERRANO,atencion odontologica,periodoncias,2011-01-01,1,2,1,2,3
VILLA TUNARI,atencion odontologica,periodoncias,2011-01-01,39,117,39,117,156
VILLAZON,atencion odontologica,periodoncias,2011-01-01,5,38,5,38,43
VINTO,atencion odontologica,periodoncias,2011-01-01,0,8,0,8,8
VITICHI,atencion odontologica,periodoncias,2011-01-01,2,6,2,6,8
WARNES,atencion odontologica,periodoncias,2011-01-01,13,22,13,22,35
YACUIBA,atencion odontologica,periodoncias,2011-01-01,46,65,46,65,111
YAPACANI,atencion odontologica,periodoncias,2011-01-01,0,4,0,4,4
YOTALA,atencion odontologica,periodoncias,2011-01-01,5,4,5,4,9
YUNCHARA,atencion odontologica,periodoncias,2011-01-01,2,3,2,3,5
ZUDAÑEZ,atencion odontologica,periodoncias,2011-01-01,0,1,0,1,1
ACACIO,atencion odontologica,periodoncias,2011-02-01,2,2,2,2,4
ACHACACHI,atencion odontologica,periodoncias,2011-02-01,0,11,0,11,11
ACHOCALLA,atencion odontologica,periodoncias,2011-02-01,4,5,4,5,9
AIQUILE,atencion odontologica,periodoncias,2011-02-01,5,22,5,22,27
ALCALA,atencion odontologica,periodoncias,2011-02-01,0,1,0,1,1
ANCORAIMES,atencion odontologica,periodoncias,2011-02-01,1,0,1,0,1
ANTEQUERA,atencion odontologica,periodoncias,2011-02-01,13,0,13,0,13
ANZALDO,atencion odontologica,periodoncias,2011-02-01,1,2,1,2,3
APOLO,atencion odontologica,periodoncias,2011-02-01,8,9,8,9,17
ARANI,atencion odontologica,periodoncias,2011-02-01,27,30,27,30,57
ARBIETO,atencion odontologica,periodoncias,2011-02-01,4,12,4,12,16
ASCENCION DE GUARAYOS,atencion odontologica,periodoncias,2011-02-01,0,1,0,1,1
ATOCHA,atencion odontologica,periodoncias,2011-02-01,6,7,6,7,13
AYO AYO,atencion odontologica,periodoncias,2011-02-01,0,2,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,periodoncias,2011-02-01,1,2,1,2,3
AZURDUY,atencion odontologica,periodoncias,2011-02-01,3,5,3,5,8
BATALLAS,atencion odontologica,periodoncias,2011-02-01,1,2,1,2,3
BAURES,atencion odontologica,periodoncias,2011-02-01,1,0,1,0,1
BELEN DE ANDAMARCA,atencion odontologica,periodoncias,2011-02-01,2,0,2,0,2
BERMEJO,atencion odontologica,periodoncias,2011-02-01,29,27,29,27,56
BETANZOS,atencion odontologica,periodoncias,2011-02-01,0,4,0,4,4
BOLIVAR,atencion odontologica,periodoncias,2011-02-01,2,1,2,1,3
BOYUIBE,atencion odontologica,periodoncias,2011-02-01,1,0,1,0,1
BUENA VISTA,atencion odontologica,periodoncias,2011-02-01,1,3,1,3,4
CABEZAS,atencion odontologica,periodoncias,2011-02-01,7,31,7,31,38
CAIROMA,atencion odontologica,periodoncias,2011-02-01,1,3,1,3,4
CAMARGO,atencion odontologica,periodoncias,2011-02-01,5,11,5,11,16
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,periodoncias,2011-02-01,0,5,0,5,5
CAMIRI,atencion odontologica,periodoncias,2011-02-01,26,40,26,40,66
CAPINOTA,atencion odontologica,periodoncias,2011-02-01,3,4,3,4,7
CARACOLLO,atencion odontologica,periodoncias,2011-02-01,8,13,8,13,21
CARANAVI,atencion odontologica,periodoncias,2011-02-01,2,11,2,11,13
CARAPARI,atencion odontologica,periodoncias,2011-02-01,6,17,6,17,23
CARIPUYO,atencion odontologica,periodoncias,2011-02-01,1,0,1,0,1
CARMEN RIVERO TORREZ,atencion odontologica,periodoncias,2011-02-01,0,4,0,4,4
CATACORA,atencion odontologica,periodoncias,2011-02-01,1,2,1,2,3
CHALLAPATA,atencion odontologica,periodoncias,2011-02-01,4,5,4,5,9
CHARAGUA,atencion odontologica,periodoncias,2011-02-01,1,4,1,4,5
CHIMORE,atencion odontologica,periodoncias,2011-02-01,0,2,0,2,2
CHOQUE COTA,atencion odontologica,periodoncias,2011-02-01,3,1,3,1,4
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,periodoncias,2011-02-01,4,7,4,7,11
CHUMA,atencion odontologica,periodoncias,2011-02-01,2,3,2,3,5
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,periodoncias,2011-02-01,0,2,0,2,2
CLIZA,atencion odontologica,periodoncias,2011-02-01,64,109,64,109,173
COBIJA,atencion odontologica,periodoncias,2011-02-01,48,38,48,38,86
COCAPATA,atencion odontologica,periodoncias,2011-02-01,2,5,2,5,7
COCHABAMBA,atencion odontologica,periodoncias,2011-02-01,447,823,447,823,1270
COIPASA,atencion odontologica,periodoncias,2011-02-01,0,1,0,1,1
COLCAPIRHUA,atencion odontologica,periodoncias,2011-02-01,2,13,2,13,15
"COLCHA ""K""",atencion odontologica,periodoncias,2011-02-01,2,2,2,2,4
COLOMI,atencion odontologica,periodoncias,2011-02-01,2,25,2,25,27
COLPA BELGICA,atencion odontologica,periodoncias,2011-02-01,0,24,0,24,24
COLQUECHACA,atencion odontologica,periodoncias,2011-02-01,6,4,6,4,10
COLQUIRI,atencion odontologica,periodoncias,2011-02-01,3,2,3,2,5
COMANCHE,atencion odontologica,periodoncias,2011-02-01,5,6,5,6,11
COMARAPA,atencion odontologica,periodoncias,2011-02-01,2,5,2,5,7
CONCEPCION,atencion odontologica,periodoncias,2011-02-01,2,3,2,3,5
CORIPATA,atencion odontologica,periodoncias,2011-02-01,0,2,0,2,2
CORO CORO,atencion odontologica,periodoncias,2011-02-01,0,2,0,2,2
COROICO,atencion odontologica,periodoncias,2011-02-01,0,2,0,2,2
CORQUE,atencion odontologica,periodoncias,2011-02-01,0,3,0,3,3
COTAGAITA,atencion odontologica,periodoncias,2011-02-01,17,9,17,9,26
COTOCA,atencion odontologica,periodoncias,2011-02-01,0,23,0,23,23
CUATRO CAÑADAS,atencion odontologica,periodoncias,2011-02-01,2,3,2,3,5
CUEVO,atencion odontologica,periodoncias,2011-02-01,0,1,0,1,1
CULPINA,atencion odontologica,periodoncias,2011-02-01,1,2,1,2,3
CURAHUARA DE CARANGAS,atencion odontologica,periodoncias,2011-02-01,0,1,0,1,1
DESAGUADERO,atencion odontologica,periodoncias,2011-02-01,1,2,1,2,3
EL ALTO,atencion odontologica,periodoncias,2011-02-01,141,348,141,348,489
EL PUENTE(STC),atencion odontologica,periodoncias,2011-02-01,0,1,0,1,1
EL PUENTE(TJA),atencion odontologica,periodoncias,2011-02-01,0,1,0,1,1
EL TORNO,atencion odontologica,periodoncias,2011-02-01,15,23,15,23,38
EL VILLAR,atencion odontologica,periodoncias,2011-02-01,14,25,14,25,39
ENTRE RIOS CBBA,atencion odontologica,periodoncias,2011-02-01,2,3,2,3,5
ESCOMA,atencion odontologica,periodoncias,2011-02-01,2,0,2,0,2
EUCALIPTUS,atencion odontologica,periodoncias,2011-02-01,0,3,0,3,3
FERNANDEZ ALONSO,atencion odontologica,periodoncias,2011-02-01,3,2,3,2,5
GENERAL SAAVEDRA,atencion odontologica,periodoncias,2011-02-01,1,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,periodoncias,2011-02-01,0,1,0,1,1
GUANAY,atencion odontologica,periodoncias,2011-02-01,3,3,3,3,6
GUAYARAMERIN,atencion odontologica,periodoncias,2011-02-01,4,2,4,2,6
GUTIERREZ,atencion odontologica,periodoncias,2011-02-01,2,15,2,15,17
HUACARETA,atencion odontologica,periodoncias,2011-02-01,1,2,1,2,3
HUACAYA (VILLA DE HUACAYA),atencion odontologica,periodoncias,2011-02-01,1,0,1,0,1
HUANUNI,atencion odontologica,periodoncias,2011-02-01,1,0,1,0,1
HUARACAJE,atencion odontologica,periodoncias,2011-02-01,2,5,2,5,7
HUARINA,atencion odontologica,periodoncias,2011-02-01,0,1,0,1,1
HUAYLLAMARCA,atencion odontologica,periodoncias,2011-02-01,2,6,2,6,8
HUMANATA,atencion odontologica,periodoncias,2011-02-01,0,1,0,1,1
ICLA,atencion odontologica,periodoncias,2011-02-01,0,2,0,2,2
INQUISIVI,atencion odontologica,periodoncias,2011-02-01,1,1,1,1,2
IRUPANA (VILLA DE LANZA),atencion odontologica,periodoncias,2011-02-01,0,5,0,5,5
JESUS DE MACHACA,atencion odontologica,periodoncias,2011-02-01,1,2,1,2,3
LA ASUNTA,atencion odontologica,periodoncias,2011-02-01,3,25,3,25,28
LA GUARDIA,atencion odontologica,periodoncias,2011-02-01,0,9,0,9,9
LA PAZ,atencion odontologica,periodoncias,2011-02-01,530,617,530,617,1147
LAGUNILLAS,atencion odontologica,periodoncias,2011-02-01,10,18,10,18,28
LICOMA PAMPA,atencion odontologica,periodoncias,2011-02-01,1,1,1,1,2
LLALLAGUA,atencion odontologica,periodoncias,2011-02-01,0,3,0,3,3
LLICA,atencion odontologica,periodoncias,2011-02-01,6,0,6,0,6
MACHACAMARCA,atencion odontologica,periodoncias,2011-02-01,1,7,1,7,8
MACHARETI,atencion odontologica,periodoncias,2011-02-01,4,14,4,14,18
MAGDALENA,atencion odontologica,periodoncias,2011-02-01,5,5,5,5,10
MAIRANA,atencion odontologica,periodoncias,2011-02-01,2,5,2,5,7
MAPIRI,atencion odontologica,periodoncias,2011-02-01,1,4,1,4,5
MECAPACA,atencion odontologica,periodoncias,2011-02-01,1,1,1,1,2
MINEROS,atencion odontologica,periodoncias,2011-02-01,0,4,0,4,4
MIZQUE,atencion odontologica,periodoncias,2011-02-01,10,40,10,40,50
MOCOMOCO,atencion odontologica,periodoncias,2011-02-01,0,3,0,3,3
MOJOCOYA,atencion odontologica,periodoncias,2011-02-01,0,2,0,2,2
MONTEAGUDO,atencion odontologica,periodoncias,2011-02-01,0,6,0,6,6
MONTERO,atencion odontologica,periodoncias,2011-02-01,21,85,21,85,106
MOROCHATA,atencion odontologica,periodoncias,2011-02-01,0,5,0,5,5
OKINAWA,atencion odontologica,periodoncias,2011-02-01,6,5,6,5,11
