,group,variable,month,ENDODONCIAS CANTIDAD,ENDODONCIAS CANTIDAD,TOTALES,TOTALES,TOTALES
"COLCHA ""K""",atencion odontologica,endodoncias,2011-01-01,0,4,0,4,4
COLLANA,atencion odontologica,endodoncias,2011-01-01,0,1,0,1,1
COLOMI,atencion odontologica,endodoncias,2011-01-01,1,3,1,3,4
COLPA BELGICA,atencion odontologica,endodoncias,2011-01-01,1,4,1,4,5
COLQUENCHA,atencion odontologica,endodoncias,2011-01-01,0,3,0,3,3
COLQUIRI,atencion odontologica,endodoncias,2011-01-01,6,0,6,0,6
COMANCHE,atencion odontologica,endodoncias,2011-01-01,0,5,0,5,5
COMARAPA,atencion odontologica,endodoncias,2011-01-01,9,22,9,22,31
CONCEPCION,atencion odontologica,endodoncias,2011-01-01,0,5,0,5,5
COPACABANA,atencion odontologica,endodoncias,2011-01-01,0,1,0,1,1
CORIPATA,atencion odontologica,endodoncias,2011-01-01,0,1,0,1,1
COROICO,atencion odontologica,endodoncias,2011-01-01,4,9,4,9,13
CORQUE,atencion odontologica,endodoncias,2011-01-01,7,8,7,8,15
COTAGAITA,atencion odontologica,endodoncias,2011-01-01,10,22,10,22,32
COTOCA,atencion odontologica,endodoncias,2011-01-01,4,8,4,8,12
CUATRO CAÑADAS,atencion odontologica,endodoncias,2011-01-01,0,2,0,2,2
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,endodoncias,2011-01-01,0,1,0,1,1
CUEVO,atencion odontologica,endodoncias,2011-01-01,0,2,0,2,2
CULPINA,atencion odontologica,endodoncias,2011-01-01,5,7,5,7,12
CURAHUARA DE CARANGAS,atencion odontologica,endodoncias,2011-01-01,1,1,1,1,2
DESAGUADERO,atencion odontologica,endodoncias,2011-01-01,3,5,3,5,8
EL ALTO,atencion odontologica,endodoncias,2011-01-01,549,722,549,722,1271
EL PUENTE(STC),atencion odontologica,endodoncias,2011-01-01,5,5,5,5,10
EL PUENTE(TJA),atencion odontologica,endodoncias,2011-01-01,3,18,3,18,21
EL TORNO,atencion odontologica,endodoncias,2011-01-01,14,23,14,23,37
EL VILLAR,atencion odontologica,endodoncias,2011-01-01,2,1,2,1,3
ENTRE RIOS TRJ,atencion odontologica,endodoncias,2011-01-01,13,38,13,38,51
ENTRE RIOS CBBA,atencion odontologica,endodoncias,2011-01-01,6,6,6,6,12
ESCOMA,atencion odontologica,endodoncias,2011-01-01,8,3,8,3,11
EUCALIPTUS,atencion odontologica,endodoncias,2011-01-01,1,7,1,7,8
FERNANDEZ ALONSO,atencion odontologica,endodoncias,2011-01-01,5,8,5,8,13
FILADELFIA,atencion odontologica,endodoncias,2011-01-01,0,2,0,2,2
GENERAL SAAVEDRA,atencion odontologica,endodoncias,2011-01-01,1,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,endodoncias,2011-01-01,1,6,1,6,7
GUANAY,atencion odontologica,endodoncias,2011-01-01,8,25,8,25,33
GUAQUI,atencion odontologica,endodoncias,2011-01-01,3,3,3,3,6
GUAYARAMERIN,atencion odontologica,endodoncias,2011-01-01,13,22,13,22,35
GUTIERREZ,atencion odontologica,endodoncias,2011-01-01,9,23,9,23,32
HUACARETA,atencion odontologica,endodoncias,2011-01-01,4,4,4,4,8
HUACHACALLA,atencion odontologica,endodoncias,2011-01-01,4,0,4,0,4
HUANUNI,atencion odontologica,endodoncias,2011-01-01,4,14,4,14,18
HUARACAJE,atencion odontologica,endodoncias,2011-01-01,2,3,2,3,5
HUARINA,atencion odontologica,endodoncias,2011-01-01,1,0,1,0,1
HUAYLLAMARCA,atencion odontologica,endodoncias,2011-01-01,3,0,3,0,3
HUMANATA,atencion odontologica,endodoncias,2011-01-01,0,1,0,1,1
ICLA,atencion odontologica,endodoncias,2011-01-01,4,16,4,16,20
IRUPANA (VILLA DE LANZA),atencion odontologica,endodoncias,2011-01-01,5,6,5,6,11
IXIAMAS,atencion odontologica,endodoncias,2011-01-01,5,0,5,0,5
JESUS DE MACHACA,atencion odontologica,endodoncias,2011-01-01,8,6,8,6,14
LA ASUNTA,atencion odontologica,endodoncias,2011-01-01,31,47,31,47,78
LA GUARDIA,atencion odontologica,endodoncias,2011-01-01,11,44,11,44,55
LA PAZ,atencion odontologica,endodoncias,2011-01-01,918,972,918,972,1890
LAGUNILLAS,atencion odontologica,endodoncias,2011-01-01,3,6,3,6,9
LAJA,atencion odontologica,endodoncias,2011-01-01,6,0,6,0,6
LAS CARRERAS,atencion odontologica,endodoncias,2011-01-01,4,6,4,6,10
LLALLAGUA,atencion odontologica,endodoncias,2011-01-01,17,33,17,33,50
LLICA,atencion odontologica,endodoncias,2011-01-01,1,1,1,1,2
LORETO,atencion odontologica,endodoncias,2011-01-01,2,1,2,1,3
LURIBAY,atencion odontologica,endodoncias,2011-01-01,1,1,1,1,2
MACHACAMARCA,atencion odontologica,endodoncias,2011-01-01,2,1,2,1,3
MACHARETI,atencion odontologica,endodoncias,2011-01-01,4,0,4,0,4
MAGDALENA,atencion odontologica,endodoncias,2011-01-01,1,0,1,0,1
MAIRANA,atencion odontologica,endodoncias,2011-01-01,2,7,2,7,9
MAPIRI,atencion odontologica,endodoncias,2011-01-01,7,7,7,7,14
MECAPACA,atencion odontologica,endodoncias,2011-01-01,0,5,0,5,5
MINEROS,atencion odontologica,endodoncias,2011-01-01,9,69,9,69,78
MIZQUE,atencion odontologica,endodoncias,2011-01-01,0,37,0,37,37
MOJOCOYA,atencion odontologica,endodoncias,2011-01-01,1,17,1,17,18
MONTEAGUDO,atencion odontologica,endodoncias,2011-01-01,17,35,17,35,52
MONTERO,atencion odontologica,endodoncias,2011-01-01,14,38,14,38,52
MOROCHATA,atencion odontologica,endodoncias,2011-01-01,1,1,1,1,2
OCURI,atencion odontologica,endodoncias,2011-01-01,0,2,0,2,2
OKINAWA,atencion odontologica,endodoncias,2011-01-01,1,0,1,0,1
OMEREQUE,atencion odontologica,endodoncias,2011-01-01,3,4,3,4,7
ORURO,atencion odontologica,endodoncias,2011-01-01,302,410,302,410,712
PADCAYA,atencion odontologica,endodoncias,2011-01-01,14,9,14,9,23
PADILLA,atencion odontologica,endodoncias,2011-01-01,8,7,8,7,15
PAILON,atencion odontologica,endodoncias,2011-01-01,2,1,2,1,3
PALCA,atencion odontologica,endodoncias,2011-01-01,1,1,1,1,2
PALOS BLANCOS,atencion odontologica,endodoncias,2011-01-01,3,3,3,3,6
PAMPA AULLAGAS,atencion odontologica,endodoncias,2011-01-01,3,0,3,0,3
PAMPA GRANDE,atencion odontologica,endodoncias,2011-01-01,0,2,0,2,2
PASORAPA,atencion odontologica,endodoncias,2011-01-01,0,6,0,6,6
PATACAMAYA,atencion odontologica,endodoncias,2011-01-01,4,42,4,42,46
PAZÑA,atencion odontologica,endodoncias,2011-01-01,0,5,0,5,5
POCOATA,atencion odontologica,endodoncias,2011-01-01,7,18,7,18,25
POCONA,atencion odontologica,endodoncias,2011-01-01,2,2,2,2,4
POJO (CBBA),atencion odontologica,endodoncias,2011-01-01,4,12,4,12,16
POOPO,atencion odontologica,endodoncias,2011-01-01,2,1,2,1,3
PORCO,atencion odontologica,endodoncias,2011-01-01,9,14,9,14,23
POROMA,atencion odontologica,endodoncias,2011-01-01,1,3,1,3,4
PORTACHUELO,atencion odontologica,endodoncias,2011-01-01,5,6,5,6,11
PORVENIR,atencion odontologica,endodoncias,2011-01-01,1,3,1,3,4
POTOSI,atencion odontologica,endodoncias,2011-01-01,193,248,193,248,441
PRESTO,atencion odontologica,endodoncias,2011-01-01,1,0,1,0,1
PUCARANI,atencion odontologica,endodoncias,2011-01-01,4,1,4,1,5
PUERTO ACOSTA,atencion odontologica,endodoncias,2011-01-01,5,1,5,1,6
PUERTO CARABUCO,atencion odontologica,endodoncias,2011-01-01,0,1,0,1,1
PUERTO GONZALO MORENO,atencion odontologica,endodoncias,2011-01-01,0,3,0,3,3
PUERTO SUAREZ,atencion odontologica,endodoncias,2011-01-01,4,2,4,2,6
PUERTO VILLARROEL,atencion odontologica,endodoncias,2011-01-01,69,47,69,47,116
PUNA,atencion odontologica,endodoncias,2011-01-01,2,7,2,7,9
PUNATA,atencion odontologica,endodoncias,2011-01-01,50,94,50,94,144
QUILLACOLLO,atencion odontologica,endodoncias,2011-01-01,19,54,19,54,73
QUIME,atencion odontologica,endodoncias,2011-01-01,0,7,0,7,7
QUIRUSILLAS,atencion odontologica,endodoncias,2011-01-01,1,2,1,2,3
RAVELO,atencion odontologica,endodoncias,2011-01-01,1,10,1,10,11
REYES,atencion odontologica,endodoncias,2011-01-01,2,3,2,3,5
RIBERALTA,atencion odontologica,endodoncias,2011-01-01,32,27,32,27,59
SABAYA,atencion odontologica,endodoncias,2011-01-01,1,2,1,2,3
SACABA,atencion odontologica,endodoncias,2011-01-01,60,78,60,78,138
SACABAMBA,atencion odontologica,endodoncias,2011-01-01,0,1,0,1,1
SAIPINA,atencion odontologica,endodoncias,2011-01-01,4,6,4,6,10
SALINAS DE GARCI MENDOZA,atencion odontologica,endodoncias,2011-01-01,6,9,6,9,15
SAMAIPATA,atencion odontologica,endodoncias,2011-01-01,0,6,0,6,6
SAN ANDRES DE MACHACA,atencion odontologica,endodoncias,2011-01-01,3,6,3,6,9
SAN ANTONIO DE LOMERIO,atencion odontologica,endodoncias,2011-01-01,4,4,4,4,8
SAN BENITO,atencion odontologica,endodoncias,2011-01-01,33,45,33,45,78
SAN BORJA,atencion odontologica,endodoncias,2011-01-01,0,15,0,15,15
SAN BUENA VENTURA,atencion odontologica,endodoncias,2011-01-01,0,6,0,6,6
SAN CARLOS,atencion odontologica,endodoncias,2011-01-01,6,15,6,15,21
SAN IGNACIO,atencion odontologica,endodoncias,2011-01-01,8,6,8,6,14
SAN IGNACIO DE VELASCO,atencion odontologica,endodoncias,2011-01-01,4,4,4,4,8
SAN JOSE DE CHIQUITOS,atencion odontologica,endodoncias,2011-01-01,0,6,0,6,6
SAN JULIAN,atencion odontologica,endodoncias,2011-01-01,12,16,12,16,28
SAN LORENZO(PND),atencion odontologica,endodoncias,2011-01-01,1,0,1,0,1
SAN LORENZO(TJA),atencion odontologica,endodoncias,2011-01-01,135,69,135,69,204
SAN LUCAS,atencion odontologica,endodoncias,2011-01-01,13,18,13,18,31
SAN MATIAS,atencion odontologica,endodoncias,2011-01-01,2,0,2,0,2
SAN MIGUEL DE VELASCO,atencion odontologica,endodoncias,2011-01-01,15,37,15,37,52
SAN PEDRO,atencion odontologica,endodoncias,2011-01-01,8,18,8,18,26
SAN PEDRO DE BUENA VISTA,atencion odontologica,endodoncias,2011-01-01,2,1,2,1,3
SAN PEDRO DE CURAHUARA,atencion odontologica,endodoncias,2011-01-01,1,0,1,0,1
SAN RAFAEL,atencion odontologica,endodoncias,2011-01-01,2,5,2,5,7
SAN RAMON BENI,atencion odontologica,endodoncias,2011-01-01,0,3,0,3,3
SAN RAMON SCZ,atencion odontologica,endodoncias,2011-01-01,4,5,4,5,9
SANTA ANA,atencion odontologica,endodoncias,2011-01-01,5,5,5,5,10
SANTA CRUZ DE LA SIERRA,atencion odontologica,endodoncias,2011-01-01,536,666,536,666,1202
SANTA ROSA,atencion odontologica,endodoncias,2011-01-01,4,1,4,1,5
SANTA ROSA DEL SARA,atencion odontologica,endodoncias,2011-01-01,1,3,1,3,4
SANTIAGO DE CALLAPA,atencion odontologica,endodoncias,2011-01-01,1,0,1,0,1
SANTIAGO DE HUARI,atencion odontologica,endodoncias,2011-01-01,3,8,3,8,11
SANTIVAÑES,atencion odontologica,endodoncias,2011-01-01,1,6,1,6,7
SANTUARIO DE QUILLACAS,atencion odontologica,endodoncias,2011-01-01,1,0,1,0,1
SENA,atencion odontologica,endodoncias,2011-01-01,0,1,0,1,1
SHINAOTA,atencion odontologica,endodoncias,2011-01-01,11,19,11,19,30
SICA SICA (VILLA AROMA),atencion odontologica,endodoncias,2011-01-01,1,3,1,3,4
SIPE SIPE,atencion odontologica,endodoncias,2011-01-01,50,51,50,51,101
SOPACHUY,atencion odontologica,endodoncias,2011-01-01,3,14,3,14,17
SORACACHI,atencion odontologica,endodoncias,2011-01-01,2,3,2,3,5
SORATA,atencion odontologica,endodoncias,2011-01-01,17,40,17,40,57
SUCRE,atencion odontologica,endodoncias,2011-01-01,340,603,340,603,943
TACACOMA,atencion odontologica,endodoncias,2011-01-01,0,1,0,1,1
TACOPAYA,atencion odontologica,endodoncias,2011-01-01,1,1,1,1,2
TAHUA,atencion odontologica,endodoncias,2011-01-01,0,2,0,2,2
TAPACARI,atencion odontologica,endodoncias,2011-01-01,2,2,2,2,4
TARABUCO,atencion odontologica,endodoncias,2011-01-01,1,2,1,2,3
TARATA,atencion odontologica,endodoncias,2011-01-01,0,3,0,3,3
TARIJA,atencion odontologica,endodoncias,2011-01-01,464,270,464,270,734
TARVITA,atencion odontologica,endodoncias,2011-01-01,1,4,1,4,5
TEOPONTE,atencion odontologica,endodoncias,2011-01-01,1,0,1,0,1
TIAWANACU,atencion odontologica,endodoncias,2011-01-01,0,4,0,4,4
TIPUANI,atencion odontologica,endodoncias,2011-01-01,10,22,10,22,32
TIQUIPAYA,atencion odontologica,endodoncias,2011-01-01,57,78,57,78,135
TIRAQUE (CBBA),atencion odontologica,endodoncias,2011-01-01,3,24,3,24,27
TOCO,atencion odontologica,endodoncias,2011-01-01,0,4,0,4,4
TOLATA,atencion odontologica,endodoncias,2011-01-01,2,0,2,0,2
TOLEDO,atencion odontologica,endodoncias,2011-01-01,0,2,0,2,2
TOMAVE,atencion odontologica,endodoncias,2011-01-01,1,1,1,1,2
TOMINA,atencion odontologica,endodoncias,2011-01-01,4,12,4,12,16
TORO TORO,atencion odontologica,endodoncias,2011-01-01,0,4,0,4,4
TOTORA(CBBA),atencion odontologica,endodoncias,2011-01-01,3,3,3,3,6
TRINIDAD,atencion odontologica,endodoncias,2011-01-01,54,98,54,98,152
TUPIZA,atencion odontologica,endodoncias,2011-01-01,181,165,181,165,346
TURCO,atencion odontologica,endodoncias,2011-01-01,14,9,14,9,23
UNCIA,atencion odontologica,endodoncias,2011-01-01,8,6,8,6,14
URIONDO (A. CONCEPCION),atencion odontologica,endodoncias,2011-01-01,7,10,7,10,17
URUBICHA,atencion odontologica,endodoncias,2011-01-01,1,1,1,1,2
UYUNI,atencion odontologica,endodoncias,2011-01-01,15,49,15,49,64
VACAS,atencion odontologica,endodoncias,2011-01-01,1,2,1,2,3
VALLEGRANDE,atencion odontologica,endodoncias,2011-01-01,29,19,29,19,48
VIACHA,atencion odontologica,endodoncias,2011-01-01,39,46,39,46,85
VILLA MONTES,atencion odontologica,endodoncias,2011-01-01,60,59,60,59,119
VILLA RIVERO,atencion odontologica,endodoncias,2011-01-01,2,7,2,7,9
VILLA SERRANO,atencion odontologica,endodoncias,2011-01-01,3,10,3,10,13
VILLA TUNARI,atencion odontologica,endodoncias,2011-01-01,34,68,34,68,102
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,endodoncias,2011-01-01,0,1,0,1,1
VILLAZON,atencion odontologica,endodoncias,2011-01-01,30,44,30,44,74
VINTO,atencion odontologica,endodoncias,2011-01-01,9,5,9,5,14
VITICHI,atencion odontologica,endodoncias,2011-01-01,6,13,6,13,19
WALDO BALLIVIAN,atencion odontologica,endodoncias,2011-01-01,1,9,1,9,10
WARNES,atencion odontologica,endodoncias,2011-01-01,4,13,4,13,17
YACUIBA,atencion odontologica,endodoncias,2011-01-01,25,53,25,53,78
YAMPARAEZ,atencion odontologica,endodoncias,2011-01-01,6,4,6,4,10
YANACACHI,atencion odontologica,endodoncias,2011-01-01,1,7,1,7,8
YAPACANI,atencion odontologica,endodoncias,2011-01-01,5,6,5,6,11
YOTALA,atencion odontologica,endodoncias,2011-01-01,13,14,13,14,27
ZUDAÑEZ,atencion odontologica,endodoncias,2011-01-01,0,1,0,1,1
ACACIO,atencion odontologica,endodoncias,2011-02-01,1,2,1,2,3
ACHACACHI,atencion odontologica,endodoncias,2011-02-01,19,27,19,27,46
ACHOCALLA,atencion odontologica,endodoncias,2011-02-01,5,4,5,4,9
AIQUILE,atencion odontologica,endodoncias,2011-02-01,29,39,29,39,68
ALCALA,atencion odontologica,endodoncias,2011-02-01,0,4,0,4,4
ANCORAIMES,atencion odontologica,endodoncias,2011-02-01,3,5,3,5,8
ANDAMARCA,atencion odontologica,endodoncias,2011-02-01,0,6,0,6,6
ANTEQUERA,atencion odontologica,endodoncias,2011-02-01,1,3,1,3,4
ANZALDO,atencion odontologica,endodoncias,2011-02-01,1,3,1,3,4
ARANI,atencion odontologica,endodoncias,2011-02-01,5,10,5,10,15
ARBIETO,atencion odontologica,endodoncias,2011-02-01,4,5,4,5,9
ASCENCION DE GUARAYOS,atencion odontologica,endodoncias,2011-02-01,1,1,1,1,2
ATOCHA,atencion odontologica,endodoncias,2011-02-01,16,17,16,17,33
AYATA,atencion odontologica,endodoncias,2011-02-01,2,13,2,13,15
AYO AYO,atencion odontologica,endodoncias,2011-02-01,0,2,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,endodoncias,2011-02-01,11,18,11,18,29
AZURDUY,atencion odontologica,endodoncias,2011-02-01,1,2,1,2,3
BATALLAS,atencion odontologica,endodoncias,2011-02-01,0,2,0,2,2
BAURES,atencion odontologica,endodoncias,2011-02-01,10,9,10,9,19
BELEN DE ANDAMARCA,atencion odontologica,endodoncias,2011-02-01,1,0,1,0,1
BELEN DE URMIRI,atencion odontologica,endodoncias,2011-02-01,1,0,1,0,1
BERMEJO,atencion odontologica,endodoncias,2011-02-01,36,39,36,39,75
BETANZOS,atencion odontologica,endodoncias,2011-02-01,5,8,5,8,13
BOLIVAR,atencion odontologica,endodoncias,2011-02-01,2,5,2,5,7
BOYUIBE,atencion odontologica,endodoncias,2011-02-01,2,2,2,2,4
BUENA VISTA,atencion odontologica,endodoncias,2011-02-01,7,13,7,13,20
CABEZAS,atencion odontologica,endodoncias,2011-02-01,0,1,0,1,1
CAIROMA,atencion odontologica,endodoncias,2011-02-01,4,8,4,8,12
"CAIZA ""D""",atencion odontologica,endodoncias,2011-02-01,1,7,1,7,8
CAJUATA,atencion odontologica,endodoncias,2011-02-01,0,3,0,3,3
CALAMARCA,atencion odontologica,endodoncias,2011-02-01,15,10,15,10,25
CAMARGO,atencion odontologica,endodoncias,2011-02-01,15,17,15,17,32
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,endodoncias,2011-02-01,1,2,1,2,3
CAMIRI,atencion odontologica,endodoncias,2011-02-01,15,38,15,38,53
CAPINOTA,atencion odontologica,endodoncias,2011-02-01,32,15,32,15,47
CAQUIAVIRI,atencion odontologica,endodoncias,2011-02-01,1,1,1,1,2
CARACOLLO,atencion odontologica,endodoncias,2011-02-01,4,4,4,4,8
CARANAVI,atencion odontologica,endodoncias,2011-02-01,17,38,17,38,55
CARAPARI,atencion odontologica,endodoncias,2011-02-01,17,17,17,17,34
CARIPUYO,atencion odontologica,endodoncias,2011-02-01,0,12,0,12,12
CATACORA,atencion odontologica,endodoncias,2011-02-01,0,1,0,1,1
CHALLAPATA,atencion odontologica,endodoncias,2011-02-01,6,14,6,14,20
CHAQUI,atencion odontologica,endodoncias,2011-02-01,1,1,1,1,2
CHARAGUA,atencion odontologica,endodoncias,2011-02-01,3,11,3,11,14
CHAYANTA,atencion odontologica,endodoncias,2011-02-01,2,1,2,1,3
CHIMORE,atencion odontologica,endodoncias,2011-02-01,6,7,6,7,13
CHOQUE COTA,atencion odontologica,endodoncias,2011-02-01,1,4,1,4,5
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,endodoncias,2011-02-01,28,42,28,42,70
CHUMA,atencion odontologica,endodoncias,2011-02-01,0,5,0,5,5
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,endodoncias,2011-02-01,3,10,3,10,13
CLIZA,atencion odontologica,endodoncias,2011-02-01,4,50,4,50,54
COBIJA,atencion odontologica,endodoncias,2011-02-01,18,32,18,32,50
COCHABAMBA,atencion odontologica,endodoncias,2011-02-01,711,834,711,834,1545
COIPASA,atencion odontologica,endodoncias,2011-02-01,0,1,0,1,1
COLCAPIRHUA,atencion odontologica,endodoncias,2011-02-01,10,32,10,32,42
"COLCHA ""K""",atencion odontologica,endodoncias,2011-02-01,0,1,0,1,1
COLLANA,atencion odontologica,endodoncias,2011-02-01,0,6,0,6,6
COLPA BELGICA,atencion odontologica,endodoncias,2011-02-01,0,3,0,3,3
COLQUECHACA,atencion odontologica,endodoncias,2011-02-01,5,1,5,1,6
COLQUENCHA,atencion odontologica,endodoncias,2011-02-01,2,7,2,7,9
COMANCHE,atencion odontologica,endodoncias,2011-02-01,2,14,2,14,16
COMARAPA,atencion odontologica,endodoncias,2011-02-01,16,13,16,13,29
CONCEPCION,atencion odontologica,endodoncias,2011-02-01,1,3,1,3,4
COPACABANA,atencion odontologica,endodoncias,2011-02-01,1,1,1,1,2
CORIPATA,atencion odontologica,endodoncias,2011-02-01,0,1,0,1,1
COROICO,atencion odontologica,endodoncias,2011-02-01,1,2,1,2,3
CORQUE,atencion odontologica,endodoncias,2011-02-01,1,16,1,16,17
COTAGAITA,atencion odontologica,endodoncias,2011-02-01,11,16,11,16,27
COTOCA,atencion odontologica,endodoncias,2011-02-01,0,8,0,8,8
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,endodoncias,2011-02-01,1,3,1,3,4
CUEVO,atencion odontologica,endodoncias,2011-02-01,0,1,0,1,1
CULPINA,atencion odontologica,endodoncias,2011-02-01,5,3,5,3,8
CURAHUARA DE CARANGAS,atencion odontologica,endodoncias,2011-02-01,0,3,0,3,3
EL ALTO,atencion odontologica,endodoncias,2011-02-01,309,474,309,474,783
EL PUENTE(STC),atencion odontologica,endodoncias,2011-02-01,0,2,0,2,2
EL PUENTE(TJA),atencion odontologica,endodoncias,2011-02-01,7,16,7,16,23
EL TORNO,atencion odontologica,endodoncias,2011-02-01,9,28,9,28,37
ENTRE RIOS TRJ,atencion odontologica,endodoncias,2011-02-01,11,8,11,8,19
ENTRE RIOS CBBA,atencion odontologica,endodoncias,2011-02-01,11,15,11,15,26
ESCOMA,atencion odontologica,endodoncias,2011-02-01,2,8,2,8,10
EUCALIPTUS,atencion odontologica,endodoncias,2011-02-01,14,9,14,9,23
FERNANDEZ ALONSO,atencion odontologica,endodoncias,2011-02-01,4,6,4,6,10
FILADELFIA,atencion odontologica,endodoncias,2011-02-01,3,3,3,3,6
GENERAL SAAVEDRA,atencion odontologica,endodoncias,2011-02-01,2,1,2,1,3
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,endodoncias,2011-02-01,2,1,2,1,3
GUANAY,atencion odontologica,endodoncias,2011-02-01,13,13,13,13,26
GUAQUI,atencion odontologica,endodoncias,2011-02-01,0,2,0,2,2
GUAYARAMERIN,atencion odontologica,endodoncias,2011-02-01,2,5,2,5,7
GUTIERREZ,atencion odontologica,endodoncias,2011-02-01,7,8,7,8,15
HUACARETA,atencion odontologica,endodoncias,2011-02-01,3,8,3,8,11
HUACHACALLA,atencion odontologica,endodoncias,2011-02-01,0,1,0,1,1
HUANUNI,atencion odontologica,endodoncias,2011-02-01,10,12,10,12,22
HUARACAJE,atencion odontologica,endodoncias,2011-02-01,3,4,3,4,7
HUAYLLAMARCA,atencion odontologica,endodoncias,2011-02-01,1,7,1,7,8
HUMANATA,atencion odontologica,endodoncias,2011-02-01,1,2,1,2,3
ICLA,atencion odontologica,endodoncias,2011-02-01,3,4,3,4,7
