,group,variable,month,CONSULTAS NUEVAS DE 5 A 59 AÑOS CANTIDAD,CONSULTAS NUEVAS DE 5 A 59 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
CAMIRI,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,177,253,177,253,430
CAPINOTA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,139,158,139,158,297
CAQUIAVIRI,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,43,94,43,94,137
CARACOLLO,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,204,371,204,371,575
CARANAVI,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,70,90,70,90,160
CARAPARI,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,180,297,180,297,477
CARIPUYO,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,26,38,26,38,64
CARMEN RIVERO TORREZ,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,29,30,29,30,59
CATACORA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,12,22,12,22,34
CHACARILLA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,0,12,0,12,12
CHALLAPATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,124,214,124,214,338
CHAQUI,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,13,38,13,38,51
CHARAGUA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,71,238,71,238,309
CHARAÑA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,6,0,6,0,6
CHAYANTA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,32,85,32,85,117
CHIMORE,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,39,64,39,64,103
CHIPAYA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,6,7,6,7,13
CHOQUE COTA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,10,15,10,15,25
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,111,123,111,123,234
CHUMA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,85,110,85,110,195
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,7,17,7,17,24
CKOCHAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,14,24,14,24,38
CLIZA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,187,368,187,368,555
COBIJA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,307,485,307,485,792
COCAPATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,2,17,2,17,19
COCHABAMBA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,2450,3730,2450,3730,6180
COIPASA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,22,30,22,30,52
COLCAPIRHUA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,79,143,79,143,222
"COLCHA ""K""",atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,42,50,42,50,92
COLLANA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,10,31,10,31,41
COLOMI,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,46,77,46,77,123
COLPA BELGICA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,81,140,81,140,221
COLQUECHACA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,49,110,49,110,159
COLQUENCHA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,10,30,10,30,40
COLQUIRI,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,150,144,150,144,294
COMANCHE,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,80,137,80,137,217
COMARAPA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,88,227,88,227,315
COMBAYA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,3,2,3,2,5
CONCEPCION,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,18,34,18,34,52
COPACABANA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,49,92,49,92,141
CORIPATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,33,30,33,30,63
CORO CORO,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,18,22,18,22,40
COROICO,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,63,92,63,92,155
CORQUE,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,33,30,33,30,63
COTAGAITA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,186,300,186,300,486
COTOCA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,23,119,23,119,142
CUATRO CAÑADAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,36,105,36,105,141
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,5,9,5,9,14
CUEVO,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,15,61,15,61,76
CULPINA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,31,40,31,40,71
CURAHUARA DE CARANGAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,27,64,27,64,91
CURVA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,1,3,1,3,4
DESAGUADERO,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,23,47,23,47,70
EL ALTO,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,4467,6353,4467,6353,10820
EL CHORO,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,19,21,19,21,40
EL PUENTE(STC),atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,36,57,36,57,93
EL PUENTE(TJA),atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,41,172,41,172,213
EL TORNO,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,71,198,71,198,269
EL VILLAR,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,22,15,22,15,37
ENTRE RIOS TRJ,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,72,200,72,200,272
ENTRE RIOS CBBA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,12,10,12,10,22
ESCOMA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,95,114,95,114,209
EUCALIPTUS,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,37,43,37,43,80
FERNANDEZ ALONSO,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,50,102,50,102,152
FILADELFIA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,12,8,12,8,20
GENERAL SAAVEDRA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,22,70,22,70,92
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,59,92,59,92,151
GUANAY,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,29,84,29,84,113
GUAQUI,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,81,117,81,117,198
GUAYARAMERIN,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,244,340,244,340,584
GUTIERREZ,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,47,125,47,125,172
HUACARETA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,36,86,36,86,122
HUACHACALLA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,27,44,27,44,71
HUANUNI,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,58,97,58,97,155
HUARACAJE,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,12,11,12,11,23
HUARINA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,54,27,54,27,81
HUAYLLAMARCA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,48,49,48,49,97
HUMANATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,10,45,10,45,55
ICHOCA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,8,12,8,12,20
ICLA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,16,57,16,57,73
INCAHUASI,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,18,40,18,40,58
INQUISIVI,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,28,87,28,87,115
IRUPANA (VILLA DE LANZA),atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,57,75,57,75,132
IXIAMAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,80,84,80,84,164
JESUS DE MACHACA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,81,116,81,116,197
LA ASUNTA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,51,89,51,89,140
LA GUARDIA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,94,261,94,261,355
LA PAZ,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,5673,8006,5673,8006,13679
LAGUNILLAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,18,45,18,45,63
LAJA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,53,89,53,89,142
LAS CARRERAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,32,28,32,28,60
LICOMA PAMPA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,12,28,12,28,40
LLALLAGUA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,124,152,124,152,276
LLICA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,44,85,44,85,129
LORETO,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,1,0,1,0,1
LURIBAY,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,40,93,40,93,133
MACHACAMARCA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,61,50,61,50,111
MACHARETI,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,6,13,6,13,19
MAGDALENA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,53,61,53,61,114
MAIRANA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,49,101,49,101,150
MALLA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,16,21,16,21,37
MAPIRI,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,22,94,22,94,116
MECAPACA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,47,49,47,49,96
MINEROS,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,36,155,36,155,191
MIZQUE,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,12,35,12,35,47
MOCOMOCO,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,35,35,35,35,70
MOJOCOYA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,27,50,27,50,77
MONTEAGUDO,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,79,100,79,100,179
MONTERO,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,114,398,114,398,512
MORO MORO,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,4,11,4,11,15
MOROCHATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,3,39,3,39,42
OCURI,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,28,69,28,69,97
OKINAWA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,32,66,32,66,98
OMEREQUE,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,20,27,20,27,47
ORURO,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,1586,2587,1586,2587,4173
PADCAYA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,54,88,54,88,142
PADILLA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,85,128,85,128,213
PAILON,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,70,151,70,151,221
PALCA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,48,65,48,65,113
PALOS BLANCOS,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,65,93,65,93,158
PAMPA AULLAGAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,13,12,13,12,25
PAMPA GRANDE,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,5,17,5,17,22
PAPEL PAMPA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,3,4,3,4,7
PASORAPA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,11,37,11,37,48
PATACAMAYA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,47,102,47,102,149
PAZÑA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,22,26,22,26,48
PELECHUCO,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,22,36,22,36,58
POCOATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,41,72,41,72,113
POCONA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,61,47,61,47,108
POJO (CBBA),atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,81,125,81,125,206
POOPO,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,86,159,86,159,245
PORCO,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,27,63,27,63,90
POROMA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,2,1,2,1,3
PORONGO,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,21,25,21,25,46
PORTACHUELO,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,9,16,9,16,25
PORVENIR,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,48,79,48,79,127
POSTRER VALLE,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,7,27,7,27,34
POTOSI,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,649,1478,649,1478,2127
PRESTO,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,9,7,9,7,16
PUCARA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,14,30,14,30,44
PUCARANI,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,196,298,196,298,494
PUERTO ACOSTA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,53,85,53,85,138
PUERTO CARABUCO,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,50,100,50,100,150
PUERTO GONZALO MORENO,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,16,56,16,56,72
PUERTO PEREZ,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,2,3,2,3,5
PUERTO QUIJARRO,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,71,27,71,27,98
PUERTO RICO,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,145,139,145,139,284
PUERTO SUAREZ,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,46,174,46,174,220
PUERTO VILLARROEL,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,54,183,54,183,237
PUNA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,60,138,60,138,198
PUNATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,137,251,137,251,388
QUIABAYA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,8,16,8,16,24
QUILLACOLLO,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,207,534,207,534,741
QUIME,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,154,114,154,114,268
QUIRUSILLAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,27,36,27,36,63
RAVELO,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,10,69,10,69,79
REYES,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,39,42,39,42,81
RIBERALTA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,174,203,174,203,377
ROBORE,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,44,109,44,109,153
RURRENABAQUE,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,11,20,11,20,31
SABAYA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,56,59,56,59,115
SACABA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,1402,2445,1402,2445,3847
SACABAMBA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,10,20,10,20,30
SACACA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,24,34,24,34,58
SAIPINA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,17,36,17,36,53
SALINAS DE GARCI MENDOZA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,67,60,67,60,127
SAMAIPATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,18,45,18,45,63
SAN AGUSTIN,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,13,11,13,11,24
SAN ANDRES,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,30,39,30,39,69
SAN ANDRES DE MACHACA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,32,70,32,70,102
SAN ANTONIO DE LOMERIO,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,33,45,33,45,78
SAN BENITO,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,92,98,92,98,190
SAN BORJA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,33,61,33,61,94
SAN BUENA VENTURA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,12,36,12,36,48
SAN CARLOS,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,69,145,69,145,214
SAN IGNACIO,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,99,196,99,196,295
SAN IGNACIO DE VELASCO,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,42,85,42,85,127
SAN JAVIER(BNI),atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,8,11,8,11,19
SAN JAVIER(STC),atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,10,39,10,39,49
SAN JOAQUIN,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,4,2,4,2,6
SAN JOSE DE CHIQUITOS,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,38,94,38,94,132
SAN JUAN DE YAPACANI,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,13,36,13,36,49
SAN JULIAN,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,63,170,63,170,233
SAN LORENZO(PND),atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,7,7,7,7,14
SAN LORENZO(TJA),atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,311,635,311,635,946
SAN LUCAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,49,85,49,85,134
SAN MATIAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,51,74,51,74,125
SAN MIGUEL DE VELASCO,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,63,125,63,125,188
SAN PEDRO,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,57,133,57,133,190
SAN PEDRO DE BUENA VISTA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,31,46,31,46,77
SAN PEDRO DE CURAHUARA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,22,31,22,31,53
SAN PEDRO DE TIQUINA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,25,33,25,33,58
SAN RAFAEL,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,12,43,12,43,55
SAN RAMON BENI,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,19,36,19,36,55
SAN RAMON SCZ,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,17,96,17,96,113
SANTA ANA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,40,150,40,150,190
SANTA CRUZ DE LA SIERRA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,2752,4378,2752,4378,7130
SANTA ROSA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,101,124,101,124,225
SANTA ROSA DEL SARA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,50,88,50,88,138
SANTIAGO DE CALLAPA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,15,29,15,29,44
SANTIAGO DE HUARI,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,95,148,95,148,243
SANTIAGO DE HUATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,41,24,41,24,65
SANTIAGO DE MACHACA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,13,29,13,29,42
SANTIVAÑES,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,19,65,19,65,84
SANTUARIO DE QUILLACAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,8,18,8,18,26
SAPAHAQUI,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,32,37,32,37,69
SENA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,41,17,41,17,58
SHINAOTA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,55,47,55,47,102
SICA SICA (VILLA AROMA),atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,49,78,49,78,127
SICAYA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,6,23,6,23,29
SIPE SIPE,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,127,318,127,318,445
SOPACHUY,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,31,63,31,63,94
SORACACHI,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,46,52,46,52,98
SORATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,87,140,87,140,227
SUCRE,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,2685,4461,2685,4461,7146
TACACOMA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,59,82,59,82,141
TACOPAYA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,9,39,9,39,48
TAHUA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,7,7,7,7,14
TAPACARI,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,37,55,37,55,92
TARABUCO,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,44,51,44,51,95
TARACO,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,15,63,15,63,78
TARATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,68,134,68,134,202
TARIJA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,1198,2152,1198,2152,3350
TARVITA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,16,87,16,87,103
TEOPONTE,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,13,11,13,11,24
