,group,variable,month,CONSULTAS NUEVAS A MUJER EMBARAZADA O PUÉRPERA CANTIDAD,CONSULTAS NUEVAS A MUJER EMBARAZADA O PUÉRPERA CANTIDAD,TOTALES,TOTALES,TOTALES
CARAPARI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,1,0,1,1
CARIPUYO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,56,0,56,56
CARMEN RIVERO TORREZ,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,9,0,9,9
CATACORA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,2,0,2,2
CHALLAPATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,48,0,48,48
CHAQUI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,3,0,3,3
CHARAGUA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,73,0,73,73
CHAYANTA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,26,0,26,26
CHIMORE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,63,0,63,63
CHIPAYA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,5,0,5,5
CHOQUE COTA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,4,0,4,4
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,45,0,45,45
CHUMA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,25,0,25,25
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,7,0,7,7
CKOCHAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,18,0,18,18
CLIZA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,106,0,106,106
COBIJA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,295,0,295,295
COCAPATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,2,0,2,2
COCHABAMBA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,1059,0,1059,1059
COLCAPIRHUA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,83,0,83,83
"COLCHA ""K""",atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,25,0,25,25
COLOMI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,78,0,78,78
COLPA BELGICA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,53,0,53,53
COLQUECHACA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,42,0,42,42
COLQUENCHA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,1,0,1,1
COMANCHE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,11,0,11,11
COMARAPA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,51,0,51,51
CONCEPCION,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,7,0,7,7
COPACABANA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,25,0,25,25
CORIPATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,6,0,6,6
COROICO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,1,0,1,1
CORQUE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,18,0,18,18
COTAGAITA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,14,0,14,14
COTOCA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,69,0,69,69
CUATRO CAÑADAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,28,0,28,28
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,8,0,8,8
CUEVO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,17,0,17,17
CULPINA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,9,0,9,9
CURAHUARA DE CARANGAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,1,0,1,1
DESAGUADERO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,2,0,2,2
EL ALTO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,734,0,734,734
EL CHORO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,4,0,4,4
EL PUENTE(STC),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,16,0,16,16
EL PUENTE(TJA),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,1,0,1,1
EL TORNO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,23,0,23,23
EL VILLAR,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,7,0,7,7
ENTRE RIOS TRJ,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,3,0,3,3
ENTRE RIOS CBBA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,3,0,3,3
ESCOMA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,2,0,2,2
EUCALIPTUS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,25,0,25,25
FERNANDEZ ALONSO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,26,0,26,26
FILADELFIA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,1,0,1,1
GENERAL SAAVEDRA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,14,0,14,14
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,8,0,8,8
GUANAY,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,16,0,16,16
GUAQUI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,15,0,15,15
GUAYARAMERIN,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,26,0,26,26
GUTIERREZ,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,49,0,49,49
HUACARETA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,22,0,22,22
HUANUNI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,20,0,20,20
HUARACAJE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,5,0,5,5
HUAYLLAMARCA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,13,0,13,13
HUMANATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,26,0,26,26
ICLA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,29,0,29,29
INCAHUASI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,22,0,22,22
INQUISIVI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,47,0,47,47
IRUPANA (VILLA DE LANZA),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,7,0,7,7
IXIAMAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,2,0,2,2
JESUS DE MACHACA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,1,0,1,1
LA ASUNTA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,35,0,35,35
LA GUARDIA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,48,0,48,48
LA PAZ,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,989,0,989,989
LAGUNILLAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,6,0,6,6
LAJA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,34,0,34,34
LAS CARRERAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,11,0,11,11
LICOMA PAMPA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,13,0,13,13
LLALLAGUA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,116,0,116,116
LLICA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,2,0,2,2
LURIBAY,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,15,0,15,15
MACHACAMARCA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,2,0,2,2
MACHARETI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,20,0,20,20
MAGDALENA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,5,0,5,5
MAIRANA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,55,0,55,55
MALLA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,11,0,11,11
MAPIRI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,33,0,33,33
MECAPACA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,9,0,9,9
MINEROS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,17,0,17,17
MIZQUE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,45,0,45,45
MOCOMOCO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,4,0,4,4
MOJOCOYA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,17,0,17,17
MONTEAGUDO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,87,0,87,87
MONTERO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,92,0,92,92
MOROCHATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,10,0,10,10
OCURI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,17,0,17,17
OKINAWA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,15,0,15,15
ORURO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,359,0,359,359
PADCAYA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,4,0,4,4
PADILLA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,15,0,15,15
PAILON,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,81,0,81,81
PALCA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,12,0,12,12
PALOS BLANCOS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,40,0,40,40
PAMPA AULLAGAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,11,0,11,11
PAMPA GRANDE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,12,0,12,12
PAPEL PAMPA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,1,0,1,1
PASORAPA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,31,0,31,31
PATACAMAYA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,39,0,39,39
PAZÑA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,1,0,1,1
PELECHUCO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,8,0,8,8
POCOATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,55,0,55,55
POCONA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,10,0,10,10
POJO (CBBA),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,43,0,43,43
POOPO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,4,0,4,4
PORCO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,53,0,53,53
POROMA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,8,0,8,8
PORONGO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,2,0,2,2
PORTACHUELO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,34,0,34,34
PORVENIR,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,17,0,17,17
POSTRER VALLE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,11,0,11,11
POTOSI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,572,0,572,572
PRESTO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,2,0,2,2
PUCARA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,3,0,3,3
PUCARANI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,21,0,21,21
PUERTO ACOSTA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,8,0,8,8
PUERTO CARABUCO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,1,0,1,1
PUERTO GONZALO MORENO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,18,0,18,18
PUERTO QUIJARRO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,69,0,69,69
PUERTO RICO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,24,0,24,24
PUERTO SUAREZ,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,36,0,36,36
PUERTO VILLARROEL,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,79,0,79,79
PUNA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,21,0,21,21
PUNATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,30,0,30,30
QUIABAYA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,3,0,3,3
QUILLACOLLO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,58,0,58,58
QUIME,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,19,0,19,19
QUIRUSILLAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,9,0,9,9
RAVELO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,22,0,22,22
REYES,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,10,0,10,10
RIBERALTA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,94,0,94,94
RURRENABAQUE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,7,0,7,7
SABAYA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,10,0,10,10
SACABA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,268,0,268,268
SACABAMBA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,25,0,25,25
SACACA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,2,0,2,2
SAIPINA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,29,0,29,29
SALINAS DE GARCI MENDOZA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,37,0,37,37
SAMAIPATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,9,0,9,9
SAN ANDRES,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,3,0,3,3
SAN ANDRES DE MACHACA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,18,0,18,18
SAN ANTONIO DE LOMERIO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,11,0,11,11
SAN BENITO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,24,0,24,24
SAN BORJA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,67,0,67,67
SAN CARLOS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,71,0,71,71
SAN IGNACIO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,11,0,11,11
SAN IGNACIO DE VELASCO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,44,0,44,44
SAN JAVIER(STC),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,3,0,3,3
SAN JOSE DE CHIQUITOS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,25,0,25,25
SAN JUAN DE YAPACANI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,19,0,19,19
SAN JULIAN,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,13,0,13,13
SAN LORENZO(PND),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,9,0,9,9
SAN LORENZO(TJA),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,8,0,8,8
SAN LUCAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,12,0,12,12
SAN MATIAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,3,0,3,3
SAN MIGUEL DE VELASCO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,14,0,14,14
SAN PEDRO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,42,0,42,42
SAN PEDRO DE BUENA VISTA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,42,0,42,42
SAN PEDRO DE CURAHUARA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,6,0,6,6
SAN PEDRO DE TIQUINA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,1,0,1,1
SAN RAFAEL,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,26,0,26,26
SAN RAMON BENI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,10,0,10,10
SAN RAMON SCZ,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,18,0,18,18
SANTA ANA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,48,0,48,48
SANTA CRUZ DE LA SIERRA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,1636,0,1636,1636
SANTA ROSA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,25,0,25,25
SANTA ROSA DEL SARA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,23,0,23,23
SANTIAGO DE CALLAPA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,4,0,4,4
SANTIAGO DE HUARI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,31,0,31,31
SANTIAGO DE HUATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,1,0,1,1
SANTIAGO DE MACHACA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,22,0,22,22
SANTIVAÑES,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,4,0,4,4
SANTUARIO DE QUILLACAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,12,0,12,12
SAPAHAQUI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,6,0,6,6
SENA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,6,0,6,6
SICA SICA (VILLA AROMA),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,28,0,28,28
SICAYA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,15,0,15,15
SIPE SIPE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,216,0,216,216
SOPACHUY,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,22,0,22,22
SORACACHI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,8,0,8,8
SORATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,27,0,27,27
SUCRE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,533,0,533,533
TACACOMA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,18,0,18,18
TACOPAYA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,1,0,1,1
TAHUA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,4,0,4,4
TAPACARI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,23,0,23,23
TARABUCO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,38,0,38,38
TARACO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,24,0,24,24
TARATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,15,0,15,15
TARIJA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,77,0,77,77
TARVITA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,48,0,48,48
TIAWANACU,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,43,0,43,43
TINGUIPAYA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,12,0,12,12
TIPUANI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,12,0,12,12
TIQUIPAYA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,324,0,324,324
TIRAQUE (CBBA),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,55,0,55,55
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,3,0,3,3
TOCO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,5,0,5,5
TOLATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,14,0,14,14
TOLEDO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,10,0,10,10
TOMAVE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,11,0,11,11
TOMINA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,95,0,95,95
TORO TORO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,15,0,15,15
TOTORA(CBBA),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,45,0,45,45
TOTORA(ORR),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,1,0,1,1
