,group,variable,month,ACCIONES PREVENTIVAS DENTRO DEL ESTABLECIMIENTO CANTIDAD,ACCIONES PREVENTIVAS DENTRO DEL ESTABLECIMIENTO CANTIDAD,TOTALES,TOTALES,TOTALES
CARIPUYO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,11,26,11,26,37
CARMEN RIVERO TORREZ,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,56,66,56,66,122
CHALLAPATA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,83,70,83,70,153
CHAQUI,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,1,2,1,2,3
CHARAGUA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,15,37,15,37,52
CHAYANTA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,0,7,0,7,7
CHIMORE,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,26,20,26,20,46
CHIPAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,1,0,1,0,1
CHOQUE COTA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,59,66,59,66,125
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,150,0,150,0,150
CHUMA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,5,7,5,7,12
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,12,11,12,11,23
CKOCHAS,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,0,6,0,6,6
CLIZA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,120,234,120,234,354
COBIJA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,288,373,288,373,661
COCHABAMBA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,3107,3940,3107,3940,7047
COIPASA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,0,4,0,4,4
COLCAPIRHUA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,93,126,93,126,219
"COLCHA ""K""",atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,4,16,4,16,20
COLLANA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,1,3,1,3,4
COLOMI,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,54,78,54,78,132
COLPA BELGICA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,85,131,85,131,216
COLQUECHACA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,22,24,22,24,46
COLQUENCHA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,0,5,0,5,5
COLQUIRI,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,71,50,71,50,121
COMANCHE,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,36,36,36,36,72
COMARAPA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,13,16,13,16,29
CONCEPCION,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,26,25,26,25,51
COPACABANA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,27,60,27,60,87
CORIPATA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,5,0,5,0,5
CORO CORO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,10,8,10,8,18
CORQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,5,11,5,11,16
COTAGAITA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,106,296,106,296,402
COTOCA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,35,98,35,98,133
CUATRO CAÑADAS,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,18,44,18,44,62
CUEVO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,7,7,7,7,14
CULPINA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,6,0,6,0,6
CURAHUARA DE CARANGAS,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,16,21,16,21,37
DESAGUADERO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,1,3,1,3,4
EL ALTO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,1419,1665,1419,1665,3084
EL CHORO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,2,1,2,1,3
EL PUENTE(STC),atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,8,12,8,12,20
EL PUENTE(TJA),atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,12,44,12,44,56
EL TORNO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,19,26,19,26,45
EL VILLAR,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,4,3,4,3,7
ENTRE RIOS TRJ,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,3,5,3,5,8
ENTRE RIOS CBBA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,5,13,5,13,18
ESCOMA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,5,7,5,7,12
EUCALIPTUS,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,12,1,12,1,13
FERNANDEZ ALONSO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,23,20,23,20,43
FILADELFIA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,6,5,6,5,11
GENERAL SAAVEDRA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,0,1,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,15,8,15,8,23
GUANAY,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,18,8,18,8,26
GUAQUI,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,6,17,6,17,23
GUAYARAMERIN,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,12,6,12,6,18
GUTIERREZ,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,66,62,66,62,128
HUACARETA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,0,1,0,1,1
HUANUNI,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,29,27,29,27,56
HUARACAJE,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,8,10,8,10,18
HUAYLLAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,14,9,14,9,23
HUMANATA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,1,1,1,1,2
ICLA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,12,18,12,18,30
INCAHUASI,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,16,19,16,19,35
INQUISIVI,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,1,1,1,1,2
IRUPANA (VILLA DE LANZA),atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,12,22,12,22,34
IXIAMAS,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,9,12,9,12,21
JESUS DE MACHACA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,10,8,10,8,18
LA ASUNTA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,29,36,29,36,65
LA GUARDIA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,42,87,42,87,129
LA PAZ,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,2794,2322,2794,2322,5116
LAGUNILLAS,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,3,4,3,4,7
LAJA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,16,0,16,0,16
LICOMA PAMPA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,1,0,1,0,1
LLALLAGUA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,93,108,93,108,201
LLICA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,9,5,9,5,14
LURIBAY,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,3,5,3,5,8
MACHACAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,17,15,17,15,32
MACHARETI,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,2,46,2,46,48
MAGDALENA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,33,14,33,14,47
MAIRANA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,19,33,19,33,52
MALLA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,0,1,0,1,1
MAPIRI,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,0,2,0,2,2
MECAPACA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,17,8,17,8,25
MINEROS,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,0,15,0,15,15
MIZQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,0,4,0,4,4
MOCOMOCO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,1,2,1,2,3
MOJOCOYA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,1,6,1,6,7
MONTEAGUDO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,58,88,58,88,146
MONTERO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,191,422,191,422,613
MORO MORO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,1,2,1,2,3
MOROCHATA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,0,25,0,25,25
OMEREQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,20,27,20,27,47
ORURO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,869,1236,869,1236,2105
PADCAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,47,74,47,74,121
PADILLA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,6,1,6,1,7
PAILON,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,22,14,22,14,36
PALCA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,66,48,66,48,114
PALOS BLANCOS,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,4,15,4,15,19
PAMPA AULLAGAS,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,0,12,0,12,12
PAMPA GRANDE,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,2,0,2,0,2
PASORAPA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,2,12,2,12,14
PATACAMAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,144,100,144,100,244
PAZÑA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,0,3,0,3,3
PELECHUCO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,11,31,11,31,42
POCOATA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,9,9,9,9,18
POCONA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,6,14,6,14,20
POJO (CBBA),atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,38,15,38,15,53
POOPO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,56,129,56,129,185
PORCO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,23,53,23,53,76
POROMA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,5,23,5,23,28
PORONGO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,11,17,11,17,28
PORTACHUELO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,7,10,7,10,17
PORVENIR,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,67,89,67,89,156
POSTRER VALLE,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,1,12,1,12,13
POTOSI,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,220,279,220,279,499
PRESTO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,5,2,5,2,7
PUCARA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,3,4,3,4,7
PUCARANI,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,30,27,30,27,57
PUERTO ACOSTA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,6,2,6,2,8
PUERTO CARABUCO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,1,3,1,3,4
PUERTO GONZALO MORENO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,1,5,1,5,6
PUERTO PEREZ,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,5,4,5,4,9
PUERTO QUIJARRO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,39,37,39,37,76
PUERTO RICO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,20,54,20,54,74
PUERTO SUAREZ,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,5,15,5,15,20
PUERTO VILLARROEL,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,102,134,102,134,236
PUNA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,2,4,2,4,6
PUNATA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,53,78,53,78,131
QUIABAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,13,11,13,11,24
QUILLACOLLO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,449,613,449,613,1062
QUIME,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,3,7,3,7,10
RAVELO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,31,64,31,64,95
REYES,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,4,18,4,18,22
RIBERALTA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,40,96,40,96,136
RURRENABAQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,0,4,0,4,4
SABAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,22,21,22,21,43
SACABA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,623,903,623,903,1526
SACABAMBA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,7,24,7,24,31
SACACA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,0,4,0,4,4
SALINAS DE GARCI MENDOZA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,27,23,27,23,50
SAMAIPATA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,8,29,8,29,37
SAN AGUSTIN,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,0,1,0,1,1
SAN ANDRES,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,11,15,11,15,26
SAN ANDRES DE MACHACA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,7,2,7,2,9
SAN ANTONIO DE LOMERIO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,1,2,1,2,3
SAN BENITO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,274,182,274,182,456
SAN BORJA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,15,20,15,20,35
SAN BUENA VENTURA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,5,5,5,5,10
SAN CARLOS,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,16,35,16,35,51
SAN IGNACIO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,33,29,33,29,62
SAN IGNACIO DE VELASCO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,89,138,89,138,227
SAN JAVIER(STC),atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,6,8,6,8,14
SAN JOSE DE CHIQUITOS,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,0,7,0,7,7
SAN JUAN DE YAPACANI,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,9,10,9,10,19
SAN JULIAN,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,40,53,40,53,93
SAN LORENZO(PND),atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,3,7,3,7,10
SAN LORENZO(TJA),atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,12,13,12,13,25
SAN LUCAS,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,7,6,7,6,13
SAN MATIAS,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,1,1,1,1,2
SAN MIGUEL DE VELASCO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,23,14,23,14,37
SAN PEDRO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,25,59,25,59,84
SAN PEDRO DE BUENA VISTA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,6,5,6,5,11
SAN PEDRO DE CURAHUARA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,2,1,2,1,3
SAN PEDRO DE TIQUINA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,3,3,3,3,6
SAN RAFAEL,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,17,31,17,31,48
SAN RAMON BENI,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,0,4,0,4,4
SAN RAMON SCZ,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,44,74,44,74,118
SANTA ANA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,117,317,117,317,434
SANTA CRUZ DE LA SIERRA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,1405,2017,1405,2017,3422
SANTA ROSA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,16,19,16,19,35
SANTA ROSA DEL SARA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,3,7,3,7,10
SANTIAGO DE CALLAPA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,7,11,7,11,18
SANTIAGO DE HUARI,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,55,102,55,102,157
SANTIAGO DE HUATA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,3,2,3,2,5
SANTIAGO DE MACHACA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,0,1,0,1,1
SANTIVAÑES,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,6,9,6,9,15
SANTUARIO DE QUILLACAS,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,5,7,5,7,12
SAPAHAQUI,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,22,14,22,14,36
SHINAOTA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,6,9,6,9,15
SICA SICA (VILLA AROMA),atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,15,20,15,20,35
SIPE SIPE,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,81,109,81,109,190
SOPACHUY,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,12,20,12,20,32
SORACACHI,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,22,34,22,34,56
SORATA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,39,47,39,47,86
SUCRE,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,466,570,466,570,1036
TACACOMA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,5,16,5,16,21
TACOPAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,0,3,0,3,3
TAHUA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,1,1,1,1,2
TAPACARI,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,13,33,13,33,46
TARABUCO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,63,48,63,48,111
TARACO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,14,23,14,23,37
TARATA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,10,9,10,9,19
TARIJA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,614,964,614,964,1578
TARVITA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,1,2,1,2,3
TIAWANACU,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,8,10,8,10,18
TINGUIPAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,8,2,8,2,10
TIQUIPAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,375,506,375,506,881
TIRAQUE (CBBA),atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,4,2,4,2,6
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,3,8,3,8,11
TOCO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,19,34,19,34,53
TOLATA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,0,2,0,2,2
TOLEDO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,0,1,0,1,1
TOMAVE,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,6,2,6,2,8
TOMINA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,9,19,9,19,28
TORO TORO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,27,30,27,30,57
TOTORA(CBBA),atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,8,29,8,29,37
TRIGAL,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,5,12,5,12,17
TRINIDAD,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,72,129,72,129,201
TUPIZA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,118,109,118,109,227
TURCO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,2,3,2,3,5
UMALA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,18,16,18,16,34
UNCIA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,1,3,1,3,4
URIONDO (A. CONCEPCION),atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,13,62,13,62,75
URUBICHA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,0,7,0,7,7
UYUNI,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,6,8,6,8,14
VACAS,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,10,11,10,11,21
VALLEGRANDE,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,64,91,64,91,155
VIACHA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,189,164,189,164,353
VILLA MONTES,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,19,51,19,51,70
VILLA NUEVA (LOMA ALTA),atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,26,21,26,21,47
VILLA RIVERO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,35,76,35,76,111
VILLA SERRANO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,2,0,2,0,2
VILLA TUNARI,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,100,258,100,258,358
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,3,15,3,15,18
VILLAZON,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,74,54,74,54,128
VINTO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,27,40,27,40,67
VITICHI,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,0,5,0,5,5
