,group,variable,month,CIRUGIA BUCAL MENOR CANTIDAD,CIRUGIA BUCAL MENOR CANTIDAD,TOTALES,TOTALES,TOTALES
CHALLAPATA,atencion odontologica,cirugia bucal menor,2011-01-01,44,86,44,86,130
CHAQUI,atencion odontologica,cirugia bucal menor,2011-01-01,4,8,4,8,12
CHARAGUA,atencion odontologica,cirugia bucal menor,2011-01-01,52,136,52,136,188
CHARAÑA,atencion odontologica,cirugia bucal menor,2011-01-01,4,0,4,0,4
CHAYANTA,atencion odontologica,cirugia bucal menor,2011-01-01,7,20,7,20,27
CHIMORE,atencion odontologica,cirugia bucal menor,2011-01-01,14,23,14,23,37
CHIPAYA,atencion odontologica,cirugia bucal menor,2011-01-01,4,1,4,1,5
CHOQUE COTA,atencion odontologica,cirugia bucal menor,2011-01-01,13,7,13,7,20
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,cirugia bucal menor,2011-01-01,39,45,39,45,84
CHUMA,atencion odontologica,cirugia bucal menor,2011-01-01,58,74,58,74,132
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,cirugia bucal menor,2011-01-01,11,16,11,16,27
CKOCHAS,atencion odontologica,cirugia bucal menor,2011-01-01,7,8,7,8,15
CLIZA,atencion odontologica,cirugia bucal menor,2011-01-01,15,28,15,28,43
COBIJA,atencion odontologica,cirugia bucal menor,2011-01-01,94,229,94,229,323
COCAPATA,atencion odontologica,cirugia bucal menor,2011-01-01,2,11,2,11,13
COCHABAMBA,atencion odontologica,cirugia bucal menor,2011-01-01,295,443,295,443,738
COIPASA,atencion odontologica,cirugia bucal menor,2011-01-01,4,10,4,10,14
COLCAPIRHUA,atencion odontologica,cirugia bucal menor,2011-01-01,43,71,43,71,114
"COLCHA ""K""",atencion odontologica,cirugia bucal menor,2011-01-01,14,21,14,21,35
COLLANA,atencion odontologica,cirugia bucal menor,2011-01-01,3,17,3,17,20
COLOMI,atencion odontologica,cirugia bucal menor,2011-01-01,10,39,10,39,49
COLPA BELGICA,atencion odontologica,cirugia bucal menor,2011-01-01,8,6,8,6,14
COLQUECHACA,atencion odontologica,cirugia bucal menor,2011-01-01,34,80,34,80,114
COLQUENCHA,atencion odontologica,cirugia bucal menor,2011-01-01,17,20,17,20,37
COLQUIRI,atencion odontologica,cirugia bucal menor,2011-01-01,24,20,24,20,44
COMANCHE,atencion odontologica,cirugia bucal menor,2011-01-01,17,26,17,26,43
COMARAPA,atencion odontologica,cirugia bucal menor,2011-01-01,16,40,16,40,56
COMBAYA,atencion odontologica,cirugia bucal menor,2011-01-01,5,6,5,6,11
CONCEPCION,atencion odontologica,cirugia bucal menor,2011-01-01,22,30,22,30,52
COPACABANA,atencion odontologica,cirugia bucal menor,2011-01-01,43,65,43,65,108
CORIPATA,atencion odontologica,cirugia bucal menor,2011-01-01,28,29,28,29,57
CORO CORO,atencion odontologica,cirugia bucal menor,2011-01-01,23,38,23,38,61
COROICO,atencion odontologica,cirugia bucal menor,2011-01-01,35,43,35,43,78
CORQUE,atencion odontologica,cirugia bucal menor,2011-01-01,13,17,13,17,30
COTAGAITA,atencion odontologica,cirugia bucal menor,2011-01-01,61,89,61,89,150
COTOCA,atencion odontologica,cirugia bucal menor,2011-01-01,18,35,18,35,53
CUATRO CAÑADAS,atencion odontologica,cirugia bucal menor,2011-01-01,12,32,12,32,44
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,cirugia bucal menor,2011-01-01,0,1,0,1,1
CUEVO,atencion odontologica,cirugia bucal menor,2011-01-01,4,13,4,13,17
CULPINA,atencion odontologica,cirugia bucal menor,2011-01-01,8,19,8,19,27
CURAHUARA DE CARANGAS,atencion odontologica,cirugia bucal menor,2011-01-01,19,30,19,30,49
CURVA,atencion odontologica,cirugia bucal menor,2011-01-01,3,4,3,4,7
DESAGUADERO,atencion odontologica,cirugia bucal menor,2011-01-01,20,19,20,19,39
EL ALTO,atencion odontologica,cirugia bucal menor,2011-01-01,1186,1687,1186,1687,2873
EL CHORO,atencion odontologica,cirugia bucal menor,2011-01-01,3,4,3,4,7
EL PUENTE(STC),atencion odontologica,cirugia bucal menor,2011-01-01,17,30,17,30,47
EL PUENTE(TJA),atencion odontologica,cirugia bucal menor,2011-01-01,15,61,15,61,76
EL TORNO,atencion odontologica,cirugia bucal menor,2011-01-01,27,58,27,58,85
EL VILLAR,atencion odontologica,cirugia bucal menor,2011-01-01,5,3,5,3,8
ENTRE RIOS TRJ,atencion odontologica,cirugia bucal menor,2011-01-01,28,69,28,69,97
ENTRE RIOS CBBA,atencion odontologica,cirugia bucal menor,2011-01-01,3,12,3,12,15
ESCOMA,atencion odontologica,cirugia bucal menor,2011-01-01,51,49,51,49,100
EUCALIPTUS,atencion odontologica,cirugia bucal menor,2011-01-01,22,21,22,21,43
FERNANDEZ ALONSO,atencion odontologica,cirugia bucal menor,2011-01-01,22,27,22,27,49
FILADELFIA,atencion odontologica,cirugia bucal menor,2011-01-01,5,1,5,1,6
GENERAL SAAVEDRA,atencion odontologica,cirugia bucal menor,2011-01-01,7,25,7,25,32
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,cirugia bucal menor,2011-01-01,35,35,35,35,70
GUANAY,atencion odontologica,cirugia bucal menor,2011-01-01,20,51,20,51,71
GUAQUI,atencion odontologica,cirugia bucal menor,2011-01-01,24,45,24,45,69
GUAYARAMERIN,atencion odontologica,cirugia bucal menor,2011-01-01,52,52,52,52,104
GUTIERREZ,atencion odontologica,cirugia bucal menor,2011-01-01,46,97,46,97,143
HUACARETA,atencion odontologica,cirugia bucal menor,2011-01-01,11,34,11,34,45
HUACHACALLA,atencion odontologica,cirugia bucal menor,2011-01-01,19,19,19,19,38
HUANUNI,atencion odontologica,cirugia bucal menor,2011-01-01,24,44,24,44,68
HUARACAJE,atencion odontologica,cirugia bucal menor,2011-01-01,4,6,4,6,10
HUARINA,atencion odontologica,cirugia bucal menor,2011-01-01,33,19,33,19,52
HUAYLLAMARCA,atencion odontologica,cirugia bucal menor,2011-01-01,23,34,23,34,57
HUMANATA,atencion odontologica,cirugia bucal menor,2011-01-01,18,22,18,22,40
ICHOCA,atencion odontologica,cirugia bucal menor,2011-01-01,8,11,8,11,19
ICLA,atencion odontologica,cirugia bucal menor,2011-01-01,13,37,13,37,50
INCAHUASI,atencion odontologica,cirugia bucal menor,2011-01-01,14,38,14,38,52
INQUISIVI,atencion odontologica,cirugia bucal menor,2011-01-01,23,46,23,46,69
IRUPANA (VILLA DE LANZA),atencion odontologica,cirugia bucal menor,2011-01-01,22,27,22,27,49
IXIAMAS,atencion odontologica,cirugia bucal menor,2011-01-01,47,42,47,42,89
JESUS DE MACHACA,atencion odontologica,cirugia bucal menor,2011-01-01,78,99,78,99,177
LA ASUNTA,atencion odontologica,cirugia bucal menor,2011-01-01,63,58,63,58,121
LA GUARDIA,atencion odontologica,cirugia bucal menor,2011-01-01,50,96,50,96,146
LA PAZ,atencion odontologica,cirugia bucal menor,2011-01-01,903,863,903,863,1766
LAGUNILLAS,atencion odontologica,cirugia bucal menor,2011-01-01,3,6,3,6,9
LAJA,atencion odontologica,cirugia bucal menor,2011-01-01,51,93,51,93,144
LAS CARRERAS,atencion odontologica,cirugia bucal menor,2011-01-01,4,7,4,7,11
LICOMA PAMPA,atencion odontologica,cirugia bucal menor,2011-01-01,14,8,14,8,22
LLALLAGUA,atencion odontologica,cirugia bucal menor,2011-01-01,29,44,29,44,73
LLICA,atencion odontologica,cirugia bucal menor,2011-01-01,9,22,9,22,31
LURIBAY,atencion odontologica,cirugia bucal menor,2011-01-01,15,33,15,33,48
MACHACAMARCA,atencion odontologica,cirugia bucal menor,2011-01-01,10,19,10,19,29
MACHARETI,atencion odontologica,cirugia bucal menor,2011-01-01,1,16,1,16,17
MAGDALENA,atencion odontologica,cirugia bucal menor,2011-01-01,30,29,30,29,59
MAIRANA,atencion odontologica,cirugia bucal menor,2011-01-01,3,23,3,23,26
MALLA,atencion odontologica,cirugia bucal menor,2011-01-01,8,16,8,16,24
MAPIRI,atencion odontologica,cirugia bucal menor,2011-01-01,13,51,13,51,64
MECAPACA,atencion odontologica,cirugia bucal menor,2011-01-01,22,24,22,24,46
MINEROS,atencion odontologica,cirugia bucal menor,2011-01-01,8,25,8,25,33
MIZQUE,atencion odontologica,cirugia bucal menor,2011-01-01,6,6,6,6,12
MOCOMOCO,atencion odontologica,cirugia bucal menor,2011-01-01,34,28,34,28,62
MOJOCOYA,atencion odontologica,cirugia bucal menor,2011-01-01,12,16,12,16,28
MONTEAGUDO,atencion odontologica,cirugia bucal menor,2011-01-01,26,44,26,44,70
MONTERO,atencion odontologica,cirugia bucal menor,2011-01-01,39,80,39,80,119
MORO MORO,atencion odontologica,cirugia bucal menor,2011-01-01,2,2,2,2,4
MOROCHATA,atencion odontologica,cirugia bucal menor,2011-01-01,2,16,2,16,18
OCURI,atencion odontologica,cirugia bucal menor,2011-01-01,20,62,20,62,82
OKINAWA,atencion odontologica,cirugia bucal menor,2011-01-01,10,5,10,5,15
OMEREQUE,atencion odontologica,cirugia bucal menor,2011-01-01,9,17,9,17,26
ORURO,atencion odontologica,cirugia bucal menor,2011-01-01,421,606,421,606,1027
PADCAYA,atencion odontologica,cirugia bucal menor,2011-01-01,47,45,47,45,92
PADILLA,atencion odontologica,cirugia bucal menor,2011-01-01,13,30,13,30,43
PAILON,atencion odontologica,cirugia bucal menor,2011-01-01,17,41,17,41,58
PALCA,atencion odontologica,cirugia bucal menor,2011-01-01,32,42,32,42,74
PALOS BLANCOS,atencion odontologica,cirugia bucal menor,2011-01-01,36,60,36,60,96
PAMPA AULLAGAS,atencion odontologica,cirugia bucal menor,2011-01-01,8,8,8,8,16
PAMPA GRANDE,atencion odontologica,cirugia bucal menor,2011-01-01,5,2,5,2,7
PAPEL PAMPA,atencion odontologica,cirugia bucal menor,2011-01-01,3,3,3,3,6
PASORAPA,atencion odontologica,cirugia bucal menor,2011-01-01,5,12,5,12,17
PATACAMAYA,atencion odontologica,cirugia bucal menor,2011-01-01,18,31,18,31,49
PAZÑA,atencion odontologica,cirugia bucal menor,2011-01-01,14,10,14,10,24
PELECHUCO,atencion odontologica,cirugia bucal menor,2011-01-01,20,39,20,39,59
POCOATA,atencion odontologica,cirugia bucal menor,2011-01-01,30,16,30,16,46
POCONA,atencion odontologica,cirugia bucal menor,2011-01-01,14,28,14,28,42
POJO (CBBA),atencion odontologica,cirugia bucal menor,2011-01-01,19,27,19,27,46
POOPO,atencion odontologica,cirugia bucal menor,2011-01-01,39,37,39,37,76
PORCO,atencion odontologica,cirugia bucal menor,2011-01-01,8,24,8,24,32
POROMA,atencion odontologica,cirugia bucal menor,2011-01-01,3,36,3,36,39
PORONGO,atencion odontologica,cirugia bucal menor,2011-01-01,8,11,8,11,19
PORTACHUELO,atencion odontologica,cirugia bucal menor,2011-01-01,29,46,29,46,75
PORVENIR,atencion odontologica,cirugia bucal menor,2011-01-01,13,21,13,21,34
POSTRER VALLE,atencion odontologica,cirugia bucal menor,2011-01-01,9,13,9,13,22
POTOSI,atencion odontologica,cirugia bucal menor,2011-01-01,141,304,141,304,445
PRESTO,atencion odontologica,cirugia bucal menor,2011-01-01,1,4,1,4,5
PUCARA,atencion odontologica,cirugia bucal menor,2011-01-01,3,7,3,7,10
PUCARANI,atencion odontologica,cirugia bucal menor,2011-01-01,125,143,125,143,268
PUERTO ACOSTA,atencion odontologica,cirugia bucal menor,2011-01-01,32,38,32,38,70
PUERTO CARABUCO,atencion odontologica,cirugia bucal menor,2011-01-01,29,63,29,63,92
PUERTO GONZALO MORENO,atencion odontologica,cirugia bucal menor,2011-01-01,5,18,5,18,23
PUERTO PEREZ,atencion odontologica,cirugia bucal menor,2011-01-01,3,2,3,2,5
PUERTO QUIJARRO,atencion odontologica,cirugia bucal menor,2011-01-01,0,1,0,1,1
PUERTO RICO,atencion odontologica,cirugia bucal menor,2011-01-01,46,31,46,31,77
PUERTO SUAREZ,atencion odontologica,cirugia bucal menor,2011-01-01,15,40,15,40,55
PUERTO VILLARROEL,atencion odontologica,cirugia bucal menor,2011-01-01,32,57,32,57,89
PUNA,atencion odontologica,cirugia bucal menor,2011-01-01,16,31,16,31,47
PUNATA,atencion odontologica,cirugia bucal menor,2011-01-01,37,57,37,57,94
QUIABAYA,atencion odontologica,cirugia bucal menor,2011-01-01,9,24,9,24,33
QUILLACOLLO,atencion odontologica,cirugia bucal menor,2011-01-01,22,78,22,78,100
QUIME,atencion odontologica,cirugia bucal menor,2011-01-01,38,66,38,66,104
QUIRUSILLAS,atencion odontologica,cirugia bucal menor,2011-01-01,5,6,5,6,11
RAVELO,atencion odontologica,cirugia bucal menor,2011-01-01,8,46,8,46,54
REYES,atencion odontologica,cirugia bucal menor,2011-01-01,17,22,17,22,39
RIBERALTA,atencion odontologica,cirugia bucal menor,2011-01-01,108,135,108,135,243
ROBORE,atencion odontologica,cirugia bucal menor,2011-01-01,4,11,4,11,15
RURRENABAQUE,atencion odontologica,cirugia bucal menor,2011-01-01,4,11,4,11,15
SABAYA,atencion odontologica,cirugia bucal menor,2011-01-01,8,11,8,11,19
SACABA,atencion odontologica,cirugia bucal menor,2011-01-01,181,283,181,283,464
SACABAMBA,atencion odontologica,cirugia bucal menor,2011-01-01,3,12,3,12,15
SACACA,atencion odontologica,cirugia bucal menor,2011-01-01,12,20,12,20,32
SAIPINA,atencion odontologica,cirugia bucal menor,2011-01-01,11,15,11,15,26
SALINAS DE GARCI MENDOZA,atencion odontologica,cirugia bucal menor,2011-01-01,28,26,28,26,54
SAMAIPATA,atencion odontologica,cirugia bucal menor,2011-01-01,6,11,6,11,17
SAN AGUSTIN,atencion odontologica,cirugia bucal menor,2011-01-01,5,3,5,3,8
SAN ANDRES,atencion odontologica,cirugia bucal menor,2011-01-01,14,29,14,29,43
SAN ANDRES DE MACHACA,atencion odontologica,cirugia bucal menor,2011-01-01,35,36,35,36,71
SAN ANTONIO DE LOMERIO,atencion odontologica,cirugia bucal menor,2011-01-01,14,18,14,18,32
SAN BENITO,atencion odontologica,cirugia bucal menor,2011-01-01,28,30,28,30,58
SAN BORJA,atencion odontologica,cirugia bucal menor,2011-01-01,26,33,26,33,59
SAN BUENA VENTURA,atencion odontologica,cirugia bucal menor,2011-01-01,6,4,6,4,10
SAN CARLOS,atencion odontologica,cirugia bucal menor,2011-01-01,13,8,13,8,21
SAN IGNACIO,atencion odontologica,cirugia bucal menor,2011-01-01,35,67,35,67,102
SAN IGNACIO DE VELASCO,atencion odontologica,cirugia bucal menor,2011-01-01,17,46,17,46,63
SAN JAVIER(BNI),atencion odontologica,cirugia bucal menor,2011-01-01,4,2,4,2,6
SAN JAVIER(STC),atencion odontologica,cirugia bucal menor,2011-01-01,3,46,3,46,49
SAN JOSE DE CHIQUITOS,atencion odontologica,cirugia bucal menor,2011-01-01,4,7,4,7,11
SAN JUAN DE YAPACANI,atencion odontologica,cirugia bucal menor,2011-01-01,4,12,4,12,16
SAN JULIAN,atencion odontologica,cirugia bucal menor,2011-01-01,25,51,25,51,76
SAN LORENZO(PND),atencion odontologica,cirugia bucal menor,2011-01-01,4,6,4,6,10
SAN LORENZO(TJA),atencion odontologica,cirugia bucal menor,2011-01-01,46,89,46,89,135
SAN LUCAS,atencion odontologica,cirugia bucal menor,2011-01-01,23,34,23,34,57
SAN MATIAS,atencion odontologica,cirugia bucal menor,2011-01-01,13,22,13,22,35
SAN MIGUEL DE VELASCO,atencion odontologica,cirugia bucal menor,2011-01-01,25,24,25,24,49
SAN PEDRO,atencion odontologica,cirugia bucal menor,2011-01-01,13,19,13,19,32
SAN PEDRO DE BUENA VISTA,atencion odontologica,cirugia bucal menor,2011-01-01,15,42,15,42,57
SAN PEDRO DE CURAHUARA,atencion odontologica,cirugia bucal menor,2011-01-01,18,16,18,16,34
SAN PEDRO DE TIQUINA,atencion odontologica,cirugia bucal menor,2011-01-01,33,27,33,27,60
SAN RAFAEL,atencion odontologica,cirugia bucal menor,2011-01-01,5,18,5,18,23
SAN RAMON BENI,atencion odontologica,cirugia bucal menor,2011-01-01,19,31,19,31,50
SAN RAMON SCZ,atencion odontologica,cirugia bucal menor,2011-01-01,5,11,5,11,16
SANTA ANA,atencion odontologica,cirugia bucal menor,2011-01-01,13,33,13,33,46
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucal menor,2011-01-01,368,598,368,598,966
SANTA ROSA,atencion odontologica,cirugia bucal menor,2011-01-01,27,43,27,43,70
SANTA ROSA DEL SARA,atencion odontologica,cirugia bucal menor,2011-01-01,27,36,27,36,63
SANTIAGO DE CALLAPA,atencion odontologica,cirugia bucal menor,2011-01-01,5,12,5,12,17
SANTIAGO DE HUARI,atencion odontologica,cirugia bucal menor,2011-01-01,10,37,10,37,47
SANTIAGO DE HUATA,atencion odontologica,cirugia bucal menor,2011-01-01,3,2,3,2,5
SANTIAGO DE MACHACA,atencion odontologica,cirugia bucal menor,2011-01-01,28,45,28,45,73
SANTIVAÑES,atencion odontologica,cirugia bucal menor,2011-01-01,11,24,11,24,35
SANTUARIO DE QUILLACAS,atencion odontologica,cirugia bucal menor,2011-01-01,1,16,1,16,17
SAPAHAQUI,atencion odontologica,cirugia bucal menor,2011-01-01,26,25,26,25,51
SENA,atencion odontologica,cirugia bucal menor,2011-01-01,14,17,14,17,31
SHINAOTA,atencion odontologica,cirugia bucal menor,2011-01-01,13,21,13,21,34
SICA SICA (VILLA AROMA),atencion odontologica,cirugia bucal menor,2011-01-01,46,53,46,53,99
SICAYA,atencion odontologica,cirugia bucal menor,2011-01-01,1,3,1,3,4
SIPE SIPE,atencion odontologica,cirugia bucal menor,2011-01-01,34,48,34,48,82
SOPACHUY,atencion odontologica,cirugia bucal menor,2011-01-01,14,32,14,32,46
SORACACHI,atencion odontologica,cirugia bucal menor,2011-01-01,7,11,7,11,18
SORATA,atencion odontologica,cirugia bucal menor,2011-01-01,46,61,46,61,107
SUCRE,atencion odontologica,cirugia bucal menor,2011-01-01,346,543,346,543,889
TACACOMA,atencion odontologica,cirugia bucal menor,2011-01-01,48,46,48,46,94
TACOPAYA,atencion odontologica,cirugia bucal menor,2011-01-01,4,8,4,8,12
TAHUA,atencion odontologica,cirugia bucal menor,2011-01-01,5,6,5,6,11
TAPACARI,atencion odontologica,cirugia bucal menor,2011-01-01,17,24,17,24,41
TARABUCO,atencion odontologica,cirugia bucal menor,2011-01-01,39,34,39,34,73
TARACO,atencion odontologica,cirugia bucal menor,2011-01-01,24,22,24,22,46
TARATA,atencion odontologica,cirugia bucal menor,2011-01-01,9,6,9,6,15
TARIJA,atencion odontologica,cirugia bucal menor,2011-01-01,298,383,298,383,681
TARVITA,atencion odontologica,cirugia bucal menor,2011-01-01,7,21,7,21,28
TEOPONTE,atencion odontologica,cirugia bucal menor,2011-01-01,10,6,10,6,16
TIAWANACU,atencion odontologica,cirugia bucal menor,2011-01-01,50,76,50,76,126
TINGUIPAYA,atencion odontologica,cirugia bucal menor,2011-01-01,7,22,7,22,29
TIPUANI,atencion odontologica,cirugia bucal menor,2011-01-01,11,14,11,14,25
TIQUIPAYA,atencion odontologica,cirugia bucal menor,2011-01-01,56,134,56,134,190
TIRAQUE (CBBA),atencion odontologica,cirugia bucal menor,2011-01-01,18,40,18,40,58
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,cirugia bucal menor,2011-01-01,9,22,9,22,31
TOCO,atencion odontologica,cirugia bucal menor,2011-01-01,7,19,7,19,26
TOLATA,atencion odontologica,cirugia bucal menor,2011-01-01,7,7,7,7,14
TOLEDO,atencion odontologica,cirugia bucal menor,2011-01-01,21,26,21,26,47
TOMAVE,atencion odontologica,cirugia bucal menor,2011-01-01,39,67,39,67,106
TOMINA,atencion odontologica,cirugia bucal menor,2011-01-01,15,25,15,25,40
TORO TORO,atencion odontologica,cirugia bucal menor,2011-01-01,5,12,5,12,17
TOTORA(CBBA),atencion odontologica,cirugia bucal menor,2011-01-01,23,39,23,39,62
TOTORA(ORR),atencion odontologica,cirugia bucal menor,2011-01-01,3,0,3,0,3
TRIGAL,atencion odontologica,cirugia bucal menor,2011-01-01,3,4,3,4,7
TRINIDAD,atencion odontologica,cirugia bucal menor,2011-01-01,110,110,110,110,220
TUPIZA,atencion odontologica,cirugia bucal menor,2011-01-01,61,60,61,60,121
TURCO,atencion odontologica,cirugia bucal menor,2011-01-01,18,25,18,25,43
UMALA,atencion odontologica,cirugia bucal menor,2011-01-01,2,3,2,3,5
UNCIA,atencion odontologica,cirugia bucal menor,2011-01-01,19,16,19,16,35
URIONDO (A. CONCEPCION),atencion odontologica,cirugia bucal menor,2011-01-01,13,30,13,30,43
URUBICHA,atencion odontologica,cirugia bucal menor,2011-01-01,45,24,45,24,69
UYUNI,atencion odontologica,cirugia bucal menor,2011-01-01,45,83,45,83,128
VACAS,atencion odontologica,cirugia bucal menor,2011-01-01,9,7,9,7,16
VALLEGRANDE,atencion odontologica,cirugia bucal menor,2011-01-01,3,17,3,17,20
VIACHA,atencion odontologica,cirugia bucal menor,2011-01-01,25,55,25,55,80
VILA VILA,atencion odontologica,cirugia bucal menor,2011-01-01,2,1,2,1,3
VILLA MONTES,atencion odontologica,cirugia bucal menor,2011-01-01,123,224,123,224,347
VILLA NUEVA (LOMA ALTA),atencion odontologica,cirugia bucal menor,2011-01-01,6,5,6,5,11
VILLA RIVERO,atencion odontologica,cirugia bucal menor,2011-01-01,11,17,11,17,28
VILLA SERRANO,atencion odontologica,cirugia bucal menor,2011-01-01,9,14,9,14,23
VILLA TUNARI,atencion odontologica,cirugia bucal menor,2011-01-01,47,80,47,80,127
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,cirugia bucal menor,2011-01-01,4,17,4,17,21
VILLAZON,atencion odontologica,cirugia bucal menor,2011-01-01,32,25,32,25,57
VINTO,atencion odontologica,cirugia bucal menor,2011-01-01,6,17,6,17,23
VITICHI,atencion odontologica,cirugia bucal menor,2011-01-01,18,67,18,67,85
WALDO BALLIVIAN,atencion odontologica,cirugia bucal menor,2011-01-01,21,12,21,12,33
WARNES,atencion odontologica,cirugia bucal menor,2011-01-01,32,57,32,57,89
YACO,atencion odontologica,cirugia bucal menor,2011-01-01,9,19,9,19,28
YACUIBA,atencion odontologica,cirugia bucal menor,2011-01-01,101,149,101,149,250
YAMPARAEZ,atencion odontologica,cirugia bucal menor,2011-01-01,3,7,3,7,10
YANACACHI,atencion odontologica,cirugia bucal menor,2011-01-01,23,46,23,46,69
YAPACANI,atencion odontologica,cirugia bucal menor,2011-01-01,43,75,43,75,118
YOTALA,atencion odontologica,cirugia bucal menor,2011-01-01,11,23,11,23,34
YUNCHARA,atencion odontologica,cirugia bucal menor,2011-01-01,3,24,3,24,27
ZUDAÑEZ,atencion odontologica,cirugia bucal menor,2011-01-01,6,11,6,11,17
ACACIO,atencion odontologica,cirugia bucal menor,2011-02-01,6,17,6,17,23
ACHACACHI,atencion odontologica,cirugia bucal menor,2011-02-01,95,148,95,148,243
ACHOCALLA,atencion odontologica,cirugia bucal menor,2011-02-01,28,54,28,54,82
AIQUILE,atencion odontologica,cirugia bucal menor,2011-02-01,5,5,5,5,10
ALCALA,atencion odontologica,cirugia bucal menor,2011-02-01,8,20,8,20,28
ALTO BENI,atencion odontologica,cirugia bucal menor,2011-02-01,6,3,6,3,9
ANCORAIMES,atencion odontologica,cirugia bucal menor,2011-02-01,35,40,35,40,75
ANDAMARCA,atencion odontologica,cirugia bucal menor,2011-02-01,7,15,7,15,22
