,group,variable,month,ACCIONES PREVENTIVAS FUERA DEL ESTABLECIMIENTO CANTIDAD,ACCIONES PREVENTIVAS FUERA DEL ESTABLECIMIENTO CANTIDAD,TOTALES,TOTALES,TOTALES
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,2,0,2,0,2
CUEVO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,0,1,0,1,1
EL ALTO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,6,19,6,19,25
EL CHORO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,7,3,7,3,10
EL PUENTE(STC),atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,0,1,0,1,1
EL PUENTE(TJA),atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,8,10,8,10,18
EL TORNO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,5,7,5,7,12
EL VILLAR,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,16,14,16,14,30
GUANAY,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,4,3,4,3,7
GUAYARAMERIN,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,67,65,67,65,132
GUTIERREZ,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,23,23,23,23,46
ICLA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,124,158,124,158,282
INCAHUASI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,7,10,7,10,17
LA ASUNTA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,56,68,56,68,124
LA PAZ,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,15,4,15,4,19
LURIBAY,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,4,1,4,1,5
MAPIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,25,14,25,14,39
MECAPACA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,5,5,5,5,10
MOJOCOYA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,1,2,1,2,3
MORO MORO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,3,6,3,6,9
MOROCHATA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,7,15,7,15,22
OKINAWA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,1,0,1,0,1
ORURO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,229,200,229,200,429
PALCA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,18,36,18,36,54
PALOS BLANCOS,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,3,4,3,4,7
PAZÑA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,0,2,0,2,2
PELECHUCO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,1,4,1,4,5
POJO (CBBA),atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,4,9,4,9,13
POROMA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,1,8,1,8,9
PORTACHUELO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,0,4,0,4,4
POTOSI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,4,6,4,6,10
PUCARANI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,2,0,2,0,2
PUERTO GONZALO MORENO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,14,12,14,12,26
PUERTO PEREZ,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,6,1,6,1,7
PUERTO QUIJARRO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,5,2,5,2,7
PUERTO RICO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,166,133,166,133,299
PUERTO SUAREZ,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,0,10,0,10,10
PUERTO VILLARROEL,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,2,2,2,2,4
PUNATA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,0,3,0,3,3
QUILLACOLLO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,112,190,112,190,302
RIBERALTA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,195,181,195,181,376
SACABA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,2,1,2,1,3
SAN BENITO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,1,3,1,3,4
SAN BUENA VENTURA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,4,8,4,8,12
SAN IGNACIO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,7,2,7,2,9
SAN JULIAN,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,20,26,20,26,46
SAN LORENZO(PND),atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,2,9,2,9,11
SAN LORENZO(TJA),atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,30,117,30,117,147
SAN PEDRO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,17,14,17,14,31
SANTA CRUZ DE LA SIERRA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,237,269,237,269,506
SANTA ROSA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,50,36,50,36,86
SANTIAGO DE HUARI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,4,5,4,5,9
SANTIAGO DE HUATA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,39,26,39,26,65
SAPAHAQUI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,11,8,11,8,19
SENA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,28,0,28,0,28
SICA SICA (VILLA AROMA),atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,1,3,1,3,4
SIPE SIPE,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,12,2,12,2,14
SORACACHI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,2,6,2,6,8
SORATA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,1,4,1,4,5
SUCRE,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,15,19,15,19,34
TARABUCO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,93,123,93,123,216
TARIJA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,11,38,11,38,49
TARVITA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,16,18,16,18,34
TEOPONTE,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,1,1,1,1,2
TIAWANACU,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,9,8,9,8,17
TIQUIPAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,19,17,19,17,36
TIRAQUE (CBBA),atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,4,1,4,1,5
TOMAVE,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,2,0,2,0,2
TOMINA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,8,12,8,12,20
TORO TORO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,24,30,24,30,54
TRIGAL,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,8,10,8,10,18
TRINIDAD,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,7,12,7,12,19
UMALA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,4,8,4,8,12
UNCIA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,7,0,7,0,7
URIONDO (A. CONCEPCION),atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,0,1,0,1,1
URUBICHA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,0,1,0,1,1
VIACHA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,23,14,23,14,37
VITICHI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,6,1,6,1,7
WARNES,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,11,15,11,15,26
YACUIBA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,2,4,2,4,6
YOTALA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,22,18,22,18,40
ACACIO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,4,2,4,2,6
ACHACACHI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,535,454,535,454,989
AIQUILE,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,64,96,64,96,160
ALCALA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,35,42,35,42,77
ALTO BENI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,6,9,6,9,15
ANCORAIMES,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,25,26,25,26,51
APOLO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,52,44,52,44,96
ARANI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,119,144,119,144,263
ARBIETO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,9,5,9,5,14
ARQUE,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,45,38,45,38,83
ATOCHA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,25,26,25,26,51
BERMEJO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,13,13,13,13,26
BETANZOS,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,8,4,8,4,12
BOLIVAR,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,13,0,13,0,13
BOYUIBE,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,10,11,10,11,21
CABEZAS,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,45,80,45,80,125
"CAIZA ""D""",atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,15,29,15,29,44
CALACOTO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,21,13,21,13,34
CALAMARCA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,87,69,87,69,156
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,0,1,0,1,1
CAMIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,57,55,57,55,112
CAPINOTA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,185,148,185,148,333
CAQUIAVIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,12,15,12,15,27
CARANAVI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,65,66,65,66,131
CARAPARI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,42,49,42,49,91
CARMEN RIVERO TORREZ,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,15,20,15,20,35
CHARAGUA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,12,16,12,16,28
CHIMORE,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,88,80,88,80,168
CHOQUE COTA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,3,14,3,14,17
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,72,0,72,0,72
COBIJA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,131,115,131,115,246
COCAPATA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,2,4,2,4,6
COCHABAMBA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,86,111,86,111,197
COLCAPIRHUA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,24,68,24,68,92
"COLCHA ""K""",atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,5,3,5,3,8
COLOMI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,0,2,0,2,2
COLPA BELGICA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,7,18,7,18,25
COLQUECHACA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,6,2,6,2,8
COLQUIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,75,70,75,70,145
COMBAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,43,49,43,49,92
CONCEPCION,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,98,100,98,100,198
COPACABANA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,9,9,9,9,18
COROICO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,20,20,20,20,40
COTOCA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,124,117,124,117,241
CUATRO CAÑADAS,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,10,14,10,14,24
CUEVO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,200,255,200,255,455
DESAGUADERO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,2,1,2,1,3
EL ALTO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,55,54,55,54,109
EL PUENTE(TJA),atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,3,2,3,2,5
EL TORNO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,13,11,13,11,24
EL VILLAR,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,14,14,14,14,28
ENTRE RIOS TRJ,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,2,2,2,2,4
ENTRE RIOS CBBA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,3,3,3,3,6
GENERAL SAAVEDRA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,1,3,1,3,4
GUANAY,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,31,36,31,36,67
GUAYARAMERIN,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,180,123,180,123,303
GUTIERREZ,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,16,32,16,32,48
HUACARETA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,6,2,6,2,8
HUACAYA (VILLA DE HUACAYA),atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,12,9,12,9,21
HUARINA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,7,6,7,6,13
HUAYLLAMARCA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,5,0,5,0,5
ICLA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,146,174,146,174,320
INCAHUASI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,3,13,3,13,16
IXIAMAS,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,6,9,6,9,15
JESUS DE MACHACA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,6,5,6,5,11
LA ASUNTA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,78,92,78,92,170
LA PAZ,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,39,53,39,53,92
LURIBAY,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,2,3,2,3,5
MACHACAMARCA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,2,3,2,3,5
MACHARETI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,39,20,39,20,59
MAPIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,17,12,17,12,29
MECAPACA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,13,13,13,13,26
MIZQUE,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,54,56,54,56,110
MOCOMOCO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,60,76,60,76,136
MOJOCOYA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,2,8,2,8,10
MONTERO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,658,750,658,750,1408
OCURI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,0,2,0,2,2
OKINAWA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,19,21,19,21,40
OMEREQUE,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,270,221,270,221,491
PADCAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,30,30,30,30,60
PAILON,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,1,0,1,0,1
PALCA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,30,30,30,30,60
PAMPA GRANDE,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,52,48,52,48,100
PAPEL PAMPA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,0,1,0,1,1
PELECHUCO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,10,8,10,8,18
POCOATA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,37,40,37,40,77
POJO (CBBA),atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,56,82,56,82,138
POROMA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,11,33,11,33,44
PORONGO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,49,49,49,49,98
POTOSI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,2,54,2,54,56
PRESTO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,10,8,10,8,18
PUCARANI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,2,13,2,13,15
PUERTO GONZALO MORENO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,2,1,2,1,3
PUERTO PEREZ,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,8,5,8,5,13
PUERTO QUIJARRO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,22,37,22,37,59
PUERTO RICO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,174,157,174,157,331
PUERTO SILES,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,8,12,8,12,20
PUERTO VILLARROEL,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,16,17,16,17,33
PUNATA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,1,4,1,4,5
QUILLACOLLO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,135,168,135,168,303
QUIME,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,2,2,2,2,4
RIBERALTA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,52,61,52,61,113
RURRENABAQUE,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,13,7,13,7,20
SABAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,20,13,20,13,33
SACABA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,81,87,81,87,168
SACABAMBA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,50,38,50,38,88
SACACA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,9,10,9,10,19
SAMAIPATA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,461,497,461,497,958
SAN ANDRES,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,57,53,57,53,110
SAN ANDRES DE MACHACA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,3,1,3,1,4
SAN BENITO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,7,6,7,6,13
SAN BORJA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,208,334,208,334,542
SAN IGNACIO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,11,23,11,23,34
SAN IGNACIO DE VELASCO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,39,47,39,47,86
SAN JULIAN,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,19,23,19,23,42
SAN LORENZO(PND),atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,23,28,23,28,51
SAN LORENZO(TJA),atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,2,2,2,2,4
SAN MATIAS,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,3,11,3,11,14
SAN MIGUEL DE VELASCO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,219,161,219,161,380
SAN PEDRO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,231,187,231,187,418
SAN RAFAEL,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,29,70,29,70,99
SAN RAMON SCZ,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,3,5,3,5,8
SANTA CRUZ DE LA SIERRA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,1604,1694,1604,1694,3298
SANTA ROSA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,111,124,111,124,235
SANTIAGO DE CALLAPA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,18,12,18,12,30
SANTIAGO DE HUARI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,1,0,1,0,1
SANTIAGO DE HUATA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,1,0,1,0,1
SAPAHAQUI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,6,9,6,9,15
SENA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,9,7,9,7,16
SICA SICA (VILLA AROMA),atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,25,19,25,19,44
SIPE SIPE,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,0,2,0,2,2
SORACACHI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,71,133,71,133,204
SORATA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,37,58,37,58,95
SUCRE,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,109,70,109,70,179
TAPACARI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,42,35,42,35,77
TARABUCO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,101,149,101,149,250
TARIJA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,4,28,4,28,32
TARVITA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,15,21,15,21,36
TEOPONTE,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,1,1,1,1,2
TINGUIPAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,6,7,6,7,13
TIQUIPAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,3,17,3,17,20
TIRAQUE (CBBA),atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,13,7,13,7,20
TOMAVE,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,2,2,2,2,4
TOMINA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,34,47,34,47,81
TORO TORO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,8,11,8,11,19
TOTORA(CBBA),atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,28,16,28,16,44
TRIGAL,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,23,34,23,34,57
TRINIDAD,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,40,48,40,48,88
URIONDO (A. CONCEPCION),atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,10,23,10,23,33
URUBICHA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-02-01,180,140,180,140,320
