,group,variable,month,PENTAVALENTE 1RA. DOSIS,PENTAVALENTE 1RA. DOSIS,TOTALES,TOTALES,TOTALES
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,7,1,7,1,8
CURVA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,0,2,0,2,2
DESAGUADERO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,3,0,3,0,3
EL ALTO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,1689,34,1689,34,1723
EL CHORO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,2,9,2,9,11
EL PUENTE(STC),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,13,0,13,0,13
EL PUENTE(TJA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,13,7,13,7,20
EL TORNO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,71,5,71,5,76
EL VILLAR,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,6,5,6,5,11
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,19,12,19,12,31
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,53,9,53,9,62
ESCOMA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,11,1,11,1,12
EUCALIPTUS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,17,0,17,0,17
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,0,2,0,2,2
EXALTACION,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,1,0,1,0,1
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,26,2,26,2,28
FILADELFIA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,6,2,6,2,8
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,16,4,16,4,20
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,13,10,13,10,23
GUANAY,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,20,10,20,10,30
GUAQUI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,5,6,5,6,11
GUAYARAMERIN,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,92,14,92,14,106
GUTIERREZ,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,15,14,15,14,29
HUACARETA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,11,0,11,0,11
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,2,1,2,1,3
HUACHACALLA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,1,0,1,0,1
HUANUNI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,44,0,44,0,44
HUARACAJE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,4,0,4,0,4
HUARINA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,6,6,6,6,12
HUAYLLAMARCA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,6,3,6,3,9
HUMANATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,1,3,1,3,4
ICHOCA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,1,9,1,9,10
ICLA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,2,3,2,3,5
INCAHUASI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,15,4,15,4,19
INQUISIVI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,4,14,4,14,18
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,14,5,14,5,19
IXIAMAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,18,0,18,0,18
JESUS DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,18,2,18,2,20
LA ASUNTA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,78,20,78,20,98
LA GUARDIA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,120,5,120,5,125
LA PAZ,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,1379,32,1379,32,1411
LAGUNILLAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,2,5,2,5,7
LAJA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,36,6,36,6,42
LAS CARRERAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,1,1,1,1,2
LLALLAGUA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,79,18,79,18,97
LLICA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,1,2,1,2,3
LURIBAY,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,13,1,13,1,14
MACHACAMARCA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,3,2,3,2,5
MACHARETI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,10,3,10,3,13
MAGDALENA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,7,3,7,3,10
MAIRANA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,16,0,16,0,16
MALLA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,2,0,2,0,2
MAPIRI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,18,8,18,8,26
MECAPACA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,9,10,9,10,19
MINEROS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,42,2,42,2,44
MIZQUE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,47,38,47,38,85
MOCOMOCO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,13,14,13,14,27
MOJOCOYA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,7,6,7,6,13
MONTEAGUDO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,39,8,39,8,47
MONTERO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,201,1,201,1,202
MORO MORO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,2,3,2,3,5
MOROCHATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,4,11,4,11,15
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,0,2,0,2,2
OCURI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,12,31,12,31,43
OKINAWA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,26,5,26,5,31
OMEREQUE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,5,7,5,7,12
ORURO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,613,8,613,8,621
PADCAYA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,16,7,16,7,23
PADILLA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,2,6,2,6,8
PAILON,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,28,26,28,26,54
PALCA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,7,10,7,10,17
PALOS BLANCOS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,40,9,40,9,49
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,8,1,8,1,9
PAMPA GRANDE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,23,0,23,0,23
PAPEL PAMPA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,8,8,8,8,16
PASORAPA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,2,3,2,3,5
PATACAMAYA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,14,1,14,1,15
PAZÑA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,5,1,5,1,6
PELECHUCO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,3,11,3,11,14
POCOATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,5,38,5,38,43
POCONA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,27,10,27,10,37
POJO (CBBA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,20,8,20,8,28
POOPO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,4,0,4,0,4
PORCO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,28,0,28,0,28
POROMA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,18,11,18,11,29
PORONGO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,7,3,7,3,10
PORTACHUELO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,39,1,39,1,40
PORVENIR,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,6,0,6,0,6
POSTRER VALLE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,1,1,1,1,2
POTOSI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,444,8,444,8,452
PRESTO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,4,17,4,17,21
PUCARA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,1,0,1,0,1
PUCARANI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,39,16,39,16,55
PUERTO ACOSTA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,5,10,5,10,15
PUERTO CARABUCO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,10,6,10,6,16
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,4,9,4,9,13
PUERTO PEREZ,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,3,3,3,3,6
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,19,4,19,4,23
PUERTO RICO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,6,1,6,1,7
PUERTO SILES,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,2,0,2,0,2
PUERTO SUAREZ,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,28,0,28,0,28
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,113,7,113,7,120
PUNA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,22,15,22,15,37
PUNATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,52,1,52,1,53
QUIABAYA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,2,4,2,4,6
QUILLACOLLO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,206,8,206,8,214
QUIME,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,8,7,8,7,15
QUIRUSILLAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,2,0,2,0,2
RAVELO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,4,18,4,18,22
REYES,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,24,0,24,0,24
RIBERALTA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,158,18,158,18,176
ROBORE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,18,3,18,3,21
RURRENABAQUE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,31,10,31,10,41
SABAYA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,2,0,2,0,2
SACABA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,192,18,192,18,210
SACABAMBA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,5,4,5,4,9
SACACA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,21,16,21,16,37
SAIPINA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,12,4,12,4,16
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,6,6,6,6,12
SAMAIPATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,12,5,12,5,17
SAN AGUSTIN,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,1,0,1,0,1
SAN ANDRES,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,15,1,15,1,16
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,4,1,4,1,5
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,12,5,12,5,17
SAN BENITO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,22,2,22,2,24
SAN BORJA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,80,17,80,17,97
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,19,3,19,3,22
SAN CARLOS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,35,7,35,7,42
SAN IGNACIO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,36,22,36,22,58
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,92,21,92,21,113
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,5,0,5,0,5
SAN JAVIER(STC),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,28,1,28,1,29
SAN JOAQUIN,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,8,0,8,0,8
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,29,18,29,18,47
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,12,2,12,2,14
SAN JULIAN,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,54,13,54,13,67
SAN LORENZO(PND),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,4,8,4,8,12
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,25,7,25,7,32
SAN LUCAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,37,46,37,46,83
SAN MATIAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,34,2,34,2,36
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,15,2,15,2,17
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,1,1,1,1,2
SAN PEDRO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,23,0,23,0,23
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,23,13,23,13,36
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,5,3,5,3,8
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,3,1,3,1,4
SAN RAFAEL,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,13,3,13,3,16
SAN RAMON BENI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,2,5,2,5,7
SAN RAMON SCZ,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,30,0,30,0,30
SANTA ANA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,29,7,29,7,36
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,2374,87,2374,87,2461
SANTA ROSA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,14,3,14,3,17
