,group,variable,month,ANTIROTAVIRICA 1RA. DOSIS,ANTIROTAVIRICA 1RA. DOSIS,TOTALES,TOTALES,TOTALES
CUEVO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,6,2,6,2,8
CULPINA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,14,5,14,5,19
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,7,1,7,1,8
CURVA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,0,2,0,2,2
DESAGUADERO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,3,0,3,0,3
EL ALTO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,1620,39,1620,39,1659
EL CHORO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,2,9,2,9,11
EL PUENTE(STC),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,15,1,15,1,16
EL PUENTE(TJA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,14,6,14,6,20
EL TORNO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,74,7,74,7,81
EL VILLAR,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,5,5,5,5,10
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,17,7,17,7,24
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,56,2,56,2,58
ESCOMA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,12,1,12,1,13
EUCALIPTUS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,18,0,18,0,18
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,0,2,0,2,2
EXALTACION,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,1,0,1,0,1
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,17,0,17,0,17
FILADELFIA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,6,3,6,3,9
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,19,0,19,0,19
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,13,9,13,9,22
GUANAY,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,17,11,17,11,28
GUAQUI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,5,6,5,6,11
GUAYARAMERIN,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,83,11,83,11,94
GUTIERREZ,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,16,12,16,12,28
HUACARETA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,11,0,11,0,11
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,2,1,2,1,3
HUACHACALLA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,1,0,1,0,1
HUANUNI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,44,0,44,0,44
HUARACAJE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,5,0,5,0,5
HUARINA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,6,6,6,6,12
HUAYLLAMARCA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,6,4,6,4,10
HUMANATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,1,2,1,2,3
ICHOCA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,1,3,1,3,4
ICLA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,3,3,3,3,6
INCAHUASI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,11,4,11,4,15
INQUISIVI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,4,16,4,16,20
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,12,6,12,6,18
IXIAMAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,18,0,18,0,18
JESUS DE MACHACA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,18,2,18,2,20
LA ASUNTA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,73,3,73,3,76
LA GUARDIA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,122,5,122,5,127
LA PAZ,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,1298,12,1298,12,1310
LAGUNILLAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,2,3,2,3,5
LAJA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,37,4,37,4,41
LAS CARRERAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,1,1,1,1,2
LLALLAGUA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,78,13,78,13,91
LLICA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,4,2,4,2,6
LURIBAY,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,13,1,13,1,14
MACHACAMARCA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,4,2,4,2,6
MACHARETI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,8,2,8,2,10
MAGDALENA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,3,0,3,0,3
MAIRANA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,16,0,16,0,16
MALLA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,2,0,2,0,2
MAPIRI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,4,8,4,8,12
MECAPACA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,9,10,9,10,19
MINEROS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,39,3,39,3,42
MIZQUE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,49,35,49,35,84
MOCOMOCO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,13,12,13,12,25
MOJOCOYA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,6,6,6,6,12
MONTEAGUDO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,39,6,39,6,45
MONTERO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,202,2,202,2,204
MORO MORO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,2,3,2,3,5
MOROCHATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,5,10,5,10,15
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,0,1,0,1,1
OCURI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,13,31,13,31,44
OKINAWA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,26,5,26,5,31
OMEREQUE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,4,7,4,7,11
ORURO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,606,11,606,11,617
PADCAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,14,6,14,6,20
PADILLA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,3,5,3,5,8
PAILON,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,25,11,25,11,36
PALCA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,6,9,6,9,15
PALOS BLANCOS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,41,6,41,6,47
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,8,1,8,1,9
PAMPA GRANDE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,15,0,15,0,15
PAPEL PAMPA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,6,6,6,6,12
PASORAPA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,2,1,2,1,3
PATACAMAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,27,0,27,0,27
PAZÑA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,5,1,5,1,6
PELECHUCO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,1,7,1,7,8
POCOATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,4,39,4,39,43
POCONA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,30,8,30,8,38
POJO (CBBA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,5,4,5,4,9
POOPO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,4,0,4,0,4
PORCO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,24,0,24,0,24
POROMA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,19,12,19,12,31
PORONGO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,4,3,4,3,7
PORTACHUELO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,39,1,39,1,40
PORVENIR,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,6,0,6,0,6
POSTRER VALLE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,1,1,1,1,2
POTOSI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,413,5,413,5,418
PRESTO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,4,17,4,17,21
PUCARA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,1,0,1,0,1
PUCARANI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,41,17,41,17,58
PUERTO ACOSTA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,5,10,5,10,15
PUERTO CARABUCO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,10,6,10,6,16
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,5,10,5,10,15
PUERTO PEREZ,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,3,3,3,3,6
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,18,4,18,4,22
PUERTO RICO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,6,1,6,1,7
PUERTO SILES,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,2,0,2,0,2
PUERTO SUAREZ,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,28,0,28,0,28
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,111,6,111,6,117
PUNA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,22,14,22,14,36
PUNATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,52,1,52,1,53
QUIABAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,2,4,2,4,6
QUILLACOLLO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,165,5,165,5,170
QUIME,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,9,7,9,7,16
QUIRUSILLAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,2,0,2,0,2
RAVELO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,4,18,4,18,22
REYES,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,24,0,24,0,24
RIBERALTA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,167,46,167,46,213
ROBORE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,19,4,19,4,23
RURRENABAQUE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,31,11,31,11,42
SABAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,2,0,2,0,2
SACABA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,201,13,201,13,214
SACABAMBA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,5,4,5,4,9
SACACA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,20,16,20,16,36
SAIPINA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,12,5,12,5,17
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,7,6,7,6,13
SAMAIPATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,8,5,8,5,13
SAN AGUSTIN,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,1,0,1,0,1
SAN ANDRES,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,13,0,13,0,13
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,4,1,4,1,5
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,12,5,12,5,17
SAN BENITO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,22,2,22,2,24
SAN BORJA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,81,16,81,16,97
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,13,6,13,6,19
SAN CARLOS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,37,0,37,0,37
SAN IGNACIO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,35,14,35,14,49
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,82,17,82,17,99
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,5,0,5,0,5
SAN JAVIER(STC),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,28,1,28,1,29
SAN JOAQUIN,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,8,0,8,0,8
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,26,13,26,13,39
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,16,0,16,0,16
SAN JULIAN,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,50,13,50,13,63
SAN LORENZO(PND),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,4,5,4,5,9
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,25,5,25,5,30
SAN LUCAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,36,43,36,43,79
SAN MATIAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,34,3,34,3,37
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,16,1,16,1,17
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,1,1,1,1,2
SAN PEDRO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,17,0,17,0,17
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,22,12,22,12,34
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,7,3,7,3,10
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,3,2,3,2,5
SAN RAFAEL,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,15,0,15,0,15
SAN RAMON BENI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,2,6,2,6,8
