,group,variable,month,PENTAVALENTE 2DA. DOSIS,PENTAVALENTE 2DA. DOSIS,TOTALES,TOTALES,TOTALES
EL ALTO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,1520,103,1520,103,1623
EL CHORO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,0,7,0,7,7
EL PUENTE(STC),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,22,2,22,2,24
EL PUENTE(TJA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,11,7,11,7,18
EL TORNO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,79,5,79,5,84
EL VILLAR,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,4,1,4,1,5
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,23,10,23,10,33
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,42,12,42,12,54
ESCOMA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,10,1,10,1,11
EUCALIPTUS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,5,0,5,0,5
EXALTACION,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,1,0,1,0,1
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,16,4,16,4,20
FILADELFIA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,5,1,5,1,6
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,23,3,23,3,26
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,5,10,5,10,15
GUANAY,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,17,5,17,5,22
GUAQUI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,6,7,6,7,13
GUAYARAMERIN,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,77,7,77,7,84
GUTIERREZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,14,17,14,17,31
HUACARETA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,10,4,10,4,14
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,2,1,2,1,3
HUACHACALLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,1,1,1,1,2
HUANUNI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,63,0,63,0,63
HUARACAJE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,5,0,5,0,5
HUARINA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,2,2,2,2,4
HUAYLLAMARCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,5,3,5,3,8
HUMANATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,6,0,6,0,6
ICHOCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,4,6,4,6,10
ICLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,4,3,4,3,7
INCAHUASI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,11,9,11,9,20
INQUISIVI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,3,15,3,15,18
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,6,9,6,9,15
IXIAMAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,14,0,14,0,14
JESUS DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,15,2,15,2,17
LA ASUNTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,75,22,75,22,97
LA GUARDIA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,108,8,108,8,116
LA PAZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,1434,41,1434,41,1475
LAGUNILLAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,2,5,2,5,7
LAJA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,13,6,13,6,19
LAS CARRERAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,5,2,5,2,7
LICOMA PAMPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,2,0,2,0,2
LLALLAGUA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,60,13,60,13,73
LLICA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,3,2,3,2,5
LORETO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,2,1,2,1,3
LURIBAY,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,8,5,8,5,13
MACHACAMARCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,6,1,6,1,7
MACHARETI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,6,4,6,4,10
MAGDALENA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,10,2,10,2,12
MAIRANA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,20,0,20,0,20
MALLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,1,2,1,2,3
MAPIRI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,24,6,24,6,30
MECAPACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,7,7,7,7,14
MINEROS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,45,17,45,17,62
MIZQUE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,45,15,45,15,60
MOCOMOCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,9,7,9,7,16
MOJOCOYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,6,3,6,3,9
MONTEAGUDO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,40,12,40,12,52
MONTERO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,206,3,206,3,209
MORO MORO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,1,3,1,3,4
MOROCHATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,8,41,8,41,49
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,1,1,1,1,2
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,3,0,3,0,3
OCURI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,11,25,11,25,36
OKINAWA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,24,5,24,5,29
OMEREQUE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,5,6,5,6,11
ORURO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,526,8,526,8,534
PADCAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,14,10,14,10,24
PADILLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,10,2,10,2,12
PAILON,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,21,19,21,19,40
PALCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,9,7,9,7,16
PALOS BLANCOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,47,5,47,5,52
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,7,1,7,1,8
PAMPA GRANDE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,15,0,15,0,15
PAPEL PAMPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,2,9,2,9,11
PASORAPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,3,1,3,1,4
PATACAMAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,22,3,22,3,25
PAZÑA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,13,3,13,3,16
PELECHUCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,3,9,3,9,12
POCOATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,10,28,10,28,38
POCONA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,10,5,10,5,15
POJO (CBBA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,18,11,18,11,29
POOPO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,7,1,7,1,8
PORCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,7,0,7,0,7
POROMA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,15,24,15,24,39
PORONGO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,8,0,8,0,8
PORTACHUELO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,32,2,32,2,34
PORVENIR,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,6,0,6,0,6
POTOSI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,377,8,377,8,385
PRESTO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,6,12,6,12,18
PUCARA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,1,4,1,4,5
PUCARANI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,26,15,26,15,41
PUERTO ACOSTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,6,5,6,5,11
PUERTO CARABUCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,13,13,13,13,26
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,3,2,3,2,5
PUERTO PEREZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,2,7,2,7,9
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,29,7,29,7,36
PUERTO RICO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,5,1,5,1,6
PUERTO SILES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,1,0,1,0,1
PUERTO SUAREZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,28,2,28,2,30
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,73,8,73,8,81
PUNA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,15,19,15,19,34
PUNATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,64,1,64,1,65
QUIABAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,1,6,1,6,7
QUILLACOLLO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,211,9,211,9,220
QUIME,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,9,12,9,12,21
QUIRUSILLAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,2,0,2,0,2
RAVELO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,6,13,6,13,19
REYES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,16,0,16,0,16
RIBERALTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,167,6,167,6,173
ROBORE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,13,2,13,2,15
RURRENABAQUE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,29,8,29,8,37
SABAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,2,1,2,1,3
SACABA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,228,24,228,24,252
SACABAMBA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,5,2,5,2,7
SACACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,13,8,13,8,21
SAIPINA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,2,3,2,3,5
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,4,6,4,6,10
SAMAIPATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,12,3,12,3,15
SAN AGUSTIN,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,2,0,2,0,2
SAN ANDRES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,17,5,17,5,22
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,5,2,5,2,7
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,2,0,2,0,2
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,3,2,3,2,5
SAN BENITO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,12,1,12,1,13
SAN BORJA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,71,14,71,14,85
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,16,4,16,4,20
SAN CARLOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,30,3,30,3,33
SAN IGNACIO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,29,15,29,15,44
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,94,12,94,12,106
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,3,0,3,0,3
SAN JAVIER(STC),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,34,1,34,1,35
SAN JOAQUIN,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,7,4,7,4,11
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,30,12,30,12,42
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,16,2,16,2,18
SAN JULIAN,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,51,8,51,8,59
SAN LORENZO(PND),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,0,7,0,7,7
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,17,5,17,5,22
SAN LUCAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,34,37,34,37,71
SAN MATIAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,24,7,24,7,31
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,15,1,15,1,16
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,0,2,0,2,2
SAN PEDRO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,15,0,15,0,15
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,17,12,17,12,29
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,5,5,5,5,10
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,4,1,4,1,5
SAN RAFAEL,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,8,4,8,4,12
SAN RAMON BENI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,7,4,7,4,11
SAN RAMON SCZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,16,0,16,0,16
SANTA ANA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,23,1,23,1,24
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,2102,81,2102,81,2183
SANTA ROSA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,13,0,13,0,13
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,20,2,20,2,22
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,4,3,4,3,7
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,10,3,10,3,13
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,4,2,4,2,6
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,0,13,0,13,13
SANTIVAÑES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,12,2,12,2,14
