,group,variable,month,ANTIROTAVIRICA 2RA. DOSIS,ANTIROTAVIRICA 2RA. DOSIS,TOTALES,TOTALES,TOTALES
CULPINA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,15,6,15,6,21
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,11,0,11,0,11
CURVA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,1,1,1,1,2
DESAGUADERO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,1,0,1,0,1
EL ALTO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,1383,66,1383,66,1449
EL CHORO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,0,2,0,2,2
EL PUENTE(STC),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,16,1,16,1,17
EL PUENTE(TJA),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,8,9,8,9,17
EL TORNO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,79,4,79,4,83
EL VILLAR,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,3,1,3,1,4
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,20,4,20,4,24
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,42,4,42,4,46
ESCOMA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,6,1,6,1,7
EUCALIPTUS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,4,0,4,0,4
EXALTACION,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,1,0,1,0,1
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,8,0,8,0,8
FILADELFIA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,6,0,6,0,6
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,14,0,14,0,14
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,6,8,6,8,14
GUANAY,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,17,5,17,5,22
GUAQUI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,5,7,5,7,12
GUAYARAMERIN,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,75,2,75,2,77
GUTIERREZ,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,16,12,16,12,28
HUACARETA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,9,1,9,1,10
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,3,1,3,1,4
HUACHACALLA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,1,1,1,1,2
HUANUNI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,54,0,54,0,54
HUARACAJE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,4,0,4,0,4
HUARINA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,1,1,1,1,2
HUAYLLAMARCA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,5,2,5,2,7
HUMANATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,3,5,3,5,8
ICHOCA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,4,5,4,5,9
ICLA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,4,6,4,6,10
INCAHUASI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,7,7,7,7,14
INQUISIVI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,1,10,1,10,11
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,9,12,9,12,21
IXIAMAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,14,0,14,0,14
JESUS DE MACHACA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,15,2,15,2,17
LA ASUNTA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,69,6,69,6,75
LA GUARDIA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,106,4,106,4,110
LA PAZ,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,1284,14,1284,14,1298
LAGUNILLAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,2,3,2,3,5
LAJA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,12,4,12,4,16
LAS CARRERAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,5,2,5,2,7
LICOMA PAMPA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,2,0,2,0,2
LLALLAGUA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,73,10,73,10,83
LLICA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,1,2,1,2,3
LORETO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,2,0,2,0,2
LURIBAY,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,8,4,8,4,12
MACHACAMARCA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,6,1,6,1,7
MACHARETI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,5,4,5,4,9
MAGDALENA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,1,0,1,0,1
MAIRANA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,19,0,19,0,19
MALLA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,1,2,1,2,3
MAPIRI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,3,6,3,6,9
MECAPACA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,6,8,6,8,14
MINEROS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,40,7,40,7,47
MIZQUE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,46,16,46,16,62
MOCOMOCO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,9,3,9,3,12
MOJOCOYA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,8,4,8,4,12
MONTEAGUDO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,41,9,41,9,50
MONTERO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,198,2,198,2,200
MORO MORO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,1,3,1,3,4
MOROCHATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,7,35,7,35,42
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,1,1,1,1,2
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,3,0,3,0,3
OCURI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,10,18,10,18,28
OKINAWA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,25,4,25,4,29
OMEREQUE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,6,6,6,6,12
ORURO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,524,7,524,7,531
PADCAYA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,10,8,10,8,18
PADILLA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,10,3,10,3,13
PAILON,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,19,3,19,3,22
PALCA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,10,9,10,9,19
PALOS BLANCOS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,41,5,41,5,46
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,7,1,7,1,8
PAMPA GRANDE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,5,0,5,0,5
PAPEL PAMPA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,2,6,2,6,8
PASORAPA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,3,1,3,1,4
PATACAMAYA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,38,3,38,3,41
PAZÑA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,13,4,13,4,17
PELECHUCO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,2,7,2,7,9
POCOATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,10,28,10,28,38
POCONA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,10,3,10,3,13
POJO (CBBA),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,11,2,11,2,13
POOPO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,8,1,8,1,9
PORCO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,9,0,9,0,9
POROMA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,14,21,14,21,35
PORONGO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,7,1,7,1,8
PORTACHUELO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,30,1,30,1,31
PORVENIR,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,5,0,5,0,5
POTOSI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,325,6,325,6,331
PRESTO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,8,10,8,10,18
PUCARA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,1,4,1,4,5
PUCARANI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,32,15,32,15,47
PUERTO ACOSTA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,6,5,6,5,11
PUERTO CARABUCO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,16,7,16,7,23
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,3,0,3,0,3
PUERTO PEREZ,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,3,5,3,5,8
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,29,7,29,7,36
PUERTO RICO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,5,1,5,1,6
PUERTO SILES,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,2,0,2,0,2
PUERTO SUAREZ,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,28,2,28,2,30
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,74,4,74,4,78
PUNA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,14,20,14,20,34
PUNATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,61,1,61,1,62
QUIABAYA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,1,6,1,6,7
QUILLACOLLO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,153,5,153,5,158
QUIME,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,9,12,9,12,21
QUIRUSILLAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,2,0,2,0,2
RAVELO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,6,10,6,10,16
REYES,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,16,0,16,0,16
RIBERALTA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,140,5,140,5,145
ROBORE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,11,2,11,2,13
RURRENABAQUE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,27,11,27,11,38
SABAYA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,2,1,2,1,3
SACABA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,217,11,217,11,228
SACABAMBA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,5,2,5,2,7
SACACA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,11,8,11,8,19
SAIPINA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,3,3,3,3,6
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,4,6,4,6,10
SAMAIPATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,9,2,9,2,11
SAN AGUSTIN,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,2,0,2,0,2
SAN ANDRES,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,14,5,14,5,19
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,5,2,5,2,7
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,2,0,2,0,2
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,3,1,3,1,4
SAN BENITO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,10,2,10,2,12
SAN BORJA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,55,8,55,8,63
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,5,11,5,11,16
SAN CARLOS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,32,1,32,1,33
SAN IGNACIO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,25,19,25,19,44
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,76,15,76,15,91
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,3,0,3,0,3
SAN JAVIER(STC),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,32,1,32,1,33
SAN JOAQUIN,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,7,4,7,4,11
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,26,3,26,3,29
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,16,0,16,0,16
SAN JULIAN,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,47,14,47,14,61
SAN LORENZO(PND),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,0,8,0,8,8
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,22,4,22,4,26
SAN LUCAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,33,38,33,38,71
SAN MATIAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,22,3,22,3,25
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,14,0,14,0,14
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,0,2,0,2,2
SAN PEDRO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,19,0,19,0,19
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,20,11,20,11,31
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,6,7,6,7,13
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,4,1,4,1,5
SAN RAFAEL,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,9,0,9,0,9
SAN RAMON BENI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,8,3,8,3,11
SAN RAMON SCZ,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,14,0,14,0,14
