,group,variable,month,BCG,BCG,TOTALES,TOTALES,TOTALES
HUANUNI,vacunaciones en menores de 1 ano,bcg,2010-01-01,28,1,28,1,29
HUARACAJE,vacunaciones en menores de 1 ano,bcg,2010-01-01,5,0,5,0,5
HUARINA,vacunaciones en menores de 1 ano,bcg,2010-01-01,1,10,1,10,11
HUAYLLAMARCA,vacunaciones en menores de 1 ano,bcg,2010-01-01,5,1,5,1,6
HUMANATA,vacunaciones en menores de 1 ano,bcg,2010-01-01,3,3,3,3,6
ICHOCA,vacunaciones en menores de 1 ano,bcg,2010-01-01,1,7,1,7,8
ICLA,vacunaciones en menores de 1 ano,bcg,2010-01-01,3,10,3,10,13
INCAHUASI,vacunaciones en menores de 1 ano,bcg,2010-01-01,17,0,17,0,17
INQUISIVI,vacunaciones en menores de 1 ano,bcg,2010-01-01,1,15,1,15,16
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,bcg,2010-01-01,19,5,19,5,24
IXIAMAS,vacunaciones en menores de 1 ano,bcg,2010-01-01,23,0,23,0,23
JESUS DE MACHACA,vacunaciones en menores de 1 ano,bcg,2010-01-01,10,3,10,3,13
LA ASUNTA,vacunaciones en menores de 1 ano,bcg,2010-01-01,77,8,77,8,85
LA GUARDIA,vacunaciones en menores de 1 ano,bcg,2010-01-01,79,2,79,2,81
LA PAZ,vacunaciones en menores de 1 ano,bcg,2010-01-01,1716,2,1716,2,1718
LA RIVERA,vacunaciones en menores de 1 ano,bcg,2010-01-01,0,1,0,1,1
LAGUNILLAS,vacunaciones en menores de 1 ano,bcg,2010-01-01,9,4,9,4,13
LAJA,vacunaciones en menores de 1 ano,bcg,2010-01-01,10,12,10,12,22
LAS CARRERAS,vacunaciones en menores de 1 ano,bcg,2010-01-01,2,0,2,0,2
LICOMA PAMPA,vacunaciones en menores de 1 ano,bcg,2010-01-01,1,2,1,2,3
LLALLAGUA,vacunaciones en menores de 1 ano,bcg,2010-01-01,42,36,42,36,78
LLICA,vacunaciones en menores de 1 ano,bcg,2010-01-01,0,5,0,5,5
LURIBAY,vacunaciones en menores de 1 ano,bcg,2010-01-01,7,4,7,4,11
MACHACAMARCA,vacunaciones en menores de 1 ano,bcg,2010-01-01,5,1,5,1,6
MACHARETI,vacunaciones en menores de 1 ano,bcg,2010-01-01,2,1,2,1,3
MAGDALENA,vacunaciones en menores de 1 ano,bcg,2010-01-01,14,1,14,1,15
MAIRANA,vacunaciones en menores de 1 ano,bcg,2010-01-01,10,0,10,0,10
MALLA,vacunaciones en menores de 1 ano,bcg,2010-01-01,2,5,2,5,7
MAPIRI,vacunaciones en menores de 1 ano,bcg,2010-01-01,16,0,16,0,16
MECAPACA,vacunaciones en menores de 1 ano,bcg,2010-01-01,9,4,9,4,13
MINEROS,vacunaciones en menores de 1 ano,bcg,2010-01-01,33,1,33,1,34
MIZQUE,vacunaciones en menores de 1 ano,bcg,2010-01-01,39,23,39,23,62
MOCOMOCO,vacunaciones en menores de 1 ano,bcg,2010-01-01,7,13,7,13,20
MOJOCOYA,vacunaciones en menores de 1 ano,bcg,2010-01-01,10,4,10,4,14
MONTEAGUDO,vacunaciones en menores de 1 ano,bcg,2010-01-01,53,6,53,6,59
MONTERO,vacunaciones en menores de 1 ano,bcg,2010-01-01,269,0,269,0,269
MORO MORO,vacunaciones en menores de 1 ano,bcg,2010-01-01,2,1,2,1,3
MOROCHATA,vacunaciones en menores de 1 ano,bcg,2010-01-01,3,30,3,30,33
OCURI,vacunaciones en menores de 1 ano,bcg,2010-01-01,1,25,1,25,26
OKINAWA,vacunaciones en menores de 1 ano,bcg,2010-01-01,12,4,12,4,16
OMEREQUE,vacunaciones en menores de 1 ano,bcg,2010-01-01,0,8,0,8,8
ORURO,vacunaciones en menores de 1 ano,bcg,2010-01-01,601,0,601,0,601
PADCAYA,vacunaciones en menores de 1 ano,bcg,2010-01-01,13,5,13,5,18
PADILLA,vacunaciones en menores de 1 ano,bcg,2010-01-01,22,1,22,1,23
PAILON,vacunaciones en menores de 1 ano,bcg,2010-01-01,38,9,38,9,47
PALCA,vacunaciones en menores de 1 ano,bcg,2010-01-01,1,21,1,21,22
PALOS BLANCOS,vacunaciones en menores de 1 ano,bcg,2010-01-01,41,20,41,20,61
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,bcg,2010-01-01,0,2,0,2,2
PAMPA GRANDE,vacunaciones en menores de 1 ano,bcg,2010-01-01,12,0,12,0,12
PAPEL PAMPA,vacunaciones en menores de 1 ano,bcg,2010-01-01,0,10,0,10,10
PASORAPA,vacunaciones en menores de 1 ano,bcg,2010-01-01,2,0,2,0,2
PATACAMAYA,vacunaciones en menores de 1 ano,bcg,2010-01-01,16,2,16,2,18
PAZÑA,vacunaciones en menores de 1 ano,bcg,2010-01-01,9,3,9,3,12
PELECHUCO,vacunaciones en menores de 1 ano,bcg,2010-01-01,3,17,3,17,20
POCOATA,vacunaciones en menores de 1 ano,bcg,2010-01-01,4,36,4,36,40
POCONA,vacunaciones en menores de 1 ano,bcg,2010-01-01,13,27,13,27,40
POJO (CBBA),vacunaciones en menores de 1 ano,bcg,2010-01-01,17,7,17,7,24
POOPO,vacunaciones en menores de 1 ano,bcg,2010-01-01,4,0,4,0,4
PORCO,vacunaciones en menores de 1 ano,bcg,2010-01-01,28,0,28,0,28
POROMA,vacunaciones en menores de 1 ano,bcg,2010-01-01,27,10,27,10,37
PORONGO,vacunaciones en menores de 1 ano,bcg,2010-01-01,5,4,5,4,9
PORTACHUELO,vacunaciones en menores de 1 ano,bcg,2010-01-01,38,1,38,1,39
PORVENIR,vacunaciones en menores de 1 ano,bcg,2010-01-01,4,2,4,2,6
POSTRER VALLE,vacunaciones en menores de 1 ano,bcg,2010-01-01,4,0,4,0,4
POTOSI,vacunaciones en menores de 1 ano,bcg,2010-01-01,470,2,470,2,472
PRESTO,vacunaciones en menores de 1 ano,bcg,2010-01-01,4,13,4,13,17
PUCARA,vacunaciones en menores de 1 ano,bcg,2010-01-01,3,2,3,2,5
PUCARANI,vacunaciones en menores de 1 ano,bcg,2010-01-01,27,16,27,16,43
PUERTO ACOSTA,vacunaciones en menores de 1 ano,bcg,2010-01-01,1,14,1,14,15
PUERTO CARABUCO,vacunaciones en menores de 1 ano,bcg,2010-01-01,5,13,5,13,18
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,bcg,2010-01-01,4,4,4,4,8
PUERTO PEREZ,vacunaciones en menores de 1 ano,bcg,2010-01-01,0,11,0,11,11
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,bcg,2010-01-01,18,10,18,10,28
PUERTO RICO,vacunaciones en menores de 1 ano,bcg,2010-01-01,2,6,2,6,8
PUERTO SILES,vacunaciones en menores de 1 ano,bcg,2010-01-01,2,0,2,0,2
PUERTO SUAREZ,vacunaciones en menores de 1 ano,bcg,2010-01-01,27,0,27,0,27
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,bcg,2010-01-01,124,1,124,1,125
PUNA,vacunaciones en menores de 1 ano,bcg,2010-01-01,8,11,8,11,19
PUNATA,vacunaciones en menores de 1 ano,bcg,2010-01-01,77,3,77,3,80
QUIABAYA,vacunaciones en menores de 1 ano,bcg,2010-01-01,3,3,3,3,6
QUILLACOLLO,vacunaciones en menores de 1 ano,bcg,2010-01-01,192,0,192,0,192
QUIME,vacunaciones en menores de 1 ano,bcg,2010-01-01,2,4,2,4,6
RAVELO,vacunaciones en menores de 1 ano,bcg,2010-01-01,0,10,0,10,10
REYES,vacunaciones en menores de 1 ano,bcg,2010-01-01,15,2,15,2,17
RIBERALTA,vacunaciones en menores de 1 ano,bcg,2010-01-01,231,7,231,7,238
ROBORE,vacunaciones en menores de 1 ano,bcg,2010-01-01,11,7,11,7,18
RURRENABAQUE,vacunaciones en menores de 1 ano,bcg,2010-01-01,31,7,31,7,38
SABAYA,vacunaciones en menores de 1 ano,bcg,2010-01-01,1,1,1,1,2
SACABA,vacunaciones en menores de 1 ano,bcg,2010-01-01,250,15,250,15,265
SACABAMBA,vacunaciones en menores de 1 ano,bcg,2010-01-01,4,3,4,3,7
SACACA,vacunaciones en menores de 1 ano,bcg,2010-01-01,15,21,15,21,36
SAIPINA,vacunaciones en menores de 1 ano,bcg,2010-01-01,0,5,0,5,5
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,bcg,2010-01-01,7,9,7,9,16
SAMAIPATA,vacunaciones en menores de 1 ano,bcg,2010-01-01,5,2,5,2,7
SAN ANDRES,vacunaciones en menores de 1 ano,bcg,2010-01-01,3,0,3,0,3
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,bcg,2010-01-01,3,3,3,3,6
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,bcg,2010-01-01,2,0,2,0,2
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,bcg,2010-01-01,7,2,7,2,9
SAN BENITO,vacunaciones en menores de 1 ano,bcg,2010-01-01,16,3,16,3,19
SAN BORJA,vacunaciones en menores de 1 ano,bcg,2010-01-01,66,21,66,21,87
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,bcg,2010-01-01,18,5,18,5,23
SAN CARLOS,vacunaciones en menores de 1 ano,bcg,2010-01-01,27,4,27,4,31
SAN IGNACIO,vacunaciones en menores de 1 ano,bcg,2010-01-01,30,14,30,14,44
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,bcg,2010-01-01,122,12,122,12,134
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,bcg,2010-01-01,2,0,2,0,2
SAN JAVIER(STC),vacunaciones en menores de 1 ano,bcg,2010-01-01,22,0,22,0,22
SAN JOAQUIN,vacunaciones en menores de 1 ano,bcg,2010-01-01,1,8,1,8,9
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,bcg,2010-01-01,34,20,34,20,54
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,bcg,2010-01-01,21,2,21,2,23
SAN JULIAN,vacunaciones en menores de 1 ano,bcg,2010-01-01,68,13,68,13,81
SAN LORENZO(PND),vacunaciones en menores de 1 ano,bcg,2010-01-01,0,5,0,5,5
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,bcg,2010-01-01,18,1,18,1,19
SAN LUCAS,vacunaciones en menores de 1 ano,bcg,2010-01-01,32,40,32,40,72
SAN MATIAS,vacunaciones en menores de 1 ano,bcg,2010-01-01,22,0,22,0,22
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,bcg,2010-01-01,10,3,10,3,13
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,bcg,2010-01-01,1,1,1,1,2
SAN PEDRO,vacunaciones en menores de 1 ano,bcg,2010-01-01,13,0,13,0,13
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,bcg,2010-01-01,22,26,22,26,48
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,bcg,2010-01-01,4,4,4,4,8
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,bcg,2010-01-01,4,4,4,4,8
SAN PEDRO(PND),vacunaciones en menores de 1 ano,bcg,2010-01-01,0,1,0,1,1
SAN RAFAEL,vacunaciones en menores de 1 ano,bcg,2010-01-01,1,3,1,3,4
SAN RAMON BENI,vacunaciones en menores de 1 ano,bcg,2010-01-01,3,7,3,7,10
SAN RAMON SCZ,vacunaciones en menores de 1 ano,bcg,2010-01-01,17,0,17,0,17
SANTA ANA,vacunaciones en menores de 1 ano,bcg,2010-01-01,38,0,38,0,38
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,bcg,2010-01-01,2978,115,2978,115,3093
SANTA ROSA,vacunaciones en menores de 1 ano,bcg,2010-01-01,12,6,12,6,18
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,bcg,2010-01-01,15,9,15,9,24
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,bcg,2010-01-01,3,2,3,2,5
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,bcg,2010-01-01,3,4,3,4,7
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,bcg,2010-01-01,3,8,3,8,11
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,bcg,2010-01-01,0,5,0,5,5
SANTIVAÑES,vacunaciones en menores de 1 ano,bcg,2010-01-01,8,4,8,4,12
SAPAHAQUI,vacunaciones en menores de 1 ano,bcg,2010-01-01,2,10,2,10,12
SENA,vacunaciones en menores de 1 ano,bcg,2010-01-01,0,6,0,6,6
SHINAOTA,vacunaciones en menores de 1 ano,bcg,2010-01-01,45,3,45,3,48
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,bcg,2010-01-01,9,7,9,7,16
SICAYA,vacunaciones en menores de 1 ano,bcg,2010-01-01,2,4,2,4,6
SIPE SIPE,vacunaciones en menores de 1 ano,bcg,2010-01-01,58,3,58,3,61
SOPACHUY,vacunaciones en menores de 1 ano,bcg,2010-01-01,3,6,3,6,9
SORACACHI,vacunaciones en menores de 1 ano,bcg,2010-01-01,4,11,4,11,15
SORATA,vacunaciones en menores de 1 ano,bcg,2010-01-01,15,14,15,14,29
SUCRE,vacunaciones en menores de 1 ano,bcg,2010-01-01,451,12,451,12,463
TACACHI,vacunaciones en menores de 1 ano,bcg,2010-01-01,3,0,3,0,3
TACACOMA,vacunaciones en menores de 1 ano,bcg,2010-01-01,6,7,6,7,13
TACOBAMBA,vacunaciones en menores de 1 ano,bcg,2010-01-01,16,12,16,12,28
TACOPAYA,vacunaciones en menores de 1 ano,bcg,2010-01-01,8,5,8,5,13
TAPACARI,vacunaciones en menores de 1 ano,bcg,2010-01-01,38,26,38,26,64
TARABUCO,vacunaciones en menores de 1 ano,bcg,2010-01-01,22,7,22,7,29
TARACO,vacunaciones en menores de 1 ano,bcg,2010-01-01,0,7,0,7,7
TARATA,vacunaciones en menores de 1 ano,bcg,2010-01-01,6,1,6,1,7
TARIJA,vacunaciones en menores de 1 ano,bcg,2010-01-01,428,3,428,3,431
TARVITA,vacunaciones en menores de 1 ano,bcg,2010-01-01,7,10,7,10,17
TEOPONTE,vacunaciones en menores de 1 ano,bcg,2010-01-01,10,3,10,3,13
TIAWANACU,vacunaciones en menores de 1 ano,bcg,2010-01-01,6,16,6,16,22
TINGUIPAYA,vacunaciones en menores de 1 ano,bcg,2010-01-01,19,14,19,14,33
TIPUANI,vacunaciones en menores de 1 ano,bcg,2010-01-01,13,0,13,0,13
TIQUIPAYA,vacunaciones en menores de 1 ano,bcg,2010-01-01,82,3,82,3,85
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,bcg,2010-01-01,48,12,48,12,60
TOCO,vacunaciones en menores de 1 ano,bcg,2010-01-01,1,3,1,3,4
TOLATA,vacunaciones en menores de 1 ano,bcg,2010-01-01,5,2,5,2,7
TOLEDO,vacunaciones en menores de 1 ano,bcg,2010-01-01,1,1,1,1,2
TOMAVE,vacunaciones en menores de 1 ano,bcg,2010-01-01,3,7,3,7,10
TOMINA,vacunaciones en menores de 1 ano,bcg,2010-01-01,14,2,14,2,16
TORO TORO,vacunaciones en menores de 1 ano,bcg,2010-01-01,0,1,0,1,1
TOTORA(CBBA),vacunaciones en menores de 1 ano,bcg,2010-01-01,25,6,25,6,31
TOTORA(ORR),vacunaciones en menores de 1 ano,bcg,2010-01-01,4,4,4,4,8
TRIGAL,vacunaciones en menores de 1 ano,bcg,2010-01-01,3,0,3,0,3
TRINIDAD,vacunaciones en menores de 1 ano,bcg,2010-01-01,326,3,326,3,329
TUPIZA,vacunaciones en menores de 1 ano,bcg,2010-01-01,66,3,66,3,69
TURCO,vacunaciones en menores de 1 ano,bcg,2010-01-01,2,3,2,3,5
UMALA,vacunaciones en menores de 1 ano,bcg,2010-01-01,0,13,0,13,13
UNCIA,vacunaciones en menores de 1 ano,bcg,2010-01-01,47,6,47,6,53
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,bcg,2010-01-01,8,3,8,3,11
URUBICHA,vacunaciones en menores de 1 ano,bcg,2010-01-01,7,1,7,1,8
UYUNI,vacunaciones en menores de 1 ano,bcg,2010-01-01,61,7,61,7,68
VACAS,vacunaciones en menores de 1 ano,bcg,2010-01-01,8,18,8,18,26
VALLEGRANDE,vacunaciones en menores de 1 ano,bcg,2010-01-01,20,0,20,0,20
VIACHA,vacunaciones en menores de 1 ano,bcg,2010-01-01,65,0,65,0,65
VILA VILA,vacunaciones en menores de 1 ano,bcg,2010-01-01,5,2,5,2,7
VILLA CHARCAS,vacunaciones en menores de 1 ano,bcg,2010-01-01,7,16,7,16,23
VILLA MONTES,vacunaciones en menores de 1 ano,bcg,2010-01-01,78,3,78,3,81
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,bcg,2010-01-01,1,1,1,1,2
VILLA RIVERO,vacunaciones en menores de 1 ano,bcg,2010-01-01,6,4,6,4,10
VILLA SERRANO,vacunaciones en menores de 1 ano,bcg,2010-01-01,16,7,16,7,23
VILLA TUNARI,vacunaciones en menores de 1 ano,bcg,2010-01-01,150,23,150,23,173
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,bcg,2010-01-01,10,2,10,2,12
VILLAZON,vacunaciones en menores de 1 ano,bcg,2010-01-01,63,4,63,4,67
VINTO,vacunaciones en menores de 1 ano,bcg,2010-01-01,79,3,79,3,82
VITICHI,vacunaciones en menores de 1 ano,bcg,2010-01-01,4,6,4,6,10
