municipality,group,variable,month,Nº de CAI de establecimiento,TOTAL
CLIZA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,2,2
COCAPATA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,3,3
COCHABAMBA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,3,3
COLCAPIRHUA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
COLLANA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,2,2
COLOMI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
COLPA BELGICA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,2,2
COLQUECHACA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,2,2
COLQUENCHA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,4,4
COMARAPA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,3,3
COMBAYA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
COPACABANA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,2,2
CUEVO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
DESAGUADERO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,2,2
EL ALTO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,39,39
EL TORNO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,5,5
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,3,3
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,2,2
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,8,8
GUAYARAMERIN,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,3,3
GUTIERREZ,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,2,2
HUANUNI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,2,2
HUARINA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
HUATAJATA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,2,2
HUMANATA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
ICHOCA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
INQUISIVI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
LA GUARDIA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,40,40
LAGUNILLAS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,2,2
LICOMA PAMPA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
LLALLAGUA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,3,3
MACHACAMARCA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
MAIRANA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
MINEROS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
MONTERO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,3,3
MORO MORO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
MOROCHATA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
OKINAWA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
ORURO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
PAILON,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,2,2
PALCA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
PAMPA AULLAGAS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
PAMPA GRANDE,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
PAPEL PAMPA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
PATACAMAYA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,2,2
POCOATA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,2,2
POCONA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,3,3
PORONGO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,2,2
POTOSI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,7,7
PUCARANI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,5,5
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,2,2
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,3,3
PUNA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
QUIABAYA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
QUILLACOLLO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,4,4
QUIME,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,2,2
RIBERALTA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,2,2
SACABA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
SACABAMBA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
SAIPINA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
SAN AGUSTIN,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
SAN ANTONIO DE LOMERIO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
SAN CARLOS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
SAN JOAQUIN,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
SAN JOSE DE CHIQUITOS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,2,2
SAN JULIAN,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,7,7
SAN MATIAS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
SAN PABLO DE LIPEZ,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,4,4
SAN PEDRO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,3,3
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,2,2
SAN RAMON SCZ,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,27,27
SANTA ROSA DEL SARA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,3,3
SANTIAGO DE CALLAPA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,2,2
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,2,2
SANTUARIO DE QUILLACAS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,2,2
SAPAHAQUI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,2,2
SORATA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,3,3
SUCRE,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
TACOPAYA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,4,4
TARABUCO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
TARACO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
TARATA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
TARIJA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,6,6
TEOPONTE,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
TIQUIPAYA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,2,2
TOCO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
TOLATA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
TOMAVE,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
TOTORA(CBBA),actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,2,2
TRIGAL,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
TRINIDAD,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,5,5
UMALA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
UNCIA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,2,2
URIONDO (A. CONCEPCION),actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,3,3
UYUNI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,20,20
VACAS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
VALLEGRANDE,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
VIACHA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,5,5
VILLA CHARCAS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
VILLA TUNARI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,2,2
VITICHI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,2,2
WALDO BALLIVIAN,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
WARNES,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,6,6
YAPACANI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,2,2
ZUDAÑEZ,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
ACHACACHI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,11,11
ACHOCALLA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,2,2
AIQUILE,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,2,2
ANCORAIMES,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
APOLO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,3,3
ARAMPAMPA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
ARANI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,3,3
ARQUE,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
AYATA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
AYO AYO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,3,3
BERMEJO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
BOYUIBE,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,2,2
CABEZAS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,4,4
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
CAPINOTA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
CARACOLLO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
CARIPUYO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
CHACARILLA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
CHARAGUA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,2,2
CHAYANTA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,3,3
CHOQUE COTA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
CHUA COCANI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
CHUMA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,3,3
CLIZA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,2,2
COCAPATA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,3,3
COCHABAMBA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,7,7
"COLCHA ""K""",actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
COLLANA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,2,2
COLPA BELGICA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
COLQUENCHA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,4,4
COMBAYA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
CONCEPCION,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
COPACABANA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
COTAGAITA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,2,2
COTOCA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,5,5
CUEVO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
CURVA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,2,2
DESAGUADERO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,2,2
EL ALTO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,35,35
EL TORNO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,5,5
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,3,3
FILADELFIA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,6,6
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,6,6
GUAYARAMERIN,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,2,2
GUTIERREZ,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
HUARINA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,2,2
HUATAJATA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,2,2
HUMANATA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
ICLA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
INQUISIVI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
IXIAMAS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
LA ASUNTA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
LA GUARDIA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,3,3
LA PAZ,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,45,45
LAGUNILLAS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,2,2
LAS CARRERAS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
MONTERO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,7,7
MORO MORO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,2,2
OKINAWA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
OMEREQUE,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
ORURO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
PAPEL PAMPA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,2,2
PATACAMAYA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,4,4
PAZÑA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
PELECHUCO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,2,2
POCONA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,5,5
PORONGO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,2,2
POSTRER VALLE,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
POTOSI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,2,2
PUCARANI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,5,5
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
PUERTO GONZALO MORENO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,2,2
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,2,2
PUNA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
QUIABAYA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
QUILLACOLLO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,6,6
QUIME,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
REYES,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
RIBERALTA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,2,2
ROBORE,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
SACABA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
SACABAMBA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
SAIPINA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
SAN ANTONIO DE LOMERIO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,3,3
SAN BENITO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
SAN BORJA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
SAN CARLOS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
SAN JAVIER(STC),actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
SAN JOAQUIN,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
SAN JOSE DE CHIQUITOS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
SAN JULIAN,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,7,7
SAN PABLO DE LIPEZ,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
SAN PEDRO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,5,5
SAN RAMON SCZ,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,26,26
SANTA ROSA DEL SARA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,2,2
SANTIAGO DE CALLAPA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,3,3
SANTIAGO DE MACHACA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,2,2
SAPAHAQUI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,2,2
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,3,3
SIPE SIPE,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
SORATA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,3,3
SUCRE,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,3,3
TACACOMA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
TARACO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,2,2
TARATA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
TIAWANACU,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,2,2
TIQUIPAYA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,3,3
TOCO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
TOLATA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
TOLEDO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
TOMAVE,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
TOTORA(CBBA),actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,2,2
TRINIDAD,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
TUPIZA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
UMALA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
VACAS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
VIACHA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,7,7
VILLA CHARCAS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
VILLA RIVERO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
VILLA TUNARI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,6,6
VINTO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
WALDO BALLIVIAN,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
WARNES,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,6,6
YACUIBA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,3,3
YAMPARAEZ,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
YANACACHI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,1,1
YAPACANI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-02-01,2,2
ACACIO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-03-01,2,2
ACHACACHI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-03-01,10,10
ACHOCALLA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-03-01,1,1
ANCORAIMES,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-03-01,2,2
ANTEQUERA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-03-01,3,3
APOLO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-03-01,2,2
ARANI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-03-01,3,3
ARQUE,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-03-01,2,2
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-03-01,2,2
AYATA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-03-01,2,2
AYO AYO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-03-01,3,3
