,group,variable,month,ANTIRRÁBICA EN PERROS Y GATOS CANTIDAD,ANTIRRÁBICA EN PERROS Y GATOS CANTIDAD,TOTALES,TOTALES,TOTALES
SAN AGUSTIN,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,9,0,9,0,9
SAN ANDRES DE MACHACA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,221,0,221,221
SAN ANTONIO DE LOMERIO,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,275,0,275,0,275
SAN BORJA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,4,239,4,239,243
SAN BUENA VENTURA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,5,15,5,15,20
SAN IGNACIO,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,547,2380,547,2380,2927
SAN JULIAN,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,4,0,4,0,4
SAN LORENZO(PND),otras vacunaciones,antirrabica en perros y gatos,2010-01-01,15,0,15,0,15
SAN LORENZO(TJA),otras vacunaciones,antirrabica en perros y gatos,2010-01-01,20,180,20,180,200
SAN LUCAS,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,25,0,25,25
SAN MIGUEL DE VELASCO,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,648,0,648,0,648
SAN PEDRO,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,21,290,21,290,311
SAN PEDRO DE CURAHUARA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,10,303,10,303,313
SAN PEDRO DE TIQUINA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,20,0,20,20
SAN RAFAEL,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,46,14,46,14,60
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,11300,4914,11300,4914,16214
SANTA ROSA DEL SARA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,1,0,1,0,1
SANTIAGO DE MACHACA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,78,0,78,78
SAPAHAQUI,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,1,35,1,35,36
SENA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,80,0,80,0,80
SHINAOTA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,70,0,70,70
SICA SICA (VILLA AROMA),otras vacunaciones,antirrabica en perros y gatos,2010-01-01,2,415,2,415,417
SIPE SIPE,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,22,213,22,213,235
SORACACHI,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,5,37,5,37,42
SORATA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,30,0,30,30
TACOPAYA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,56,0,56,56
TAPACARI,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,26,149,26,149,175
TARABUCO,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,40,0,40,40
TARACO,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,188,0,188,188
TARATA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,3,0,3,3
TARIJA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,46,89,46,89,135
TARVITA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,5,15,5,15,20
TIAWANACU,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,66,0,66,66
TIPUANI,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,329,433,329,433,762
TIQUIPAYA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,151,113,151,113,264
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,5,0,5,5
TOCO,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,347,0,347,347
TOLATA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,2,0,2,0,2
TOLEDO,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,1,53,1,53,54
TOTORA(CBBA),otras vacunaciones,antirrabica en perros y gatos,2010-01-01,35,0,35,0,35
TRINIDAD,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,13,0,13,0,13
TUPIZA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,3,52,3,52,55
TURCO,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,3,10,3,10,13
UMALA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,208,0,208,208
VACAS,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,132,0,132,0,132
VILA VILA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,40,0,40,40
VILLA TUNARI,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,454,210,454,210,664
VILLAZON,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,55,0,55,55
VINTO,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,27,515,27,515,542
WARNES,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,26,2832,26,2832,2858
YANACACHI,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,9,6,9,6,15
ACHACACHI,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,477,0,477,477
AIQUILE,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,287,0,287,287
ALTO BENI,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,35,60,35,60,95
ANCORAIMES,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,18,0,18,18
ANDAMARCA,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,8,8,8,8,16
ANZALDO,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,980,0,980,980
ARBIETO,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,4,1047,4,1047,1051
AYO AYO,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,180,0,180,180
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,antirrabica en perros y gatos,2010-02-01,6,130,6,130,136
BATALLAS,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,60,0,60,60
BETANZOS,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,65,0,65,65
BOLIVAR,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,28,0,28,28
BUENA VISTA,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,70,0,70,70
CABEZAS,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,10,0,10,10
CAJUATA,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,41,39,41,39,80
CALACOTO,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,50,0,50,50
CALAMARCA,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,10,12,10,12,22
CARANAVI,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,222,0,222,222
CARAPARI,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,4,0,4,0,4
CARIPUYO,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,50,0,50,50
CATACORA,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,43,0,43,43
CHACARILLA,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,31,0,31,31
CHALLAPATA,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,1,3,1,3,4
CHARAÑA,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,6,0,6,6
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,antirrabica en perros y gatos,2010-02-01,5,31,5,31,36
CLIZA,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,7,345,7,345,352
COCHABAMBA,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,825,0,825,0,825
"COLCHA ""K""",otras vacunaciones,antirrabica en perros y gatos,2010-02-01,3,0,3,0,3
COLOMI,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,9,17,9,17,26
COLQUENCHA,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,6,12,6,12,18
COPACABANA,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,48,0,48,48
CORIPATA,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,197,0,197,197
CORQUE,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,3,10,3,10,13
CURAHUARA DE CARANGAS,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,10,0,10,10
EL ALTO,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,910,2007,910,2007,2917
EL CHORO,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,101,0,101,101
EL PUENTE(TJA),otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,30,0,30,30
ENTRE RIOS TRJ,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,24,0,24,24
ESCOMA,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,32,60,32,60,92
FERNANDEZ ALONSO,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,675,42,675,42,717
GENERAL SAAVEDRA,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,25,0,25,25
ICHOCA,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,42,0,42,42
INQUISIVI,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,290,0,290,290
IRUPANA (VILLA DE LANZA),otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,128,0,128,128
JESUS DE MACHACA,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,10,0,10,10
LA ASUNTA,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,21,72,21,72,93
LA GUARDIA,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,160,250,160,250,410
LA PAZ,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,459,815,459,815,1274
LAGUNILLAS,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,111,0,111,111
LURIBAY,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,7,0,7,7
MAPIRI,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,158,0,158,158
MIZQUE,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,1,82,1,82,83
MONTEAGUDO,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,10,8,10,8,18
MONTERO,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,31,90,31,90,121
MOROCHATA,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,7,35,7,35,42
OCURI,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,15,0,15,15
OMEREQUE,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,30,0,30,30
ORURO,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,65,0,65,65
PADILLA,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,7,0,7,7
PALCA,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,51,0,51,51
PALOS BLANCOS,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,147,0,147,147
PASORAPA,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,20,0,20,20
PELECHUCO,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,40,10,40,10,50
POCONA,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,20,0,20,20
POSTRER VALLE,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,16,0,16,0,16
POTOSI,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,5,0,5,0,5
PUERTO ACOSTA,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,118,0,118,118
PUERTO CARABUCO,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,100,0,100,100
PUERTO PEREZ,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,37,0,37,37
PUERTO QUIJARRO,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,144,0,144,144
PUERTO VILLARROEL,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,427,0,427,427
PUNATA,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,7,0,7,0,7
QUILLACOLLO,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,68,190,68,190,258
QUIRUSILLAS,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,173,0,173,173
RAVELO,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,10,0,10,10
RURRENABAQUE,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,1235,0,1235,1235
SABAYA,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,10,9,10,9,19
SACABA,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,36,654,36,654,690
SALINAS DE GARCI MENDOZA,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,10,27,10,27,37
SAMAIPATA,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,417,0,417,417
SAN BORJA,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,829,0,829,829
SAN BUENA VENTURA,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,54,0,54,54
SAN IGNACIO,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,1,911,1,911,912
SAN LORENZO(TJA),otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,2,0,2,2
SAN LUCAS,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,10,0,10,10
SAN PEDRO DE CURAHUARA,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,60,0,60,60
SAN PEDRO DE TIQUINA,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,10,0,10,10
SANTA ANA,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,2662,0,2662,2662
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,7436,9731,7436,9731,17167
SAPAHAQUI,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,1,112,1,112,113
SICA SICA (VILLA AROMA),otras vacunaciones,antirrabica en perros y gatos,2010-02-01,80,40,80,40,120
SIPE SIPE,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,23,40,23,40,63
SORACACHI,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,85,0,85,85
SORATA,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,31,0,31,31
SUCRE,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,1,1,1,1,2
TAPACARI,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,6,0,6,6
TARABUCO,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,90,0,90,90
TARACO,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,10,0,10,10
TARATA,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,12,1,12,1,13
TARIJA,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,4,0,4,0,4
TEOPONTE,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,6,0,6,6
TIPUANI,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,19,100,19,100,119
TIQUIPAYA,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,104,8,104,8,112
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,11,0,11,11
TOLATA,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,19,1870,19,1870,1889
TOLEDO,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,21,66,21,66,87
TOTORA(CBBA),otras vacunaciones,antirrabica en perros y gatos,2010-02-01,177,0,177,0,177
TUPIZA,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,19,0,19,0,19
TURCO,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,10,0,10,0,10
UMALA,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,32,0,32,32
URIONDO (A. CONCEPCION),otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,15,0,15,15
VILA VILA,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,15,0,15,15
VILLA TUNARI,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,16,10,16,10,26
VINTO,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,68,0,68,0,68
WALDO BALLIVIAN,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,5,0,5,5
WARNES,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,20,340,20,340,360
YACUIBA,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,0,1160,0,1160,1160
YANACACHI,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,8,13,8,13,21
YOTALA,otras vacunaciones,antirrabica en perros y gatos,2010-02-01,2,0,2,0,2
ACHOCALLA,otras vacunaciones,antirrabica en perros y gatos,2010-03-01,1,39,1,39,40
AIQUILE,otras vacunaciones,antirrabica en perros y gatos,2010-03-01,3,149,3,149,152
ALTO BENI,otras vacunaciones,antirrabica en perros y gatos,2010-03-01,10,109,10,109,119
ANCORAIMES,otras vacunaciones,antirrabica en perros y gatos,2010-03-01,0,8,0,8,8
ANDAMARCA,otras vacunaciones,antirrabica en perros y gatos,2010-03-01,5,6,5,6,11
ANZALDO,otras vacunaciones,antirrabica en perros y gatos,2010-03-01,0,535,0,535,535
ARBIETO,otras vacunaciones,antirrabica en perros y gatos,2010-03-01,0,708,0,708,708
AYO AYO,otras vacunaciones,antirrabica en perros y gatos,2010-03-01,0,240,0,240,240
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,antirrabica en perros y gatos,2010-03-01,20,10,20,10,30
BATALLAS,otras vacunaciones,antirrabica en perros y gatos,2010-03-01,0,169,0,169,169
