,group,variable,month,MUJERES DE 10 A 49 AÑOS 2DA DOSIS DE DT CANTIDAD,MUJERES DE 10 A 49 AÑOS 2DA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
EXALTACION,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,2,0,2,0,2
FERNANDEZ ALONSO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,10,0,10,0,10
GENERAL SAAVEDRA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,14,14,14,14,28
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,13,2,13,2,15
GUANAY,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,9,6,9,6,15
GUAQUI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,17,13,17,13,30
GUAYARAMERIN,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,86,2,86,2,88
GUTIERREZ,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,4,0,4,0,4
HUACARETA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,1,3,1,3,4
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,1,3,1,3,4
HUANUNI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,21,0,21,0,21
HUARACAJE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,3,0,3,0,3
HUARINA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,0,4,0,4,4
HUAYLLAMARCA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,3,1,3,1,4
HUMANATA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,0,3,0,3,3
ICHOCA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,0,14,0,14,14
ICLA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,1,3,1,3,4
INCAHUASI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,5,12,5,12,17
INQUISIVI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,1,19,1,19,20
IRUPANA (VILLA DE LANZA),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,1,3,1,3,4
JESUS DE MACHACA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,5,0,5,0,5
LA ASUNTA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,9,14,9,14,23
LA GUARDIA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,67,2,67,2,69
LA PAZ,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,822,264,822,264,1086
LAGUNILLAS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,14,1,14,1,15
LAJA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,26,1,26,1,27
LAS CARRERAS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,1,1,1,1,2
LICOMA PAMPA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,4,0,4,0,4
LLALLAGUA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,24,28,24,28,52
LORETO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,2,0,2,0,2
LURIBAY,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,2,0,2,0,2
MACHACAMARCA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,3,0,3,0,3
MACHARETI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,1,2,1,2,3
MAGDALENA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,12,0,12,0,12
MAIRANA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,4,0,4,0,4
MAPIRI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,5,0,5,0,5
MECAPACA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,4,0,4,0,4
MINEROS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,40,11,40,11,51
MIZQUE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,7,18,7,18,25
MOCOMOCO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,6,1,6,1,7
MOJOCOYA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,1,0,1,0,1
MONTEAGUDO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,8,7,8,7,15
MONTERO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,180,24,180,24,204
MORO MORO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,1,0,1,0,1
MOROCHATA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,3,9,3,9,12
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,0,2,0,2,2
OCURI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,4,12,4,12,16
OKINAWA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,25,1,25,1,26
OMEREQUE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,2,4,2,4,6
ORURO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,277,17,277,17,294
PADCAYA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,15,6,15,6,21
PADILLA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,7,6,7,6,13
PAILON,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,12,0,12,0,12
PALCA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,1,8,1,8,9
PALOS BLANCOS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,5,1,5,1,6
PAMPA AULLAGAS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,1,0,1,0,1
PAMPA GRANDE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,12,0,12,0,12
PAPEL PAMPA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,1,0,1,0,1
PASORAPA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,1,1,1,1,2
PATACAMAYA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,11,0,11,0,11
PAZÑA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,2,0,2,0,2
PELECHUCO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,3,2,3,2,5
POCOATA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,0,18,0,18,18
POCONA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,18,2,18,2,20
POJO (CBBA),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,21,0,21,0,21
POOPO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,2,0,2,0,2
POROMA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,0,7,0,7,7
PORTACHUELO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,41,1,41,1,42
PORVENIR,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,3,0,3,0,3
POTOSI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,270,2,270,2,272
PRESTO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,1,5,1,5,6
PUCARANI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,31,0,31,0,31
PUERTO ACOSTA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,3,3,3,3,6
PUERTO CARABUCO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,0,3,0,3,3
PUERTO PEREZ,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,0,9,0,9,9
PUERTO QUIJARRO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,40,0,40,0,40
PUERTO RICO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,5,4,5,4,9
PUERTO SUAREZ,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,6,4,6,4,10
PUERTO VILLARROEL,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,106,31,106,31,137
PUNA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,2,17,2,17,19
PUNATA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,42,6,42,6,48
QUILLACOLLO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,68,46,68,46,114
QUIME,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,2,2,2,2,4
RAVELO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,11,7,11,7,18
REYES,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,20,0,20,0,20
RIBERALTA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,162,6,162,6,168
ROBORE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,5,0,5,0,5
RURRENABAQUE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,11,21,11,21,32
SACABA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,91,93,91,93,184
SACABAMBA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,5,0,5,0,5
SACACA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,0,2,0,2,2
SAIPINA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,2,0,2,0,2
SALINAS DE GARCI MENDOZA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,3,5,3,5,8
SAMAIPATA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,8,0,8,0,8
SAN ANDRES,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,5,0,5,0,5
SAN ANDRES DE MACHACA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,4,0,4,0,4
SAN BENITO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,11,3,11,3,14
SAN BORJA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,52,0,52,0,52
SAN CARLOS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,15,2,15,2,17
SAN IGNACIO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,51,63,51,63,114
SAN IGNACIO DE VELASCO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,58,15,58,15,73
SAN JAVIER(STC),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,15,14,15,14,29
SAN JOAQUIN,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,5,0,5,0,5
SAN JOSE DE CHIQUITOS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,4,0,4,0,4
SAN JULIAN,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,20,9,20,9,29
SAN LORENZO(PND),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,0,1,0,1,1
SAN LORENZO(TJA),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,8,1,8,1,9
SAN LUCAS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,31,20,31,20,51
SAN MATIAS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,16,8,16,8,24
SAN MIGUEL DE VELASCO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,42,0,42,0,42
SAN PEDRO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,6,0,6,0,6
SAN PEDRO DE BUENA VISTA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,0,10,0,10,10
SAN PEDRO DE CURAHUARA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,3,0,3,0,3
SAN PEDRO DE TIQUINA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,1,2,1,2,3
SAN RAFAEL,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,2,0,2,0,2
SAN RAMON BENI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,1,7,1,7,8
SAN RAMON SCZ,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,5,0,5,0,5
SANTA ANA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,10,1,10,1,11
SANTA CRUZ DE LA SIERRA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,2029,113,2029,113,2142
SANTA ROSA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,5,0,5,0,5
SANTA ROSA DEL SARA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,22,14,22,14,36
SANTIAGO DE CALLAPA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,0,7,0,7,7
SANTIAGO DE HUARI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,2,0,2,0,2
SANTIAGO DE HUATA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,0,4,0,4,4
SANTIAGO DE MACHACA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,0,1,0,1,1
SANTIVAÑES,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,1,0,1,0,1
SAPAHAQUI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,1,0,1,0,1
SENA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,2,0,2,0,2
SHINAOTA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,13,22,13,22,35
SICA SICA (VILLA AROMA),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,18,10,18,10,28
SICAYA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,1,0,1,0,1
SIPE SIPE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,38,9,38,9,47
SORACACHI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,4,6,4,6,10
SORATA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,7,2,7,2,9
SUCRE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,112,28,112,28,140
TACACHI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,3,0,3,0,3
TACACOMA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,8,2,8,2,10
TACOBAMBA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,1,0,1,0,1
TACOPAYA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,8,5,8,5,13
TAHUA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,0,3,0,3,3
TAPACARI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,37,3,37,3,40
TARABUCO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,5,2,5,2,7
TARACO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,0,2,0,2,2
TARIJA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,324,2,324,2,326
TARVITA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,1,3,1,3,4
