,group,variable,month,TRABAJADOR DE SALUD HEPATITIS B 1RA DOSIS CANTIDAD,TRABAJADOR DE SALUD HEPATITIS B 1RA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
CARMEN RIVERO TORREZ,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-04-01,1,0,1,0,1
COCHABAMBA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-04-01,14,0,14,0,14
FILADELFIA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-04-01,1,0,1,0,1
GUAYARAMERIN,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-04-01,10,0,10,0,10
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-04-01,61,0,61,0,61
LURIBAY,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-04-01,4,0,4,0,4
MAGDALENA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-04-01,3,0,3,0,3
OMEREQUE,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-04-01,1,0,1,0,1
ORURO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-04-01,2,0,2,0,2
PUERTO RICO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-04-01,6,0,6,0,6
PUERTO SUAREZ,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-04-01,3,0,3,0,3
SACABA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-04-01,11,0,11,0,11
SAN BORJA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-04-01,5,0,5,0,5
SAN JOSE DE CHIQUITOS,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-04-01,2,0,2,0,2
SAN RAMON BENI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-04-01,3,0,3,0,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-04-01,6,0,6,0,6
SANTA ROSA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-04-01,7,0,7,0,7
SUCRE,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-04-01,37,0,37,0,37
TARACO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-04-01,7,0,7,0,7
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-04-01,9,0,9,0,9
TARVITA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-04-01,1,0,1,0,1
TRINIDAD,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-04-01,13,5,13,5,18
VILLA MONTES,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-04-01,1,0,1,0,1
YACUIBA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-04-01,1,0,1,0,1
AYATA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-05-01,20,0,20,0,20
BERMEJO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-05-01,13,3,13,3,16
BOLPEBRA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-05-01,5,0,5,0,5
CARMEN RIVERO TORREZ,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-05-01,3,0,3,0,3
CHARAÑA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-05-01,3,0,3,0,3
COTAGAITA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-05-01,2,0,2,0,2
EL ALTO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-05-01,35,4,35,4,39
ENTRE RIOS CBBA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-05-01,5,0,5,0,5
LA GUARDIA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-05-01,10,0,10,0,10
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-05-01,74,0,74,0,74
LAJA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-05-01,0,8,0,8,8
LURIBAY,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-05-01,2,0,2,0,2
PAMPA GRANDE,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-05-01,4,0,4,0,4
PASORAPA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-05-01,1,0,1,0,1
POTOSI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-05-01,1,0,1,0,1
PUCARA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-05-01,6,0,6,0,6
PUERTO GONZALO MORENO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-05-01,2,0,2,0,2
PUERTO SUAREZ,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-05-01,1,0,1,0,1
PUERTO VILLARROEL,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-05-01,1,0,1,0,1
REYES,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-05-01,2,0,2,0,2
ROBORE,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-05-01,0,2,0,2,2
SACABA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-05-01,8,0,8,0,8
SAN BORJA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-05-01,11,7,11,7,18
SAN IGNACIO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-05-01,34,0,34,0,34
SAN JOSE DE CHIQUITOS,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-05-01,3,3,3,3,6
SANTA CRUZ DE LA SIERRA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-05-01,2,0,2,0,2
SANTA ROSA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-05-01,10,0,10,0,10
SICAYA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-05-01,8,0,8,0,8
SUCRE,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-05-01,10,0,10,0,10
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-05-01,36,0,36,0,36
TRINIDAD,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-05-01,4,0,4,0,4
VILLA MONTES,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-05-01,3,0,3,0,3
AIQUILE,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,1,0,1,0,1
ARQUE,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,1,0,1,0,1
BERMEJO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,5,0,5,0,5
BOLPEBRA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,0,4,0,4,4
CAIROMA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,0,2,0,2,2
CAQUIAVIRI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,3,0,3,0,3
CARANAVI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,4,0,4,0,4
CHIMORE,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,4,0,4,0,4
CLIZA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,14,0,14,0,14
COBIJA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,1,0,1,0,1
COCHABAMBA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,17,0,17,0,17
"COLCHA ""K""",otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,0,7,0,7,7
COMANCHE,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,3,0,3,0,3
CORO CORO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,2,0,2,0,2
EL ALTO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,74,30,74,30,104
ENTRE RIOS TRJ,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,2,0,2,0,2
EUREKA (SANTOS MERCADO),otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,2,0,2,0,2
GUAYARAMERIN,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,10,0,10,0,10
ICLA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,6,0,6,0,6
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,80,0,80,0,80
LICOMA PAMPA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,5,0,5,0,5
MALLA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,0,3,0,3,3
MAPIRI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,2,0,2,0,2
MIZQUE,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,9,0,9,0,9
MONTERO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,1,1,1,1,2
MORO MORO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,1,0,1,0,1
OCURI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,1,0,1,0,1
ORURO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,7,21,7,21,28
PADILLA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,21,1,21,1,22
POCOATA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,82,0,82,0,82
PORTACHUELO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,1,0,1,0,1
POTOSI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,2,0,2,0,2
ROBORE,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,24,0,24,0,24
SACABAMBA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,0,1,0,1,1
SAMAIPATA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,0,1,0,1,1
SAN BORJA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,17,20,17,20,37
SAN CARLOS,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,14,0,14,0,14
SAN IGNACIO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,6,2,6,2,8
SAN IGNACIO DE VELASCO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,10,0,10,0,10
SAN JOSE DE CHIQUITOS,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,20,0,20,0,20
SAN JUAN DE YAPACANI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,6,1,6,1,7
SAN PEDRO DE TIQUINA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,10,0,10,0,10
SAN PEDRO(PND),otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,0,3,0,3,3
SAN RAFAEL,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,5,0,5,0,5
SAN RAMON BENI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,23,23,23,23,46
SANTA ROSA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,10,0,10,0,10
SICAYA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,3,0,3,0,3
SOPACHUY,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,5,1,5,1,6
SUCRE,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,6,0,6,0,6
TACOPAYA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,1,0,1,0,1
TARATA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,2,0,2,0,2
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,41,0,41,0,41
TOCO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,4,0,4,0,4
TRIGAL,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,9,0,9,0,9
TRINIDAD,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,1,4,1,4,5
VILLA MONTES,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,18,303,18,303,321
YACUIBA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,168,0,168,0,168
YAPACANI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,3,0,3,0,3
YUNCHARA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-06-01,0,15,0,15,15
ARQUE,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-07-01,1,0,1,0,1
BERMEJO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-07-01,1,0,1,0,1
BOLPEBRA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-07-01,0,1,0,1,1
BUENA VISTA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-07-01,8,0,8,0,8
CARMEN RIVERO TORREZ,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-07-01,2,0,2,0,2
COTOCA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-07-01,7,0,7,0,7
EL ALTO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-07-01,30,0,30,0,30
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-07-01,6,0,6,0,6
MORO MORO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-07-01,5,0,5,0,5
ORURO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-07-01,9,7,9,7,16
PAILON,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-07-01,2,0,2,0,2
POTOSI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-07-01,2,0,2,0,2
PUCARANI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-07-01,1,0,1,0,1
PUERTO SUAREZ,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-07-01,6,0,6,0,6
QUILLACOLLO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-07-01,1,0,1,0,1
SAN JUAN DE YAPACANI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-07-01,4,0,4,0,4
SAN LORENZO(TJA),otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-07-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-07-01,56,0,56,0,56
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-07-01,5,0,5,0,5
VILLA MONTES,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-07-01,68,9,68,9,77
YACUIBA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-07-01,11,0,11,0,11
YAPACANI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-07-01,47,0,47,0,47
BUENA VISTA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-08-01,10,0,10,0,10
CARMEN RIVERO TORREZ,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-08-01,1,0,1,0,1
COBIJA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-08-01,4,0,4,0,4
EL ALTO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-08-01,40,0,40,0,40
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-08-01,4,0,4,0,4
MAGDALENA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-08-01,1,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-08-01,3,0,3,0,3
ORURO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-08-01,1,2,1,2,3
PORTACHUELO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-08-01,4,0,4,0,4
POTOSI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-08-01,2,0,2,0,2
PUERTO SUAREZ,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-08-01,2,0,2,0,2
SAN BORJA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-08-01,2,8,2,8,10
SAN IGNACIO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-08-01,1,0,1,0,1
SAN JUAN DE YAPACANI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-08-01,3,0,3,0,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-08-01,12,0,12,0,12
SUCRE,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-08-01,414,0,414,0,414
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-08-01,3,0,3,0,3
TUPIZA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-08-01,2,0,2,0,2
