,group,variable,month,MUJERES DE 10 A 49 AÑOS 5TA DOSIS DE DT CANTIDAD,MUJERES DE 10 A 49 AÑOS 5TA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
PUERTO CARABUCO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,0,1,0,1
PUERTO SILES,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,0,1,0,1
PUERTO SUAREZ,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,0,1,0,1
PUERTO VILLARROEL,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,2,3,2,3,5
PUNA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,0,4,0,4,4
PUNATA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,5,1,5,1,6
QUILLACOLLO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,10,4,10,4,14
QUIME,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,0,1,0,1
QUIRUSILLAS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,0,1,0,1
REYES,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,0,1,0,1
RIBERALTA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,4,0,4,0,4
ROBORE,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,2,0,2,0,2
RURRENABAQUE,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,0,3,0,3,3
SACABA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,10,24,10,24,34
SAMAIPATA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,2,0,2,0,2
SAN ANDRES,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,2,0,2,0,2
SAN ANTONIO DE LOMERIO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,7,0,7,0,7
SAN BORJA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,0,1,0,1
SAN CARLOS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,4,1,4,5
SAN IGNACIO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,6,4,6,4,10
SAN IGNACIO DE VELASCO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,38,4,38,4,42
SAN JAVIER(STC),otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,0,4,0,4,4
SAN JOSE DE CHIQUITOS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,3,0,3,0,3
SAN JULIAN,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,2,1,2,1,3
SAN LORENZO(TJA),otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,0,1,0,1
SAN LUCAS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,4,1,4,5
SAN MATIAS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,1,1,1,2
SAN MIGUEL DE VELASCO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,2,1,2,1,3
SAN PABLO DE LIPEZ,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,0,1,0,1
SAN PEDRO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,0,1,0,1
SAN PEDRO DE BUENA VISTA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,0,3,0,3,3
SAN PEDRO DE CURAHUARA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,0,1,0,1
SAN RAMON BENI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,3,1,3,4
SAN RAMON SCZ,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,0,1,0,1
SANTA ANA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,149,26,149,26,175
SANTA ROSA DEL SARA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,0,1,0,1
SHINAOTA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,2,1,2,3
SIPE SIPE,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,5,0,5,0,5
SUCRE,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,16,10,16,10,26
TACOPAYA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,0,1,0,1
TAPACARI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,3,3,3,3,6
TARIJA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,28,3,28,3,31
TARVITA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,0,1,0,1
TEOPONTE,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,3,0,3,0,3
TIAWANACU,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,2,1,2,3
TINGUIPAYA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,0,1,0,1
TIQUIPAYA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,5,0,5,0,5
TIRAQUE (CBBA),otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,0,1,0,1
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,0,1,0,1
TOLATA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,0,1,0,1
TOMAVE,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,2,0,2,0,2
TOMINA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,6,1,6,7
TRINIDAD,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,7,8,7,8,15
TUPIZA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,1,1,1,2
URIONDO (A. CONCEPCION),otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,2,0,2,0,2
VALLEGRANDE,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,4,0,4,0,4
VIACHA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,5,0,5,0,5
VILLA MONTES,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,0,1,0,1
VILLA TUNARI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,5,21,5,21,26
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,1,1,1,2
VILLAZON,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,3,0,3,0,3
VINTO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,6,1,6,1,7
WARNES,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,2,16,2,16,18
YACUIBA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,3,0,3,0,3
YAMPARAEZ,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,0,1,0,1
YANACACHI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,0,1,0,1
YAPACANI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,7,4,7,4,11
YOTALA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,2,1,2,1,3
ACACIO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,1,0,1,0,1
AIQUILE,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,1,0,1,0,1
ALTO BENI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,1,0,1,0,1
ANZALDO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,0,3,0,3,3
APOLO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,0,1,0,1,1
ARBIETO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,3,5,3,5,8
ARQUE,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,2,0,2,0,2
ASCENCION DE GUARAYOS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,44,0,44,0,44
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,0,14,0,14,14
BATALLAS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,2,0,2,0,2
BERMEJO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,3,0,3,0,3
BUENA VISTA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,2,7,2,7,9
CABEZAS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,2,16,2,16,18
CAMARGO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,0,1,0,1,1
CAMIRI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,3,2,3,2,5
CAPINOTA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,0,2,0,2,2
CARANAVI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,1,0,1,0,1
CARMEN RIVERO TORREZ,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,0,1,0,1,1
CHALLAPATA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,1,1,1,1,2
CHARAGUA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,1,2,1,2,3
CHIMORE,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,1,1,1,1,2
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,0,4,0,4,4
CHUMA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,1,0,1,0,1
CKOCHAS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,0,1,0,1,1
CLIZA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,3,6,3,6,9
COBIJA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,3,1,3,1,4
COCAPATA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,1,0,1,0,1
COCHABAMBA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,90,0,90,0,90
COLCAPIRHUA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,5,5,5,5,10
COLLANA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,2,0,2,0,2
COLOMI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,6,0,6,0,6
COLPA BELGICA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,1,0,1,0,1
COLQUECHACA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,0,3,0,3,3
COLQUENCHA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,1,0,1,0,1
COLQUIRI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,3,1,3,1,4
COMARAPA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,1,2,1,2,3
COPACABANA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,0,14,0,14,14
COROICO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,3,0,3,0,3
COTAGAITA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,0,1,0,1,1
COTOCA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,8,7,8,7,15
CUATRO CAÑADAS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,5,1,5,1,6
CUEVO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,1,8,1,8,9
CULPINA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,0,1,0,1,1
EL ALTO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,144,42,144,42,186
EL PUENTE(STC),otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,4,9,4,9,13
EL TORNO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,12,1,12,1,13
EL VILLAR,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,0,1,0,1,1
ENTRE RIOS TRJ,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,1,1,1,1,2
ENTRE RIOS CBBA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,3,2,3,2,5
EUCALIPTUS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,1,0,1,0,1
FERNANDEZ ALONSO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,1,0,1,0,1
GENERAL SAAVEDRA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,0,3,0,3,3
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,0,2,0,2,2
GUAYARAMERIN,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,5,7,5,7,12
GUTIERREZ,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,3,0,3,0,3
HUACARETA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,1,1,1,1,2
HUANUNI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,5,0,5,0,5
INQUISIVI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,0,1,0,1,1
IXIAMAS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,0,2,0,2,2
JESUS DE MACHACA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,6,0,6,0,6
LA ASUNTA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,1,0,1,0,1
LA GUARDIA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,14,2,14,2,16
LA PAZ,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,121,32,121,32,153
LAGUNILLAS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,1,1,1,1,2
LAJA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,1,0,1,0,1
LAS CARRERAS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,1,0,1,0,1
LLALLAGUA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,1,5,1,5,6
LORETO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,3,0,3,0,3
MACHACAMARCA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,3,0,3,0,3
MAGDALENA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,5,0,5,0,5
MAIRANA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,5,36,5,36,41
MAPIRI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,1,0,1,0,1
MECAPACA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,0,1,0,1,1
MINEROS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,3,0,3,0,3
MIZQUE,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-02-01,2,1,2,1,3
