municipality,group,variable,month,Neumonías,TOTAL
LA ASUNTA,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,1,1
LA GUARDIA,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,7,7
LA PAZ,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,42,42
LAGUNILLAS,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,1,1
LLALLAGUA,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,4,4
MAGDALENA,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,2,2
MIZQUE,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,4,4
MONTEAGUDO,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,2,2
MONTERO,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,30,30
ORURO,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,14,14
PADILLA,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,2,2
PALOS BLANCOS,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,1,1
PORTACHUELO,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,6,6
POTOSI,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,32,32
PUERTO SUAREZ,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,2,2
PUERTO VILLARROEL,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,29,29
PUNA,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,1,1
PUNATA,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,20,20
QUILLACOLLO,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,15,15
REYES,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,1,1
RIBERALTA,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,28,28
ROBORE,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,3,3
RURRENABAQUE,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,2,2
SACABA,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,41,41
SACACA,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,1,1
SAN ANTONIO DE LOMERIO,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,1,1
SAN BORJA,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,3,3
SAN CARLOS,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,19,19
SAN IGNACIO,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,2,2
SAN IGNACIO DE VELASCO,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,38,38
SAN JAVIER(STC),diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,4,4
SAN JOAQUIN,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,1,1
SAN JOSE DE CHIQUITOS,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,2,2
SAN JUAN DE YAPACANI,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,1,1
SAN JULIAN,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,12,12
SAN LUCAS,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,1,1
SAN MATIAS,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,1,1
SAN RAMON,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,1,1
SANTA ANA,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,6,6
SANTA CRUZ DE LA SIERRA,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,125,125
SENA,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,2,2
SOPACHUY,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,1,1
SUCRE,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,31,31
TARABUCO,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,1,1
TARIJA,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,4,4
TEOPONTE,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,1,1
TIQUIPAYA,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,4,4
TIRAQUE (CBBA),diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,22,22
TRINIDAD,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,12,12
TUPIZA,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,17,17
UNCIA,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,4,4
URUBICHA,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,2,2
VALLEGRANDE,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,1,1
VILLA MONTES,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,9,9
VILLA TUNARI,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,34,34
VILLA VACA GUZMAN (MUYUPAMPA),diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,1,1
VILLAZON,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,8,8
VINTO,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,1,1
WARNES,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,4,4
YACUIBA,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,20,20
YAPACANI,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,10,10
AIQUILE,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,4,4
ANCORAIMES,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,1,1
ARBIETO,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,6,6
ASCENCION DE GUARAYOS,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,2,2
BERMEJO,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,2,2
BOYUIBE,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,1,1
CABEZAS,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,2,2
CAMIRI,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,6,6
CARANAVI,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,2,2
CHALLAPATA,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,1,1
CHARAGUA,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,3,3
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,2,2
COBIJA,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,27,27
COCHABAMBA,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,46,46
COLCAPIRHUA,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,1,1
COMARAPA,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,4,4
CONCEPCION,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,9,9
COROICO,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,5,5
CUATRO CAÑADAS,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,1,1
EL ALTO,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,33,33
ENTRE RIOS,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,2,2
FERNANDEZ ALONSO,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,33,33
GUAYARAMERIN,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,11,11
HUANUNI,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,1,1
LA GUARDIA,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,6,6
LA PAZ,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,31,31
LLALLAGUA,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,4,4
MAGDALENA,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,2,2
MIZQUE,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,3,3
MONTEAGUDO,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,7,7
MONTERO,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,36,36
ORURO,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,13,13
PAILON,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,1,1
PALOS BLANCOS,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,4,4
PORTACHUELO,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,1,1
POTOSI,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,10,10
PUERTO QUIJARRO,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,2,2
PUERTO SUAREZ,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,4,4
PUERTO VILLARROEL,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,10,10
PUNATA,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,8,8
QUILLACOLLO,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,8,8
REYES,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,3,3
RIBERALTA,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,23,23
ROBORE,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,5,5
RURRENABAQUE,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,4,4
SACABA,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,77,77
SAN ANTONIO DE LOMERIO,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,1,1
SAN BORJA,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,5,5
SAN CARLOS,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,15,15
SAN IGNACIO DE VELASCO,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,24,24
SAN JOAQUIN,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,3,3
SAN JOSE DE CHIQUITOS,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,4,4
SAN JULIAN,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,23,23
SAN MATIAS,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,1,1
SAN RAMON,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,2,2
SANTA ANA,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,8,8
SANTA CRUZ DE LA SIERRA,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,122,122
SANTA ROSA,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,1,1
SUCRE,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,30,30
TAPACARI,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,1,1
TARABUCO,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,1,1
TARATA,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,1,1
TARIJA,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,10,10
TIQUIPAYA,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,2,2
TIRAQUE (CBBA),diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,33,33
TOMINA,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,2,2
TRINIDAD,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,16,16
TUPIZA,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,22,22
UNCIA,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,48,48
VILLA MONTES,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,11,11
VILLA RIVERO,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,1,1
VILLA TUNARI,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,19,19
VILLAZON,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,7,7
WARNES,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,5,5
YACUIBA,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,28,28
YAPACANI,diagnostico de egreso en menores de 5 anos,neumonias,2007-02-01,10,10
ACHACACHI,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,1,1
AIQUILE,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,4,4
ARBIETO,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,14,14
ASCENCION DE GUARAYOS,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,9,9
ATOCHA,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,1,1
AZURDUY,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,1,1
BAURES,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,1,1
CABEZAS,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,2,2
CAMARGO,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,1,1
CAMIRI,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,19,19
CARACOLLO,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,3,3
CARANAVI,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,4,4
CHALLAPATA,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,4,4
CHARAGUA,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,8,8
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,1,1
COBIJA,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,17,17
COCHABAMBA,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,107,107
COLCAPIRHUA,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,5,5
COMARAPA,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,16,16
CONCEPCION,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,2,2
COROICO,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,7,7
COTOCA,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,1,1
CUATRO CAÑADAS,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,4,4
CULPINA,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,1,1
EL ALTO,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,114,114
EL TORNO,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,7,7
ENTRE RIOS,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,2,2
FERNANDEZ ALONSO,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,55,55
GUAYARAMERIN,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,6,6
GUTIERREZ,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,1,1
HUANUNI,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,4,4
LA ASUNTA,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,2,2
LA GUARDIA,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,6,6
LA PAZ,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,48,48
LLALLAGUA,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,13,13
MAGDALENA,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,2,2
MAIRANA,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,2,2
MIZQUE,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,5,5
MONTEAGUDO,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,2,2
MONTERO,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,57,57
OCURI,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,1,1
ORURO,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,16,16
PADILLA,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,3,3
PALOS BLANCOS,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,3,3
PATACAMAYA,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,2,2
PORTACHUELO,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,6,6
POTOSI,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,34,34
PUERTO QUIJARRO,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,5,5
PUERTO RICO,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,1,1
PUERTO VILLARROEL,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,11,11
PUNATA,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,25,25
QUILLACOLLO,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,21,21
ROBORE,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,4,4
RURRENABAQUE,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,6,6
SACABA,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,75,75
SACACA,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,2,2
SAN BORJA,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,2,2
SAN CARLOS,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,24,24
SAN IGNACIO DE VELASCO,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,65,65
SAN JOAQUIN,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,11,11
SAN JOSE DE CHIQUITOS,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,3,3
SAN JULIAN,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,27,27
SAN LORENZO(TJA),diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,1,1
SAN MATIAS,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,5,5
SAN MIGUEL DE VELASCO,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,1,1
SAN RAMON,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,3,3
SANTA ANA,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,9,9
SANTA CRUZ DE LA SIERRA,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,253,253
SENA,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,1,1
SUCRE,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,80,80
TARABUCO,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,2,2
TARIJA,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,23,23
TARVITA,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,2,2
TIPUANI,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,1,1
TIQUIPAYA,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,9,9
TIRAQUE (CBBA),diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,28,28
TOMINA,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,2,2
TOTORA(CBBA),diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,1,1
TRINIDAD,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,9,9
TUPIZA,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,35,35
UNCIA,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,3,3
VALLEGRANDE,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,2,2
VILLA MONTES,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,7,7
VILLA RIVERO,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,9,9
VILLA TUNARI,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,11,11
VILLA VACA GUZMAN (MUYUPAMPA),diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,2,2
VILLAZON,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,5,5
VINTO,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,5,5
WARNES,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,9,9
YACUIBA,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,29,29
YAPACANI,diagnostico de egreso en menores de 5 anos,neumonias,2007-03-01,17,17
ACHACACHI,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,1,1
AIQUILE,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,4,4
ANTEQUERA,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,1,1
ARBIETO,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,4,4
ASCENCION DE GUARAYOS,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,18,18
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,10,10
BERMEJO,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,1,1
CABEZAS,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,12,12
CAIROMA,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,1,1
CAMIRI,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,33,33
CAPINOTA,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,1,1
CARANAVI,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,4,4
CARMEN RIVERO TORREZ,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,7,7
CHARAGUA,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,9,9
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,4,4
CLIZA,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,2,2
COBIJA,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,11,11
COCHABAMBA,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,129,129
COLCAPIRHUA,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,3,3
COMARAPA,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,4,4
CONCEPCION,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,5,5
COROICO,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,3,3
COTAGAITA,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,2,2
CUATRO CAÑADAS,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,3,3
CULPINA,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,6,6
EL ALTO,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,136,136
EL TORNO,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,3,3
ENTRE RIOS,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,2,2
FERNANDEZ ALONSO,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,37,37
GUAYARAMERIN,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,7,7
HUANUNI,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,9,9
LA ASUNTA,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,2,2
LA GUARDIA,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,22,22
LA PAZ,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,119,119
LAS CARRERAS,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,1,1
LLALLAGUA,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,22,22
LLICA,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,1,1
LURIBAY,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,1,1
MAGDALENA,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,2,2
MAIRANA,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,3,3
MIZQUE,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,1,1
MONTEAGUDO,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,11,11
MONTERO,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,63,63
OMEREQUE,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,2,2
ORURO,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,47,47
PADILLA,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,6,6
PAILON,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,1,1
PALOS BLANCOS,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,5,5
PATACAMAYA,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,2,2
PORTACHUELO,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,6,6
POTOSI,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,66,66
PUERTO QUIJARRO,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,1,1
PUERTO SUAREZ,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,3,3
PUERTO VILLARROEL,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,12,12
PUNATA,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,21,21
QUILLACOLLO,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,24,24
RIBERALTA,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,12,12
ROBORE,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,4,4
RURRENABAQUE,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,9,9
SACABA,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,88,88
SAN ANTONIO DE LOMERIO,diagnostico de egreso en menores de 5 anos,neumonias,2007-04-01,1,1
