municipality,group,variable,month,Otros,TOTAL
PADILLA,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,7,7
PALOS BLANCOS,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,47,47
PORTACHUELO,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,6,6
POTOSI,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,65,65
PUERTO SUAREZ,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,5,5
PUERTO VILLARROEL,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,11,11
PUNATA,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,60,60
QUILLACOLLO,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,68,68
REYES,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,4,4
RIBERALTA,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,28,28
ROBORE,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,4,4
RURRENABAQUE,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,4,4
SACABA,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,25,25
SAMAIPATA,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,1,1
SAN BORJA,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,5,5
SAN CARLOS,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,7,7
SAN IGNACIO,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,1,1
SAN IGNACIO DE VELASCO,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,111,111
SAN JOAQUIN,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,2,2
SAN JOSE DE CHIQUITOS,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,1,1
SAN JULIAN,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,2,2
SAN LUCAS,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,1,1
SAN MATIAS,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,2,2
SAN MIGUEL DE VELASCO,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,1,1
SAN RAFAEL,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,1,1
SAN RAMON,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,3,3
SAN RAMON,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,2,2
SANTA ANA,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,13,13
SANTA CRUZ DE LA SIERRA,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,1068,1068
SANTA ROSA,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,1,1
SOPACHUY,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,2,2
SUCRE,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,162,162
TARABUCO,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,2,2
TARIJA,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,126,126
TARVITA,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,1,1
TIQUIPAYA,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,1,1
TOLEDO,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,1,1
TRINIDAD,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,281,281
TUPIZA,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,41,41
VILLA MONTES,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,34,34
VILLA TUNARI,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,20,20
VILLA VACA GUZMAN (MUYUPAMPA),diagnostico de egreso en menores de 5 anos,otros,2007-01-01,2,2
VILLAZON,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,26,26
WARNES,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,5,5
YACUIBA,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,110,110
YAMPARAEZ,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,1,1
YAPACANI,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,9,9
ACHACACHI,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,1,1
AIQUILE,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,4,4
APOLO,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,2,2
ASCENCION DE GUARAYOS,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,20,20
ATOCHA,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,13,13
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso en menores de 5 anos,otros,2007-02-01,1,1
BERMEJO,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,11,11
BOYUIBE,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,2,2
CAMARGO,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,8,8
CAMIRI,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,43,43
CARANAVI,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,3,3
CHALLAPATA,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,5,5
CHARAGUA,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,12,12
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso en menores de 5 anos,otros,2007-02-01,5,5
CLIZA,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,2,2
COBIJA,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,10,10
COCHABAMBA,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,233,233
COLCAPIRHUA,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,7,7
COMARAPA,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,14,14
CONCEPCION,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,24,24
COROICO,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,11,11
COTOCA,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,5,5
CUATRO CAÑADAS,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,4,4
CULPINA,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,1,1
EL ALTO,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,126,126
EL TORNO,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,2,2
FERNANDEZ ALONSO,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,321,321
FILADELFIA,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,3,3
GUAYARAMERIN,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,96,96
GUTIERREZ,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,1,1
LA ASUNTA,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,2,2
LA GUARDIA,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,2,2
LA PAZ,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,561,561
LLALLAGUA,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,17,17
MAGDALENA,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,4,4
MAIRANA,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,2,2
MONTEAGUDO,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,15,15
MONTERO,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,114,114
ORURO,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,72,72
PADILLA,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,10,10
PORTACHUELO,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,4,4
POTOSI,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,24,24
PUERTO QUIJARRO,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,1,1
PUERTO SUAREZ,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,5,5
PUERTO VILLARROEL,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,11,11
PUNATA,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,21,21
QUILLACOLLO,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,57,57
RIBERALTA,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,17,17
ROBORE,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,3,3
RURRENABAQUE,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,6,6
SACABA,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,33,33
SACACA,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,2,2
SAN BORJA,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,6,6
SAN CARLOS,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,3,3
SAN IGNACIO DE VELASCO,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,118,118
SAN JAVIER(STC),diagnostico de egreso en menores de 5 anos,otros,2007-02-01,2,2
SAN JOAQUIN,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,1,1
SAN JOSE DE CHIQUITOS,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,3,3
SAN JULIAN,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,4,4
SAN LORENZO(TJA),diagnostico de egreso en menores de 5 anos,otros,2007-02-01,1,1
SAN LUCAS,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,7,7
SAN MIGUEL DE VELASCO,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,1,1
SAN RAFAEL,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,1,1
SAN RAMON,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,3,3
SANTA ANA,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,2,2
SANTA CRUZ DE LA SIERRA,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,2234,2234
SANTA ROSA,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,2,2
SOPACHUY,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,2,2
SUCRE,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,134,134
TAPACARI,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,1,1
TARABUCO,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,1,1
TARIJA,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,93,93
TIQUIPAYA,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,1,1
TIRAQUE (CBBA),diagnostico de egreso en menores de 5 anos,otros,2007-02-01,21,21
TOMINA,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,1,1
TOTORA(CBBA),diagnostico de egreso en menores de 5 anos,otros,2007-02-01,1,1
TRINIDAD,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,6,6
TUPIZA,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,79,79
UNCIA,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,839,839
VALLEGRANDE,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,7,7
VILLA MONTES,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,30,30
VILLA TUNARI,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,14,14
VILLAZON,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,30,30
VINTO,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,2,2
WARNES,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,5,5
YACUIBA,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,72,72
YAPACANI,diagnostico de egreso en menores de 5 anos,otros,2007-02-01,8,8
ACHACACHI,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,1,1
AIQUILE,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,1,1
APOLO,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,1,1
ARBIETO,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,33,33
ASCENCION DE GUARAYOS,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,21,21
ATOCHA,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,11,11
AZURDUY,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,2,2
BERMEJO,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,9,9
BETANZOS,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,1,1
BUENA VISTA,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,2,2
CABEZAS,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,1,1
CAMARGO,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,9,9
CAMIRI,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,71,71
CARANAVI,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,16,16
CHALLAPATA,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,4,4
CHARAGUA,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,8,8
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso en menores de 5 anos,otros,2007-03-01,7,7
CLIZA,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,9,9
COBIJA,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,8,8
COCHABAMBA,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,236,236
COLCAPIRHUA,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,4,4
COMARAPA,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,14,14
CONCEPCION,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,2,2
COROICO,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,12,12
COTOCA,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,1,1
EL ALTO,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,166,166
EL TORNO,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,2,2
ENTRE RIOS,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,1,1
FERNANDEZ ALONSO,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,248,248
GUAYARAMERIN,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,99,99
GUTIERREZ,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,1,1
HUACARETA,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,1,1
HUANUNI,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,4,4
LA GUARDIA,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,4,4
LA PAZ,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,666,666
LLALLAGUA,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,12,12
MAGDALENA,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,7,7
MAIRANA,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,3,3
MIZQUE,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,19,19
MONTEAGUDO,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,12,12
MONTERO,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,123,123
ORURO,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,94,94
PADILLA,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,10,10
PALOS BLANCOS,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,2,2
PAMPA GRANDE,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,1,1
PORTACHUELO,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,3,3
POTOSI,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,69,69
PUERTO QUIJARRO,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,1,1
PUERTO RICO,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,1,1
PUERTO VILLARROEL,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,18,18
PUNATA,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,23,23
QUILLACOLLO,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,86,86
ROBORE,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,4,4
RURRENABAQUE,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,7,7
SACABA,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,23,23
SAMAIPATA,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,1,1
SAN BORJA,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,3,3
SAN CARLOS,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,10,10
SAN IGNACIO,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,1,1
SAN IGNACIO DE VELASCO,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,159,159
SAN JAVIER(STC),diagnostico de egreso en menores de 5 anos,otros,2007-03-01,1,1
SAN JOAQUIN,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,2,2
SAN JOSE DE CHIQUITOS,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,8,8
SAN JULIAN,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,1,1
SAN LUCAS,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,6,6
SAN MATIAS,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,1,1
SAN MIGUEL DE VELASCO,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,1,1
SAN RAFAEL,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,1,1
SANTA ANA,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,3,3
SANTA CRUZ DE LA SIERRA,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,2273,2273
SANTA ROSA,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,3,3
SIPE SIPE,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,8,8
SOPACHUY,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,4,4
SUCRE,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,183,183
TARABUCO,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,1,1
TARIJA,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,95,95
TIPUANI,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,2,2
TIQUIPAYA,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,5,5
TIRAQUE (CBBA),diagnostico de egreso en menores de 5 anos,otros,2007-03-01,31,31
TRINIDAD,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,54,54
TUPIZA,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,51,51
VALLEGRANDE,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,8,8
VILLA MONTES,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,41,41
VILLA TUNARI,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,38,38
VILLAZON,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,19,19
VINTO,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,3,3
WARNES,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,6,6
YACUIBA,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,67,67
YAPACANI,diagnostico de egreso en menores de 5 anos,otros,2007-03-01,11,11
ACHACACHI,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,2,2
AIQUILE,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,7,7
APOLO,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,3,3
ARBIETO,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,29,29
ASCENCION DE GUARAYOS,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,28,28
ATOCHA,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,8,8
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso en menores de 5 anos,otros,2007-04-01,2,2
BAURES,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,1,1
BERMEJO,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,20,20
BOYUIBE,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,1,1
CABEZAS,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,3,3
CAMIRI,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,82,82
CARANAVI,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,12,12
CHALLAPATA,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,5,5
CHARAGUA,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,9,9
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso en menores de 5 anos,otros,2007-04-01,6,6
CLIZA,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,3,3
COBIJA,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,21,21
COCHABAMBA,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,230,230
COLCAPIRHUA,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,4,4
COMARAPA,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,14,14
CONCEPCION,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,6,6
COROICO,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,13,13
COTAGAITA,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,3,3
COTOCA,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,2,2
EL ALTO,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,118,118
FERNANDEZ ALONSO,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,248,248
GUAYARAMERIN,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,246,246
HUANUNI,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,7,7
JESUS DE MACHACA,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,1,1
LA ASUNTA,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,2,2
LA GUARDIA,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,1,1
LA PAZ,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,731,731
LLALLAGUA,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,11,11
LURIBAY,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,1,1
MAGDALENA,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,5,5
MIZQUE,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,6,6
MONTEAGUDO,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,8,8
MONTERO,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,111,111
ORURO,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,85,85
PADILLA,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,11,11
PATACAMAYA,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,1,1
POCONA,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,2,2
PORTACHUELO,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,4,4
POTOSI,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,53,53
PUERTO QUIJARRO,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,1,1
PUERTO SUAREZ,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,6,6
PUERTO VILLARROEL,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,23,23
PUNA,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,1,1
PUNATA,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,23,23
QUILLACOLLO,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,89,89
RIBERALTA,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,36,36
ROBORE,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,2,2
RURRENABAQUE,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,8,8
SACABA,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,20,20
SAN BORJA,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,7,7
SAN CARLOS,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,20,20
SAN IGNACIO DE VELASCO,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,81,81
SAN JOAQUIN,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,5,5
SAN JOSE DE CHIQUITOS,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,4,4
SAN JULIAN,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,3,3
SAN LUCAS,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,11,11
SAN MATIAS,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,1,1
SAN RAFAEL,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,3,3
SANTA ANA,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,2,2
SANTA CRUZ DE LA SIERRA,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,2002,2002
SANTA ROSA,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,3,3
SANTA ROSA DEL SARA,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,1,1
SIPE SIPE,diagnostico de egreso en menores de 5 anos,otros,2007-04-01,11,11
