,group,variable,month,AQV FEMENINO < 15,AQV FEMENINO 15 - 19,AQV FEMENINO 20 - 34,AQV FEMENINO 35 - 49,AQV FEMENINO 50 Y +,TOTALES
MIZQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-01-01,0,0,0,3,0,3
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-01-01,0,0,5,2,0,7
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-01-01,0,0,6,4,0,10
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-01-01,0,0,3,0,0,3
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-01-01,0,0,2,1,0,3
PUERTO SUAREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-01-01,0,0,2,0,0,2
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-01-01,0,0,5,6,0,11
RURRENABAQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-01-01,0,0,1,3,0,4
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-01-01,0,0,3,8,0,11
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-01-01,0,0,3,2,0,5
SAN BUENA VENTURA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-01-01,0,0,1,0,0,1
SAN LUCAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-01-01,0,0,1,0,0,1
SAN RAMON SCZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-01-01,0,0,1,0,0,1
SANTA ANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-01-01,0,0,5,1,0,6
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-01-01,0,0,4,23,0,27
SOPACHUY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-01-01,0,0,1,0,0,1
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-01-01,0,0,17,9,0,26
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-01-01,0,0,0,2,0,2
TIQUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-01-01,0,0,4,0,0,4
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-01-01,0,0,14,12,0,26
VALLEGRANDE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-01-01,0,0,7,1,0,8
VILLA MONTES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-01-01,0,0,9,4,0,13
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-01-01,0,0,0,2,0,2
VILLAZON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-01-01,0,0,0,2,0,2
YACUIBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-01-01,0,0,3,0,0,3
YAPACANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-01-01,0,0,3,0,0,3
ACHACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-02-01,0,0,1,0,0,1
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-02-01,0,0,4,1,0,5
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-02-01,0,1,1,0,0,2
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-02-01,0,0,3,3,0,6
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-02-01,0,0,4,3,0,7
CHARAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-02-01,0,0,1,0,0,1
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-02-01,0,1,2,1,0,4
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-02-01,0,0,13,7,0,20
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-02-01,0,3,59,32,0,94
CULPINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-02-01,0,0,0,1,0,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-02-01,0,0,18,10,0,28
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-02-01,0,0,11,1,0,12
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-02-01,0,0,11,2,0,13
MAIRANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-02-01,0,0,2,0,0,2
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-02-01,0,0,3,2,0,5
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-02-01,0,0,2,0,0,2
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-02-01,0,0,1,0,0,1
PORTACHUELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-02-01,0,0,1,0,0,1
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-02-01,0,0,10,2,0,12
PUERTO SUAREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-02-01,0,0,2,0,0,2
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-02-01,0,0,2,3,0,5
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-02-01,0,4,13,3,0,20
ROBORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-02-01,0,0,1,0,0,1
RURRENABAQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-02-01,0,0,3,0,0,3
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-02-01,0,0,0,5,0,5
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-02-01,0,1,2,3,0,6
SAN CARLOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-02-01,0,0,0,1,0,1
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-02-01,0,0,1,0,0,1
SAN JAVIER(STC),"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-02-01,0,0,1,2,0,3
SAN LUCAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-02-01,0,0,3,0,0,3
SAN MIGUEL DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-02-01,0,0,3,2,0,5
SAN PEDRO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-02-01,0,1,1,0,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-02-01,0,0,23,19,0,42
SANTA ROSA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-02-01,0,0,1,0,0,1
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-02-01,0,0,8,7,1,16
TARABUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-02-01,0,0,1,1,0,2
TARVITA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-02-01,0,0,0,1,0,1
TIQUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-02-01,0,0,2,2,0,4
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-02-01,0,0,21,12,0,33
VALLEGRANDE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-02-01,0,1,2,1,0,4
VIACHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-02-01,0,0,1,2,0,3
VILLA MONTES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-02-01,0,1,4,1,0,6
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-02-01,0,0,0,3,0,3
VILLAZON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-02-01,0,0,2,1,0,3
YACUIBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-02-01,0,0,1,2,0,3
YAPACANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-02-01,0,0,6,0,0,6
AIQUILE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-03-01,0,0,2,0,0,2
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-03-01,0,0,5,6,0,11
BAURES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-03-01,0,0,1,0,0,1
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-03-01,0,0,1,3,0,4
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-03-01,0,0,8,5,0,13
CARANAVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-03-01,0,0,2,1,0,3
CHARAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-03-01,0,0,1,0,0,1
CLIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-03-01,0,0,1,0,0,1
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-03-01,0,0,18,9,0,27
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-03-01,0,0,63,35,0,98
COTOCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-03-01,0,0,3,1,0,4
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-03-01,0,0,9,9,0,18
ENTRE RIOS TRJ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-03-01,0,0,1,0,0,1
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-03-01,0,0,5,1,0,6
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-03-01,0,1,13,5,0,19
MAGDALENA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-03-01,0,0,1,1,0,2
MAIRANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-03-01,0,0,0,1,0,1
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-03-01,0,0,2,3,0,5
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-03-01,0,0,0,1,0,1
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-03-01,0,0,5,6,0,11
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-03-01,0,0,1,0,0,1
PORTACHUELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-03-01,0,0,2,1,0,3
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-03-01,0,0,4,0,0,4
PUERTO VILLARROEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-03-01,0,0,1,0,0,1
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-03-01,0,0,4,0,0,4
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-03-01,0,0,5,2,0,7
ROBORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-03-01,0,0,2,0,0,2
RURRENABAQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-03-01,0,0,3,1,0,4
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-03-01,0,0,1,9,0,10
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-03-01,0,0,6,0,0,6
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-03-01,0,0,4,4,0,8
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-03-01,0,0,3,6,0,9
SAN JUAN DE YAPACANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-03-01,0,0,5,0,0,5
SANTA ANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-03-01,0,0,4,0,0,4
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-03-01,0,1,29,21,0,51
SANTA ROSA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-03-01,1,0,0,0,0,1
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-03-01,0,0,7,0,0,7
TARABUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-03-01,0,0,1,2,0,3
TIQUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-03-01,0,0,5,1,0,6
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-03-01,0,0,34,11,0,45
VILLA MONTES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-03-01,0,1,10,6,0,17
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-03-01,0,0,0,3,0,3
VILLAZON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-03-01,0,0,1,0,0,1
YAPACANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-03-01,0,0,3,0,0,3
AIQUILE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-04-01,0,0,1,0,0,1
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-04-01,0,0,4,0,0,4
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-04-01,0,0,1,1,0,2
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-04-01,0,0,7,6,0,13
CLIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-04-01,0,0,0,3,0,3
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-04-01,0,0,19,13,0,32
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-04-01,0,0,46,32,0,78
COMARAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-04-01,0,0,2,1,0,3
COTOCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-04-01,0,0,6,0,0,6
CULPINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-04-01,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-04-01,0,0,16,10,0,26
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-04-01,0,0,4,1,0,5
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-04-01,0,1,10,6,0,17
LLALLAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-04-01,0,0,0,1,0,1
MAGDALENA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-04-01,0,0,0,1,0,1
MAIRANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-04-01,0,0,1,0,0,1
MIZQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-04-01,0,0,0,1,0,1
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-04-01,0,0,1,1,0,2
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-04-01,0,0,1,4,0,5
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-04-01,0,0,1,0,0,1
PORTACHUELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-04-01,0,0,1,2,0,3
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-04-01,0,0,3,3,0,6
PUERTO SUAREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-04-01,0,0,8,0,0,8
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-04-01,0,0,11,2,0,13
ROBORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-04-01,0,3,2,0,0,5
RURRENABAQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-04-01,0,0,1,1,0,2
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-04-01,0,0,0,3,0,3
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-04-01,0,0,5,5,0,10
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-04-01,0,0,2,0,0,2
SAN LUCAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-04-01,0,0,3,1,0,4
SAN PABLO DE LIPEZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-04-01,0,0,3,0,0,3
SANTA ANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-04-01,0,0,2,1,0,3
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-04-01,0,0,8,19,0,27
SANTA ROSA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-04-01,0,0,0,1,0,1
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-04-01,0,0,7,6,0,13
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-04-01,0,0,0,6,0,6
TIQUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-04-01,0,0,4,1,0,5
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-04-01,0,1,21,13,0,35
VILLA MONTES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-04-01,0,0,6,3,0,9
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-04-01,0,0,0,2,0,2
VILLAZON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-04-01,0,0,1,0,0,1
WARNES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-04-01,0,0,2,0,0,2
YACUIBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-04-01,0,0,1,0,0,1
ACHACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-05-01,0,0,1,1,0,2
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-05-01,0,0,4,2,0,6
CABEZAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-05-01,0,0,5,0,0,5
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-05-01,0,0,6,7,0,13
CHAYANTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-05-01,0,0,1,0,0,1
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-05-01,0,0,1,0,0,1
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-05-01,0,0,15,7,1,23
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-05-01,0,1,55,49,0,105
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-05-01,0,0,11,15,0,26
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-05-01,0,1,2,1,0,4
ENTRE RIOS TRJ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-05-01,0,0,3,0,0,3
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-05-01,0,1,10,1,0,12
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-05-01,0,0,11,9,0,20
LLALLAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-05-01,0,0,2,4,0,6
MAGDALENA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-05-01,0,0,1,1,0,2
MAIRANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-05-01,0,0,1,0,0,1
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-05-01,0,0,3,1,0,4
NACEBE (SANTA ROSA DEL ABUNA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-05-01,0,0,1,0,0,1
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-05-01,0,0,4,1,0,5
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-05-01,0,0,1,0,0,1
PORTACHUELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-05-01,0,0,1,0,0,1
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-05-01,0,0,2,1,0,3
PUERTO SUAREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-05-01,0,0,3,2,0,5
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-05-01,0,0,2,6,0,8
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-05-01,0,0,5,1,0,6
ROBORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-05-01,0,0,0,1,0,1
RURRENABAQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-05-01,0,0,3,1,0,4
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-05-01,0,0,2,7,0,9
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-05-01,0,0,3,4,0,7
SAN BUENA VENTURA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-05-01,0,0,3,2,0,5
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-05-01,0,0,3,0,0,3
SANTA ANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-05-01,0,0,2,1,0,3
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-05-01,0,0,16,11,0,27
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-05-01,0,5,10,5,0,20
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-05-01,0,0,0,1,0,1
TIQUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-05-01,0,0,1,4,0,5
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2017-05-01,0,0,29,7,0,36
