,group,variable,month,AQV MASCULINO < 15,AQV MASCULINO 15 - 19,AQV MASCULINO 20 - 34,AQV MASCULINO 35 - 49,AQV MASCULINO 50 Y +,TOTALES
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-04-01,0,0,4,3,0,7
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-04-01,0,0,1,0,0,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-04-01,0,0,1,0,0,1
POROMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-04-01,0,0,0,3,0,3
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-04-01,0,0,0,2,0,2
SAN JUAN DE YAPACANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-04-01,0,0,3,2,0,5
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-05-01,0,0,8,4,0,12
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-05-01,0,0,0,1,0,1
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-05-01,0,0,1,0,0,1
SAN JUAN DE YAPACANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-05-01,0,3,1,0,0,4
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-05-01,0,0,4,3,0,7
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-05-01,0,0,1,0,0,1
CLIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-06-01,0,0,0,1,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-06-01,0,0,4,3,0,7
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-06-01,0,0,1,5,0,6
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-06-01,0,0,1,2,0,3
SAN JUAN DE YAPACANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-06-01,0,0,4,0,0,4
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-06-01,0,0,2,2,0,4
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-07-01,0,0,4,1,0,5
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-07-01,0,0,2,1,0,3
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-07-01,0,0,0,5,0,5
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-07-01,0,0,0,3,0,3
SAN JUAN DE YAPACANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-07-01,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-07-01,0,0,2,0,0,2
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-07-01,0,0,0,1,0,1
WARNES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-07-01,0,2,2,3,0,7
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-08-01,0,0,5,0,0,5
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-08-01,0,0,2,0,0,2
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-08-01,0,0,13,0,0,13
QUIRUSILLAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-08-01,0,0,1,0,0,1
SAN MATIAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-08-01,0,0,3,4,0,7
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-09-01,0,0,2,3,0,5
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-09-01,0,0,2,5,0,7
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-09-01,0,0,2,3,0,5
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-09-01,0,0,0,2,0,2
VALLEGRANDE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-09-01,0,0,0,1,0,1
YOCALLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-09-01,0,0,15,1,0,16
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-10-01,0,0,5,4,0,9
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-10-01,0,0,0,3,0,3
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-10-01,0,0,2,2,0,4
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-10-01,0,0,1,0,0,1
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-10-01,0,0,0,3,0,3
SAN JUAN DE YAPACANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-10-01,0,0,3,0,0,3
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-10-01,0,0,2,1,0,3
TOLATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-10-01,0,0,0,1,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-11-01,0,0,3,1,0,4
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-11-01,0,1,3,7,0,11
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-11-01,0,0,15,4,0,19
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-11-01,0,0,0,3,0,3
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-11-01,0,0,3,2,0,5
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-12-01,0,0,2,2,0,4
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-12-01,0,0,7,2,1,10
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-12-01,0,0,7,4,0,11
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-12-01,0,0,1,0,0,1
