,group,variable,month,DE 1 A MENORES DE 5 AÑOS VIVAX,DE 1 A MENORES DE 5 AÑOS VIVAX,DE 1 A MENORES DE 5 AÑOS FALCIPARUM,DE 1 A MENORES DE 5 AÑOS FALCIPARUM,TOTALES,TOTALES,TOTALES
WARNES,malaria,de 1 a menores de 5 anos,2024-02-01,0,0,15,21,15,21,36
BELLA FLOR,malaria,de 1 a menores de 5 anos,2024-03-01,2,0,0,0,2,0,2
CONCEPCION,malaria,de 1 a menores de 5 anos,2024-03-01,0,3,0,0,0,3,3
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2024-03-01,0,1,0,0,0,1,1
IXIAMAS,malaria,de 1 a menores de 5 anos,2024-03-01,1,1,0,0,1,1,2
PUERTO RICO,malaria,de 1 a menores de 5 anos,2024-03-01,1,0,0,0,1,0,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2024-03-01,7,18,0,1,7,19,26
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2024-03-01,2,1,0,0,2,1,3
SANTA ROSA,malaria,de 1 a menores de 5 anos,2024-03-01,4,2,0,0,4,2,6
SENA,malaria,de 1 a menores de 5 anos,2024-03-01,8,5,0,0,8,5,13
COBIJA,malaria,de 1 a menores de 5 anos,2024-04-01,0,1,0,0,0,1,1
CONCEPCION,malaria,de 1 a menores de 5 anos,2024-04-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2024-04-01,2,1,1,0,3,1,4
INGAVI (HUMAITA),malaria,de 1 a menores de 5 anos,2024-04-01,0,0,1,0,1,0,1
IXIAMAS,malaria,de 1 a menores de 5 anos,2024-04-01,3,1,0,1,3,2,5
PUERTO RICO,malaria,de 1 a menores de 5 anos,2024-04-01,1,1,0,0,1,1,2
RIBERALTA,malaria,de 1 a menores de 5 anos,2024-04-01,12,9,0,1,12,10,22
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2024-04-01,5,4,0,0,5,4,9
SANTA ROSA,malaria,de 1 a menores de 5 anos,2024-04-01,1,2,0,0,1,2,3
SENA,malaria,de 1 a menores de 5 anos,2024-04-01,13,10,1,1,14,11,25
EUREKA (SANTOS MERCADO),malaria,de 1 a menores de 5 anos,2024-05-01,2,0,0,0,2,0,2
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2024-05-01,5,4,0,0,5,4,9
INGAVI (HUMAITA),malaria,de 1 a menores de 5 anos,2024-05-01,1,1,0,0,1,1,2
IXIAMAS,malaria,de 1 a menores de 5 anos,2024-05-01,4,2,0,0,4,2,6
PUERTO RICO,malaria,de 1 a menores de 5 anos,2024-05-01,1,1,0,0,1,1,2
REYES,malaria,de 1 a menores de 5 anos,2024-05-01,0,1,0,0,0,1,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2024-05-01,12,13,0,0,12,13,25
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2024-05-01,9,5,0,0,9,5,14
SANTA ROSA,malaria,de 1 a menores de 5 anos,2024-05-01,3,0,0,0,3,0,3
SENA,malaria,de 1 a menores de 5 anos,2024-05-01,8,16,1,1,9,17,26
VILLA NUEVA (LOMA ALTA),malaria,de 1 a menores de 5 anos,2024-05-01,0,1,0,0,0,1,1
BELLA FLOR,malaria,de 1 a menores de 5 anos,2024-06-01,1,0,0,0,1,0,1
COBIJA,malaria,de 1 a menores de 5 anos,2024-06-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),malaria,de 1 a menores de 5 anos,2024-06-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2024-06-01,2,1,0,0,2,1,3
IXIAMAS,malaria,de 1 a menores de 5 anos,2024-06-01,0,2,0,0,0,2,2
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 1 a menores de 5 anos,2024-06-01,0,0,1,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 1 a menores de 5 anos,2024-06-01,1,0,0,0,1,0,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2024-06-01,9,10,2,0,11,10,21
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2024-06-01,6,4,0,0,6,4,10
SANTA ROSA,malaria,de 1 a menores de 5 anos,2024-06-01,0,1,0,0,0,1,1
SENA,malaria,de 1 a menores de 5 anos,2024-06-01,6,6,1,0,7,6,13
BELLA FLOR,malaria,de 1 a menores de 5 anos,2024-07-01,0,1,0,0,0,1,1
CONCEPCION,malaria,de 1 a menores de 5 anos,2024-07-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),malaria,de 1 a menores de 5 anos,2024-07-01,0,0,1,0,1,0,1
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2024-07-01,6,5,0,0,6,5,11
IXIAMAS,malaria,de 1 a menores de 5 anos,2024-07-01,2,2,0,0,2,2,4
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 1 a menores de 5 anos,2024-07-01,0,0,1,0,1,0,1
PUERTO GONZALO MORENO,malaria,de 1 a menores de 5 anos,2024-07-01,1,0,0,0,1,0,1
PUERTO RICO,malaria,de 1 a menores de 5 anos,2024-07-01,1,2,0,0,1,2,3
RIBERALTA,malaria,de 1 a menores de 5 anos,2024-07-01,4,6,0,0,4,6,10
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2024-07-01,1,1,0,0,1,1,2
SENA,malaria,de 1 a menores de 5 anos,2024-07-01,2,4,0,1,2,5,7
BELLA FLOR,malaria,de 1 a menores de 5 anos,2024-08-01,0,1,0,0,0,1,1
CONCEPCION,malaria,de 1 a menores de 5 anos,2024-08-01,2,0,0,0,2,0,2
EUREKA (SANTOS MERCADO),malaria,de 1 a menores de 5 anos,2024-08-01,0,0,1,0,1,0,1
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2024-08-01,2,1,0,0,2,1,3
PORVENIR,malaria,de 1 a menores de 5 anos,2024-08-01,1,0,0,0,1,0,1
PUERTO RICO,malaria,de 1 a menores de 5 anos,2024-08-01,0,1,0,0,0,1,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2024-08-01,5,4,0,0,5,4,9
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2024-08-01,1,1,0,0,1,1,2
SANTA ROSA,malaria,de 1 a menores de 5 anos,2024-08-01,0,1,0,0,0,1,1
SENA,malaria,de 1 a menores de 5 anos,2024-08-01,2,2,0,0,2,2,4
BELLA FLOR,malaria,de 1 a menores de 5 anos,2024-09-01,1,0,0,0,1,0,1
CONCEPCION,malaria,de 1 a menores de 5 anos,2024-09-01,1,0,0,0,1,0,1
EUREKA (SANTOS MERCADO),malaria,de 1 a menores de 5 anos,2024-09-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2024-09-01,2,3,0,0,2,3,5
INGAVI (HUMAITA),malaria,de 1 a menores de 5 anos,2024-09-01,1,0,0,0,1,0,1
IXIAMAS,malaria,de 1 a menores de 5 anos,2024-09-01,1,0,1,0,2,0,2
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 1 a menores de 5 anos,2024-09-01,0,0,1,0,1,0,1
PUERTO RICO,malaria,de 1 a menores de 5 anos,2024-09-01,1,2,0,0,1,2,3
RIBERALTA,malaria,de 1 a menores de 5 anos,2024-09-01,4,7,2,0,6,7,13
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2024-09-01,2,3,0,0,2,3,5
SANTA ROSA,malaria,de 1 a menores de 5 anos,2024-09-01,1,0,0,0,1,0,1
SENA,malaria,de 1 a menores de 5 anos,2024-09-01,2,1,0,0,2,1,3
BELLA FLOR,malaria,de 1 a menores de 5 anos,2024-10-01,1,0,0,0,1,0,1
CONCEPCION,malaria,de 1 a menores de 5 anos,2024-10-01,1,1,0,0,1,1,2
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2024-10-01,2,0,0,0,2,0,2
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 1 a menores de 5 anos,2024-10-01,0,1,0,0,0,1,1
PORVENIR,malaria,de 1 a menores de 5 anos,2024-10-01,1,0,0,0,1,0,1
REYES,malaria,de 1 a menores de 5 anos,2024-10-01,1,0,0,0,1,0,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2024-10-01,14,18,1,0,15,18,33
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2024-10-01,5,0,1,1,6,1,7
SENA,malaria,de 1 a menores de 5 anos,2024-10-01,2,4,0,0,2,4,6
VILLA NUEVA (LOMA ALTA),malaria,de 1 a menores de 5 anos,2024-10-01,1,0,0,0,1,0,1
YACUIBA,malaria,de 1 a menores de 5 anos,2024-10-01,62,57,0,0,62,57,119
CONCEPCION,malaria,de 1 a menores de 5 anos,2024-11-01,0,2,0,0,0,2,2
EUREKA (SANTOS MERCADO),malaria,de 1 a menores de 5 anos,2024-11-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2024-11-01,0,1,0,0,0,1,1
INGAVI (HUMAITA),malaria,de 1 a menores de 5 anos,2024-11-01,0,0,0,1,0,1,1
IXIAMAS,malaria,de 1 a menores de 5 anos,2024-11-01,0,1,0,1,0,2,2
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 1 a menores de 5 anos,2024-11-01,1,0,0,0,1,0,1
PUERTO RICO,malaria,de 1 a menores de 5 anos,2024-11-01,1,0,0,0,1,0,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2024-11-01,12,13,0,0,12,13,25
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2024-11-01,2,1,0,0,2,1,3
SANTA ROSA,malaria,de 1 a menores de 5 anos,2024-11-01,0,1,0,0,0,1,1
SENA,malaria,de 1 a menores de 5 anos,2024-11-01,0,0,0,1,0,1,1
BELLA FLOR,malaria,de 1 a menores de 5 anos,2024-12-01,1,0,0,0,1,0,1
EUREKA (SANTOS MERCADO),malaria,de 1 a menores de 5 anos,2024-12-01,0,2,0,0,0,2,2
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2024-12-01,6,6,0,0,6,6,12
INGAVI (HUMAITA),malaria,de 1 a menores de 5 anos,2024-12-01,0,0,1,0,1,0,1
IXIAMAS,malaria,de 1 a menores de 5 anos,2024-12-01,0,0,2,0,2,0,2
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 1 a menores de 5 anos,2024-12-01,0,0,1,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 1 a menores de 5 anos,2024-12-01,1,1,0,0,1,1,2
RIBERALTA,malaria,de 1 a menores de 5 anos,2024-12-01,12,12,1,0,13,12,25
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2024-12-01,0,2,0,0,0,2,2
SENA,malaria,de 1 a menores de 5 anos,2024-12-01,1,1,0,0,1,1,2
