,group,variable,month,PENTAVALENTE 5TA. DOSIS DENTRO,PENTAVALENTE 5TA. DOSIS DENTRO,PENTAVALENTE 5TA. DOSIS FUERA,PENTAVALENTE 5TA. DOSIS FUERA,TOTALES
CALAMARCA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,5,7,1,0,13
CAMARGO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,2,5,5,1,13
CAMATAQUI (C. VILLA ABECIA),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,1,0,1,1,3
CAMIRI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,16,13,0,1,30
CAPINOTA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,6,10,3,5,24
CAQUIAVIRI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,1,4,2,1,8
CARACOLLO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,2,3,4,6,15
CARANAVI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,27,26,5,3,61
CARAPARI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,9,10,2,0,21
CARIPUYO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,4,1,2,1,8
CARMEN RIVERO TORREZ,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,3,1,2,2,8
CATACORA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,1,0,0,0,1
CHACARILLA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,1,0,0,0,1
CHALLAPATA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,12,12,4,3,31
CHAQUI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,4,3,0,1,8
CHARAGUA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,7,10,2,1,20
CHARAÑA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,1,1,0,0,2
CHAYANTA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,2,5,0,1,8
CHIMORE,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,15,14,1,2,32
CHIPAYA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,1,0,0,0,1
CHUA COCANI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,0,1,0,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,7,4,0,0,11
CHUMA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,0,4,2,4,10
CHUQUIHUTA AYLLU JUCUMANI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,2,2,3,5,12
CKOCHAS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,6,4,3,1,14
CLIZA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,14,10,8,3,35
COBIJA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,42,19,8,7,76
COCAPATA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,3,2,4,5,14
COCHABAMBA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,389,320,12,11,732
COLCAPIRHUA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,30,28,2,1,61
"COLCHA ""K""",vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,2,3,0,2,7
COLLANA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,1,1,0,1,3
COLOMI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,11,20,4,5,40
COLPA BELGICA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,2,5,0,0,7
COLQUECHACA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,12,4,10,11,37
COLQUENCHA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,3,1,1,0,5
COLQUIRI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,7,5,7,4,23
COMANCHE,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,1,1,0,0,2
COMARAPA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,6,12,1,1,20
COMBAYA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,1,0,0,1,2
CONCEPCION,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,6,4,3,2,15
COPACABANA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,3,5,1,1,10
CORIPATA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,5,6,3,0,14
CORO CORO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,2,2,0,0,4
COROICO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,12,5,1,0,18
CORQUE,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,1,6,0,0,7
COTAGAITA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,10,7,1,1,19
COTOCA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,39,59,6,3,107
CUATRO CAÑADAS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,21,4,1,3,29
CUCHUMUELA (V. G. VILLARROEL),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,4,3,0,1,8
CUEVO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,0,0,1,2,3
CULPINA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,3,5,0,0,8
CURAHUARA DE CARANGAS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,3,1,0,1,5
CURVA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,1,1,3,1,6
DESAGUADERO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,3,0,0,2,5
EL ALTO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,350,367,84,67,868
EL CHORO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,0,2,0,0,2
EL PUENTE(STC),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,7,7,0,1,15
EL PUENTE(TJA),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,2,1,2,2,7
EL TORNO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,43,54,1,1,99
EL VILLAR,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,2,3,1,0,6
ENTRE RIOS TRJ,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,12,11,4,8,35
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,21,15,3,5,44
ESCOMA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,0,0,1,2,3
EUCALIPTUS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,4,1,1,1,7
EUREKA (SANTOS MERCADO),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,1,0,0,4,5
FERNANDEZ ALONSO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,9,7,6,4,26
FILADELFIA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,2,2,2,1,7
GENERAL SAAVEDRA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,6,12,0,0,18
GRAL. J.J. PEREZ (CHARAZANI),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,0,1,0,3,4
GUANAY,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,5,12,9,6,32
GUAQUI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,1,1,1,2,5
GUAYARAMERIN,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,13,28,2,6,49
GUTIERREZ,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,4,5,0,2,11
HUACARETA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,2,1,0,3,6
HUACAYA (VILLA DE HUACAYA),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,2,1,2,3,8
HUANUNI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,12,7,2,0,21
HUARACAJE,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,1,0,0,0,1
HUARINA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,2,3,1,2,8
HUATAJATA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,0,2,0,0,2
HUAYLLAMARCA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,0,1,0,0,1
HUMANATA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,1,1,0,1,3
ICHOCA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,1,1,1,1,4
ICLA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,1,1,0,1,3
INCAHUASI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,3,1,0,0,4
INGAVI (HUMAITA),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,1,1,0,0,2
INQUISIVI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,3,1,0,1,5
IRUPANA (VILLA DE LANZA),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,4,8,0,1,13
IXIAMAS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,0,1,1,2,4
JESUS DE MACHACA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,6,5,0,0,11
LA ASUNTA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,22,18,1,3,44
LA GUARDIA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,79,71,4,0,154
LA PAZ,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,505,498,3,3,1009
LAGUNILLAS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,3,4,1,4,12
LAJA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,12,10,1,0,23
LAS CARRERAS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,2,1,0,0,3
LICOMA PAMPA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,0,2,0,0,2
LLALLAGUA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,4,5,10,7,26
LLICA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,0,1,0,0,1
LORETO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,0,1,0,1,2
LURIBAY,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,1,0,1,0,2
MACHACAMARCA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,3,4,0,1,8
MACHARETI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,1,1,1,2,5
MAGDALENA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,24,14,4,5,47
MAIRANA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,6,12,0,2,20
MALLA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,0,0,2,2,4
MAPIRI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,8,3,0,0,11
MECAPACA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,9,6,3,1,19
MINEROS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,7,15,1,0,23
MIZQUE,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,8,6,13,10,37
MOCOMOCO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,2,3,2,8,15
MOJOCOYA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,1,1,2,1,5
MONTEAGUDO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,15,22,0,0,37
MONTERO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,77,72,26,22,197
MOROCHATA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,0,0,3,3,6
NACEBE (SANTA ROSA DEL ABUNA),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,2,0,0,1,3
NUEVO MANOA (NUEVA ESPERANZA),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,0,0,1,0,1
OCURI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,3,0,4,3,10
OKINAWA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,14,9,6,3,32
OMEREQUE,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,1,0,3,5,9
ORURO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,176,183,7,4,370
PADCAYA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,10,8,2,1,21
PADILLA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,2,3,0,1,6
PAILON,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,15,16,3,6,40
PALCA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,5,13,4,2,24
PALOS BLANCOS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,14,15,4,3,36
PAMPA AULLAGAS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,1,3,0,1,5
PAMPA GRANDE,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,2,5,0,1,8
PAPEL PAMPA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,4,6,2,2,14
PASORAPA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,0,2,0,1,3
PATACAMAYA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,7,5,3,0,15
PAZÑA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,1,6,1,0,8
PELECHUCO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,9,6,0,2,17
POCOATA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,0,4,1,4,9
POCONA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,2,1,2,4,9
POJO (CBBA),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,1,0,3,2,6
POOPO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,5,3,0,0,8
PORCO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,3,2,0,0,5
POROMA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,0,0,2,0,2
PORONGO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,8,9,9,9,35
PORTACHUELO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,9,11,4,3,27
PORVENIR,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,1,1,3,1,6
POTOSI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,115,116,41,36,308
PRESTO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,2,6,1,0,9
PUCARA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,0,1,0,0,1
PUCARANI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,12,12,6,4,34
PUERTO ACOSTA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,1,1,3,4,9
PUERTO CARABUCO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,3,6,3,0,12
PUERTO GONZALO MORENO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,0,0,6,6,12
PUERTO PEREZ,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,1,0,0,2,3
PUERTO QUIJARRO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,16,8,0,0,24
PUERTO RICO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,1,3,0,0,4
PUERTO SUAREZ,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,4,6,5,7,22
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,24,20,4,2,50
PUNA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,6,2,6,7,21
PUNATA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,16,16,3,3,38
QUIABAYA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,2,1,0,0,3
QUILLACOLLO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,60,55,42,49,206
QUIME,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,4,5,0,0,9
QUIRUSILLAS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,1,0,0,0,1
RAVELO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,5,6,7,4,22
REYES,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,7,7,0,0,14
RIBERALTA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,34,29,1,1,65
ROBORE,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,3,6,0,0,9
RURRENABAQUE,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,8,12,3,8,31
SABAYA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,0,1,1,1,3
SACABA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,58,54,47,46,205
SACABAMBA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,1,1,0,0,2
SACACA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,1,3,5,8,17
SAIPINA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,1,3,2,0,6
SALINAS DE GARCI MENDOZA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,3,5,4,5,17
SAMAIPATA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,8,8,0,1,17
SAN AGUSTIN,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,0,2,0,0,2
SAN ANDRES,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,3,5,1,0,9
SAN ANTONIO DE LOMERIO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,3,3,0,1,7
SAN BENITO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,6,8,2,1,17
SAN BORJA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,20,27,4,3,54
SAN BUENA VENTURA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,2,3,2,2,9
SAN CARLOS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,15,14,0,0,29
SAN IGNACIO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,18,9,2,1,30
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,20,15,6,10,51
SAN JAVIER(BNI),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,0,1,0,0,1
SAN JAVIER(STC),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,1,1,0,0,2
SAN JOAQUIN,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,2,5,0,0,7
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,13,14,8,10,45
SAN JUAN DE YAPACANI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,6,8,2,3,19
SAN JULIAN,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,33,30,6,10,79
SAN LORENZO(PND),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,3,1,2,4,10
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,16,16,3,2,37
SAN LUCAS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,6,9,7,7,29
SAN MATIAS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,11,6,2,3,22
SAN MIGUEL DE VELASCO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,8,1,3,0,12
SAN PABLO DE LIPEZ,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,2,0,0,0,2
SAN PEDRO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,11,4,4,1,20
SAN PEDRO DE BUENA VISTA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,7,8,7,2,24
SAN PEDRO DE CURAHUARA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,2,2,3,3,10
SAN PEDRO DE TIQUINA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,1,1,1,1,4
SAN PEDRO(PND),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,0,0,1,0,1
SAN RAFAEL,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,1,2,0,0,3
SAN RAMON BENI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,2,2,3,1,8
SAN RAMON SCZ,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,0,2,0,0,2
SANTA ANA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,6,4,0,1,11
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,839,777,18,20,1654
SANTA ROSA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,4,4,0,0,8
SANTA ROSA DEL SARA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,13,4,0,0,17
SANTIAGO DE CALLAPA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2019-01-01,2,2,0,0,4
