,group,variable,month,INGRESOS REFERIDOS DE OTROS ESTABLECIMIENTOS DE SALUD CANTIDAD,INGRESOS REFERIDOS DE OTROS ESTABLECIMIENTOS DE SALUD CANTIDAD,TOTALES,TOTALES,TOTALES
PALOS BLANCOS,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,2,3,2,3,5
PATACAMAYA,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,0,2,0,2,2
POCONA,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,0,1,0,1,1
PORTACHUELO,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,0,1,0,1,1
POSTRER VALLE,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,1,0,1,0,1
POTOSI,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,67,265,67,265,332
PRESTO,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,0,1,0,1,1
PUERTO GONZALO MORENO,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,1,4,1,4,5
PUERTO SUAREZ,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,35,53,35,53,88
PUERTO VILLARROEL,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,30,87,30,87,117
PUNATA,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,36,124,36,124,160
QUILLACOLLO,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,11,33,11,33,44
RIBERALTA,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,18,103,18,103,121
ROBORE,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,2,7,2,7,9
RURRENABAQUE,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,1,10,1,10,11
SACABA,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,38,88,38,88,126
SAN BORJA,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,4,1,4,1,5
SAN BUENA VENTURA,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,3,8,3,8,11
SAN IGNACIO,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,7,6,7,6,13
SAN IGNACIO DE VELASCO,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,11,11,11,11,22
SAN JOSE DE CHIQUITOS,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,1,1,1,1,2
SAN MIGUEL DE VELASCO,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,0,1,0,1,1
SAN PEDRO,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,1,2,1,2,3
SAN RAMON SCZ,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,2,2,2,2,4
SANTA ANA,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,322,1134,322,1134,1456
SANTA ROSA,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,0,7,0,7,7
SANTA ROSA DEL SARA,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,0,2,0,2,2
SUCRE,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,88,158,88,158,246
TARABUCO,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,6,5,6,5,11
TARIJA,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,82,189,82,189,271
TARVITA,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,1,3,1,3,4
TIAHUANACU,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,0,2,0,2,2
TOTORA(CBBA),internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,0,4,0,4,4
TRINIDAD,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,10,16,10,16,26
TUPIZA,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,21,60,21,60,81
UYUNI,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,7,10,7,10,17
VALLEGRANDE,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,10,7,10,7,17
VIACHA,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,15,14,15,14,29
VILLA MONTES,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,9,23,9,23,32
VILLA TUNARI,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,16,99,16,99,115
VILLAZON,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,1,0,1,0,1
WARNES,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,26,38,26,38,64
YACUIBA,internaciones,ingresos referidos de otros establecimientos de salud,2022-01-01,50,86,50,86,136
ACHACACHI,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,4,12,4,12,16
AIQUILE,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,3,4,3,4,7
ASCENCION DE GUARAYOS,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,4,19,4,19,23
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,1,2,1,2,3
AZURDUY,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,0,1,0,1,1
BERMEJO,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,26,28,26,28,54
BOYUIBE,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,1,0,1,0,1
CAMARGO,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,14,17,14,17,31
CAMIRI,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,8,32,8,32,40
CAPINOTA,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,1,1,1,1,2
CARANAVI,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,20,58,20,58,78
CARIPUYO,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,0,2,0,2,2
CARMEN RIVERO TORREZ,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,1,1,1,1,2
CHALLAPATA,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,2,7,2,7,9
CHARAGUA,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,4,6,4,6,10
CHAYANTA,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,1,0,1,0,1
CHIMORE,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,2,14,2,14,16
CLIZA,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,2,8,2,8,10
COBIJA,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,15,70,15,70,85
COCHABAMBA,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,235,698,235,698,933
COLCAPIRHUA,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,2,3,2,3,5
COLOMI,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,0,1,0,1,1
COMARAPA,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,1,0,1,0,1
COROICO,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,12,13,12,13,25
CULPINA,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,0,1,0,1,1
EL ALTO,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,202,550,202,550,752
EL TORNO,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,1,13,1,13,14
ENTRE RIOS TRJ,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,1,3,1,3,4
ENTRE RIOS CBBA,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,0,1,0,1,1
GUANAY,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,0,1,0,1,1
GUAYARAMERIN,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,2,41,2,41,43
HUANUNI,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,1,9,1,9,10
IRUPANA (VILLA DE LANZA),internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,0,1,0,1,1
LA PAZ,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,243,648,243,648,891
LLALLAGUA,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,7,8,7,8,15
MACHARETI,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,0,1,0,1,1
MAGDALENA,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,1,0,1,0,1
MAIRANA,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,0,2,0,2,2
MIZQUE,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,2,3,2,3,5
MONTEAGUDO,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,19,28,19,28,47
MONTERO,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,158,274,158,274,432
ORURO,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,96,279,96,279,375
PADILLA,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,13,26,13,26,39
PATACAMAYA,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,0,3,0,3,3
PORTACHUELO,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,6,10,6,10,16
POTOSI,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,55,299,55,299,354
PRESTO,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,0,1,0,1,1
PUERTO VILLARROEL,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,43,92,43,92,135
PUNATA,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,49,112,49,112,161
QUILLACOLLO,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,7,16,7,16,23
RIBERALTA,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,27,99,27,99,126
ROBORE,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,5,3,5,3,8
RURRENABAQUE,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,2,10,2,10,12
SACABA,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,34,104,34,104,138
SAN BORJA,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,2,2,2,2,4
SAN BUENA VENTURA,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,0,5,0,5,5
SAN IGNACIO,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,2,3,2,3,5
SAN IGNACIO DE VELASCO,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,5,15,5,15,20
SAN LUCAS,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,0,2,0,2,2
SAN MATIAS,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,0,1,0,1,1
SAN MIGUEL DE VELASCO,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,2,1,2,1,3
SAN PEDRO,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,1,0,1,0,1
SAN RAMON SCZ,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,0,2,0,2,2
SANTA ANA,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,214,1046,214,1046,1260
SANTA ROSA,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,2,1,2,1,3
SANTA ROSA DEL SARA,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,0,4,0,4,4
SOPACHUY,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,0,1,0,1,1
SUCRE,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,100,224,100,224,324
TARABUCO,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,6,6,6,6,12
TARIJA,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,73,173,73,173,246
TARVITA,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,1,9,1,9,10
TRINIDAD,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,18,12,18,12,30
TUPIZA,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,15,59,15,59,74
UYUNI,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,3,14,3,14,17
VALLEGRANDE,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,9,10,9,10,19
VIACHA,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,4,23,4,23,27
VILLA MONTES,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,5,27,5,27,32
VILLA TUNARI,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,21,98,21,98,119
VILLAZON,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,1,2,1,2,3
VINTO,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,0,2,0,2,2
WARNES,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,11,5,11,5,16
YACUIBA,internaciones,ingresos referidos de otros establecimientos de salud,2022-02-01,41,83,41,83,124
ACHACACHI,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,4,24,4,24,28
AIQUILE,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,1,2,1,2,3
ASCENCION DE GUARAYOS,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,2,18,2,18,20
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,0,1,0,1,1
BELLA FLOR,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,0,2,0,2,2
BERMEJO,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,18,42,18,42,60
BOYUIBE,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,0,2,0,2,2
CAMARGO,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,9,31,9,31,40
CAMIRI,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,7,46,7,46,53
CARANAVI,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,10,39,10,39,49
CARIPUYO,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,0,1,0,1,1
CHALLAPATA,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,1,11,1,11,12
CHARAGUA,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,1,12,1,12,13
CHAYANTA,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,3,13,3,13,16
CLIZA,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,5,7,5,7,12
COBIJA,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,17,55,17,55,72
COCHABAMBA,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,319,775,319,775,1094
COLCAPIRHUA,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,3,5,3,5,8
COMARAPA,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,0,6,0,6,6
COROICO,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,13,24,13,24,37
COTOCA,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,135,311,135,311,446
CULPINA,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,0,2,0,2,2
EL ALTO,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,222,702,222,702,924
EL TORNO,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,2,3,2,3,5
ENTRE RIOS TRJ,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,0,4,0,4,4
ENTRE RIOS CBBA,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,1,4,1,4,5
GUAYARAMERIN,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,3,31,3,31,34
HUANUNI,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,2,6,2,6,8
IRUPANA (VILLA DE LANZA),internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,1,0,1,0,1
LA PAZ,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,278,775,278,775,1053
MACHARETI,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,1,0,1,0,1
MAGDALENA,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,3,3,3,3,6
MAIRANA,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,2,6,2,6,8
MINEROS,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,1,0,1,0,1
MIZQUE,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,0,2,0,2,2
MOJOCOYA,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,0,1,0,1,1
MONTEAGUDO,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,30,36,30,36,66
MONTERO,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,70,177,70,177,247
ORURO,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,157,326,157,326,483
PADILLA,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,10,35,10,35,45
PALOS BLANCOS,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,2,0,2,0,2
PATACAMAYA,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,1,5,1,5,6
PORTACHUELO,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,33,28,33,28,61
POTOSI,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,96,339,96,339,435
PRESTO,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,0,1,0,1,1
PUERTO GONZALO MORENO,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,0,3,0,3,3
PUERTO VILLARROEL,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,40,106,40,106,146
PUNATA,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,57,134,57,134,191
QUILLACOLLO,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,2,11,2,11,13
RIBERALTA,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,32,155,32,155,187
ROBORE,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,2,4,2,4,6
RURRENABAQUE,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,3,10,3,10,13
SACABA,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,34,123,34,123,157
SACACA,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,0,1,0,1,1
SAN BORJA,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,2,10,2,10,12
SAN BUENA VENTURA,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,7,10,7,10,17
SAN IGNACIO DE VELASCO,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,7,17,7,17,24
SAN JOSE DE CHIQUITOS,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,0,3,0,3,3
SAN LUCAS,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,3,4,3,4,7
SAN MATIAS,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,255,1270,255,1270,1525
SANTA ROSA,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,2,0,2,0,2
SUCRE,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,140,184,140,184,324
TARABUCO,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,3,9,3,9,12
TARIJA,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,91,158,91,158,249
TARVITA,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,3,3,3,3,6
TOTORA(CBBA),internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,0,1,0,1,1
TRINIDAD,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,31,26,31,26,57
TUPIZA,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,21,47,21,47,68
UYUNI,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,2,8,2,8,10
VALLEGRANDE,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,8,18,8,18,26
VIACHA,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,10,17,10,17,27
VILLA CHARCAS,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,0,1,0,1,1
VILLA MONTES,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,10,17,10,17,27
VILLA TUNARI,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,25,112,25,112,137
VILLAZON,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,0,7,0,7,7
VINTO,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,1,8,1,8,9
WARNES,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,3,15,3,15,18
YACUIBA,internaciones,ingresos referidos de otros establecimientos de salud,2022-03-01,59,86,59,86,145
ACHACACHI,internaciones,ingresos referidos de otros establecimientos de salud,2022-04-01,2,18,2,18,20
ACHOCALLA,internaciones,ingresos referidos de otros establecimientos de salud,2022-04-01,0,1,0,1,1
AIQUILE,internaciones,ingresos referidos de otros establecimientos de salud,2022-04-01,2,4,2,4,6
ASCENCION DE GUARAYOS,internaciones,ingresos referidos de otros establecimientos de salud,2022-04-01,6,11,6,11,17
ATOCHA,internaciones,ingresos referidos de otros establecimientos de salud,2022-04-01,0,6,0,6,6
BERMEJO,internaciones,ingresos referidos de otros establecimientos de salud,2022-04-01,21,46,21,46,67
CAMARGO,internaciones,ingresos referidos de otros establecimientos de salud,2022-04-01,8,24,8,24,32
CAMIRI,internaciones,ingresos referidos de otros establecimientos de salud,2022-04-01,6,36,6,36,42
CARANAVI,internaciones,ingresos referidos de otros establecimientos de salud,2022-04-01,10,41,10,41,51
CHALLAPATA,internaciones,ingresos referidos de otros establecimientos de salud,2022-04-01,1,18,1,18,19
CHARAGUA,internaciones,ingresos referidos de otros establecimientos de salud,2022-04-01,9,13,9,13,22
CHIMORE,internaciones,ingresos referidos de otros establecimientos de salud,2022-04-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos referidos de otros establecimientos de salud,2022-04-01,4,13,4,13,17
CKOCHAS,internaciones,ingresos referidos de otros establecimientos de salud,2022-04-01,1,0,1,0,1
CLIZA,internaciones,ingresos referidos de otros establecimientos de salud,2022-04-01,0,7,0,7,7
COBIJA,internaciones,ingresos referidos de otros establecimientos de salud,2022-04-01,24,52,24,52,76
COCHABAMBA,internaciones,ingresos referidos de otros establecimientos de salud,2022-04-01,281,802,281,802,1083
COLCAPIRHUA,internaciones,ingresos referidos de otros establecimientos de salud,2022-04-01,1,1,1,1,2
"COLCHA ""K""",internaciones,ingresos referidos de otros establecimientos de salud,2022-04-01,2,1,2,1,3
COMARAPA,internaciones,ingresos referidos de otros establecimientos de salud,2022-04-01,1,1,1,1,2
CONCEPCION,internaciones,ingresos referidos de otros establecimientos de salud,2022-04-01,0,1,0,1,1
COROICO,internaciones,ingresos referidos de otros establecimientos de salud,2022-04-01,17,26,17,26,43
COTAGAITA,internaciones,ingresos referidos de otros establecimientos de salud,2022-04-01,1,0,1,0,1
CULPINA,internaciones,ingresos referidos de otros establecimientos de salud,2022-04-01,0,2,0,2,2
EL ALTO,internaciones,ingresos referidos de otros establecimientos de salud,2022-04-01,253,649,253,649,902
EL TORNO,internaciones,ingresos referidos de otros establecimientos de salud,2022-04-01,0,6,0,6,6
