,group,variable,month,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES,TOTALES
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-03-01,0,0,0,0,0,0,0
SHINAOTA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-03-01,1,0,0,0,1,0,1
TARABUCO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-03-01,0,0,0,1,0,1,1
TIQUIPAYA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-03-01,1,0,0,0,1,0,1
CAMARGO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-04-01,0,0,1,0,1,0,1
CAMATAQUI (C. VILLA ABECIA),chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-04-01,0,1,0,0,0,1,1
CHARAGUA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-04-01,0,0,1,0,1,0,1
SACABA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-04-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-04-01,1,0,0,0,1,0,1
SHINAOTA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-04-01,0,0,0,1,0,1,1
TIQUIPAYA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-04-01,1,0,0,0,1,0,1
YOTALA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-04-01,0,1,0,0,0,1,1
AIQUILE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-05-01,1,0,0,0,1,0,1
COTAGAITA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-05-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-05-01,0,0,0,0,0,0,0
SHINAOTA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-05-01,0,0,1,0,1,0,1
TUPIZA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-05-01,1,0,0,0,1,0,1
VITICHI,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-05-01,1,0,0,0,1,0,1
AIQUILE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-06-01,0,2,0,0,0,2,2
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-06-01,0,1,1,0,1,1,2
SHINAOTA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-06-01,1,0,0,0,1,0,1
TARIJA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-06-01,0,1,0,0,0,1,1
WARNES,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-06-01,0,0,0,1,0,1,1
AIQUILE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-07-01,1,0,0,0,1,0,1
ALCALA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-07-01,1,0,0,0,1,0,1
COTAGAITA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-07-01,0,0,0,1,0,1,1
IRUPANA (VILLA DE LANZA),chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-07-01,0,0,1,0,1,0,1
MONTERO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-07-01,2,0,0,0,2,0,2
QUILLACOLLO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-07-01,2,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-07-01,0,0,0,0,0,0,0
TARIJA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-07-01,1,0,0,0,1,0,1
TUPIZA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-07-01,0,1,0,1,0,2,2
VILLAZON,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-07-01,1,0,0,0,1,0,1
YACUIBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-07-01,0,0,1,0,1,0,1
AIQUILE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-08-01,0,1,0,0,0,1,1
CAPINOTA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-08-01,1,0,0,0,1,0,1
COCHABAMBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-08-01,2,0,0,0,2,0,2
EL TORNO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-08-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-08-01,0,0,0,0,0,0,0
SHINAOTA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-08-01,0,1,1,0,1,1,2
TARATA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-08-01,1,0,0,0,1,0,1
TARIJA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-08-01,1,0,0,0,1,0,1
TUPIZA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-08-01,0,1,0,0,0,1,1
BERMEJO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-09-01,0,1,0,0,0,1,1
MONTEAGUDO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-09-01,2,1,0,0,2,1,3
MONTERO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-09-01,0,0,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-09-01,0,0,0,0,0,0,0
TIQUIPAYA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-09-01,0,1,0,0,0,1,1
VALLEGRANDE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-09-01,0,0,1,0,1,0,1
VILLAZON,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-09-01,0,0,1,0,1,0,1
VINTO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-09-01,1,0,0,0,1,0,1
YACUIBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-09-01,0,1,0,0,0,1,1
AIQUILE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-10-01,1,1,1,1,2,2,4
CHULUMANI (V. DE LA LIBERTAD),chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-10-01,0,1,0,0,0,1,1
EL TORNO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-10-01,1,0,0,0,1,0,1
MONTERO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-10-01,2,1,0,0,2,1,3
OMEREQUE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-10-01,0,1,0,0,0,1,1
PADILLA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-10-01,0,0,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-10-01,0,0,0,0,0,0,0
SHINAOTA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-10-01,0,0,0,1,0,1,1
SUCRE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-10-01,0,0,1,1,1,1,2
TARIJA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-10-01,0,0,1,0,1,0,1
TIQUIPAYA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-10-01,0,0,0,1,0,1,1
BERMEJO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-11-01,0,0,0,1,0,1,1
COCHABAMBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-11-01,0,0,2,0,2,0,2
FERNANDEZ ALONSO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-11-01,1,0,0,0,1,0,1
MONTEAGUDO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-11-01,0,1,0,0,0,1,1
MONTERO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-11-01,1,0,0,0,1,0,1
PRESTO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-11-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-11-01,0,1,0,0,0,1,1
VILLA RIVERO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-11-01,0,1,0,0,0,1,1
CABEZAS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-12-01,5,2,0,0,5,2,7
ICLA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-12-01,0,2,0,0,0,2,2
MONTEAGUDO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-12-01,1,0,0,0,1,0,1
MONTERO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-12-01,2,0,2,0,4,0,4
PADILLA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-12-01,0,1,0,0,0,1,1
SAN LORENZO(TJA),chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-12-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-12-01,0,1,0,0,0,1,1
TUPIZA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2011-12-01,0,1,0,0,0,1,1
