municipality,group,variable,month,9. Días camas disponibles maternidad,TOTAL
ICLA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,434,434
INCAHUASI,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,403,403
IXIAMAS,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,93,93
JESUS DE MACHACA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,249,249
LA ASUNTA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,341,341
LA GUARDIA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,1147,1147
LA PAZ,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,14874,14874
LAGUNILLAS,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,23,23
LAJA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,62,62
LAS CARRERAS,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,341,341
LICOMA PAMPA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,60,60
LLALLAGUA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,372,372
LLICA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,56,56
LURIBAY,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,217,217
MACHACAMARCA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,124,124
MACHARETI,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,345,345
MAGDALENA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,124,124
MAIRANA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,124,124
MALLA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,62,62
MAPIRI,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,155,155
MECAPACA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,61,61
MINEROS,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,87,87
MIZQUE,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,618,618
MOJOCOYA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,310,310
MONTEAGUDO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,1054,1054
MONTERO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,1298,1298
MOROCHATA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,151,151
OCURI,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,744,744
OMEREQUE,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,124,124
ORURO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,4901,4901
PADILLA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,341,341
PAILON,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,165,165
PALCA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,154,154
PALOS BLANCOS,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,341,341
PAMPA AULLAGAS,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,31,31
PAMPA GRANDE,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,93,93
PAPEL PAMPA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,93,93
PASORAPA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,62,62
PATACAMAYA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,146,146
PAZÑA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,93,93
PELECHUCO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,31,31
POCOATA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,682,682
POCONA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,403,403
POJO (CBBA),internaciones dias camas,dias camas disponibles maternidad,2024-01-01,279,279
POOPO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,93,93
PORCO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,85,85
POROMA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,1055,1055
PORONGO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,60,60
PORTACHUELO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,434,434
PORVENIR,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,113,113
POTOSI,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,2920,2920
PRESTO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,310,310
PUCARANI,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,275,275
PUERTO ACOSTA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,60,60
PUERTO CARABUCO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,31,31
PUERTO GONZALO MORENO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,56,56
PUERTO QUIJARRO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,301,301
PUERTO RICO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,135,135
PUERTO VILLARROEL,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,1426,1426
PUNA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,589,589
PUNATA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,1054,1054
QUIABAYA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,31,31
QUILLACOLLO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,1953,1953
QUIME,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,98,98
QUIRUSILLAS,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,62,62
RAQAYPAMPA(ETA),internaciones dias camas,dias camas disponibles maternidad,2024-01-01,186,186
RAVELO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,527,527
REYES,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,93,93
RIBERALTA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,1457,1457
ROBORE,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,269,269
RURRENABAQUE,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,248,248
SABAYA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,124,124
SACABA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,1953,1953
SACABAMBA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,31,31
SACACA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,152,152
SAIPINA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,50,50
SALINAS DE GARCI MENDOZA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,279,279
SAMAIPATA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,124,124
SAN ANTONIO DE LOMERIO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,81,81
SAN BENITO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,186,186
SAN BORJA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,372,372
SAN BUENA VENTURA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,341,341
SAN CARLOS,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,61,61
SAN IGNACIO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,310,310
SAN IGNACIO DE VELASCO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,1333,1333
SAN JAVIER(BNI),internaciones dias camas,dias camas disponibles maternidad,2024-01-01,31,31
SAN JAVIER(STC),internaciones dias camas,dias camas disponibles maternidad,2024-01-01,155,155
SAN JOAQUIN,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,120,120
SAN JOSE DE CHIQUITOS,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,527,527
SAN JUAN DE YAPACANI,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,31,31
SAN JULIAN,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,836,836
SAN LUCAS,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,1764,1764
SAN MATIAS,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,218,218
SAN MIGUEL DE VELASCO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,155,155
SAN PEDRO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,155,155
SAN PEDRO DE BUENA VISTA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,89,89
SAN PEDRO DE CURAHUARA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,31,31
SAN PEDRO DE MACHA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,496,496
SAN PEDRO DE TIQUINA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,62,62
SAN RAFAEL,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,124,124
SAN RAMON BENI,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,124,124
SAN RAMON SCZ,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,155,155
SANTA ANA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,248,248
SANTA CRUZ DE LA SIERRA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,24185,24185
SANTA ROSA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,186,186
SANTA ROSA DEL SARA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,216,216
SANTIAGO DE CALLAPA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,62,62
SANTIAGO DE HUARI,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,372,372
SANTIAGO DE MACHACA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,31,31
SANTIVAÑES,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,155,155
SANTUARIO DE QUILLACAS,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,155,155
SAPAHAQUI,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,93,93
SENA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,63,63
SHINAOTA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,366,366
SICA SICA (VILLA AROMA),internaciones dias camas,dias camas disponibles maternidad,2024-01-01,124,124
SICAYA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,93,93
SIPE SIPE,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,217,217
SOPACHUY,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,310,310
SORACACHI,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,156,156
SORATA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,124,124
SUCRE,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,2945,2945
TACACHI,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,93,93
TACACOMA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,31,31
TACOBAMBA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,93,93
TACOPAYA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,186,186
TAPACARI,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,31,31
TARABUCO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,465,465
TARACO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,62,62
TARATA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,124,124
TARIJA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,1855,1855
TARVITA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,868,868
TEOPONTE,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,124,124
TIAHUANACU,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,186,186
TIPUANI,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,155,155
TIQUIPAYA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,715,715
TIRAQUE (CBBA),internaciones dias camas,dias camas disponibles maternidad,2024-01-01,651,651
TOCO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,182,182
TOLATA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,60,60
TOLEDO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,310,310
TOMINA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,682,682
TORO TORO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,196,196
TOTORA(CBBA),internaciones dias camas,dias camas disponibles maternidad,2024-01-01,403,403
TOTORA(ORR),internaciones dias camas,dias camas disponibles maternidad,2024-01-01,124,124
TRINIDAD,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,1653,1653
TUPIZA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,93,93
TURCO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,372,372
UNCIA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,186,186
URUBICHA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,60,60
UYUNI,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,425,425
VACAS,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,248,248
VALLEGRANDE,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,261,261
VIACHA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,1138,1138
VILA VILA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,403,403
VILLA CHARCAS,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,372,372
VILLA MONTES,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,372,372
VILLA RIVERO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,184,184
VILLA SERRANO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,465,465
VILLA TUNARI,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,1654,1654
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,dias camas disponibles maternidad,2024-01-01,403,403
VILLAZON,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,589,589
VINTO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,682,682
VITICHI,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,155,155
WALDO BALLIVIAN,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,31,31
WARNES,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,611,611
YACO,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,124,124
YACUIBA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,893,893
YAMPARAEZ,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,310,310
YAPACANI,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,451,451
YOTALA,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,341,341
ZUDAÑEZ,internaciones dias camas,dias camas disponibles maternidad,2024-01-01,279,279
ACHACACHI,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,174,174
ACHOCALLA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,60,60
AIQUILE,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,463,463
ALALAY,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,203,203
ALCALA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,145,145
ALTO BENI,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,87,87
ANDAMARCA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,87,87
ANTEQUERA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,29,29
ANZALDO,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,174,174
APOLO,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,87,87
ARAMPAMPA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,112,112
ARANI,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,232,232
ARBIETO,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,174,174
ARQUE,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,377,377
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,406,406
ATOCHA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,327,327
AUCAPATA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,29,29
AYATA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,58,58
AYO AYO,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,58,58
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas disponibles maternidad,2024-02-01,843,843
AZURDUY,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,493,493
BATALLAS,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,29,29
BAURES,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,58,58
BELEN DE ANDAMARCA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,116,116
BERMEJO,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,374,374
BETANZOS,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,551,551
BOLIVAR,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,174,174
BOYUIBE,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,116,116
BUENA VISTA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,224,224
CABEZAS,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,124,124
CAIROMA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,58,58
"CAIZA ""D""",internaciones dias camas,dias camas disponibles maternidad,2024-02-01,379,379
CAJUATA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,229,229
CALACOTO,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,29,29
CALAMARCA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,87,87
CAMARGO,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,290,290
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas disponibles maternidad,2024-02-01,174,174
CAMIRI,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,244,244
CAPINOTA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,319,319
CAQUIAVIRI,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,29,29
CARACOLLO,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,229,229
CARANAVI,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,493,493
CARAPARI,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,116,116
CARIPUYO,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,59,59
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,159,159
CHALLAPATA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,406,406
CHAQUI,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,205,205
CHARAGUA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,87,87
CHARAÑA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,29,29
CHAYANTA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,112,112
CHIMORE,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,262,262
CHOQUE COTA,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,116,116
CHUA COCANI,internaciones dias camas,dias camas disponibles maternidad,2024-02-01,29,29
