municipality,group,variable,month,7. Días camas ocupadas maternidad,TOTAL
COROICO,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,66,66
CORQUE,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,2,2
COTAGAITA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,14,14
COTOCA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,346,346
CUATRO CAÑADAS,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,14,14
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,1,1
CUEVO,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,3,3
CULPINA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,12,12
CURAHUARA DE CARANGAS,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,1,1
DESAGUADERO,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,2,2
EL ALTO,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,3748,3748
EL PUENTE(STC),internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,14,14
EL PUENTE(TJA),internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,3,3
EL TORNO,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,175,175
EL VILLAR,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,6,6
ENTRE RIOS TRJ,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,19,19
ENTRE RIOS CBBA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,53,53
ESCOMA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,8,8
EUCALIPTUS,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,2,2
EXALTACION,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,1,1
FERNANDEZ ALONSO,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,2,2
FILADELFIA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,4,4
GAIOC JATUN AYLLU YURA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,11,11
GENERAL SAAVEDRA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,3,3
GUANAY,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,22,22
GUAQUI,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,2,2
GUAYARAMERIN,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,260,260
GUTIERREZ,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,12,12
HUACARAJE,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,5,5
HUACARETA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,21,21
HUACHACALLA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,2,2
HUANUNI,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,37,37
HUARINA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,1,1
HUATAJATA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,2,2
HUMANATA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,2,2
ICLA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,11,11
INCAHUASI,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,13,13
INGAVI (HUMAITA),internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,4,4
IRUPANA (VILLA DE LANZA),internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,10,10
IXIAMAS,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,9,9
JESUS DE MACHACA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,3,3
LA ASUNTA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,57,57
LA GUARDIA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,148,148
LA PAZ,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,4775,4775
LAGUNILLAS,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,7,7
LAJA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,2,2
LAS CARRERAS,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,2,2
LICOMA PAMPA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,5,5
LLALLAGUA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,239,239
LLICA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,4,4
LURIBAY,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,6,6
MACHACAMARCA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,2,2
MACHARETI,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,11,11
MAGDALENA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,29,29
MAIRANA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,57,57
MAPIRI,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,12,12
MECAPACA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,2,2
MINEROS,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,24,24
MIZQUE,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,66,66
MOJOCOYA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,10,10
MONTEAGUDO,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,213,213
MONTERO,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,795,795
MOROCHATA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,4,4
OCURI,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,9,9
OMEREQUE,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,5,5
ORURO,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,1882,1882
PADILLA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,36,36
PAILON,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,77,77
PALCA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,4,4
PALOS BLANCOS,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,29,29
PAMPA GRANDE,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,20,20
PAPEL PAMPA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,5,5
PASORAPA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,1,1
PATACAMAYA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,102,102
PAZÑA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,2,2
PELECHUCO,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,1,1
POCOATA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,21,21
POCONA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,9,9
POJO (CBBA),internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,10,10
POOPO,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,10,10
PORCO,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,8,8
POROMA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,43,43
PORTACHUELO,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,79,79
PORVENIR,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,7,7
POSTRER VALLE,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,2,2
POTOSI,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,1253,1253
PRESTO,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,2,2
PUCARANI,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,17,17
PUERTO ACOSTA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,2,2
PUERTO CARABUCO,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,4,4
PUERTO GONZALO MORENO,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,6,6
PUERTO QUIJARRO,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,60,60
PUERTO RICO,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,17,17
PUERTO SUAREZ,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,61,61
PUERTO VILLARROEL,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,383,383
PUNA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,16,16
PUNATA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,262,262
QUIABAYA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,1,1
QUILLACOLLO,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,338,338
QUIME,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,12,12
RAQAYPAMPA(ETA),internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,4,4
REYES,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,14,14
RIBERALTA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,886,886
ROBORE,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,52,52
RURRENABAQUE,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,75,75
SABAYA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,2,2
SACABA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,749,749
SACABAMBA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,1,1
SACACA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,14,14
SAIPINA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,12,12
SALINAS DE GARCI MENDOZA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,2,2
SAMAIPATA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,5,5
SAN ANDRES,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,2,2
SAN ANTONIO DE LOMERIO,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,12,12
SAN BENITO,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,2,2
SAN BORJA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,161,161
SAN BUENA VENTURA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,4,4
SAN IGNACIO,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,88,88
SAN IGNACIO DE VELASCO,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,401,401
SAN JAVIER(STC),internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,54,54
SAN JOAQUIN,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,6,6
SAN JOSE DE CHIQUITOS,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,186,186
SAN JULIAN,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,147,147
SAN LORENZO(PND),internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,2,2
SAN LUCAS,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,54,54
SAN MATIAS,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,38,38
SAN MIGUEL DE VELASCO,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,34,34
SAN PEDRO,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,6,6
SAN PEDRO DE BUENA VISTA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,12,12
SAN PEDRO DE CURAHUARA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,1,1
SAN PEDRO DE MACHA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,8,8
SAN RAFAEL,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,40,40
SAN RAMON BENI,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,19,19
SANTA ANA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,65,65
SANTA CRUZ DE LA SIERRA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,10732,10732
SANTA ROSA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,19,19
SANTA ROSA DEL SARA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,11,11
SANTIAGO DE CALLAPA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,1,1
SANTIAGO DE HUARI,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,1,1
SANTIAGO DE MACHACA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,1,1
SANTIVAÑES,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,2,2
SAPAHAQUI,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,4,4
SENA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,27,27
SHINAOTA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,133,133
SICA SICA (VILLA AROMA),internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,8,8
SICAYA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,3,3
SIPE SIPE,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,30,30
SOPACHUY,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,9,9
SORACACHI,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,8,8
SORATA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,9,9
SUCRE,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,1321,1321
TACACOMA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,4,4
TACOPAYA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,4,4
TARABUCO,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,30,30
TARACO,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,2,2
TARATA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,6,6
TARIJA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,627,627
TARVITA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,10,10
TEOPONTE,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,10,10
TIAHUANACU,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,6,6
TINGUIPAYA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,1,1
TIPUANI,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,3,3
TIQUIPAYA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,241,241
TOLATA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,1,1
TOLEDO,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,3,3
TOMINA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,9,9
TORO TORO,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,19,19
TOTORA(CBBA),internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,11,11
TOTORA(ORR),internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,3,3
TRINIDAD,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,1090,1090
TUPIZA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,31,31
TURCO,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,1,1
UMALA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,1,1
UNCIA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,14,14
URUBICHA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,10,10
UYUNI,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,132,132
VACAS,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,3,3
VALLEGRANDE,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,133,133
VIACHA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,130,130
VILA VILA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,2,2
VILLA CHARCAS,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,4,4
VILLA MONTES,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,144,144
VILLA RIVERO,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,2,2
VILLA SERRANO,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,7,7
VILLA TUNARI,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,474,474
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,6,6
VILLAZON,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,94,94
VINTO,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,190,190
VITICHI,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,2,2
WALDO BALLIVIAN,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,1,1
WARNES,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,437,437
YACO,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,2,2
YACUIBA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,355,355
YAMPARAEZ,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,36,36
YAPACANI,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,287,287
YOTALA,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,4,4
ZUDAÑEZ,internaciones dias camas,dias camas ocupadas maternidad,2024-01-01,12,12
ACHACACHI,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,118,118
ACHOCALLA,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,5,5
AIQUILE,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,35,35
ALTO BENI,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,5,5
ANDAMARCA,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,1,1
APOLO,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,21,21
ARAMPAMPA,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,2,2
ARQUE,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,2,2
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,161,161
ATOCHA,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,84,84
AUCAPATA,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,1,1
AYATA,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,5,5
AYO AYO,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,57,57
AZURDUY,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,7,7
BATALLAS,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,3,3
BERMEJO,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,87,87
BETANZOS,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,24,24
BOYUIBE,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,13,13
BUENA VISTA,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,10,10
CABEZAS,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,23,23
CAIROMA,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,2,2
"CAIZA ""D""",internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,15,15
CAJUATA,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,14,14
CALAMARCA,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,4,4
CAMARGO,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,57,57
CAMIRI,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,110,110
CAPINOTA,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,20,20
CAQUIAVIRI,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,1,1
CARACOLLO,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,22,22
CARANAVI,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,261,261
CARAPARI,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,27,27
CARIPUYO,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,6,6
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,15,15
CATACORA,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,1,1
CHALLAPATA,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,82,82
CHAQUI,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,6,6
CHARAGUA,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,101,101
CHAYANTA,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,30,30
CHIMORE,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,27,27
CHUA COCANI,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,2,2
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,42,42
CHUMA,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,5,5
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,10,10
CKOCHAS,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,4,4
CLIZA,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,187,187
COBIJA,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,556,556
COCAPATA,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,4,4
COCHABAMBA,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,4888,4888
COLCAPIRHUA,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,126,126
"COLCHA ""K""",internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,9,9
COLOMI,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,18,18
COLQUECHACA,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,20,20
COLQUENCHA,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,6,6
COLQUIRI,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,4,4
COMARAPA,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,49,49
CONCEPCION,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,4,4
COPACABANA,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,1,1
CORIPATA,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,7,7
CORO CORO,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,2,2
COROICO,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,58,58
CORQUE,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,2,2
COTAGAITA,internaciones dias camas,dias camas ocupadas maternidad,2024-02-01,5,5
