municipality,group,variable,month,Primer Control Post Parto,TOTAL
"COLCHA ""K""",atencion de partos en servicios,primer control post parto,2023-01-01,2,2
COLOMI,atencion de partos en servicios,primer control post parto,2023-01-01,17,17
COLPA BELGICA,atencion de partos en servicios,primer control post parto,2023-01-01,1,1
COLQUECHACA,atencion de partos en servicios,primer control post parto,2023-01-01,17,17
COLQUENCHA,atencion de partos en servicios,primer control post parto,2023-01-01,7,7
COMARAPA,atencion de partos en servicios,primer control post parto,2023-01-01,20,20
CONCEPCION,atencion de partos en servicios,primer control post parto,2023-01-01,34,34
CORIPATA,atencion de partos en servicios,primer control post parto,2023-01-01,16,16
CORO CORO,atencion de partos en servicios,primer control post parto,2023-01-01,5,5
COROICO,atencion de partos en servicios,primer control post parto,2023-01-01,12,12
CORQUE,atencion de partos en servicios,primer control post parto,2023-01-01,3,3
COTAGAITA,atencion de partos en servicios,primer control post parto,2023-01-01,4,4
COTOCA,atencion de partos en servicios,primer control post parto,2023-01-01,65,65
CUATRO CAÑADAS,atencion de partos en servicios,primer control post parto,2023-01-01,14,14
CUEVO,atencion de partos en servicios,primer control post parto,2023-01-01,1,1
CULPINA,atencion de partos en servicios,primer control post parto,2023-01-01,19,19
CURAHUARA DE CARANGAS,atencion de partos en servicios,primer control post parto,2023-01-01,1,1
EL ALTO,atencion de partos en servicios,primer control post parto,2023-01-01,702,702
EL PUENTE(STC),atencion de partos en servicios,primer control post parto,2023-01-01,5,5
EL PUENTE(TJA),atencion de partos en servicios,primer control post parto,2023-01-01,4,4
EL TORNO,atencion de partos en servicios,primer control post parto,2023-01-01,21,21
EL VILLAR,atencion de partos en servicios,primer control post parto,2023-01-01,1,1
ENTRE RIOS TRJ,atencion de partos en servicios,primer control post parto,2023-01-01,9,9
ENTRE RIOS CBBA,atencion de partos en servicios,primer control post parto,2023-01-01,14,14
ESCOMA,atencion de partos en servicios,primer control post parto,2023-01-01,11,11
FERNANDEZ ALONSO,atencion de partos en servicios,primer control post parto,2023-01-01,10,10
FILADELFIA,atencion de partos en servicios,primer control post parto,2023-01-01,1,1
GAIOC JATUN AYLLU YURA,atencion de partos en servicios,primer control post parto,2023-01-01,3,3
GENERAL SAAVEDRA,atencion de partos en servicios,primer control post parto,2023-01-01,7,7
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicios,primer control post parto,2023-01-01,4,4
GUANAY,atencion de partos en servicios,primer control post parto,2023-01-01,1,1
GUAYARAMERIN,atencion de partos en servicios,primer control post parto,2023-01-01,33,33
GUTIERREZ,atencion de partos en servicios,primer control post parto,2023-01-01,9,9
HUACARAJE,atencion de partos en servicios,primer control post parto,2023-01-01,2,2
HUACARETA,atencion de partos en servicios,primer control post parto,2023-01-01,1,1
HUACAYA (VILLA DE HUACAYA),atencion de partos en servicios,primer control post parto,2023-01-01,1,1
HUANUNI,atencion de partos en servicios,primer control post parto,2023-01-01,22,22
HUARINA,atencion de partos en servicios,primer control post parto,2023-01-01,4,4
HUAYLLAMARCA,atencion de partos en servicios,primer control post parto,2023-01-01,1,1
HUMANATA,atencion de partos en servicios,primer control post parto,2023-01-01,1,1
ICLA,atencion de partos en servicios,primer control post parto,2023-01-01,2,2
INGAVI (HUMAITA),atencion de partos en servicios,primer control post parto,2023-01-01,2,2
IRUPANA (VILLA DE LANZA),atencion de partos en servicios,primer control post parto,2023-01-01,1,1
IXIAMAS,atencion de partos en servicios,primer control post parto,2023-01-01,10,10
JESUS DE MACHACA,atencion de partos en servicios,primer control post parto,2023-01-01,1,1
LA ASUNTA,atencion de partos en servicios,primer control post parto,2023-01-01,57,57
LA GUARDIA,atencion de partos en servicios,primer control post parto,2023-01-01,103,103
LA PAZ,atencion de partos en servicios,primer control post parto,2023-01-01,172,172
LAGUNILLAS,atencion de partos en servicios,primer control post parto,2023-01-01,2,2
LAJA,atencion de partos en servicios,primer control post parto,2023-01-01,9,9
LAS CARRERAS,atencion de partos en servicios,primer control post parto,2023-01-01,4,4
LLALLAGUA,atencion de partos en servicios,primer control post parto,2023-01-01,13,13
LLICA,atencion de partos en servicios,primer control post parto,2023-01-01,1,1
LORETO,atencion de partos en servicios,primer control post parto,2023-01-01,1,1
LURIBAY,atencion de partos en servicios,primer control post parto,2023-01-01,7,7
MACHARETI,atencion de partos en servicios,primer control post parto,2023-01-01,4,4
MAGDALENA,atencion de partos en servicios,primer control post parto,2023-01-01,8,8
MAIRANA,atencion de partos en servicios,primer control post parto,2023-01-01,3,3
MAPIRI,atencion de partos en servicios,primer control post parto,2023-01-01,1,1
MECAPACA,atencion de partos en servicios,primer control post parto,2023-01-01,2,2
MINEROS,atencion de partos en servicios,primer control post parto,2023-01-01,31,31
MIZQUE,atencion de partos en servicios,primer control post parto,2023-01-01,31,31
MOCOMOCO,atencion de partos en servicios,primer control post parto,2023-01-01,2,2
MOJOCOYA,atencion de partos en servicios,primer control post parto,2023-01-01,5,5
MONTERO,atencion de partos en servicios,primer control post parto,2023-01-01,91,91
MORO MORO,atencion de partos en servicios,primer control post parto,2023-01-01,1,1
OCURI,atencion de partos en servicios,primer control post parto,2023-01-01,4,4
ORURO,atencion de partos en servicios,primer control post parto,2023-01-01,392,392
PADCAYA,atencion de partos en servicios,primer control post parto,2023-01-01,5,5
PADILLA,atencion de partos en servicios,primer control post parto,2023-01-01,13,13
PALCA,atencion de partos en servicios,primer control post parto,2023-01-01,7,7
PALOS BLANCOS,atencion de partos en servicios,primer control post parto,2023-01-01,23,23
PAMPA GRANDE,atencion de partos en servicios,primer control post parto,2023-01-01,3,3
PATACAMAYA,atencion de partos en servicios,primer control post parto,2023-01-01,22,22
PAZÑA,atencion de partos en servicios,primer control post parto,2023-01-01,2,2
PELECHUCO,atencion de partos en servicios,primer control post parto,2023-01-01,1,1
POCOATA,atencion de partos en servicios,primer control post parto,2023-01-01,14,14
POCONA,atencion de partos en servicios,primer control post parto,2023-01-01,2,2
POJO (CBBA),atencion de partos en servicios,primer control post parto,2023-01-01,1,1
POOPO,atencion de partos en servicios,primer control post parto,2023-01-01,1,1
PORCO,atencion de partos en servicios,primer control post parto,2023-01-01,9,9
POROMA,atencion de partos en servicios,primer control post parto,2023-01-01,3,3
PORONGO,atencion de partos en servicios,primer control post parto,2023-01-01,3,3
PORTACHUELO,atencion de partos en servicios,primer control post parto,2023-01-01,14,14
POTOSI,atencion de partos en servicios,primer control post parto,2023-01-01,172,172
PRESTO,atencion de partos en servicios,primer control post parto,2023-01-01,1,1
PUCARANI,atencion de partos en servicios,primer control post parto,2023-01-01,1,1
PUERTO CARABUCO,atencion de partos en servicios,primer control post parto,2023-01-01,1,1
PUERTO GONZALO MORENO,atencion de partos en servicios,primer control post parto,2023-01-01,3,3
PUERTO QUIJARRO,atencion de partos en servicios,primer control post parto,2023-01-01,17,17
PUERTO RICO,atencion de partos en servicios,primer control post parto,2023-01-01,5,5
PUERTO SUAREZ,atencion de partos en servicios,primer control post parto,2023-01-01,7,7
PUERTO VILLARROEL,atencion de partos en servicios,primer control post parto,2023-01-01,7,7
PUNA,atencion de partos en servicios,primer control post parto,2023-01-01,8,8
PUNATA,atencion de partos en servicios,primer control post parto,2023-01-01,46,46
QUILLACOLLO,atencion de partos en servicios,primer control post parto,2023-01-01,68,68
QUIRUSILLAS,atencion de partos en servicios,primer control post parto,2023-01-01,1,1
RAVELO,atencion de partos en servicios,primer control post parto,2023-01-01,4,4
REYES,atencion de partos en servicios,primer control post parto,2023-01-01,5,5
RIBERALTA,atencion de partos en servicios,primer control post parto,2023-01-01,261,261
ROBORE,atencion de partos en servicios,primer control post parto,2023-01-01,22,22
SABAYA,atencion de partos en servicios,primer control post parto,2023-01-01,1,1
SACABA,atencion de partos en servicios,primer control post parto,2023-01-01,136,136
SACABAMBA,atencion de partos en servicios,primer control post parto,2023-01-01,1,1
SACACA,atencion de partos en servicios,primer control post parto,2023-01-01,12,12
SAIPINA,atencion de partos en servicios,primer control post parto,2023-01-01,2,2
SALINAS DE GARCI MENDOZA,atencion de partos en servicios,primer control post parto,2023-01-01,3,3
SAMAIPATA,atencion de partos en servicios,primer control post parto,2023-01-01,4,4
SAN ANDRES,atencion de partos en servicios,primer control post parto,2023-01-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en servicios,primer control post parto,2023-01-01,3,3
SAN BENITO,atencion de partos en servicios,primer control post parto,2023-01-01,2,2
SAN BORJA,atencion de partos en servicios,primer control post parto,2023-01-01,18,18
SAN BUENA VENTURA,atencion de partos en servicios,primer control post parto,2023-01-01,18,18
SAN CARLOS,atencion de partos en servicios,primer control post parto,2023-01-01,4,4
SAN IGNACIO,atencion de partos en servicios,primer control post parto,2023-01-01,22,22
SAN IGNACIO DE VELASCO,atencion de partos en servicios,primer control post parto,2023-01-01,139,139
SAN JAVIER(STC),atencion de partos en servicios,primer control post parto,2023-01-01,26,26
SAN JULIAN,atencion de partos en servicios,primer control post parto,2023-01-01,4,4
SAN LORENZO(PND),atencion de partos en servicios,primer control post parto,2023-01-01,4,4
SAN LORENZO(TJA),atencion de partos en servicios,primer control post parto,2023-01-01,13,13
SAN LUCAS,atencion de partos en servicios,primer control post parto,2023-01-01,3,3
SAN MATIAS,atencion de partos en servicios,primer control post parto,2023-01-01,1,1
SAN MIGUEL DE VELASCO,atencion de partos en servicios,primer control post parto,2023-01-01,14,14
SAN PABLO DE LIPEZ,atencion de partos en servicios,primer control post parto,2023-01-01,1,1
SAN PEDRO,atencion de partos en servicios,primer control post parto,2023-01-01,9,9
SAN PEDRO DE BUENA VISTA,atencion de partos en servicios,primer control post parto,2023-01-01,1,1
SAN PEDRO DE MACHA,atencion de partos en servicios,primer control post parto,2023-01-01,11,11
SAN PEDRO DE TIQUINA,atencion de partos en servicios,primer control post parto,2023-01-01,2,2
SANTA ANA,atencion de partos en servicios,primer control post parto,2023-01-01,32,32
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,primer control post parto,2023-01-01,488,488
SANTA ROSA,atencion de partos en servicios,primer control post parto,2023-01-01,12,12
SANTA ROSA DEL SARA,atencion de partos en servicios,primer control post parto,2023-01-01,6,6
SANTIAGO DE HUARI,atencion de partos en servicios,primer control post parto,2023-01-01,1,1
SANTIAGO DE HUATA,atencion de partos en servicios,primer control post parto,2023-01-01,2,2
SENA,atencion de partos en servicios,primer control post parto,2023-01-01,4,4
SICA SICA (VILLA AROMA),atencion de partos en servicios,primer control post parto,2023-01-01,14,14
SICAYA,atencion de partos en servicios,primer control post parto,2023-01-01,1,1
SIPE SIPE,atencion de partos en servicios,primer control post parto,2023-01-01,35,35
SOPACHUY,atencion de partos en servicios,primer control post parto,2023-01-01,5,5
SORACACHI,atencion de partos en servicios,primer control post parto,2023-01-01,2,2
SORATA,atencion de partos en servicios,primer control post parto,2023-01-01,8,8
SUCRE,atencion de partos en servicios,primer control post parto,2023-01-01,583,583
TACACHI,atencion de partos en servicios,primer control post parto,2023-01-01,2,2
TAHUA,atencion de partos en servicios,primer control post parto,2023-01-01,2,2
TAPACARI,atencion de partos en servicios,primer control post parto,2023-01-01,3,3
TARABUCO,atencion de partos en servicios,primer control post parto,2023-01-01,13,13
TARATA,atencion de partos en servicios,primer control post parto,2023-01-01,1,1
TARIJA,atencion de partos en servicios,primer control post parto,2023-01-01,80,80
TARVITA,atencion de partos en servicios,primer control post parto,2023-01-01,8,8
TIAHUANACU,atencion de partos en servicios,primer control post parto,2023-01-01,1,1
TINGUIPAYA,atencion de partos en servicios,primer control post parto,2023-01-01,2,2
TIQUIPAYA,atencion de partos en servicios,primer control post parto,2023-01-01,57,57
TIRAQUE (CBBA),atencion de partos en servicios,primer control post parto,2023-01-01,12,12
TOCO,atencion de partos en servicios,primer control post parto,2023-01-01,1,1
TOLATA,atencion de partos en servicios,primer control post parto,2023-01-01,1,1
TOMAVE,atencion de partos en servicios,primer control post parto,2023-01-01,5,5
TOMINA,atencion de partos en servicios,primer control post parto,2023-01-01,4,4
TORO TORO,atencion de partos en servicios,primer control post parto,2023-01-01,6,6
TOTORA(CBBA),atencion de partos en servicios,primer control post parto,2023-01-01,24,24
TOTORA(ORR),atencion de partos en servicios,primer control post parto,2023-01-01,6,6
TRINIDAD,atencion de partos en servicios,primer control post parto,2023-01-01,1,1
TUPIZA,atencion de partos en servicios,primer control post parto,2023-01-01,9,9
TURCO,atencion de partos en servicios,primer control post parto,2023-01-01,3,3
UMALA,atencion de partos en servicios,primer control post parto,2023-01-01,3,3
UNCIA,atencion de partos en servicios,primer control post parto,2023-01-01,2,2
URIONDO (A. CONCEPCION),atencion de partos en servicios,primer control post parto,2023-01-01,13,13
URUBICHA,atencion de partos en servicios,primer control post parto,2023-01-01,4,4
UYUNI,atencion de partos en servicios,primer control post parto,2023-01-01,34,34
VALLEGRANDE,atencion de partos en servicios,primer control post parto,2023-01-01,14,14
VIACHA,atencion de partos en servicios,primer control post parto,2023-01-01,11,11
VILLA MONTES,atencion de partos en servicios,primer control post parto,2023-01-01,27,27
VILLA NUEVA (LOMA ALTA),atencion de partos en servicios,primer control post parto,2023-01-01,2,2
VILLA RIVERO,atencion de partos en servicios,primer control post parto,2023-01-01,5,5
VILLA SERRANO,atencion de partos en servicios,primer control post parto,2023-01-01,3,3
VILLA TUNARI,atencion de partos en servicios,primer control post parto,2023-01-01,25,25
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en servicios,primer control post parto,2023-01-01,3,3
VILLAZON,atencion de partos en servicios,primer control post parto,2023-01-01,38,38
VINTO,atencion de partos en servicios,primer control post parto,2023-01-01,61,61
VITICHI,atencion de partos en servicios,primer control post parto,2023-01-01,3,3
WARNES,atencion de partos en servicios,primer control post parto,2023-01-01,122,122
YACUIBA,atencion de partos en servicios,primer control post parto,2023-01-01,19,19
YAMPARAEZ,atencion de partos en servicios,primer control post parto,2023-01-01,8,8
YANACACHI,atencion de partos en servicios,primer control post parto,2023-01-01,1,1
YAPACANI,atencion de partos en servicios,primer control post parto,2023-01-01,91,91
YOCALLA,atencion de partos en servicios,primer control post parto,2023-01-01,1,1
YOTALA,atencion de partos en servicios,primer control post parto,2023-01-01,6,6
ZUDAÑEZ,atencion de partos en servicios,primer control post parto,2023-01-01,4,4
ACACIO,atencion de partos en servicios,primer control post parto,2023-02-01,1,1
ACHACACHI,atencion de partos en servicios,primer control post parto,2023-02-01,30,30
ACHOCALLA,atencion de partos en servicios,primer control post parto,2023-02-01,19,19
AIQUILE,atencion de partos en servicios,primer control post parto,2023-02-01,19,19
ALCALA,atencion de partos en servicios,primer control post parto,2023-02-01,1,1
ANCORAIMES,atencion de partos en servicios,primer control post parto,2023-02-01,1,1
ANDAMARCA,atencion de partos en servicios,primer control post parto,2023-02-01,1,1
ANZALDO,atencion de partos en servicios,primer control post parto,2023-02-01,1,1
APOLO,atencion de partos en servicios,primer control post parto,2023-02-01,11,11
ARAMPAMPA,atencion de partos en servicios,primer control post parto,2023-02-01,3,3
ARANI,atencion de partos en servicios,primer control post parto,2023-02-01,1,1
ARBIETO,atencion de partos en servicios,primer control post parto,2023-02-01,13,13
ASCENCION DE GUARAYOS,atencion de partos en servicios,primer control post parto,2023-02-01,57,57
AYATA,atencion de partos en servicios,primer control post parto,2023-02-01,3,3
AYO AYO,atencion de partos en servicios,primer control post parto,2023-02-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,primer control post parto,2023-02-01,13,13
AZURDUY,atencion de partos en servicios,primer control post parto,2023-02-01,4,4
BAURES,atencion de partos en servicios,primer control post parto,2023-02-01,3,3
BELLA FLOR,atencion de partos en servicios,primer control post parto,2023-02-01,3,3
BERMEJO,atencion de partos en servicios,primer control post parto,2023-02-01,60,60
BETANZOS,atencion de partos en servicios,primer control post parto,2023-02-01,2,2
BOLIVAR,atencion de partos en servicios,primer control post parto,2023-02-01,1,1
BOYUIBE,atencion de partos en servicios,primer control post parto,2023-02-01,5,5
BUENA VISTA,atencion de partos en servicios,primer control post parto,2023-02-01,7,7
CABEZAS,atencion de partos en servicios,primer control post parto,2023-02-01,5,5
CAIROMA,atencion de partos en servicios,primer control post parto,2023-02-01,6,6
"CAIZA ""D""",atencion de partos en servicios,primer control post parto,2023-02-01,7,7
CAJUATA,atencion de partos en servicios,primer control post parto,2023-02-01,2,2
CALAMARCA,atencion de partos en servicios,primer control post parto,2023-02-01,1,1
CAMARGO,atencion de partos en servicios,primer control post parto,2023-02-01,15,15
CAMIRI,atencion de partos en servicios,primer control post parto,2023-02-01,62,62
CAPINOTA,atencion de partos en servicios,primer control post parto,2023-02-01,13,13
CAQUIAVIRI,atencion de partos en servicios,primer control post parto,2023-02-01,1,1
CARACOLLO,atencion de partos en servicios,primer control post parto,2023-02-01,6,6
CARANAVI,atencion de partos en servicios,primer control post parto,2023-02-01,67,67
CARANGAS,atencion de partos en servicios,primer control post parto,2023-02-01,1,1
CARAPARI,atencion de partos en servicios,primer control post parto,2023-02-01,3,3
CHALLAPATA,atencion de partos en servicios,primer control post parto,2023-02-01,39,39
CHAQUI,atencion de partos en servicios,primer control post parto,2023-02-01,8,8
CHARAGUA,atencion de partos en servicios,primer control post parto,2023-02-01,5,5
CHAYANTA,atencion de partos en servicios,primer control post parto,2023-02-01,1,1
CHIMORE,atencion de partos en servicios,primer control post parto,2023-02-01,18,18
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,primer control post parto,2023-02-01,14,14
CHUMA,atencion de partos en servicios,primer control post parto,2023-02-01,1,1
CKOCHAS,atencion de partos en servicios,primer control post parto,2023-02-01,5,5
CLIZA,atencion de partos en servicios,primer control post parto,2023-02-01,8,8
COBIJA,atencion de partos en servicios,primer control post parto,2023-02-01,9,9
COCAPATA,atencion de partos en servicios,primer control post parto,2023-02-01,1,1
COCHABAMBA,atencion de partos en servicios,primer control post parto,2023-02-01,507,507
COLCAPIRHUA,atencion de partos en servicios,primer control post parto,2023-02-01,15,15
"COLCHA ""K""",atencion de partos en servicios,primer control post parto,2023-02-01,2,2
COLOMI,atencion de partos en servicios,primer control post parto,2023-02-01,15,15
COLPA BELGICA,atencion de partos en servicios,primer control post parto,2023-02-01,1,1
COLQUECHACA,atencion de partos en servicios,primer control post parto,2023-02-01,9,9
COLQUENCHA,atencion de partos en servicios,primer control post parto,2023-02-01,3,3
COMARAPA,atencion de partos en servicios,primer control post parto,2023-02-01,7,7
CONCEPCION,atencion de partos en servicios,primer control post parto,2023-02-01,32,32
COPACABANA,atencion de partos en servicios,primer control post parto,2023-02-01,1,1
CORIPATA,atencion de partos en servicios,primer control post parto,2023-02-01,8,8
COROICO,atencion de partos en servicios,primer control post parto,2023-02-01,19,19
CORQUE,atencion de partos en servicios,primer control post parto,2023-02-01,2,2
COTAGAITA,atencion de partos en servicios,primer control post parto,2023-02-01,2,2
COTOCA,atencion de partos en servicios,primer control post parto,2023-02-01,50,50
CUATRO CAÑADAS,atencion de partos en servicios,primer control post parto,2023-02-01,6,6
CUEVO,atencion de partos en servicios,primer control post parto,2023-02-01,1,1
CULPINA,atencion de partos en servicios,primer control post parto,2023-02-01,13,13
EL ALTO,atencion de partos en servicios,primer control post parto,2023-02-01,674,674
EL PUENTE(STC),atencion de partos en servicios,primer control post parto,2023-02-01,4,4
EL PUENTE(TJA),atencion de partos en servicios,primer control post parto,2023-02-01,2,2
EL TORNO,atencion de partos en servicios,primer control post parto,2023-02-01,24,24
EL VILLAR,atencion de partos en servicios,primer control post parto,2023-02-01,3,3
ENTRE RIOS TRJ,atencion de partos en servicios,primer control post parto,2023-02-01,12,12
ENTRE RIOS CBBA,atencion de partos en servicios,primer control post parto,2023-02-01,11,11
ESCOMA,atencion de partos en servicios,primer control post parto,2023-02-01,5,5
FERNANDEZ ALONSO,atencion de partos en servicios,primer control post parto,2023-02-01,4,4
FILADELFIA,atencion de partos en servicios,primer control post parto,2023-02-01,2,2
GAIOC JATUN AYLLU YURA,atencion de partos en servicios,primer control post parto,2023-02-01,2,2
GENERAL SAAVEDRA,atencion de partos en servicios,primer control post parto,2023-02-01,7,7
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicios,primer control post parto,2023-02-01,1,1
GUANAY,atencion de partos en servicios,primer control post parto,2023-02-01,12,12
GUAQUI,atencion de partos en servicios,primer control post parto,2023-02-01,2,2
GUAYARAMERIN,atencion de partos en servicios,primer control post parto,2023-02-01,14,14
GUTIERREZ,atencion de partos en servicios,primer control post parto,2023-02-01,5,5
HUACARAJE,atencion de partos en servicios,primer control post parto,2023-02-01,2,2
HUACARETA,atencion de partos en servicios,primer control post parto,2023-02-01,4,4
HUANUNI,atencion de partos en servicios,primer control post parto,2023-02-01,19,19
HUARINA,atencion de partos en servicios,primer control post parto,2023-02-01,4,4
HUATAJATA,atencion de partos en servicios,primer control post parto,2023-02-01,1,1
ICHOCA,atencion de partos en servicios,primer control post parto,2023-02-01,1,1
ICLA,atencion de partos en servicios,primer control post parto,2023-02-01,5,5
INGAVI (HUMAITA),atencion de partos en servicios,primer control post parto,2023-02-01,3,3
INQUISIVI,atencion de partos en servicios,primer control post parto,2023-02-01,1,1
IRUPANA (VILLA DE LANZA),atencion de partos en servicios,primer control post parto,2023-02-01,2,2
IXIAMAS,atencion de partos en servicios,primer control post parto,2023-02-01,7,7
JESUS DE MACHACA,atencion de partos en servicios,primer control post parto,2023-02-01,1,1
LA ASUNTA,atencion de partos en servicios,primer control post parto,2023-02-01,45,45
LA GUARDIA,atencion de partos en servicios,primer control post parto,2023-02-01,103,103
LA PAZ,atencion de partos en servicios,primer control post parto,2023-02-01,277,277
LA RIVERA,atencion de partos en servicios,primer control post parto,2023-02-01,1,1
LAJA,atencion de partos en servicios,primer control post parto,2023-02-01,7,7
LAS CARRERAS,atencion de partos en servicios,primer control post parto,2023-02-01,2,2
LLALLAGUA,atencion de partos en servicios,primer control post parto,2023-02-01,12,12
LLICA,atencion de partos en servicios,primer control post parto,2023-02-01,1,1
LORETO,atencion de partos en servicios,primer control post parto,2023-02-01,1,1
LURIBAY,atencion de partos en servicios,primer control post parto,2023-02-01,3,3
MACHACAMARCA,atencion de partos en servicios,primer control post parto,2023-02-01,2,2
MACHARETI,atencion de partos en servicios,primer control post parto,2023-02-01,3,3
MAGDALENA,atencion de partos en servicios,primer control post parto,2023-02-01,9,9
MAIRANA,atencion de partos en servicios,primer control post parto,2023-02-01,7,7
MAPIRI,atencion de partos en servicios,primer control post parto,2023-02-01,2,2
MECAPACA,atencion de partos en servicios,primer control post parto,2023-02-01,1,1
MINEROS,atencion de partos en servicios,primer control post parto,2023-02-01,17,17
MIZQUE,atencion de partos en servicios,primer control post parto,2023-02-01,10,10
MOCOMOCO,atencion de partos en servicios,primer control post parto,2023-02-01,2,2
MOJOCOYA,atencion de partos en servicios,primer control post parto,2023-02-01,4,4
MONTERO,atencion de partos en servicios,primer control post parto,2023-02-01,116,116
MORO MORO,atencion de partos en servicios,primer control post parto,2023-02-01,1,1
NACEBE (SANTA ROSA DEL ABUNA),atencion de partos en servicios,primer control post parto,2023-02-01,2,2
OCURI,atencion de partos en servicios,primer control post parto,2023-02-01,10,10
OKINAWA,atencion de partos en servicios,primer control post parto,2023-02-01,1,1
ORURO,atencion de partos en servicios,primer control post parto,2023-02-01,334,334
PADCAYA,atencion de partos en servicios,primer control post parto,2023-02-01,4,4
PAILON,atencion de partos en servicios,primer control post parto,2023-02-01,1,1
PALCA,atencion de partos en servicios,primer control post parto,2023-02-01,4,4
PALOS BLANCOS,atencion de partos en servicios,primer control post parto,2023-02-01,16,16
PAMPA GRANDE,atencion de partos en servicios,primer control post parto,2023-02-01,2,2
PAPEL PAMPA,atencion de partos en servicios,primer control post parto,2023-02-01,4,4
PATACAMAYA,atencion de partos en servicios,primer control post parto,2023-02-01,24,24
PAZÑA,atencion de partos en servicios,primer control post parto,2023-02-01,1,1
PELECHUCO,atencion de partos en servicios,primer control post parto,2023-02-01,4,4
POCOATA,atencion de partos en servicios,primer control post parto,2023-02-01,8,8
POCONA,atencion de partos en servicios,primer control post parto,2023-02-01,8,8
POJO (CBBA),atencion de partos en servicios,primer control post parto,2023-02-01,2,2
