municipality,group,variable,month,RN con corte tardío de Cordón Umbilical,TOTAL
CAMARGO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,18,18
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,1,1
CAPINOTA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,9,9
CAQUIAVIRI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,2,2
CARACOLLO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,5,5
CARANAVI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,1,1
CARAPARI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,3,3
CARIPUYO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,3,3
CHALLAPATA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,2,2
CHAQUI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,4,4
CHARAGUA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,7,7
CHAYANTA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,8,8
CHOQUE COTA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,17,17
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,5,5
CKOCHAS,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,4,4
CLIZA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,3,3
COBIJA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,42,42
COCAPATA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,6,6
COCHABAMBA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,389,389
COIPASA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,2,2
COLCAPIRHUA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,2,2
"COLCHA ""K""",atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,2,2
COLLANA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,2,2
COLOMI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,9,9
COLQUECHACA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,17,17
COLQUENCHA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,7,7
COLQUIRI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,4,4
COPACABANA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,3,3
CORIPATA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,16,16
CORO CORO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,1,1
COROICO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,12,12
CORQUE,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,3,3
COTAGAITA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,13,13
CUCHUMUELA (V. G. VILLARROEL),atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,1,1
CUEVO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,1,1
CULPINA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,19,19
CURAHUARA DE CARANGAS,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,1,1
DESAGUADERO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,2,2
EL ALTO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,533,533
EL PUENTE(STC),atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,2,2
EL PUENTE(TJA),atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,6,6
EL VILLAR,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,1,1
ENTRE RIOS TRJ,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,3,3
ENTRE RIOS CBBA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,15,15
EUCALIPTUS,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,2,2
FERNANDEZ ALONSO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,7,7
FILADELFIA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,1,1
GAIOC JATUN AYLLU YURA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,3,3
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,4,4
HUACARAJE,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,1,1
HUACARETA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,6,6
HUACAYA (VILLA DE HUACAYA),atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,1,1
HUANUNI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,14,14
HUARINA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,4,4
HUAYLLAMARCA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,1,1
HUMANATA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,4,4
ICLA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,2,2
INCAHUASI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,3,3
INGAVI (HUMAITA),atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,2,2
INQUISIVI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,6,6
IRUPANA (VILLA DE LANZA),atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,6,6
IXIAMAS,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,1,1
JESUS DE MACHACA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,5,5
LA ASUNTA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,44,44
LA PAZ,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,17,17
LAJA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,9,9
LAS CARRERAS,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,4,4
LICOMA PAMPA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,2,2
LLICA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,1,1
LURIBAY,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,7,7
MACHARETI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,4,4
MAIRANA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,1,1
MAPIRI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,18,18
MINEROS,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,11,11
MIZQUE,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,30,30
MOCOMOCO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,2,2
MOJOCOYA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,5,5
MONTEAGUDO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,41,41
MONTERO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,25,25
MOROCHATA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,3,3
OCURI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,4,4
OMEREQUE,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,2,2
ORURO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,80,80
PADCAYA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,9,9
PADILLA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,14,14
PALCA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,6,6
PALOS BLANCOS,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,28,28
PATACAMAYA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,1,1
PAZÑA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,1,1
PELECHUCO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,1,1
POCOATA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,14,14
POCONA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,8,8
POJO (CBBA),atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,15,15
POOPO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,1,1
PORCO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,7,7
POROMA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,3,3
PORVENIR,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,4,4
POTOSI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,90,90
PRESTO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,1,1
PUCARANI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,10,10
PUERTO CARABUCO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,1,1
PUERTO GONZALO MORENO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,2,2
PUERTO PEREZ,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,1,1
PUERTO RICO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,5,5
PUERTO VILLARROEL,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,10,10
PUNA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,8,8
PUNATA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,57,57
QUIABAYA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,1,1
QUILLACOLLO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,32,32
QUIME,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,3,3
RAQAYPAMPA(ETA),atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,3,3
RAVELO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,5,5
REYES,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,5,5
RIBERALTA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,214,214
ROBORE,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,1,1
SABAYA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,1,1
SACABA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,108,108
SACABAMBA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,2,2
SACACA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,15,15
SALINAS DE GARCI MENDOZA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,5,5
SAMAIPATA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,1,1
SAN ANDRES,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,2,2
SAN ANTONIO DE LOMERIO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,3,3
SAN BENITO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,3,3
SAN BORJA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,4,4
SAN CARLOS,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,5,5
SAN IGNACIO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,22,22
SAN IGNACIO DE VELASCO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,49,49
SAN JAVIER(STC),atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,22,22
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,35,35
SAN JUAN DE YAPACANI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,1,1
SAN LORENZO(PND),atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,5,5
SAN LORENZO(TJA),atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,3,3
SAN LUCAS,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,18,18
SAN MIGUEL DE VELASCO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,13,13
SAN PABLO DE LIPEZ,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,1,1
SAN PEDRO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,3,3
SAN PEDRO DE BUENA VISTA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,10,10
SAN PEDRO DE MACHA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,11,11
SAN PEDRO DE QUEMES,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,1,1
SAN PEDRO DE TIQUINA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,1,1
SAN RAMON SCZ,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,6,6
SANTA ANA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,33,33
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,1007,1007
SANTIAGO DE CALLAPA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,1,1
SANTIAGO DE HUATA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,2,2
SANTIAGO DE MACHACA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,1,1
SANTIVAÑES,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,4,4
SANTUARIO DE QUILLACAS,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,1,1
SAPAHAQUI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,2,2
SENA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,4,4
SHINAOTA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,11,11
SICA SICA (VILLA AROMA),atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,14,14
SICAYA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,2,2
SIPE SIPE,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,38,38
SOPACHUY,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,4,4
SORACACHI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,2,2
SORATA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,8,8
SUCRE,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,374,374
TACACHI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,1,1
TACACOMA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,2,2
TACOBAMBA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,1,1
TACOPAYA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,1,1
TAHUA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,2,2
TAPACARI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,3,3
TARABUCO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,12,12
TARACO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,2,2
TARATA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,6,6
TARIJA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,6,6
TARVITA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,16,16
TEOPONTE,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,6,6
TIAHUANACU,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,12,12
TINGUIPAYA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,3,3
TIPUANI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,4,4
TIQUIPAYA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,27,27
TOCO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,1,1
TOLATA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,2,2
TOMAVE,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,5,5
TOMINA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,4,4
TORO TORO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,5,5
TOTORA(CBBA),atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,24,24
TOTORA(ORR),atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,3,3
TUPIZA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,64,64
TURCO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,3,3
UMALA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,2,2
UNCIA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,7,7
URIONDO (A. CONCEPCION),atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,4,4
URUBICHA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,4,4
UYUNI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,1,1
VACAS,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,2,2
VIACHA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,3,3
VILA VILA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,1,1
VILLA CHARCAS,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,14,14
VILLA MONTES,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,3,3
VILLA NUEVA (LOMA ALTA),atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,2,2
VILLA RIVERO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,4,4
VILLA SERRANO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,4,4
VILLA TUNARI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,39,39
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,3,3
VILLAZON,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,36,36
VINTO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,45,45
VITICHI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,4,4
WALDO BALLIVIAN,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,1,1
YACUIBA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,11,11
YAMPARAEZ,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,8,8
YANACACHI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,1,1
YAPACANI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,91,91
YOCALLA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,3,3
YOTALA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,5,5
YUNCHARA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,1,1
ZUDAÑEZ,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-01-01,3,3
ACACIO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,1,1
ACHACACHI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,30,30
ACHOCALLA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,16,16
AIQUILE,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,19,19
ALCALA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,1,1
ALTO BENI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,1,1
ANCORAIMES,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,1,1
ANDAMARCA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,1,1
APOLO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,11,11
ARAMPAMPA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,3,3
ARANI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,3,3
ARBIETO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,4,4
ARQUE,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,30,30
ATOCHA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,5,5
AYATA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,3,3
AYO AYO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,10,10
AZURDUY,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,4,4
BATALLAS,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,5,5
BELLA FLOR,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,2,2
BERMEJO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,18,18
BETANZOS,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,15,15
BOLIVAR,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,2,2
BOYUIBE,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,5,5
CABEZAS,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,5,5
CAIROMA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,6,6
"CAIZA ""D""",atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,6,6
CAJUATA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,9,9
CALAMARCA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,3,3
CAMARGO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,11,11
CAPINOTA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,10,10
CAQUIAVIRI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,1,1
CARACOLLO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,6,6
CARANAVI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,3,3
CARANGAS,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,1,1
CARAPARI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,4,4
CATACORA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,2,2
CHALLAPATA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,3,3
CHAQUI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,8,8
CHARAGUA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,8,8
CHARAÑA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,2,2
CHAYANTA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,6,6
CHIMORE,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,3,3
CHIPAYA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,21,21
CHUMA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2023-02-01,6,6
