municipality,group,variable,month,Tratamientos iniciados con esquema lll,TOTAL
ORURO,tuberculosis,tratamientos iniciados con esquema lll,2006-03-01,2,2
POCONA,tuberculosis,tratamientos iniciados con esquema lll,2006-03-01,1,1
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema lll,2006-03-01,1,1
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2006-03-01,1,1
TIPUANI,tuberculosis,tratamientos iniciados con esquema lll,2006-03-01,1,1
TIRAQUE (CBBA),tuberculosis,tratamientos iniciados con esquema lll,2006-03-01,1,1
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema lll,2006-03-01,1,1
CAMIRI,tuberculosis,tratamientos iniciados con esquema lll,2006-04-01,1,1
CARANAVI,tuberculosis,tratamientos iniciados con esquema lll,2006-04-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2006-04-01,2,2
EL ALTO,tuberculosis,tratamientos iniciados con esquema lll,2006-04-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema lll,2006-04-01,1,1
MONTEAGUDO,tuberculosis,tratamientos iniciados con esquema lll,2006-04-01,1,1
MONTERO,tuberculosis,tratamientos iniciados con esquema lll,2006-04-01,2,2
ORURO,tuberculosis,tratamientos iniciados con esquema lll,2006-04-01,1,1
POTOSI,tuberculosis,tratamientos iniciados con esquema lll,2006-04-01,1,1
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema lll,2006-04-01,1,1
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema lll,2006-04-01,2,2
SAN CARLOS,tuberculosis,tratamientos iniciados con esquema lll,2006-04-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2006-04-01,4,4
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2006-04-01,6,6
TIQUIPAYA,tuberculosis,tratamientos iniciados con esquema lll,2006-04-01,1,1
VIACHA,tuberculosis,tratamientos iniciados con esquema lll,2006-04-01,1,1
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema lll,2006-04-01,2,2
YACUIBA,tuberculosis,tratamientos iniciados con esquema lll,2006-04-01,2,2
CAMIRI,tuberculosis,tratamientos iniciados con esquema lll,2006-05-01,1,1
CARANAVI,tuberculosis,tratamientos iniciados con esquema lll,2006-05-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2006-05-01,2,2
COTAGAITA,tuberculosis,tratamientos iniciados con esquema lll,2006-05-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema lll,2006-05-01,1,1
FERNANDEZ ALONSO,tuberculosis,tratamientos iniciados con esquema lll,2006-05-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema lll,2006-05-01,5,5
MONTERO,tuberculosis,tratamientos iniciados con esquema lll,2006-05-01,1,1
PAILON,tuberculosis,tratamientos iniciados con esquema lll,2006-05-01,2,2
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema lll,2006-05-01,2,2
SAN PEDRO,tuberculosis,tratamientos iniciados con esquema lll,2006-05-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2006-05-01,6,6
SANTA ROSA DEL SARA,tuberculosis,tratamientos iniciados con esquema lll,2006-05-01,1,1
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2006-05-01,5,5
TARIJA,tuberculosis,tratamientos iniciados con esquema lll,2006-05-01,2,2
TIQUIPAYA,tuberculosis,tratamientos iniciados con esquema lll,2006-05-01,2,2
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema lll,2006-05-01,3,3
WARNES,tuberculosis,tratamientos iniciados con esquema lll,2006-05-01,1,1
YACUIBA,tuberculosis,tratamientos iniciados con esquema lll,2006-05-01,1,1
YAPACANI,tuberculosis,tratamientos iniciados con esquema lll,2006-05-01,1,1
BETANZOS,tuberculosis,tratamientos iniciados con esquema lll,2006-06-01,1,1
BOLIVAR,tuberculosis,tratamientos iniciados con esquema lll,2006-06-01,1,1
BUENA VISTA,tuberculosis,tratamientos iniciados con esquema lll,2006-06-01,3,3
CAMIRI,tuberculosis,tratamientos iniciados con esquema lll,2006-06-01,1,1
CARANAVI,tuberculosis,tratamientos iniciados con esquema lll,2006-06-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2006-06-01,1,1
COTAGAITA,tuberculosis,tratamientos iniciados con esquema lll,2006-06-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema lll,2006-06-01,2,2
ENTRE RIOS,tuberculosis,tratamientos iniciados con esquema lll,2006-06-01,1,1
ICLA,tuberculosis,tratamientos iniciados con esquema lll,2006-06-01,1,1
LA GUARDIA,tuberculosis,tratamientos iniciados con esquema lll,2006-06-01,2,2
LA PAZ,tuberculosis,tratamientos iniciados con esquema lll,2006-06-01,1,1
MONTERO,tuberculosis,tratamientos iniciados con esquema lll,2006-06-01,2,2
POTOSI,tuberculosis,tratamientos iniciados con esquema lll,2006-06-01,2,2
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema lll,2006-06-01,1,1
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema lll,2006-06-01,3,3
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2006-06-01,3,3
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2006-06-01,6,6
TIQUIPAYA,tuberculosis,tratamientos iniciados con esquema lll,2006-06-01,2,2
TUPIZA,tuberculosis,tratamientos iniciados con esquema lll,2006-06-01,1,1
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema lll,2006-06-01,1,1
CARANAVI,tuberculosis,tratamientos iniciados con esquema lll,2006-07-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2006-07-01,2,2
CUCHUMUELA (V. G. VILLARROEL),tuberculosis,tratamientos iniciados con esquema lll,2006-07-01,4,4
EL ALTO,tuberculosis,tratamientos iniciados con esquema lll,2006-07-01,2,2
ENTRE RIOS,tuberculosis,tratamientos iniciados con esquema lll,2006-07-01,1,1
ENTRE RIOS,tuberculosis,tratamientos iniciados con esquema lll,2006-07-01,2,2
FERNANDEZ ALONSO,tuberculosis,tratamientos iniciados con esquema lll,2006-07-01,1,1
MONTERO,tuberculosis,tratamientos iniciados con esquema lll,2006-07-01,1,1
MORO MORO,tuberculosis,tratamientos iniciados con esquema lll,2006-07-01,1,1
PADILLA,tuberculosis,tratamientos iniciados con esquema lll,2006-07-01,1,1
PAILON,tuberculosis,tratamientos iniciados con esquema lll,2006-07-01,1,1
POTOSI,tuberculosis,tratamientos iniciados con esquema lll,2006-07-01,2,2
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema lll,2006-07-01,1,1
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema lll,2006-07-01,1,1
RIBERALTA,tuberculosis,tratamientos iniciados con esquema lll,2006-07-01,2,2
SACABA,tuberculosis,tratamientos iniciados con esquema lll,2006-07-01,1,1
SAN CARLOS,tuberculosis,tratamientos iniciados con esquema lll,2006-07-01,1,1
SAN IGNACIO DE VELASCO,tuberculosis,tratamientos iniciados con esquema lll,2006-07-01,1,1
SAN JULIAN,tuberculosis,tratamientos iniciados con esquema lll,2006-07-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2006-07-01,3,3
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2006-07-01,6,6
TARIJA,tuberculosis,tratamientos iniciados con esquema lll,2006-07-01,1,1
TIRAQUE (CBBA),tuberculosis,tratamientos iniciados con esquema lll,2006-07-01,1,1
VILLA MONTES,tuberculosis,tratamientos iniciados con esquema lll,2006-07-01,2,2
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema lll,2006-07-01,2,2
VINTO,tuberculosis,tratamientos iniciados con esquema lll,2006-07-01,1,1
WARNES,tuberculosis,tratamientos iniciados con esquema lll,2006-07-01,2,2
CAMIRI,tuberculosis,tratamientos iniciados con esquema lll,2006-08-01,2,2
CHIMORE,tuberculosis,tratamientos iniciados con esquema lll,2006-08-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2006-08-01,1,1
COROICO,tuberculosis,tratamientos iniciados con esquema lll,2006-08-01,1,1
COTAGAITA,tuberculosis,tratamientos iniciados con esquema lll,2006-08-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema lll,2006-08-01,1,1
ENTRE RIOS,tuberculosis,tratamientos iniciados con esquema lll,2006-08-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema lll,2006-08-01,2,2
LLALLAGUA,tuberculosis,tratamientos iniciados con esquema lll,2006-08-01,3,3
MINEROS,tuberculosis,tratamientos iniciados con esquema lll,2006-08-01,1,1
MIZQUE,tuberculosis,tratamientos iniciados con esquema lll,2006-08-01,2,2
MONTERO,tuberculosis,tratamientos iniciados con esquema lll,2006-08-01,2,2
POTOSI,tuberculosis,tratamientos iniciados con esquema lll,2006-08-01,2,2
PUERTO ACOSTA,tuberculosis,tratamientos iniciados con esquema lll,2006-08-01,1,1
SAN IGNACIO DE VELASCO,tuberculosis,tratamientos iniciados con esquema lll,2006-08-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2006-08-01,2,2
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2006-08-01,11,11
TARIJA,tuberculosis,tratamientos iniciados con esquema lll,2006-08-01,1,1
TRINIDAD,tuberculosis,tratamientos iniciados con esquema lll,2006-08-01,1,1
UNCIA,tuberculosis,tratamientos iniciados con esquema lll,2006-08-01,1,1
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema lll,2006-08-01,5,5
YAPACANI,tuberculosis,tratamientos iniciados con esquema lll,2006-08-01,1,1
BETANZOS,tuberculosis,tratamientos iniciados con esquema lll,2006-09-01,1,1
BUENA VISTA,tuberculosis,tratamientos iniciados con esquema lll,2006-09-01,1,1
CLIZA,tuberculosis,tratamientos iniciados con esquema lll,2006-09-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2006-09-01,2,2
COROICO,tuberculosis,tratamientos iniciados con esquema lll,2006-09-01,1,1
COTOCA,tuberculosis,tratamientos iniciados con esquema lll,2006-09-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema lll,2006-09-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema lll,2006-09-01,5,5
MONTERO,tuberculosis,tratamientos iniciados con esquema lll,2006-09-01,2,2
PUERTO SUAREZ,tuberculosis,tratamientos iniciados con esquema lll,2006-09-01,1,1
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema lll,2006-09-01,1,1
RURRENABAQUE,tuberculosis,tratamientos iniciados con esquema lll,2006-09-01,1,1
SAN IGNACIO,tuberculosis,tratamientos iniciados con esquema lll,2006-09-01,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2006-09-01,1,1
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2006-09-01,10,10
TARIJA,tuberculosis,tratamientos iniciados con esquema lll,2006-09-01,1,1
TORO TORO,tuberculosis,tratamientos iniciados con esquema lll,2006-09-01,1,1
TRINIDAD,tuberculosis,tratamientos iniciados con esquema lll,2006-09-01,1,1
UYUNI,tuberculosis,tratamientos iniciados con esquema lll,2006-09-01,1,1
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema lll,2006-09-01,4,4
YACUIBA,tuberculosis,tratamientos iniciados con esquema lll,2006-09-01,2,2
CARANAVI,tuberculosis,tratamientos iniciados con esquema lll,2006-10-01,1,1
COBIJA,tuberculosis,tratamientos iniciados con esquema lll,2006-10-01,2,2
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2006-10-01,2,2
COTOCA,tuberculosis,tratamientos iniciados con esquema lll,2006-10-01,1,1
ENTRE RIOS,tuberculosis,tratamientos iniciados con esquema lll,2006-10-01,1,1
LA ASUNTA,tuberculosis,tratamientos iniciados con esquema lll,2006-10-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema lll,2006-10-01,2,2
MONTERO,tuberculosis,tratamientos iniciados con esquema lll,2006-10-01,1,1
ORURO,tuberculosis,tratamientos iniciados con esquema lll,2006-10-01,1,1
PUNA,tuberculosis,tratamientos iniciados con esquema lll,2006-10-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2006-10-01,5,5
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2006-10-01,10,10
TARIJA,tuberculosis,tratamientos iniciados con esquema lll,2006-10-01,1,1
TIQUIPAYA,tuberculosis,tratamientos iniciados con esquema lll,2006-10-01,7,7
TUPIZA,tuberculosis,tratamientos iniciados con esquema lll,2006-10-01,1,1
VALLEGRANDE,tuberculosis,tratamientos iniciados con esquema lll,2006-10-01,1,1
YACUIBA,tuberculosis,tratamientos iniciados con esquema lll,2006-10-01,1,1
YOTALA,tuberculosis,tratamientos iniciados con esquema lll,2006-10-01,1,1
CAMIRI,tuberculosis,tratamientos iniciados con esquema lll,2006-11-01,4,4
CARANAVI,tuberculosis,tratamientos iniciados con esquema lll,2006-11-01,1,1
COLCAPIRHUA,tuberculosis,tratamientos iniciados con esquema lll,2006-11-01,1,1
CUCHUMUELA (V. G. VILLARROEL),tuberculosis,tratamientos iniciados con esquema lll,2006-11-01,6,6
EL ALTO,tuberculosis,tratamientos iniciados con esquema lll,2006-11-01,2,2
ENTRE RIOS,tuberculosis,tratamientos iniciados con esquema lll,2006-11-01,1,1
LA ASUNTA,tuberculosis,tratamientos iniciados con esquema lll,2006-11-01,1,1
LA GUARDIA,tuberculosis,tratamientos iniciados con esquema lll,2006-11-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema lll,2006-11-01,5,5
MONTERO,tuberculosis,tratamientos iniciados con esquema lll,2006-11-01,3,3
ORURO,tuberculosis,tratamientos iniciados con esquema lll,2006-11-01,1,1
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema lll,2006-11-01,2,2
SAN CARLOS,tuberculosis,tratamientos iniciados con esquema lll,2006-11-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2006-11-01,4,4
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2006-11-01,3,3
VILLA MONTES,tuberculosis,tratamientos iniciados con esquema lll,2006-11-01,2,2
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema lll,2006-11-01,1,1
VINTO,tuberculosis,tratamientos iniciados con esquema lll,2006-11-01,1,1
CARANAVI,tuberculosis,tratamientos iniciados con esquema lll,2006-12-01,2,2
CUCHUMUELA (V. G. VILLARROEL),tuberculosis,tratamientos iniciados con esquema lll,2006-12-01,2,2
EL ALTO,tuberculosis,tratamientos iniciados con esquema lll,2006-12-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema lll,2006-12-01,2,2
LLALLAGUA,tuberculosis,tratamientos iniciados con esquema lll,2006-12-01,1,1
MONTEAGUDO,tuberculosis,tratamientos iniciados con esquema lll,2006-12-01,1,1
MONTERO,tuberculosis,tratamientos iniciados con esquema lll,2006-12-01,2,2
POTOSI,tuberculosis,tratamientos iniciados con esquema lll,2006-12-01,1,1
PUERTO ACOSTA,tuberculosis,tratamientos iniciados con esquema lll,2006-12-01,1,1
SACABA,tuberculosis,tratamientos iniciados con esquema lll,2006-12-01,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2006-12-01,4,4
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2006-12-01,2,2
TIQUIPAYA,tuberculosis,tratamientos iniciados con esquema lll,2006-12-01,1,1
TIRAQUE (CBBA),tuberculosis,tratamientos iniciados con esquema lll,2006-12-01,3,3
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema lll,2006-12-01,1,1
WARNES,tuberculosis,tratamientos iniciados con esquema lll,2006-12-01,1,1
YACUIBA,tuberculosis,tratamientos iniciados con esquema lll,2006-12-01,1,1
YAPACANI,tuberculosis,tratamientos iniciados con esquema lll,2006-12-01,1,1
