municipality,group,variable,month,Tratamientos iniciados con esquema l,TOTAL
PRESTO,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
PUERTO CARABUCO,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,2,2
PUERTO GONZALO MORENO,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
PUERTO QUIJARRO,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,6,6
PUERTO SUAREZ,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,8,8
PUNATA,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
QUIABAYA,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,4,4
RIBERALTA,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,5,5
RURRENABAQUE,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,2,2
SACABA,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,6,6
SAMAIPATA,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
SAN ANDRES,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
SAN BORJA,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,8,8
SAN IGNACIO DE VELASCO,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,3,3
SAN JULIAN,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,3,3
SAN LUCAS,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,2,2
SAN MATIAS,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
SAN MIGUEL DE VELASCO,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,2,2
SAN PEDRO,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,2,2
SAN PEDRO DE BUENA VISTA,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
SANTA ANA,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,113,113
SANTA ROSA DEL SARA,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,2,2
SANTIVAÑES,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
SENA,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,3,3
SICA SICA (VILLA AROMA),tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
SIPE SIPE,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,3,3
SORATA,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,3,3
SUCRE,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,15,15
TACOPAYA,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
TARABUCO,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
TARIJA,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,9,9
TIAWANACU,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
TIPUANI,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,6,6
TIQUIPAYA,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,2,2
TIRAQUE (CBBA),tuberculosis,tratamientos iniciados con esquema l,2006-01-01,2,2
TITO YUPANQUI (PARQUIPUJIO),tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
TOMINA,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,2,2
TRINIDAD,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,4,4
TUPIZA,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
UNCIA,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
VIACHA,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,2,2
VILA VILA,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
VILLA MONTES,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,2,2
VILLA NUEVA (LOMA ALTA),tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
VILLA RIVERO,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,2,2
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,7,7
VILLAZON,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,4,4
VINTO,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,3,3
VITICHI,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
WARNES,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,3,3
YACUIBA,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,12,12
YAMPARAEZ,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,1,1
YANACACHI,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,4,4
YAPACANI,tuberculosis,tratamientos iniciados con esquema l,2006-01-01,7,7
ACHACACHI,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,4,4
ANTEQUERA,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
ARANI,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,2,2
ARBIETO,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
ASCENCION DE GUARAYOS,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,2,2
ATOCHA,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,2,2
AZURDUY,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
BERMEJO,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,11,11
BETANZOS,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
"CAIZA ""D""",tuberculosis,tratamientos iniciados con esquema l,2006-02-01,4,4
CAMARGO,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,3,3
CAMATAQUI (C. VILLA ABECIA),tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
CAMIRI,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,9,9
CAPINOTA,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
CARANAVI,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,8,8
CHALLAPATA,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,2,2
CHARAGUA,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,2,2
CHAYANTA,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
CHIMORE,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,2,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,tratamientos iniciados con esquema l,2006-02-01,6,6
COBIJA,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,2,2
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,22,22
COLOMI,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
COLQUECHACA,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,4,4
CORIPATA,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,7,7
COROICO,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,3,3
COTAGAITA,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,2,2
COTOCA,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,2,2
CULPINA,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
CURVA,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,50,50
EL PUENTE(STC),tuberculosis,tratamientos iniciados con esquema l,2006-02-01,2,2
EL TORNO,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,3,3
ENTRE RIOS,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,2,2
ENTRE RIOS,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,2,2
GENERAL SAAVEDRA,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,2,2
GUANAY,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
GUAYARAMERIN,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
GUTIERREZ,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
HUACHACALLA,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
ICHOCA,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
ICLA,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
LA ASUNTA,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,3,3
LA GUARDIA,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,4,4
LA PAZ,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,93,93
LAJA,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
LICOMA PAMPA,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
LURIBAY,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
MAPIRI,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,3,3
MINEROS,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,3,3
MIZQUE,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,3,3
MONTEAGUDO,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
MONTERO,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,12,12
OKINAWA,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
ORURO,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,8,8
PADCAYA,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
PALOS BLANCOS,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,2,2
POCONA,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
POTOSI,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,9,9
PUCARANI,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
PUERTO CARABUCO,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,2,2
PUERTO GONZALO MORENO,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
PUERTO QUIJARRO,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,6,6
PUNA,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
PUNATA,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,6,6
RIBERALTA,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,6,6
ROBORE,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
SACABA,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,5,5
SACACA,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
SAN ANDRES,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
SAN BORJA,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,4,4
SAN BUENA VENTURA,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
SAN IGNACIO DE VELASCO,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,4,4
SAN JOAQUIN,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
SAN JULIAN,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,3,3
SAN PEDRO,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,3,3
SAN RAMON,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,91,91
SANTA ROSA DEL SARA,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,2,2
SICA SICA (VILLA AROMA),tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
SORATA,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
SUCRE,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,12,12
TACACOMA,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
TARABUCO,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
TARIJA,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,13,13
TEOPONTE,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
TINGUIPAYA,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
TIPUANI,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,5,5
TIQUIPAYA,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
TIRAQUE (CBBA),tuberculosis,tratamientos iniciados con esquema l,2006-02-01,2,2
TITO YUPANQUI (PARQUIPUJIO),tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
TOCO,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
TOLEDO,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
TRINIDAD,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,4,4
TUPIZA,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
UNCIA,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,3,3
UYUNI,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,2,2
VIACHA,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,3,3
VILLA NUEVA (LOMA ALTA),tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,4,4
VILLAZON,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
VITICHI,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
WARNES,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,4,4
YACUIBA,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,4,4
YAMPARAEZ,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
YANACACHI,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
YAPACANI,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,2,2
YOTALA,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
ZUDAÑEZ,tuberculosis,tratamientos iniciados con esquema l,2006-02-01,1,1
ACHACACHI,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,3,3
ACHOCALLA,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
ANCORAIMES,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
ANTEQUERA,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
ANZALDO,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,3,3
APOLO,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
ARAMPAMPA,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
ARBIETO,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
ASCENCION DE GUARAYOS,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
ATOCHA,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
BELEN DE ANDAMARCA,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
BERMEJO,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,6,6
BETANZOS,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
BUENA VISTA,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,4,4
CAJUATA,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
CALAMARCA,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
CAMARGO,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,2,2
CAMATAQUI (C. VILLA ABECIA),tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
CAMIRI,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
CARACOLLO,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
CARANAVI,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,9,9
CHARAGUA,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,2,2
CHIMORE,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,4,4
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,tratamientos iniciados con esquema l,2006-03-01,8,8
COBIJA,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,8,8
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,35,35
COLCAPIRHUA,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,3,3
COLPA BELGICA,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
COLQUECHACA,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,2,2
COLQUIRI,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
COMARAPA,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,2,2
CONCEPCION,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
COPACABANA,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
CORIPATA,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
CORO CORO,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
COROICO,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,4,4
COTAGAITA,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
COTOCA,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,5,5
CUATRO CAÑADAS,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
CULPINA,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,35,35
EL TORNO,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,2,2
ENTRE RIOS,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,2,2
ENTRE RIOS,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,3,3
FERNANDEZ ALONSO,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
GENERAL SAAVEDRA,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis,tratamientos iniciados con esquema l,2006-03-01,3,3
GUANAY,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,2,2
GUAYARAMERIN,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
GUTIERREZ,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,2,2
HUANUNI,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,2,2
ICLA,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,2,2
INCAHUASI,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,4,4
IRUPANA (VILLA DE LANZA),tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
LA ASUNTA,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,10,10
LA GUARDIA,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,2,2
LA PAZ,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,106,106
LAGUNILLAS,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
LICOMA PAMPA,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
LLALLAGUA,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
MAPIRI,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,2,2
MINEROS,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,2,2
MOJOCOYA,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
MONTEAGUDO,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,3,3
MONTERO,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,12,12
OCURI,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
OKINAWA,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,2,2
ORURO,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,7,7
PADILLA,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,3,3
PALOS BLANCOS,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,7,7
PATACAMAYA,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
POCONA,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,2,2
POJO (CBBA),tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
POROMA,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
PORONGO,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
POTOSI,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,16,16
PUERTO ACOSTA,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
PUERTO CARABUCO,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
PUERTO QUIJARRO,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
PUERTO RICO,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,5,5
PUNATA,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,4,4
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,7,7
REYES,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
RIBERALTA,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,12,12
RURRENABAQUE,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
SACABA,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,5,5
SAN BORJA,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,8,8
SAN BUENA VENTURA,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,2,2
SAN IGNACIO DE VELASCO,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
SAN JOSE DE CHIQUITOS,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
SAN JUAN DE YAPACANI,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
SAN JULIAN,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
SAN LORENZO(TJA),tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
SAN LUCAS,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
SAN MATIAS,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,2,2
SAN PEDRO,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
SAN PEDRO DE BUENA VISTA,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
SANTA ANA,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,99,99
SANTA ROSA DEL SARA,tuberculosis,tratamientos iniciados con esquema l,2006-03-01,2,2
