municipality,group,variable,month,Tratamientos iniciados con esquema ll,TOTAL
TARIJA,tuberculosis,tratamientos iniciados con esquema ll,2006-03-01,2,2
TIPUANI,tuberculosis,tratamientos iniciados con esquema ll,2006-03-01,2,2
UNCIA,tuberculosis,tratamientos iniciados con esquema ll,2006-03-01,3,3
URIONDO (A. CONCEPCION),tuberculosis,tratamientos iniciados con esquema ll,2006-03-01,1,1
VITICHI,tuberculosis,tratamientos iniciados con esquema ll,2006-03-01,1,1
WARNES,tuberculosis,tratamientos iniciados con esquema ll,2006-03-01,1,1
YACUIBA,tuberculosis,tratamientos iniciados con esquema ll,2006-03-01,3,3
YANACACHI,tuberculosis,tratamientos iniciados con esquema ll,2006-03-01,1,1
ANTEQUERA,tuberculosis,tratamientos iniciados con esquema ll,2006-04-01,1,1
ANZALDO,tuberculosis,tratamientos iniciados con esquema ll,2006-04-01,1,1
ARBIETO,tuberculosis,tratamientos iniciados con esquema ll,2006-04-01,1,1
BERMEJO,tuberculosis,tratamientos iniciados con esquema ll,2006-04-01,1,1
BETANZOS,tuberculosis,tratamientos iniciados con esquema ll,2006-04-01,1,1
BUENA VISTA,tuberculosis,tratamientos iniciados con esquema ll,2006-04-01,2,2
CARANAVI,tuberculosis,tratamientos iniciados con esquema ll,2006-04-01,1,1
CARMEN RIVERO TORREZ,tuberculosis,tratamientos iniciados con esquema ll,2006-04-01,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,tratamientos iniciados con esquema ll,2006-04-01,2,2
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema ll,2006-04-01,2,2
CUATRO CAÑADAS,tuberculosis,tratamientos iniciados con esquema ll,2006-04-01,3,3
EL ALTO,tuberculosis,tratamientos iniciados con esquema ll,2006-04-01,5,5
EL TORNO,tuberculosis,tratamientos iniciados con esquema ll,2006-04-01,1,1
LA ASUNTA,tuberculosis,tratamientos iniciados con esquema ll,2006-04-01,3,3
LA PAZ,tuberculosis,tratamientos iniciados con esquema ll,2006-04-01,10,10
MAPIRI,tuberculosis,tratamientos iniciados con esquema ll,2006-04-01,1,1
MINEROS,tuberculosis,tratamientos iniciados con esquema ll,2006-04-01,1,1
MIZQUE,tuberculosis,tratamientos iniciados con esquema ll,2006-04-01,1,1
MONTERO,tuberculosis,tratamientos iniciados con esquema ll,2006-04-01,1,1
POTOSI,tuberculosis,tratamientos iniciados con esquema ll,2006-04-01,1,1
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema ll,2006-04-01,1,1
RIBERALTA,tuberculosis,tratamientos iniciados con esquema ll,2006-04-01,1,1
SACABA,tuberculosis,tratamientos iniciados con esquema ll,2006-04-01,1,1
SAN CARLOS,tuberculosis,tratamientos iniciados con esquema ll,2006-04-01,1,1
SAN IGNACIO,tuberculosis,tratamientos iniciados con esquema ll,2006-04-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema ll,2006-04-01,10,10
SANTIAGO DE HUARI,tuberculosis,tratamientos iniciados con esquema ll,2006-04-01,1,1
SUCRE,tuberculosis,tratamientos iniciados con esquema ll,2006-04-01,1,1
TAPACARI,tuberculosis,tratamientos iniciados con esquema ll,2006-04-01,1,1
TARIJA,tuberculosis,tratamientos iniciados con esquema ll,2006-04-01,3,3
TIPUANI,tuberculosis,tratamientos iniciados con esquema ll,2006-04-01,1,1
TOLEDO,tuberculosis,tratamientos iniciados con esquema ll,2006-04-01,1,1
TRINIDAD,tuberculosis,tratamientos iniciados con esquema ll,2006-04-01,1,1
TUPIZA,tuberculosis,tratamientos iniciados con esquema ll,2006-04-01,2,2
UNCIA,tuberculosis,tratamientos iniciados con esquema ll,2006-04-01,2,2
UYUNI,tuberculosis,tratamientos iniciados con esquema ll,2006-04-01,1,1
VITICHI,tuberculosis,tratamientos iniciados con esquema ll,2006-04-01,2,2
YAPACANI,tuberculosis,tratamientos iniciados con esquema ll,2006-04-01,1,1
ACHACACHI,tuberculosis,tratamientos iniciados con esquema ll,2006-05-01,1,1
ANTEQUERA,tuberculosis,tratamientos iniciados con esquema ll,2006-05-01,1,1
ANZALDO,tuberculosis,tratamientos iniciados con esquema ll,2006-05-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis,tratamientos iniciados con esquema ll,2006-05-01,1,1
BERMEJO,tuberculosis,tratamientos iniciados con esquema ll,2006-05-01,3,3
CAMIRI,tuberculosis,tratamientos iniciados con esquema ll,2006-05-01,2,2
CARANAVI,tuberculosis,tratamientos iniciados con esquema ll,2006-05-01,1,1
CARMEN RIVERO TORREZ,tuberculosis,tratamientos iniciados con esquema ll,2006-05-01,1,1
CHIMORE,tuberculosis,tratamientos iniciados con esquema ll,2006-05-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema ll,2006-05-01,4,4
COLQUECHACA,tuberculosis,tratamientos iniciados con esquema ll,2006-05-01,2,2
EL ALTO,tuberculosis,tratamientos iniciados con esquema ll,2006-05-01,4,4
EL TORNO,tuberculosis,tratamientos iniciados con esquema ll,2006-05-01,1,1
ENTRE RIOS,tuberculosis,tratamientos iniciados con esquema ll,2006-05-01,1,1
GUANAY,tuberculosis,tratamientos iniciados con esquema ll,2006-05-01,1,1
GUTIERREZ,tuberculosis,tratamientos iniciados con esquema ll,2006-05-01,1,1
INQUISIVI,tuberculosis,tratamientos iniciados con esquema ll,2006-05-01,1,1
LA GUARDIA,tuberculosis,tratamientos iniciados con esquema ll,2006-05-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema ll,2006-05-01,3,3
MONTERO,tuberculosis,tratamientos iniciados con esquema ll,2006-05-01,2,2
OKINAWA,tuberculosis,tratamientos iniciados con esquema ll,2006-05-01,1,1
PALOS BLANCOS,tuberculosis,tratamientos iniciados con esquema ll,2006-05-01,2,2
POCONA,tuberculosis,tratamientos iniciados con esquema ll,2006-05-01,1,1
POROMA,tuberculosis,tratamientos iniciados con esquema ll,2006-05-01,1,1
PORTACHUELO,tuberculosis,tratamientos iniciados con esquema ll,2006-05-01,1,1
POTOSI,tuberculosis,tratamientos iniciados con esquema ll,2006-05-01,1,1
PUERTO QUIJARRO,tuberculosis,tratamientos iniciados con esquema ll,2006-05-01,1,1
PUERTO RICO,tuberculosis,tratamientos iniciados con esquema ll,2006-05-01,1,1
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema ll,2006-05-01,2,2
SAN MATIAS,tuberculosis,tratamientos iniciados con esquema ll,2006-05-01,1,1
SAN PEDRO,tuberculosis,tratamientos iniciados con esquema ll,2006-05-01,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema ll,2006-05-01,14,14
SAPAHAQUI,tuberculosis,tratamientos iniciados con esquema ll,2006-05-01,1,1
SORATA,tuberculosis,tratamientos iniciados con esquema ll,2006-05-01,1,1
SUCRE,tuberculosis,tratamientos iniciados con esquema ll,2006-05-01,2,2
TARIJA,tuberculosis,tratamientos iniciados con esquema ll,2006-05-01,2,2
TRINIDAD,tuberculosis,tratamientos iniciados con esquema ll,2006-05-01,1,1
TUPIZA,tuberculosis,tratamientos iniciados con esquema ll,2006-05-01,2,2
UNCIA,tuberculosis,tratamientos iniciados con esquema ll,2006-05-01,2,2
VIACHA,tuberculosis,tratamientos iniciados con esquema ll,2006-05-01,1,1
VILLAZON,tuberculosis,tratamientos iniciados con esquema ll,2006-05-01,1,1
YACO,tuberculosis,tratamientos iniciados con esquema ll,2006-05-01,1,1
YACUIBA,tuberculosis,tratamientos iniciados con esquema ll,2006-05-01,2,2
YAPACANI,tuberculosis,tratamientos iniciados con esquema ll,2006-05-01,1,1
BERMEJO,tuberculosis,tratamientos iniciados con esquema ll,2006-06-01,1,1
CAIROMA,tuberculosis,tratamientos iniciados con esquema ll,2006-06-01,1,1
"CAIZA ""D""",tuberculosis,tratamientos iniciados con esquema ll,2006-06-01,1,1
CARANAVI,tuberculosis,tratamientos iniciados con esquema ll,2006-06-01,4,4
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,tratamientos iniciados con esquema ll,2006-06-01,1,1
CHUMA,tuberculosis,tratamientos iniciados con esquema ll,2006-06-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema ll,2006-06-01,5,5
COLPA BELGICA,tuberculosis,tratamientos iniciados con esquema ll,2006-06-01,1,1
COROICO,tuberculosis,tratamientos iniciados con esquema ll,2006-06-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema ll,2006-06-01,3,3
EL TORNO,tuberculosis,tratamientos iniciados con esquema ll,2006-06-01,1,1
GUTIERREZ,tuberculosis,tratamientos iniciados con esquema ll,2006-06-01,1,1
LA GUARDIA,tuberculosis,tratamientos iniciados con esquema ll,2006-06-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema ll,2006-06-01,4,4
LLALLAGUA,tuberculosis,tratamientos iniciados con esquema ll,2006-06-01,1,1
MAPIRI,tuberculosis,tratamientos iniciados con esquema ll,2006-06-01,1,1
MOROCHATA,tuberculosis,tratamientos iniciados con esquema ll,2006-06-01,1,1
OKINAWA,tuberculosis,tratamientos iniciados con esquema ll,2006-06-01,1,1
ORURO,tuberculosis,tratamientos iniciados con esquema ll,2006-06-01,1,1
PADCAYA,tuberculosis,tratamientos iniciados con esquema ll,2006-06-01,1,1
POCONA,tuberculosis,tratamientos iniciados con esquema ll,2006-06-01,1,1
POTOSI,tuberculosis,tratamientos iniciados con esquema ll,2006-06-01,1,1
PUERTO SILES,tuberculosis,tratamientos iniciados con esquema ll,2006-06-01,1,1
RIBERALTA,tuberculosis,tratamientos iniciados con esquema ll,2006-06-01,1,1
SAN BORJA,tuberculosis,tratamientos iniciados con esquema ll,2006-06-01,1,1
SAN JOSE DE CHIQUITOS,tuberculosis,tratamientos iniciados con esquema ll,2006-06-01,1,1
SAN JULIAN,tuberculosis,tratamientos iniciados con esquema ll,2006-06-01,1,1
SAN PEDRO,tuberculosis,tratamientos iniciados con esquema ll,2006-06-01,1,1
SANTA ANA,tuberculosis,tratamientos iniciados con esquema ll,2006-06-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema ll,2006-06-01,12,12
SORATA,tuberculosis,tratamientos iniciados con esquema ll,2006-06-01,1,1
TARIJA,tuberculosis,tratamientos iniciados con esquema ll,2006-06-01,1,1
TIPUANI,tuberculosis,tratamientos iniciados con esquema ll,2006-06-01,1,1
TIQUIPAYA,tuberculosis,tratamientos iniciados con esquema ll,2006-06-01,1,1
TRINIDAD,tuberculosis,tratamientos iniciados con esquema ll,2006-06-01,2,2
TUPIZA,tuberculosis,tratamientos iniciados con esquema ll,2006-06-01,3,3
UNCIA,tuberculosis,tratamientos iniciados con esquema ll,2006-06-01,1,1
VILLA MONTES,tuberculosis,tratamientos iniciados con esquema ll,2006-06-01,1,1
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema ll,2006-06-01,3,3
YACUIBA,tuberculosis,tratamientos iniciados con esquema ll,2006-06-01,1,1
BUENA VISTA,tuberculosis,tratamientos iniciados con esquema ll,2006-07-01,2,2
CAMIRI,tuberculosis,tratamientos iniciados con esquema ll,2006-07-01,2,2
CARANAVI,tuberculosis,tratamientos iniciados con esquema ll,2006-07-01,3,3
CHARAGUA,tuberculosis,tratamientos iniciados con esquema ll,2006-07-01,2,2
CHIMORE,tuberculosis,tratamientos iniciados con esquema ll,2006-07-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema ll,2006-07-01,1,1
COLOMI,tuberculosis,tratamientos iniciados con esquema ll,2006-07-01,1,1
CUATRO CAÑADAS,tuberculosis,tratamientos iniciados con esquema ll,2006-07-01,1,1
CUCHUMUELA (V. G. VILLARROEL),tuberculosis,tratamientos iniciados con esquema ll,2006-07-01,5,5
EL ALTO,tuberculosis,tratamientos iniciados con esquema ll,2006-07-01,5,5
FERNANDEZ ALONSO,tuberculosis,tratamientos iniciados con esquema ll,2006-07-01,1,1
GUANAY,tuberculosis,tratamientos iniciados con esquema ll,2006-07-01,1,1
LA ASUNTA,tuberculosis,tratamientos iniciados con esquema ll,2006-07-01,2,2
LA GUARDIA,tuberculosis,tratamientos iniciados con esquema ll,2006-07-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema ll,2006-07-01,9,9
LAGUNILLAS,tuberculosis,tratamientos iniciados con esquema ll,2006-07-01,1,1
MOROCHATA,tuberculosis,tratamientos iniciados con esquema ll,2006-07-01,2,2
POTOSI,tuberculosis,tratamientos iniciados con esquema ll,2006-07-01,4,4
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema ll,2006-07-01,1,1
PUNA,tuberculosis,tratamientos iniciados con esquema ll,2006-07-01,3,3
RIBERALTA,tuberculosis,tratamientos iniciados con esquema ll,2006-07-01,1,1
ROBORE,tuberculosis,tratamientos iniciados con esquema ll,2006-07-01,1,1
RURRENABAQUE,tuberculosis,tratamientos iniciados con esquema ll,2006-07-01,1,1
SAN BORJA,tuberculosis,tratamientos iniciados con esquema ll,2006-07-01,1,1
SAN BUENA VENTURA,tuberculosis,tratamientos iniciados con esquema ll,2006-07-01,1,1
SAN JULIAN,tuberculosis,tratamientos iniciados con esquema ll,2006-07-01,1,1
SAN PEDRO,tuberculosis,tratamientos iniciados con esquema ll,2006-07-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema ll,2006-07-01,17,17
SUCRE,tuberculosis,tratamientos iniciados con esquema ll,2006-07-01,4,4
TARIJA,tuberculosis,tratamientos iniciados con esquema ll,2006-07-01,1,1
TIAWANACU,tuberculosis,tratamientos iniciados con esquema ll,2006-07-01,1,1
TIPUANI,tuberculosis,tratamientos iniciados con esquema ll,2006-07-01,1,1
TIQUIPAYA,tuberculosis,tratamientos iniciados con esquema ll,2006-07-01,1,1
TIRAQUE (CBBA),tuberculosis,tratamientos iniciados con esquema ll,2006-07-01,1,1
TOMAVE,tuberculosis,tratamientos iniciados con esquema ll,2006-07-01,1,1
TRINIDAD,tuberculosis,tratamientos iniciados con esquema ll,2006-07-01,1,1
TUPIZA,tuberculosis,tratamientos iniciados con esquema ll,2006-07-01,1,1
VITICHI,tuberculosis,tratamientos iniciados con esquema ll,2006-07-01,1,1
YAPACANI,tuberculosis,tratamientos iniciados con esquema ll,2006-07-01,3,3
ACHACACHI,tuberculosis,tratamientos iniciados con esquema ll,2006-08-01,1,1
ASCENCION DE GUARAYOS,tuberculosis,tratamientos iniciados con esquema ll,2006-08-01,2,2
CAMIRI,tuberculosis,tratamientos iniciados con esquema ll,2006-08-01,4,4
CHALLAPATA,tuberculosis,tratamientos iniciados con esquema ll,2006-08-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema ll,2006-08-01,1,1
COLCAPIRHUA,tuberculosis,tratamientos iniciados con esquema ll,2006-08-01,1,1
COLPA BELGICA,tuberculosis,tratamientos iniciados con esquema ll,2006-08-01,1,1
CORIPATA,tuberculosis,tratamientos iniciados con esquema ll,2006-08-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema ll,2006-08-01,3,3
LA ASUNTA,tuberculosis,tratamientos iniciados con esquema ll,2006-08-01,2,2
LA PAZ,tuberculosis,tratamientos iniciados con esquema ll,2006-08-01,7,7
LLALLAGUA,tuberculosis,tratamientos iniciados con esquema ll,2006-08-01,5,5
MONTERO,tuberculosis,tratamientos iniciados con esquema ll,2006-08-01,2,2
ORURO,tuberculosis,tratamientos iniciados con esquema ll,2006-08-01,1,1
PAILON,tuberculosis,tratamientos iniciados con esquema ll,2006-08-01,1,1
POTOSI,tuberculosis,tratamientos iniciados con esquema ll,2006-08-01,1,1
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema ll,2006-08-01,1,1
PUNA,tuberculosis,tratamientos iniciados con esquema ll,2006-08-01,1,1
RIBERALTA,tuberculosis,tratamientos iniciados con esquema ll,2006-08-01,3,3
SACABA,tuberculosis,tratamientos iniciados con esquema ll,2006-08-01,1,1
SAN MATIAS,tuberculosis,tratamientos iniciados con esquema ll,2006-08-01,1,1
SAN PEDRO DE BUENA VISTA,tuberculosis,tratamientos iniciados con esquema ll,2006-08-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema ll,2006-08-01,21,21
SANTA ROSA DEL SARA,tuberculosis,tratamientos iniciados con esquema ll,2006-08-01,3,3
TIRAQUE (CBBA),tuberculosis,tratamientos iniciados con esquema ll,2006-08-01,2,2
TRINIDAD,tuberculosis,tratamientos iniciados con esquema ll,2006-08-01,1,1
TUPIZA,tuberculosis,tratamientos iniciados con esquema ll,2006-08-01,1,1
UNCIA,tuberculosis,tratamientos iniciados con esquema ll,2006-08-01,1,1
ASCENCION DE GUARAYOS,tuberculosis,tratamientos iniciados con esquema ll,2006-09-01,1,1
BERMEJO,tuberculosis,tratamientos iniciados con esquema ll,2006-09-01,1,1
CAJUATA,tuberculosis,tratamientos iniciados con esquema ll,2006-09-01,1,1
CAMIRI,tuberculosis,tratamientos iniciados con esquema ll,2006-09-01,3,3
CAPINOTA,tuberculosis,tratamientos iniciados con esquema ll,2006-09-01,1,1
CARANAVI,tuberculosis,tratamientos iniciados con esquema ll,2006-09-01,1,1
GUANAY,tuberculosis,tratamientos iniciados con esquema ll,2006-09-01,2,2
HUANUNI,tuberculosis,tratamientos iniciados con esquema ll,2006-09-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema ll,2006-09-01,9,9
MACHARETI,tuberculosis,tratamientos iniciados con esquema ll,2006-09-01,1,1
MONTERO,tuberculosis,tratamientos iniciados con esquema ll,2006-09-01,1,1
ORURO,tuberculosis,tratamientos iniciados con esquema ll,2006-09-01,3,3
PAILON,tuberculosis,tratamientos iniciados con esquema ll,2006-09-01,1,1
PORONGO,tuberculosis,tratamientos iniciados con esquema ll,2006-09-01,1,1
POTOSI,tuberculosis,tratamientos iniciados con esquema ll,2006-09-01,2,2
PUERTO GONZALO MORENO,tuberculosis,tratamientos iniciados con esquema ll,2006-09-01,1,1
PUNATA,tuberculosis,tratamientos iniciados con esquema ll,2006-09-01,1,1
QUIME,tuberculosis,tratamientos iniciados con esquema ll,2006-09-01,1,1
REYES,tuberculosis,tratamientos iniciados con esquema ll,2006-09-01,1,1
RIBERALTA,tuberculosis,tratamientos iniciados con esquema ll,2006-09-01,1,1
SAN BUENA VENTURA,tuberculosis,tratamientos iniciados con esquema ll,2006-09-01,1,1
SAN IGNACIO,tuberculosis,tratamientos iniciados con esquema ll,2006-09-01,1,1
SAN JOAQUIN,tuberculosis,tratamientos iniciados con esquema ll,2006-09-01,1,1
SAN PEDRO,tuberculosis,tratamientos iniciados con esquema ll,2006-09-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema ll,2006-09-01,29,29
SUCRE,tuberculosis,tratamientos iniciados con esquema ll,2006-09-01,3,3
TACACOMA,tuberculosis,tratamientos iniciados con esquema ll,2006-09-01,1,1
TIPUANI,tuberculosis,tratamientos iniciados con esquema ll,2006-09-01,2,2
TIQUIPAYA,tuberculosis,tratamientos iniciados con esquema ll,2006-09-01,1,1
TIRAQUE (CBBA),tuberculosis,tratamientos iniciados con esquema ll,2006-09-01,1,1
URUBICHA,tuberculosis,tratamientos iniciados con esquema ll,2006-09-01,1,1
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema ll,2006-09-01,1,1
YACUIBA,tuberculosis,tratamientos iniciados con esquema ll,2006-09-01,1,1
YAPACANI,tuberculosis,tratamientos iniciados con esquema ll,2006-09-01,2,2
YOTALA,tuberculosis,tratamientos iniciados con esquema ll,2006-09-01,1,1
CABEZAS,tuberculosis,tratamientos iniciados con esquema ll,2006-10-01,1,1
