,group,variable,month,TOTAL ANTIPOLIOMIELÍTICA 5TA. DOSIS (2DO. REFUERZO) DENTRO,TOTAL ANTIPOLIOMIELÍTICA 5TA. DOSIS (2DO. REFUERZO) DENTRO,TOTAL ANTIPOLIOMIELÍTICA 5TA. DOSIS (2DO. REFUERZO) FUERA,TOTAL ANTIPOLIOMIELÍTICA 5TA. DOSIS (2DO. REFUERZO) FUERA,TOTALES
CABEZAS,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,2,6,3,6,17
CAIROMA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,2,6,8,7,23
CAJUATA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,0,0,0,1,1
CALACOTO,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,1,0,0,1,2
CALAMARCA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,2,1,1,0,4
CAMARGO,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,9,7,0,0,16
CAMATAQUI (C. VILLA ABECIA),vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,2,1,1,2,6
CAMIRI,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,9,9,4,5,27
CAPINOTA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,10,7,8,10,35
CAQUIAVIRI,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,0,4,1,1,6
CARACOLLO,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,5,1,1,0,7
CARANAVI,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,13,7,4,2,26
CARAPARI,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,4,11,4,2,21
CARIPUYO,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,1,1,0,0,2
CARMEN RIVERO TORREZ,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,2,0,0,0,2
CATACORA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,1,0,0,0,1
CHALLAPATA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,10,5,3,2,20
CHAQUI,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,1,0,0,0,1
CHARAGUA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,5,0,1,0,6
CHARAÑA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,1,0,0,0,1
CHIMORE,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,5,5,1,3,14
CHIPAYA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,0,0,1,0,1
CHOQUE COTA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,0,0,0,1,1
CHUA COCANI,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,1,1,2,2,6
CHULUMANI (V. DE LA LIBERTAD),vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,5,5,0,0,10
CHUMA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,1,2,3,0,6
CKOCHAS,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,1,1,0,0,2
CLIZA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,9,8,2,4,23
COBIJA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,21,24,4,4,53
COCAPATA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,0,0,4,1,5
COCHABAMBA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,172,151,58,56,437
COLCAPIRHUA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,0,2,0,0,2
"COLCHA ""K""",vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,1,1,0,0,2
COLLANA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,0,2,0,0,2
COLOMI,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,3,1,0,1,5
COLPA BELGICA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,0,2,0,1,3
COLQUECHACA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,2,3,2,2,9
COLQUIRI,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,0,0,2,0,2
COMARAPA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,5,3,1,0,9
CONCEPCION,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,4,5,10,8,27
COPACABANA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,1,1,4,6,12
CORIPATA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,1,1,0,0,2
CORO CORO,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,1,2,0,0,3
COROICO,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,0,3,0,0,3
COTAGAITA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,3,3,3,0,9
COTOCA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,7,9,4,3,23
CUATRO CAÑADAS,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,4,11,1,7,23
CUEVO,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,0,1,2,1,4
CULPINA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,4,2,0,0,6
CURAHUARA DE CARANGAS,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,0,0,1,0,1
DESAGUADERO,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,0,1,1,1,3
EL ALTO,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,219,243,69,83,614
EL PUENTE(STC),vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,0,4,0,0,4
EL PUENTE(TJA),vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,7,5,1,1,14
EL TORNO,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,27,27,4,9,67
EL VILLAR,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,1,1,0,0,2
ENTRE RIOS TRJ,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,9,8,10,13,40
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,4,8,0,1,13
EUCALIPTUS,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,0,1,0,1,2
EUREKA (SANTOS MERCADO),vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,0,0,0,3,3
FERNANDEZ ALONSO,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,4,3,3,2,12
FILADELFIA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,2,1,2,0,5
GENERAL SAAVEDRA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,6,6,2,2,16
GUANAY,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,7,5,10,3,25
GUAYARAMERIN,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,16,12,2,0,30
GUTIERREZ,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,0,1,1,0,2
HUACARETA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,5,0,1,7,13
HUACAYA (VILLA DE HUACAYA),vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,0,0,3,0,3
HUANUNI,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,11,16,0,3,30
HUARINA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,3,0,0,0,3
HUAYLLAMARCA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,0,1,0,2,3
ICHOCA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,0,2,0,0,2
ICLA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,2,5,2,0,9
INCAHUASI,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,3,1,0,3,7
INQUISIVI,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,1,2,0,1,4
IRUPANA (VILLA DE LANZA),vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,1,4,1,2,8
IXIAMAS,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,0,3,0,0,3
JESUS DE MACHACA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,0,2,0,0,2
LA ASUNTA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,12,5,2,5,24
LA GUARDIA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,19,19,2,1,41
LA PAZ,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,284,298,0,2,584
LAGUNILLAS,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,0,4,1,0,5
LAJA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,3,4,0,0,7
LAS CARRERAS,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,0,0,1,0,1
LICOMA PAMPA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,0,1,0,0,1
LLALLAGUA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,2,0,2,3,7
LLICA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,2,3,0,0,5
LORETO,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,1,0,0,1,2
LURIBAY,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,1,0,0,0,1
MACHACAMARCA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,2,0,1,0,3
MACHARETI,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,3,3,4,2,12
MAGDALENA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,8,10,4,0,22
MAIRANA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,1,7,1,1,10
MAPIRI,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,4,4,4,4,16
MECAPACA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,3,0,0,0,3
MINEROS,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,2,1,0,0,3
MIZQUE,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,0,1,6,9,16
MOCOMOCO,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,2,0,0,0,2
MOJOCOYA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,0,1,1,2,4
MONTEAGUDO,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,15,6,2,0,23
MONTERO,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,56,58,17,5,136
MORO MORO,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,3,0,0,0,3
MOROCHATA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,1,0,1,4,6
NAZACARA DE PACAJES,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,1,0,0,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,1,3,0,0,4
OKINAWA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,9,8,2,1,20
OMEREQUE,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,0,2,3,1,6
ORURO,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,138,100,3,5,246
PADCAYA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,2,5,3,2,12
PADILLA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,6,8,3,1,18
PAILON,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,4,6,3,3,16
PALCA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,4,7,1,0,12
PALOS BLANCOS,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,8,6,0,3,17
PAMPA GRANDE,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,5,5,5,11,26
PAPEL PAMPA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,0,0,1,0,1
PASORAPA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,2,2,1,0,5
PATACAMAYA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,2,1,0,0,3
PAZÑA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,2,2,2,0,6
PELECHUCO,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,1,0,0,0,1
POCOATA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,0,1,3,2,6
POCONA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,2,1,0,0,3
POJO (CBBA),vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,2,3,4,5,14
POOPO,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,1,0,0,0,1
PORCO,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,0,1,0,0,1
POROMA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,1,3,3,1,8
PORONGO,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,1,6,2,1,10
PORTACHUELO,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,8,12,0,0,20
PORVENIR,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,0,2,0,0,2
POSTRER VALLE,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,1,0,1,0,2
POTOSI,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,66,69,15,18,168
PRESTO,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,2,0,3,2,7
PUCARANI,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,7,2,5,4,18
PUERTO ACOSTA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,1,2,6,2,11
PUERTO CARABUCO,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,0,0,3,1,4
PUERTO GONZALO MORENO,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,2,0,2,2,6
PUERTO PEREZ,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,1,0,0,0,1
PUERTO QUIJARRO,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,9,6,1,2,18
PUERTO RICO,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,2,1,0,0,3
PUERTO SUAREZ,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,1,3,0,0,4
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,25,17,6,6,54
PUNA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,2,2,2,1,7
PUNATA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,13,6,1,3,23
QUIABAYA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,2,3,0,0,5
QUILLACOLLO,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,20,27,19,18,84
QUIME,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,3,2,1,1,7
QUIRUSILLAS,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,0,2,0,0,2
RAVELO,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,4,5,1,5,15
REYES,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,3,1,0,0,4
RIBERALTA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,23,7,1,3,34
ROBORE,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,3,3,0,0,6
RURRENABAQUE,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,10,7,0,4,21
SACABA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,50,51,8,6,115
SACABAMBA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,0,1,1,1,3
SACACA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,10,10,3,2,25
SAIPINA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,1,1,0,0,2
SALINAS DE GARCI MENDOZA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,3,4,8,6,21
SAMAIPATA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,1,1,0,0,2
SAN ANDRES,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,2,3,0,0,5
SAN ANTONIO DE LOMERIO,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,0,1,0,0,1
SAN BENITO,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,3,5,3,0,11
SAN BORJA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,10,6,3,5,24
SAN BUENA VENTURA,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,2,1,0,0,3
SAN IGNACIO,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,22,10,1,1,34
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,5,6,1,2,14
SAN JAVIER(BNI),vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,2,0,0,0,2
SAN JAVIER(STC),vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,6,7,0,0,13
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,total antipoliomielitica 5ta. dosis (2do. refuerzo),2015-01-01,3,4,0,0,7
