,group,variable,month,MUJERES DE 10 A 49 AÑOS 1RA DOSIS DE DT CANTIDAD,MUJERES DE 10 A 49 AÑOS 1RA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
HUANUNI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,26,72,26,72,98
HUARACAJE,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,5,0,5,0,5
HUARINA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,3,0,3,0,3
HUMANATA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,5,0,5,0,5
ICHOCA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,3,0,3,0,3
ICLA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,0,2,0,2,2
INCAHUASI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,3,3,3,3,6
INQUISIVI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,1,0,1,0,1
IXIAMAS,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,16,39,16,39,55
JESUS DE MACHACA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,0,1,0,1,1
LA ASUNTA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,14,18,14,18,32
LA GUARDIA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,49,26,49,26,75
LA PAZ,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,1123,594,1123,594,1717
LAJA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,5,20,5,20,25
LAS CARRERAS,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,4,0,4,0,4
LICOMA PAMPA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,2,0,2,0,2
LLALLAGUA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,94,26,94,26,120
LORETO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,8,104,8,104,112
MACHACAMARCA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,5,0,5,0,5
MACHARETI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,5,3,5,3,8
MAGDALENA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,14,0,14,0,14
MAIRANA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,2,0,2,0,2
MAPIRI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,21,0,21,0,21
MECAPACA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,16,22,16,22,38
MINEROS,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,35,0,35,0,35
MIZQUE,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,41,22,41,22,63
MOCOMOCO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,7,0,7,0,7
MOJOCOYA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,3,0,3,0,3
MONTEAGUDO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,29,17,29,17,46
MONTERO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,103,12,103,12,115
MORO MORO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,5,0,5,0,5
MOROCHATA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,11,3,11,3,14
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,0,17,0,17,17
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,1,0,1,0,1
OCURI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,28,40,28,40,68
OMEREQUE,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,5,13,5,13,18
ORURO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,420,68,420,68,488
PADCAYA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,36,18,36,18,54
PADILLA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,9,0,9,0,9
PAILON,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,14,18,14,18,32
PALCA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,17,58,17,58,75
PAMPA AULLAGAS,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,2,0,2,0,2
PAMPA GRANDE,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,1,0,1,0,1
PAPEL PAMPA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,1,7,1,7,8
PATACAMAYA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,21,45,21,45,66
PAZÑA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,3,1,3,1,4
POCOATA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,10,8,10,8,18
POCONA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,16,14,16,14,30
POJO (CBBA),otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,7,1,7,1,8
POOPO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,2,0,2,0,2
PORCO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,24,0,24,0,24
PORONGO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,0,11,0,11,11
PORTACHUELO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,1,0,1,0,1
PORVENIR,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,7,2,7,2,9
POSTRER VALLE,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,1,0,1,0,1
POTOSI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,366,16,366,16,382
PUCARA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,0,2,0,2,2
PUCARANI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,8,18,8,18,26
PUERTO GONZALO MORENO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,1,1,1,1,2
PUERTO PEREZ,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,3,5,3,5,8
PUERTO RICO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,14,0,14,0,14
PUERTO SILES,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,0,1,0,1,1
PUERTO SUAREZ,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,5,4,5,4,9
PUERTO VILLARROEL,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,85,88,85,88,173
PUNA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,10,0,10,0,10
PUNATA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,108,4,108,4,112
QUILLACOLLO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,88,254,88,254,342
QUIME,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,3,0,3,0,3
QUIRUSILLAS,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,4,0,4,0,4
RAVELO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,24,6,24,6,30
REYES,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,30,12,30,12,42
RIBERALTA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,192,9,192,9,201
ROBORE,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,3,3,3,3,6
RURRENABAQUE,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,20,0,20,0,20
SACABA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,176,480,176,480,656
SALINAS DE GARCI MENDOZA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,4,0,4,0,4
SAMAIPATA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,7,3,7,3,10
SAN ANDRES,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,14,0,14,0,14
SAN ANDRES DE MACHACA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,0,10,0,10,10
SAN ANTONIO DE ESMORUCO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,6,9,6,9,15
SAN BENITO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,7,33,7,33,40
SAN BORJA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,46,11,46,11,57
SAN BUENA VENTURA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,9,0,9,0,9
SAN CARLOS,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,37,1,37,1,38
SAN IGNACIO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,51,86,51,86,137
SAN IGNACIO DE VELASCO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,146,20,146,20,166
SAN JAVIER(BNI),otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,7,13,7,13,20
SAN JAVIER(STC),otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,6,0,6,0,6
SAN JOAQUIN,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,9,13,9,13,22
SAN JOSE DE CHIQUITOS,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,9,0,9,0,9
SAN JUAN DE YAPACANI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,2,0,2,0,2
SAN JULIAN,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,36,8,36,8,44
SAN LORENZO(PND),otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,8,9,8,9,17
SAN LORENZO(TJA),otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,21,1,21,1,22
SAN LUCAS,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,5,11,5,11,16
SAN MATIAS,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,9,14,9,14,23
SAN MIGUEL DE VELASCO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,7,0,7,0,7
SAN PEDRO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,2,0,2,0,2
SAN PEDRO DE BUENA VISTA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,2,0,2,0,2
SAN PEDRO DE TIQUINA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,0,2,0,2,2
SAN RAFAEL,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,0,20,0,20,20
SAN RAMON SCZ,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,18,1,18,1,19
SANTA ANA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,34,0,34,0,34
SANTA CRUZ DE LA SIERRA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,2619,882,2619,882,3501
SANTA ROSA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,17,0,17,0,17
SANTIAGO DE HUARI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,1,1,1,1,2
SANTIAGO DE HUATA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,0,1,0,1,1
SANTIAGO DE MACHACA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,2,0,2,0,2
SANTIVAÑES,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,6,3,6,3,9
SANTUARIO DE QUILLACAS,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,3,0,3,0,3
SAPAHAQUI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,0,1,0,1,1
SENA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,8,2,8,2,10
SHINAOTA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,8,19,8,19,27
SICA SICA (VILLA AROMA),otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,1,6,1,6,7
SICAYA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,0,8,0,8,8
SIPE SIPE,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,28,0,28,0,28
SOPACHUY,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,1,0,1,0,1
SORACACHI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,3,4,3,4,7
SORATA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,14,16,14,16,30
SUCRE,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,252,67,252,67,319
TACACHI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,2,1,2,1,3
TACACOMA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,4,0,4,0,4
TACOBAMBA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,5,0,5,0,5
TACOPAYA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,11,22,11,22,33
TAPACARI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,20,86,20,86,106
TARABUCO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,1,0,1,0,1
TARACO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,7,4,7,4,11
TARATA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,5,5,5,5,10
TARIJA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,461,93,461,93,554
TARVITA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,0,6,0,6,6
TEOPONTE,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,3,0,3,0,3
TIAWANACU,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,10,16,10,16,26
TINGUIPAYA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,29,16,29,16,45
TIPUANI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,3,1,3,1,4
TIQUIPAYA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,10,9,10,9,19
TIRAQUE (CBBA),otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,26,6,26,6,32
TOCO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,8,13,8,13,21
TOLATA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,3,16,3,16,19
TOLEDO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,5,0,5,0,5
TOMAVE,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,9,0,9,0,9
TOMINA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,4,0,4,0,4
TOTORA(CBBA),otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,22,12,22,12,34
TOTORA(ORR),otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,2,0,2,0,2
TRIGAL,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2013-01-01,5,0,5,0,5
