,group,variable,month,MUJERES DE 10 A 49 AÑOS 2DA DOSIS DE DT CANTIDAD,MUJERES DE 10 A 49 AÑOS 2DA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
LA GUARDIA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,76,17,76,17,93
LA PAZ,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,817,414,817,414,1231
LAS CARRERAS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,3,0,3,0,3
LICOMA PAMPA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,1,0,1,0,1
LLALLAGUA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,29,8,29,8,37
LORETO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,7,51,7,51,58
MACHACAMARCA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,13,0,13,0,13
MACHARETI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,7,3,7,3,10
MAGDALENA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,12,0,12,0,12
MAIRANA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,2,0,2,0,2
MAPIRI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,11,0,11,0,11
MECAPACA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,3,2,3,2,5
MINEROS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,13,0,13,0,13
MIZQUE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,49,13,49,13,62
MOCOMOCO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,1,0,1,0,1
MONTEAGUDO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,24,34,24,34,58
MONTERO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,56,2,56,2,58
MORO MORO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,2,1,2,1,3
MOROCHATA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,7,3,7,3,10
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,0,25,0,25,25
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,0,2,0,2,2
OCURI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,9,6,9,6,15
OMEREQUE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,1,17,1,17,18
ORURO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,288,25,288,25,313
PADCAYA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,5,3,5,3,8
PAILON,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,6,2,6,2,8
PALCA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,3,2,3,2,5
PASORAPA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,3,0,3,0,3
PATACAMAYA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,4,0,4,0,4
POCOATA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,2,14,2,14,16
POCONA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,5,7,5,7,12
POJO (CBBA),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,10,0,10,0,10
POOPO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,2,0,2,0,2
PORCO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,17,0,17,0,17
PORONGO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,3,13,3,13,16
PORVENIR,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,1,0,1,0,1
POSTRER VALLE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,4,0,4,0,4
POTOSI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,224,8,224,8,232
PUCARA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,1,1,1,1,2
PUCARANI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,5,11,5,11,16
PUERTO GONZALO MORENO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,2,8,2,8,10
PUERTO PEREZ,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,1,6,1,6,7
PUERTO RICO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,10,0,10,0,10
PUERTO SILES,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,0,5,0,5,5
PUERTO SUAREZ,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,5,1,5,1,6
PUERTO VILLARROEL,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,77,48,77,48,125
PUNA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,3,0,3,0,3
PUNATA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,54,4,54,4,58
QUILLACOLLO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,28,108,28,108,136
QUIME,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,4,0,4,0,4
RAVELO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,10,0,10,0,10
REYES,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,30,8,30,8,38
RIBERALTA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,160,13,160,13,173
ROBORE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,5,4,5,4,9
RURRENABAQUE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,17,1,17,1,18
SACABA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,135,109,135,109,244
SALINAS DE GARCI MENDOZA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,3,6,3,6,9
SAMAIPATA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,1,3,1,3,4
SAN ANDRES,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,11,0,11,0,11
SAN ANTONIO DE LOMERIO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,2,0,2,0,2
SAN BENITO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,8,13,8,13,21
SAN BORJA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,44,7,44,7,51
SAN BUENA VENTURA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,3,4,3,4,7
SAN CARLOS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,27,0,27,0,27
SAN IGNACIO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,38,52,38,52,90
SAN IGNACIO DE VELASCO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,69,1,69,1,70
SAN JAVIER(BNI),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,5,0,5,0,5
SAN JAVIER(STC),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,4,0,4,0,4
SAN JOAQUIN,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,15,29,15,29,44
SAN JOSE DE CHIQUITOS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,9,0,9,0,9
SAN JUAN DE YAPACANI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,4,0,4,0,4
SAN JULIAN,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,18,4,18,4,22
SAN LORENZO(PND),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,3,10,3,10,13
SAN LORENZO(TJA),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,7,0,7,0,7
SAN LUCAS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,1,6,1,6,7
SAN MATIAS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,17,12,17,12,29
SAN MIGUEL DE VELASCO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,11,0,11,0,11
SAN PEDRO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,0,1,0,1,1
SAN RAFAEL,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,0,9,0,9,9
SAN RAMON SCZ,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,23,0,23,0,23
SANTA ANA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,25,0,25,0,25
SANTA CRUZ DE LA SIERRA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,1859,579,1859,579,2438
SANTA ROSA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,20,0,20,0,20
SANTIAGO DE HUARI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,1,38,1,38,39
SANTIAGO DE HUATA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,1,14,1,14,15
SANTIAGO DE MACHACA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,3,0,3,0,3
SANTIVAÑES,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,1,1,1,1,2
SANTUARIO DE QUILLACAS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,6,5,6,5,11
SENA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,3,2,3,2,5
SHINAOTA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,7,10,7,10,17
SICA SICA (VILLA AROMA),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,2,6,2,6,8
SICAYA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,0,1,0,1,1
SIPE SIPE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,7,0,7,0,7
SORACACHI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,10,3,10,3,13
SORATA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,4,2,4,2,6
SUCRE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,153,50,153,50,203
TACACHI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,1,2,1,2,3
TACACOMA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,2,0,2,0,2
TACOBAMBA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,5,0,5,0,5
TACOPAYA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,0,3,0,3,3
TAPACARI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,21,40,21,40,61
TARACO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,2,41,2,41,43
TARATA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,7,0,7,0,7
TARIJA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,309,57,309,57,366
TARVITA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,0,16,0,16,16
TEOPONTE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,3,1,3,1,4
TIAWANACU,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,11,0,11,0,11
TINGUIPAYA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,16,3,16,3,19
TIPUANI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,3,0,3,0,3
TIQUIPAYA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,5,14,5,14,19
TIRAQUE (CBBA),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,39,6,39,6,45
TOCO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,5,11,5,11,16
TOLATA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,6,1,6,1,7
TOLEDO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,5,0,5,0,5
TOMAVE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,8,8,8,8,16
TOMINA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,2,0,2,0,2
TOTORA(CBBA),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,14,12,14,12,26
TOTORA(ORR),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,1,3,1,3,4
TRIGAL,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,1,0,1,0,1
TRINIDAD,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,256,131,256,131,387
TUPIZA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,61,10,61,10,71
TURCO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,0,3,0,3,3
URIONDO (A. CONCEPCION),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,9,11,9,11,20
URUBICHA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,1,16,1,16,17
VACAS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,3,7,3,7,10
VALLEGRANDE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,24,0,24,0,24
VIACHA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,48,219,48,219,267
VILA VILA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,1,2,1,2,3
VILLA MONTES,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,62,19,62,19,81
VILLA RIVERO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,23,0,23,0,23
VILLA SERRANO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,7,0,7,0,7
VILLA TUNARI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,51,102,51,102,153
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,5,2,5,2,7
VILLAZON,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,24,0,24,0,24
VINTO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,59,8,59,8,67
VITICHI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,4,0,4,0,4
WARNES,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,19,5,19,5,24
YACO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,0,3,0,3,3
YACUIBA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,84,10,84,10,94
YANACACHI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,3,0,3,0,3
YAPACANI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,19,63,19,63,82
YOTALA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,1,10,1,10,11
YUNCHARA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,2,2,2,2,4
ZUDAÑEZ,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-01-01,2,5,2,5,7
ACACIO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-02-01,3,2,3,2,5
ACHACACHI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-02-01,9,6,9,6,15
ACHOCALLA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-02-01,20,6,20,6,26
AIQUILE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2013-02-01,6,0,6,0,6
