,group,variable,month,ANTIRRÁBICA HUMANA ESQUEMA COMPLETO CANTIDAD,ANTIRRÁBICA HUMANA ESQUEMA COMPLETO CANTIDAD,TOTALES,TOTALES,TOTALES
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,22,0,22,0,22
COLLANA,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,2,0,2,0,2
COMARAPA,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,1,0,1,0,1
CONCEPCION,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,2,0,2,0,2
COTOCA,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,9,0,9,0,9
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,82,0,82,0,82
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,21,0,21,0,21
ENTRE RIOS TRJ,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,1,0,1,0,1
GENERAL SAAVEDRA,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,2,0,2,0,2
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,7,0,7,0,7
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,89,0,89,0,89
MAIRANA,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,1,0,1,0,1
MINEROS,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,6,0,6,0,6
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,15,0,15,0,15
PORCO,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,2,0,2,0,2
POTOSI,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,28,0,28,0,28
PUNA,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,3,0,3,0,3
PUNATA,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,2,0,2,0,2
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,1,0,1,0,1
QUIRUSILLAS,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,1,0,1,0,1
SACABA,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,3,0,3,0,3
SAMAIPATA,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,2,0,2,0,2
SAN BORJA,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,1,0,1,0,1
SAN BUENA VENTURA,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,1,0,1,0,1
SAN CARLOS,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,1,0,1,0,1
SAN IGNACIO,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,3,0,3,0,3
SAN IGNACIO DE VELASCO,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,14,0,14,0,14
SAN JULIAN,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,5,0,5,0,5
SAN PEDRO DE TIQUINA,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,153,0,153,0,153
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,32,0,32,0,32
TARIJA,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,15,0,15,0,15
TIQUIPAYA,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,3,0,3,0,3
TUPIZA,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,1,0,1,0,1
UYUNI,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,1,0,1,0,1
VALLEGRANDE,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,1,0,1,0,1
VIACHA,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,5,0,5,0,5
VILLAZON,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,1,0,1,0,1
WARNES,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,17,0,17,0,17
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,2,0,2,0,2
YAPACANI,otras vacunaciones,antirrabica humana esquema completo,2013-03-01,62,0,62,0,62
ACHACACHI,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,1,0,1,0,1
ALTO BENI,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,7,0,7,0,7
ARBIETO,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,10,0,10,0,10
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,4,0,4,0,4
CABEZAS,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,0,2,0,2,2
CAMIRI,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,7,0,7,0,7
CARANAVI,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,2,0,2,0,2
CHARAÑA,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,0,1,0,1,1
CHIMORE,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,7,0,7,0,7
CLIZA,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,2,0,2,0,2
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,22,0,22,0,22
COLCAPIRHUA,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,1,0,1,0,1
COLPA BELGICA,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,2,0,2,0,2
COTAGAITA,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,1,0,1,0,1
COTOCA,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,8,0,8,0,8
CUATRO CAÑADAS,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,1,0,1,0,1
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,73,0,73,0,73
EL PUENTE(STC),otras vacunaciones,antirrabica humana esquema completo,2013-04-01,1,0,1,0,1
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,6,0,6,0,6
ENTRE RIOS TRJ,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,3,0,3,0,3
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,20,0,20,0,20
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,85,0,85,0,85
MINEROS,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,1,0,1,0,1
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,85,0,85,0,85
MORO MORO,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,1,0,1,0,1
ORURO,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,3,0,3,0,3
POTOSI,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,11,0,11,0,11
SACABA,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,2,0,2,0,2
SAMAIPATA,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,1,0,1,0,1
SAN BUENA VENTURA,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,2,0,2,0,2
SAN CARLOS,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,3,0,3,0,3
SAN IGNACIO,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,2,0,2,0,2
SAN JULIAN,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,24,0,24,0,24
SAN RAMON SCZ,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,5,0,5,0,5
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,119,0,119,0,119
SANTA ROSA DEL SARA,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,1,0,1,0,1
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,39,0,39,0,39
TARIJA,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,10,0,10,0,10
TIAWANACU,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,3,0,3,0,3
TRIGAL,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,2,0,2,0,2
UNCIA,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,1,1,1,1,2
UYUNI,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,1,0,1,0,1
VALLEGRANDE,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,1,0,1,0,1
VIACHA,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,3,0,3,0,3
VILLA MONTES,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,1,0,1,0,1
VILLA TUNARI,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,1,0,1,0,1
VILLAZON,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,1,0,1,0,1
WARNES,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,11,0,11,0,11
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,3,0,3,0,3
YAPACANI,otras vacunaciones,antirrabica humana esquema completo,2013-04-01,66,0,66,0,66
ALTO BENI,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,1,0,1,0,1
ANZALDO,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,0,1,0,1,1
ARBIETO,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,2,0,2,0,2
ASCENCION DE GUARAYOS,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,0,1,0,1,1
CAPINOTA,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,1,0,1,0,1
CARAPARI,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,3,0,3,0,3
CLIZA,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,1,0,1,0,1
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,24,0,24,0,24
COLPA BELGICA,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,1,0,1,0,1
COTOCA,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,11,0,11,0,11
CUATRO CAÑADAS,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,1,0,1,0,1
CUEVO,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,4,0,4,0,4
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,90,0,90,0,90
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,8,0,8,0,8
EUCALIPTUS,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,0,2,0,2,2
FERNANDEZ ALONSO,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,3,0,3,0,3
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,11,0,11,0,11
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,89,1,89,1,90
MAIRANA,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,2,0,2,0,2
MINEROS,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,6,0,6,0,6
MIZQUE,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,1,0,1,0,1
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,13,0,13,0,13
MORO MORO,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,3,0,3,0,3
ORURO,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,1,0,1,0,1
PADCAYA,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,1,0,1,0,1
PAILON,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,1,0,1,0,1
PALOS BLANCOS,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,1,0,1,0,1
PORCO,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,1,0,1,0,1
POTOSI,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,13,0,13,0,13
PUERTO QUIJARRO,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,1,0,1,0,1
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,2,0,2,0,2
SACABA,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,11,0,11,0,11
SAN BUENA VENTURA,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,1,0,1,0,1
SAN IGNACIO,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,4,0,4,0,4
SAN IGNACIO DE VELASCO,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,6,0,6,0,6
SAN JULIAN,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,10,0,10,0,10
SAN LORENZO(TJA),otras vacunaciones,antirrabica humana esquema completo,2013-05-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,1,0,1,0,1
SAN PEDRO DE BUENA VISTA,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,3,0,3,0,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,125,0,125,0,125
SANTA ROSA DEL SARA,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,1,0,1,0,1
SIPE SIPE,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,1,0,1,0,1
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,45,20,45,20,65
TARIJA,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,10,0,10,0,10
TIQUIPAYA,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,2,0,2,0,2
TUPIZA,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,3,0,3,0,3
VALLEGRANDE,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,4,0,4,0,4
VIACHA,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,2,1,2,1,3
VILLAZON,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,2,0,2,0,2
WARNES,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,13,0,13,0,13
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,1,0,1,0,1
YAPACANI,otras vacunaciones,antirrabica humana esquema completo,2013-05-01,4,0,4,0,4
ASCENCION DE GUARAYOS,otras vacunaciones,antirrabica humana esquema completo,2013-06-01,2,0,2,0,2
CARAPARI,otras vacunaciones,antirrabica humana esquema completo,2013-06-01,1,0,1,0,1
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2013-06-01,24,1,24,1,25
"COLCHA ""K""",otras vacunaciones,antirrabica humana esquema completo,2013-06-01,1,0,1,0,1
COLPA BELGICA,otras vacunaciones,antirrabica humana esquema completo,2013-06-01,1,0,1,0,1
COTOCA,otras vacunaciones,antirrabica humana esquema completo,2013-06-01,15,0,15,0,15
DESAGUADERO,otras vacunaciones,antirrabica humana esquema completo,2013-06-01,1,0,1,0,1
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2013-06-01,76,0,76,0,76
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2013-06-01,5,0,5,0,5
EUCALIPTUS,otras vacunaciones,antirrabica humana esquema completo,2013-06-01,0,5,0,5,5
FERNANDEZ ALONSO,otras vacunaciones,antirrabica humana esquema completo,2013-06-01,2,0,2,0,2
GUANAY,otras vacunaciones,antirrabica humana esquema completo,2013-06-01,1,0,1,0,1
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2013-06-01,7,0,7,0,7
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2013-06-01,81,1,81,1,82
MINEROS,otras vacunaciones,antirrabica humana esquema completo,2013-06-01,2,0,2,0,2
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2013-06-01,21,0,21,0,21
OCURI,otras vacunaciones,antirrabica humana esquema completo,2013-06-01,2,0,2,0,2
PAILON,otras vacunaciones,antirrabica humana esquema completo,2013-06-01,2,0,2,0,2
PORCO,otras vacunaciones,antirrabica humana esquema completo,2013-06-01,1,0,1,0,1
POTOSI,otras vacunaciones,antirrabica humana esquema completo,2013-06-01,26,0,26,0,26
PUCARANI,otras vacunaciones,antirrabica humana esquema completo,2013-06-01,2,0,2,0,2
PUNATA,otras vacunaciones,antirrabica humana esquema completo,2013-06-01,1,0,1,0,1
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2013-06-01,351,0,351,0,351
SAN BUENA VENTURA,otras vacunaciones,antirrabica humana esquema completo,2013-06-01,2,0,2,0,2
SAN CARLOS,otras vacunaciones,antirrabica humana esquema completo,2013-06-01,2,0,2,0,2
SAN IGNACIO,otras vacunaciones,antirrabica humana esquema completo,2013-06-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,otras vacunaciones,antirrabica humana esquema completo,2013-06-01,5,0,5,0,5
SAN JULIAN,otras vacunaciones,antirrabica humana esquema completo,2013-06-01,16,0,16,0,16
SAN MATIAS,otras vacunaciones,antirrabica humana esquema completo,2013-06-01,0,1,0,1,1
SAN MIGUEL DE VELASCO,otras vacunaciones,antirrabica humana esquema completo,2013-06-01,24,0,24,0,24
SAN PEDRO DE BUENA VISTA,otras vacunaciones,antirrabica humana esquema completo,2013-06-01,8,6,8,6,14
SAN RAMON SCZ,otras vacunaciones,antirrabica humana esquema completo,2013-06-01,3,0,3,0,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2013-06-01,204,0,204,0,204
SANTA ROSA DEL SARA,otras vacunaciones,antirrabica humana esquema completo,2013-06-01,1,0,1,0,1
SIPE SIPE,otras vacunaciones,antirrabica humana esquema completo,2013-06-01,1,0,1,0,1
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2013-06-01,28,0,28,0,28
TARIJA,otras vacunaciones,antirrabica humana esquema completo,2013-06-01,9,0,9,0,9
TOTORA(CBBA),otras vacunaciones,antirrabica humana esquema completo,2013-06-01,1,0,1,0,1
TRINIDAD,otras vacunaciones,antirrabica humana esquema completo,2013-06-01,1,0,1,0,1
