,group,variable,month,MUJERES DE 10 A 49 AÑOS 5TA DOSIS DE DT CANTIDAD,MUJERES DE 10 A 49 AÑOS 5TA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
SAN BENITO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,1,0,1,0,1
SAN CARLOS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,2,0,2,0,2
SAN IGNACIO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,1,8,1,8,9
SAN IGNACIO DE VELASCO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,39,1,39,1,40
SAN JAVIER(BNI),otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,0,3,0,3,3
SAN JAVIER(STC),otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,1,0,1,0,1
SAN JOAQUIN,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,1,0,1,0,1
SAN JUAN DE YAPACANI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,1,0,1,0,1
SAN JULIAN,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,1,0,1,0,1
SAN LORENZO(TJA),otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,2,0,2,0,2
SAN LUCAS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,0,3,0,3,3
SAN MATIAS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,2,5,2,5,7
SAN MIGUEL DE VELASCO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,9,0,9,0,9
SAN PEDRO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,0,23,0,23,23
SAN RAFAEL,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,0,13,0,13,13
SAN RAMON SCZ,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,127,89,127,89,216
SANTIVAÑES,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,1,0,1,0,1
SHINAOTA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,1,1,1,1,2
SORACACHI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,1,1,1,1,2
SUCRE,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,21,6,21,6,27
TACOPAYA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,1,0,1,0,1
TAPACARI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,0,2,0,2,2
TARACO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,0,1,0,1,1
TARATA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,1,1,1,1,2
TARIJA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,27,11,27,11,38
TARVITA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,0,17,0,17,17
TIAWANACU,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,1,0,1,0,1
TIQUIPAYA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,1,2,1,2,3
TOCO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,2,0,2,0,2
TOLATA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,5,5,5,5,10
TOTORA(CBBA),otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,0,1,0,1,1
TRINIDAD,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,6,4,6,4,10
TUPIZA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,3,15,3,15,18
URIONDO (A. CONCEPCION),otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,0,1,0,1,1
URUBICHA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,0,3,0,3,3
VACAS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,1,4,1,4,5
VALLEGRANDE,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,4,0,4,0,4
VIACHA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,4,0,4,0,4
VILLA MONTES,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,4,0,4,0,4
VILLA TUNARI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,10,20,10,20,30
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,0,1,0,1,1
VILLAZON,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,3,0,3,0,3
VINTO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,1,0,1,0,1
WARNES,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,8,0,8,0,8
YACUIBA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,5,0,5,0,5
YAPACANI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,2,17,2,17,19
YOTALA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,3,0,3,0,3
ZUDAÑEZ,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-01-01,1,2,1,2,3
ACHOCALLA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,1,0,1,0,1
ARAMPAMPA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,1,0,1,0,1
ARANI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,1,0,1,0,1
ARBIETO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,1,5,1,5,6
ASCENCION DE GUARAYOS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,1,1,1,1,2
ATOCHA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,2,4,2,4,6
BATALLAS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,1,2,1,2,3
BERMEJO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,3,0,3,0,3
BETANZOS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,3,0,3,0,3
BOYUIBE,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,1,0,1,0,1
BUENA VISTA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,3,61,3,61,64
CABEZAS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,14,10,14,10,24
CAJUATA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,1,0,1,0,1
CAMARGO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,0,1,0,1,1
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,4,0,4,0,4
CAMIRI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,4,1,4,1,5
CAPINOTA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,1,16,1,16,17
CAQUIAVIRI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,1,0,1,0,1
CARACOLLO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,2,0,2,0,2
CARANAVI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,1,7,1,7,8
CARAPARI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,1,0,1,0,1
CARIPUYO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,0,17,0,17,17
CHALLAPATA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,1,0,1,0,1
CHARAGUA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,1,13,1,13,14
CHIMORE,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,1,1,1,1,2
CHIPAYA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,0,4,0,4,4
CLIZA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,4,1,4,1,5
COBIJA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,1,4,1,4,5
COCHABAMBA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,95,64,95,64,159
COIPASA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,0,1,0,1,1
COLCAPIRHUA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,4,1,4,1,5
"COLCHA ""K""",otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,1,0,1,0,1
COLOMI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,5,0,5,0,5
COLPA BELGICA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,2,0,2,0,2
COLQUENCHA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,1,0,1,0,1
COLQUIRI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,1,3,1,3,4
COMARAPA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,6,4,6,4,10
CONCEPCION,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,8,6,8,6,14
CORIPATA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,1,0,1,0,1
COROICO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,1,0,1,0,1
COTOCA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,17,25,17,25,42
CUATRO CAÑADAS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,0,6,0,6,6
CUEVO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,1,0,1,0,1
EL ALTO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,175,35,175,35,210
EL PUENTE(STC),otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,2,0,2,0,2
EL PUENTE(TJA),otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,1,0,1,0,1
EL TORNO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,8,9,8,9,17
ENTRE RIOS TRJ,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,0,2,0,2,2
ENTRE RIOS CBBA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,2,1,2,1,3
FERNANDEZ ALONSO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,1,0,1,0,1
GENERAL SAAVEDRA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,3,1,3,1,4
GUAQUI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,0,1,0,1,1
GUAYARAMERIN,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,1,0,1,0,1
HUACARETA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,2,3,2,3,5
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,0,2,0,2,2
HUANUNI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,0,4,0,4,4
ICHOCA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,0,2,0,2,2
ICLA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,10,0,10,0,10
INQUISIVI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,1,0,1,0,1
IRUPANA (VILLA DE LANZA),otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,1,0,1,0,1
IXIAMAS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,1,0,1,0,1
LA ASUNTA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,1,0,1,0,1
LA GUARDIA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,17,4,17,4,21
LA PAZ,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,121,21,121,21,142
LAGUNILLAS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,1,2,1,2,3
LLALLAGUA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,1,0,1,0,1
LURIBAY,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,0,1,0,1,1
MACHACAMARCA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,1,1,1,1,2
MACHARETI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,0,1,0,1,1
MAGDALENA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,0,2,0,2,2
MAIRANA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,5,0,5,0,5
MAPIRI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,1,0,1,0,1
MECAPACA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,2,1,2,1,3
MINEROS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,4,0,4,0,4
MIZQUE,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,3,8,3,8,11
MOCOMOCO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,1,0,1,0,1
MONTEAGUDO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,4,3,4,3,7
MONTERO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,11,7,11,7,18
MORO MORO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,0,8,0,8,8
OCURI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,0,3,0,3,3
OKINAWA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,3,1,3,1,4
OMEREQUE,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,2,5,2,5,7
ORURO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,17,3,17,3,20
PADCAYA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,1,0,1,0,1
PADILLA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,0,2,0,2,2
PAILON,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,2,21,2,21,23
PALOS BLANCOS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,1,1,1,1,2
POCONA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,3,6,3,6,9
PORONGO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,0,1,0,1,1
PORTACHUELO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,1,0,1,0,1
PORVENIR,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,2,0,2,0,2
POTOSI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,8,0,8,0,8
PUCARANI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,0,2,0,2,2
PUERTO GONZALO MORENO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2013-02-01,1,2,1,2,3
