,group,variable,month,TRABAJADOR DE SALUD HEPATITIS B 2DA DOSIS CANTIDAD,TRABAJADOR DE SALUD HEPATITIS B 2DA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
SAN LUCAS,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,2,0,2,0,2
SANTA ANA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,2,0,2,0,2
SANTA ROSA DEL SARA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,5,0,5,0,5
SANTIVAÑES,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,4,0,4,0,4
SANTUARIO DE QUILLACAS,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,1,0,1,0,1
SICAYA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,1,0,1,0,1
SUCRE,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,23,0,23,0,23
TACACOMA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,2,0,2,0,2
TACOPAYA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,5,0,5,0,5
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,17,0,17,0,17
TRINIDAD,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,42,64,42,64,106
VIACHA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,21,0,21,0,21
VILLA MONTES,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,5,0,5,0,5
VILLA SERRANO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,3,0,3,0,3
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,14,0,14,0,14
VILLAZON,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,4,0,4,0,4
WARNES,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,3,0,3,0,3
YACUIBA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,7,0,7,0,7
YUNCHARA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-02-01,1,0,1,0,1
ANCORAIMES,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,4,0,4,0,4
AYATA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,2,7,2,7,9
AZURDUY,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,53,0,53,0,53
BERMEJO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,43,7,43,7,50
BETANZOS,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,8,0,8,0,8
CABEZAS,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,21,0,21,0,21
"CAIZA ""D""",otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,3,0,3,0,3
CAMARGO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,13,0,13,0,13
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,4,0,4,0,4
CAMIRI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,10,0,10,0,10
CHALLAPATA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,0,2,0,2,2
CHARAGUA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,23,0,23,0,23
CHUA COCANI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,0,66,0,66,66
CHUMA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,1,0,1,0,1
COBIJA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,8,0,8,0,8
COROICO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,3,0,3,0,3
COTAGAITA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,0,1,0,1,1
CULPINA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,2,0,2,0,2
EL ALTO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,5,4,5,4,9
ENTRE RIOS TRJ,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,9,9,9,9,18
ENTRE RIOS CBBA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,4,0,4,0,4
ESCOMA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,3,0,3,0,3
GENERAL SAAVEDRA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,0,1,0,1,1
GUTIERREZ,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,7,0,7,0,7
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,13,0,13,0,13
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,571,240,571,240,811
LAGUNILLAS,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,10,0,10,0,10
MONTERO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,13,0,13,0,13
ORURO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,107,0,107,0,107
PELECHUCO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,4,0,4,0,4
PORTACHUELO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,2,0,2,0,2
POTOSI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,42,0,42,0,42
PUCARA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,3,0,3,0,3
PUERTO ACOSTA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,1,0,1,0,1
PUNATA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,1,0,1,0,1
QUIABAYA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,4,0,4,0,4
QUILLACOLLO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,0,2,0,2,2
SAIPINA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,0,1,0,1,1
SAN ANDRES,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,2,0,2,0,2
SAN BORJA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,1,0,1,0,1
SAN LUCAS,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,24,0,24,0,24
SANTA ANA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,87,2,87,2,89
SANTIAGO DE HUARI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,1,0,1,0,1
SANTIAGO DE HUATA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,2,0,2,0,2
SUCRE,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,22,1,22,1,23
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,22,0,22,0,22
TOMINA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,6,0,6,0,6
TRINIDAD,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,23,0,23,0,23
TUPIZA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,9,0,9,0,9
URIONDO (A. CONCEPCION),otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,1,0,1,0,1
UYUNI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,7,0,7,0,7
VILLA CHARCAS,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,29,0,29,0,29
VILLA MONTES,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,10,0,10,0,10
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,5,0,5,0,5
VITICHI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,12,4,12,4,16
YACUIBA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-03-01,39,4,39,4,43
ACHACACHI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,2,1,2,1,3
ANCORAIMES,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,1,0,1,0,1
ANZALDO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,14,0,14,0,14
ARBIETO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,3,0,3,0,3
AUCAPATA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,0,20,0,20,20
AYATA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,3,1,3,1,4
BERMEJO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,22,1,22,1,23
BETANZOS,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,1,0,1,0,1
CALAMARCA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,2,0,2,0,2
CAMARGO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,52,0,52,0,52
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,0,11,0,11,11
CAMIRI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,6,0,6,0,6
CARAPARI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,55,6,55,6,61
CHARAGUA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,5,0,5,0,5
CHUMA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,1,0,1,0,1
CLIZA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,20,0,20,0,20
COBIJA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,19,4,19,4,23
COCHABAMBA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,211,0,211,0,211
COMARAPA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,10,0,10,0,10
CORO CORO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,2,0,2,0,2
COROICO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,2,0,2,0,2
COTAGAITA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,2,0,2,0,2
CUEVO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,2,0,2,0,2
CULPINA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,2,6,2,6,8
CURVA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,1,0,1,0,1
EL ALTO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,1,65,1,65,66
ENTRE RIOS TRJ,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,10,1,10,1,11
GUTIERREZ,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,32,0,32,0,32
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,166,7,166,7,173
MAIRANA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,8,0,8,0,8
MONTERO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,24,0,24,0,24
ORURO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,112,23,112,23,135
POTOSI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,6,0,6,0,6
PUNATA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,33,0,33,0,33
ROBORE,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,2,0,2,0,2
SAN ANDRES,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,15,0,15,0,15
SAN LUCAS,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,17,0,17,0,17
SAN PEDRO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,53,0,53,0,53
SANTA CRUZ DE LA SIERRA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,552,14,552,14,566
SANTA ROSA DEL SARA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,5,0,5,0,5
SANTIAGO DE HUARI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,12,0,12,0,12
SANTIAGO DE HUATA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,5,0,5,0,5
SUCRE,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,21,0,21,0,21
TARABUCO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,2,0,2,0,2
TARATA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,8,0,8,0,8
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,53,141,53,141,194
TOCO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,2,0,2,0,2
TOLATA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,1,0,1,0,1
TOMAVE,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,2,20,2,20,22
TOMINA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,2,0,2,0,2
TORO TORO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,10,0,10,0,10
TRIGAL,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,3,0,3,0,3
TRINIDAD,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,7,30,7,30,37
TUPIZA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,17,0,17,0,17
UYUNI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,10,0,10,0,10
VACAS,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,5,0,5,0,5
VALLEGRANDE,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,8,0,8,0,8
VIACHA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,4,0,4,0,4
VILLA CHARCAS,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,4,0,4,0,4
VILLA MONTES,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,10,0,10,0,10
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,3,0,3,0,3
VILLAZON,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,7,0,7,0,7
VITICHI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,10,0,10,0,10
YACUIBA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,26,69,26,69,95
YAPACANI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,6,0,6,0,6
ZUDAÑEZ,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-04-01,12,0,12,0,12
ANCORAIMES,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-05-01,3,0,3,0,3
ARBIETO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-05-01,5,0,5,0,5
BERMEJO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-05-01,8,0,8,0,8
CLIZA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-05-01,13,0,13,0,13
COBIJA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-05-01,1,0,1,0,1
COLPA BELGICA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-05-01,4,0,4,0,4
COTAGAITA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-05-01,7,0,7,0,7
EL ALTO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-05-01,5,41,5,41,46
ENTRE RIOS TRJ,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-05-01,5,1,5,1,6
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-05-01,48,25,48,25,73
MONTEAGUDO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-05-01,2,0,2,0,2
MONTERO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-05-01,3,0,3,0,3
ORURO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-05-01,55,0,55,0,55
POTOSI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-05-01,19,0,19,0,19
ROBORE,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-05-01,3,0,3,0,3
SAMAIPATA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2013-05-01,2,0,2,0,2
