,group,variable,month,ANTIRRÁBICA EN HUMANO CANTIDAD,ANTIRRÁBICA EN HUMANO CANTIDAD,TOTALES,TOTALES,TOTALES
TIPUANI,otras vacunaciones,antirrabica en humano,2013-02-01,19,0,19,0,19
TIQUIPAYA,otras vacunaciones,antirrabica en humano,2013-02-01,3,0,3,0,3
TOCO,otras vacunaciones,antirrabica en humano,2013-02-01,5,0,5,0,5
TRIGAL,otras vacunaciones,antirrabica en humano,2013-02-01,1,0,1,0,1
TRINIDAD,otras vacunaciones,antirrabica en humano,2013-02-01,10,0,10,0,10
TUPIZA,otras vacunaciones,antirrabica en humano,2013-02-01,24,0,24,0,24
UYUNI,otras vacunaciones,antirrabica en humano,2013-02-01,1,0,1,0,1
VALLEGRANDE,otras vacunaciones,antirrabica en humano,2013-02-01,19,0,19,0,19
VIACHA,otras vacunaciones,antirrabica en humano,2013-02-01,71,0,71,0,71
VILLA MONTES,otras vacunaciones,antirrabica en humano,2013-02-01,3,0,3,0,3
VILLAZON,otras vacunaciones,antirrabica en humano,2013-02-01,2,0,2,0,2
WARNES,otras vacunaciones,antirrabica en humano,2013-02-01,119,0,119,0,119
YACUIBA,otras vacunaciones,antirrabica en humano,2013-02-01,83,0,83,0,83
YAPACANI,otras vacunaciones,antirrabica en humano,2013-02-01,14,0,14,0,14
ACHACACHI,otras vacunaciones,antirrabica en humano,2013-03-01,21,0,21,0,21
AIQUILE,otras vacunaciones,antirrabica en humano,2013-03-01,1,0,1,0,1
ANTEQUERA,otras vacunaciones,antirrabica en humano,2013-03-01,1,0,1,0,1
ANZALDO,otras vacunaciones,antirrabica en humano,2013-03-01,20,0,20,0,20
ASCENCION DE GUARAYOS,otras vacunaciones,antirrabica en humano,2013-03-01,43,0,43,0,43
BERMEJO,otras vacunaciones,antirrabica en humano,2013-03-01,6,7,6,7,13
BUENA VISTA,otras vacunaciones,antirrabica en humano,2013-03-01,0,11,0,11,11
CABEZAS,otras vacunaciones,antirrabica en humano,2013-03-01,0,2,0,2,2
CAMIRI,otras vacunaciones,antirrabica en humano,2013-03-01,1,0,1,0,1
CARANAVI,otras vacunaciones,antirrabica en humano,2013-03-01,32,0,32,0,32
CARAPARI,otras vacunaciones,antirrabica en humano,2013-03-01,5,0,5,0,5
CHALLAPATA,otras vacunaciones,antirrabica en humano,2013-03-01,5,0,5,0,5
CHARAÑA,otras vacunaciones,antirrabica en humano,2013-03-01,8,0,8,0,8
CLIZA,otras vacunaciones,antirrabica en humano,2013-03-01,2,0,2,0,2
COCHABAMBA,otras vacunaciones,antirrabica en humano,2013-03-01,172,0,172,0,172
COLCAPIRHUA,otras vacunaciones,antirrabica en humano,2013-03-01,2,0,2,0,2
COLLANA,otras vacunaciones,antirrabica en humano,2013-03-01,20,0,20,0,20
COMARAPA,otras vacunaciones,antirrabica en humano,2013-03-01,7,0,7,0,7
CORO CORO,otras vacunaciones,antirrabica en humano,2013-03-01,7,0,7,0,7
COTOCA,otras vacunaciones,antirrabica en humano,2013-03-01,62,0,62,0,62
CUATRO CAÑADAS,otras vacunaciones,antirrabica en humano,2013-03-01,1,0,1,0,1
EL ALTO,otras vacunaciones,antirrabica en humano,2013-03-01,820,0,820,0,820
EL TORNO,otras vacunaciones,antirrabica en humano,2013-03-01,156,0,156,0,156
ENTRE RIOS TRJ,otras vacunaciones,antirrabica en humano,2013-03-01,1,0,1,0,1
ENTRE RIOS CBBA,otras vacunaciones,antirrabica en humano,2013-03-01,13,0,13,0,13
FERNANDEZ ALONSO,otras vacunaciones,antirrabica en humano,2013-03-01,5,0,5,0,5
GENERAL SAAVEDRA,otras vacunaciones,antirrabica en humano,2013-03-01,19,0,19,0,19
HUACARETA,otras vacunaciones,antirrabica en humano,2013-03-01,0,1,0,1,1
HUANUNI,otras vacunaciones,antirrabica en humano,2013-03-01,5,0,5,0,5
LA GUARDIA,otras vacunaciones,antirrabica en humano,2013-03-01,101,3,101,3,104
LA PAZ,otras vacunaciones,antirrabica en humano,2013-03-01,290,0,290,0,290
MAIRANA,otras vacunaciones,antirrabica en humano,2013-03-01,18,0,18,0,18
MINEROS,otras vacunaciones,antirrabica en humano,2013-03-01,39,0,39,0,39
MIZQUE,otras vacunaciones,antirrabica en humano,2013-03-01,4,0,4,0,4
MONTERO,otras vacunaciones,antirrabica en humano,2013-03-01,176,0,176,0,176
MORO MORO,otras vacunaciones,antirrabica en humano,2013-03-01,9,0,9,0,9
ORURO,otras vacunaciones,antirrabica en humano,2013-03-01,9,0,9,0,9
PORTACHUELO,otras vacunaciones,antirrabica en humano,2013-03-01,5,0,5,0,5
POTOSI,otras vacunaciones,antirrabica en humano,2013-03-01,140,0,140,0,140
PUERTO VILLARROEL,otras vacunaciones,antirrabica en humano,2013-03-01,1,0,1,0,1
PUNA,otras vacunaciones,antirrabica en humano,2013-03-01,30,0,30,0,30
PUNATA,otras vacunaciones,antirrabica en humano,2013-03-01,2,0,2,0,2
QUIRUSILLAS,otras vacunaciones,antirrabica en humano,2013-03-01,3,0,3,0,3
SACABA,otras vacunaciones,antirrabica en humano,2013-03-01,11,0,11,0,11
SAIPINA,otras vacunaciones,antirrabica en humano,2013-03-01,7,0,7,0,7
SAN BUENA VENTURA,otras vacunaciones,antirrabica en humano,2013-03-01,7,0,7,0,7
SAN CARLOS,otras vacunaciones,antirrabica en humano,2013-03-01,21,0,21,0,21
SAN IGNACIO,otras vacunaciones,antirrabica en humano,2013-03-01,10,0,10,0,10
SAN IGNACIO DE VELASCO,otras vacunaciones,antirrabica en humano,2013-03-01,50,0,50,0,50
SAN JULIAN,otras vacunaciones,antirrabica en humano,2013-03-01,1,0,1,0,1
SAN PEDRO,otras vacunaciones,antirrabica en humano,2013-03-01,20,0,20,0,20
SAN PEDRO DE TIQUINA,otras vacunaciones,antirrabica en humano,2013-03-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica en humano,2013-03-01,1862,0,1862,0,1862
SANTA ROSA DEL SARA,otras vacunaciones,antirrabica en humano,2013-03-01,5,0,5,0,5
SUCRE,otras vacunaciones,antirrabica en humano,2013-03-01,299,0,299,0,299
TARATA,otras vacunaciones,antirrabica en humano,2013-03-01,2,0,2,0,2
TARIJA,otras vacunaciones,antirrabica en humano,2013-03-01,210,0,210,0,210
TIAWANACU,otras vacunaciones,antirrabica en humano,2013-03-01,0,23,0,23,23
TIPUANI,otras vacunaciones,antirrabica en humano,2013-03-01,5,0,5,0,5
TIQUIPAYA,otras vacunaciones,antirrabica en humano,2013-03-01,1,0,1,0,1
TRIGAL,otras vacunaciones,antirrabica en humano,2013-03-01,13,0,13,0,13
TUPIZA,otras vacunaciones,antirrabica en humano,2013-03-01,1,0,1,0,1
UYUNI,otras vacunaciones,antirrabica en humano,2013-03-01,10,0,10,0,10
VALLEGRANDE,otras vacunaciones,antirrabica en humano,2013-03-01,1,0,1,0,1
VIACHA,otras vacunaciones,antirrabica en humano,2013-03-01,85,0,85,0,85
VILLA MONTES,otras vacunaciones,antirrabica en humano,2013-03-01,2,0,2,0,2
VILLAZON,otras vacunaciones,antirrabica en humano,2013-03-01,17,0,17,0,17
WARNES,otras vacunaciones,antirrabica en humano,2013-03-01,103,0,103,0,103
YACUIBA,otras vacunaciones,antirrabica en humano,2013-03-01,87,0,87,0,87
YAPACANI,otras vacunaciones,antirrabica en humano,2013-03-01,10,0,10,0,10
ACHACACHI,otras vacunaciones,antirrabica en humano,2013-04-01,10,0,10,0,10
ARBIETO,otras vacunaciones,antirrabica en humano,2013-04-01,11,0,11,0,11
BERMEJO,otras vacunaciones,antirrabica en humano,2013-04-01,29,0,29,0,29
CABEZAS,otras vacunaciones,antirrabica en humano,2013-04-01,2,0,2,0,2
CAMIRI,otras vacunaciones,antirrabica en humano,2013-04-01,1,0,1,0,1
CARANAVI,otras vacunaciones,antirrabica en humano,2013-04-01,26,0,26,0,26
CARAPARI,otras vacunaciones,antirrabica en humano,2013-04-01,5,0,5,0,5
CHALLAPATA,otras vacunaciones,antirrabica en humano,2013-04-01,1,0,1,0,1
CHARAÑA,otras vacunaciones,antirrabica en humano,2013-04-01,2,0,2,0,2
CLIZA,otras vacunaciones,antirrabica en humano,2013-04-01,1,0,1,0,1
COCHABAMBA,otras vacunaciones,antirrabica en humano,2013-04-01,236,0,236,0,236
COLCAPIRHUA,otras vacunaciones,antirrabica en humano,2013-04-01,4,0,4,0,4
COLPA BELGICA,otras vacunaciones,antirrabica en humano,2013-04-01,25,0,25,0,25
COMARAPA,otras vacunaciones,antirrabica en humano,2013-04-01,18,0,18,0,18
CORO CORO,otras vacunaciones,antirrabica en humano,2013-04-01,1,0,1,0,1
COTOCA,otras vacunaciones,antirrabica en humano,2013-04-01,79,0,79,0,79
CUATRO CAÑADAS,otras vacunaciones,antirrabica en humano,2013-04-01,5,0,5,0,5
CUEVO,otras vacunaciones,antirrabica en humano,2013-04-01,30,0,30,0,30
EL ALTO,otras vacunaciones,antirrabica en humano,2013-04-01,957,0,957,0,957
EL PUENTE(STC),otras vacunaciones,antirrabica en humano,2013-04-01,13,0,13,0,13
EL TORNO,otras vacunaciones,antirrabica en humano,2013-04-01,221,0,221,0,221
ENTRE RIOS TRJ,otras vacunaciones,antirrabica en humano,2013-04-01,3,0,3,0,3
FERNANDEZ ALONSO,otras vacunaciones,antirrabica en humano,2013-04-01,3,0,3,0,3
GENERAL SAAVEDRA,otras vacunaciones,antirrabica en humano,2013-04-01,24,0,24,0,24
HUANUNI,otras vacunaciones,antirrabica en humano,2013-04-01,3,0,3,0,3
LA GUARDIA,otras vacunaciones,antirrabica en humano,2013-04-01,241,6,241,6,247
LA PAZ,otras vacunaciones,antirrabica en humano,2013-04-01,178,0,178,0,178
MIZQUE,otras vacunaciones,antirrabica en humano,2013-04-01,21,0,21,0,21
MONTERO,otras vacunaciones,antirrabica en humano,2013-04-01,56,0,56,0,56
MORO MORO,otras vacunaciones,antirrabica en humano,2013-04-01,1,0,1,0,1
OKINAWA,otras vacunaciones,antirrabica en humano,2013-04-01,5,0,5,0,5
ORURO,otras vacunaciones,antirrabica en humano,2013-04-01,7,0,7,0,7
PAMPA GRANDE,otras vacunaciones,antirrabica en humano,2013-04-01,5,0,5,0,5
PORONGO,otras vacunaciones,antirrabica en humano,2013-04-01,5,0,5,0,5
PORTACHUELO,otras vacunaciones,antirrabica en humano,2013-04-01,5,0,5,0,5
POTOSI,otras vacunaciones,antirrabica en humano,2013-04-01,128,0,128,0,128
QUIRUSILLAS,otras vacunaciones,antirrabica en humano,2013-04-01,5,0,5,0,5
SACABA,otras vacunaciones,antirrabica en humano,2013-04-01,9,0,9,0,9
SAIPINA,otras vacunaciones,antirrabica en humano,2013-04-01,5,0,5,0,5
SAMAIPATA,otras vacunaciones,antirrabica en humano,2013-04-01,15,0,15,0,15
SAN BUENA VENTURA,otras vacunaciones,antirrabica en humano,2013-04-01,15,0,15,0,15
SAN CARLOS,otras vacunaciones,antirrabica en humano,2013-04-01,7,0,7,0,7
SAN IGNACIO,otras vacunaciones,antirrabica en humano,2013-04-01,5,0,5,0,5
SAN IGNACIO DE VELASCO,otras vacunaciones,antirrabica en humano,2013-04-01,39,0,39,0,39
SAN JAVIER(BNI),otras vacunaciones,antirrabica en humano,2013-04-01,0,30,0,30,30
SAN JOSE DE CHIQUITOS,otras vacunaciones,antirrabica en humano,2013-04-01,2,0,2,0,2
SAN LORENZO(TJA),otras vacunaciones,antirrabica en humano,2013-04-01,2,0,2,0,2
SAN MIGUEL DE VELASCO,otras vacunaciones,antirrabica en humano,2013-04-01,18,0,18,0,18
SAN PEDRO,otras vacunaciones,antirrabica en humano,2013-04-01,5,0,5,0,5
SAN RAMON SCZ,otras vacunaciones,antirrabica en humano,2013-04-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica en humano,2013-04-01,2006,0,2006,0,2006
SANTA ROSA DEL SARA,otras vacunaciones,antirrabica en humano,2013-04-01,21,0,21,0,21
SIPE SIPE,otras vacunaciones,antirrabica en humano,2013-04-01,8,0,8,0,8
SUCRE,otras vacunaciones,antirrabica en humano,2013-04-01,398,0,398,0,398
TARIJA,otras vacunaciones,antirrabica en humano,2013-04-01,164,0,164,0,164
TIAWANACU,otras vacunaciones,antirrabica en humano,2013-04-01,7,0,7,0,7
TOTORA(CBBA),otras vacunaciones,antirrabica en humano,2013-04-01,8,0,8,0,8
TRIGAL,otras vacunaciones,antirrabica en humano,2013-04-01,9,0,9,0,9
UNCIA,otras vacunaciones,antirrabica en humano,2013-04-01,2,0,2,0,2
UYUNI,otras vacunaciones,antirrabica en humano,2013-04-01,10,0,10,0,10
VALLEGRANDE,otras vacunaciones,antirrabica en humano,2013-04-01,34,0,34,0,34
VIACHA,otras vacunaciones,antirrabica en humano,2013-04-01,57,0,57,0,57
VILLA MONTES,otras vacunaciones,antirrabica en humano,2013-04-01,5,0,5,0,5
VILLAZON,otras vacunaciones,antirrabica en humano,2013-04-01,11,0,11,0,11
WARNES,otras vacunaciones,antirrabica en humano,2013-04-01,109,0,109,0,109
YACUIBA,otras vacunaciones,antirrabica en humano,2013-04-01,77,0,77,0,77
YAPACANI,otras vacunaciones,antirrabica en humano,2013-04-01,19,0,19,0,19
AIQUILE,otras vacunaciones,antirrabica en humano,2013-05-01,0,1,0,1,1
ALTO BENI,otras vacunaciones,antirrabica en humano,2013-05-01,3,0,3,0,3
ANZALDO,otras vacunaciones,antirrabica en humano,2013-05-01,0,10,0,10,10
ARBIETO,otras vacunaciones,antirrabica en humano,2013-05-01,1,0,1,0,1
ASCENCION DE GUARAYOS,otras vacunaciones,antirrabica en humano,2013-05-01,0,9,0,9,9
BERMEJO,otras vacunaciones,antirrabica en humano,2013-05-01,8,7,8,7,15
CALAMARCA,otras vacunaciones,antirrabica en humano,2013-05-01,7,0,7,0,7
CARANAVI,otras vacunaciones,antirrabica en humano,2013-05-01,2,0,2,0,2
CARAPARI,otras vacunaciones,antirrabica en humano,2013-05-01,2,0,2,0,2
CHALLAPATA,otras vacunaciones,antirrabica en humano,2013-05-01,5,0,5,0,5
CLIZA,otras vacunaciones,antirrabica en humano,2013-05-01,1,0,1,0,1
COCHABAMBA,otras vacunaciones,antirrabica en humano,2013-05-01,170,0,170,0,170
COLPA BELGICA,otras vacunaciones,antirrabica en humano,2013-05-01,10,0,10,0,10
COMARAPA,otras vacunaciones,antirrabica en humano,2013-05-01,20,5,20,5,25
COPACABANA,otras vacunaciones,antirrabica en humano,2013-05-01,1,0,1,0,1
COTOCA,otras vacunaciones,antirrabica en humano,2013-05-01,105,0,105,0,105
EL ALTO,otras vacunaciones,antirrabica en humano,2013-05-01,962,0,962,0,962
EL TORNO,otras vacunaciones,antirrabica en humano,2013-05-01,165,0,165,0,165
EUCALIPTUS,otras vacunaciones,antirrabica en humano,2013-05-01,0,2,0,2,2
FERNANDEZ ALONSO,otras vacunaciones,antirrabica en humano,2013-05-01,20,0,20,0,20
GENERAL SAAVEDRA,otras vacunaciones,antirrabica en humano,2013-05-01,12,0,12,0,12
HUANUNI,otras vacunaciones,antirrabica en humano,2013-05-01,2,0,2,0,2
LA GUARDIA,otras vacunaciones,antirrabica en humano,2013-05-01,176,0,176,0,176
LA PAZ,otras vacunaciones,antirrabica en humano,2013-05-01,182,1,182,1,183
LAJA,otras vacunaciones,antirrabica en humano,2013-05-01,8,0,8,0,8
MAIRANA,otras vacunaciones,antirrabica en humano,2013-05-01,18,0,18,0,18
MINEROS,otras vacunaciones,antirrabica en humano,2013-05-01,16,0,16,0,16
MIZQUE,otras vacunaciones,antirrabica en humano,2013-05-01,3,0,3,0,3
MONTERO,otras vacunaciones,antirrabica en humano,2013-05-01,149,0,149,0,149
ORURO,otras vacunaciones,antirrabica en humano,2013-05-01,1,0,1,0,1
PAILON,otras vacunaciones,antirrabica en humano,2013-05-01,10,0,10,0,10
PORONGO,otras vacunaciones,antirrabica en humano,2013-05-01,10,0,10,0,10
PORTACHUELO,otras vacunaciones,antirrabica en humano,2013-05-01,10,0,10,0,10
POTOSI,otras vacunaciones,antirrabica en humano,2013-05-01,144,0,144,0,144
PUCARANI,otras vacunaciones,antirrabica en humano,2013-05-01,6,0,6,0,6
PUERTO QUIJARRO,otras vacunaciones,antirrabica en humano,2013-05-01,17,0,17,0,17
PUNATA,otras vacunaciones,antirrabica en humano,2013-05-01,1,0,1,0,1
QUILLACOLLO,otras vacunaciones,antirrabica en humano,2013-05-01,50,0,50,0,50
QUIRUSILLAS,otras vacunaciones,antirrabica en humano,2013-05-01,1,0,1,0,1
RAVELO,otras vacunaciones,antirrabica en humano,2013-05-01,1,0,1,0,1
SACABA,otras vacunaciones,antirrabica en humano,2013-05-01,12,0,12,0,12
SAIPINA,otras vacunaciones,antirrabica en humano,2013-05-01,10,0,10,0,10
SAMAIPATA,otras vacunaciones,antirrabica en humano,2013-05-01,11,0,11,0,11
SAN ANTONIO DE LOMERIO,otras vacunaciones,antirrabica en humano,2013-05-01,1,0,1,0,1
SAN BUENA VENTURA,otras vacunaciones,antirrabica en humano,2013-05-01,6,0,6,0,6
SAN CARLOS,otras vacunaciones,antirrabica en humano,2013-05-01,1,0,1,0,1
SAN IGNACIO,otras vacunaciones,antirrabica en humano,2013-05-01,10,0,10,0,10
SAN IGNACIO DE VELASCO,otras vacunaciones,antirrabica en humano,2013-05-01,55,0,55,0,55
SAN JULIAN,otras vacunaciones,antirrabica en humano,2013-05-01,15,0,15,0,15
