municipality,group,variable,month,PCD referidas a Unidades de Calificación de Discapacidad.,TOTAL
ATOCHA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-02-01,1,1
AUCAPATA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-02-01,1,1
COCHABAMBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-02-01,11,11
EL ALTO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-02-01,13,13
LA PAZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-02-01,16,16
MONTEAGUDO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-02-01,1,1
PAILON,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-02-01,1,1
RURRENABAQUE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-02-01,1,1
SAMAIPATA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-02-01,2,2
SAN LUCAS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-02-01,2,2
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-02-01,107,107
TARIJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-02-01,287,287
TRINIDAD,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-02-01,2,2
VIACHA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-02-01,4,4
YOCALLA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-02-01,1,1
BETANZOS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-03-01,1,1
CAMARGO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-03-01,1,1
CHULUMANI (V. DE LA LIBERTAD),refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-03-01,1,1
COBIJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-03-01,3,3
COCHABAMBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-03-01,212,212
EL ALTO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-03-01,8,8
LA PAZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-03-01,23,23
MONTERO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-03-01,1,1
ORURO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-03-01,2,2
POSTRER VALLE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-03-01,1,1
PUNATA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-03-01,13,13
RIBERALTA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-03-01,1,1
SAN JAVIER(BNI),refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-03-01,2,2
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-03-01,26,26
SUCRE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-03-01,7,7
TARIJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-03-01,334,334
TRINIDAD,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-03-01,4,4
TUPIZA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-03-01,1,1
VIACHA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-03-01,4,4
VILLA VACA GUZMAN (MUYUPAMPA),refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-03-01,1,1
YAPACANI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-03-01,1,1
BETANZOS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-04-01,1,1
CARANAVI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-04-01,6,6
CHULUMANI (V. DE LA LIBERTAD),refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-04-01,12,12
COCHABAMBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-04-01,25,25
EL ALTO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-04-01,11,11
EL TORNO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-04-01,1,1
LA PAZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-04-01,14,14
MONTEAGUDO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-04-01,2,2
ORURO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-04-01,3,3
POROMA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-04-01,6,6
POTOSI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-04-01,2,2
QUILLACOLLO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-04-01,1,1
RIBERALTA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-04-01,1,1
RURRENABAQUE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-04-01,1,1
SUCRE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-04-01,6,6
TARIJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-04-01,257,257
TARVITA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-04-01,4,4
TIRAQUE (CBBA),refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-04-01,1,1
TRINIDAD,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-04-01,1,1
VIACHA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-04-01,1,1
ZUDAÑEZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-04-01,1,1
BETANZOS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-05-01,1,1
CARANAVI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-05-01,10,10
CARMEN RIVERO TORREZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-05-01,1,1
CHULUMANI (V. DE LA LIBERTAD),refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-05-01,6,6
COCHABAMBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-05-01,15,15
EL ALTO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-05-01,12,12
LA PAZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-05-01,15,15
LAJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-05-01,1,1
MONTEAGUDO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-05-01,2,2
ORURO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-05-01,1,1
POTOSI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-05-01,4,4
ROBORE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-05-01,1,1
SAMAIPATA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-05-01,3,3
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-05-01,8,8
SAPAHAQUI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-05-01,2,2
SOPACHUY,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-05-01,1,1
SUCRE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-05-01,4,4
TARIJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-05-01,311,311
TARVITA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-05-01,1,1
TIRAQUE (CBBA),refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-05-01,1,1
TRINIDAD,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-05-01,7,7
VILLA SERRANO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-05-01,40,40
ZUDAÑEZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-05-01,3,3
CARANAVI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-06-01,10,10
CHULUMANI (V. DE LA LIBERTAD),refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-06-01,22,22
COCHABAMBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-06-01,16,16
EL ALTO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-06-01,9,9
EL TORNO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-06-01,1,1
ENTRE RIOS TRJ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-06-01,1,1
LA PAZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-06-01,14,14
ORURO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-06-01,2,2
PAZÑA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-06-01,1,1
SAN LUCAS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-06-01,1,1
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-06-01,16,16
SOPACHUY,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-06-01,2,2
SUCRE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-06-01,2,2
TARIJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-06-01,639,639
TIRAQUE (CBBA),refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-06-01,1,1
TRINIDAD,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-06-01,4,4
VIACHA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-06-01,1,1
YACUIBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-06-01,1,1
YAPACANI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-06-01,1,1
ANZALDO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-07-01,15,15
AZURDUY,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-07-01,1,1
BAURES,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-07-01,1,1
BETANZOS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-07-01,1,1
CARANAVI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-07-01,15,15
CHULUMANI (V. DE LA LIBERTAD),refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-07-01,2,2
COCHABAMBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-07-01,28,28
EL ALTO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-07-01,13,13
EL TORNO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-07-01,2,2
LA PAZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-07-01,20,20
LAGUNILLAS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-07-01,9,9
LLALLAGUA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-07-01,4,4
MONTERO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-07-01,1,1
ORURO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-07-01,3,3
SAN LUCAS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-07-01,1,1
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-07-01,6,6
SUCRE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-07-01,2,2
TARIJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-07-01,449,449
TARVITA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-07-01,1,1
TIRAQUE (CBBA),refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-07-01,3,3
TRINIDAD,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-07-01,1,1
TUPIZA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-07-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-07-01,1,1
WARNES,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-07-01,1,1
YANACACHI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-07-01,1,1
ASCENCION DE GUARAYOS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-08-01,2,2
AUCAPATA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-08-01,2,2
CARANAVI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-08-01,47,47
CHULUMANI (V. DE LA LIBERTAD),refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-08-01,1,1
COBIJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-08-01,1,1
COCHABAMBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-08-01,24,24
EL ALTO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-08-01,12,12
GUAYARAMERIN,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-08-01,7,7
HUACARETA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-08-01,5,5
LA GUARDIA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-08-01,2,2
LA PAZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-08-01,15,15
LLALLAGUA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-08-01,1,1
MONTERO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-08-01,1,1
ORURO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-08-01,1,1
POTOSI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-08-01,2,2
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-08-01,1,1
SANTA ROSA DEL SARA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-08-01,6,6
SOPACHUY,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-08-01,1,1
SUCRE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-08-01,2,2
TARIJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-08-01,418,418
TIRAQUE (CBBA),refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-08-01,1,1
TRINIDAD,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-08-01,2,2
YOTALA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-08-01,1,1
BETANZOS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-09-01,1,1
CARANAVI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-09-01,28,28
CHULUMANI (V. DE LA LIBERTAD),refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-09-01,1,1
COBIJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-09-01,1,1
COCHABAMBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-09-01,19,19
COTOCA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-09-01,1,1
EL ALTO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-09-01,19,19
LA PAZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-09-01,8,8
MINEROS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-09-01,1,1
MONTEAGUDO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-09-01,1,1
ORURO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-09-01,1,1
PUERTO SUAREZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-09-01,1,1
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-09-01,1,1
SUCRE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-09-01,2,2
TARATA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-09-01,2,2
TARIJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-09-01,153,153
TRINIDAD,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-09-01,1,1
CAMIRI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-10-01,1,1
CARANAVI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-10-01,8,8
CHULUMANI (V. DE LA LIBERTAD),refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-10-01,1,1
CHUMA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-10-01,1,1
COBIJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-10-01,2,2
COCHABAMBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-10-01,42,42
"COLCHA ""K""",refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-10-01,8,8
EL ALTO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-10-01,3,3
EL TORNO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-10-01,2,2
JESUS DE MACHACA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-10-01,2,2
LA PAZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-10-01,12,12
LAGUNILLAS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-10-01,18,18
MACHARETI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-10-01,32,32
MONTEAGUDO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-10-01,3,3
ORURO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-10-01,2,2
PUERTO SUAREZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-10-01,1,1
RIBERALTA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-10-01,1,1
SAMAIPATA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-10-01,1,1
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-10-01,3,3
SUCRE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-10-01,2,2
TARATA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-10-01,1,1
TARIJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-10-01,474,474
TARVITA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-10-01,2,2
TIRAQUE (CBBA),refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-10-01,1,1
TRINIDAD,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-10-01,9,9
YANACACHI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-10-01,1,1
ZUDAÑEZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-10-01,1,1
AZURDUY,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-11-01,53,53
CARANAVI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-11-01,9,9
COCHABAMBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-11-01,35,35
EL ALTO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-11-01,12,12
EL TORNO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-11-01,3,3
LA PAZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-11-01,9,9
ORURO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-11-01,1,1
PAILON,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-11-01,1,1
PATACAMAYA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-11-01,1,1
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-11-01,1,1
SUCRE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-11-01,15,15
TARIJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-11-01,369,369
TARVITA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-11-01,3,3
TIRAQUE (CBBA),refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-11-01,1,1
TRINIDAD,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-11-01,16,16
AZURDUY,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-12-01,1,1
CARANAVI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-12-01,3,3
COCHABAMBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-12-01,29,29
EL ALTO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-12-01,4,4
LA GUARDIA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-12-01,1,1
LA PAZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-12-01,257,257
RURRENABAQUE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-12-01,4,4
SUCRE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-12-01,6,6
TARIJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-12-01,184,184
TRINIDAD,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-12-01,4,4
YACUIBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2018-12-01,1,1
