municipality,group,variable,month,Pacientes referidos recibidos por el establecimiento,TOTAL
CARAPARI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,4,4
CARMEN RIVERO TORREZ,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,6,6
CHALLAPATA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,18,18
CHARAGUA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,17,17
CHAYANTA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,10,10
CHIMORE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,8,8
CHULUMANI (V. DE LA LIBERTAD),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,66,66
CLIZA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,18,18
COBIJA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,43,43
COCAPATA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,2,2
COCHABAMBA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,2338,2338
COLCAPIRHUA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,5,5
"COLCHA ""K""",refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,6,6
COLQUECHACA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,4,4
COLQUIRI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,2,2
COMARAPA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,6,6
CONCEPCION,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,2,2
COPACABANA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,1,1
COROICO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,23,23
COTAGAITA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,6,6
COTOCA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,18,18
CUATRO CAÑADAS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,56,56
CULPINA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,10,10
DESAGUADERO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,4,4
EL ALTO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,1839,1839
EL TORNO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,53,53
EL VILLAR,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,2,2
ENTRE RIOS CBBA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,5,5
ESCOMA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,29,29
FERNANDEZ ALONSO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,2,2
FILADELFIA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,3,3
GENERAL SAAVEDRA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,2,2
GUANAY,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,3,3
GUAYARAMERIN,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,9,9
HUANUNI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,151,151
ICLA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,1,1
INQUISIVI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,1,1
LA ASUNTA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,2,2
LA GUARDIA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,17,17
LA PAZ,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,2917,2917
LAS CARRERAS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,1,1
LLALLAGUA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,76,76
LORETO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,2,2
MACHARETI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,2,2
MAGDALENA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,11,11
MAIRANA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,5,5
MAPIRI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,1,1
MINEROS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,4,4
MIZQUE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,11,11
MOJOCOYA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,1,1
MONTEAGUDO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,31,31
MONTERO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,748,748
OCURI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,2,2
OKINAWA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,1,1
OMEREQUE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,2,2
ORURO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,417,417
PADCAYA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,4,4
PADILLA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,45,45
PAILON,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,1,1
PALOS BLANCOS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,4,4
PAMPA AULLAGAS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,1,1
PAZÑA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,1,1
POCOATA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,1,1
POCONA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,1,1
PORTACHUELO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,6,6
POTOSI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,162,162
PRESTO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,2,2
PUERTO SUAREZ,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,7,7
PUERTO VILLARROEL,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,44,44
PUNA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,1,1
PUNATA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,258,258
QUILLACOLLO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,69,69
RIBERALTA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,93,93
ROBORE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,2,2
RURRENABAQUE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,18,18
SABAYA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,2,2
SACABA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,30,30
SAN ANDRES,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,1,1
SAN ANTONIO DE LOMERIO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,1,1
SAN BENITO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,2,2
SAN BORJA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,10,10
SAN BUENA VENTURA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,12,12
SAN CARLOS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,15,15
SAN IGNACIO DE VELASCO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,46,46
SAN JOSE DE CHIQUITOS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,3,3
SAN JUAN DE YAPACANI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,2,2
SAN JULIAN,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,88,88
SAN LUCAS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,30,30
SAN MATIAS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,5,5
SAN MIGUEL DE VELASCO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,4,4
SAN PEDRO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,1,1
SAN PEDRO DE CURAHUARA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,1,1
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,5205,5205
SANTA ROSA DEL SARA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,10,10
SANTIVAÑES,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,6,6
SHINAOTA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,9,9
SICA SICA (VILLA AROMA),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,4,4
SOPACHUY,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,10,10
SORATA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,1,1
SUCRE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,1306,1306
TACACOMA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,1,1
TARABUCO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,47,47
TARACO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,1,1
TARATA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,4,4
TARIJA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,237,237
TARVITA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,6,6
TEOPONTE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,2,2
TINGUIPAYA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,4,4
TIQUIPAYA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,52,52
TIRAQUE (CBBA),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,2,2
TOLATA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,5,5
TOMAVE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,1,1
TOMINA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,4,4
TOTORA(CBBA),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,6,6
TOTORA(ORR),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,3,3
TRIGAL,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,1,1
TRINIDAD,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,1120,1120
TUPIZA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,389,389
UMALA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,3,3
URIONDO (A. CONCEPCION),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,4,4
UYUNI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,16,16
VALLEGRANDE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,44,44
VIACHA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,19,19
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,3,3
VILLA MONTES,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,23,23
VILLA RIVERO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,1,1
VILLA SERRANO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,2,2
VILLA TUNARI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,39,39
VILLAZON,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,90,90
VINTO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,7,7
WALDO BALLIVIAN,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,1,1
WARNES,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,29,29
YACUIBA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,222,222
YAPACANI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,275,275
YOTALA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-01-01,5,5
ACHACACHI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,27,27
ACHOCALLA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,2,2
AIQUILE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,17,17
ANZALDO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,2,2
APOLO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,1,1
ARBIETO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,1,1
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,25,25
ATOCHA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,2,2
AUCAPATA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,2,2
BERMEJO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,50,50
BETANZOS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,1,1
BOYUIBE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,1,1
BUENA VISTA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,2,2
CABEZAS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,2,2
CAMARGO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,39,39
CAMIRI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,209,209
CAPINOTA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,1,1
CARANAVI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,108,108
CARAPARI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,1,1
CARMEN RIVERO TORREZ,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,4,4
CHACARILLA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,1,1
CHALLAPATA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,21,21
CHARAGUA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,32,32
CHIMORE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,5,5
CHULUMANI (V. DE LA LIBERTAD),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,64,64
CHUQUIHUTA AYLLU JUCUMANI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,5,5
CLIZA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,28,28
COBIJA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,13,13
COCAPATA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,2,2
COCHABAMBA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,2818,2818
COLCAPIRHUA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,13,13
"COLCHA ""K""",refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,5,5
COLOMI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,7,7
COMARAPA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,12,12
CONCEPCION,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,4,4
COROICO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,27,27
COTAGAITA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,4,4
COTOCA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,31,31
CUATRO CAÑADAS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,56,56
CUEVO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,1,1
CULPINA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,4,4
EL ALTO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,1889,1889
EL TORNO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,30,30
ENTRE RIOS TRJ,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,1,1
ESCOMA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,2,2
FERNANDEZ ALONSO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,4,4
GENERAL SAAVEDRA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,5,5
GRAL. J.J. PEREZ (CHARAZANI),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,1,1
GUANAY,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,9,9
GUAYARAMERIN,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,12,12
GUTIERREZ,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,19,19
HUANUNI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,89,89
ICLA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,2,2
INQUISIVI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,1,1
IRUPANA (VILLA DE LANZA),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,1,1
LA ASUNTA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,5,5
LA GUARDIA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,3,3
LA PAZ,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,3291,3291
LLALLAGUA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,65,65
LORETO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,3,3
MACHARETI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,2,2
MAGDALENA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,9,9
MAIRANA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,16,16
MAPIRI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,3,3
MECAPACA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,3,3
MINEROS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,3,3
MIZQUE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,16,16
MOCOMOCO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,1,1
MONTEAGUDO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,49,49
MONTERO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,757,757
NACEBE (SANTA ROSA DEL ABUNA),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,2,2
OCURI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,3,3
OKINAWA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,1,1
OMEREQUE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,1,1
ORURO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,641,641
PADCAYA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,4,4
PADILLA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,37,37
PAILON,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,8,8
PALOS BLANCOS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,6,6
PASORAPA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,1,1
PAZÑA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,4,4
PORTACHUELO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,22,22
POTOSI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,151,151
PRESTO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,3,3
PUERTO ACOSTA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,1,1
PUERTO RICO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,3,3
PUERTO SUAREZ,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,2,2
PUERTO VILLARROEL,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,60,60
PUNATA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,243,243
QUILLACOLLO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,53,53
QUIRUSILLAS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,1,1
RAQAYPAMPA(ETA),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,1,1
RIBERALTA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,136,136
ROBORE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,1,1
RURRENABAQUE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,19,19
SABAYA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,1,1
SACABA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,53,53
SALINAS DE GARCI MENDOZA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,2,2
SAN ANTONIO DE LOMERIO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,1,1
SAN BENITO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,3,3
SAN BORJA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,12,12
SAN BUENA VENTURA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,4,4
SAN CARLOS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,39,39
SAN IGNACIO DE VELASCO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,46,46
SAN JAVIER(STC),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,8,8
SAN JOSE DE CHIQUITOS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,5,5
SAN JULIAN,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,100,100
SAN LUCAS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,39,39
SAN MATIAS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,3,3
SAN MIGUEL DE VELASCO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,3,3
SAN PEDRO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,3,3
SANTA ANA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,2,2
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,7140,7140
SANTA ROSA DEL SARA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,5,5
SANTIAGO DE HUATA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,2,2
SANTIVAÑES,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,2,2
SAPAHAQUI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,1,1
SENA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,1,1
SHINAOTA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,5,5
SICA SICA (VILLA AROMA),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,4,4
SIPE SIPE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2018-02-01,2,2
