municipality,group,variable,month,Pacientes contrareferidos al establecimiento,TOTAL
OCURI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,1,1
ORURO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,22,22
PALOS BLANCOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,1,1
POROMA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,1,1
PORTACHUELO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,6,6
PUNA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,1,1
QUILLACOLLO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,2,2
RAVELO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,1,1
RIBERALTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,3,3
SACABA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,1,1
SAN BUENA VENTURA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,1,1
SAN CARLOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,2,2
SAN IGNACIO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,1,1
SAN JULIAN,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,1,1
SAN LUCAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,3,3
SAN MIGUEL DE VELASCO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,3,3
SAN PEDRO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,1,1
SAN RAFAEL,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,2,2
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,275,275
SOPACHUY,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,3,3
SUCRE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,175,175
TARABUCO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,2,2
TARATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,1,1
TARIJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,13,13
TIRAQUE (CBBA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,1,1
TOMINA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,7,7
TRINIDAD,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,22,22
TUPIZA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,39,39
URUBICHA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,1,1
VALLEGRANDE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,2,2
VILLA MONTES,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,1,1
VILLAZON,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,2,2
YACUIBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,2,2
YAPACANI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,1,1
ZUDAÑEZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-01-01,1,1
AIQUILE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,1,1
ANDAMARCA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,1,1
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,12,12
ATOCHA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,1,1
AYATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,1,1
BERMEJO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,20,20
BOLPEBRA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,1,1
BUENA VISTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,3,3
CAMIRI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,20,20
CARANAVI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,1,1
CLIZA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,4,4
COBIJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,16,16
COCHABAMBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,240,240
COLCAPIRHUA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,3,3
COLQUECHACA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,2,2
COTOCA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,26,26
EL ALTO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,22,22
EL TORNO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,2,2
GUAYARAMERIN,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,10,10
GUTIERREZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,3,3
HUACARETA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,3,3
ICLA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,1,1
INQUISIVI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,2,2
IXIAMAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,1,1
LA PAZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,745,745
MAIRANA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,2,2
MIZQUE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,2,2
MONTEAGUDO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,1,1
MONTERO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,53,53
NACEBE (SANTA ROSA DEL ABUNA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,3,3
ORURO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,26,26
PORTACHUELO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,5,5
PORVENIR,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,1,1
POTOSI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,1,1
QUILLACOLLO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,1,1
RAVELO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,1,1
RIBERALTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,7,7
RURRENABAQUE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,7,7
SACABA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,1,1
SAN BORJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,1,1
SAN JUAN DE YAPACANI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,3,3
SAN JULIAN,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,28,28
SAN LUCAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,12,12
SAN MIGUEL DE VELASCO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,5,5
SAN PEDRO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,3,3
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,304,304
SIPE SIPE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,1,1
SUCRE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,164,164
TARIJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,11,11
TARVITA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,2,2
TEOPONTE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,1,1
TOMINA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,2,2
TRINIDAD,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,11,11
TUPIZA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,33,33
URUBICHA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,1,1
VALLEGRANDE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,3,3
VILLA SERRANO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,4,4
VILLA VACA GUZMAN (MUYUPAMPA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,3,3
VILLAZON,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,2,2
VINTO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,2,2
YACUIBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,2,2
ZUDAÑEZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-02-01,3,3
AIQUILE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,4,4
ALCALA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,4,4
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,16,16
BELLA FLOR,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,2,2
BERMEJO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,29,29
BUENA VISTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,4,4
CAMARGO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,2,2
CAMIRI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,26,26
CARANAVI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,5,5
CHALLAPATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,4,4
CHARAGUA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,1,1
CHIMORE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,1,1
CHULUMANI (V. DE LA LIBERTAD),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,1,1
CLIZA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,12,12
COBIJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,33,33
COCHABAMBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,58,58
COLCAPIRHUA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,2,2
COLQUECHACA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,1,1
COMARAPA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,1,1
CONCEPCION,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,1,1
COTOCA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,21,21
CUATRO CAÑADAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,2,2
EL ALTO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,17,17
EL PUENTE(TJA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,1,1
EL TORNO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,6,6
EL VILLAR,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,4,4
ENTRE RIOS CBBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,1,1
GUAYARAMERIN,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,1,1
GUTIERREZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,2,2
LA GUARDIA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,2,2
LA PAZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,952,952
MACHARETI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,1,1
MAIRANA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,2,2
MIZQUE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,1,1
MONTEAGUDO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,1,1
MONTERO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,41,41
ORURO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,57,57
PADILLA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,28,28
PAILON,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,3,3
POOPO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,3,3
POROMA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,1,1
PORTACHUELO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,11,11
POTOSI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,1,1
PRESTO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,6,6
PUNA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,1,1
RIBERALTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,3,3
SAN BUENA VENTURA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,1,1
SAN CARLOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,6,6
SAN JOSE DE CHIQUITOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,1,1
SAN LORENZO(PND),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,1,1
SAN LUCAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,4,4
SAN MIGUEL DE VELASCO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,5,5
SAN RAFAEL,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,2,2
SAN RAMON SCZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,1,1
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,368,368
SENA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,1,1
SOPACHUY,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,1,1
SUCRE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,216,216
TARABUCO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,2,2
TARIJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,17,17
TOMINA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,5,5
TRINIDAD,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,15,15
TUPIZA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,20,20
VALLEGRANDE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,2,2
VILLA MONTES,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,1,1
VILLA SERRANO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,4,4
VILLAZON,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,4,4
VINTO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,2,2
YACUIBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,2,2
ZUDAÑEZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-03-01,1,1
AIQUILE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,7,7
ARBIETO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,1,1
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,11,11
ATOCHA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,4,4
AYATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,3,3
BERMEJO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,11,11
BETANZOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,3,3
BUENA VISTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,1,1
CAMARGO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,1,1
CAMATAQUI (C. VILLA ABECIA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,2,2
CAMIRI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,29,29
CHULUMANI (V. DE LA LIBERTAD),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,5,5
CLIZA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,10,10
COBIJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,27,27
COCHABAMBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,360,360
COLCAPIRHUA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,2,2
"COLCHA ""K""",refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,1,1
COLQUECHACA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,2,2
COMARAPA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,5,5
COTAGAITA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,1,1
COTOCA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,8,8
CUATRO CAÑADAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,1,1
EL ALTO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,34,34
EL PUENTE(TJA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,1,1
EL TORNO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,1,1
EL VILLAR,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,1,1
FERNANDEZ ALONSO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,1,1
GUTIERREZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,3,3
HUANUNI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,1,1
ICLA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,2,2
LA GUARDIA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,1,1
LA PAZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,312,312
LAS CARRERAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,1,1
MACHARETI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,1,1
MINEROS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,1,1
MIZQUE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,1,1
MONTEAGUDO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,7,7
MONTERO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,64,64
NACEBE (SANTA ROSA DEL ABUNA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,2,2
OCURI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,1,1
ORURO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,104,104
PAMPA GRANDE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,1,1
POROMA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,1,1
PORTACHUELO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,12,12
POTOSI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,3,3
PRESTO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,1,1
PUCARANI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,1,1
PUERTO RICO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,2,2
PUERTO SUAREZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,1,1
QUILLACOLLO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,126,126
RIBERALTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,10,10
RURRENABAQUE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,3,3
SACACA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,1,1
SAIPINA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,2,2
SAN CARLOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,2,2
SAN IGNACIO DE VELASCO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,1,1
SAN JULIAN,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,1,1
SAN MIGUEL DE VELASCO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,9,9
SAN PEDRO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,2,2
SAN RAFAEL,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,1,1
SAN RAMON SCZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,1,1
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,366,366
SENA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,3,3
SHINAOTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,1,1
SOPACHUY,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,1,1
SUCRE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,232,232
TARABUCO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,4,4
TARIJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,32,32
TARVITA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,1,1
TIQUIPAYA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,1,1
TOMINA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,1,1
TRINIDAD,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,36,36
TUPIZA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,21,21
URUBICHA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,1,1
VILLA MONTES,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,4,4
VINTO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,1,1
YACUIBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,2,2
ZUDAÑEZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-04-01,1,1
AIQUILE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-05-01,8,8
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-05-01,12,12
AYATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-05-01,1,1
AZURDUY,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-05-01,1,1
BERMEJO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-05-01,10,10
CAMIRI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-05-01,34,34
CHULUMANI (V. DE LA LIBERTAD),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-05-01,2,2
COBIJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-05-01,38,38
COCHABAMBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-05-01,328,328
COLCAPIRHUA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-05-01,3,3
COLQUECHACA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-05-01,8,8
COMARAPA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-05-01,2,2
CORIPATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-05-01,1,1
COTOCA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2018-05-01,19,19
