municipality,group,variable,month,Pacientes referidos del establecimiento a la medicina tradicional,TOTAL
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-06-01,12,12
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-06-01,59,59
SAN BORJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-06-01,4,4
SUCRE,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-06-01,1,1
TARIJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-06-01,21,21
TARVITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-06-01,8,8
TOMINA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-06-01,3,3
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-06-01,45,45
VILLA SERRANO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-06-01,3,3
YACUIBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-06-01,3,3
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-07-01,1,1
HUACAYA (VILLA DE HUACAYA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-07-01,1,1
LAJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-07-01,1,1
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-07-01,9,9
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-07-01,24,24
SAN BORJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-07-01,4,4
SAN LUCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-07-01,8,8
SUCRE,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-07-01,20,20
TARIJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-07-01,1,1
TARVITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-07-01,1,1
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-07-01,24,24
CKOCHAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-08-01,1,1
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-08-01,1,1
EL PUENTE(TJA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-08-01,1,1
EL VILLAR,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-08-01,1,1
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-08-01,16,16
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-08-01,27,27
SAN JAVIER(BNI),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-08-01,1,1
SAN LUCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-08-01,8,8
TARIJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-08-01,2,2
TRINIDAD,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-08-01,2,2
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-08-01,37,37
VILLA SERRANO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-08-01,1,1
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-09-01,1,1
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-09-01,1,1
EL PUENTE(TJA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-09-01,1,1
EL VILLAR,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-09-01,2,2
HUACAYA (VILLA DE HUACAYA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-09-01,2,2
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-09-01,4,4
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-09-01,1,1
PALCA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-09-01,1,1
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-09-01,14,14
SAN BORJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-09-01,1,1
TARVITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-09-01,1,1
URIONDO (A. CONCEPCION),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-09-01,1,1
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-09-01,33,33
ATOCHA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-10-01,1,1
CAMIRI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-10-01,1,1
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-10-01,1,1
EL PUENTE(TJA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-10-01,1,1
HUACAYA (VILLA DE HUACAYA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-10-01,1,1
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-10-01,3,3
PAILON,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-10-01,1,1
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-10-01,15,15
SAN BORJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-10-01,2,2
TARIJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-10-01,1,1
TARVITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-10-01,2,2
TRINIDAD,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-10-01,4,4
UNCIA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-10-01,1,1
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-10-01,33,33
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-11-01,1,1
LA PAZ,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-11-01,16,16
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-11-01,11,11
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-11-01,1,1
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-11-01,15,15
SAN BORJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-11-01,2,2
SAN LUCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-11-01,2,2
TARIJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-11-01,1,1
TRINIDAD,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-11-01,3,3
UNCIA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-11-01,2,2
URIONDO (A. CONCEPCION),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-11-01,1,1
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-11-01,14,14
VILLA SERRANO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-11-01,1,1
YACUIBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-11-01,4,4
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-12-01,8,8
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-12-01,30,30
SAN BORJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-12-01,1,1
SAN LUCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-12-01,5,5
TARIJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-12-01,1,1
TRINIDAD,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-12-01,5,5
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-12-01,12,12
YACUIBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2018-12-01,6,6
