municipality,group,variable,month,Pacientes derivados de la comunidad o medicina tradicional,TOTAL
SOPACHUY,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-03-01,6,6
SUCRE,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-03-01,104,104
TARABUCO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-03-01,10,10
TARVITA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-03-01,54,54
TOMAVE,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-03-01,1,1
TOMINA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-03-01,15,15
TRINIDAD,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-03-01,2,2
VILLA CHARCAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-03-01,8,8
VILLA MONTES,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-03-01,2,2
VILLA SERRANO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-03-01,8,8
VILLA VACA GUZMAN (MUYUPAMPA),refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-03-01,2,2
YAMPARAEZ,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-03-01,15,15
ZUDAÑEZ,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-03-01,33,33
ALCALA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-04-01,52,52
AZURDUY,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-04-01,68,68
BERMEJO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-04-01,4,4
CAMATAQUI (C. VILLA ABECIA),refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-04-01,3,3
COCHABAMBA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-04-01,1,1
COLCAPIRHUA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-04-01,1,1
CULPINA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-04-01,85,85
EL VILLAR,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-04-01,8,8
HUACARETA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-04-01,15,15
HUACAYA (VILLA DE HUACAYA),refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-04-01,25,25
ICLA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-04-01,34,34
LA PAZ,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-04-01,3,3
LAS CARRERAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-04-01,1,1
MOJOCOYA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-04-01,51,51
MONTEAGUDO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-04-01,55,55
PADCAYA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-04-01,1,1
PADILLA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-04-01,5,5
POROMA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-04-01,55,55
PRESTO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-04-01,56,56
SACABA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-04-01,1,1
SAN LUCAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-04-01,44,44
SAN RAFAEL,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-04-01,2,2
SANTA ANA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-04-01,1,1
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-04-01,19,19
SOPACHUY,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-04-01,4,4
SUCRE,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-04-01,245,245
TARABUCO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-04-01,23,23
TARIJA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-04-01,1,1
TARVITA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-04-01,49,49
TOMINA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-04-01,7,7
VILLA CHARCAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-04-01,22,22
VILLA MONTES,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-04-01,1,1
VILLA SERRANO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-04-01,11,11
VILLA VACA GUZMAN (MUYUPAMPA),refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-04-01,5,5
YAMPARAEZ,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-04-01,39,39
ZUDAÑEZ,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-04-01,21,21
ALCALA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-05-01,26,26
AZURDUY,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-05-01,62,62
BERMEJO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-05-01,2,2
CAMATAQUI (C. VILLA ABECIA),refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-05-01,10,10
CARANAVI,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-05-01,1,1
COCHABAMBA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-05-01,1,1
CULPINA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-05-01,41,41
EL PUENTE(TJA),refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-05-01,1,1
EL VILLAR,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-05-01,5,5
HUACARETA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-05-01,5,5
HUACAYA (VILLA DE HUACAYA),refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-05-01,20,20
ICLA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-05-01,18,18
LA PAZ,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-05-01,1,1
MACHARETI,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-05-01,2,2
MOJOCOYA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-05-01,53,53
MONTEAGUDO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-05-01,23,23
PADILLA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-05-01,3,3
POROMA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-05-01,43,43
PRESTO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-05-01,50,50
SAN LUCAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-05-01,47,47
SAN RAFAEL,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-05-01,2,2
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-05-01,1,1
SOPACHUY,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-05-01,6,6
SUCRE,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-05-01,221,221
TARABUCO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-05-01,71,71
TARIJA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-05-01,1,1
TARVITA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-05-01,74,74
TOMINA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-05-01,8,8
VILLA CHARCAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-05-01,21,21
VILLA SERRANO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-05-01,12,12
VILLA VACA GUZMAN (MUYUPAMPA),refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-05-01,4,4
YAMPARAEZ,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-05-01,49,49
YUNCHARA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-05-01,1,1
ZUDAÑEZ,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-05-01,25,25
ALCALA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-06-01,33,33
AZURDUY,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-06-01,46,46
CAMARGO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-06-01,8,8
CAMATAQUI (C. VILLA ABECIA),refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-06-01,5,5
CARANAVI,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-06-01,1,1
COCHABAMBA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-06-01,1,1
CULPINA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-06-01,63,63
EL VILLAR,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-06-01,8,8
HUACARETA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-06-01,3,3
HUACAYA (VILLA DE HUACAYA),refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-06-01,20,20
ICLA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-06-01,15,15
LAS CARRERAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-06-01,13,13
MACHARETI,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-06-01,3,3
MOJOCOYA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-06-01,27,27
MONTEAGUDO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-06-01,15,15
PADCAYA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-06-01,1,1
PADILLA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-06-01,2,2
POROMA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-06-01,53,53
PRESTO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-06-01,34,34
SAN LORENZO(TJA),refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-06-01,1,1
SAN LUCAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-06-01,319,319
SAN RAFAEL,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-06-01,1,1
SOPACHUY,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-06-01,20,20
SUCRE,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-06-01,166,166
TARABUCO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-06-01,33,33
TARIJA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-06-01,1,1
TARVITA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-06-01,82,82
TINGUIPAYA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-06-01,1,1
TOMINA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-06-01,5,5
VILLA CHARCAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-06-01,16,16
VILLA SERRANO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-06-01,19,19
VILLA VACA GUZMAN (MUYUPAMPA),refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-06-01,5,5
YAMPARAEZ,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-06-01,36,36
YOTALA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-06-01,3,3
ZUDAÑEZ,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-06-01,20,20
ALCALA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-07-01,47,47
AZURDUY,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-07-01,46,46
CAMARGO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-07-01,14,14
CAMATAQUI (C. VILLA ABECIA),refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-07-01,4,4
COCHABAMBA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-07-01,1,1
CULPINA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-07-01,31,31
EL VILLAR,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-07-01,5,5
HUACARETA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-07-01,2,2
HUACAYA (VILLA DE HUACAYA),refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-07-01,26,26
ICLA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-07-01,11,11
LA PAZ,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-07-01,1,1
LAS CARRERAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-07-01,10,10
MACHARETI,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-07-01,6,6
MOJOCOYA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-07-01,33,33
MONTEAGUDO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-07-01,14,14
MONTERO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-07-01,1,1
PADCAYA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-07-01,1,1
PADILLA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-07-01,2,2
POROMA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-07-01,79,79
PRESTO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-07-01,24,24
SAN LUCAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-07-01,403,403
SAN RAFAEL,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-07-01,6,6
SOPACHUY,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-07-01,8,8
SUCRE,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-07-01,269,269
TARABUCO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-07-01,24,24
TARIJA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-07-01,2,2
TARVITA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-07-01,53,53
TOMINA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-07-01,11,11
VILLA CHARCAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-07-01,24,24
VILLA SERRANO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-07-01,24,24
VILLA VACA GUZMAN (MUYUPAMPA),refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-07-01,5,5
YAMPARAEZ,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-07-01,26,26
ZUDAÑEZ,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-07-01,12,12
ALCALA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-08-01,40,40
AZURDUY,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-08-01,26,26
CAMARGO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-08-01,3,3
CAMATAQUI (C. VILLA ABECIA),refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-08-01,1,1
CARIPUYO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-08-01,1,1
CHAYANTA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-08-01,1,1
COCHABAMBA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-08-01,1,1
CULPINA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-08-01,38,38
EL PUENTE(TJA),refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-08-01,2,2
EL VILLAR,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-08-01,14,14
HUACARETA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-08-01,3,3
HUACAYA (VILLA DE HUACAYA),refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-08-01,29,29
ICLA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-08-01,6,6
LAS CARRERAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-08-01,15,15
MACHARETI,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-08-01,2,2
MOJOCOYA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-08-01,15,15
MONTEAGUDO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-08-01,43,43
PADCAYA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-08-01,1,1
PADILLA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-08-01,21,21
POROMA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-08-01,75,75
PRESTO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-08-01,19,19
SAN JAVIER(BNI),refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-08-01,1,1
SAN LUCAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-08-01,45,45
SAN RAFAEL,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-08-01,3,3
SOPACHUY,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-08-01,11,11
SUCRE,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-08-01,164,164
TARABUCO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-08-01,45,45
TARIJA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-08-01,1,1
TARVITA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-08-01,76,76
TOMINA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-08-01,11,11
VILLA CHARCAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-08-01,19,19
VILLA SERRANO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-08-01,9,9
VILLA VACA GUZMAN (MUYUPAMPA),refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-08-01,6,6
YAMPARAEZ,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-08-01,30,30
ZUDAÑEZ,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-08-01,15,15
ALCALA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-09-01,30,30
AZURDUY,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-09-01,18,18
BERMEJO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-09-01,1,1
CAMARGO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-09-01,43,43
CULPINA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-09-01,43,43
EL VILLAR,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-09-01,14,14
HUACAYA (VILLA DE HUACAYA),refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-09-01,20,20
ICLA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2018-09-01,18,18
