,group,variable,month,MUJERES CON 4TA CONSULTA PRENATAL A. < 15,MUJERES CON 4TA CONSULTA PRENATAL A. < 15,MUJERES CON 4TA CONSULTA PRENATAL B. 15 A 19,MUJERES CON 4TA CONSULTA PRENATAL B. 15 A 19,MUJERES CON 4TA CONSULTA PRENATAL C. 20 - 34,MUJERES CON 4TA CONSULTA PRENATAL C. 20 - 34,MUJERES CON 4TA CONSULTA PRENATAL D. 35 - 49,MUJERES CON 4TA CONSULTA PRENATAL D. 35 - 49,MUJERES CON 4TA CONSULTA PRENATAL E. 50 Y +,MUJERES CON 4TA CONSULTA PRENATAL E. 50 Y +,TOTALES
BOYUIBE,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,0,0,5,1,0,0,0,0,6
BUENA VISTA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,1,0,7,0,15,3,5,0,0,0,31
CABEZAS,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,3,0,10,0,0,0,0,0,13
CAIROMA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,0,0,3,0,1,0,0,0,4
"CAIZA ""D""",consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,2,0,1,0,0,0,0,0,3
CAJUATA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,4,0,9,0,3,0,0,0,16
CALACOTO,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,0,0,3,0,0,0,0,4
CALAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,2,0,7,0,1,0,0,0,10
CAMARGO,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,1,10,2,2,0,0,0,16
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,0,0,2,0,0,0,0,0,2
CAMIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,10,0,49,1,9,0,0,0,69
CAPINOTA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,6,0,10,0,2,0,0,0,18
CAQUIAVIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,0,5,0,0,0,0,0,6
CARACOLLO,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,7,0,11,1,0,0,0,0,19
CARANAVI,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,13,0,41,1,7,0,0,0,62
CARAPARI,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,2,0,13,0,3,0,0,0,18
CARIPUYO,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,4,0,2,1,0,1,0,0,8
CARMEN RIVERO TORREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,0,0,5,0,0,0,0,0,5
CHALLAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,7,0,19,1,2,0,1,0,30
CHAQUI,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,1,5,0,0,1,0,0,8
CHARAGUA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,1,0,6,0,10,0,3,0,0,0,20
CHARAÑA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,0,0,0,0,0,0,0,1
CHAYANTA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,2,0,5,3,1,0,0,0,11
CHIMORE,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,6,1,24,5,5,1,0,0,42
CHIPAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,1,0,1,0,3,0,0,0,0,0,5
CHOQUE COTA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,0,0,0,0,1,0,0,0,1
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,2,0,7,0,1,0,0,0,10
CHUMA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,3,1,1,2,0,0,0,0,7
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,2,0,3,3,1,0,0,0,9
CKOCHAS,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,3,0,4,0,1,0,0,0,8
CLIZA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,7,0,16,0,3,0,0,0,26
COBIJA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,2,0,17,0,64,0,20,0,0,0,103
COCAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,2,0,8,1,3,1,0,0,15
COCHABAMBA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,1,0,78,1,715,2,196,1,3,0,997
COIPASA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,0,0,1,0,0,0,0,0,1
COLCAPIRHUA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,8,2,37,0,7,1,0,0,55
"COLCHA ""K""",consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,0,4,0,1,0,0,0,6
COLLANA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,0,0,1,0,0,0,0,0,1
COLOMI,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,4,0,15,0,2,0,0,0,21
COLPA BELGICA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,2,0,5,0,2,0,0,0,9
COLQUECHACA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,1,2,0,18,1,2,0,0,0,24
COLQUENCHA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,0,6,0,2,0,0,0,9
COLQUIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,3,2,4,2,0,1,0,0,12
COMANCHE,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,2,1,2,0,0,0,0,0,5
COMARAPA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,10,0,10,0,2,0,0,0,22
COMBAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,0,1,0,0,0,0,0,0,1
CONCEPCION,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,4,1,16,1,10,0,0,0,32
COPACABANA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,0,0,6,0,1,0,0,0,7
CORIPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,6,0,6,0,2,0,0,0,14
CORO CORO,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,0,3,0,1,0,0,0,5
COROICO,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,3,0,7,1,1,0,0,0,12
COTAGAITA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,1,1,5,0,13,2,4,1,0,0,27
COTOCA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,28,1,95,0,22,0,0,0,146
CUATRO CAÑADAS,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,4,0,13,0,5,0,0,0,22
CUEVO,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,0,0,4,0,1,0,0,0,5
CULPINA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,3,1,9,2,1,0,0,0,16
CURAHUARA DE CARANGAS,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,0,2,0,2,0,0,0,5
CURVA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,0,0,1,0,0,0,0,0,1
DESAGUADERO,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,0,0,3,0,0,0,0,0,3
EL ALTO,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,5,0,101,52,636,225,142,31,0,0,1192
EL CHORO,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,0,1,1,0,0,0,0,0,2
EL PUENTE(STC),consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,2,0,4,1,1,0,0,0,8
EL PUENTE(TJA),consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,0,0,5,1,1,0,0,0,7
EL TORNO,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,3,0,9,0,69,0,12,0,0,0,93
EL VILLAR,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,2,0,2,0,1,0,0,0,5
ENTRE RIOS TRJ,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,3,0,17,0,2,1,0,0,23
ENTRE RIOS CBBA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,6,0,27,0,6,0,0,0,39
ESCOMA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,0,1,0,0,0,0,0,2
ESMERALDA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,0,0,1,0,0,0,0,0,1
EUCALIPTUS,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,0,1,0,0,0,0,0,2
EUREKA (SANTOS MERCADO),consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,0,0,0,1,0,0,0,2
EXALTACION,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,0,1,0,0,0,0,0,2
FERNANDEZ ALONSO,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,1,0,3,0,11,0,2,0,0,0,17
FILADELFIA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,1,0,0,0,1,0,0,0,0,0,2
GENERAL SAAVEDRA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,0,12,1,0,0,0,0,14
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,0,7,0,1,0,0,0,9
GUANAY,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,2,0,12,3,1,2,0,0,20
GUAQUI,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,2,0,2,0,0,0,0,0,4
GUAYARAMERIN,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,1,0,8,0,42,0,4,0,0,0,55
GUTIERREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,3,0,4,0,2,0,0,0,9
HUACARETA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,1,0,2,2,7,0,1,0,0,0,13
HUACAYA (VILLA DE HUACAYA),consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,0,0,2,1,1,0,0,0,4
HUACHACALLA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,0,0,1,0,0,0,0,0,1
HUANUNI,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,3,0,17,0,3,0,0,0,23
HUARACAJE,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,5,0,0,0,0,0,0,0,5
HUARINA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,1,0,2,0,3,0,0,0,0,0,6
HUATAJATA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,0,0,2,0,0,0,0,0,2
HUAYLLAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,0,0,1,0,1,0,0,0,2
ICHOCA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,0,1,0,0,0,0,0,2
ICLA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,0,2,0,0,1,0,0,4
INCAHUASI,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,2,1,5,2,2,0,0,0,12
INGAVI (HUMAITA),consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,0,1,0,0,0,0,0,2
INQUISIVI,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,2,0,5,0,0,0,0,0,7
IRUPANA (VILLA DE LANZA),consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,0,7,0,5,0,0,0,13
IXIAMAS,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,0,0,2,0,0,0,0,0,2
JESUS DE MACHACA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,0,5,0,2,0,0,0,8
LA ASUNTA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,10,0,32,0,2,0,0,0,44
LA GUARDIA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,19,1,107,0,26,0,0,0,153
LA PAZ,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,1,0,89,0,815,0,223,0,0,0,1128
LAGUNILLAS,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,0,2,0,0,0,0,0,3
LAJA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,5,1,6,0,2,0,0,0,14
LAS CARRERAS,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,0,0,2,0,1,0,0,0,3
LICOMA PAMPA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,0,1,0,0,0,0,0,2
LLALLAGUA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,6,0,39,4,6,0,0,0,55
LORETO,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,0,0,0,1,0,0,0,0,1
LURIBAY,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,0,5,0,3,0,0,0,9
MACHACAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,2,0,2,0,0,0,0,0,4
MACHARETI,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,0,0,4,0,0,0,0,0,4
MAGDALENA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,1,0,2,0,3,0,1,0,0,0,7
MAIRANA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,1,0,4,0,10,0,0,0,0,0,15
MALLA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,0,0,0,1,0,0,0,0,1
MAPIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,4,0,16,0,0,0,0,0,20
MECAPACA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,4,0,13,0,5,1,0,0,23
MINEROS,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,3,0,27,0,4,0,0,0,34
MIZQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,3,0,8,0,1,0,0,0,12
MOCOMOCO,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,0,2,6,0,1,1,0,0,10
MOJOCOYA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,4,0,6,0,1,0,0,0,11
MONTEAGUDO,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,6,0,14,1,5,0,0,0,26
MONTERO,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,2,0,33,0,142,3,35,0,0,0,215
MORO MORO,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,2,0,1,0,0,0,0,0,3
MOROCHATA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,0,0,2,0,1,1,0,0,4
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,0,0,2,0,1,0,0,0,3
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,0,0,0,0,0,0,0,1
OCURI,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,6,0,3,0,3,1,0,0,13
OKINAWA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,0,3,0,1,0,0,0,5
OMEREQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,0,0,3,0,0,0,0,0,3
ORURO,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,54,2,404,11,101,1,0,0,573
PADCAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,2,0,13,0,3,0,0,0,18
PADILLA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,3,0,7,1,3,0,0,0,14
PAILON,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,12,0,14,0,0,0,0,0,26
PALCA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,1,1,0,15,1,1,0,0,0,19
PALOS BLANCOS,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,1,0,5,1,23,2,4,0,0,0,36
PAMPA GRANDE,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,5,0,9,0,3,0,0,0,17
PAPEL PAMPA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,0,1,0,0,0,0,0,2
PASORAPA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,0,0,0,1,0,0,0,2
PATACAMAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,5,0,11,0,4,0,0,0,20
PAZÑA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,0,0,3,1,0,0,0,0,4
PELECHUCO,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,0,4,0,1,0,0,0,6
POCOATA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,4,2,7,3,0,1,0,0,17
POCONA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,0,5,0,0,0,0,0,6
POJO (CBBA),consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,6,0,9,0,3,0,0,0,18
POOPO,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,0,0,1,1,0,0,0,0,2
PORCO,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,3,0,16,3,0,1,0,0,23
POROMA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,2,2,5,0,0,0,0,10
PORONGO,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,5,1,21,1,2,0,0,0,30
PORTACHUELO,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,3,0,12,0,4,0,0,0,19
PORVENIR,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,2,0,0,0,3,0,0,0,5
POTOSI,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,38,13,268,21,49,2,0,0,391
PRESTO,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,2,0,3,0,0,0,0,0,5
PUCARANI,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,7,1,14,0,2,1,0,0,25
PUERTO ACOSTA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,1,0,0,2,1,0,0,0,0,4
PUERTO CARABUCO,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,0,3,0,0,0,0,0,4
PUERTO GONZALO MORENO,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,0,0,4,0,1,0,0,0,5
PUERTO PEREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,0,3,0,0,0,0,0,4
PUERTO QUIJARRO,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,2,0,17,0,1,0,0,0,20
PUERTO RICO,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,2,0,9,0,2,0,0,0,13
PUERTO SUAREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,0,7,0,1,0,0,0,9
PUERTO VILLARROEL,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,1,0,29,0,66,1,15,0,0,0,112
PUNA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,3,0,5,1,0,0,0,0,9
PUNATA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,12,1,41,2,7,0,0,0,63
QUILLACOLLO,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,34,6,139,31,37,4,0,0,251
QUIME,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,0,1,1,0,0,0,0,0,2
RAQAYPAMPA(ETA),consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,0,0,1,0,0,0,0,0,1
RAVELO,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,1,0,1,0,0,0,0,3
REYES,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,4,0,14,1,5,0,0,0,24
RIBERALTA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,2,4,45,0,132,0,13,0,0,0,196
ROBORE,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,9,0,11,1,1,0,0,0,22
RURRENABAQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,6,0,20,0,4,0,0,0,30
SABAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,0,0,1,0,0,0,0,0,1
SACABA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,17,3,97,16,25,6,0,0,164
SACABAMBA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,0,0,3,0,0,0,0,0,3
SACACA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,7,1,10,1,1,0,0,0,20
SAIPINA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,0,6,0,2,0,0,0,9
SALINAS DE GARCI MENDOZA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,0,6,1,1,0,0,0,9
SAMAIPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,0,12,0,2,0,0,0,15
SAN AGUSTIN,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,0,0,1,1,0,0,0,0,2
SAN ANDRES,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,3,0,7,0,0,0,0,0,10
SAN ANTONIO DE ESMORUCO,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,0,0,1,0,0,0,0,0,1
SAN ANTONIO DE LOMERIO,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,0,0,3,1,1,0,0,0,5
SAN BENITO,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,1,0,5,0,0,0,0,0,6
SAN BORJA,consultas prenatales,mujeres con 4ta consulta prenatal,2020-01-01,0,0,8,2,37,0,7,0,0,0,54
