municipality,group,variable,month,Tratamientos iniciados con esquema l,TOTAL
GUAYARAMERIN,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,2,2
ICLA,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
INCAHUASI,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,2,2
INQUISIVI,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
IXIAMAS,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
LA ASUNTA,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,4,4
LA GUARDIA,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,7,7
LA PAZ,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,85,85
LAGUNILLAS,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
LLALLAGUA,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,3,3
LURIBAY,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
MAPIRI,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,2,2
MINEROS,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,3,3
MIZQUE,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
MONTEAGUDO,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,2,2
MONTERO,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,9,9
MOROCHATA,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
OKINAWA,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
ORURO,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,7,7
PADCAYA,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
PAILON,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
PALCA,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
PALOS BLANCOS,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,3,3
PORONGO,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
POTOSI,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,14,14
PRESTO,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
PUERTO ACOSTA,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
PUERTO CARABUCO,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,2,2
PUERTO QUIJARRO,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
PUERTO SUAREZ,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,2,2
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,6,6
PUNA,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,2,2
PUNATA,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,3,3
REYES,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
RIBERALTA,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,6,6
RURRENABAQUE,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
SACABA,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,4,4
SAN BORJA,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,3,3
SAN CARLOS,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
SAN JOSE DE CHIQUITOS,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,2,2
SAN JULIAN,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,5,5
SAN LORENZO(TJA),tuberculosis,tratamientos iniciados con esquema l,2007-01-01,3,3
SAN PEDRO,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,124,124
SANTA ROSA,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
SIPE SIPE,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
SORATA,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,2,2
SUCRE,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,14,14
TACOPAYA,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
TARATA,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
TARIJA,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,15,15
TEOPONTE,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
TIPUANI,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,2,2
TIQUIPAYA,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
TIRAQUE (CBBA),tuberculosis,tratamientos iniciados con esquema l,2007-01-01,2,2
TOLEDO,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
TOMAVE,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
TOMINA,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
TOTORA(CBBA),tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
TRIGAL,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
TRINIDAD,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,4,4
UNCIA,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,3,3
VALLEGRANDE,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
VILA VILA,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
VILLA MONTES,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,2,2
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,14,14
VILLAZON,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
VINTO,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,3,3
WARNES,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,3,3
YACUIBA,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,5,5
YAPACANI,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,4,4
YOTALA,tuberculosis,tratamientos iniciados con esquema l,2007-01-01,1,1
ACHACACHI,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,1,1
ANCORAIMES,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,1,1
APOLO,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,1,1
ASCENCION DE GUARAYOS,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,4,4
ATOCHA,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,1,1
BERMEJO,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,6,6
BETANZOS,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,2,2
BOLIVAR,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,1,1
CABEZAS,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,1,1
"CAIZA ""D""",tuberculosis,tratamientos iniciados con esquema l,2007-02-01,1,1
CAJUATA,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,3,3
CAMIRI,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,8,8
CAPINOTA,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,2,2
CARANAVI,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,13,13
CARAPARI,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,1,1
CARMEN RIVERO TORREZ,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,1,1
CHARAGUA,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,1,1
CHIMORE,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,2,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,tratamientos iniciados con esquema l,2007-02-01,2,2
COBIJA,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,4,4
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,31,31
COLOMI,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,2,2
COLPA BELGICA,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,2,2
COLQUIRI,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,2,2
COPACABANA,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,1,1
CORIPATA,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,6,6
COROICO,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,2,2
COTOCA,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,2,2
CUATRO CAÑADAS,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,43,43
EL TORNO,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,5,5
ENTRE RIOS,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,2,2
FERNANDEZ ALONSO,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis,tratamientos iniciados con esquema l,2007-02-01,1,1
GUANAY,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,1,1
ICHOCA,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,1,1
INCAHUASI,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,1,1
INQUISIVI,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,1,1
JESUS DE MACHACA,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,1,1
LA ASUNTA,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,5,5
LA GUARDIA,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,8,8
LA PAZ,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,71,71
LLALLAGUA,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,2,2
MACHARETI,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,2,2
MECAPACA,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,1,1
MINEROS,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,3,3
MIZQUE,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,1,1
MONTEAGUDO,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,2,2
MONTERO,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,9,9
MOROCHATA,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,1,1
OKINAWA,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,1,1
ORURO,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,3,3
PALOS BLANCOS,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,6,6
PAMPA GRANDE,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,1,1
PELECHUCO,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,1,1
POJO (CBBA),tuberculosis,tratamientos iniciados con esquema l,2007-02-01,1,1
PORONGO,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,1,1
PORTACHUELO,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,1,1
POTOSI,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,13,13
PRESTO,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,1,1
PUERTO CARABUCO,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,1,1
PUERTO QUIJARRO,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,1,1
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,7,7
QUIABAYA,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,1,1
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,2,2
QUIME,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,2,2
RIBERALTA,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,9,9
ROBORE,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,1,1
RURRENABAQUE,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,1,1
SACABA,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,5,5
SAN BORJA,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,6,6
SAN BUENA VENTURA,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,2,2
SAN CARLOS,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,1,1
SAN IGNACIO,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,2,2
SAN IGNACIO DE VELASCO,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,4,4
SAN JAVIER(BNI),tuberculosis,tratamientos iniciados con esquema l,2007-02-01,1,1
SAN JAVIER(STC),tuberculosis,tratamientos iniciados con esquema l,2007-02-01,1,1
SAN JULIAN,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,2,2
SAN LORENZO(TJA),tuberculosis,tratamientos iniciados con esquema l,2007-02-01,1,1
SAN LUCAS,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,1,1
SAN PEDRO,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,91,91
SANTA ROSA DEL SARA,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,1,1
SIPE SIPE,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,1,1
SORATA,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,2,2
SUCRE,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,17,17
TAPACARI,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,1,1
TARABUCO,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,3,3
TARATA,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,1,1
TARIJA,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,8,8
TEOPONTE,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,2,2
TIQUIPAYA,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,5,5
TIRAQUE (CBBA),tuberculosis,tratamientos iniciados con esquema l,2007-02-01,3,3
TOLATA,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,2,2
TRINIDAD,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,5,5
UYUNI,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,1,1
VILLA MONTES,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,4,4
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,9,9
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis,tratamientos iniciados con esquema l,2007-02-01,2,2
VILLAZON,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,1,1
VINTO,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,3,3
WARNES,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,2,2
YACUIBA,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,6,6
YAPACANI,tuberculosis,tratamientos iniciados con esquema l,2007-02-01,3,3
ACHACACHI,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
ANDAMARCA,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
ARBIETO,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
ARQUE,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
AUCAPATA,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
BAURES,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
BERMEJO,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,2,2
BETANZOS,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
BOLIVAR,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
BUENA VISTA,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
CABEZAS,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
CAJUATA,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
CAMIRI,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,6,6
CARACOLLO,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
CARANAVI,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,7,7
CARIPUYO,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
CARMEN RIVERO TORREZ,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
CHAYANTA,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
CHIMORE,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,2,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,tratamientos iniciados con esquema l,2007-03-01,5,5
CHUMA,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
COBIJA,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,2,2
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,36,36
COLCAPIRHUA,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,2,2
"COLCHA ""K""",tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
COMARAPA,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,2,2
CONCEPCION,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,3,3
CORIPATA,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,5,5
COROICO,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,2,2
COTAGAITA,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
COTOCA,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,2,2
CUATRO CAÑADAS,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,2,2
CULPINA,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,45,45
EL TORNO,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,9,9
ENTRE RIOS,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,8,8
FERNANDEZ ALONSO,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
GENERAL SAAVEDRA,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
GUANAY,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,2,2
HUARACAJE,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
INQUISIVI,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
IRUPANA (VILLA DE LANZA),tuberculosis,tratamientos iniciados con esquema l,2007-03-01,3,3
JESUS DE MACHACA,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,3,3
LA ASUNTA,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,2,2
LA PAZ,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,103,103
LLALLAGUA,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,7,7
MAPIRI,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,2,2
MIZQUE,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
MONTEAGUDO,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,2,2
MONTERO,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,17,17
MORO MORO,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
OKINAWA,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,2,2
ORURO,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,8,8
PADCAYA,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,2,2
PAILON,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,3,3
PALCA,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
PALOS BLANCOS,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,5,5
PAMPA GRANDE,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
PATACAMAYA,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
POCOATA,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
POCONA,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,3,3
PORTACHUELO,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,2,2
POSTRER VALLE,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
POTOSI,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,15,15
PRESTO,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
PUERTO RICO,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,4,4
PUNATA,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,6,6
QUIME,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,2,2
RIBERALTA,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,13,13
SACABA,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,8,8
SAN BORJA,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,6,6
SAN CARLOS,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
SAN IGNACIO DE VELASCO,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
SAN JAVIER(STC),tuberculosis,tratamientos iniciados con esquema l,2007-03-01,2,2
SAN JOAQUIN,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
SAN JULIAN,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,2,2
SAN LORENZO(TJA),tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
SAN LUCAS,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
SANTA ANA,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,99,99
SANTA ROSA DEL SARA,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
SAPAHAQUI,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
SIPE SIPE,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,2,2
SOPACHUY,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,2,2
SORATA,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,3,3
SUCRE,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,24,24
TACACOMA,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
TAPACARI,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
TARIJA,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,15,15
TIAWANACU,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
TINGUIPAYA,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
TIPUANI,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,2,2
TIQUIPAYA,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,2,2
TIRAQUE (CBBA),tuberculosis,tratamientos iniciados con esquema l,2007-03-01,6,6
TOTORA(CBBA),tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
TRINIDAD,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,7,7
TUPIZA,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,6,6
TURCO,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
UNCIA,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,2,2
URUBICHA,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
UYUNI,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
VALLEGRANDE,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
VIACHA,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,5,5
VILLA MONTES,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,6,6
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,3,3
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis,tratamientos iniciados con esquema l,2007-03-01,2,2
VINTO,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,4,4
WARNES,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,3,3
YACUIBA,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,4,4
YAPACANI,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,12,12
YOTALA,tuberculosis,tratamientos iniciados con esquema l,2007-03-01,1,1
ACHACACHI,tuberculosis,tratamientos iniciados con esquema l,2007-04-01,6,6
AIQUILE,tuberculosis,tratamientos iniciados con esquema l,2007-04-01,3,3
ARBIETO,tuberculosis,tratamientos iniciados con esquema l,2007-04-01,1,1
ARQUE,tuberculosis,tratamientos iniciados con esquema l,2007-04-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis,tratamientos iniciados con esquema l,2007-04-01,2,2
BERMEJO,tuberculosis,tratamientos iniciados con esquema l,2007-04-01,3,3
BOYUIBE,tuberculosis,tratamientos iniciados con esquema l,2007-04-01,1,1
CALAMARCA,tuberculosis,tratamientos iniciados con esquema l,2007-04-01,1,1
CAMIRI,tuberculosis,tratamientos iniciados con esquema l,2007-04-01,4,4
