municipality,group,variable,month,Tratamientos iniciados con esquema lll,TOTAL
TIRAQUE (CBBA),tuberculosis,tratamientos iniciados con esquema lll,2007-03-01,1,1
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema lll,2007-03-01,1,1
YAPACANI,tuberculosis,tratamientos iniciados con esquema lll,2007-03-01,1,1
ACHACACHI,tuberculosis,tratamientos iniciados con esquema lll,2007-04-01,2,2
CAMIRI,tuberculosis,tratamientos iniciados con esquema lll,2007-04-01,2,2
COBIJA,tuberculosis,tratamientos iniciados con esquema lll,2007-04-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2007-04-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema lll,2007-04-01,1,1
MONTEAGUDO,tuberculosis,tratamientos iniciados con esquema lll,2007-04-01,1,1
MONTERO,tuberculosis,tratamientos iniciados con esquema lll,2007-04-01,1,1
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema lll,2007-04-01,1,1
SAN CARLOS,tuberculosis,tratamientos iniciados con esquema lll,2007-04-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2007-04-01,4,4
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2007-04-01,10,10
TARIJA,tuberculosis,tratamientos iniciados con esquema lll,2007-04-01,1,1
TIRAQUE (CBBA),tuberculosis,tratamientos iniciados con esquema lll,2007-04-01,2,2
VILA VILA,tuberculosis,tratamientos iniciados con esquema lll,2007-04-01,1,1
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema lll,2007-04-01,5,5
CAMIRI,tuberculosis,tratamientos iniciados con esquema lll,2007-05-01,2,2
CHIMORE,tuberculosis,tratamientos iniciados con esquema lll,2007-05-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2007-05-01,3,3
EL ALTO,tuberculosis,tratamientos iniciados con esquema lll,2007-05-01,1,1
MINEROS,tuberculosis,tratamientos iniciados con esquema lll,2007-05-01,1,1
ORURO,tuberculosis,tratamientos iniciados con esquema lll,2007-05-01,1,1
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema lll,2007-05-01,1,1
SACABA,tuberculosis,tratamientos iniciados con esquema lll,2007-05-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2007-05-01,9,9
SANTA ROSA DEL SARA,tuberculosis,tratamientos iniciados con esquema lll,2007-05-01,1,1
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2007-05-01,6,6
TIQUIPAYA,tuberculosis,tratamientos iniciados con esquema lll,2007-05-01,1,1
TRINIDAD,tuberculosis,tratamientos iniciados con esquema lll,2007-05-01,1,1
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema lll,2007-05-01,3,3
WARNES,tuberculosis,tratamientos iniciados con esquema lll,2007-05-01,1,1
CAJUATA,tuberculosis,tratamientos iniciados con esquema lll,2007-06-01,1,1
CAMIRI,tuberculosis,tratamientos iniciados con esquema lll,2007-06-01,2,2
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2007-06-01,3,3
HUACARETA,tuberculosis,tratamientos iniciados con esquema lll,2007-06-01,4,4
ICLA,tuberculosis,tratamientos iniciados con esquema lll,2007-06-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema lll,2007-06-01,2,2
MINEROS,tuberculosis,tratamientos iniciados con esquema lll,2007-06-01,1,1
MONTERO,tuberculosis,tratamientos iniciados con esquema lll,2007-06-01,1,1
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema lll,2007-06-01,1,1
PUNATA,tuberculosis,tratamientos iniciados con esquema lll,2007-06-01,4,4
RIBERALTA,tuberculosis,tratamientos iniciados con esquema lll,2007-06-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2007-06-01,10,10
SANTA ROSA DEL SARA,tuberculosis,tratamientos iniciados con esquema lll,2007-06-01,1,1
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2007-06-01,10,10
TUPIZA,tuberculosis,tratamientos iniciados con esquema lll,2007-06-01,1,1
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema lll,2007-06-01,1,1
VITICHI,tuberculosis,tratamientos iniciados con esquema lll,2007-06-01,1,1
WARNES,tuberculosis,tratamientos iniciados con esquema lll,2007-06-01,1,1
CHIMORE,tuberculosis,tratamientos iniciados con esquema lll,2007-07-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2007-07-01,2,2
EL ALTO,tuberculosis,tratamientos iniciados con esquema lll,2007-07-01,1,1
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema lll,2007-07-01,1,1
RIBERALTA,tuberculosis,tratamientos iniciados con esquema lll,2007-07-01,1,1
SAN CARLOS,tuberculosis,tratamientos iniciados con esquema lll,2007-07-01,2,2
SAN IGNACIO DE VELASCO,tuberculosis,tratamientos iniciados con esquema lll,2007-07-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2007-07-01,4,4
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2007-07-01,6,6
TRINIDAD,tuberculosis,tratamientos iniciados con esquema lll,2007-07-01,1,1
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema lll,2007-07-01,1,1
WARNES,tuberculosis,tratamientos iniciados con esquema lll,2007-07-01,2,2
YACUIBA,tuberculosis,tratamientos iniciados con esquema lll,2007-07-01,1,1
ASCENCION DE GUARAYOS,tuberculosis,tratamientos iniciados con esquema lll,2007-08-01,1,1
CAMIRI,tuberculosis,tratamientos iniciados con esquema lll,2007-08-01,2,2
CAPINOTA,tuberculosis,tratamientos iniciados con esquema lll,2007-08-01,1,1
CARANAVI,tuberculosis,tratamientos iniciados con esquema lll,2007-08-01,2,2
CHIMORE,tuberculosis,tratamientos iniciados con esquema lll,2007-08-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2007-08-01,3,3
EL ALTO,tuberculosis,tratamientos iniciados con esquema lll,2007-08-01,1,1
IXIAMAS,tuberculosis,tratamientos iniciados con esquema lll,2007-08-01,1,1
LA GUARDIA,tuberculosis,tratamientos iniciados con esquema lll,2007-08-01,3,3
LA PAZ,tuberculosis,tratamientos iniciados con esquema lll,2007-08-01,1,1
LAGUNILLAS,tuberculosis,tratamientos iniciados con esquema lll,2007-08-01,1,1
MONTEAGUDO,tuberculosis,tratamientos iniciados con esquema lll,2007-08-01,1,1
MONTERO,tuberculosis,tratamientos iniciados con esquema lll,2007-08-01,1,1
SAN JULIAN,tuberculosis,tratamientos iniciados con esquema lll,2007-08-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2007-08-01,4,4
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2007-08-01,2,2
TIQUIPAYA,tuberculosis,tratamientos iniciados con esquema lll,2007-08-01,2,2
VINTO,tuberculosis,tratamientos iniciados con esquema lll,2007-08-01,1,1
CARANAVI,tuberculosis,tratamientos iniciados con esquema lll,2007-09-01,1,1
CARMEN RIVERO TORREZ,tuberculosis,tratamientos iniciados con esquema lll,2007-09-01,2,2
EL ALTO,tuberculosis,tratamientos iniciados con esquema lll,2007-09-01,1,1
LA GUARDIA,tuberculosis,tratamientos iniciados con esquema lll,2007-09-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema lll,2007-09-01,2,2
RIBERALTA,tuberculosis,tratamientos iniciados con esquema lll,2007-09-01,2,2
SAN BORJA,tuberculosis,tratamientos iniciados con esquema lll,2007-09-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2007-09-01,3,3
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2007-09-01,8,8
TARIJA,tuberculosis,tratamientos iniciados con esquema lll,2007-09-01,1,1
VILLA MONTES,tuberculosis,tratamientos iniciados con esquema lll,2007-09-01,1,1
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema lll,2007-09-01,1,1
WARNES,tuberculosis,tratamientos iniciados con esquema lll,2007-09-01,3,3
BERMEJO,tuberculosis,tratamientos iniciados con esquema lll,2007-10-01,2,2
CARANAVI,tuberculosis,tratamientos iniciados con esquema lll,2007-10-01,2,2
CARMEN RIVERO TORREZ,tuberculosis,tratamientos iniciados con esquema lll,2007-10-01,1,1
COBIJA,tuberculosis,tratamientos iniciados con esquema lll,2007-10-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2007-10-01,4,4
LA PAZ,tuberculosis,tratamientos iniciados con esquema lll,2007-10-01,3,3
LLALLAGUA,tuberculosis,tratamientos iniciados con esquema lll,2007-10-01,1,1
PAILON,tuberculosis,tratamientos iniciados con esquema lll,2007-10-01,1,1
PORCO,tuberculosis,tratamientos iniciados con esquema lll,2007-10-01,1,1
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema lll,2007-10-01,2,2
RIBERALTA,tuberculosis,tratamientos iniciados con esquema lll,2007-10-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2007-10-01,8,8
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2007-10-01,3,3
TRINIDAD,tuberculosis,tratamientos iniciados con esquema lll,2007-10-01,1,1
VILLA MONTES,tuberculosis,tratamientos iniciados con esquema lll,2007-10-01,1,1
VILLA NUEVA (LOMA ALTA),tuberculosis,tratamientos iniciados con esquema lll,2007-10-01,2,2
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema lll,2007-10-01,3,3
ASCENCION DE GUARAYOS,tuberculosis,tratamientos iniciados con esquema lll,2007-11-01,2,2
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2007-11-01,2,2
COLQUECHACA,tuberculosis,tratamientos iniciados con esquema lll,2007-11-01,1,1
CONCEPCION,tuberculosis,tratamientos iniciados con esquema lll,2007-11-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema lll,2007-11-01,2,2
POTOSI,tuberculosis,tratamientos iniciados con esquema lll,2007-11-01,1,1
PUNATA,tuberculosis,tratamientos iniciados con esquema lll,2007-11-01,1,1
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema lll,2007-11-01,2,2
SAN JOSE DE CHIQUITOS,tuberculosis,tratamientos iniciados con esquema lll,2007-11-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2007-11-01,2,2
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2007-11-01,2,2
TARIJA,tuberculosis,tratamientos iniciados con esquema lll,2007-11-01,1,1
TIQUIPAYA,tuberculosis,tratamientos iniciados con esquema lll,2007-11-01,1,1
TIRAQUE (CBBA),tuberculosis,tratamientos iniciados con esquema lll,2007-11-01,1,1
WARNES,tuberculosis,tratamientos iniciados con esquema lll,2007-11-01,4,4
BERMEJO,tuberculosis,tratamientos iniciados con esquema lll,2007-12-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2007-12-01,1,1
COTAGAITA,tuberculosis,tratamientos iniciados con esquema lll,2007-12-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema lll,2007-12-01,1,1
HUACARETA,tuberculosis,tratamientos iniciados con esquema lll,2007-12-01,4,4
LA PAZ,tuberculosis,tratamientos iniciados con esquema lll,2007-12-01,2,2
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema lll,2007-12-01,3,3
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema lll,2007-12-01,2,2
RIBERALTA,tuberculosis,tratamientos iniciados con esquema lll,2007-12-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2007-12-01,2,2
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2007-12-01,1,1
TARIJA,tuberculosis,tratamientos iniciados con esquema lll,2007-12-01,1,1
WARNES,tuberculosis,tratamientos iniciados con esquema lll,2007-12-01,3,3
