municipality,group,variable,month,Antirrábica canina,TOTAL
SAN MATIAS,otras vacunaciones,antirrabica canina,2006-01-01,40,40
SAN MIGUEL DE VELASCO,otras vacunaciones,antirrabica canina,2006-01-01,115,115
SAN PEDRO DE BUENA VISTA,otras vacunaciones,antirrabica canina,2006-01-01,10,10
SAN RAFAEL,otras vacunaciones,antirrabica canina,2006-01-01,10,10
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica canina,2006-01-01,10881,10881
SANTA ROSA DEL SARA,otras vacunaciones,antirrabica canina,2006-01-01,2,2
SANTIVAÑES,otras vacunaciones,antirrabica canina,2006-01-01,131,131
SANTUARIO DE QUILLACAS,otras vacunaciones,antirrabica canina,2006-01-01,10,10
SICA SICA (VILLA AROMA),otras vacunaciones,antirrabica canina,2006-01-01,17,17
SICAYA,otras vacunaciones,antirrabica canina,2006-01-01,6,6
SIPE SIPE,otras vacunaciones,antirrabica canina,2006-01-01,190,190
SORACACHI,otras vacunaciones,antirrabica canina,2006-01-01,70,70
SUCRE,otras vacunaciones,antirrabica canina,2006-01-01,70,70
TACACHI,otras vacunaciones,antirrabica canina,2006-01-01,10,10
TACOPAYA,otras vacunaciones,antirrabica canina,2006-01-01,11,11
TAHUA,otras vacunaciones,antirrabica canina,2006-01-01,42,42
TAPACARI,otras vacunaciones,antirrabica canina,2006-01-01,250,250
TARACO,otras vacunaciones,antirrabica canina,2006-01-01,3,3
TARATA,otras vacunaciones,antirrabica canina,2006-01-01,18,18
TARIJA,otras vacunaciones,antirrabica canina,2006-01-01,66,66
TIQUIPAYA,otras vacunaciones,antirrabica canina,2006-01-01,925,925
TIRAQUE (CBBA),otras vacunaciones,antirrabica canina,2006-01-01,225,225
TOLATA,otras vacunaciones,antirrabica canina,2006-01-01,7,7
TOLEDO,otras vacunaciones,antirrabica canina,2006-01-01,21,21
TOMAVE,otras vacunaciones,antirrabica canina,2006-01-01,25,25
TOTORA(CBBA),otras vacunaciones,antirrabica canina,2006-01-01,40,40
TRIGAL,otras vacunaciones,antirrabica canina,2006-01-01,148,148
TRINIDAD,otras vacunaciones,antirrabica canina,2006-01-01,2,2
UMALA,otras vacunaciones,antirrabica canina,2006-01-01,3,3
VACAS,otras vacunaciones,antirrabica canina,2006-01-01,1041,1041
VALLEGRANDE,otras vacunaciones,antirrabica canina,2006-01-01,688,688
VILLA RIVERO,otras vacunaciones,antirrabica canina,2006-01-01,5,5
VILLA TUNARI,otras vacunaciones,antirrabica canina,2006-01-01,315,315
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,antirrabica canina,2006-01-01,787,787
VINTO,otras vacunaciones,antirrabica canina,2006-01-01,825,825
WARNES,otras vacunaciones,antirrabica canina,2006-01-01,85,85
YACUIBA,otras vacunaciones,antirrabica canina,2006-01-01,118,118
YANACACHI,otras vacunaciones,antirrabica canina,2006-01-01,15,15
YAPACANI,otras vacunaciones,antirrabica canina,2006-01-01,104,104
ZUDAÑEZ,otras vacunaciones,antirrabica canina,2006-01-01,385,385
AIQUILE,otras vacunaciones,antirrabica canina,2006-02-01,33,33
ALCALA,otras vacunaciones,antirrabica canina,2006-02-01,17,17
ANDAMARCA,otras vacunaciones,antirrabica canina,2006-02-01,13,13
ANTEQUERA,otras vacunaciones,antirrabica canina,2006-02-01,5,5
ANZALDO,otras vacunaciones,antirrabica canina,2006-02-01,349,349
ARANI,otras vacunaciones,antirrabica canina,2006-02-01,39,39
ARBIETO,otras vacunaciones,antirrabica canina,2006-02-01,474,474
AYO AYO,otras vacunaciones,antirrabica canina,2006-02-01,55,55
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,antirrabica canina,2006-02-01,77,77
BERMEJO,otras vacunaciones,antirrabica canina,2006-02-01,282,282
BETANZOS,otras vacunaciones,antirrabica canina,2006-02-01,120,120
BOLIVAR,otras vacunaciones,antirrabica canina,2006-02-01,41,41
BUENA VISTA,otras vacunaciones,antirrabica canina,2006-02-01,2,2
CABEZAS,otras vacunaciones,antirrabica canina,2006-02-01,410,410
CAJUATA,otras vacunaciones,antirrabica canina,2006-02-01,276,276
CALAMARCA,otras vacunaciones,antirrabica canina,2006-02-01,260,260
CAMARGO,otras vacunaciones,antirrabica canina,2006-02-01,50,50
CAPINOTA,otras vacunaciones,antirrabica canina,2006-02-01,74,74
CARACOLLO,otras vacunaciones,antirrabica canina,2006-02-01,6,6
CARANAVI,otras vacunaciones,antirrabica canina,2006-02-01,22,22
CARAPARI,otras vacunaciones,antirrabica canina,2006-02-01,68,68
CARMEN RIVERO TORREZ,otras vacunaciones,antirrabica canina,2006-02-01,250,250
CHALLAPATA,otras vacunaciones,antirrabica canina,2006-02-01,47,47
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,antirrabica canina,2006-02-01,41,41
CLIZA,otras vacunaciones,antirrabica canina,2006-02-01,13,13
COBIJA,otras vacunaciones,antirrabica canina,2006-02-01,5,5
COCHABAMBA,otras vacunaciones,antirrabica canina,2006-02-01,1031,1031
COLCAPIRHUA,otras vacunaciones,antirrabica canina,2006-02-01,349,349
COLOMI,otras vacunaciones,antirrabica canina,2006-02-01,55,55
COLQUIRI,otras vacunaciones,antirrabica canina,2006-02-01,250,250
COMARAPA,otras vacunaciones,antirrabica canina,2006-02-01,7,7
COROICO,otras vacunaciones,antirrabica canina,2006-02-01,3,3
CORQUE,otras vacunaciones,antirrabica canina,2006-02-01,2,2
COTOCA,otras vacunaciones,antirrabica canina,2006-02-01,158,158
CUATRO CAÑADAS,otras vacunaciones,antirrabica canina,2006-02-01,79,79
CUEVO,otras vacunaciones,antirrabica canina,2006-02-01,234,234
CULPINA,otras vacunaciones,antirrabica canina,2006-02-01,95,95
CURAHUARA DE CARANGAS,otras vacunaciones,antirrabica canina,2006-02-01,38,38
EL ALTO,otras vacunaciones,antirrabica canina,2006-02-01,2629,2629
EL CHORO,otras vacunaciones,antirrabica canina,2006-02-01,10,10
EL TORNO,otras vacunaciones,antirrabica canina,2006-02-01,365,365
EL VILLAR,otras vacunaciones,antirrabica canina,2006-02-01,128,128
ENTRE RIOS,otras vacunaciones,antirrabica canina,2006-02-01,100,100
ENTRE RIOS,otras vacunaciones,antirrabica canina,2006-02-01,7,7
EUCALIPTUS,otras vacunaciones,antirrabica canina,2006-02-01,16,16
GENERAL SAAVEDRA,otras vacunaciones,antirrabica canina,2006-02-01,54,54
HUACARETA,otras vacunaciones,antirrabica canina,2006-02-01,24,24
HUANUNI,otras vacunaciones,antirrabica canina,2006-02-01,1103,1103
HUAYLLAMARCA,otras vacunaciones,antirrabica canina,2006-02-01,3,3
ICHOCA,otras vacunaciones,antirrabica canina,2006-02-01,25,25
INCAHUASI,otras vacunaciones,antirrabica canina,2006-02-01,4,4
INQUISIVI,otras vacunaciones,antirrabica canina,2006-02-01,40,40
JESUS DE MACHACA,otras vacunaciones,antirrabica canina,2006-02-01,31,31
LA ASUNTA,otras vacunaciones,antirrabica canina,2006-02-01,136,136
LA GUARDIA,otras vacunaciones,antirrabica canina,2006-02-01,101,101
LA PAZ,otras vacunaciones,antirrabica canina,2006-02-01,466,466
LAGUNILLAS,otras vacunaciones,antirrabica canina,2006-02-01,80,80
MIZQUE,otras vacunaciones,antirrabica canina,2006-02-01,270,270
MONTERO,otras vacunaciones,antirrabica canina,2006-02-01,46,46
MOROCHATA,otras vacunaciones,antirrabica canina,2006-02-01,353,353
ORURO,otras vacunaciones,antirrabica canina,2006-02-01,215,215
PADILLA,otras vacunaciones,antirrabica canina,2006-02-01,107,107
PAILON,otras vacunaciones,antirrabica canina,2006-02-01,500,500
PASORAPA,otras vacunaciones,antirrabica canina,2006-02-01,27,27
PATACAMAYA,otras vacunaciones,antirrabica canina,2006-02-01,315,315
POCONA,otras vacunaciones,antirrabica canina,2006-02-01,45,45
POJO (CBBA),otras vacunaciones,antirrabica canina,2006-02-01,12,12
POOPO,otras vacunaciones,antirrabica canina,2006-02-01,253,253
POROMA,otras vacunaciones,antirrabica canina,2006-02-01,92,92
PORONGO,otras vacunaciones,antirrabica canina,2006-02-01,133,133
PORTACHUELO,otras vacunaciones,antirrabica canina,2006-02-01,11,11
PORVENIR,otras vacunaciones,antirrabica canina,2006-02-01,467,467
POSTRER VALLE,otras vacunaciones,antirrabica canina,2006-02-01,10,10
POTOSI,otras vacunaciones,antirrabica canina,2006-02-01,230,230
PUCARA,otras vacunaciones,antirrabica canina,2006-02-01,500,500
PUCARANI,otras vacunaciones,antirrabica canina,2006-02-01,18,18
PUERTO ACOSTA,otras vacunaciones,antirrabica canina,2006-02-01,20,20
PUERTO CARABUCO,otras vacunaciones,antirrabica canina,2006-02-01,90,90
PUERTO QUIJARRO,otras vacunaciones,antirrabica canina,2006-02-01,1752,1752
PUERTO SUAREZ,otras vacunaciones,antirrabica canina,2006-02-01,2083,2083
PUERTO VILLARROEL,otras vacunaciones,antirrabica canina,2006-02-01,88,88
PUNA,otras vacunaciones,antirrabica canina,2006-02-01,66,66
PUNATA,otras vacunaciones,antirrabica canina,2006-02-01,7086,7086
QUILLACOLLO,otras vacunaciones,antirrabica canina,2006-02-01,867,867
QUIME,otras vacunaciones,antirrabica canina,2006-02-01,135,135
SACABA,otras vacunaciones,antirrabica canina,2006-02-01,146,146
SACABAMBA,otras vacunaciones,antirrabica canina,2006-02-01,19,19
SACACA,otras vacunaciones,antirrabica canina,2006-02-01,1,1
SAN BENITO,otras vacunaciones,antirrabica canina,2006-02-01,25,25
SAN BORJA,otras vacunaciones,antirrabica canina,2006-02-01,968,968
SAN CARLOS,otras vacunaciones,antirrabica canina,2006-02-01,485,485
SAN JULIAN,otras vacunaciones,antirrabica canina,2006-02-01,439,439
SAN PEDRO DE BUENA VISTA,otras vacunaciones,antirrabica canina,2006-02-01,3,3
SAN PEDRO DE TIQUINA,otras vacunaciones,antirrabica canina,2006-02-01,15,15
SAN RAFAEL,otras vacunaciones,antirrabica canina,2006-02-01,85,85
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica canina,2006-02-01,4632,4632
SANTA ROSA DEL SARA,otras vacunaciones,antirrabica canina,2006-02-01,2,2
SANTIAGO DE HUARI,otras vacunaciones,antirrabica canina,2006-02-01,13,13
SANTIVAÑES,otras vacunaciones,antirrabica canina,2006-02-01,76,76
SICA SICA (VILLA AROMA),otras vacunaciones,antirrabica canina,2006-02-01,22,22
SICAYA,otras vacunaciones,antirrabica canina,2006-02-01,27,27
SIPE SIPE,otras vacunaciones,antirrabica canina,2006-02-01,319,319
SOPACHUY,otras vacunaciones,antirrabica canina,2006-02-01,1,1
SUCRE,otras vacunaciones,antirrabica canina,2006-02-01,6,6
TACACHI,otras vacunaciones,antirrabica canina,2006-02-01,10,10
TAPACARI,otras vacunaciones,antirrabica canina,2006-02-01,339,339
TARATA,otras vacunaciones,antirrabica canina,2006-02-01,94,94
TARIJA,otras vacunaciones,antirrabica canina,2006-02-01,494,494
TIAWANACU,otras vacunaciones,antirrabica canina,2006-02-01,45,45
TIQUIPAYA,otras vacunaciones,antirrabica canina,2006-02-01,171,171
TIRAQUE (CBBA),otras vacunaciones,antirrabica canina,2006-02-01,30,30
TOCO,otras vacunaciones,antirrabica canina,2006-02-01,165,165
TOLATA,otras vacunaciones,antirrabica canina,2006-02-01,369,369
TOLEDO,otras vacunaciones,antirrabica canina,2006-02-01,87,87
TOMINA,otras vacunaciones,antirrabica canina,2006-02-01,1,1
TOTORA(CBBA),otras vacunaciones,antirrabica canina,2006-02-01,3,3
TUPIZA,otras vacunaciones,antirrabica canina,2006-02-01,221,221
UMALA,otras vacunaciones,antirrabica canina,2006-02-01,20,20
VACAS,otras vacunaciones,antirrabica canina,2006-02-01,24,24
VALLEGRANDE,otras vacunaciones,antirrabica canina,2006-02-01,1088,1088
VILA VILA,otras vacunaciones,antirrabica canina,2006-02-01,9,9
VILLA MONTES,otras vacunaciones,antirrabica canina,2006-02-01,40,40
VILLA RIVERO,otras vacunaciones,antirrabica canina,2006-02-01,79,79
VILLA TUNARI,otras vacunaciones,antirrabica canina,2006-02-01,271,271
VILLAZON,otras vacunaciones,antirrabica canina,2006-02-01,50,50
VINTO,otras vacunaciones,antirrabica canina,2006-02-01,710,710
WARNES,otras vacunaciones,antirrabica canina,2006-02-01,154,154
YACUIBA,otras vacunaciones,antirrabica canina,2006-02-01,117,117
YANACACHI,otras vacunaciones,antirrabica canina,2006-02-01,35,35
YAPACANI,otras vacunaciones,antirrabica canina,2006-02-01,146,146
YOTALA,otras vacunaciones,antirrabica canina,2006-02-01,5,5
ZUDAÑEZ,otras vacunaciones,antirrabica canina,2006-02-01,84,84
AIQUILE,otras vacunaciones,antirrabica canina,2006-03-01,22,22
ALCALA,otras vacunaciones,antirrabica canina,2006-03-01,111,111
ANDAMARCA,otras vacunaciones,antirrabica canina,2006-03-01,23,23
ANZALDO,otras vacunaciones,antirrabica canina,2006-03-01,239,239
ARBIETO,otras vacunaciones,antirrabica canina,2006-03-01,262,262
ARQUE,otras vacunaciones,antirrabica canina,2006-03-01,10,10
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,antirrabica canina,2006-03-01,286,286
BERMEJO,otras vacunaciones,antirrabica canina,2006-03-01,363,363
BETANZOS,otras vacunaciones,antirrabica canina,2006-03-01,55,55
BOLIVAR,otras vacunaciones,antirrabica canina,2006-03-01,26,26
BUENA VISTA,otras vacunaciones,antirrabica canina,2006-03-01,250,250
CABEZAS,otras vacunaciones,antirrabica canina,2006-03-01,224,224
CALACOTO,otras vacunaciones,antirrabica canina,2006-03-01,50,50
CALAMARCA,otras vacunaciones,antirrabica canina,2006-03-01,100,100
CAMARGO,otras vacunaciones,antirrabica canina,2006-03-01,724,724
CAPINOTA,otras vacunaciones,antirrabica canina,2006-03-01,101,101
CARACOLLO,otras vacunaciones,antirrabica canina,2006-03-01,15,15
CARAPARI,otras vacunaciones,antirrabica canina,2006-03-01,329,329
CHALLAPATA,otras vacunaciones,antirrabica canina,2006-03-01,20,20
CHARAGUA,otras vacunaciones,antirrabica canina,2006-03-01,1002,1002
CHIMORE,otras vacunaciones,antirrabica canina,2006-03-01,27,27
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,antirrabica canina,2006-03-01,171,171
CLIZA,otras vacunaciones,antirrabica canina,2006-03-01,27,27
COCHABAMBA,otras vacunaciones,antirrabica canina,2006-03-01,2528,2528
COLCAPIRHUA,otras vacunaciones,antirrabica canina,2006-03-01,4159,4159
"COLCHA ""K""",otras vacunaciones,antirrabica canina,2006-03-01,98,98
COLOMI,otras vacunaciones,antirrabica canina,2006-03-01,199,199
COLQUENCHA,otras vacunaciones,antirrabica canina,2006-03-01,27,27
COMARAPA,otras vacunaciones,antirrabica canina,2006-03-01,37,37
CORO CORO,otras vacunaciones,antirrabica canina,2006-03-01,135,135
CORQUE,otras vacunaciones,antirrabica canina,2006-03-01,13,13
COTAGAITA,otras vacunaciones,antirrabica canina,2006-03-01,182,182
COTOCA,otras vacunaciones,antirrabica canina,2006-03-01,10,10
CUATRO CAÑADAS,otras vacunaciones,antirrabica canina,2006-03-01,1,1
CUEVO,otras vacunaciones,antirrabica canina,2006-03-01,10,10
CULPINA,otras vacunaciones,antirrabica canina,2006-03-01,61,61
CURAHUARA DE CARANGAS,otras vacunaciones,antirrabica canina,2006-03-01,10,10
EL ALTO,otras vacunaciones,antirrabica canina,2006-03-01,5799,5799
EL CHORO,otras vacunaciones,antirrabica canina,2006-03-01,137,137
ENTRE RIOS,otras vacunaciones,antirrabica canina,2006-03-01,907,907
ENTRE RIOS,otras vacunaciones,antirrabica canina,2006-03-01,10,10
EUCALIPTUS,otras vacunaciones,antirrabica canina,2006-03-01,286,286
FILADELFIA,otras vacunaciones,antirrabica canina,2006-03-01,52,52
GENERAL SAAVEDRA,otras vacunaciones,antirrabica canina,2006-03-01,4,4
HUACARETA,otras vacunaciones,antirrabica canina,2006-03-01,25,25
HUACHACALLA,otras vacunaciones,antirrabica canina,2006-03-01,15,15
HUANUNI,otras vacunaciones,antirrabica canina,2006-03-01,10,10
HUAYLLAMARCA,otras vacunaciones,antirrabica canina,2006-03-01,23,23
ICHOCA,otras vacunaciones,antirrabica canina,2006-03-01,557,557
JESUS DE MACHACA,otras vacunaciones,antirrabica canina,2006-03-01,479,479
LA ASUNTA,otras vacunaciones,antirrabica canina,2006-03-01,85,85
LA GUARDIA,otras vacunaciones,antirrabica canina,2006-03-01,49,49
LA PAZ,otras vacunaciones,antirrabica canina,2006-03-01,667,667
MAPIRI,otras vacunaciones,antirrabica canina,2006-03-01,83,83
MINEROS,otras vacunaciones,antirrabica canina,2006-03-01,140,140
MIZQUE,otras vacunaciones,antirrabica canina,2006-03-01,207,207
MOCOMOCO,otras vacunaciones,antirrabica canina,2006-03-01,65,65
MOJOCOYA,otras vacunaciones,antirrabica canina,2006-03-01,26,26
MONTERO,otras vacunaciones,antirrabica canina,2006-03-01,34,34
MORO MORO,otras vacunaciones,antirrabica canina,2006-03-01,3,3
MOROCHATA,otras vacunaciones,antirrabica canina,2006-03-01,566,566
OKINAWA,otras vacunaciones,antirrabica canina,2006-03-01,32,32
ORURO,otras vacunaciones,antirrabica canina,2006-03-01,467,467
PADILLA,otras vacunaciones,antirrabica canina,2006-03-01,1066,1066
PAPEL PAMPA,otras vacunaciones,antirrabica canina,2006-03-01,123,123
PATACAMAYA,otras vacunaciones,antirrabica canina,2006-03-01,115,115
POCONA,otras vacunaciones,antirrabica canina,2006-03-01,739,739
POJO (CBBA),otras vacunaciones,antirrabica canina,2006-03-01,196,196
POOPO,otras vacunaciones,antirrabica canina,2006-03-01,51,51
POROMA,otras vacunaciones,antirrabica canina,2006-03-01,73,73
PORONGO,otras vacunaciones,antirrabica canina,2006-03-01,95,95
POTOSI,otras vacunaciones,antirrabica canina,2006-03-01,65,65
PUCARA,otras vacunaciones,antirrabica canina,2006-03-01,113,113
PUCARANI,otras vacunaciones,antirrabica canina,2006-03-01,175,175
PUERTO CARABUCO,otras vacunaciones,antirrabica canina,2006-03-01,57,57
PUERTO QUIJARRO,otras vacunaciones,antirrabica canina,2006-03-01,228,228
PUERTO VILLARROEL,otras vacunaciones,antirrabica canina,2006-03-01,234,234
PUNATA,otras vacunaciones,antirrabica canina,2006-03-01,173,173
QUILLACOLLO,otras vacunaciones,antirrabica canina,2006-03-01,11306,11306
QUIME,otras vacunaciones,antirrabica canina,2006-03-01,427,427
SACABA,otras vacunaciones,antirrabica canina,2006-03-01,347,347
SACABAMBA,otras vacunaciones,antirrabica canina,2006-03-01,78,78
SAN ANDRES DE MACHACA,otras vacunaciones,antirrabica canina,2006-03-01,18,18
SAN BENITO,otras vacunaciones,antirrabica canina,2006-03-01,641,641
SAN BORJA,otras vacunaciones,antirrabica canina,2006-03-01,2,2
SAN JUAN DE YAPACANI,otras vacunaciones,antirrabica canina,2006-03-01,470,470
SAN JULIAN,otras vacunaciones,antirrabica canina,2006-03-01,115,115
SAN LUCAS,otras vacunaciones,antirrabica canina,2006-03-01,546,546
SAN MATIAS,otras vacunaciones,antirrabica canina,2006-03-01,80,80
SAN PEDRO DE TIQUINA,otras vacunaciones,antirrabica canina,2006-03-01,4,4
SAN RAFAEL,otras vacunaciones,antirrabica canina,2006-03-01,14,14
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica canina,2006-03-01,10401,10401
SANTA ROSA DEL SARA,otras vacunaciones,antirrabica canina,2006-03-01,3,3
SANTIAGO DE MACHACA,otras vacunaciones,antirrabica canina,2006-03-01,288,288
SANTIVAÑES,otras vacunaciones,antirrabica canina,2006-03-01,56,56
SANTUARIO DE QUILLACAS,otras vacunaciones,antirrabica canina,2006-03-01,196,196
SICA SICA (VILLA AROMA),otras vacunaciones,antirrabica canina,2006-03-01,27,27
SICAYA,otras vacunaciones,antirrabica canina,2006-03-01,27,27
SIPE SIPE,otras vacunaciones,antirrabica canina,2006-03-01,790,790
SORACACHI,otras vacunaciones,antirrabica canina,2006-03-01,30,30
SUCRE,otras vacunaciones,antirrabica canina,2006-03-01,2,2
TACACHI,otras vacunaciones,antirrabica canina,2006-03-01,20,20
TAPACARI,otras vacunaciones,antirrabica canina,2006-03-01,331,331
TARABUCO,otras vacunaciones,antirrabica canina,2006-03-01,12,12
TARACO,otras vacunaciones,antirrabica canina,2006-03-01,3,3
TARATA,otras vacunaciones,antirrabica canina,2006-03-01,875,875
TARIJA,otras vacunaciones,antirrabica canina,2006-03-01,53,53
TIAWANACU,otras vacunaciones,antirrabica canina,2006-03-01,136,136
TIQUIPAYA,otras vacunaciones,antirrabica canina,2006-03-01,5467,5467
