municipality,group,variable,month,Mujeres de 15 a 49 años 1ra dosis de dT,TOTAL
SAN ANDRES,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,41,41
SAN ANDRES DE MACHACA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,1,1
SAN ANTONIO DE LOMERIO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,7,7
SAN BENITO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,46,46
SAN BORJA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,84,84
SAN BUENA VENTURA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,17,17
SAN CARLOS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,52,52
SAN IGNACIO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,36,36
SAN IGNACIO DE VELASCO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,44,44
SAN JAVIER(BNI),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,6,6
SAN JAVIER(STC),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,10,10
SAN JOAQUIN,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,5,5
SAN JOSE DE CHIQUITOS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,30,30
SAN JUAN DE YAPACANI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,31,31
SAN JULIAN,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,122,122
SAN LORENZO(PND),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,1,1
SAN LORENZO(TJA),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,28,28
SAN LUCAS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,134,134
SAN MATIAS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,59,59
SAN MIGUEL DE VELASCO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,18,18
SAN PABLO DE LIPEZ,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,3,3
SAN PEDRO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,45,45
SAN PEDRO DE BUENA VISTA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,29,29
SAN PEDRO DE TIQUINA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,8,8
SAN RAFAEL,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,3,3
SAN RAMON,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,10,10
SAN RAMON,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,12,12
SANTA ANA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,20,20
SANTA CRUZ DE LA SIERRA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,4813,4813
SANTA ROSA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,18,18
SANTA ROSA DEL SARA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,39,39
SANTIAGO DE CALLAPA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,1,1
SANTIAGO DE HUARI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,9,9
SANTIVAÑES,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,18,18
SANTUARIO DE QUILLACAS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,1,1
SAPAHAQUI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,2,2
SENA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,19,19
SICA SICA (VILLA AROMA),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,52,52
SICAYA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,1,1
SIPE SIPE,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,68,68
SOPACHUY,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,4,4
SORACACHI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,9,9
SORATA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,21,21
SUCRE,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,479,479
TACACHI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,3,3
TACACOMA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,30,30
TACOBAMBA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,3,3
TACOPAYA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,25,25
TAPACARI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,73,73
TARABUCO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,35,35
TARACO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,9,9
TARATA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,10,10
TARIJA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,716,716
TARVITA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,8,8
TEOPONTE,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,11,11
TIAWANACU,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,17,17
TINGUIPAYA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,88,88
TIPUANI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,85,85
TIQUIPAYA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,169,169
TIRAQUE (CBBA),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,150,150
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,3,3
TOCO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,9,9
TODOS SANTOS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,1,1
TOLATA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,17,17
TOLEDO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,11,11
TOMAVE,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,5,5
TOMINA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2006-01-01,2,2
