municipality,group,variable,month,Antirrábica humana esquema completo,TOTAL
TARACO,otras vacunaciones,antirrabica humana esquema completo,2006-01-01,2,2
TARATA,otras vacunaciones,antirrabica humana esquema completo,2006-01-01,1,1
TIAWANACU,otras vacunaciones,antirrabica humana esquema completo,2006-01-01,1,1
TIPUANI,otras vacunaciones,antirrabica humana esquema completo,2006-01-01,1,1
TIQUIPAYA,otras vacunaciones,antirrabica humana esquema completo,2006-01-01,1,1
TIRAQUE (CBBA),otras vacunaciones,antirrabica humana esquema completo,2006-01-01,3,3
TRINIDAD,otras vacunaciones,antirrabica humana esquema completo,2006-01-01,3,3
VILLA MONTES,otras vacunaciones,antirrabica humana esquema completo,2006-01-01,1,1
VINTO,otras vacunaciones,antirrabica humana esquema completo,2006-01-01,50,50
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2006-01-01,15,15
ACACIO,otras vacunaciones,antirrabica humana esquema completo,2006-02-01,1,1
BOLIVAR,otras vacunaciones,antirrabica humana esquema completo,2006-02-01,1,1
CALAMARCA,otras vacunaciones,antirrabica humana esquema completo,2006-02-01,1,1
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2006-02-01,34,34
COTOCA,otras vacunaciones,antirrabica humana esquema completo,2006-02-01,7,7
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2006-02-01,38,38
ENTRE RIOS,otras vacunaciones,antirrabica humana esquema completo,2006-02-01,2,2
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2006-02-01,96,96
MAPIRI,otras vacunaciones,antirrabica humana esquema completo,2006-02-01,1,1
MIZQUE,otras vacunaciones,antirrabica humana esquema completo,2006-02-01,1,1
OCURI,otras vacunaciones,antirrabica humana esquema completo,2006-02-01,2,2
ORURO,otras vacunaciones,antirrabica humana esquema completo,2006-02-01,47,47
POROMA,otras vacunaciones,antirrabica humana esquema completo,2006-02-01,1,1
PORTACHUELO,otras vacunaciones,antirrabica humana esquema completo,2006-02-01,10,10
POTOSI,otras vacunaciones,antirrabica humana esquema completo,2006-02-01,7,7
PUERTO SILES,otras vacunaciones,antirrabica humana esquema completo,2006-02-01,2,2
PUNA,otras vacunaciones,antirrabica humana esquema completo,2006-02-01,2,2
PUNATA,otras vacunaciones,antirrabica humana esquema completo,2006-02-01,4,4
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2006-02-01,12,12
SACABA,otras vacunaciones,antirrabica humana esquema completo,2006-02-01,1,1
SAN BORJA,otras vacunaciones,antirrabica humana esquema completo,2006-02-01,5,5
SAN JULIAN,otras vacunaciones,antirrabica humana esquema completo,2006-02-01,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2006-02-01,248,248
SANTA ROSA DEL SARA,otras vacunaciones,antirrabica humana esquema completo,2006-02-01,1,1
SIPE SIPE,otras vacunaciones,antirrabica humana esquema completo,2006-02-01,4,4
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2006-02-01,16,16
TARATA,otras vacunaciones,antirrabica humana esquema completo,2006-02-01,1,1
TARVITA,otras vacunaciones,antirrabica humana esquema completo,2006-02-01,1,1
TIQUIPAYA,otras vacunaciones,antirrabica humana esquema completo,2006-02-01,1,1
TIRAQUE (CBBA),otras vacunaciones,antirrabica humana esquema completo,2006-02-01,1,1
VILLA TUNARI,otras vacunaciones,antirrabica humana esquema completo,2006-02-01,1,1
VILLAZON,otras vacunaciones,antirrabica humana esquema completo,2006-02-01,1,1
VINTO,otras vacunaciones,antirrabica humana esquema completo,2006-02-01,1,1
WARNES,otras vacunaciones,antirrabica humana esquema completo,2006-02-01,3,3
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2006-02-01,10,10
ACHACACHI,otras vacunaciones,antirrabica humana esquema completo,2006-03-01,1,1
ARANI,otras vacunaciones,antirrabica humana esquema completo,2006-03-01,89,89
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,antirrabica humana esquema completo,2006-03-01,78,78
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2006-03-01,7,7
CALACOTO,otras vacunaciones,antirrabica humana esquema completo,2006-03-01,2,2
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2006-03-01,38,38
CORQUE,otras vacunaciones,antirrabica humana esquema completo,2006-03-01,1,1
COTOCA,otras vacunaciones,antirrabica humana esquema completo,2006-03-01,4,4
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2006-03-01,1,1
EL PUENTE(STC),otras vacunaciones,antirrabica humana esquema completo,2006-03-01,1,1
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2006-03-01,3,3
JESUS DE MACHACA,otras vacunaciones,antirrabica humana esquema completo,2006-03-01,1,1
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2006-03-01,9,9
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2006-03-01,85,85
LURIBAY,otras vacunaciones,antirrabica humana esquema completo,2006-03-01,1,1
MIZQUE,otras vacunaciones,antirrabica humana esquema completo,2006-03-01,2,2
MOJOCOYA,otras vacunaciones,antirrabica humana esquema completo,2006-03-01,1,1
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2006-03-01,1,1
ORURO,otras vacunaciones,antirrabica humana esquema completo,2006-03-01,41,41
PADILLA,otras vacunaciones,antirrabica humana esquema completo,2006-03-01,1,1
PALOS BLANCOS,otras vacunaciones,antirrabica humana esquema completo,2006-03-01,1,1
POCONA,otras vacunaciones,antirrabica humana esquema completo,2006-03-01,2,2
PUNA,otras vacunaciones,antirrabica humana esquema completo,2006-03-01,3,3
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2006-03-01,6,6
RAVELO,otras vacunaciones,antirrabica humana esquema completo,2006-03-01,1,1
SACABA,otras vacunaciones,antirrabica humana esquema completo,2006-03-01,1,1
SAN JULIAN,otras vacunaciones,antirrabica humana esquema completo,2006-03-01,2,2
SAN LORENZO(TJA),otras vacunaciones,antirrabica humana esquema completo,2006-03-01,4,4
SAN LUCAS,otras vacunaciones,antirrabica humana esquema completo,2006-03-01,3,3
SAN PEDRO DE BUENA VISTA,otras vacunaciones,antirrabica humana esquema completo,2006-03-01,2,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2006-03-01,132,132
SOPACHUY,otras vacunaciones,antirrabica humana esquema completo,2006-03-01,1,1
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2006-03-01,8,8
TIQUIPAYA,otras vacunaciones,antirrabica humana esquema completo,2006-03-01,8,8
TOLATA,otras vacunaciones,antirrabica humana esquema completo,2006-03-01,1,1
URIONDO (A. CONCEPCION),otras vacunaciones,antirrabica humana esquema completo,2006-03-01,1,1
VILLA TUNARI,otras vacunaciones,antirrabica humana esquema completo,2006-03-01,3,3
VINTO,otras vacunaciones,antirrabica humana esquema completo,2006-03-01,3,3
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2006-03-01,7,7
ALALAY,otras vacunaciones,antirrabica humana esquema completo,2006-04-01,1,1
ARAMPAMPA,otras vacunaciones,antirrabica humana esquema completo,2006-04-01,1,1
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2006-04-01,3,3
CLIZA,otras vacunaciones,antirrabica humana esquema completo,2006-04-01,1,1
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2006-04-01,26,26
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2006-04-01,11,11
HUANUNI,otras vacunaciones,antirrabica humana esquema completo,2006-04-01,1,1
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2006-04-01,9,9
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2006-04-01,150,150
MIZQUE,otras vacunaciones,antirrabica humana esquema completo,2006-04-01,9,9
ORURO,otras vacunaciones,antirrabica humana esquema completo,2006-04-01,38,38
POTOSI,otras vacunaciones,antirrabica humana esquema completo,2006-04-01,1,1
PUCARANI,otras vacunaciones,antirrabica humana esquema completo,2006-04-01,4,4
PUERTO VILLARROEL,otras vacunaciones,antirrabica humana esquema completo,2006-04-01,2,2
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2006-04-01,9,9
SABAYA,otras vacunaciones,antirrabica humana esquema completo,2006-04-01,1,1
SACABA,otras vacunaciones,antirrabica humana esquema completo,2006-04-01,1,1
SAN JUAN DE YAPACANI,otras vacunaciones,antirrabica humana esquema completo,2006-04-01,1,1
SAN JULIAN,otras vacunaciones,antirrabica humana esquema completo,2006-04-01,3,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2006-04-01,132,132
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2006-04-01,13,13
TARIJA,otras vacunaciones,antirrabica humana esquema completo,2006-04-01,2,2
TIQUIPAYA,otras vacunaciones,antirrabica humana esquema completo,2006-04-01,2,2
TIRAQUE (CBBA),otras vacunaciones,antirrabica humana esquema completo,2006-04-01,2,2
TOMINA,otras vacunaciones,antirrabica humana esquema completo,2006-04-01,1,1
TRINIDAD,otras vacunaciones,antirrabica humana esquema completo,2006-04-01,1,1
TUPIZA,otras vacunaciones,antirrabica humana esquema completo,2006-04-01,1,1
VIACHA,otras vacunaciones,antirrabica humana esquema completo,2006-04-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,antirrabica humana esquema completo,2006-04-01,1,1
WARNES,otras vacunaciones,antirrabica humana esquema completo,2006-04-01,2,2
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2006-04-01,6,6
YAPACANI,otras vacunaciones,antirrabica humana esquema completo,2006-04-01,11,11
ACHACACHI,otras vacunaciones,antirrabica humana esquema completo,2006-05-01,1,1
ARAMPAMPA,otras vacunaciones,antirrabica humana esquema completo,2006-05-01,2,2
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2006-05-01,6,6
BUENA VISTA,otras vacunaciones,antirrabica humana esquema completo,2006-05-01,1,1
CAMARGO,otras vacunaciones,antirrabica humana esquema completo,2006-05-01,2,2
CAPINOTA,otras vacunaciones,antirrabica humana esquema completo,2006-05-01,1,1
CHIMORE,otras vacunaciones,antirrabica humana esquema completo,2006-05-01,2,2
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2006-05-01,24,24
CORQUE,otras vacunaciones,antirrabica humana esquema completo,2006-05-01,1,1
COTAGAITA,otras vacunaciones,antirrabica humana esquema completo,2006-05-01,2,2
COTOCA,otras vacunaciones,antirrabica humana esquema completo,2006-05-01,8,8
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2006-05-01,15,15
ENTRE RIOS,otras vacunaciones,antirrabica humana esquema completo,2006-05-01,1,1
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2006-05-01,10,10
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2006-05-01,113,113
LORETO,otras vacunaciones,antirrabica humana esquema completo,2006-05-01,3,3
MINEROS,otras vacunaciones,antirrabica humana esquema completo,2006-05-01,2,2
MIZQUE,otras vacunaciones,antirrabica humana esquema completo,2006-05-01,3,3
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2006-05-01,14,14
ORURO,otras vacunaciones,antirrabica humana esquema completo,2006-05-01,11,11
PALCA,otras vacunaciones,antirrabica humana esquema completo,2006-05-01,1,1
PATACAMAYA,otras vacunaciones,antirrabica humana esquema completo,2006-05-01,5,5
PORCO,otras vacunaciones,antirrabica humana esquema completo,2006-05-01,1,1
PORONGO,otras vacunaciones,antirrabica humana esquema completo,2006-05-01,6,6
PORTACHUELO,otras vacunaciones,antirrabica humana esquema completo,2006-05-01,1,1
PUERTO VILLARROEL,otras vacunaciones,antirrabica humana esquema completo,2006-05-01,14,14
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2006-05-01,7,7
SABAYA,otras vacunaciones,antirrabica humana esquema completo,2006-05-01,2,2
SACABA,otras vacunaciones,antirrabica humana esquema completo,2006-05-01,7,7
SAN IGNACIO,otras vacunaciones,antirrabica humana esquema completo,2006-05-01,1,1
SAN IGNACIO DE VELASCO,otras vacunaciones,antirrabica humana esquema completo,2006-05-01,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2006-05-01,148,148
SIPE SIPE,otras vacunaciones,antirrabica humana esquema completo,2006-05-01,1,1
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2006-05-01,18,18
TIQUIPAYA,otras vacunaciones,antirrabica humana esquema completo,2006-05-01,3,3
TORO TORO,otras vacunaciones,antirrabica humana esquema completo,2006-05-01,1,1
TRINIDAD,otras vacunaciones,antirrabica humana esquema completo,2006-05-01,1,1
VILLA TUNARI,otras vacunaciones,antirrabica humana esquema completo,2006-05-01,1,1
VINTO,otras vacunaciones,antirrabica humana esquema completo,2006-05-01,1,1
WARNES,otras vacunaciones,antirrabica humana esquema completo,2006-05-01,4,4
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2006-05-01,3,3
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2006-06-01,8,8
CAMIRI,otras vacunaciones,antirrabica humana esquema completo,2006-06-01,4,4
CARAPARI,otras vacunaciones,antirrabica humana esquema completo,2006-06-01,1,1
CHIMORE,otras vacunaciones,antirrabica humana esquema completo,2006-06-01,1,1
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2006-06-01,74,74
COTOCA,otras vacunaciones,antirrabica humana esquema completo,2006-06-01,25,25
CUATRO CAÑADAS,otras vacunaciones,antirrabica humana esquema completo,2006-06-01,4,4
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2006-06-01,23,23
EL PUENTE(STC),otras vacunaciones,antirrabica humana esquema completo,2006-06-01,1,1
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2006-06-01,10,10
HUANUNI,otras vacunaciones,antirrabica humana esquema completo,2006-06-01,1,1
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2006-06-01,73,73
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2006-06-01,73,73
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2006-06-01,3,3
OKINAWA,otras vacunaciones,antirrabica humana esquema completo,2006-06-01,2,2
ORURO,otras vacunaciones,antirrabica humana esquema completo,2006-06-01,61,61
PAILON,otras vacunaciones,antirrabica humana esquema completo,2006-06-01,8,8
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2006-06-01,9,9
SACABA,otras vacunaciones,antirrabica humana esquema completo,2006-06-01,7,7
SAN JULIAN,otras vacunaciones,antirrabica humana esquema completo,2006-06-01,190,190
SAN LUCAS,otras vacunaciones,antirrabica humana esquema completo,2006-06-01,3,3
SAN PEDRO,otras vacunaciones,antirrabica humana esquema completo,2006-06-01,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2006-06-01,2313,2313
SANTA ROSA DEL SARA,otras vacunaciones,antirrabica humana esquema completo,2006-06-01,1,1
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2006-06-01,22,22
TAPACARI,otras vacunaciones,antirrabica humana esquema completo,2006-06-01,1,1
TARIJA,otras vacunaciones,antirrabica humana esquema completo,2006-06-01,1,1
TIQUIPAYA,otras vacunaciones,antirrabica humana esquema completo,2006-06-01,1,1
TIRAQUE (CBBA),otras vacunaciones,antirrabica humana esquema completo,2006-06-01,3,3
TRINIDAD,otras vacunaciones,antirrabica humana esquema completo,2006-06-01,4,4
UYUNI,otras vacunaciones,antirrabica humana esquema completo,2006-06-01,1,1
VALLEGRANDE,otras vacunaciones,antirrabica humana esquema completo,2006-06-01,1,1
VILLA TUNARI,otras vacunaciones,antirrabica humana esquema completo,2006-06-01,1,1
VINTO,otras vacunaciones,antirrabica humana esquema completo,2006-06-01,1,1
WARNES,otras vacunaciones,antirrabica humana esquema completo,2006-06-01,16,16
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2006-06-01,10,10
YAPACANI,otras vacunaciones,antirrabica humana esquema completo,2006-06-01,5,5
ARQUE,otras vacunaciones,antirrabica humana esquema completo,2006-07-01,1,1
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2006-07-01,5,5
CAMARGO,otras vacunaciones,antirrabica humana esquema completo,2006-07-01,1,1
CARAPARI,otras vacunaciones,antirrabica humana esquema completo,2006-07-01,1,1
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2006-07-01,47,47
COROICO,otras vacunaciones,antirrabica humana esquema completo,2006-07-01,1,1
COTAGAITA,otras vacunaciones,antirrabica humana esquema completo,2006-07-01,7,7
COTOCA,otras vacunaciones,antirrabica humana esquema completo,2006-07-01,1,1
CUATRO CAÑADAS,otras vacunaciones,antirrabica humana esquema completo,2006-07-01,1,1
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2006-07-01,1,1
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2006-07-01,4,4
ENTRE RIOS,otras vacunaciones,antirrabica humana esquema completo,2006-07-01,3,3
IRUPANA (VILLA DE LANZA),otras vacunaciones,antirrabica humana esquema completo,2006-07-01,5,5
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2006-07-01,10,10
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2006-07-01,71,71
LORETO,otras vacunaciones,antirrabica humana esquema completo,2006-07-01,2,2
MAIRANA,otras vacunaciones,antirrabica humana esquema completo,2006-07-01,3,3
MINEROS,otras vacunaciones,antirrabica humana esquema completo,2006-07-01,7,7
MIZQUE,otras vacunaciones,antirrabica humana esquema completo,2006-07-01,3,3
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2006-07-01,2,2
MORO MORO,otras vacunaciones,antirrabica humana esquema completo,2006-07-01,1,1
MOROCHATA,otras vacunaciones,antirrabica humana esquema completo,2006-07-01,2,2
OKINAWA,otras vacunaciones,antirrabica humana esquema completo,2006-07-01,11,11
PADILLA,otras vacunaciones,antirrabica humana esquema completo,2006-07-01,1,1
PORONGO,otras vacunaciones,antirrabica humana esquema completo,2006-07-01,3,3
POTOSI,otras vacunaciones,antirrabica humana esquema completo,2006-07-01,5,5
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2006-07-01,7,7
SACABA,otras vacunaciones,antirrabica humana esquema completo,2006-07-01,9,9
SAN IGNACIO DE VELASCO,otras vacunaciones,antirrabica humana esquema completo,2006-07-01,1,1
SAN JUAN DE YAPACANI,otras vacunaciones,antirrabica humana esquema completo,2006-07-01,1,1
SAN JULIAN,otras vacunaciones,antirrabica humana esquema completo,2006-07-01,3,3
SAN LUCAS,otras vacunaciones,antirrabica humana esquema completo,2006-07-01,1,1
SAN MATIAS,otras vacunaciones,antirrabica humana esquema completo,2006-07-01,2,2
SAN PEDRO DE BUENA VISTA,otras vacunaciones,antirrabica humana esquema completo,2006-07-01,4,4
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2006-07-01,756,756
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2006-07-01,17,17
TARATA,otras vacunaciones,antirrabica humana esquema completo,2006-07-01,1,1
TARIJA,otras vacunaciones,antirrabica humana esquema completo,2006-07-01,2,2
TIQUIPAYA,otras vacunaciones,antirrabica humana esquema completo,2006-07-01,1,1
TRINIDAD,otras vacunaciones,antirrabica humana esquema completo,2006-07-01,1,1
TUPIZA,otras vacunaciones,antirrabica humana esquema completo,2006-07-01,108,108
VIACHA,otras vacunaciones,antirrabica humana esquema completo,2006-07-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,antirrabica humana esquema completo,2006-07-01,1,1
VINTO,otras vacunaciones,antirrabica humana esquema completo,2006-07-01,1,1
WARNES,otras vacunaciones,antirrabica humana esquema completo,2006-07-01,13,13
YACO,otras vacunaciones,antirrabica humana esquema completo,2006-07-01,1,1
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2006-07-01,1,1
YOCALLA,otras vacunaciones,antirrabica humana esquema completo,2006-07-01,1,1
ASCENCION DE GUARAYOS,otras vacunaciones,antirrabica humana esquema completo,2006-08-01,3,3
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2006-08-01,5,5
CARAPARI,otras vacunaciones,antirrabica humana esquema completo,2006-08-01,1,1
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2006-08-01,42,42
COLCAPIRHUA,otras vacunaciones,antirrabica humana esquema completo,2006-08-01,3,3
COLOMI,otras vacunaciones,antirrabica humana esquema completo,2006-08-01,9,9
COTAGAITA,otras vacunaciones,antirrabica humana esquema completo,2006-08-01,3,3
COTOCA,otras vacunaciones,antirrabica humana esquema completo,2006-08-01,4,4
CUATRO CAÑADAS,otras vacunaciones,antirrabica humana esquema completo,2006-08-01,1,1
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2006-08-01,3,3
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2006-08-01,13,13
GENERAL SAAVEDRA,otras vacunaciones,antirrabica humana esquema completo,2006-08-01,1,1
IRUPANA (VILLA DE LANZA),otras vacunaciones,antirrabica humana esquema completo,2006-08-01,1,1
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2006-08-01,18,18
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2006-08-01,107,107
LORETO,otras vacunaciones,antirrabica humana esquema completo,2006-08-01,1,1
MAIRANA,otras vacunaciones,antirrabica humana esquema completo,2006-08-01,1,1
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2006-08-01,16,16
PAILON,otras vacunaciones,antirrabica humana esquema completo,2006-08-01,3,3
POCOATA,otras vacunaciones,antirrabica humana esquema completo,2006-08-01,2,2
POROMA,otras vacunaciones,antirrabica humana esquema completo,2006-08-01,90,90
PORONGO,otras vacunaciones,antirrabica humana esquema completo,2006-08-01,1,1
PUERTO ACOSTA,otras vacunaciones,antirrabica humana esquema completo,2006-08-01,1,1
PUNA,otras vacunaciones,antirrabica humana esquema completo,2006-08-01,2,2
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2006-08-01,3,3
ROBORE,otras vacunaciones,antirrabica humana esquema completo,2006-08-01,1,1
SACABA,otras vacunaciones,antirrabica humana esquema completo,2006-08-01,2,2
SAN BENITO,otras vacunaciones,antirrabica humana esquema completo,2006-08-01,1,1
SAN JULIAN,otras vacunaciones,antirrabica humana esquema completo,2006-08-01,14,14
SAN MATIAS,otras vacunaciones,antirrabica humana esquema completo,2006-08-01,4,4
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2006-08-01,198,198
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2006-08-01,19,19
TARATA,otras vacunaciones,antirrabica humana esquema completo,2006-08-01,1,1
TIQUIPAYA,otras vacunaciones,antirrabica humana esquema completo,2006-08-01,9,9
TUPIZA,otras vacunaciones,antirrabica humana esquema completo,2006-08-01,3,3
VIACHA,otras vacunaciones,antirrabica humana esquema completo,2006-08-01,2,2
VINTO,otras vacunaciones,antirrabica humana esquema completo,2006-08-01,1,1
VITICHI,otras vacunaciones,antirrabica humana esquema completo,2006-08-01,1,1
WARNES,otras vacunaciones,antirrabica humana esquema completo,2006-08-01,600,600
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2006-08-01,8,8
YAPACANI,otras vacunaciones,antirrabica humana esquema completo,2006-08-01,2,2
ACACIO,otras vacunaciones,antirrabica humana esquema completo,2006-09-01,7,7
AIQUILE,otras vacunaciones,antirrabica humana esquema completo,2006-09-01,7,7
ARAMPAMPA,otras vacunaciones,antirrabica humana esquema completo,2006-09-01,1,1
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2006-09-01,2,2
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2006-09-01,59,59
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2006-09-01,1,1
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2006-09-01,12,12
ENTRE RIOS,otras vacunaciones,antirrabica humana esquema completo,2006-09-01,6,6
GENERAL SAAVEDRA,otras vacunaciones,antirrabica humana esquema completo,2006-09-01,3,3
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2006-09-01,6,6
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2006-09-01,71,71
LAJA,otras vacunaciones,antirrabica humana esquema completo,2006-09-01,1,1
MAIRANA,otras vacunaciones,antirrabica humana esquema completo,2006-09-01,2,2
MINEROS,otras vacunaciones,antirrabica humana esquema completo,2006-09-01,7,7
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2006-09-01,2,2
MOROCHATA,otras vacunaciones,antirrabica humana esquema completo,2006-09-01,1,1
ORURO,otras vacunaciones,antirrabica humana esquema completo,2006-09-01,9,9
PADCAYA,otras vacunaciones,antirrabica humana esquema completo,2006-09-01,1,1
POCOATA,otras vacunaciones,antirrabica humana esquema completo,2006-09-01,1,1
POJO (CBBA),otras vacunaciones,antirrabica humana esquema completo,2006-09-01,1,1
POROMA,otras vacunaciones,antirrabica humana esquema completo,2006-09-01,1,1
PUNA,otras vacunaciones,antirrabica humana esquema completo,2006-09-01,4,4
PUNATA,otras vacunaciones,antirrabica humana esquema completo,2006-09-01,3,3
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2006-09-01,11,11
SABAYA,otras vacunaciones,antirrabica humana esquema completo,2006-09-01,1,1
SACABA,otras vacunaciones,antirrabica humana esquema completo,2006-09-01,16,16
